time,Sacramento,pts.away,score,pts.home,Golden State
10:18.0,Offensive rebound by S. Labissiere,,31-40,,
10:16.0,B. Hield makes 3-pt shot from 22 ft (assist by S. Labissiere),3,34-40,,
10:10.0,,,34-42,2,S. Livingston makes 2-pt shot from 14 ft
9:56.0,S. Labissiere misses 2-pt shot from 17 ft,,34-42,,
9:53.0,Offensive rebound by K. Koufos,,34-42,,
9:51.0,F. Mason makes 2-pt shot from 1 ft (assist by B. Hield),2,36-42,,
9:38.0,,,36-42,,Shooting foul by K. Koufos (drawn by D. West)
9:38.0,Technical foul by K. Koufos,,36-42,,
9:38.0,,,36-43,1,S. Livingston makes technical free throw
9:38.0,,,36-45,1,D. West makes free throw 1 of 2
9:38.0,,,36-45,1,D. West makes free throw 2 of 2
9:22.0,Shooting foul by J. Bell (drawn by K. Koufos),,36-45,,
9:22.0,K. Koufos misses free throw 1 of 2,,36-45,,
9:22.0,Offensive rebound by Team,,36-45,,
9:22.0,K. Koufos makes free throw 2 of 2,1,37-45,,
9:04.0,,,37-47,2,O. Casspi makes 2-pt shot from 6 ft (assist by J. Bell)
9:00.0,,,37-47,,Personal foul by S. Livingston (drawn by F. Mason)
9:00.0,,,37-47,,Golden State full timeout
9:00.0,,,37-47,,N. Young enters the game for O. Casspi
8:39.0,Shooting foul by S. Livingston (drawn by S. Labissiere),,37-47,,
8:39.0,S. Labissiere makes free throw 1 of 2,1,38-47,,
8:39.0,S. Labissiere makes free throw 2 of 2,1,39-47,,
8:25.0,,,39-47,,Shooting foul by F. Mason (drawn by N. Young)
8:25.0,,,39-48,1,N. Young makes free throw 1 of 2
8:25.0,,,39-49,1,N. Young makes free throw 2 of 2
8:08.0,Turnover by B. Hield (bad pass; steal by D. Green),,39-49,,
7:54.0,,,39-49,,Shooting foul by G. Temple (drawn by D. West)
7:54.0,,,39-49,,D. West misses free throw 1 of 2
7:54.0,,,39-49,,Offensive rebound by Team
7:54.0,,,39-49,,Q. Cook enters the game for D. Green
7:54.0,,,39-50,1,D. West makes free throw 2 of 2
7:36.0,K. Koufos misses 2-pt shot from 10 ft,,39-50,,
7:32.0,,,39-50,,Defensive rebound by J. Bell
7:22.0,,,39-50,,Turnover by J. Bell (bad pass; steal by K. Koufos)
7:18.0,F. Mason makes 2-pt shot from 1 ft (assist by B. Hield),2,41-50,,
7:02.0,,,41-50,,Turnover by D. West (bad pass)
6:43.0,K. Koufos makes 2-pt shot from 1 ft (assist by B. Hield),2,43-50,,
6:26.0,,,43-50,,S. Livingston misses 2-pt shot from 12 ft (block by S. Labissiere)
6:21.0,Defensive rebound by K. Koufos,,43-50,,
6:17.0,,,43-50,,Personal foul by J. Bell (drawn by S. Labissiere)
6:17.0,,,43-50,,A. Iguodala enters the game for S. Livingston
6:17.0,W. Cauley-Stein enters the game for S. Labissiere,,43-50,,
6:05.0,B. Hield makes 3-pt shot from 25 ft (assist by F. Mason),3,46-50,,
5:51.0,,,46-50,,Turnover by J. Bell (lost ball; steal by F. Mason)
5:49.0,F. Mason makes 2-pt shot from 1 ft,2,48-50,,
5:49.0,Shooting foul by Q. Cook (drawn by F. Mason),,48-50,,
5:49.0,,,48-50,,D. Green enters the game for J. Bell
5:49.0,F. Mason makes free throw 1 of 1,1,49-50,,
5:33.0,,,49-50,,Turnover by D. Green (bad pass; steal by K. Koufos)
5:27.0,,,49-50,,Personal foul by N. Young (drawn by K. Koufos)
5:27.0,K. Koufos misses free throw 1 of 2,,49-50,,
5:27.0,Offensive rebound by Team,,49-50,,
5:27.0,,,49-50,,Z. Pachulia enters the game for D. West
5:27.0,K. Koufos misses free throw 2 of 2,,49-50,,
5:27.0,,,49-50,,Defensive rebound by D. Green
5:03.0,,,49-50,,Turnover by Team (shot clock)
4:49.0,B. Hield misses 3-pt shot from 26 ft,,49-50,,
4:46.0,,,49-50,,Defensive rebound by D. Green
4:39.0,,,49-50,,N. Young misses 2-pt shot from 15 ft
4:37.0,Defensive rebound by Team,,49-50,,
4:37.0,Sacramento full timeout,,49-50,,
4:25.0,Shooting foul by N. Young (drawn by G. Temple),,49-50,,
4:25.0,G. Temple makes free throw 1 of 2,1,50-50,,
4:25.0,G. Temple makes free throw 2 of 2,1,51-50,,
4:07.0,,,51-50,,Z. Pachulia misses 2-pt shot from 10 ft
4:04.0,Defensive rebound by B. Hield,,51-50,,
3:49.0,,,51-50,,Personal foul by A. Iguodala (drawn by W. Cauley-Stein)
3:49.0,W. Cauley-Stein makes free throw 1 of 2,1,52-50,,
3:49.0,W. Cauley-Stein misses free throw 2 of 2,,52-50,,
3:45.0,Offensive rebound by K. Koufos,,52-50,,
3:41.0,F. Mason misses 2-pt shot from 16 ft,,52-50,,
3:36.0,,,52-50,,Defensive rebound by A. Iguodala
3:30.0,,,52-52,2,A. Iguodala makes 2-pt shot from 4 ft (assist by D. Green)
3:11.0,F. Mason misses 2-pt shot from 11 ft,,52-52,,
3:09.0,,,52-52,,Defensive rebound by D. Green
3:04.0,,,52-52,,D. Green misses 3-pt shot from 28 ft
3:01.0,,,52-52,,Offensive rebound by Team
2:56.0,,,52-55,3,Q. Cook makes 3-pt shot from 25 ft
2:55.0,Sacramento full timeout,,52-55,,
2:55.0,,,52-55,,K. Looney enters the game for Z. Pachulia
2:31.0,Jump ball: K. Looney vs. K. Koufos (Q. Cook gains possession),,,,Jump ball: K. Looney vs. K. Koufos (Q. Cook gains possession)
2:31.0,Turnover by K. Koufos (turnover; steal by K. Looney),,52-55,,
2:30.0,,,52-57,2,Q. Cook makes 2-pt shot from 1 ft
2:30.0,Violation by F. Mason (def goaltending),,52-57,,
2:10.0,B. Hield misses 3-pt shot from 25 ft,,52-57,,
2:07.0,,,52-57,,Defensive rebound by D. Green
2:01.0,,,52-57,,Turnover by A. Iguodala (bad pass)
1:40.0,W. Cauley-Stein makes 2-pt shot from 11 ft (assist by G. Temple),2,54-57,,
1:19.0,,,54-59,2,A. Iguodala makes 2-pt shot from 19 ft (assist by D. Green)
1:19.0,,,54-59,,Shooting foul by K. Koufos (drawn by A. Iguodala)
1:19.0,,,54-59,,A. Iguodala misses free throw 1 of 1
1:17.0,Defensive rebound by K. Koufos,,54-59,,
1:00.0,K. Koufos misses 2-pt shot from 2 ft,,54-59,,
0:56.0,,,54-59,,Defensive rebound by N. Young
0:41.0,,,54-59,,A. Iguodala misses 2-pt shot from 15 ft
0:36.0,Defensive rebound by K. Koufos,,54-59,,
0:25.0,G. Temple makes 3-pt shot from 22 ft (assist by B. Hield),3,57-59,,
0:04.0,,,57-59,,N. Young misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by B. Hield,,57-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,57-59,,Q. Cook misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by B. Bogdanovic,,57-59,,
11:21.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,57-59,,
11:20.0,Offensive rebound by Team,,57-59,,
11:20.0,,,57-59,,Personal foul by A. Iguodala (drawn by Z. Randolph)
11:10.0,B. Bogdanovic misses 2-pt shot from 9 ft,,57-59,,
11:06.0,,,57-59,,Defensive rebound by Z. Pachulia
10:56.0,,,57-59,,D. Green misses 3-pt shot from 27 ft
10:49.0,Defensive rebound by W. Cauley-Stein,,57-59,,
10:37.0,Turnover by Z. Randolph (step out of bounds),,57-59,,
10:24.0,,,57-59,,D. Green misses 2-pt shot from 17 ft
10:23.0,,,57-59,,Offensive rebound by Team
10:23.0,Loose ball foul by J. Jackson (drawn by A. Iguodala),,57-59,,
10:16.0,,,57-59,,N. Young misses 2-pt shot from 10 ft
10:13.0,Defensive rebound by J. Jackson,,57-59,,
10:09.0,D. Fox misses 2-pt shot from 2 ft,,57-59,,
10:03.0,Offensive rebound by W. Cauley-Stein,,57-59,,
10:03.0,W. Cauley-Stein misses 2-pt shot at rim,,57-59,,
10:02.0,,,57-59,,Defensive rebound by A. Iguodala
10:00.0,,,57-59,,A. Iguodala misses 2-pt shot from 3 ft
9:55.0,Defensive rebound by W. Cauley-Stein,,57-59,,
9:49.0,Z. Randolph misses 2-pt shot from 20 ft,,57-59,,
9:45.0,,,57-59,,Defensive rebound by Z. Pachulia
9:32.0,,,57-59,,Z. Pachulia misses 2-pt shot from 14 ft
9:28.0,Defensive rebound by J. Jackson,,57-59,,
9:27.0,,,57-59,,Personal foul by D. Green (drawn by D. Fox)
9:14.0,D. Fox misses 2-pt shot from 9 ft,,57-59,,
9:11.0,,,57-59,,Defensive rebound by D. Green
9:04.0,,,57-59,,A. Iguodala misses 2-pt shot from 4 ft
9:01.0,Defensive rebound by J. Jackson,,57-59,,
8:50.0,J. Jackson makes 2-pt shot from 1 ft (assist by Z. Randolph),2,59-59,,
8:30.0,,,59-59,,N. Young misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by W. Cauley-Stein,,59-59,,
8:08.0,Z. Randolph misses 2-pt shot from 17 ft,,59-59,,
8:06.0,,,59-59,,Defensive rebound by Team
7:46.0,Violation by Z. Randolph (kicked ball),,59-59,,
7:36.0,,,59-62,3,D. Green makes 3-pt shot from 24 ft (assist by A. Iguodala)
7:26.0,,,59-62,,Violation by D. Green (kicked ball)
7:10.0,B. Bogdanovic misses 3-pt shot from 26 ft,,59-62,,
7:06.0,,,59-62,,Defensive rebound by Z. Pachulia
6:56.0,,,59-62,,A. Iguodala misses 2-pt shot from 11 ft
6:53.0,Defensive rebound by Z. Randolph,,59-62,,
6:44.0,J. Jackson misses 3-pt shot from 25 ft,,59-62,,
6:40.0,,,59-62,,Defensive rebound by D. Green
6:36.0,,,59-62,,Turnover by D. Green (bad pass; steal by W. Cauley-Stein)
6:26.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,61-62,,
6:26.0,,,61-62,,Golden State full timeout
6:26.0,,,61-62,,K. Looney enters the game for D. Green
6:11.0,,,61-62,,K. Looney misses 2-pt shot from 2 ft
6:10.0,,,61-62,,Offensive rebound by Z. Pachulia
6:10.0,,,61-62,,Z. Pachulia misses 2-pt shot at rim (block by W. Cauley-Stein)
6:07.0,,,61-62,,Offensive rebound by Z. Pachulia
6:07.0,,,61-62,,Shooting foul by W. Cauley-Stein (drawn by Z. Pachulia)
6:07.0,,,61-63,1,Z. Pachulia makes free throw 1 of 2
6:07.0,,,61-64,1,Z. Pachulia makes free throw 2 of 2
5:51.0,B. Bogdanovic misses 2-pt shot from 20 ft,,61-64,,
5:45.0,,,61-64,,Defensive rebound by A. Iguodala
5:45.0,,,61-64,,Shooting foul by B. Bogdanovic (drawn by A. Iguodala)
5:45.0,,,61-64,,A. Iguodala misses free throw 1 of 2
5:45.0,,,61-64,,Offensive rebound by Team
5:45.0,,,61-65,1,A. Iguodala makes free throw 2 of 2
5:31.0,J. Jackson makes 2-pt shot at rim (assist by Z. Randolph),2,63-65,,
5:12.0,,,63-65,,N. Young misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by B. Bogdanovic,,63-65,,
5:00.0,J. Jackson misses 3-pt shot from 25 ft,,63-65,,
4:56.0,Offensive rebound by W. Cauley-Stein,,63-65,,
4:54.0,W. Cauley-Stein makes 2-pt shot from 3 ft,2,65-65,,
4:43.0,Violation by D. Fox (kicked ball),,65-65,,
4:43.0,,,65-65,,J. McGee enters the game for A. Iguodala
4:43.0,,,65-65,,S. Livingston enters the game for Z. Pachulia
4:37.0,,,65-67,2,Q. Cook makes 2-pt shot from 9 ft
4:26.0,D. Fox misses 2-pt shot from 5 ft (block by K. Looney),,65-67,,
4:26.0,Offensive rebound by Team,,65-67,,
4:18.0,B. Bogdanovic misses 3-pt shot from 27 ft,,65-67,,
4:15.0,,,65-67,,Defensive rebound by J. McGee
4:08.0,,,65-69,2,S. Livingston makes 2-pt shot from 10 ft
3:43.0,Z. Randolph misses 2-pt shot from 15 ft,,65-69,,
3:39.0,,,65-69,,Defensive rebound by Q. Cook
3:21.0,,,65-69,,Turnover by Q. Cook (bad pass; steal by B. Bogdanovic)
3:09.0,Z. Randolph misses 2-pt shot from 3 ft,,65-69,,
3:06.0,,,65-69,,Defensive rebound by K. Looney
3:04.0,Personal foul by D. Fox (drawn by Q. Cook),,65-69,,
3:04.0,S. Labissiere enters the game for W. Cauley-Stein,,65-69,,
3:04.0,B. Hield enters the game for J. Jackson,,65-69,,
2:57.0,,,65-71,2,N. Young makes 2-pt shot from 22 ft (assist by S. Livingston)
2:57.0,Sacramento full timeout,,65-71,,
2:57.0,,,65-71,,D. Green enters the game for Q. Cook
2:33.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by Z. Randolph),3,68-71,,
2:14.0,,,68-71,,N. Young misses 2-pt shot from 18 ft
2:08.0,,,68-71,,Offensive rebound by J. McGee
2:07.0,,,68-74,3,N. Young makes 3-pt shot from 25 ft (assist by J. McGee)
1:45.0,S. Labissiere makes 2-pt shot from 13 ft,2,70-74,,
1:36.0,,,70-74,,Turnover by D. Green (bad pass)
1:36.0,K. Koufos enters the game for D. Fox,,70-74,,
1:36.0,F. Mason enters the game for Z. Randolph,,70-74,,
1:23.0,Turnover by B. Bogdanovic (bad pass; steal by K. Looney),,70-74,,
1:21.0,,,70-74,,Shooting foul by S. Labissiere (drawn by K. Looney)
1:21.0,,,70-74,,K. Looney misses free throw 1 of 2
1:21.0,,,70-74,,Offensive rebound by Team
1:21.0,,,70-75,1,K. Looney makes free throw 2 of 2
0:57.0,B. Hield makes 3-pt shot from 25 ft,3,73-75,,
0:48.0,,,73-75,,S. Livingston misses 2-pt shot from 11 ft
0:43.0,Defensive rebound by B. Bogdanovic,,73-75,,
0:43.0,,,73-75,,Personal foul by D. Green (drawn by B. Bogdanovic)
0:31.0,B. Hield misses 3-pt shot from 26 ft,,73-75,,
0:28.0,,,73-75,,Defensive rebound by D. Green
0:09.0,,,73-75,,S. Livingston misses 2-pt shot from 7 ft
0:07.0,Defensive rebound by S. Labissiere,,73-75,,
0:01.0,B. Hield makes 2-pt shot from 18 ft (assist by B. Bogdanovic),2,75-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,S. Labissiere misses 2-pt shot from 2 ft (block by D. Green),,75-75,,
11:43.0,,,75-75,,Defensive rebound by D. West
11:33.0,Personal foul by B. Hield (drawn by D. Green),,75-75,,
11:21.0,,,75-77,2,D. Green makes 2-pt shot from 1 ft (assist by D. West)
11:21.0,,,75-77,,Shooting foul by G. Temple (drawn by D. Green)
11:21.0,,,75-78,1,D. Green makes free throw 1 of 1
11:03.0,B. Hield misses 2-pt shot from 15 ft,,75-78,,
10:57.0,,,75-78,,Defensive rebound by Team
10:53.0,,,75-78,,Turnover by D. Green (bad pass; steal by F. Mason)
10:39.0,S. Labissiere misses 2-pt shot from 9 ft,,75-78,,
10:33.0,Offensive rebound by K. Koufos,,75-78,,
10:32.0,K. Koufos makes 2-pt shot from 9 ft,2,77-78,,
10:13.0,,,77-78,,J. Bell misses 2-pt shot from 12 ft
10:09.0,Defensive rebound by F. Mason,,77-78,,
9:55.0,S. Labissiere makes 3-pt shot from 26 ft (assist by B. Hield),3,80-78,,
9:30.0,,,80-78,,D. Green misses 2-pt shot from 16 ft
9:26.0,Defensive rebound by K. Koufos,,80-78,,
9:19.0,,,80-78,,Personal foul by Q. Cook (drawn by F. Mason)
9:11.0,,,80-78,,Personal foul by D. West (drawn by F. Mason)
8:57.0,F. Mason misses 3-pt shot from 27 ft,,80-78,,
8:57.0,Offensive rebound by Team,,80-78,,
8:57.0,Turnover by Team (shot clock),,80-78,,
8:35.0,,,80-78,,D. Green misses 2-pt shot from 1 ft
8:30.0,,,80-78,,Offensive rebound by D. West
8:27.0,,,80-78,,D. West misses 2-pt shot from 4 ft
8:26.0,Defensive rebound by B. Hield,,80-78,,
8:26.0,,,80-78,,A. Iguodala enters the game for D. Green
8:20.0,S. Labissiere misses 3-pt shot from 26 ft,,80-78,,
8:13.0,,,80-78,,Defensive rebound by Q. Cook
8:09.0,,,80-81,3,Q. Cook makes 3-pt shot from 27 ft
7:54.0,,,80-81,,Personal foul by S. Livingston (drawn by S. Labissiere)
7:44.0,Turnover by B. Hield (bad pass; steal by Q. Cook),,80-81,,
7:32.0,,,80-81,,S. Livingston misses 2-pt shot from 11 ft
7:28.0,Defensive rebound by K. Koufos,,80-81,,
7:22.0,F. Mason misses 2-pt shot from 1 ft,,80-81,,
7:22.0,Offensive rebound by Team,,80-81,,
7:22.0,,,80-81,,Loose ball foul by D. West (drawn by S. Labissiere)
7:12.0,B. Hield misses 3-pt shot from 26 ft,,80-81,,
7:08.0,Offensive rebound by K. Koufos,,80-81,,
6:54.0,F. Mason misses 2-pt shot from 5 ft,,80-81,,
6:51.0,,,80-81,,Defensive rebound by Q. Cook
6:40.0,,,80-81,,Q. Cook misses 3-pt shot from 26 ft
6:36.0,Defensive rebound by B. Hield,,80-81,,
6:30.0,G. Temple misses 2-pt shot from 17 ft,,80-81,,
6:27.0,,,80-81,,Defensive rebound by J. Bell
6:23.0,,,80-81,,Golden State full timeout
6:23.0,,,80-81,,N. Young enters the game for J. Bell
6:23.0,,,80-81,,K. Looney enters the game for S. Livingston
6:18.0,,,80-81,,D. West misses 2-pt shot from 18 ft
6:12.0,Defensive rebound by K. Koufos,,80-81,,
6:02.0,B. Hield misses 3-pt shot from 27 ft (block by D. West),,80-81,,
5:57.0,,,80-81,,Defensive rebound by K. Looney
5:51.0,,,80-81,,K. Looney misses 2-pt shot from 4 ft
5:47.0,,,80-81,,Offensive rebound by D. West
5:46.0,,,80-83,2,D. West makes 2-pt shot from 1 ft
5:28.0,S. Labissiere makes 2-pt shot from 11 ft,2,82-83,,
5:11.0,,,82-83,,D. West misses 2-pt shot from 8 ft
5:06.0,,,82-83,,Offensive rebound by K. Looney
5:06.0,,,82-85,2,K. Looney makes 2-pt shot at rim
4:56.0,S. Labissiere makes 3-pt shot from 26 ft (assist by F. Mason),3,85-85,,
4:34.0,,,85-85,,A. Iguodala misses 3-pt shot from 26 ft
4:29.0,Defensive rebound by F. Mason,,85-85,,
4:09.0,Turnover by B. Hield (lost ball; steal by A. Iguodala),,85-85,,
4:06.0,,,85-85,,Q. Cook misses 2-pt shot from 2 ft (block by G. Temple)
4:03.0,,,85-85,,Offensive rebound by A. Iguodala
3:45.0,,,85-85,,D. West misses 2-pt shot from 7 ft
3:43.0,Defensive rebound by K. Koufos,,85-85,,
3:43.0,Sacramento full timeout,,85-85,,
3:43.0,,,85-85,,D. Green enters the game for D. West
3:43.0,W. Cauley-Stein enters the game for F. Mason,,85-85,,
3:43.0,D. Fox enters the game for K. Koufos,,85-85,,
3:29.0,Turnover by S. Labissiere (lost ball; steal by D. Green),,85-85,,
3:23.0,,,85-87,2,N. Young makes 2-pt shot from 1 ft (assist by D. Green)
3:23.0,,,85-87,,Shooting foul by S. Labissiere (drawn by N. Young)
3:23.0,B. Bogdanovic enters the game for G. Temple,,85-87,,
3:23.0,,,85-88,1,N. Young makes free throw 1 of 1
3:08.0,,,85-88,,Personal foul by D. Green (drawn by B. Bogdanovic)
3:08.0,B. Bogdanovic makes free throw 1 of 2,1,86-88,,
3:08.0,B. Bogdanovic makes free throw 2 of 2,1,87-88,,
2:54.0,,,87-90,2,Q. Cook makes 2-pt shot from 1 ft (assist by D. Green)
2:40.0,D. Fox makes 2-pt shot from 12 ft,2,89-90,,
2:26.0,,,89-90,,N. Young misses 2-pt shot from 13 ft
2:22.0,Defensive rebound by B. Bogdanovic,,89-90,,
2:08.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by D. Green),,89-90,,
2:08.0,Offensive rebound by Team,,89-90,,
2:05.0,Turnover by B. Hield (out of bounds lost ball),,89-90,,
1:45.0,,,89-90,,A. Iguodala misses 2-pt shot from 10 ft
1:41.0,Defensive rebound by D. Fox,,89-90,,
1:32.0,D. Fox makes 2-pt shot from 19 ft (assist by B. Hield),2,91-90,,
1:31.0,,,91-90,,Golden State full timeout
1:31.0,,,91-90,,D. West enters the game for K. Looney
1:14.0,,,91-90,,Offensive charge foul by N. Young (drawn by W. Cauley-Stein)
1:14.0,,,91-90,,Turnover by N. Young (offensive foul)
1:14.0,,,91-90,,K. Looney enters the game for D. West
0:59.0,D. Fox makes 2-pt shot from 7 ft,2,93-90,,
