time,Memphis,pts.away,score,pts.home,Portland
1:51.0,M. Chalmers makes 2-pt shot from 5 ft,2,20-14,,
1:36.0,,,20-14,,D. Lillard misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by B. Wright,,20-14,,
1:20.0,Shooting foul by E. Turner (drawn by T. Evans),,20-14,,
1:20.0,T. Evans misses free throw 1 of 2,,20-14,,
1:20.0,Offensive rebound by Team,,20-14,,
1:20.0,,,20-14,,C. McCollum enters the game for D. Lillard
1:20.0,,,20-14,,S. Napier enters the game for N. Vonleh
1:20.0,T. Evans makes free throw 2 of 2,1,21-14,,
1:08.0,,,21-16,2,E. Turner makes 2-pt shot from 16 ft
0:56.0,C. Parsons misses 2-pt shot from 2 ft,,21-16,,
0:52.0,,,21-16,,Defensive rebound by P. Connaughton
0:52.0,,,21-16,,Turnover by E. Turner (out of bounds lost ball)
0:39.0,Turnover by T. Evans (bad pass; steal by C. McCollum),,21-16,,
0:32.0,,,21-18,2,C. McCollum makes 2-pt shot from 1 ft
0:29.0,Turnover by M. Chalmers (lost ball; steal by E. Davis),,21-18,,
0:10.0,,,21-20,2,C. McCollum makes 2-pt shot from 2 ft
0:10.0,,,21-20,,Shooting foul by C. Parsons (drawn by C. McCollum)
0:10.0,,,21-21,1,C. McCollum makes free throw 1 of 1
0:00.0,Shooting foul by E. Davis (drawn by T. Evans),,21-21,,
0:00.0,T. Evans makes free throw 1 of 2,1,22-21,,
0:00.0,T. Evans makes free throw 2 of 2,1,23-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-21,,Shooting foul by C. Parsons (drawn by E. Turner)
11:43.0,,,23-22,1,E. Turner makes free throw 1 of 2
11:43.0,,,23-22,,N. Vonleh enters the game for E. Davis
11:43.0,,,23-23,1,E. Turner makes free throw 2 of 2
11:31.0,B. Wright makes 2-pt shot from 2 ft (assist by T. Evans),2,25-23,,
11:17.0,,,25-25,2,S. Napier makes 2-pt shot at rim (assist by C. McCollum)
11:03.0,C. Parsons makes 3-pt shot from 25 ft (assist by T. Evans),3,28-25,,
10:35.0,,,28-25,,Shooting foul by T. Evans (drawn by P. Connaughton)
10:35.0,,,28-26,1,P. Connaughton makes free throw 1 of 2
10:35.0,J. Martin enters the game for C. Parsons,,28-26,,
10:35.0,,,28-27,1,P. Connaughton makes free throw 2 of 2
10:18.0,Shooting foul by N. Vonleh (drawn by B. Wright),,28-27,,
10:18.0,B. Wright misses free throw 1 of 2,,28-27,,
10:18.0,Offensive rebound by Team,,28-27,,
10:18.0,B. Wright makes free throw 2 of 2,1,29-27,,
10:00.0,,,29-27,,C. McCollum misses 3-pt shot from 26 ft
9:58.0,Defensive rebound by T. Evans,,29-27,,
9:42.0,J. Martin misses 3-pt shot from 24 ft,,29-27,,
9:40.0,,,29-27,,Defensive rebound by P. Connaughton
9:33.0,,,29-29,2,E. Turner makes 2-pt shot from 14 ft
9:06.0,T. Evans misses 2-pt shot from 1 ft,,29-29,,
9:05.0,,,29-29,,Defensive rebound by E. Turner
8:56.0,,,29-29,,P. Connaughton misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by M. Chalmers,,29-29,,
8:39.0,M. Gasol enters the game for T. Evans,,29-29,,
8:39.0,J. Ennis enters the game for B. Wright,,29-29,,
8:33.0,Jump ball: N. Vonleh vs. J. Martin (P. Connaughton gains possession),,,,Jump ball: N. Vonleh vs. J. Martin (P. Connaughton gains possession)
8:33.0,Turnover by J. Martin (turnover; steal by N. Vonleh),,29-29,,
8:18.0,,,29-31,2,S. Napier makes 2-pt shot from 4 ft
8:00.0,J. Ennis makes 2-pt shot from 15 ft,2,31-31,,
7:53.0,Personal foul by D. Brooks (drawn by N. Vonleh),,31-31,,
7:53.0,,,31-31,,J. Nurkic enters the game for N. Vonleh
7:41.0,,,31-31,,S. Napier misses 2-pt shot from 1 ft (block by M. Gasol)
7:41.0,,,31-31,,Offensive rebound by Team
7:41.0,,,31-31,,Portland full timeout
7:37.0,,,31-31,,E. Turner misses 2-pt shot from 21 ft
7:33.0,Defensive rebound by D. Brooks,,31-31,,
7:18.0,D. Brooks makes 2-pt shot from 14 ft (assist by M. Gasol),2,33-31,,
7:00.0,,,33-33,2,J. Nurkic makes 2-pt shot from 6 ft (assist by E. Turner)
6:49.0,D. Brooks misses 2-pt shot from 2 ft (block by P. Connaughton),,33-33,,
6:49.0,,,33-33,,Defensive rebound by Team
6:49.0,Loose ball foul by J. Martin (drawn by J. Nurkic),,33-33,,
6:49.0,,,33-33,,D. Lillard enters the game for C. McCollum
6:49.0,,,33-33,,M. Harkless enters the game for P. Connaughton
6:49.0,M. Conley enters the game for M. Chalmers,,33-33,,
6:29.0,,,33-33,,D. Lillard misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by J. Martin,,33-33,,
6:15.0,M. Conley misses 2-pt shot from 1 ft,,33-33,,
6:10.0,Offensive rebound by J. Martin,,33-33,,
6:10.0,J. Martin makes 2-pt shot at rim,2,35-33,,
6:04.0,,,35-33,,Turnover by E. Turner (palming)
5:53.0,Turnover by M. Conley (bad pass; steal by J. Nurkic),,35-33,,
5:46.0,,,35-33,,Turnover by D. Lillard (bad pass; steal by D. Brooks)
5:33.0,M. Gasol makes 2-pt shot from 8 ft (assist by M. Conley),2,37-33,,
5:24.0,Personal foul by J. Martin (drawn by E. Turner),,37-33,,
5:24.0,,,37-34,1,E. Turner makes free throw 1 of 2
5:24.0,T. Evans enters the game for D. Brooks,,37-34,,
5:24.0,,,37-35,1,E. Turner makes free throw 2 of 2
5:07.0,T. Evans misses 3-pt shot from 22 ft,,37-35,,
5:00.0,,,37-35,,Defensive rebound by S. Napier
4:53.0,,,37-35,,J. Nurkic misses 2-pt shot from 15 ft
4:51.0,Defensive rebound by J. Martin,,37-35,,
4:38.0,M. Conley misses 2-pt shot from 13 ft,,37-35,,
4:34.0,Offensive rebound by J. Martin,,37-35,,
4:34.0,J. Martin misses 2-pt shot at rim,,37-35,,
4:34.0,,,37-35,,Defensive rebound by J. Nurkic
4:21.0,,,37-35,,Turnover by S. Napier (bad pass; steal by M. Conley)
4:16.0,T. Evans makes 2-pt shot at rim (assist by M. Conley),2,39-35,,
4:05.0,,,39-35,,D. Lillard misses 3-pt shot from 29 ft
4:02.0,Defensive rebound by J. Martin,,39-35,,
3:50.0,J. Ennis makes 2-pt shot from 2 ft,2,41-35,,
3:30.0,,,41-35,,Turnover by J. Nurkic (lost ball; steal by T. Evans)
3:27.0,Turnover by T. Evans (bad pass),,41-35,,
3:12.0,,,41-37,2,D. Lillard makes 2-pt shot at rim
2:59.0,M. Gasol misses 3-pt shot from 26 ft,,41-37,,
2:58.0,,,41-37,,Defensive rebound by J. Nurkic
2:41.0,,,41-40,3,S. Napier makes 3-pt shot from 24 ft (assist by E. Turner)
2:34.0,Memphis full timeout,,41-40,,
2:34.0,,,41-40,,C. McCollum enters the game for S. Napier
2:34.0,C. Parsons enters the game for J. Martin,,41-40,,
2:34.0,D. Brooks enters the game for J. Ennis,,41-40,,
2:25.0,Turnover by M. Gasol (lost ball; steal by C. McCollum),,41-40,,
2:17.0,,,41-40,,Shooting foul by D. Brooks (drawn by D. Lillard)
2:17.0,,,41-41,1,D. Lillard makes free throw 1 of 3
2:17.0,,,41-42,1,D. Lillard makes free throw 2 of 3
2:17.0,,,41-43,1,D. Lillard makes free throw 3 of 3
2:02.0,M. Gasol makes 2-pt shot from 14 ft,2,43-43,,
1:36.0,Personal foul by C. Parsons (drawn by C. McCollum),,43-43,,
1:36.0,,,43-44,1,C. McCollum makes free throw 1 of 2
1:36.0,,,43-44,,C. McCollum misses free throw 2 of 2
1:34.0,Defensive rebound by M. Gasol,,43-44,,
1:21.0,Turnover by C. Parsons (lost ball; steal by M. Harkless),,43-44,,
1:17.0,,,43-46,2,C. McCollum makes 2-pt shot from 2 ft
1:07.0,T. Evans makes 2-pt shot from 2 ft,2,45-46,,
1:00.0,,,45-48,2,D. Lillard makes 2-pt shot at rim
0:49.0,M. Conley misses 2-pt shot from 1 ft,,45-48,,
0:47.0,,,45-48,,Defensive rebound by D. Lillard
0:30.0,,,45-48,,D. Lillard misses 2-pt shot from 12 ft
0:27.0,,,45-48,,Offensive rebound by D. Lillard
0:24.0,,,45-48,,Turnover by D. Lillard (bad pass; steal by M. Conley)
0:19.0,T. Evans makes 2-pt shot from 1 ft (assist by M. Conley),2,47-48,,
0:00.0,,,47-50,2,C. McCollum makes 2-pt shot from 7 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,47-53,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
11:26.0,M. Conley misses 3-pt shot from 24 ft,,47-53,,
11:24.0,,,47-53,,Defensive rebound by N. Vonleh
11:13.0,,,47-53,,C. McCollum misses 2-pt shot from 3 ft (block by D. Brooks)
11:13.0,,,47-53,,Offensive rebound by Team
11:06.0,,,47-53,,J. Nurkic misses 2-pt shot from 10 ft
11:05.0,,,47-53,,Offensive rebound by N. Vonleh
11:05.0,Personal foul by J. Martin (drawn by N. Vonleh),,47-53,,
10:52.0,,,47-53,,Turnover by M. Harkless (traveling)
10:40.0,M. Conley misses 2-pt shot from 19 ft,,47-53,,
10:38.0,,,47-53,,Defensive rebound by J. Nurkic
10:21.0,,,47-53,,D. Lillard misses 2-pt shot from 2 ft (block by M. Gasol)
10:21.0,,,47-53,,Offensive rebound by Team
10:17.0,,,47-55,2,N. Vonleh makes 2-pt shot from 1 ft
9:58.0,J. Martin makes 2-pt shot at rim (assist by M. Conley),2,49-55,,
9:37.0,,,49-55,,C. McCollum misses 3-pt shot from 28 ft
9:33.0,,,49-55,,Offensive rebound by J. Nurkic
9:29.0,,,49-55,,Offensive foul by N. Vonleh (drawn by M. Conley)
9:29.0,,,49-55,,Turnover by N. Vonleh (offensive foul)
9:11.0,M. Gasol makes 2-pt shot from 18 ft,2,51-55,,
8:55.0,Personal foul by D. Brooks (drawn by J. Nurkic),,51-55,,
8:46.0,,,51-57,2,J. Nurkic makes 2-pt shot from 16 ft (assist by D. Lillard)
8:32.0,Shooting foul by D. Lillard (drawn by M. Conley),,51-57,,
8:32.0,M. Conley makes free throw 1 of 2,1,52-57,,
8:32.0,M. Conley makes free throw 2 of 2,1,53-57,,
8:18.0,,,53-57,,J. Nurkic misses 2-pt shot from 4 ft
8:17.0,Defensive rebound by D. Brooks,,53-57,,
8:04.0,M. Conley makes 2-pt shot at rim (assist by M. Gasol),2,55-57,,
7:47.0,,,55-57,,C. McCollum misses 2-pt shot at rim
7:45.0,Defensive rebound by J. Martin,,55-57,,
7:36.0,Turnover by M. Conley (lost ball; steal by M. Harkless),,55-57,,
7:18.0,,,55-57,,J. Nurkic misses 2-pt shot from 18 ft (block by M. Gasol)
7:14.0,Defensive rebound by D. Brooks,,55-57,,
7:09.0,M. Gasol misses 3-pt shot from 28 ft,,55-57,,
7:06.0,,,55-57,,Defensive rebound by N. Vonleh
6:55.0,,,55-57,,D. Lillard misses 2-pt shot from 20 ft
6:50.0,Defensive rebound by J. Ennis,,55-57,,
6:33.0,M. Conley makes 2-pt shot at rim,2,57-57,,
6:33.0,Shooting foul by J. Nurkic (drawn by M. Conley),,57-57,,
6:33.0,,,57-57,,Portland full timeout
6:33.0,M. Conley makes free throw 1 of 1,1,58-57,,
6:17.0,,,58-57,,D. Lillard misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by D. Brooks,,58-57,,
6:08.0,J. Martin misses 2-pt shot from 1 ft,,58-57,,
6:07.0,,,58-57,,Defensive rebound by J. Nurkic
6:03.0,Personal foul by M. Conley (drawn by C. McCollum),,58-57,,
6:03.0,C. Parsons enters the game for D. Brooks,,58-57,,
6:03.0,T. Evans enters the game for J. Martin,,58-57,,
5:54.0,,,58-57,,C. McCollum misses 2-pt shot from 20 ft
5:52.0,Defensive rebound by J. Ennis,,58-57,,
5:45.0,M. Gasol misses 2-pt shot from 3 ft,,58-57,,
5:43.0,,,58-57,,Defensive rebound by M. Harkless
5:25.0,,,58-57,,M. Harkless misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by M. Gasol,,58-57,,
5:19.0,M. Conley makes 2-pt shot at rim,2,60-57,,
5:19.0,Shooting foul by N. Vonleh (drawn by M. Conley),,60-57,,
5:19.0,,,60-57,,E. Davis enters the game for C. McCollum
5:19.0,,,60-57,,E. Turner enters the game for M. Harkless
5:19.0,,,60-57,,P. Connaughton enters the game for J. Nurkic
5:19.0,M. Conley makes free throw 1 of 1,1,61-57,,
5:02.0,,,61-57,,Turnover by D. Lillard (bad pass; steal by T. Evans)
4:52.0,T. Evans misses 3-pt shot from 23 ft,,61-57,,
4:49.0,,,61-57,,Defensive rebound by P. Connaughton
4:43.0,,,61-57,,E. Turner misses 2-pt shot from 16 ft
4:41.0,Defensive rebound by Team,,61-57,,
4:24.0,M. Chalmers enters the game for M. Conley,,61-57,,
4:23.0,,,61-57,,Personal foul by P. Connaughton (drawn by J. Ennis)
4:23.0,,,61-57,,S. Napier enters the game for N. Vonleh
4:23.0,J. Ennis makes free throw 1 of 1,1,62-57,,
4:13.0,M. Gasol misses 2-pt shot from 14 ft,,62-57,,
4:09.0,,,62-57,,Defensive rebound by D. Lillard
3:57.0,,,62-59,2,S. Napier makes 2-pt shot at rim
3:46.0,Shooting foul by E. Davis (drawn by M. Gasol),,62-59,,
3:46.0,M. Gasol makes free throw 1 of 2,1,63-59,,
3:46.0,M. Gasol makes free throw 2 of 2,1,64-59,,
3:35.0,Personal foul by M. Chalmers (drawn by S. Napier),,64-59,,
3:24.0,,,64-59,,S. Napier misses 2-pt shot from 13 ft (block by T. Evans)
3:13.0,Defensive rebound by M. Chalmers,,64-59,,
3:12.0,J. Ennis makes 2-pt shot at rim (assist by M. Chalmers),2,66-59,,
3:00.0,,,66-61,2,E. Turner makes 2-pt shot from 3 ft
2:35.0,M. Gasol misses 2-pt shot from 15 ft,,66-61,,
2:31.0,,,66-61,,Defensive rebound by E. Davis
2:25.0,,,66-63,2,D. Lillard makes 2-pt shot at rim
2:25.0,Memphis full timeout,,66-63,,
2:25.0,,,66-63,,C. McCollum enters the game for D. Lillard
2:25.0,D. Brooks enters the game for J. Ennis,,66-63,,
2:25.0,B. Wright enters the game for M. Gasol,,66-63,,
2:12.0,M. Chalmers misses 2-pt shot from 7 ft,,66-63,,
2:10.0,,,66-63,,Defensive rebound by E. Davis
2:01.0,,,66-65,2,E. Turner makes 2-pt shot from 14 ft
1:40.0,T. Evans makes 2-pt shot from 20 ft,2,68-65,,
1:18.0,,,68-65,,Shooting foul by M. Chalmers (drawn by E. Turner)
1:18.0,,,68-66,1,E. Turner makes free throw 1 of 2
1:18.0,,,68-67,1,E. Turner makes free throw 2 of 2
1:05.0,B. Wright makes 2-pt shot from 1 ft (assist by T. Evans),2,70-67,,
0:47.0,,,70-67,,E. Turner misses 2-pt shot from 10 ft
0:45.0,,,70-67,,Offensive rebound by E. Davis
0:36.0,,,70-69,2,C. McCollum makes 2-pt shot from 9 ft
0:29.0,,,70-69,,Personal foul by E. Davis (drawn by T. Evans)
0:29.0,T. Evans makes free throw 1 of 2,1,71-69,,
0:29.0,J. Ennis enters the game for M. Chalmers,,71-69,,
0:29.0,T. Evans misses free throw 2 of 2,,71-69,,
0:28.0,,,71-69,,Defensive rebound by S. Napier
0:11.0,,,71-69,,Shooting foul by B. Wright (drawn by C. McCollum)
0:11.0,,,71-70,1,C. McCollum makes free throw 1 of 2
0:11.0,,,71-70,,J. Nurkic enters the game for E. Davis
0:11.0,M. Conley enters the game for B. Wright,,71-70,,
0:11.0,,,71-71,1,C. McCollum makes free throw 2 of 2
0:01.0,M. Conley makes 3-pt shot from 24 ft,3,74-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,T. Evans makes 2-pt shot from 1 ft,2,76-71,,
11:29.0,,,76-73,2,C. McCollum makes 2-pt shot from 14 ft
11:12.0,M. Conley misses 2-pt shot from 19 ft,,76-73,,
11:09.0,,,76-73,,Defensive rebound by P. Connaughton
11:03.0,,,76-75,2,C. McCollum makes 2-pt shot at rim
10:48.0,T. Evans misses 2-pt shot from 1 ft,,76-75,,
10:47.0,,,76-75,,Defensive rebound by E. Davis
10:43.0,,,76-77,2,S. Napier makes 2-pt shot at rim
10:43.0,,,76-77,,Shooting foul by M. Conley (drawn by S. Napier)
10:43.0,,,76-78,1,S. Napier makes free throw 1 of 1
10:31.0,Turnover by M. Conley (lost ball; steal by C. McCollum),,76-78,,
10:21.0,,,76-78,,Turnover by E. Turner (traveling)
10:15.0,Offensive foul by C. Parsons (drawn by S. Napier),,76-78,,
10:15.0,Turnover by C. Parsons (offensive foul),,76-78,,
9:56.0,,,76-78,,C. McCollum misses 3-pt shot from 22 ft
9:54.0,Defensive rebound by D. Brooks,,76-78,,
9:49.0,Turnover by C. Parsons (out of bounds lost ball),,76-78,,
9:32.0,,,76-78,,E. Turner misses 2-pt shot from 8 ft
9:30.0,Defensive rebound by B. Wright,,76-78,,
9:20.0,T. Evans makes 3-pt shot from 24 ft,3,79-78,,
9:03.0,,,79-80,2,C. McCollum makes 2-pt shot at rim
8:45.0,M. Conley makes 2-pt shot at rim,2,81-80,,
8:28.0,,,81-82,2,C. McCollum makes 2-pt shot from 17 ft
8:05.0,C. Parsons misses 3-pt shot from 24 ft,,81-82,,
8:04.0,,,81-82,,Defensive rebound by E. Davis
7:42.0,,,81-82,,S. Napier misses 2-pt shot from 2 ft (block by M. Conley)
7:39.0,Defensive rebound by D. Brooks,,81-82,,
7:26.0,T. Evans makes 2-pt shot from 22 ft,2,83-82,,
7:25.0,,,83-82,,Portland full timeout
7:25.0,,,83-82,,D. Lillard enters the game for S. Napier
7:25.0,,,83-82,,J. Nurkic enters the game for E. Davis
7:25.0,M. Gasol enters the game for D. Brooks,,83-82,,
7:25.0,J. Ennis enters the game for B. Wright,,83-82,,
7:02.0,,,83-82,,Turnover by C. McCollum (lost ball; steal by T. Evans)
6:57.0,T. Evans makes 2-pt shot from 1 ft,2,85-82,,
6:34.0,,,85-84,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
6:15.0,M. Conley makes 3-pt shot from 24 ft (assist by T. Evans),3,88-84,,
5:46.0,,,88-87,3,C. McCollum makes 3-pt shot from 27 ft (assist by D. Lillard)
5:14.0,Offensive foul by C. Parsons (drawn by P. Connaughton),,88-87,,
5:14.0,Turnover by C. Parsons (offensive foul),,88-87,,
5:14.0,M. Chalmers enters the game for M. Conley,,88-87,,
5:14.0,D. Brooks enters the game for C. Parsons,,88-87,,
5:03.0,,,88-87,,D. Lillard misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by M. Chalmers,,88-87,,
4:39.0,T. Evans misses 2-pt shot from 1 ft,,88-87,,
4:36.0,,,88-87,,Defensive rebound by D. Lillard
4:18.0,,,88-87,,J. Nurkic misses 2-pt shot from 1 ft (block by M. Gasol)
4:16.0,Defensive rebound by M. Gasol,,88-87,,
4:11.0,M. Chalmers makes 2-pt shot from 1 ft,2,90-87,,
3:56.0,,,90-87,,Turnover by D. Lillard (bad pass)
3:34.0,D. Brooks makes 2-pt shot at rim (assist by M. Gasol),2,92-87,,
3:34.0,,,92-87,,Portland full timeout
3:34.0,,,92-87,,E. Davis enters the game for P. Connaughton
3:34.0,,,92-87,,M. Harkless enters the game for J. Nurkic
3:12.0,,,92-89,2,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard)
2:51.0,Memphis full timeout,,92-89,,
2:51.0,M. Conley enters the game for M. Chalmers,,92-89,,
2:51.0,,,92-89,,Personal foul by E. Turner (drawn by D. Brooks)
2:51.0,M. Gasol makes free throw 1 of 1,1,93-89,,
2:46.0,M. Conley misses 2-pt shot from 15 ft,,93-89,,
2:43.0,,,93-89,,Defensive rebound by E. Davis
2:36.0,,,93-91,2,D. Lillard makes 2-pt shot at rim
2:09.0,Turnover by Team (shot clock),,93-91,,
1:48.0,,,93-91,,C. McCollum misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by M. Gasol,,93-91,,
1:27.0,M. Gasol misses 2-pt shot from 8 ft,,93-91,,
1:25.0,,,93-91,,Defensive rebound by E. Davis
1:19.0,,,93-91,,E. Turner misses 2-pt shot from 2 ft
1:16.0,Defensive rebound by D. Brooks,,93-91,,
0:53.0,T. Evans misses 3-pt shot from 24 ft,,93-91,,
0:52.0,,,93-91,,Defensive rebound by C. McCollum
0:41.0,,,93-91,,Turnover by E. Davis (lost ball; steal by D. Brooks)
0:39.0,D. Brooks makes 2-pt shot at rim (assist by T. Evans),2,95-91,,
0:39.0,Shooting foul by C. McCollum (drawn by D. Brooks),,95-91,,
0:39.0,D. Brooks makes free throw 1 of 1,1,96-91,,
0:28.0,,,96-91,,Shooting foul by M. Conley (drawn by E. Turner)
0:28.0,,,96-92,1,E. Turner makes free throw 1 of 2
0:28.0,,,96-92,,P. Connaughton enters the game for E. Davis
0:28.0,,,96-92,,S. Napier enters the game for P. Connaughton
0:28.0,,,96-93,1,E. Turner makes free throw 2 of 2
0:23.0,,,96-93,,Personal take foul by M. Harkless (drawn by M. Conley)
0:23.0,,,96-93,,E. Davis enters the game for D. Lillard
