time,Minnesota,pts.away,score,pts.home,Philadelphia
1:49.0,,,20-27,,J. Redick misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by G. Dieng,,20-27,,
1:31.0,K. Towns misses 2-pt shot from 17 ft,,20-27,,
1:27.0,,,20-27,,Defensive rebound by J. Anderson
1:23.0,Personal foul by K. Towns (drawn by E. Ilyasova),,20-27,,
1:23.0,T. Gibson enters the game for K. Towns,,20-27,,
1:19.0,,,20-27,,Offensive foul by J. Redick (drawn by T. Gibson)
1:19.0,,,20-27,,Turnover by J. Redick (offensive foul)
1:10.0,J. Crawford misses 2-pt shot from 19 ft,,20-27,,
1:06.0,,,20-27,,Defensive rebound by T. McConnell
1:00.0,,,20-27,,J. Embiid misses 3-pt shot from 25 ft
0:57.0,,,20-27,,Offensive rebound by E. Ilyasova
0:56.0,,,20-29,2,E. Ilyasova makes 2-pt shot from 1 ft
0:46.0,A. Wiggins makes 2-pt shot from 13 ft (assist by T. Gibson),2,22-29,,
0:33.0,,,22-29,,J. Embiid misses 2-pt shot from 15 ft
0:29.0,Defensive rebound by A. Wiggins,,22-29,,
0:07.0,G. Dieng makes 2-pt shot from 14 ft (assist by A. Wiggins),2,24-29,,
0:01.0,,,24-31,2,J. Anderson makes 2-pt shot from 1 ft
0:01.0,,,24-31,,Shooting foul by J. Crawford (drawn by J. Anderson)
0:01.0,,,24-32,1,J. Anderson makes free throw 1 of 1
0:01.0,Turnover by J. Crawford (bad pass; steal by E. Ilyasova),,24-32,,
0:00.0,,,24-32,,E. Ilyasova misses 2-pt shot from 4 ft
0:00.0,,,24-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,24-34,2,J. Embiid makes 2-pt shot from 2 ft
11:16.0,T. Gibson makes 2-pt shot from 15 ft (assist by J. Crawford),2,26-34,,
10:58.0,,,26-34,,Shooting foul by T. Gibson (drawn by J. Embiid)
10:58.0,,,26-34,,J. Embiid misses free throw 1 of 2
10:58.0,,,26-34,,Offensive rebound by Team
10:58.0,,,26-35,1,J. Embiid makes free throw 2 of 2
10:41.0,J. Crawford makes 2-pt shot from 14 ft,2,28-35,,
10:30.0,,,28-35,,J. Anderson misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by T. Jones,,28-35,,
10:18.0,Shooting foul by E. Ilyasova (drawn by T. Gibson),,28-35,,
10:18.0,T. Gibson makes free throw 1 of 2,1,29-35,,
10:18.0,,,29-35,,R. Covington enters the game for J. Anderson
10:18.0,T. Gibson misses free throw 2 of 2,,29-35,,
10:14.0,,,29-35,,Defensive rebound by J. Embiid
10:03.0,,,29-37,2,J. Embiid makes 2-pt shot at rim (assist by J. Redick)
9:52.0,,,29-37,,Personal foul by J. Redick (drawn by J. Crawford)
9:52.0,,,29-37,,D. Saric enters the game for E. Ilyasova
9:44.0,K. Towns misses 2-pt shot from 3 ft,,29-37,,
9:42.0,,,29-37,,Defensive rebound by Team
9:31.0,,,29-37,,Turnover by J. Embiid (bad pass)
9:23.0,T. Jones makes 2-pt shot from 11 ft,2,31-37,,
9:13.0,,,31-37,,Philadelphia full timeout
9:13.0,,,31-37,,M. Belinelli enters the game for T. McConnell
9:13.0,,,31-37,,B. Simmons enters the game for J. Redick
9:13.0,J. Teague enters the game for T. Jones,,31-37,,
9:13.0,A. Wiggins enters the game for J. Crawford,,31-37,,
9:08.0,,,31-37,,B. Simmons misses 2-pt shot from 4 ft
9:02.0,Defensive rebound by A. Wiggins,,31-37,,
9:01.0,A. Wiggins misses 2-pt shot from 1 ft,,31-37,,
9:00.0,Offensive rebound by A. Wiggins,,31-37,,
8:59.0,A. Wiggins makes 2-pt shot at rim,2,33-37,,
8:51.0,,,33-40,3,R. Covington makes 3-pt shot from 27 ft (assist by D. Saric)
8:34.0,Turnover by T. Gibson (bad pass; steal by R. Covington),,33-40,,
8:32.0,,,33-40,,Turnover by R. Covington (traveling)
8:12.0,J. Teague misses 2-pt shot from 5 ft,,33-40,,
8:09.0,,,33-40,,Defensive rebound by R. Covington
8:03.0,,,33-42,2,B. Simmons makes 2-pt shot from 6 ft (assist by M. Belinelli)
7:42.0,N. Bjelica makes 2-pt shot from 2 ft (assist by K. Towns),2,35-42,,
7:36.0,,,35-45,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
7:22.0,A. Wiggins misses 3-pt shot from 25 ft,,35-45,,
7:21.0,,,35-45,,Defensive rebound by Team
7:21.0,,,35-45,,A. Johnson enters the game for J. Embiid
7:06.0,,,35-45,,M. Belinelli misses 3-pt shot from 25 ft
7:05.0,,,35-45,,Offensive rebound by D. Saric
7:02.0,,,35-45,,D. Saric misses 2-pt shot from 7 ft
7:00.0,Defensive rebound by A. Wiggins,,35-45,,
6:45.0,A. Wiggins makes 2-pt shot at rim (assist by J. Teague),2,37-45,,
6:31.0,,,37-45,,Turnover by D. Saric (bad pass)
6:16.0,K. Towns makes 2-pt shot at rim (assist by J. Teague),2,39-45,,
6:06.0,,,39-45,,R. Covington misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by N. Bjelica,,39-45,,
5:58.0,J. Teague misses 3-pt shot from 25 ft,,39-45,,
5:55.0,,,39-45,,Defensive rebound by R. Covington
5:49.0,,,39-45,,R. Covington misses 3-pt shot from 27 ft
5:46.0,Defensive rebound by K. Towns,,39-45,,
5:38.0,Shooting foul by A. Johnson (drawn by K. Towns),,39-45,,
5:38.0,K. Towns misses free throw 1 of 2,,39-45,,
5:38.0,Offensive rebound by Team,,39-45,,
5:38.0,K. Towns makes free throw 2 of 2,1,40-45,,
5:22.0,,,40-47,2,A. Johnson makes 2-pt shot from 2 ft (assist by B. Simmons)
5:05.0,,,40-47,,Personal foul by M. Belinelli (drawn by T. Gibson)
4:58.0,K. Towns misses 2-pt shot from 1 ft,,40-47,,
4:55.0,,,40-47,,Defensive rebound by B. Simmons
4:52.0,,,40-47,,D. Saric misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by Team,,40-47,,
4:34.0,A. Wiggins makes 2-pt shot from 12 ft,2,42-47,,
4:22.0,,,42-49,2,M. Belinelli makes 2-pt shot from 2 ft (assist by A. Johnson)
4:07.0,N. Bjelica misses 3-pt shot from 25 ft,,42-49,,
4:05.0,,,42-49,,Defensive rebound by B. Simmons
4:02.0,,,42-49,,Shooting foul by T. Gibson (drawn by D. Saric)
4:02.0,,,42-49,,D. Saric misses free throw 1 of 2
4:02.0,,,42-49,,Offensive rebound by Team
4:02.0,J. Crawford enters the game for N. Bjelica,,42-49,,
4:02.0,,,42-49,,D. Saric misses free throw 2 of 2
3:59.0,Defensive rebound by T. Gibson,,42-49,,
3:52.0,A. Wiggins misses 2-pt shot from 11 ft,,42-49,,
3:49.0,,,42-49,,Defensive rebound by A. Johnson
3:36.0,,,42-51,2,A. Johnson makes 2-pt shot from 1 ft (assist by M. Belinelli)
3:18.0,A. Wiggins makes 2-pt shot from 7 ft (assist by J. Teague),2,44-51,,
3:18.0,Shooting foul by M. Belinelli (drawn by A. Wiggins),,44-51,,
3:18.0,,,44-51,,J. Embiid enters the game for A. Johnson
3:18.0,A. Wiggins misses free throw 1 of 1,,44-51,,
3:18.0,,,44-51,,Defensive rebound by B. Simmons
3:00.0,,,44-51,,Shooting foul by K. Towns (drawn by J. Embiid)
3:00.0,,,44-52,1,J. Embiid makes free throw 1 of 2
3:00.0,,,44-52,,E. Ilyasova enters the game for D. Saric
3:00.0,G. Dieng enters the game for K. Towns,,44-52,,
3:00.0,,,44-53,1,J. Embiid makes free throw 2 of 2
2:46.0,A. Wiggins misses 2-pt shot from 18 ft,,44-53,,
2:44.0,Offensive rebound by G. Dieng,,44-53,,
2:32.0,G. Dieng misses 2-pt shot from 11 ft (block by R. Covington),,44-53,,
2:30.0,Offensive rebound by Team,,44-53,,
2:30.0,Minnesota full timeout,,44-53,,
2:30.0,,,44-53,,J. Redick enters the game for M. Belinelli
2:24.0,A. Wiggins misses 2-pt shot from 21 ft,,44-53,,
2:22.0,,,44-53,,Defensive rebound by E. Ilyasova
2:12.0,,,44-53,,J. Redick misses 3-pt shot from 23 ft
2:09.0,,,44-53,,Offensive rebound by E. Ilyasova
2:07.0,,,44-55,2,E. Ilyasova makes 2-pt shot from 3 ft
1:48.0,Turnover by J. Crawford (palming),,44-55,,
1:32.0,,,44-57,2,J. Embiid makes 2-pt shot from 4 ft
1:19.0,J. Teague makes 2-pt shot from 10 ft,2,46-57,,
1:05.0,,,46-57,,Turnover by B. Simmons (bad pass; steal by G. Dieng)
0:59.0,Shooting foul by E. Ilyasova (drawn by J. Crawford),,46-57,,
0:59.0,J. Crawford makes free throw 1 of 2,1,47-57,,
0:59.0,N. Bjelica enters the game for T. Gibson,,47-57,,
0:59.0,J. Crawford makes free throw 2 of 2,1,48-57,,
0:50.0,,,48-59,2,J. Redick makes 2-pt shot from 14 ft (assist by J. Embiid)
0:30.0,J. Teague misses 2-pt shot from 5 ft (block by J. Embiid),,48-59,,
0:27.0,,,48-59,,Defensive rebound by J. Redick
0:24.0,,,48-59,,J. Redick misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by G. Dieng,,48-59,,
0:02.0,J. Crawford makes 2-pt shot from 15 ft,2,50-59,,
0:02.0,,,50-59,,Turnover by Team (turnover)
0:00.0,J. Crawford makes 2-pt shot from 19 ft (assist by J. Teague),2,52-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,52-59,,J. Embiid misses 2-pt shot from 8 ft (block by K. Towns)
11:44.0,Defensive rebound by N. Bjelica,,52-59,,
11:36.0,K. Towns misses 3-pt shot from 25 ft,,52-59,,
11:33.0,,,52-59,,Defensive rebound by D. Saric
11:27.0,,,52-61,2,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons)
11:02.0,A. Wiggins misses 2-pt shot from 20 ft,,52-61,,
10:59.0,,,52-61,,Defensive rebound by R. Covington
10:46.0,,,52-63,2,J. Embiid makes 2-pt shot from 17 ft
10:29.0,K. Towns misses 3-pt shot from 24 ft,,52-63,,
10:26.0,,,52-63,,Defensive rebound by B. Simmons
10:21.0,,,52-63,,Turnover by B. Simmons (bad pass; steal by K. Towns)
10:18.0,Turnover by K. Towns (bad pass; steal by B. Simmons),,52-63,,
10:13.0,,,52-66,3,J. Redick makes 3-pt shot from 25 ft (assist by D. Saric)
10:12.0,Minnesota full timeout,,52-66,,
10:00.0,Shooting foul by J. Embiid (drawn by K. Towns),,52-66,,
10:00.0,K. Towns makes free throw 1 of 2,1,53-66,,
10:00.0,K. Towns makes free throw 2 of 2,1,54-66,,
9:52.0,Personal foul by T. Gibson (drawn by J. Embiid),,54-66,,
9:41.0,,,54-68,2,B. Simmons makes 2-pt shot from 5 ft (assist by J. Embiid)
9:23.0,J. Teague misses 2-pt shot from 10 ft,,54-68,,
9:19.0,,,54-68,,Defensive rebound by J. Redick
9:18.0,,,54-68,,Shooting foul by N. Bjelica (drawn by D. Saric)
9:18.0,,,54-69,1,D. Saric makes free throw 1 of 2
9:18.0,,,54-70,1,D. Saric makes free throw 2 of 2
9:09.0,Turnover by K. Towns (bad pass),,54-70,,
9:09.0,Loose ball foul by T. Gibson (drawn by D. Saric),,54-70,,
9:09.0,J. Crawford enters the game for T. Gibson,,54-70,,
9:01.0,,,54-70,,J. Redick misses 2-pt shot from 20 ft
8:57.0,Defensive rebound by J. Teague,,54-70,,
8:53.0,N. Bjelica misses 2-pt shot from 2 ft (block by J. Embiid),,54-70,,
8:51.0,,,54-70,,Defensive rebound by B. Simmons
8:45.0,,,54-70,,Shooting foul by J. Teague (drawn by B. Simmons)
8:45.0,,,54-71,1,B. Simmons makes free throw 1 of 2
8:45.0,,,54-71,,B. Simmons misses free throw 2 of 2
8:43.0,Defensive rebound by K. Towns,,54-71,,
8:36.0,K. Towns misses 2-pt shot from 4 ft (block by J. Embiid),,54-71,,
8:32.0,,,54-71,,Defensive rebound by R. Covington
8:29.0,,,54-71,,J. Redick misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by K. Towns,,54-71,,
8:20.0,A. Wiggins misses 3-pt shot from 26 ft,,54-71,,
8:18.0,,,54-71,,Defensive rebound by J. Embiid
8:12.0,,,54-74,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
7:58.0,J. Crawford misses 2-pt shot from 12 ft,,54-74,,
7:56.0,,,54-74,,Defensive rebound by J. Embiid
7:50.0,,,54-74,,J. Redick misses 3-pt shot from 25 ft
7:47.0,Defensive rebound by A. Wiggins,,54-74,,
7:40.0,A. Wiggins makes 2-pt shot from 13 ft,2,56-74,,
7:39.0,,,56-74,,Philadelphia full timeout
7:39.0,,,56-74,,M. Belinelli enters the game for J. Redick
7:23.0,,,56-74,,J. Embiid misses 2-pt shot from 15 ft
7:19.0,Defensive rebound by K. Towns,,56-74,,
7:06.0,N. Bjelica misses 3-pt shot from 23 ft,,56-74,,
7:04.0,Offensive rebound by K. Towns,,56-74,,
7:02.0,Turnover by K. Towns (lost ball; steal by R. Covington),,56-74,,
6:55.0,,,56-77,3,J. Embiid makes 3-pt shot from 24 ft (assist by B. Simmons)
6:43.0,Turnover by J. Teague (bad pass; steal by R. Covington),,56-77,,
6:40.0,,,56-79,2,J. Embiid makes 2-pt shot from 1 ft (assist by R. Covington)
6:39.0,Minnesota full timeout,,56-79,,
6:39.0,,,56-79,,A. Johnson enters the game for J. Embiid
6:39.0,T. Jones enters the game for J. Teague,,56-79,,
6:21.0,Shooting foul by A. Johnson (drawn by K. Towns),,56-79,,
6:21.0,K. Towns makes free throw 1 of 2,1,57-79,,
6:21.0,K. Towns makes free throw 2 of 2,1,58-79,,
6:09.0,,,58-79,,D. Saric misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by K. Towns,,58-79,,
5:59.0,Offensive foul by K. Towns (drawn by A. Johnson),,58-79,,
5:59.0,Turnover by K. Towns (offensive foul),,58-79,,
5:59.0,G. Dieng enters the game for K. Towns,,58-79,,
5:44.0,,,58-81,2,D. Saric makes 2-pt shot at rim (assist by B. Simmons)
5:44.0,,,58-81,,Shooting foul by N. Bjelica (drawn by D. Saric)
5:44.0,,,58-82,1,D. Saric makes free throw 1 of 1
5:34.0,J. Crawford makes 2-pt shot from 8 ft (assist by G. Dieng),2,60-82,,
5:16.0,,,60-82,,R. Covington misses 3-pt shot from 25 ft
5:13.0,,,60-82,,Offensive rebound by D. Saric
5:09.0,,,60-82,,A. Johnson misses 2-pt shot from 4 ft (block by G. Dieng)
5:09.0,,,60-82,,Offensive rebound by Team
5:09.0,,,60-82,,E. Ilyasova enters the game for D. Saric
5:04.0,,,60-84,2,B. Simmons makes 2-pt shot from 3 ft (assist by A. Johnson)
4:43.0,Offensive charge foul by N. Bjelica (drawn by A. Johnson),,60-84,,
4:43.0,Turnover by N. Bjelica (offensive foul),,60-84,,
4:34.0,,,60-86,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by B. Simmons)
4:21.0,J. Crawford misses 2-pt shot from 17 ft,,60-86,,
4:18.0,Offensive rebound by G. Dieng,,60-86,,
4:15.0,Shooting foul by B. Simmons (drawn by A. Wiggins),,60-86,,
4:15.0,A. Wiggins makes free throw 1 of 2,1,61-86,,
4:15.0,,,61-86,,J. Anderson enters the game for R. Covington
4:15.0,A. Wiggins makes free throw 2 of 2,1,62-86,,
4:11.0,,,62-86,,E. Ilyasova misses 3-pt shot from 27 ft
4:07.0,Defensive rebound by A. Wiggins,,62-86,,
4:04.0,,,62-86,,Personal foul by J. Anderson (drawn by A. Wiggins)
3:50.0,N. Bjelica misses 3-pt shot from 23 ft,,62-86,,
3:46.0,,,62-86,,Defensive rebound by B. Simmons
3:42.0,,,62-86,,Shooting foul by N. Bjelica (drawn by B. Simmons)
3:42.0,,,62-86,,B. Simmons misses free throw 1 of 2
3:42.0,,,62-86,,Offensive rebound by Team
3:42.0,,,62-87,1,B. Simmons makes free throw 2 of 2
3:35.0,A. Wiggins misses 2-pt shot from 9 ft,,62-87,,
3:32.0,,,62-87,,Defensive rebound by J. Anderson
3:23.0,,,62-87,,B. Simmons misses 2-pt shot from 13 ft
3:13.0,,,62-87,,Offensive rebound by B. Simmons
3:13.0,,,62-87,,B. Simmons misses 2-pt shot at rim
3:12.0,,,62-87,,Offensive rebound by B. Simmons
3:12.0,,,62-89,2,B. Simmons makes 2-pt shot at rim
2:57.0,N. Bjelica misses 2-pt shot from 2 ft,,62-89,,
2:53.0,Offensive rebound by N. Bjelica,,62-89,,
2:53.0,N. Bjelica misses 2-pt shot at rim,,62-89,,
2:51.0,,,62-89,,Defensive rebound by E. Ilyasova
2:44.0,,,62-89,,J. Anderson misses 3-pt shot from 25 ft
2:43.0,,,62-89,,Offensive rebound by Team
2:43.0,Loose ball foul by N. Bjelica (drawn by E. Ilyasova),,62-89,,
2:43.0,,,62-90,1,E. Ilyasova makes free throw 1 of 2
2:43.0,M. Georges-Hunt enters the game for A. Wiggins,,62-90,,
2:43.0,,,62-90,,E. Ilyasova misses free throw 2 of 2
2:42.0,Defensive rebound by Team,,62-90,,
2:39.0,,,62-90,,Personal foul by J. Anderson (drawn by J. Crawford)
2:39.0,J. Crawford makes free throw 1 of 2,1,63-90,,
2:39.0,J. Crawford makes free throw 2 of 2,1,64-90,,
2:22.0,,,64-90,,Turnover by B. Simmons (bad pass; steal by T. Jones)
2:14.0,Turnover by J. Crawford (lost ball; steal by J. Anderson),,64-90,,
2:09.0,,,64-92,2,B. Simmons makes 2-pt shot from 1 ft (assist by J. Anderson)
1:49.0,T. Jones makes 2-pt shot from 7 ft,2,66-92,,
1:26.0,,,66-92,,Turnover by A. Johnson (bad pass; steal by T. Jones)
1:24.0,Shooting foul by A. Johnson (drawn by T. Jones),,66-92,,
1:24.0,T. Jones makes free throw 1 of 2,1,67-92,,
1:24.0,,,67-92,,T. McConnell enters the game for B. Simmons
1:24.0,T. Jones makes free throw 2 of 2,1,68-92,,
1:03.0,,,68-92,,Turnover by J. Anderson (bad pass; steal by M. Georges-Hunt)
1:00.0,J. Crawford misses 2-pt shot from 2 ft,,68-92,,
0:58.0,Offensive rebound by J. Crawford,,68-92,,
0:58.0,Shooting foul by M. Belinelli (drawn by J. Crawford),,68-92,,
0:58.0,J. Crawford makes free throw 1 of 2,1,69-92,,
0:58.0,J. Crawford misses free throw 2 of 2,,69-92,,
0:55.0,,,69-92,,Defensive rebound by A. Johnson
0:40.0,,,69-94,2,M. Belinelli makes 2-pt shot from 22 ft (assist by A. Johnson)
0:33.0,Shooting foul by T. McConnell (drawn by G. Dieng),,69-94,,
0:33.0,G. Dieng makes free throw 1 of 2,1,70-94,,
0:33.0,G. Dieng makes free throw 2 of 2,1,71-94,,
0:17.0,,,71-96,2,A. Johnson makes 2-pt shot from 7 ft (assist by T. McConnell)
0:06.0,Turnover by J. Crawford (bad pass; steal by A. Johnson),,71-96,,
0:03.0,,,71-98,2,J. Anderson makes 2-pt shot at rim (assist by A. Johnson)
0:01.0,J. Crawford misses 3-pt shot from 44 ft,,71-98,,
0:01.0,Offensive rebound by Team,,71-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,G. Dieng misses 2-pt shot from 2 ft (block by M. Belinelli),,71-98,,
11:38.0,,,71-98,,Defensive rebound by T. McConnell
11:34.0,,,71-100,2,T. McConnell makes 2-pt shot from 1 ft
11:34.0,,,71-100,,Shooting foul by A. Brooks (drawn by T. McConnell)
11:34.0,C. Aldrich enters the game for N. Bjelica,,71-100,,
11:34.0,,,71-100,,T. McConnell misses free throw 1 of 1
11:34.0,Defensive rebound by C. Aldrich,,71-100,,
11:26.0,T. Jones makes 2-pt shot from 1 ft,2,73-100,,
11:26.0,Shooting foul by M. Belinelli (drawn by T. Jones),,73-100,,
11:26.0,T. Jones makes free throw 1 of 1,1,74-100,,
11:10.0,,,74-100,,Shooting foul by T. Jones (drawn by F. Korkmaz)
11:10.0,,,74-100,,F. Korkmaz misses free throw 1 of 2
11:10.0,,,74-100,,Offensive rebound by Team
11:10.0,,,74-100,,F. Korkmaz misses free throw 2 of 2
11:08.0,Defensive rebound by C. Aldrich,,74-100,,
10:55.0,T. Jones misses 2-pt shot from 15 ft,,74-100,,
