time,Milwaukee,pts.away,score,pts.home,Utah
6:33.0,,,10-18,3,R. Hood makes 3-pt shot from 23 ft (assist by J. Ingles)
6:09.0,T. Snell makes 2-pt shot from 21 ft,2,12-18,,
5:50.0,,,12-18,,T. Sefolosha misses 2-pt shot from 3 ft
5:46.0,Defensive rebound by E. Bledsoe,,12-18,,
5:44.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,14-18,,
5:27.0,,,14-20,2,T. Sefolosha makes 2-pt shot from 10 ft (assist by R. Hood)
5:10.0,Shooting foul by T. Sefolosha (drawn by G. Antetokounmpo),,14-20,,
5:10.0,G. Antetokounmpo makes free throw 1 of 2,1,15-20,,
5:10.0,T. Maker enters the game for J. Henson,,15-20,,
5:10.0,G. Antetokounmpo makes free throw 2 of 2,1,16-20,,
4:55.0,,,16-20,,J. Ingles misses 3-pt shot from 26 ft
4:52.0,Defensive rebound by D. Liggins,,16-20,,
4:42.0,Turnover by D. Liggins (bad pass; steal by D. Favors),,16-20,,
4:31.0,Personal foul by T. Maker (drawn by T. Sefolosha),,16-20,,
4:31.0,,,16-20,,A. Burks enters the game for J. Ingles
4:31.0,M. Brogdon enters the game for E. Bledsoe,,16-20,,
4:21.0,,,16-22,2,R. Hood makes 2-pt shot from 15 ft
4:02.0,M. Brogdon makes 2-pt shot from 1 ft (assist by T. Maker),2,18-22,,
3:41.0,,,18-22,,Turnover by R. Neto (out of bounds lost ball)
3:31.0,M. Brogdon makes 3-pt shot from 24 ft,3,21-22,,
3:12.0,,,21-22,,Shooting foul by D. Liggins (drawn by D. Favors)
3:12.0,,,21-22,,D. Favors misses free throw 1 of 2
3:12.0,,,21-22,,Offensive rebound by Team
3:12.0,,,21-22,,D. Mitchell enters the game for R. Neto
3:12.0,K. Middleton enters the game for G. Antetokounmpo,,21-22,,
3:12.0,,,21-23,1,D. Favors makes free throw 2 of 2
3:04.0,Turnover by M. Brogdon (step out of bounds),,21-23,,
2:45.0,,,21-23,,A. Burks misses 2-pt shot from 6 ft (block by T. Snell)
2:45.0,,,21-23,,Offensive rebound by Team
2:45.0,Milwaukee full timeout,,21-23,,
2:45.0,,,21-23,,E. Udoh enters the game for D. Favors
2:43.0,,,21-23,,R. Hood misses 2-pt shot from 20 ft
2:39.0,Defensive rebound by K. Middleton,,21-23,,
2:26.0,T. Snell makes 2-pt shot from 1 ft,2,23-23,,
2:06.0,,,23-23,,T. Sefolosha misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by T. Maker,,23-23,,
1:49.0,K. Middleton makes 2-pt shot from 1 ft,2,25-23,,
1:37.0,Personal foul by D. Liggins (drawn by R. Hood),,25-23,,
1:34.0,Personal foul by D. Liggins (drawn by R. Hood),,25-23,,
1:34.0,,,25-24,1,R. Hood makes free throw 1 of 2
1:34.0,S. Brown enters the game for D. Liggins,,25-24,,
1:34.0,,,25-25,1,R. Hood makes free throw 2 of 2
1:21.0,K. Middleton misses 2-pt shot from 10 ft,,25-25,,
1:18.0,,,25-25,,Defensive rebound by T. Sefolosha
1:05.0,,,25-27,2,E. Udoh makes 2-pt shot from 1 ft (assist by A. Burks)
0:55.0,Turnover by K. Middleton (bad pass; steal by D. Mitchell),,25-27,,
0:45.0,,,25-29,2,R. Hood makes 2-pt shot from 1 ft (assist by D. Mitchell)
0:30.0,M. Brogdon makes 3-pt shot from 24 ft (assist by K. Middleton),3,28-29,,
0:11.0,,,28-29,,D. Mitchell misses 3-pt shot from 25 ft
0:08.0,,,28-29,,Offensive rebound by T. Sefolosha
0:07.0,,,28-31,2,T. Sefolosha makes 2-pt shot from 2 ft
0:00.0,K. Middleton makes 2-pt shot from 8 ft,2,30-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,30-31,,R. Hood misses 2-pt shot from 4 ft (block by M. Brogdon)
11:38.0,Defensive rebound by T. Maker,,30-31,,
11:35.0,S. Brown misses 3-pt shot from 23 ft,,30-31,,
11:27.0,,,30-31,,Defensive rebound by A. Burks
11:15.0,,,30-31,,T. Sefolosha misses 3-pt shot from 22 ft
11:12.0,Defensive rebound by M. Brogdon,,30-31,,
11:04.0,Turnover by M. Brogdon (lost ball; steal by A. Burks),,30-31,,
11:01.0,,,30-33,2,A. Burks makes 2-pt shot from 1 ft
10:40.0,T. Snell makes 2-pt shot from 12 ft,2,32-33,,
10:19.0,,,32-33,,E. Udoh misses 2-pt shot from 5 ft
10:18.0,,,32-33,,Offensive rebound by E. Udoh
10:16.0,,,32-36,3,R. Hood makes 3-pt shot from 25 ft (assist by E. Udoh)
10:00.0,Turnover by K. Middleton (traveling),,32-36,,
10:00.0,,,32-36,,J. Ingles enters the game for T. Sefolosha
9:46.0,,,32-36,,Turnover by R. Hood (bad pass; steal by S. Brown)
9:42.0,S. Brown makes 2-pt shot from 16 ft,2,34-36,,
9:26.0,,,34-36,,Turnover by J. Ingles (traveling)
9:12.0,T. Snell makes 2-pt shot from 1 ft,2,36-36,,
8:59.0,,,36-38,2,E. Udoh makes 2-pt shot from 1 ft (assist by J. Ingles)
8:59.0,,,36-38,,Shooting foul by S. Brown (drawn by E. Udoh)
8:59.0,,,36-39,1,E. Udoh makes free throw 1 of 1
8:44.0,Turnover by T. Maker (bad pass),,36-39,,
8:25.0,,,36-39,,R. Hood misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by K. Middleton,,36-39,,
8:13.0,Turnover by T. Maker (out of bounds lost ball),,36-39,,
8:06.0,Personal foul by K. Middleton (drawn by J. Ingles),,36-39,,
8:06.0,G. Antetokounmpo enters the game for S. Brown,,36-39,,
7:49.0,,,36-42,3,A. Burks makes 3-pt shot from 24 ft (assist by J. Ingles)
7:36.0,Offensive foul by G. Antetokounmpo (drawn by R. Rubio),,36-42,,
7:36.0,Turnover by G. Antetokounmpo (offensive foul),,36-42,,
7:36.0,,,36-42,,Utah full timeout
7:36.0,E. Bledsoe enters the game for T. Maker,,36-42,,
7:36.0,J. Henson enters the game for M. Brogdon,,36-42,,
7:18.0,,,36-45,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio)
7:03.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,38-45,,
7:03.0,Shooting foul by J. Ingles (drawn by G. Antetokounmpo),,38-45,,
7:03.0,G. Antetokounmpo makes free throw 1 of 1,1,39-45,,
6:53.0,,,39-48,3,J. Ingles makes 3-pt shot from 26 ft (assist by R. Rubio)
6:38.0,J. Henson makes 2-pt shot from 2 ft,2,41-48,,
6:23.0,,,41-48,,A. Burks misses 2-pt shot from 19 ft
6:19.0,Defensive rebound by J. Henson,,41-48,,
6:15.0,T. Snell makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,44-48,,
5:51.0,,,44-48,,Turnover by R. Hood (lost ball; steal by K. Middleton)
5:46.0,K. Middleton makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,46-48,,
5:32.0,,,46-48,,Offensive foul by E. Udoh (drawn by K. Middleton)
5:32.0,,,46-48,,Turnover by E. Udoh (offensive foul)
5:32.0,,,46-48,,D. Favors enters the game for A. Burks
5:32.0,,,46-48,,D. Mitchell enters the game for E. Udoh
5:26.0,E. Bledsoe makes 2-pt shot from 8 ft,2,48-48,,
5:26.0,Shooting foul by R. Rubio (drawn by E. Bledsoe),,48-48,,
5:26.0,,,48-48,,J. Jerebko enters the game for R. Rubio
5:26.0,E. Bledsoe makes free throw 1 of 1,1,49-48,,
5:21.0,Personal foul by E. Bledsoe (drawn by D. Mitchell),,49-48,,
5:02.0,,,49-48,,J. Ingles misses 2-pt shot from 3 ft
4:57.0,,,49-48,,Offensive rebound by D. Favors
4:57.0,,,49-50,2,D. Favors makes 2-pt shot at rim
4:49.0,K. Middleton misses 2-pt shot from 6 ft,,49-50,,
4:47.0,,,49-50,,Defensive rebound by R. Hood
4:37.0,,,49-52,2,D. Mitchell makes 2-pt shot from 8 ft
4:37.0,,,49-52,,Shooting foul by K. Middleton (drawn by D. Mitchell)
4:37.0,,,49-52,,R. Neto enters the game for R. Hood
4:37.0,Milwaukee full timeout,,49-52,,
4:37.0,M. Brogdon enters the game for K. Middleton,,49-52,,
4:37.0,,,49-52,,D. Mitchell misses free throw 1 of 1
4:33.0,Defensive rebound by J. Henson,,49-52,,
4:24.0,M. Brogdon misses 2-pt shot from 3 ft,,49-52,,
4:21.0,Offensive rebound by J. Henson,,49-52,,
4:20.0,J. Henson misses 2-pt shot from 2 ft,,49-52,,
4:20.0,,,49-52,,Defensive rebound by D. Mitchell
4:11.0,Personal foul by E. Bledsoe (drawn by D. Favors),,49-52,,
4:11.0,,,49-53,1,D. Favors makes free throw 1 of 2
4:11.0,,,49-53,,D. Favors misses free throw 2 of 2
4:09.0,Defensive rebound by G. Antetokounmpo,,49-53,,
3:55.0,Turnover by E. Bledsoe (bad pass; steal by D. Mitchell),,49-53,,
3:47.0,,,49-55,2,D. Favors makes 2-pt shot from 1 ft (assist by D. Mitchell)
3:32.0,G. Antetokounmpo makes 2-pt shot from 13 ft,2,51-55,,
3:09.0,,,51-55,,R. Neto misses 2-pt shot from 19 ft
3:08.0,,,51-55,,Offensive rebound by Team
2:56.0,,,51-55,,R. Neto misses 3-pt shot from 23 ft
2:52.0,,,51-55,,Offensive rebound by J. Jerebko
2:43.0,,,51-57,2,R. Neto makes 2-pt shot from 22 ft (assist by D. Favors)
2:29.0,M. Brogdon misses 3-pt shot from 24 ft,,51-57,,
2:28.0,,,51-57,,Defensive rebound by J. Jerebko
2:23.0,,,51-57,,Shooting foul by J. Henson (drawn by D. Favors)
2:23.0,,,51-58,1,D. Favors makes free throw 1 of 2
2:23.0,,,51-58,,R. Hood enters the game for R. Neto
2:23.0,,,51-59,1,D. Favors makes free throw 2 of 2
2:07.0,,,51-59,,Personal foul by J. Jerebko (drawn by E. Bledsoe)
2:00.0,G. Antetokounmpo makes 2-pt shot from 11 ft (assist by M. Brogdon),2,53-59,,
1:43.0,,,53-59,,R. Hood misses 3-pt shot from 24 ft
1:38.0,Defensive rebound by G. Antetokounmpo,,53-59,,
1:35.0,,,53-59,,Personal foul by D. Mitchell (drawn by G. Antetokounmpo)
1:35.0,,,53-59,,R. Neto enters the game for J. Jerebko
1:29.0,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,55-59,,
1:20.0,,,55-61,2,R. Neto makes 2-pt shot from 2 ft
1:09.0,T. Snell misses 2-pt shot from 12 ft,,55-61,,
1:07.0,,,55-61,,Defensive rebound by J. Ingles
0:57.0,,,55-61,,D. Mitchell misses 3-pt shot from 27 ft
0:55.0,Defensive rebound by Team,,55-61,,
0:42.0,E. Bledsoe misses 3-pt shot from 24 ft,,55-61,,
0:39.0,,,55-61,,Defensive rebound by D. Mitchell
0:29.0,,,55-64,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell)
0:15.0,M. Brogdon makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,57-64,,
0:02.0,,,57-64,,Turnover by D. Mitchell (bad pass)
0:00.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,57-64,,
0:00.0,Offensive rebound by Team,,57-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,57-64,,J. Jerebko misses 2-pt shot from 1 ft
11:33.0,Defensive rebound by J. Henson,,57-64,,
11:20.0,E. Bledsoe misses 2-pt shot from 7 ft (block by D. Favors),,57-64,,
11:20.0,Offensive rebound by Team,,57-64,,
11:17.0,E. Bledsoe makes 3-pt shot from 23 ft (assist by K. Middleton),3,60-64,,
10:52.0,,,60-64,,J. Ingles misses 3-pt shot from 23 ft
10:49.0,Defensive rebound by G. Antetokounmpo,,60-64,,
10:44.0,G. Antetokounmpo makes 2-pt shot from 13 ft,2,62-64,,
10:26.0,,,62-64,,J. Jerebko misses 3-pt shot from 23 ft
10:23.0,Defensive rebound by J. Henson,,62-64,,
10:05.0,K. Middleton makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,65-64,,
9:37.0,,,65-67,3,R. Rubio makes 3-pt shot from 22 ft (assist by J. Ingles)
9:15.0,Turnover by E. Bledsoe (bad pass),,65-67,,
9:03.0,,,65-67,,D. Mitchell misses 2-pt shot from 12 ft
8:57.0,,,65-67,,Offensive rebound by J. Jerebko
8:57.0,,,65-69,2,J. Jerebko makes 2-pt shot at rim
8:44.0,E. Bledsoe misses 2-pt shot from 13 ft,,65-69,,
8:40.0,Shooting foul by J. Jerebko (drawn by J. Henson),,65-69,,
8:40.0,J. Henson makes free throw 1 of 2,1,66-69,,
8:40.0,,,66-69,,T. Sefolosha enters the game for J. Jerebko
8:40.0,J. Henson misses free throw 2 of 2,,66-69,,
8:39.0,Offensive rebound by G. Antetokounmpo,,66-69,,
8:39.0,G. Antetokounmpo misses 2-pt shot at rim,,66-69,,
8:39.0,Offensive rebound by J. Henson,,66-69,,
8:38.0,,,66-69,,Defensive rebound by D. Favors
8:21.0,,,66-69,,Turnover by R. Rubio (bad pass; steal by E. Bledsoe)
8:19.0,E. Bledsoe makes 2-pt shot at rim,2,68-69,,
8:19.0,,,68-69,,Utah full timeout
8:04.0,,,68-71,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
7:50.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,70-71,,
7:33.0,,,70-74,3,D. Mitchell makes 3-pt shot from 22 ft (assist by R. Rubio)
7:15.0,T. Snell makes 3-pt shot from 23 ft (assist by K. Middleton),3,73-74,,
6:54.0,,,73-76,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
6:54.0,,,73-76,,Shooting foul by J. Henson (drawn by D. Favors)
6:54.0,,,73-76,,D. Favors misses free throw 1 of 1
6:52.0,Defensive rebound by G. Antetokounmpo,,73-76,,
6:42.0,K. Middleton misses 2-pt shot from 14 ft,,73-76,,
6:39.0,Offensive rebound by K. Middleton,,73-76,,
6:28.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by D. Favors),,73-76,,
6:25.0,Offensive rebound by J. Henson,,73-76,,
6:19.0,T. Snell makes 2-pt shot from 8 ft,2,75-76,,
6:01.0,,,75-76,,D. Mitchell misses 2-pt shot from 5 ft (block by E. Bledsoe)
5:59.0,Defensive rebound by J. Henson,,75-76,,
5:56.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,77-76,,
5:40.0,,,77-79,3,D. Mitchell makes 3-pt shot from 24 ft (assist by R. Rubio)
5:31.0,E. Bledsoe makes 2-pt shot from 2 ft,2,79-79,,
5:31.0,Shooting foul by J. Ingles (drawn by E. Bledsoe),,79-79,,
5:31.0,Violation by E. Bledsoe (lane),,79-79,,
5:31.0,,,79-79,,R. Hood enters the game for R. Rubio
5:15.0,,,79-79,,J. Ingles misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by E. Bledsoe,,79-79,,
5:02.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,79-79,,
5:00.0,,,79-79,,Defensive rebound by D. Favors
4:54.0,,,79-79,,R. Hood misses 3-pt shot from 22 ft
4:50.0,Defensive rebound by T. Snell,,79-79,,
4:40.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,79-79,,
4:36.0,Offensive rebound by G. Antetokounmpo,,79-79,,
4:36.0,G. Antetokounmpo makes 2-pt shot at rim,2,81-79,,
4:18.0,,,81-79,,D. Mitchell misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by G. Antetokounmpo,,81-79,,
4:12.0,Turnover by G. Antetokounmpo (lost ball; steal by R. Hood),,81-79,,
4:05.0,,,81-81,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Mitchell)
4:05.0,Milwaukee full timeout,,81-81,,
4:05.0,,,81-81,,A. Burks enters the game for J. Ingles
4:05.0,,,81-81,,E. Udoh enters the game for D. Favors
4:05.0,,,81-81,,R. Neto enters the game for D. Mitchell
3:55.0,E. Bledsoe makes 2-pt shot from 20 ft,2,83-81,,
3:34.0,,,83-83,2,R. Hood makes 2-pt shot from 2 ft
3:14.0,Turnover by E. Bledsoe (bad pass; steal by R. Hood),,83-83,,
3:12.0,Personal foul by T. Snell (drawn by R. Hood),,83-83,,
3:12.0,M. Brogdon enters the game for T. Snell,,83-83,,
2:58.0,,,83-85,2,E. Udoh makes 2-pt shot from 1 ft (assist by R. Neto)
2:46.0,,,83-85,,Personal foul by E. Udoh (drawn by J. Henson)
2:33.0,J. Henson misses 2-pt shot from 7 ft,,83-85,,
2:31.0,,,83-85,,Defensive rebound by T. Sefolosha
2:15.0,Violation by J. Henson (def goaltending),,83-85,,
2:15.0,,,83-87,2,R. Hood makes 2-pt shot from 7 ft (assist by E. Udoh)
1:58.0,J. Henson makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,85-87,,
1:34.0,,,85-90,3,R. Hood makes 3-pt shot from 24 ft
1:15.0,K. Middleton misses 3-pt shot from 24 ft,,85-90,,
1:12.0,,,85-90,,Defensive rebound by R. Neto
1:07.0,T. Maker enters the game for E. Bledsoe,,85-90,,
1:07.0,D. Liggins enters the game for J. Henson,,85-90,,
0:53.0,,,85-90,,R. Hood misses 2-pt shot from 11 ft (block by D. Liggins)
0:53.0,,,85-90,,Offensive rebound by Team
0:50.0,,,85-90,,T. Sefolosha misses 2-pt shot from 6 ft (block by D. Liggins)
0:50.0,Defensive rebound by K. Middleton,,85-90,,
0:46.0,Turnover by K. Middleton (lost ball; steal by A. Burks),,85-90,,
0:39.0,,,85-92,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by E. Udoh)
0:23.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,85-92,,
0:19.0,,,85-92,,Defensive rebound by R. Neto
0:04.0,,,85-95,3,T. Sefolosha makes 3-pt shot from 22 ft (assist by R. Hood)
0:00.0,K. Middleton misses 3-pt shot from 24 ft,,85-95,,
0:00.0,Offensive rebound by Team,,85-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Brogdon makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,88-95,,
11:21.0,,,88-97,2,R. Hood makes 2-pt shot from 2 ft
11:07.0,Shooting foul by E. Udoh (drawn by T. Maker),,88-97,,
11:07.0,T. Maker misses free throw 1 of 2,,88-97,,
11:07.0,Offensive rebound by Team,,88-97,,
11:07.0,T. Maker misses free throw 2 of 2,,88-97,,
11:05.0,,,88-97,,Defensive rebound by A. Burks
10:55.0,Personal foul by D. Liggins (drawn by R. Hood),,88-97,,
10:50.0,Violation by T. Maker (kicked ball),,88-97,,
10:50.0,,,88-97,,J. Jerebko enters the game for T. Sefolosha
10:38.0,,,88-97,,Shooting foul by D. Liggins (drawn by A. Burks)
10:38.0,,,88-98,1,A. Burks makes free throw 1 of 2
10:38.0,,,88-99,1,A. Burks makes free throw 2 of 2
10:17.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,88-99,,
10:16.0,Offensive rebound by T. Maker,,88-99,,
10:16.0,Shooting foul by E. Udoh (drawn by T. Maker),,88-99,,
10:16.0,T. Maker makes free throw 1 of 2,1,89-99,,
10:16.0,R. Vaughn enters the game for D. Liggins,,89-99,,
10:16.0,T. Maker makes free throw 2 of 2,1,90-99,,
9:55.0,,,90-101,2,A. Burks makes 2-pt shot from 8 ft
9:31.0,T. Snell makes 2-pt shot from 6 ft (assist by M. Brogdon),2,92-101,,
9:10.0,,,92-101,,R. Hood misses 2-pt shot from 16 ft
9:05.0,Defensive rebound by G. Antetokounmpo,,92-101,,
8:55.0,G. Antetokounmpo makes 2-pt shot from 14 ft,2,94-101,,
8:30.0,,,94-101,,R. Neto misses 2-pt shot from 11 ft
8:30.0,Defensive rebound by M. Brogdon,,94-101,,
8:30.0,,,94-101,,Technical foul by R. Neto
8:30.0,M. Brogdon makes technical free throw,1,95-101,,
8:30.0,,,95-101,,D. Mitchell enters the game for R. Hood
8:30.0,K. Middleton enters the game for T. Maker,,95-101,,
8:12.0,K. Middleton misses 2-pt shot from 8 ft,,95-101,,
8:10.0,,,95-101,,Defensive rebound by J. Jerebko
8:00.0,,,95-103,2,D. Mitchell makes 2-pt shot from 2 ft
7:50.0,Shooting foul by J. Jerebko (drawn by G. Antetokounmpo),,95-103,,
7:50.0,G. Antetokounmpo misses free throw 1 of 2,,95-103,,
7:50.0,Offensive rebound by Team,,95-103,,
7:50.0,,,95-103,,R. Rubio enters the game for J. Jerebko
7:50.0,,,95-103,,J. Ingles enters the game for R. Neto
7:50.0,,,95-103,,D. Favors enters the game for E. Udoh
7:50.0,G. Antetokounmpo misses free throw 2 of 2,,95-103,,
7:48.0,,,95-103,,Defensive rebound by A. Burks
7:43.0,,,95-103,,Shooting foul by M. Brogdon (drawn by R. Rubio)
7:43.0,,,95-104,1,R. Rubio makes free throw 1 of 2
7:43.0,,,95-104,,R. Rubio misses free throw 2 of 2
7:41.0,Defensive rebound by G. Antetokounmpo,,95-104,,
7:29.0,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,97-104,,
7:16.0,,,97-107,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio)
7:05.0,,,97-107,,Personal block foul by R. Rubio (drawn by M. Brogdon)
6:57.0,T. Snell misses 2-pt shot from 9 ft,,97-107,,
6:56.0,,,97-107,,Defensive rebound by Team
6:56.0,Loose ball foul by R. Vaughn (drawn by R. Rubio),,97-107,,
6:56.0,,,97-107,,Utah full timeout
6:56.0,E. Bledsoe enters the game for R. Vaughn,,97-107,,
6:32.0,,,97-110,3,D. Mitchell makes 3-pt shot from 27 ft (assist by R. Rubio)
6:10.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,97-110,,
6:07.0,,,97-110,,Defensive rebound by D. Favors
5:50.0,,,97-112,2,D. Mitchell makes 2-pt shot from 19 ft
5:34.0,K. Middleton misses 3-pt shot from 25 ft,,97-112,,
5:32.0,,,97-112,,Defensive rebound by D. Favors
5:10.0,,,97-112,,R. Rubio misses 2-pt shot from 21 ft
5:07.0,Defensive rebound by M. Brogdon,,97-112,,
4:55.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,99-112,,
4:55.0,,,99-112,,Utah full timeout
4:55.0,,,99-112,,R. Hood enters the game for A. Burks
4:44.0,,,99-112,,D. Mitchell misses 2-pt shot from 3 ft
4:42.0,Defensive rebound by M. Brogdon,,99-112,,
4:26.0,E. Bledsoe misses 3-pt shot from 25 ft,,99-112,,
4:24.0,Offensive rebound by G. Antetokounmpo,,99-112,,
4:23.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,101-112,,
3:58.0,,,101-115,3,R. Rubio makes 3-pt shot from 24 ft (assist by J. Ingles)
3:31.0,K. Middleton misses 2-pt shot from 20 ft,,101-115,,
3:26.0,,,101-115,,Defensive rebound by D. Mitchell
3:17.0,Personal foul by G. Antetokounmpo (drawn by D. Mitchell),,101-115,,
3:17.0,,,101-115,,D. Mitchell misses free throw 1 of 2
3:17.0,,,101-115,,Offensive rebound by Team
3:17.0,,,101-115,,D. Mitchell misses free throw 2 of 2
3:13.0,Defensive rebound by G. Antetokounmpo,,101-115,,
3:05.0,E. Bledsoe makes 2-pt shot from 2 ft,2,103-115,,
2:47.0,,,103-118,3,D. Mitchell makes 3-pt shot from 22 ft (assist by R. Rubio)
2:36.0,K. Middleton misses 3-pt shot from 25 ft,,103-118,,
2:33.0,,,103-118,,Defensive rebound by R. Hood
2:21.0,,,103-118,,Turnover by R. Hood (lost ball; steal by E. Bledsoe)
2:15.0,M. Brogdon makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,106-118,,
1:57.0,,,106-120,2,R. Rubio makes 2-pt shot from 2 ft
1:57.0,Milwaukee full timeout,,106-120,,
1:57.0,T. Maker enters the game for E. Bledsoe,,106-120,,
1:57.0,S. Brown enters the game for M. Brogdon,,106-120,,
1:57.0,J. Bolomboy enters the game for T. Snell,,106-120,,
1:57.0,R. Vaughn enters the game for K. Middleton,,106-120,,
