time,Portland,pts.away,score,pts.home,Houston
8:29.0,S. Napier makes free throw 1 of 2,1,26-46,,
8:29.0,S. Napier makes free throw 2 of 2,1,27-46,,
8:06.0,,,27-46,,G. Green misses 3-pt shot from 23 ft
8:04.0,Defensive rebound by E. Turner,,27-46,,
7:56.0,W. Baldwin makes 3-pt shot from 25 ft (assist by E. Turner),3,30-46,,
7:43.0,,,30-46,,C. Paul misses 2-pt shot from 10 ft
7:41.0,,,30-46,,Offensive rebound by C. Capela
7:39.0,,,30-46,,J. Johnson misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by J. Nurkic,,30-46,,
7:28.0,Shooting foul by L. Mbah a Moute (drawn by C. Swanigan),,30-46,,
7:28.0,,,30-46,,Houston full timeout
7:28.0,,,30-46,,T. Ariza enters the game for J. Johnson
7:28.0,,,30-46,,P. Tucker enters the game for L. Mbah a Moute
7:28.0,,,30-46,,J. Harden enters the game for G. Green
7:28.0,C. Swanigan makes free throw 1 of 2,1,31-46,,
7:28.0,C. Swanigan makes free throw 2 of 2,1,32-46,,
7:05.0,,,32-46,,Offensive foul by T. Ariza (drawn by E. Turner)
7:05.0,,,32-46,,Turnover by T. Ariza (offensive foul)
6:51.0,Turnover by C. Swanigan (bad pass; steal by T. Ariza),,32-46,,
6:28.0,,,32-46,,C. Paul misses 3-pt shot from 30 ft
6:26.0,Defensive rebound by C. Swanigan,,32-46,,
6:22.0,Turnover by E. Turner (bad pass),,32-46,,
5:56.0,,,32-46,,Turnover by P. Tucker (bad pass; steal by S. Napier)
5:53.0,Shooting foul by P. Tucker (drawn by C. Swanigan),,32-46,,
5:53.0,C. Swanigan misses free throw 1 of 2,,32-46,,
5:53.0,Offensive rebound by Team,,32-46,,
5:53.0,,,32-46,,G. Green enters the game for C. Paul
5:53.0,C. Swanigan makes free throw 2 of 2,1,33-46,,
5:36.0,,,33-48,2,J. Harden makes 2-pt shot from 1 ft
5:18.0,W. Baldwin misses 2-pt shot from 11 ft,,33-48,,
5:13.0,,,33-48,,Defensive rebound by P. Tucker
5:08.0,,,33-51,3,J. Harden makes 3-pt shot from 27 ft (assist by G. Green)
5:07.0,Portland full timeout,,33-51,,
5:07.0,C. McCollum enters the game for S. Napier,,33-51,,
5:07.0,A. Aminu enters the game for C. Swanigan,,33-51,,
4:52.0,J. Nurkic misses 2-pt shot from 8 ft,,33-51,,
4:49.0,,,33-51,,Defensive rebound by T. Ariza
4:36.0,,,33-51,,Turnover by J. Harden (lost ball; steal by W. Baldwin)
4:30.0,W. Baldwin makes 2-pt shot at rim,2,35-51,,
4:22.0,,,35-51,,Turnover by G. Green (bad pass; steal by W. Baldwin)
4:08.0,J. Nurkic makes 2-pt shot from 2 ft (assist by C. McCollum),2,37-51,,
3:44.0,,,37-51,,J. Harden misses 2-pt shot from 3 ft
3:42.0,Defensive rebound by J. Nurkic,,37-51,,
3:34.0,W. Baldwin makes 3-pt shot from 25 ft (assist by C. McCollum),3,40-51,,
3:33.0,,,40-51,,Houston full timeout
3:22.0,,,40-51,,Shooting foul by W. Baldwin (drawn by J. Harden)
3:22.0,,,40-52,1,J. Harden makes free throw 1 of 2
3:22.0,,,40-52,,C. Paul enters the game for G. Green
3:22.0,,,40-53,1,J. Harden makes free throw 2 of 2
3:07.0,,,40-53,,Personal foul by T. Ariza (drawn by J. Nurkic)
3:07.0,J. Nurkic misses free throw 1 of 2,,40-53,,
3:07.0,Offensive rebound by Team,,40-53,,
3:07.0,,,40-53,,L. Mbah a Moute enters the game for T. Ariza
3:07.0,J. Nurkic misses free throw 2 of 2,,40-53,,
3:07.0,,,40-53,,Defensive rebound by J. Harden
2:53.0,Personal foul by J. Nurkic (drawn by L. Mbah a Moute),,40-53,,
2:45.0,,,40-56,3,J. Harden makes 3-pt shot from 25 ft
2:20.0,C. McCollum makes 2-pt shot from 1 ft,2,42-56,,
1:59.0,,,42-58,2,C. Paul makes 2-pt shot from 17 ft
1:42.0,E. Turner misses 2-pt shot from 10 ft,,42-58,,
1:38.0,,,42-58,,Defensive rebound by C. Capela
1:37.0,Personal foul by W. Baldwin (drawn by J. Harden),,42-58,,
1:37.0,S. Napier enters the game for W. Baldwin,,42-58,,
1:29.0,,,42-58,,Shooting foul by E. Turner (drawn by L. Mbah a Moute)
1:29.0,,,42-59,1,L. Mbah a Moute makes free throw 1 of 2
1:29.0,,,42-60,1,L. Mbah a Moute makes free throw 2 of 2
1:17.0,C. McCollum makes 2-pt shot from 15 ft,2,44-60,,
0:59.0,,,44-63,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by C. Paul)
0:37.0,J. Nurkic misses 2-pt shot from 9 ft,,44-63,,
0:34.0,,,44-63,,Defensive rebound by P. Tucker
0:31.0,,,44-66,3,C. Paul makes 3-pt shot from 26 ft
0:27.0,Turnover by C. McCollum (out of bounds lost ball),,44-66,,
0:06.0,,,44-66,,J. Harden misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by A. Aminu,,44-66,,
0:00.0,Turnover by A. Aminu (bad pass; steal by L. Mbah a Moute),,44-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,C. McCollum misses 2-pt shot from 16 ft,,44-66,,
11:45.0,Offensive rebound by J. Nurkic,,44-66,,
11:45.0,J. Nurkic misses 2-pt shot at rim,,44-66,,
11:45.0,Offensive rebound by J. Nurkic,,44-66,,
11:45.0,J. Nurkic makes 2-pt shot at rim,2,46-66,,
11:45.0,Shooting foul by C. Paul (drawn by J. Nurkic),,46-66,,
11:45.0,J. Nurkic misses free throw 1 of 1,,46-66,,
11:45.0,Offensive rebound by Team,,46-66,,
11:43.0,,,46-66,,Personal foul by C. Capela (drawn by J. Nurkic)
11:37.0,C. McCollum misses 2-pt shot from 6 ft (block by P. Tucker),,46-66,,
11:35.0,Offensive rebound by C. McCollum,,46-66,,
11:30.0,E. Turner makes 3-pt shot from 25 ft (assist by S. Napier),3,49-66,,
11:03.0,,,49-66,,P. Tucker misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by C. McCollum,,49-66,,
10:53.0,,,49-66,,Violation by C. Capela (kicked ball)
10:43.0,C. McCollum makes 2-pt shot from 3 ft,2,51-66,,
10:32.0,Personal foul by E. Turner (drawn by J. Harden),,51-66,,
10:24.0,Personal foul by E. Turner (drawn by C. Paul),,51-66,,
10:17.0,,,51-66,,Turnover by J. Harden (lost ball; steal by A. Aminu)
10:03.0,S. Napier misses 3-pt shot from 28 ft,,51-66,,
9:59.0,,,51-66,,Defensive rebound by C. Paul
9:42.0,,,51-66,,Shooting foul by J. Nurkic (drawn by C. Capela)
9:42.0,,,51-67,1,C. Capela makes free throw 1 of 2
9:42.0,,,51-68,1,C. Capela makes free throw 2 of 2
9:29.0,C. McCollum misses 3-pt shot from 26 ft,,51-68,,
9:26.0,,,51-68,,Defensive rebound by C. Paul
9:11.0,,,51-70,2,C. Paul makes 2-pt shot from 16 ft
8:50.0,C. McCollum makes 2-pt shot from 1 ft (assist by A. Aminu),2,53-70,,
8:23.0,,,53-70,,Turnover by Team (shot clock)
8:07.0,A. Aminu makes 2-pt shot from 3 ft,2,55-70,,
7:52.0,,,55-70,,T. Ariza misses 3-pt shot from 23 ft
7:49.0,Defensive rebound by A. Aminu,,55-70,,
7:43.0,E. Turner makes 3-pt shot from 25 ft (assist by C. McCollum),3,58-70,,
7:27.0,,,58-72,2,J. Harden makes 2-pt shot from 2 ft
7:16.0,C. McCollum misses 2-pt shot from 16 ft,,58-72,,
7:14.0,,,58-72,,Defensive rebound by P. Tucker
6:50.0,,,58-72,,C. Paul misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by J. Nurkic,,58-72,,
6:36.0,J. Nurkic misses 2-pt shot from 6 ft,,58-72,,
6:33.0,,,58-72,,Defensive rebound by J. Harden
6:28.0,,,58-72,,Turnover by J. Harden (lost ball; steal by A. Aminu)
6:28.0,,,58-72,,Personal foul by P. Tucker (drawn by A. Aminu)
6:28.0,,,58-72,,Houston full timeout
6:28.0,,,58-72,,L. Mbah a Moute enters the game for C. Paul
6:24.0,Turnover by C. McCollum (lost ball; steal by C. Capela),,58-72,,
6:20.0,,,58-74,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:09.0,S. Napier misses 3-pt shot from 26 ft,,58-74,,
6:09.0,,,58-74,,Defensive rebound by Team
5:52.0,,,58-74,,Shooting foul by E. Turner (drawn by J. Harden)
5:52.0,,,58-75,1,J. Harden makes free throw 1 of 3
5:52.0,,,58-76,1,J. Harden makes free throw 2 of 3
5:52.0,W. Baldwin enters the game for E. Turner,,58-76,,
5:52.0,,,58-77,1,J. Harden makes free throw 3 of 3
5:29.0,C. McCollum makes 3-pt shot from 25 ft,3,61-77,,
4:59.0,,,61-77,,Turnover by Team (shot clock)
4:34.0,S. Napier misses 3-pt shot from 26 ft,,61-77,,
4:32.0,Offensive rebound by Team,,61-77,,
4:24.0,Turnover by C. McCollum (bad pass; steal by C. Capela),,61-77,,
4:20.0,,,61-79,2,C. Capela makes 2-pt shot at rim (assist by T. Ariza)
4:20.0,Portland full timeout,,61-79,,
4:20.0,,,61-79,,J. Johnson enters the game for T. Ariza
4:20.0,,,61-79,,G. Green enters the game for P. Tucker
4:08.0,C. McCollum misses 2-pt shot from 15 ft,,61-79,,
4:04.0,,,61-79,,Defensive rebound by J. Harden
3:46.0,,,61-79,,G. Green misses 3-pt shot from 23 ft
3:44.0,Defensive rebound by W. Baldwin,,61-79,,
3:42.0,Turnover by W. Baldwin (out of bounds lost ball),,61-79,,
3:36.0,,,61-79,,Turnover by J. Harden (out of bounds lost ball)
3:36.0,,,61-79,,T. Black enters the game for C. Capela
3:36.0,P. Connaughton enters the game for S. Napier,,61-79,,
3:22.0,C. McCollum misses 3-pt shot from 26 ft,,61-79,,
3:20.0,Offensive rebound by J. Nurkic,,61-79,,
3:08.0,P. Connaughton makes 2-pt shot from 10 ft,2,63-79,,
2:48.0,,,63-79,,L. Mbah a Moute misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by J. Nurkic,,63-79,,
2:32.0,Turnover by J. Nurkic (lost ball; steal by J. Harden),,63-79,,
2:19.0,,,63-79,,J. Harden misses 2-pt shot from 3 ft (block by A. Aminu)
2:19.0,,,63-79,,Offensive rebound by Team
2:19.0,,,63-79,,C. Paul enters the game for J. Harden
2:19.0,Z. Collins enters the game for A. Aminu,,63-79,,
2:19.0,C. Swanigan enters the game for J. Nurkic,,63-79,,
2:12.0,,,63-79,,C. Paul misses 2-pt shot from 12 ft
2:09.0,Defensive rebound by C. McCollum,,63-79,,
2:05.0,C. McCollum misses 3-pt shot from 25 ft,,63-79,,
2:02.0,,,63-79,,Defensive rebound by C. Paul
1:58.0,,,63-81,2,J. Johnson makes 2-pt shot from 16 ft (assist by C. Paul)
1:42.0,Jump ball: T. Black vs. C. Swanigan (J. Johnson gains possession),,,,Jump ball: T. Black vs. C. Swanigan (J. Johnson gains possession)
1:42.0,Turnover by C. Swanigan (turnover; steal by T. Black),,63-81,,
1:35.0,,,63-81,,J. Johnson misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by C. McCollum,,63-81,,
1:18.0,C. Swanigan makes 2-pt shot from 1 ft (assist by Z. Collins),2,65-81,,
1:18.0,Shooting foul by C. Paul (drawn by C. Swanigan),,65-81,,
1:18.0,C. Swanigan makes free throw 1 of 1,1,66-81,,
1:01.0,,,66-81,,T. Black misses 2-pt shot from 3 ft
0:59.0,Defensive rebound by C. Swanigan,,66-81,,
0:53.0,W. Baldwin misses 2-pt shot from 18 ft,,66-81,,
0:51.0,,,66-81,,Defensive rebound by T. Black
0:42.0,,,66-83,2,C. Paul makes 2-pt shot from 12 ft
0:42.0,,,66-83,,Shooting foul by C. Swanigan (drawn by C. Paul)
0:42.0,,,66-84,1,C. Paul makes free throw 1 of 1
0:31.0,C. McCollum makes 3-pt shot from 26 ft,3,69-84,,
0:09.0,,,69-84,,J. Johnson misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by C. McCollum,,69-84,,
0:04.0,C. McCollum misses 3-pt shot from 26 ft,,69-84,,
0:03.0,Offensive rebound by P. Connaughton,,69-84,,
0:01.0,P. Connaughton makes 2-pt shot at rim,2,71-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,71-84,,G. Green misses 2-pt shot from 10 ft
11:33.0,Defensive rebound by P. Connaughton,,71-84,,
11:27.0,Z. Collins misses 2-pt shot from 3 ft (block by T. Black),,71-84,,
11:24.0,Offensive rebound by Z. Collins,,71-84,,
11:21.0,C. Swanigan makes 2-pt shot from 1 ft (assist by S. Napier),2,73-84,,
11:02.0,,,73-84,,J. Johnson misses 2-pt shot from 15 ft
11:00.0,Defensive rebound by S. Napier,,73-84,,
10:43.0,Turnover by C. Swanigan (lost ball; steal by L. Mbah a Moute),,73-84,,
10:42.0,Personal foul by S. Napier (drawn by L. Mbah a Moute),,73-84,,
10:22.0,,,73-84,,Shooting foul by Z. Collins (drawn by L. Mbah a Moute)
10:22.0,,,73-84,,L. Mbah a Moute misses free throw 1 of 2
10:22.0,,,73-84,,Offensive rebound by Team
10:22.0,,,73-85,1,L. Mbah a Moute makes free throw 2 of 2
9:58.0,S. Napier makes 2-pt shot from 3 ft,2,75-85,,
9:35.0,,,75-85,,G. Green misses 3-pt shot from 23 ft
9:33.0,Defensive rebound by S. Napier,,75-85,,
9:22.0,Turnover by S. Napier (bad pass; steal by L. Mbah a Moute),,75-85,,
9:17.0,,,75-85,,L. Mbah a Moute misses 2-pt shot from 2 ft
9:15.0,Defensive rebound by P. Connaughton,,75-85,,
9:05.0,C. Swanigan misses 2-pt shot from 2 ft,,75-85,,
9:03.0,,,75-85,,Defensive rebound by L. Mbah a Moute
8:59.0,,,75-85,,Offensive foul by T. Black (drawn by W. Baldwin)
8:59.0,,,75-85,,Turnover by T. Black (offensive foul)
8:59.0,,,75-85,,P. Tucker enters the game for T. Black
8:49.0,P. Connaughton misses 2-pt shot from 3 ft (block by P. Tucker),,75-85,,
8:47.0,,,75-85,,Defensive rebound by G. Green
8:25.0,,,75-85,,P. Tucker misses 2-pt shot from 5 ft
8:23.0,Defensive rebound by Z. Collins,,75-85,,
8:03.0,S. Napier misses 2-pt shot from 4 ft,,75-85,,
8:01.0,,,75-85,,Defensive rebound by C. Paul
7:55.0,,,75-85,,C. Paul misses 3-pt shot from 26 ft
7:53.0,Defensive rebound by C. Swanigan,,75-85,,
7:35.0,Portland full timeout,,75-85,,
7:35.0,,,75-85,,C. Capela enters the game for C. Paul
7:35.0,,,75-85,,T. Ariza enters the game for J. Johnson
7:35.0,,,75-85,,J. Harden enters the game for L. Mbah a Moute
7:35.0,C. McCollum enters the game for S. Napier,,75-85,,
7:35.0,J. Nurkic enters the game for C. Swanigan,,75-85,,
7:32.0,Z. Collins misses 2-pt shot from 9 ft,,75-85,,
7:29.0,,,75-85,,Defensive rebound by P. Tucker
7:16.0,,,75-85,,J. Harden misses 2-pt shot from 15 ft
7:13.0,Defensive rebound by J. Nurkic,,75-85,,
7:03.0,C. McCollum misses 2-pt shot from 13 ft,,75-85,,
6:59.0,,,75-85,,Defensive rebound by G. Green
6:42.0,,,75-87,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:20.0,Z. Collins misses 2-pt shot from 14 ft,,75-87,,
6:17.0,,,75-87,,Defensive rebound by C. Capela
6:00.0,,,75-89,2,J. Harden makes 2-pt shot from 1 ft
5:46.0,Z. Collins misses 3-pt shot from 26 ft,,75-89,,
5:43.0,,,75-89,,Defensive rebound by C. Capela
5:30.0,,,75-89,,Turnover by J. Harden (turnover)
5:30.0,A. Aminu enters the game for Z. Collins,,75-89,,
5:18.0,C. McCollum misses 3-pt shot from 25 ft,,75-89,,
5:13.0,,,75-89,,Defensive rebound by J. Harden
5:06.0,,,75-91,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
5:06.0,Portland full timeout,,75-91,,
5:06.0,E. Turner enters the game for P. Connaughton,,75-91,,
4:58.0,Turnover by E. Turner (out of bounds lost ball),,75-91,,
4:46.0,,,75-91,,Shooting foul by A. Aminu (drawn by C. Capela)
4:46.0,,,75-92,1,C. Capela makes free throw 1 of 2
4:46.0,,,75-92,,C. Capela misses free throw 2 of 2
4:46.0,Defensive rebound by Team,,75-92,,
4:41.0,Turnover by C. McCollum (turnover),,75-92,,
4:28.0,,,75-92,,J. Harden misses 3-pt shot from 25 ft
4:25.0,Defensive rebound by E. Turner,,75-92,,
4:20.0,E. Turner makes 2-pt shot from 16 ft,2,77-92,,
3:57.0,,,77-94,2,J. Harden makes 2-pt shot from 2 ft
3:57.0,Portland full timeout,,77-94,,
3:57.0,C. Swanigan enters the game for C. McCollum,,77-94,,
3:57.0,P. Connaughton enters the game for A. Aminu,,77-94,,
3:57.0,G. Papagiannis enters the game for J. Nurkic,,77-94,,
3:57.0,J. Layman enters the game for E. Turner,,77-94,,
3:38.0,W. Baldwin makes 2-pt shot from 2 ft,2,79-94,,
3:24.0,,,79-94,,T. Black enters the game for C. Capela
3:22.0,Jump ball: J. Harden vs. C. Swanigan (P. Tucker gains possession),,,,Jump ball: J. Harden vs. C. Swanigan (P. Tucker gains possession)
3:14.0,,,79-94,,Turnover by J. Harden (bad pass; steal by P. Connaughton)
3:10.0,P. Connaughton makes 2-pt shot from 1 ft,2,81-94,,
3:10.0,Shooting foul by G. Green (drawn by P. Connaughton),,81-94,,
3:10.0,P. Connaughton makes free throw 1 of 1,1,82-94,,
2:56.0,,,82-94,,G. Green misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by J. Layman,,82-94,,
2:46.0,W. Baldwin makes 2-pt shot from 7 ft,2,84-94,,
2:28.0,,,84-94,,G. Green misses 3-pt shot from 23 ft
2:27.0,Defensive rebound by P. Connaughton,,84-94,,
2:15.0,J. Layman misses 3-pt shot from 26 ft,,84-94,,
2:12.0,,,84-94,,Defensive rebound by T. Black
2:12.0,Loose ball foul by C. Swanigan (drawn by T. Black),,84-94,,
2:00.0,,,84-94,,P. Tucker misses 3-pt shot from 23 ft
1:56.0,Defensive rebound by J. Layman,,84-94,,
1:48.0,W. Baldwin misses 3-pt shot from 25 ft,,84-94,,
1:47.0,Offensive rebound by G. Papagiannis,,84-94,,
