time,Charlotte,pts.away,score,pts.home,Washington
11:01.0,Personal foul by W. Hernangomez (drawn by I. Mahinmi),,30-30,,
10:56.0,,,30-30,,T. Satoransky misses 2-pt shot from 11 ft
10:52.0,Defensive rebound by F. Kaminsky,,30-30,,
10:43.0,M. Monk misses 3-pt shot from 25 ft,,30-30,,
10:43.0,,,30-30,,Defensive rebound by O. Porter
10:22.0,,,30-30,,K. Oubre misses 3-pt shot from 26 ft
10:18.0,Defensive rebound by W. Hernangomez,,30-30,,
9:59.0,F. Kaminsky makes 2-pt shot from 10 ft (assist by T. Graham),2,32-30,,
9:39.0,,,32-30,,K. Oubre misses 3-pt shot from 23 ft
9:36.0,Defensive rebound by W. Hernangomez,,32-30,,
9:30.0,Turnover by M. Monk (bad pass),,32-30,,
9:21.0,Personal foul by T. Graham (drawn by M. Scott),,32-30,,
9:17.0,,,32-32,2,O. Porter makes 2-pt shot from 17 ft (assist by T. Satoransky)
9:03.0,M. Monk misses 2-pt shot from 12 ft,,32-32,,
9:01.0,Offensive rebound by W. Hernangomez,,32-32,,
9:01.0,Shooting foul by K. Oubre (drawn by W. Hernangomez),,32-32,,
9:01.0,W. Hernangomez makes free throw 1 of 2,1,33-32,,
9:01.0,W. Hernangomez makes free throw 2 of 2,1,34-32,,
8:51.0,Personal foul by W. Hernangomez (drawn by K. Oubre),,34-32,,
8:44.0,,,34-34,2,K. Oubre makes 2-pt shot at rim (assist by T. Satoransky)
8:29.0,D. Bacon misses 3-pt shot from 25 ft,,34-34,,
8:26.0,,,34-34,,Defensive rebound by T. Satoransky
8:20.0,,,34-34,,K. Oubre misses 3-pt shot from 24 ft
8:19.0,,,34-34,,Offensive rebound by I. Mahinmi
8:19.0,Loose ball foul by D. Bacon (drawn by M. Scott),,34-34,,
8:13.0,,,34-37,3,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky)
7:52.0,M. Monk makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,36-37,,
7:44.0,,,36-37,,Washington full timeout
7:44.0,,,36-37,,J. Wall enters the game for I. Mahinmi
7:37.0,,,36-37,,M. Scott misses 3-pt shot from 25 ft
7:33.0,,,36-37,,Offensive rebound by J. Wall
7:28.0,,,36-39,2,J. Wall makes 2-pt shot at rim
7:09.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by M. Monk),2,38-39,,
6:56.0,,,38-42,3,O. Porter makes 3-pt shot from 26 ft
6:27.0,W. Hernangomez misses 2-pt shot from 18 ft,,38-42,,
6:24.0,,,38-42,,Defensive rebound by K. Oubre
6:13.0,,,38-42,,K. Oubre misses 2-pt shot from 18 ft
6:08.0,Defensive rebound by W. Hernangomez,,38-42,,
5:57.0,,,38-42,,B. Beal enters the game for K. Oubre
5:57.0,K. Walker enters the game for T. Graham,,38-42,,
5:53.0,D. Bacon misses 2-pt shot from 19 ft,,38-42,,
5:49.0,,,38-42,,Defensive rebound by J. Wall
5:43.0,,,38-42,,J. Wall misses 2-pt shot from 2 ft
5:41.0,Defensive rebound by W. Hernangomez,,38-42,,
5:34.0,W. Hernangomez makes 2-pt shot at rim (assist by D. Bacon),2,40-42,,
5:32.0,,,40-42,,Washington full timeout
5:32.0,D. Howard enters the game for W. Hernangomez,,40-42,,
5:32.0,N. Batum enters the game for M. Monk,,40-42,,
5:32.0,,,40-42,,M. Gortat enters the game for M. Scott
5:21.0,,,40-42,,M. Gortat misses 2-pt shot from 12 ft
5:17.0,Defensive rebound by F. Kaminsky,,40-42,,
5:05.0,D. Howard makes 2-pt shot from 5 ft,2,42-42,,
4:51.0,,,42-42,,O. Porter misses 3-pt shot from 24 ft
4:48.0,Defensive rebound by N. Batum,,42-42,,
4:43.0,,,42-42,,Personal foul by T. Satoransky (drawn by N. Batum)
4:43.0,M. Williams enters the game for D. Bacon,,42-42,,
4:43.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,42-42,,
4:29.0,D. Howard makes 2-pt shot from 2 ft,2,44-42,,
4:18.0,,,44-45,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
3:52.0,,,44-45,,Personal foul by M. Gortat (drawn by D. Howard)
3:44.0,,,44-45,,Personal foul by B. Beal (drawn by D. Howard)
3:36.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,44-45,,
3:33.0,,,44-45,,Defensive rebound by M. Gortat
3:22.0,,,44-45,,J. Wall misses 2-pt shot from 17 ft
3:18.0,Defensive rebound by M. Williams,,44-45,,
3:07.0,M. Williams makes 3-pt shot from 28 ft (assist by K. Walker),3,47-45,,
2:51.0,,,47-45,,B. Beal misses 2-pt shot from 17 ft
2:47.0,Defensive rebound by M. Williams,,47-45,,
2:36.0,D. Howard misses 2-pt shot from 16 ft,,47-45,,
2:32.0,,,47-45,,Defensive rebound by B. Beal
2:17.0,,,47-47,2,M. Gortat makes 2-pt shot from 5 ft (assist by O. Porter)
2:01.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by N. Batum),2,49-47,,
1:50.0,,,49-47,,B. Beal misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by D. Howard,,49-47,,
1:44.0,Offensive charge foul by D. Howard (drawn by M. Gortat),,49-47,,
1:44.0,Turnover by D. Howard (offensive foul),,49-47,,
1:44.0,,,49-47,,K. Oubre enters the game for T. Satoransky
1:44.0,D. Bacon enters the game for M. Kidd-Gilchrist,,49-47,,
1:26.0,,,49-47,,J. Wall misses 2-pt shot from 16 ft
1:24.0,Defensive rebound by D. Howard,,49-47,,
1:15.0,Turnover by K. Walker (lost ball; steal by B. Beal),,49-47,,
1:08.0,,,49-47,,K. Oubre misses 2-pt shot from 7 ft (block by M. Williams)
1:04.0,,,49-47,,Offensive rebound by O. Porter
0:54.0,,,49-47,,Turnover by B. Beal (out of bounds lost ball)
0:44.0,Shooting foul by B. Beal (drawn by D. Howard),,49-47,,
0:44.0,D. Howard makes free throw 1 of 2,1,50-47,,
0:44.0,,,50-47,,T. Satoransky enters the game for B. Beal
0:44.0,D. Howard makes free throw 2 of 2,1,51-47,,
0:30.0,,,51-47,,M. Gortat misses 2-pt shot from 3 ft
0:28.0,Defensive rebound by D. Howard,,51-47,,
0:17.0,Turnover by D. Bacon (bad pass; steal by M. Gortat),,51-47,,
0:03.0,,,51-50,3,J. Wall makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,K. Walker misses 3-pt shot from 24 ft,,51-50,,
11:46.0,Offensive rebound by D. Howard,,51-50,,
11:44.0,M. Williams misses 3-pt shot from 24 ft,,51-50,,
11:41.0,,,51-50,,Defensive rebound by B. Beal
11:32.0,,,51-52,2,O. Porter makes 2-pt shot from 8 ft (assist by J. Wall)
11:32.0,Violation by D. Howard (def goaltending),,51-52,,
11:13.0,M. Kidd-Gilchrist misses 2-pt shot from 11 ft,,51-52,,
11:10.0,,,51-52,,Defensive rebound by O. Porter
11:03.0,,,51-55,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
10:46.0,M. Williams misses 3-pt shot from 24 ft,,51-55,,
10:43.0,,,51-55,,Defensive rebound by O. Porter
10:37.0,,,51-58,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Gortat)
10:20.0,N. Batum misses 3-pt shot from 25 ft,,51-58,,
10:17.0,,,51-58,,Defensive rebound by O. Porter
10:12.0,,,51-58,,J. Wall misses 2-pt shot from 18 ft
10:09.0,,,51-58,,Offensive rebound by M. Gortat
10:03.0,,,51-61,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
10:03.0,Charlotte full timeout,,51-61,,
9:51.0,,,51-61,,Personal foul by J. Wall (drawn by K. Walker)
9:45.0,K. Walker misses 3-pt shot from 24 ft,,51-61,,
9:43.0,,,51-61,,Defensive rebound by M. Scott
9:25.0,,,51-61,,M. Scott misses 2-pt shot from 15 ft
9:20.0,Defensive rebound by M. Williams,,51-61,,
9:06.0,M. Williams makes 2-pt shot at rim (assist by N. Batum),2,53-61,,
8:47.0,,,53-61,,O. Porter misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by M. Kidd-Gilchrist,,53-61,,
8:30.0,D. Howard makes 2-pt shot from 7 ft,2,55-61,,
8:30.0,Shooting foul by M. Gortat (drawn by D. Howard),,55-61,,
8:30.0,D. Howard makes free throw 1 of 1,1,56-61,,
8:13.0,,,56-61,,J. Wall misses 2-pt shot from 19 ft
8:09.0,Defensive rebound by M. Kidd-Gilchrist,,56-61,,
8:03.0,Turnover by M. Kidd-Gilchrist (traveling),,56-61,,
7:50.0,,,56-64,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
7:32.0,M. Kidd-Gilchrist makes 2-pt shot from 12 ft (assist by M. Williams),2,58-64,,
7:11.0,,,58-64,,O. Porter misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by N. Batum,,58-64,,
6:59.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Wall),,58-64,,
6:53.0,,,58-66,2,J. Wall makes 2-pt shot from 2 ft (assist by M. Gortat)
6:39.0,Shooting foul by M. Scott (drawn by D. Howard),,58-66,,
6:39.0,D. Howard misses free throw 1 of 2,,58-66,,
6:39.0,Offensive rebound by Team,,58-66,,
6:39.0,D. Howard misses free throw 2 of 2,,58-66,,
6:36.0,,,58-66,,Defensive rebound by M. Scott
6:24.0,,,58-66,,J. Wall misses 2-pt shot from 12 ft
6:22.0,Defensive rebound by D. Howard,,58-66,,
6:18.0,Turnover by K. Walker (out of bounds lost ball),,58-66,,
6:08.0,,,58-68,2,M. Gortat makes 2-pt shot from 9 ft (assist by M. Scott)
5:47.0,D. Howard makes 2-pt shot at rim,2,60-68,,
5:26.0,,,60-68,,J. Wall misses 3-pt shot from 25 ft
5:23.0,,,60-68,,Offensive rebound by O. Porter
5:21.0,,,60-71,3,O. Porter makes 3-pt shot from 23 ft
5:04.0,D. Howard misses 2-pt shot from 20 ft,,60-71,,
5:01.0,,,60-71,,Defensive rebound by M. Scott
4:47.0,,,60-73,2,B. Beal makes 2-pt shot from 2 ft
4:30.0,M. Williams misses 3-pt shot from 23 ft,,60-73,,
4:27.0,Offensive rebound by D. Howard,,60-73,,
4:23.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,63-73,,
4:06.0,,,63-73,,M. Gortat misses 2-pt shot from 14 ft
4:03.0,Defensive rebound by D. Howard,,63-73,,
3:53.0,N. Batum misses 3-pt shot from 26 ft,,63-73,,
3:50.0,Offensive rebound by K. Walker,,63-73,,
3:50.0,K. Walker makes 2-pt shot from 17 ft,2,65-73,,
3:48.0,,,65-73,,Washington full timeout
3:48.0,,,65-73,,T. Satoransky enters the game for O. Porter
3:48.0,F. Kaminsky enters the game for M. Williams,,65-73,,
3:37.0,,,65-75,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
3:26.0,,,65-75,,Personal foul by M. Gortat (drawn by K. Walker)
3:18.0,Shooting foul by J. Wall (drawn by D. Howard),,65-75,,
3:18.0,D. Howard makes free throw 1 of 2,1,66-75,,
3:18.0,,,66-75,,I. Mahinmi enters the game for M. Gortat
3:18.0,D. Howard misses free throw 2 of 2,,66-75,,
3:16.0,,,66-75,,Defensive rebound by T. Satoransky
2:59.0,,,66-77,2,M. Scott makes 2-pt shot from 4 ft (assist by I. Mahinmi)
2:46.0,Shooting foul by I. Mahinmi (drawn by D. Howard),,66-77,,
2:46.0,D. Howard misses free throw 1 of 2,,66-77,,
2:46.0,Offensive rebound by Team,,66-77,,
2:46.0,,,66-77,,K. Oubre enters the game for J. Wall
2:46.0,M. Monk enters the game for M. Kidd-Gilchrist,,66-77,,
2:46.0,D. Bacon enters the game for K. Walker,,66-77,,
2:46.0,D. Howard misses free throw 2 of 2,,66-77,,
2:44.0,,,66-77,,Defensive rebound by T. Satoransky
2:37.0,,,66-77,,B. Beal misses 3-pt shot from 26 ft
2:33.0,Defensive rebound by M. Monk,,66-77,,
2:26.0,M. Monk makes 2-pt shot at rim,2,68-77,,
2:08.0,,,68-80,3,M. Scott makes 3-pt shot from 26 ft (assist by B. Beal)
1:57.0,,,68-80,,Violation by T. Satoransky (kicked ball)
1:57.0,T. Graham enters the game for N. Batum,,68-80,,
1:57.0,W. Hernangomez enters the game for D. Howard,,68-80,,
1:50.0,D. Bacon makes 2-pt shot from 18 ft (assist by T. Graham),2,70-80,,
1:28.0,,,70-82,2,M. Scott makes 2-pt shot from 10 ft
1:28.0,,,70-82,,Shooting foul by W. Hernangomez (drawn by M. Scott)
1:28.0,,,70-83,1,M. Scott makes free throw 1 of 1
1:18.0,,,70-83,,Personal foul by T. Satoransky (drawn by W. Hernangomez)
1:18.0,W. Hernangomez misses free throw 1 of 2,,70-83,,
1:18.0,Offensive rebound by Team,,70-83,,
1:18.0,W. Hernangomez makes free throw 2 of 2,1,71-83,,
1:08.0,,,71-83,,Shooting foul by W. Hernangomez (drawn by I. Mahinmi)
1:08.0,,,71-83,,I. Mahinmi misses free throw 1 of 2
1:08.0,,,71-83,,Offensive rebound by Team
1:08.0,,,71-84,1,I. Mahinmi makes free throw 2 of 2
0:51.0,M. Monk makes 3-pt shot from 24 ft (assist by W. Hernangomez),3,74-84,,
0:39.0,,,74-84,,K. Oubre misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by W. Hernangomez,,74-84,,
0:31.0,M. Monk misses 3-pt shot from 25 ft,,74-84,,
0:28.0,,,74-84,,Defensive rebound by M. Scott
0:09.0,,,74-87,3,M. Scott makes 3-pt shot from 26 ft (assist by B. Beal)
0:01.0,D. Bacon misses 2-pt shot from 17 ft,,74-87,,
0:01.0,Offensive rebound by Team,,74-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,74-87,,Shooting foul by T. Graham (drawn by K. Oubre)
11:48.0,,,74-88,1,K. Oubre makes free throw 1 of 2
11:48.0,,,74-89,1,K. Oubre makes free throw 2 of 2
11:39.0,M. Monk makes 3-pt shot from 26 ft (assist by W. Hernangomez),3,77-89,,
11:19.0,,,77-92,3,K. Oubre makes 3-pt shot from 26 ft (assist by B. Beal)
10:56.0,D. Bacon makes 2-pt shot from 3 ft (assist by M. Monk),2,79-92,,
10:38.0,,,79-92,,Turnover by B. Beal (palming)
10:25.0,M. Monk misses 2-pt shot from 20 ft,,79-92,,
10:23.0,Offensive rebound by Team,,79-92,,
10:23.0,,,79-92,,Loose ball foul by I. Mahinmi (drawn by W. Hernangomez)
10:20.0,Shooting foul by O. Porter (drawn by F. Kaminsky),,79-92,,
10:20.0,F. Kaminsky makes free throw 1 of 2,1,80-92,,
10:20.0,F. Kaminsky makes free throw 2 of 2,1,81-92,,
10:10.0,,,81-92,,Offensive foul by K. Oubre (drawn by T. Graham)
10:10.0,,,81-92,,Turnover by K. Oubre (offensive foul)
9:53.0,W. Hernangomez misses 2-pt shot from 10 ft,,81-92,,
9:50.0,,,81-92,,Defensive rebound by K. Oubre
9:38.0,,,81-92,,O. Porter misses 2-pt shot from 20 ft
9:34.0,Defensive rebound by W. Hernangomez,,81-92,,
9:25.0,D. Bacon misses 2-pt shot from 5 ft,,81-92,,
9:22.0,,,81-92,,Defensive rebound by O. Porter
9:17.0,,,81-92,,T. Satoransky misses 2-pt shot from 3 ft
9:14.0,Defensive rebound by F. Kaminsky,,81-92,,
9:01.0,Shooting foul by T. Satoransky (drawn by T. Graham),,81-92,,
9:01.0,T. Graham misses free throw 1 of 2,,81-92,,
9:01.0,Offensive rebound by Team,,81-92,,
9:01.0,,,81-92,,J. Wall enters the game for B. Beal
9:01.0,T. Graham misses free throw 2 of 2,,81-92,,
9:01.0,K. Walker enters the game for D. Bacon,,81-92,,
8:57.0,,,81-92,,Defensive rebound by K. Oubre
8:36.0,,,81-92,,T. Satoransky misses 2-pt shot from 11 ft
8:33.0,Defensive rebound by F. Kaminsky,,81-92,,
8:27.0,M. Monk misses 2-pt shot from 16 ft,,81-92,,
8:26.0,Offensive rebound by Team,,81-92,,
8:26.0,,,81-92,,Loose ball foul by I. Mahinmi (drawn by W. Hernangomez)
8:14.0,F. Kaminsky misses 2-pt shot from 1 ft (block by O. Porter),,81-92,,
8:14.0,Offensive rebound by Team,,81-92,,
8:06.0,Turnover by K. Walker (bad pass; steal by K. Oubre),,81-92,,
7:52.0,,,81-92,,Turnover by J. Wall (bad pass; steal by K. Walker)
7:47.0,K. Walker makes 2-pt shot at rim,2,83-92,,
7:31.0,,,83-92,,Turnover by J. Wall (lost ball; steal by F. Kaminsky)
7:27.0,Turnover by M. Monk (lost ball; steal by T. Satoransky),,83-92,,
7:22.0,,,83-92,,K. Oubre misses 3-pt shot from 27 ft
7:18.0,,,83-92,,Offensive rebound by J. Wall
7:17.0,,,83-92,,J. Wall misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by K. Walker,,83-92,,
7:06.0,K. Walker misses 2-pt shot from 3 ft (block by O. Porter),,83-92,,
7:03.0,,,83-92,,Defensive rebound by O. Porter
7:00.0,,,83-95,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
6:58.0,Technical foul by K. Walker,,83-95,,
6:58.0,,,83-95,,Washington full timeout
6:58.0,D. Howard enters the game for T. Graham,,83-95,,
6:58.0,N. Batum enters the game for W. Hernangomez,,83-95,,
6:58.0,,,83-95,,K. Oubre misses technical free throw
6:58.0,Defensive rebound by Team,,83-95,,
6:34.0,K. Walker misses 3-pt shot from 25 ft,,83-95,,
6:32.0,,,83-95,,Defensive rebound by K. Oubre
6:20.0,,,83-95,,I. Mahinmi misses 2-pt shot from 1 ft
6:16.0,Defensive rebound by D. Howard,,83-95,,
6:12.0,M. Monk makes 2-pt shot from 1 ft (assist by K. Walker),2,85-95,,
5:53.0,Personal foul by K. Walker (drawn by O. Porter),,85-95,,
5:53.0,,,85-95,,B. Beal enters the game for I. Mahinmi
5:53.0,,,85-95,,M. Gortat enters the game for T. Satoransky
5:46.0,,,85-95,,O. Porter misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by N. Batum,,85-95,,
5:29.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Monk),2,87-95,,
5:19.0,,,87-97,2,J. Wall makes 2-pt shot from 2 ft
5:19.0,,,87-97,,Shooting foul by M. Monk (drawn by J. Wall)
5:19.0,,,87-98,1,J. Wall makes free throw 1 of 1
5:07.0,M. Monk misses 3-pt shot from 24 ft,,87-98,,
5:07.0,Offensive rebound by Team,,87-98,,
5:07.0,,,87-98,,Loose ball foul by M. Gortat (drawn by D. Howard)
5:07.0,D. Howard misses free throw 1 of 2,,87-98,,
5:07.0,Offensive rebound by Team,,87-98,,
5:07.0,D. Howard misses free throw 2 of 2,,87-98,,
5:05.0,,,87-98,,Defensive rebound by M. Gortat
4:50.0,,,87-98,,K. Oubre misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by K. Walker,,87-98,,
4:43.0,K. Walker misses 3-pt shot from 25 ft (block by K. Oubre),,87-98,,
4:39.0,Offensive rebound by K. Walker,,87-98,,
4:38.0,M. Monk misses 3-pt shot from 25 ft,,87-98,,
4:38.0,,,87-98,,Defensive rebound by B. Beal
4:33.0,,,87-98,,Shooting foul by F. Kaminsky (drawn by K. Oubre)
4:33.0,,,87-99,1,K. Oubre makes free throw 1 of 2
4:33.0,M. Williams enters the game for F. Kaminsky,,87-99,,
4:33.0,,,87-100,1,K. Oubre makes free throw 2 of 2
4:18.0,M. Monk misses 2-pt shot from 12 ft,,87-100,,
4:16.0,,,87-100,,Defensive rebound by O. Porter
4:11.0,,,87-100,,Turnover by J. Wall (bad pass; steal by M. Williams)
3:59.0,M. Monk misses 3-pt shot from 25 ft,,87-100,,
3:55.0,,,87-100,,Defensive rebound by M. Gortat
3:45.0,,,87-100,,Turnover by J. Wall (bad pass)
3:23.0,D. Howard misses 2-pt shot from 4 ft,,87-100,,
