time,LA Clippers,pts.away,score,pts.home,Brooklyn
5:54.0,,,14-11,2,A. Crabbe makes 2-pt shot from 2 ft (assist by D. Cunningham)
5:34.0,T. Harris makes 3-pt shot from 25 ft,3,17-11,,
5:13.0,,,17-11,,A. Crabbe misses 2-pt shot from 21 ft
5:10.0,Defensive rebound by T. Harris,,17-11,,
5:06.0,,,17-11,,D. Russell enters the game for S. Dinwiddie
5:06.0,,,17-11,,J. Harris enters the game for D. Carroll
5:06.0,L. Williams enters the game for A. Bradley,,17-11,,
5:01.0,T. Harris makes 2-pt shot from 13 ft,2,19-11,,
5:01.0,Shooting foul by J. Harris (drawn by T. Harris),,19-11,,
5:01.0,T. Harris makes free throw 1 of 1,1,20-11,,
4:47.0,,,20-14,3,Q. Acy makes 3-pt shot from 25 ft (assist by J. Harris)
4:35.0,A. Rivers misses 3-pt shot from 24 ft,,20-14,,
4:33.0,,,20-14,,Defensive rebound by A. Crabbe
4:27.0,,,20-14,,Q. Acy misses 3-pt shot from 22 ft
4:24.0,Defensive rebound by D. Gallinari,,20-14,,
4:14.0,,,20-14,,Personal foul by D. Cunningham (drawn by D. Gallinari)
4:14.0,,,20-14,,J. Okafor enters the game for Q. Acy
4:04.0,D. Jordan misses 2-pt shot from 8 ft,,20-14,,
4:01.0,,,20-14,,Defensive rebound by J. Okafor
3:55.0,,,20-17,3,A. Crabbe makes 3-pt shot from 29 ft (assist by D. Russell)
3:44.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,22-17,,
3:38.0,,,22-19,2,J. Harris makes 2-pt shot from 1 ft (assist by D. Russell)
3:26.0,LA Clippers full timeout,,22-19,,
3:26.0,M. Teodosic enters the game for D. Gallinari,,22-19,,
3:26.0,W. Johnson enters the game for A. Rivers,,22-19,,
3:19.0,D. Jordan makes 2-pt shot at rim (assist by M. Teodosic),2,24-19,,
3:10.0,,,24-19,,Turnover by J. Okafor (bad pass)
2:54.0,M. Teodosic makes 3-pt shot from 23 ft (assist by L. Williams),3,27-19,,
2:34.0,,,27-19,,D. Cunningham misses 2-pt shot from 5 ft
2:32.0,Defensive rebound by W. Johnson,,27-19,,
2:20.0,W. Johnson makes 2-pt shot from 14 ft (assist by D. Jordan),2,29-19,,
1:58.0,,,29-21,2,D. Russell makes 2-pt shot from 17 ft
1:39.0,M. Teodosic makes 2-pt shot from 13 ft,2,31-21,,
1:25.0,,,31-21,,Turnover by D. Russell (lost ball; steal by T. Harris)
1:20.0,L. Williams makes 2-pt shot from 9 ft,2,33-21,,
1:20.0,Shooting foul by D. Cunningham (drawn by L. Williams),,33-21,,
1:20.0,,,33-21,,S. Dinwiddie enters the game for A. Crabbe
1:20.0,L. Williams makes free throw 1 of 1,1,34-21,,
1:11.0,,,34-21,,D. Russell misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by M. Teodosic,,34-21,,
1:06.0,W. Johnson misses 2-pt shot from 2 ft,,34-21,,
1:03.0,,,34-21,,Defensive rebound by D. Russell
1:00.0,,,34-21,,J. Harris misses 3-pt shot from 22 ft
0:57.0,Defensive rebound by D. Jordan,,34-21,,
0:52.0,Turnover by L. Williams (bad pass; steal by J. Harris),,34-21,,
0:36.0,,,34-21,,Turnover by D. Cunningham (bad pass; steal by W. Johnson)
0:28.0,W. Johnson misses 3-pt shot from 22 ft,,34-21,,
0:25.0,,,34-21,,Defensive rebound by J. Harris
0:12.0,Personal foul by W. Johnson (drawn by S. Dinwiddie),,34-21,,
0:12.0,S. Dekker enters the game for M. Teodosic,,34-21,,
0:12.0,M. Harrell enters the game for D. Jordan,,34-21,,
0:12.0,S. Thornwell enters the game for L. Williams,,34-21,,
0:12.0,T. Wallace enters the game for T. Harris,,34-21,,
0:03.0,,,34-21,,Shooting foul by S. Dekker (drawn by J. Okafor)
0:03.0,,,34-22,1,J. Okafor makes free throw 1 of 2
0:03.0,L. Williams enters the game for S. Dekker,,34-22,,
0:03.0,M. Teodosic enters the game for M. Harrell,,34-22,,
0:03.0,,,34-22,,J. Okafor misses free throw 2 of 2
0:00.0,Defensive rebound by W. Johnson,,34-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Turnover by S. Dekker (bad pass; steal by S. Dinwiddie),,34-22,,
11:28.0,,,34-22,,D. Russell misses 2-pt shot from 6 ft
11:23.0,,,34-22,,Offensive rebound by J. Okafor
11:23.0,,,34-24,2,J. Okafor makes 2-pt shot at rim
11:06.0,M. Harrell makes 2-pt shot from 2 ft (assist by M. Teodosic),2,36-24,,
11:06.0,Shooting foul by J. Okafor (drawn by M. Harrell),,36-24,,
11:06.0,M. Harrell makes free throw 1 of 1,1,37-24,,
10:43.0,,,37-24,,D. Russell misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by M. Harrell,,37-24,,
10:35.0,M. Teodosic misses 2-pt shot from 17 ft,,37-24,,
10:31.0,,,37-24,,Defensive rebound by J. Okafor
10:22.0,,,37-24,,S. Dinwiddie misses 2-pt shot from 2 ft
10:17.0,,,37-24,,Offensive rebound by J. Okafor
10:17.0,,,37-26,2,J. Okafor makes 2-pt shot at rim
10:13.0,L. Williams makes 2-pt shot from 4 ft,2,39-26,,
10:13.0,Shooting foul by S. Dinwiddie (drawn by L. Williams),,39-26,,
10:13.0,L. Williams makes free throw 1 of 1,1,40-26,,
10:02.0,Personal foul by W. Johnson (drawn by J. Okafor),,40-26,,
9:52.0,,,40-28,2,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Okafor)
9:38.0,,,40-28,,Def 3 sec tech foul by J. Okafor
9:38.0,L. Williams makes technical free throw,1,41-28,,
9:38.0,,,41-28,,D. Carroll enters the game for S. Dinwiddie
9:28.0,Turnover by M. Teodosic (bad pass),,41-28,,
9:28.0,A. Bradley enters the game for M. Teodosic,,41-28,,
9:13.0,,,41-28,,Turnover by J. Okafor (bad pass; steal by W. Johnson)
8:58.0,M. Harrell makes 2-pt shot from 5 ft,2,43-28,,
8:46.0,,,43-28,,Turnover by D. Russell (bad pass; steal by M. Harrell)
8:42.0,M. Harrell makes 2-pt shot from 1 ft,2,45-28,,
8:41.0,,,45-28,,Brooklyn full timeout
8:41.0,,,45-28,,J. Allen enters the game for J. Okafor
8:41.0,A. Rivers enters the game for W. Johnson,,45-28,,
8:30.0,,,45-28,,Turnover by D. Russell (lost ball; steal by A. Bradley)
8:26.0,A. Bradley misses 2-pt shot from 1 ft,,45-28,,
8:21.0,,,45-28,,Defensive rebound by D. Russell
8:15.0,,,45-28,,D. Russell misses 2-pt shot from 7 ft
8:13.0,Defensive rebound by S. Dekker,,45-28,,
8:09.0,Turnover by A. Bradley (bad pass; steal by D. Cunningham),,45-28,,
8:05.0,,,45-30,2,J. Harris makes 2-pt shot at rim (assist by D. Cunningham)
7:45.0,L. Williams misses 2-pt shot from 10 ft,,45-30,,
7:43.0,,,45-30,,Defensive rebound by J. Harris
7:35.0,Personal foul by L. Williams (drawn by D. Russell),,45-30,,
7:35.0,D. Gallinari enters the game for S. Dekker,,45-30,,
7:25.0,,,45-30,,D. Carroll misses 3-pt shot from 23 ft
7:23.0,Defensive rebound by D. Gallinari,,45-30,,
7:22.0,,,45-30,,Personal foul by J. Harris (drawn by M. Harrell)
7:15.0,A. Bradley misses 2-pt shot from 17 ft,,45-30,,
7:12.0,,,45-30,,Defensive rebound by J. Allen
7:03.0,,,45-32,2,D. Cunningham makes 2-pt shot from 4 ft (assist by D. Russell)
6:50.0,,,45-32,,Shooting block foul by J. Allen (drawn by M. Harrell)
6:50.0,M. Harrell makes free throw 1 of 2,1,46-32,,
6:50.0,,,46-32,,S. Dinwiddie enters the game for D. Russell
6:50.0,,,46-32,,Q. Acy enters the game for D. Cunningham
6:50.0,M. Harrell misses free throw 2 of 2,,46-32,,
6:47.0,,,46-32,,Defensive rebound by D. Carroll
6:33.0,,,46-32,,Q. Acy misses 3-pt shot from 23 ft
6:29.0,,,46-32,,Offensive rebound by J. Allen
6:17.0,,,46-34,2,J. Harris makes 2-pt shot from 3 ft (assist by J. Allen)
6:17.0,Violation by M. Harrell (def goaltending),,46-34,,
6:02.0,M. Harrell makes 2-pt shot from 1 ft (assist by A. Rivers),2,48-34,,
6:02.0,Shooting foul by J. Harris (drawn by M. Harrell),,48-34,,
6:02.0,,,48-34,,A. Crabbe enters the game for J. Harris
6:02.0,M. Harrell makes free throw 1 of 1,1,49-34,,
5:47.0,,,49-36,2,D. Carroll makes 2-pt shot from 2 ft
5:35.0,A. Rivers makes 2-pt shot from 5 ft,2,51-36,,
5:27.0,,,51-39,3,S. Dinwiddie makes 3-pt shot from 28 ft (assist by Q. Acy)
5:15.0,A. Rivers makes 2-pt shot from 7 ft,2,53-39,,
4:56.0,,,53-42,3,S. Dinwiddie makes 3-pt shot from 29 ft
4:55.0,LA Clippers full timeout,,53-42,,
4:55.0,D. Jordan enters the game for M. Harrell,,53-42,,
4:55.0,T. Harris enters the game for L. Williams,,53-42,,
4:42.0,Turnover by A. Rivers (lost ball; steal by A. Crabbe),,53-42,,
4:38.0,,,53-42,,Shooting foul by D. Gallinari (drawn by A. Crabbe)
4:38.0,,,53-42,,A. Crabbe misses free throw 1 of 2
4:38.0,,,53-42,,Offensive rebound by Team
4:38.0,,,53-43,1,A. Crabbe makes free throw 2 of 2
4:28.0,D. Gallinari makes 3-pt shot from 25 ft,3,56-43,,
4:08.0,,,56-43,,Turnover by Q. Acy (out of bounds lost ball)
4:08.0,,,56-43,,J. Harris enters the game for J. Allen
3:45.0,T. Harris makes 2-pt shot from 13 ft,2,58-43,,
3:23.0,,,58-45,2,J. Harris makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
3:11.0,A. Rivers misses 2-pt shot from 11 ft,,58-45,,
3:08.0,,,58-45,,Defensive rebound by Q. Acy
3:00.0,,,58-48,3,Q. Acy makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
2:34.0,T. Harris misses 2-pt shot from 12 ft,,58-48,,
2:28.0,Offensive rebound by D. Jordan,,58-48,,
2:28.0,D. Jordan misses 2-pt shot at rim,,58-48,,
2:27.0,,,58-48,,Defensive rebound by D. Carroll
2:17.0,,,58-48,,S. Dinwiddie misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by D. Gallinari,,58-48,,
2:08.0,A. Bradley misses 2-pt shot from 4 ft (block by A. Crabbe),,58-48,,
2:07.0,Offensive rebound by T. Harris,,58-48,,
2:07.0,T. Harris misses 2-pt shot from 3 ft (block by Q. Acy),,58-48,,
2:07.0,Offensive rebound by Team,,58-48,,
2:07.0,M. Teodosic enters the game for D. Gallinari,,58-48,,
2:07.0,L. Williams enters the game for A. Bradley,,58-48,,
2:01.0,L. Williams makes 2-pt shot from 2 ft (assist by M. Teodosic),2,60-48,,
1:52.0,,,60-51,3,A. Crabbe makes 3-pt shot from 27 ft (assist by S. Dinwiddie)
1:36.0,L. Williams makes 2-pt shot from 6 ft,2,62-51,,
1:13.0,,,62-51,,D. Carroll misses 2-pt shot from 3 ft (block by D. Jordan)
1:11.0,,,62-51,,Offensive rebound by Team
1:11.0,,,62-51,,Turnover by Team (shot clock)
1:00.0,L. Williams misses 2-pt shot from 20 ft,,62-51,,
0:58.0,,,62-51,,Defensive rebound by D. Carroll
0:53.0,,,62-51,,D. Carroll misses 2-pt shot from 2 ft
0:52.0,Defensive rebound by D. Jordan,,62-51,,
0:46.0,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers),2,64-51,,
0:28.0,,,64-51,,Turnover by S. Dinwiddie (bad pass; steal by L. Williams)
0:05.0,L. Williams makes 2-pt shot from 9 ft,2,66-51,,
0:03.0,Personal take foul by M. Teodosic (drawn by S. Dinwiddie),,66-51,,
0:03.0,T. Wallace enters the game for M. Teodosic,,66-51,,
0:03.0,A. Bradley enters the game for L. Williams,,66-51,,
0:03.0,,,66-51,,Offensive foul by Q. Acy (drawn by A. Rivers)
0:03.0,,,66-51,,Turnover by Q. Acy (offensive foul)
0:03.0,,,66-51,,N. Stauskas enters the game for J. Harris
0:03.0,M. Teodosic enters the game for D. Jordan,,66-51,,
0:03.0,L. Williams enters the game for T. Wallace,,66-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. Gallinari misses 2-pt shot from 17 ft,,66-51,,
11:47.0,,,66-51,,Defensive rebound by D. Carroll
11:24.0,,,66-51,,S. Dinwiddie misses 2-pt shot from 6 ft (block by D. Jordan)
11:19.0,Defensive rebound by D. Gallinari,,66-51,,
11:17.0,Turnover by D. Gallinari (bad pass),,66-51,,
11:07.0,,,66-51,,A. Crabbe misses 2-pt shot from 12 ft
11:07.0,,,66-51,,Offensive rebound by J. Allen
11:07.0,,,66-51,,Shooting foul by A. Rivers (drawn by J. Allen)
11:07.0,,,66-52,1,J. Allen makes free throw 1 of 2
11:07.0,,,66-53,1,J. Allen makes free throw 2 of 2
10:53.0,Turnover by A. Rivers (bad pass; steal by J. Allen),,66-53,,
10:41.0,,,66-53,,D. Carroll misses 2-pt shot from 5 ft
10:41.0,,,66-53,,Offensive rebound by Team
10:32.0,,,66-53,,D. Carroll misses 3-pt shot from 26 ft
10:28.0,Defensive rebound by D. Gallinari,,66-53,,
10:21.0,A. Rivers misses 2-pt shot from 5 ft,,66-53,,
10:19.0,Offensive rebound by T. Harris,,66-53,,
10:17.0,A. Bradley makes 3-pt shot from 23 ft (assist by T. Harris),3,69-53,,
10:10.0,,,69-53,,Turnover by S. Dinwiddie (out of bounds lost ball)
9:56.0,T. Harris misses 2-pt shot from 20 ft,,69-53,,
9:54.0,,,69-53,,Defensive rebound by D. Carroll
9:36.0,,,69-53,,Turnover by S. Dinwiddie (bad pass; steal by A. Rivers)
9:29.0,T. Harris misses 2-pt shot from 10 ft,,69-53,,
9:27.0,Offensive rebound by T. Harris,,69-53,,
9:24.0,A. Bradley misses 3-pt shot from 22 ft,,69-53,,
9:21.0,,,69-53,,Defensive rebound by S. Dinwiddie
9:06.0,,,69-53,,S. Dinwiddie misses 2-pt shot from 15 ft
9:02.0,Defensive rebound by D. Jordan,,69-53,,
8:44.0,Shooting foul by Q. Acy (drawn by A. Bradley),,69-53,,
8:44.0,A. Bradley makes free throw 1 of 2,1,70-53,,
8:44.0,A. Bradley makes free throw 2 of 2,1,71-53,,
8:30.0,,,71-55,2,J. Allen makes 2-pt shot from 1 ft (assist by A. Crabbe)
8:16.0,A. Bradley misses 2-pt shot from 6 ft,,71-55,,
8:10.0,Offensive rebound by D. Jordan,,71-55,,
8:10.0,D. Jordan makes 2-pt shot at rim,2,73-55,,
7:58.0,,,73-55,,A. Crabbe misses 3-pt shot from 22 ft (block by D. Gallinari)
7:56.0,,,73-55,,Offensive rebound by A. Crabbe
7:51.0,,,73-55,,Q. Acy misses 3-pt shot from 22 ft
7:47.0,Defensive rebound by D. Jordan,,73-55,,
7:42.0,A. Bradley makes 2-pt shot from 19 ft,2,75-55,,
7:41.0,,,75-55,,Brooklyn full timeout
7:41.0,,,75-55,,J. Harris enters the game for Q. Acy
7:27.0,,,75-55,,A. Crabbe misses 3-pt shot from 29 ft
7:23.0,,,75-55,,Offensive rebound by D. Carroll
7:16.0,,,75-55,,S. Dinwiddie misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by T. Harris,,75-55,,
7:05.0,T. Harris misses 2-pt shot from 6 ft (block by J. Allen),,75-55,,
7:02.0,Offensive rebound by A. Rivers,,75-55,,
6:52.0,D. Jordan makes 2-pt shot from 2 ft (assist by A. Bradley),2,77-55,,
6:28.0,,,77-58,3,S. Dinwiddie makes 3-pt shot from 24 ft
6:09.0,Turnover by D. Gallinari (bad pass; steal by A. Crabbe),,77-58,,
6:02.0,,,77-58,,D. Carroll misses 3-pt shot from 23 ft
5:59.0,,,77-58,,Offensive rebound by J. Allen
5:57.0,,,77-58,,J. Harris misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by T. Harris,,77-58,,
5:41.0,A. Rivers makes 3-pt shot from 25 ft,3,80-58,,
5:25.0,,,80-58,,Shooting foul by A. Bradley (drawn by S. Dinwiddie)
5:25.0,,,80-58,,Q. Acy enters the game for J. Allen
5:25.0,,,80-58,,D. Russell enters the game for A. Crabbe
5:25.0,,,80-59,1,S. Dinwiddie makes free throw 1 of 2
5:25.0,L. Williams enters the game for A. Bradley,,80-59,,
5:25.0,,,80-59,,S. Dinwiddie misses free throw 2 of 2
5:24.0,,,80-59,,Offensive rebound by Team
5:12.0,,,80-59,,J. Harris misses 2-pt shot from 7 ft
5:09.0,Defensive rebound by D. Jordan,,80-59,,
4:57.0,Turnover by D. Jordan (traveling),,80-59,,
4:40.0,,,80-59,,Q. Acy misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by T. Harris,,80-59,,
4:28.0,L. Williams misses 3-pt shot from 25 ft,,80-59,,
4:23.0,,,80-59,,Defensive rebound by D. Carroll
4:05.0,,,80-59,,D. Carroll misses 3-pt shot from 26 ft
4:01.0,,,80-59,,Offensive rebound by Q. Acy
3:59.0,,,80-61,2,J. Harris makes 2-pt shot from 14 ft (assist by Q. Acy)
3:37.0,T. Harris misses 3-pt shot from 26 ft,,80-61,,
3:33.0,Offensive rebound by D. Jordan,,80-61,,
3:30.0,D. Gallinari makes 3-pt shot from 26 ft (assist by T. Harris),3,83-61,,
3:06.0,,,83-64,3,S. Dinwiddie makes 3-pt shot from 25 ft
2:50.0,D. Gallinari misses 3-pt shot from 23 ft,,83-64,,
2:48.0,,,83-64,,Defensive rebound by S. Dinwiddie
2:33.0,,,83-67,3,J. Harris makes 3-pt shot from 26 ft (assist by Q. Acy)
2:31.0,LA Clippers full timeout,,83-67,,
2:31.0,,,83-67,,N. Stauskas enters the game for S. Dinwiddie
2:31.0,,,83-67,,J. Okafor enters the game for D. Carroll
2:31.0,M. Teodosic enters the game for D. Gallinari,,83-67,,
2:16.0,A. Rivers makes 2-pt shot from 11 ft,2,85-67,,
1:54.0,,,85-67,,J. Harris misses 3-pt shot from 22 ft
1:53.0,Defensive rebound by Team,,85-67,,
1:38.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,87-67,,
1:26.0,,,87-67,,D. Russell misses 2-pt shot from 5 ft
1:26.0,Defensive rebound by Team,,87-67,,
1:26.0,,,87-67,,Loose ball foul by J. Okafor (drawn by D. Jordan)
1:10.0,A. Rivers misses 3-pt shot from 27 ft,,87-67,,
1:09.0,,,87-67,,Defensive rebound by Team
0:54.0,,,87-67,,Turnover by Q. Acy (bad pass; steal by L. Williams)
0:51.0,Shooting foul by D. Russell (drawn by L. Williams),,87-67,,
0:51.0,L. Williams makes free throw 1 of 2,1,88-67,,
0:51.0,W. Johnson enters the game for A. Rivers,,88-67,,
0:51.0,L. Williams misses free throw 2 of 2,,88-67,,
0:49.0,,,88-67,,Defensive rebound by Q. Acy
0:34.0,Personal foul by W. Johnson (drawn by J. Okafor),,88-67,,
0:34.0,D. Gallinari enters the game for T. Harris,,88-67,,
0:30.0,,,88-67,,D. Russell misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by D. Jordan,,88-67,,
0:05.0,L. Williams misses 3-pt shot from 29 ft,,88-67,,
0:04.0,Offensive rebound by Team,,88-67,,
0:02.0,D. Jordan misses 2-pt shot from 2 ft (block by J. Okafor),,88-67,,
0:01.0,Offensive rebound by D. Jordan,,88-67,,
0:00.0,D. Jordan makes 2-pt shot at rim,2,90-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,90-69,2,D. Russell makes 2-pt shot from 1 ft
11:17.0,D. Gallinari makes 2-pt shot from 5 ft,2,92-69,,
11:07.0,,,92-71,2,D. Russell makes 2-pt shot from 14 ft
10:58.0,L. Williams misses 2-pt shot from 6 ft,,92-71,,
10:55.0,,,92-71,,Defensive rebound by A. Crabbe
10:54.0,,,92-71,,D. Russell misses 2-pt shot from 4 ft (block by D. Gallinari)
10:53.0,Defensive rebound by W. Johnson,,92-71,,
10:52.0,Turnover by W. Johnson (bad pass; steal by Q. Acy),,92-71,,
10:49.0,,,92-73,2,D. Russell makes 2-pt shot from 1 ft (assist by Q. Acy)
10:30.0,L. Williams makes 2-pt shot from 7 ft (assist by D. Jordan),2,94-73,,
10:08.0,,,94-73,,S. Dinwiddie misses 2-pt shot from 2 ft
10:06.0,Defensive rebound by W. Johnson,,94-73,,
10:00.0,Turnover by M. Teodosic (bad pass; steal by Q. Acy),,94-73,,
9:54.0,,,94-75,2,Q. Acy makes 2-pt shot from 1 ft (assist by A. Crabbe)
9:41.0,Turnover by M. Teodosic (bad pass; steal by Q. Acy),,94-75,,
9:40.0,Personal foul by D. Jordan (drawn by S. Dinwiddie),,94-75,,
9:40.0,M. Harrell enters the game for D. Jordan,,94-75,,
9:40.0,A. Bradley enters the game for W. Johnson,,94-75,,
9:28.0,,,94-77,2,D. Russell makes 2-pt shot from 2 ft
9:28.0,,,94-77,,Shooting foul by M. Teodosic (drawn by D. Russell)
9:28.0,,,94-78,1,D. Russell makes free throw 1 of 1
9:08.0,A. Bradley misses 2-pt shot from 5 ft,,94-78,,
9:07.0,,,94-78,,Defensive rebound by A. Crabbe
8:59.0,,,94-81,3,D. Russell makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
8:58.0,LA Clippers full timeout,,94-81,,
8:50.0,M. Teodosic makes 2-pt shot from 16 ft,2,96-81,,
8:34.0,,,96-81,,D. Russell misses 3-pt shot from 28 ft
8:31.0,Defensive rebound by M. Harrell,,96-81,,
8:24.0,L. Williams makes 2-pt shot from 1 ft,2,98-81,,
8:15.0,,,98-81,,D. Russell misses 3-pt shot from 22 ft
8:11.0,Defensive rebound by M. Teodosic,,98-81,,
8:03.0,L. Williams misses 3-pt shot from 25 ft,,98-81,,
8:01.0,,,98-81,,Defensive rebound by A. Crabbe
7:53.0,,,98-83,2,D. Carroll makes 2-pt shot from 1 ft (assist by D. Russell)
7:36.0,Turnover by M. Teodosic (lost ball; steal by D. Russell),,98-83,,
7:31.0,,,98-86,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. Russell)
7:13.0,L. Williams makes 2-pt shot from 13 ft,2,100-86,,
7:03.0,,,100-86,,D. Carroll misses 2-pt shot from 5 ft (block by L. Williams)
7:00.0,,,100-86,,Offensive rebound by D. Carroll
6:59.0,,,100-88,2,D. Carroll makes 2-pt shot from 1 ft
6:50.0,M. Harrell makes 2-pt shot from 1 ft (assist by M. Teodosic),2,102-88,,
6:50.0,,,102-88,,Brooklyn full timeout
6:50.0,A. Rivers enters the game for M. Teodosic,,102-88,,
6:30.0,,,102-88,,S. Dinwiddie misses 2-pt shot from 2 ft (block by M. Harrell)
6:27.0,Defensive rebound by L. Williams,,102-88,,
6:20.0,M. Harrell makes 2-pt shot from 5 ft (assist by L. Williams),2,104-88,,
5:58.0,,,104-90,2,A. Crabbe makes 2-pt shot from 8 ft
5:34.0,L. Williams misses 2-pt shot from 5 ft,,104-90,,
5:32.0,,,104-90,,Defensive rebound by A. Crabbe
5:25.0,,,104-92,2,D. Russell makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
4:59.0,A. Bradley misses 2-pt shot from 16 ft,,104-92,,
4:58.0,Offensive rebound by Team,,104-92,,
4:58.0,,,104-92,,Loose ball foul by D. Russell (drawn by M. Harrell)
4:58.0,,,104-92,,J. Harris enters the game for Q. Acy
4:58.0,T. Harris enters the game for L. Williams,,104-92,,
4:48.0,D. Gallinari misses 2-pt shot from 3 ft (block by D. Carroll),,104-92,,
4:46.0,,,104-92,,Defensive rebound by D. Carroll
4:44.0,Personal foul by M. Harrell (drawn by D. Carroll),,104-92,,
4:44.0,D. Jordan enters the game for M. Harrell,,104-92,,
4:27.0,,,104-94,2,J. Harris makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
4:27.0,,,104-94,,Shooting foul by A. Bradley (drawn by J. Harris)
4:27.0,,,104-95,1,J. Harris makes free throw 1 of 1
4:11.0,Shooting foul by D. Russell (drawn by D. Gallinari),,104-95,,
4:11.0,D. Gallinari makes free throw 1 of 2,1,105-95,,
4:11.0,,,105-95,,J. Allen enters the game for J. Harris
4:11.0,D. Gallinari makes free throw 2 of 2,1,106-95,,
3:51.0,,,106-95,,D. Russell misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by D. Jordan,,106-95,,
3:40.0,A. Rivers makes 2-pt shot from 8 ft,2,108-95,,
3:40.0,,,108-95,,Brooklyn full timeout
3:40.0,L. Williams enters the game for D. Gallinari,,108-95,,
3:33.0,,,108-95,,A. Crabbe misses 3-pt shot from 27 ft
3:30.0,Defensive rebound by L. Williams,,108-95,,
3:21.0,A. Rivers makes 2-pt shot from 3 ft,2,110-95,,
3:02.0,,,110-97,2,J. Allen makes 2-pt shot from 4 ft (assist by S. Dinwiddie)
2:46.0,Offensive foul by D. Jordan (drawn by S. Dinwiddie),,110-97,,
2:46.0,Turnover by D. Jordan (offensive foul),,110-97,,
2:46.0,,,110-97,,Brooklyn full timeout
2:46.0,,,110-97,,J. Harris enters the game for D. Russell
