time,Golden State,pts.away,score,pts.home,Cleveland
4:23.0,A. Iguodala misses 2-pt shot from 18 ft,,23-25,,
4:20.0,,,23-25,,Defensive rebound by K. Love
4:12.0,,,23-25,,I. Thomas misses 2-pt shot from 15 ft
4:10.0,Defensive rebound by K. Thompson,,23-25,,
4:07.0,K. Durant makes 2-pt shot from 3 ft (assist by K. Thompson),2,25-25,,
4:06.0,,,25-25,,Cleveland full timeout
4:06.0,,,25-25,,D. Wade enters the game for I. Thomas
3:57.0,Personal foul by A. Iguodala (drawn by L. James),,25-25,,
3:57.0,,,25-26,1,L. James makes free throw 1 of 2
3:57.0,,,25-27,1,L. James makes free throw 2 of 2
3:44.0,K. Thompson misses 3-pt shot from 25 ft,,25-27,,
3:42.0,,,25-27,,Defensive rebound by K. Love
3:28.0,,,25-29,2,K. Love makes 2-pt shot from 10 ft (assist by D. Wade)
3:19.0,Turnover by J. Bell (bad pass),,25-29,,
3:19.0,P. McCaw enters the game for J. Bell,,25-29,,
3:19.0,D. Green enters the game for K. Thompson,,25-29,,
3:10.0,,,25-29,,L. James misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by A. Iguodala,,25-29,,
3:03.0,Shooting foul by D. Wade (drawn by K. Durant),,25-29,,
3:03.0,K. Durant makes free throw 1 of 2,1,26-29,,
3:03.0,,,26-29,,J. Green enters the game for J. Crowder
3:03.0,K. Durant makes free throw 2 of 2,1,27-29,,
2:43.0,,,27-31,2,J. Smith makes 2-pt shot from 8 ft
2:37.0,Turnover by P. McCaw (step out of bounds),,27-31,,
2:22.0,,,27-33,2,L. James makes 2-pt shot from 1 ft
2:22.0,,,27-33,,Shooting foul by A. Iguodala (drawn by L. James)
2:22.0,,,27-34,1,L. James makes free throw 1 of 1
2:14.0,,,27-34,,Personal foul by J. Green (drawn by S. Curry)
2:14.0,S. Curry makes free throw 1 of 2,1,28-34,,
2:14.0,S. Curry makes free throw 2 of 2,1,29-34,,
2:03.0,,,29-34,,Turnover by D. Wade (bad pass; steal by K. Durant)
1:59.0,K. Durant makes 2-pt shot from 1 ft,2,31-34,,
1:45.0,,,31-34,,J. Smith misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by D. Green,,31-34,,
1:38.0,A. Iguodala misses 2-pt shot from 1 ft,,31-34,,
1:38.0,Offensive rebound by S. Curry,,31-34,,
1:21.0,S. Curry misses 3-pt shot from 25 ft,,31-34,,
1:21.0,Offensive rebound by A. Iguodala,,31-34,,
1:18.0,A. Iguodala makes 2-pt shot from 4 ft,2,33-34,,
1:11.0,Personal block foul by S. Curry (drawn by L. James),,33-34,,
1:11.0,,,33-35,1,L. James makes free throw 1 of 2
1:11.0,,,33-35,,T. Thompson enters the game for K. Love
1:11.0,S. Livingston enters the game for S. Curry,,33-35,,
1:11.0,,,33-35,,L. James misses free throw 2 of 2
1:09.0,,,33-35,,Offensive rebound by T. Thompson
1:09.0,,,33-35,,T. Thompson misses 2-pt shot at rim
1:09.0,Defensive rebound by Team,,33-35,,
0:49.0,K. Durant misses 2-pt shot from 1 ft,,33-35,,
0:46.0,Offensive rebound by A. Iguodala,,33-35,,
0:43.0,S. Livingston misses 2-pt shot from 15 ft,,33-35,,
0:43.0,,,33-35,,Defensive rebound by L. James
0:36.0,,,33-35,,Turnover by L. James (bad pass; steal by K. Durant)
0:30.0,K. Durant makes 2-pt shot at rim (assist by A. Iguodala),2,35-35,,
0:07.0,,,35-35,,J. Smith misses 2-pt shot from 11 ft
0:07.0,,,35-35,,Offensive rebound by L. James
0:05.0,,,35-37,2,L. James makes 2-pt shot from 1 ft
0:01.0,Turnover by K. Durant (bad pass; steal by J. Green),,35-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. West misses 2-pt shot from 19 ft,,35-37,,
11:39.0,Offensive rebound by S. Livingston,,35-37,,
11:27.0,D. Green misses 2-pt shot from 4 ft,,35-37,,
11:25.0,,,35-37,,Defensive rebound by T. Thompson
11:18.0,,,35-37,,D. Wade misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by Team,,35-37,,
11:18.0,,,35-37,,Loose ball foul by T. Thompson (drawn by D. Green)
11:01.0,Turnover by D. West (lost ball; steal by T. Thompson),,35-37,,
10:52.0,,,35-40,3,K. Korver makes 3-pt shot from 23 ft (assist by D. Wade)
10:43.0,S. Livingston misses 2-pt shot from 21 ft,,35-40,,
10:41.0,,,35-40,,Defensive rebound by J. Green
10:17.0,,,35-40,,T. Thompson misses 2-pt shot from 2 ft
10:11.0,,,35-40,,Offensive rebound by J. Green
10:11.0,,,35-42,2,J. Green makes 2-pt shot at rim
9:59.0,D. West misses 2-pt shot from 20 ft,,35-42,,
9:59.0,,,35-42,,Defensive rebound by T. Thompson
9:49.0,,,35-44,2,D. Wade makes 2-pt shot from 1 ft
9:33.0,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green),2,37-44,,
9:21.0,,,37-44,,I. Thomas misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by K. Thompson,,37-44,,
9:12.0,A. Iguodala makes 2-pt shot at rim,2,39-44,,
9:00.0,,,39-44,,I. Thomas misses 2-pt shot from 12 ft
8:58.0,Defensive rebound by S. Livingston,,39-44,,
8:57.0,,,39-44,,Personal foul by D. Wade (drawn by D. Green)
8:51.0,K. Thompson misses 2-pt shot from 18 ft,,39-44,,
8:47.0,,,39-44,,Defensive rebound by T. Thompson
8:41.0,,,39-46,2,D. Wade makes 2-pt shot from 11 ft
8:23.0,D. Green misses 3-pt shot from 26 ft,,39-46,,
8:19.0,Offensive rebound by D. West,,39-46,,
8:04.0,,,39-46,,Personal foul by I. Thomas (drawn by A. Iguodala)
7:55.0,S. Livingston makes 2-pt shot from 12 ft (assist by D. West),2,41-46,,
7:36.0,Personal foul by S. Livingston (drawn by J. Green),,41-46,,
7:26.0,,,41-46,,K. Korver misses 3-pt shot from 25 ft
7:23.0,,,41-46,,Offensive rebound by T. Thompson
7:23.0,,,41-46,,Turnover by T. Thompson (out of bounds lost ball)
7:23.0,S. Curry enters the game for A. Iguodala,,41-46,,
7:23.0,K. Looney enters the game for D. Green,,41-46,,
7:11.0,K. Looney makes 2-pt shot from 7 ft (assist by S. Curry),2,43-46,,
6:46.0,,,43-46,,D. Wade misses 2-pt shot from 14 ft
6:44.0,,,43-46,,Offensive rebound by T. Thompson
6:44.0,,,43-46,,Turnover by T. Thompson (out of bounds lost ball)
6:44.0,,,43-46,,Cleveland full timeout
6:44.0,,,43-46,,L. James enters the game for D. Wade
6:44.0,K. Durant enters the game for K. Thompson,,43-46,,
6:44.0,P. McCaw enters the game for S. Livingston,,43-46,,
6:22.0,D. West misses 2-pt shot from 20 ft,,43-46,,
6:22.0,,,43-46,,Defensive rebound by Team
6:22.0,Loose ball foul by K. Looney (drawn by K. Korver),,43-46,,
6:00.0,,,43-48,2,L. James makes 2-pt shot from 16 ft
5:47.0,S. Curry makes 3-pt shot from 25 ft,3,46-48,,
5:35.0,,,46-48,,Shooting foul by P. McCaw (drawn by I. Thomas)
5:35.0,,,46-49,1,I. Thomas makes free throw 1 of 2
5:35.0,,,46-49,,K. Love enters the game for T. Thompson
5:35.0,,,46-50,1,I. Thomas makes free throw 2 of 2
5:20.0,S. Curry makes 2-pt shot from 1 ft,2,48-50,,
5:05.0,,,48-52,2,I. Thomas makes 2-pt shot from 14 ft
4:49.0,P. McCaw misses 3-pt shot from 22 ft,,48-52,,
4:46.0,,,48-52,,Defensive rebound by K. Korver
4:37.0,,,48-54,2,L. James makes 2-pt shot at rim (assist by I. Thomas)
4:36.0,Golden State full timeout,,48-54,,
4:36.0,K. Thompson enters the game for P. McCaw,,48-54,,
4:36.0,D. Green enters the game for D. West,,48-54,,
4:24.0,K. Durant misses 2-pt shot from 15 ft,,48-54,,
4:20.0,Offensive rebound by K. Looney,,48-54,,
4:14.0,K. Durant makes 3-pt shot from 22 ft (assist by K. Thompson),3,51-54,,
3:56.0,,,51-54,,J. Green misses 3-pt shot from 23 ft
3:55.0,Defensive rebound by S. Curry,,51-54,,
3:48.0,K. Durant misses 2-pt shot at rim (block by L. James),,51-54,,
3:45.0,,,51-54,,Defensive rebound by K. Korver
3:45.0,Personal foul by S. Curry (drawn by I. Thomas),,51-54,,
3:45.0,,,51-54,,J. Smith enters the game for I. Thomas
3:45.0,,,51-54,,D. Wade enters the game for K. Korver
3:31.0,,,51-56,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Smith)
3:16.0,Turnover by K. Looney (lost ball; steal by K. Love),,51-56,,
3:16.0,Violation by K. Looney (kicked ball),,51-56,,
2:56.0,,,51-56,,Turnover by J. Smith (bad pass; steal by K. Durant)
2:50.0,S. Curry misses 3-pt shot from 25 ft,,51-56,,
2:48.0,,,51-56,,Defensive rebound by L. James
2:48.0,,,51-56,,Turnover by L. James (out of bounds lost ball)
2:48.0,,,51-56,,J. Crowder enters the game for J. Green
2:48.0,A. Iguodala enters the game for K. Looney,,51-56,,
2:41.0,A. Iguodala misses 2-pt shot from 16 ft,,51-56,,
2:37.0,,,51-56,,Defensive rebound by L. James
2:30.0,,,51-56,,J. Crowder misses 3-pt shot from 27 ft
2:25.0,Defensive rebound by D. Green,,51-56,,
2:22.0,,,51-56,,Personal foul by J. Crowder (drawn by S. Curry)
2:21.0,,,51-56,,Personal foul by K. Love (drawn by A. Iguodala)
2:21.0,A. Iguodala makes free throw 1 of 2,1,52-56,,
2:21.0,A. Iguodala makes free throw 2 of 2,1,53-56,,
2:11.0,,,53-58,2,J. Smith makes 2-pt shot from 9 ft (assist by L. James)
1:57.0,Turnover by S. Curry (bad pass),,53-58,,
1:46.0,,,53-58,,J. Smith misses 2-pt shot from 11 ft
1:43.0,,,53-58,,Offensive rebound by D. Wade
1:43.0,,,53-58,,D. Wade misses 2-pt shot at rim
1:43.0,Defensive rebound by K. Durant,,53-58,,
1:43.0,,,53-58,,J. Green enters the game for K. Love
1:37.0,K. Durant misses 3-pt shot from 27 ft,,53-58,,
1:34.0,,,53-58,,Defensive rebound by L. James
1:30.0,,,53-60,2,J. Crowder makes 2-pt shot at rim (assist by D. Wade)
1:14.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Iguodala),2,55-60,,
0:53.0,,,55-60,,Turnover by L. James (bad pass)
0:53.0,N. Young enters the game for S. Curry,,55-60,,
0:43.0,,,55-60,,Personal foul by J. Crowder (drawn by K. Durant)
0:43.0,K. Durant makes free throw 1 of 2,1,56-60,,
0:43.0,K. Durant makes free throw 2 of 2,1,57-60,,
0:26.0,,,57-62,2,D. Wade makes 2-pt shot from 11 ft
0:05.0,Turnover by K. Thompson (lost ball; steal by D. Wade),,57-62,,
0:02.0,,,57-64,2,J. Green makes 2-pt shot from 1 ft (assist by D. Wade)
0:00.0,D. Green misses 3-pt shot from 36 ft,,57-64,,
0:00.0,Offensive rebound by Team,,57-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,K. Durant misses 2-pt shot from 17 ft,,57-64,,
11:33.0,Offensive rebound by D. Green,,57-64,,
11:33.0,Shooting foul by K. Love (drawn by D. Green),,57-64,,
11:33.0,D. Green misses free throw 1 of 2,,57-64,,
11:33.0,Offensive rebound by Team,,57-64,,
11:33.0,D. Green makes free throw 2 of 2,1,58-64,,
11:17.0,,,58-64,,J. Crowder misses 3-pt shot from 23 ft (block by D. Green)
11:17.0,,,58-64,,Offensive rebound by Team
11:13.0,,,58-64,,I. Thomas misses 2-pt shot from 8 ft (block by K. Durant)
11:09.0,Defensive rebound by J. Bell,,58-64,,
11:09.0,Shooting foul by J. Smith (drawn by K. Durant),,58-64,,
11:09.0,K. Durant makes free throw 1 of 2,1,59-64,,
11:09.0,K. Durant makes free throw 2 of 2,1,60-64,,
11:00.0,Personal foul by K. Durant (drawn by L. James),,60-64,,
10:52.0,,,60-64,,K. Love misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by D. Green,,60-64,,
10:48.0,S. Curry makes 2-pt shot from 1 ft (assist by K. Durant),2,62-64,,
10:47.0,,,62-64,,Cleveland full timeout
10:33.0,,,62-66,2,L. James makes 2-pt shot at rim (assist by K. Love)
10:33.0,Violation by K. Durant (def goaltending),,62-66,,
10:19.0,D. Green misses 2-pt shot from 15 ft,,62-66,,
10:17.0,,,62-66,,Defensive rebound by K. Love
10:06.0,,,62-66,,I. Thomas misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by D. Green,,62-66,,
9:56.0,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant),3,65-66,,
9:36.0,,,65-69,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
9:24.0,J. Bell misses 2-pt shot from 4 ft (block by K. Love),,65-69,,
9:24.0,,,65-69,,Defensive rebound by I. Thomas
9:15.0,,,65-69,,J. Crowder misses 3-pt shot from 23 ft
9:15.0,Defensive rebound by K. Thompson,,65-69,,
9:08.0,D. Green misses 3-pt shot from 25 ft,,65-69,,
9:08.0,,,65-69,,Defensive rebound by J. Crowder
8:57.0,,,65-72,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
8:39.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,68-72,,
8:28.0,,,68-72,,I. Thomas misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by S. Curry,,68-72,,
8:22.0,Offensive foul by D. Green (drawn by I. Thomas),,68-72,,
8:22.0,Turnover by D. Green (offensive foul),,68-72,,
8:22.0,K. Looney enters the game for J. Bell,,68-72,,
8:04.0,,,68-72,,Turnover by L. James (out of bounds lost ball)
7:51.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,71-72,,
7:31.0,,,71-72,,K. Love misses 3-pt shot from 23 ft
7:28.0,Defensive rebound by K. Durant,,71-72,,
7:26.0,Shooting foul by J. Crowder (drawn by K. Durant),,71-72,,
7:26.0,K. Durant makes free throw 1 of 2,1,72-72,,
7:26.0,K. Durant makes free throw 2 of 2,1,73-72,,
7:10.0,,,73-74,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Smith)
6:56.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,75-74,,
6:47.0,,,75-74,,I. Thomas misses 2-pt shot from 16 ft
6:46.0,,,75-74,,Offensive rebound by L. James
6:40.0,,,75-74,,Shooting foul by K. Durant (drawn by L. James)
6:40.0,,,75-75,1,L. James makes free throw 1 of 2
6:40.0,,,75-76,1,L. James makes free throw 2 of 2
6:24.0,K. Durant makes 2-pt shot from 9 ft (assist by D. Green),2,77-76,,
6:03.0,,,77-76,,Turnover by L. James (bad pass; steal by K. Thompson)
5:58.0,Turnover by S. Curry (bad pass; steal by K. Love),,77-76,,
5:48.0,,,77-79,3,I. Thomas makes 3-pt shot from 25 ft (assist by L. James)
5:36.0,Shooting foul by K. Love (drawn by K. Looney),,77-79,,
5:36.0,K. Looney makes free throw 1 of 2,1,78-79,,
5:36.0,,,78-79,,J. Green enters the game for K. Love
5:36.0,A. Iguodala enters the game for D. Green,,78-79,,
5:36.0,K. Looney makes free throw 2 of 2,1,79-79,,
5:17.0,,,79-81,2,J. Smith makes 2-pt shot from 8 ft (assist by I. Thomas)
5:05.0,S. Curry makes 3-pt shot from 33 ft,3,82-81,,
4:41.0,,,82-83,2,I. Thomas makes 2-pt shot at rim (assist by L. James)
4:25.0,K. Durant misses 2-pt shot from 18 ft,,82-83,,
4:21.0,,,82-83,,Defensive rebound by L. James
4:19.0,,,82-83,,Turnover by L. James (bad pass)
4:19.0,Golden State full timeout,,82-83,,
4:19.0,,,82-83,,D. Wade enters the game for I. Thomas
4:00.0,A. Iguodala misses 2-pt shot from 5 ft (block by L. James),,82-83,,
3:59.0,Offensive rebound by A. Iguodala,,82-83,,
3:59.0,,,82-83,,Personal foul by L. James (drawn by A. Iguodala)
3:59.0,A. Iguodala makes free throw 1 of 2,1,83-83,,
3:59.0,N. Young enters the game for K. Thompson,,83-83,,
3:59.0,A. Iguodala misses free throw 2 of 2,,83-83,,
3:53.0,,,83-83,,Defensive rebound by D. Wade
3:37.0,,,83-83,,Turnover by L. James (lost ball; steal by A. Iguodala)
3:32.0,K. Durant makes 2-pt shot from 1 ft (assist by A. Iguodala),2,85-83,,
3:19.0,,,85-83,,L. James misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by Team,,85-83,,
3:08.0,S. Curry misses 2-pt shot from 3 ft (block by L. James),,85-83,,
3:04.0,Offensive rebound by K. Looney,,85-83,,
3:01.0,Turnover by S. Curry (bad pass; steal by J. Crowder),,85-83,,
2:58.0,,,85-85,2,L. James makes 2-pt shot at rim (assist by J. Crowder)
2:58.0,,,85-85,,Shooting foul by A. Iguodala (drawn by L. James)
2:58.0,,,85-85,,L. James misses free throw 1 of 1
2:55.0,Defensive rebound by K. Durant,,85-85,,
2:47.0,K. Durant misses 3-pt shot from 25 ft,,85-85,,
2:44.0,,,85-85,,Defensive rebound by D. Wade
2:38.0,,,85-85,,D. Wade misses 2-pt shot from 15 ft
2:36.0,Defensive rebound by K. Looney,,85-85,,
2:31.0,N. Young misses 3-pt shot from 24 ft,,85-85,,
2:27.0,,,85-85,,Defensive rebound by D. Wade
2:22.0,,,85-85,,J. Crowder misses 2-pt shot from 15 ft
2:22.0,Defensive rebound by K. Durant,,85-85,,
2:17.0,Shooting foul by J. Green (drawn by K. Looney),,85-85,,
2:17.0,K. Looney makes free throw 1 of 2,1,86-85,,
2:17.0,,,86-85,,T. Thompson enters the game for J. Crowder
2:17.0,K. Looney misses free throw 2 of 2,,86-85,,
2:14.0,,,86-85,,Defensive rebound by L. James
1:57.0,,,86-85,,L. James misses 2-pt shot from 16 ft
1:55.0,Defensive rebound by A. Iguodala,,86-85,,
1:52.0,Shooting foul by L. James (drawn by K. Durant),,86-85,,
1:52.0,K. Durant makes free throw 1 of 2,1,87-85,,
1:52.0,,,87-85,,I. Thomas enters the game for J. Smith
1:52.0,,,87-85,,K. Korver enters the game for L. James
1:52.0,D. Green enters the game for K. Looney,,87-85,,
1:52.0,K. Durant makes free throw 2 of 2,1,88-85,,
1:35.0,,,88-85,,D. Wade misses 2-pt shot from 20 ft
1:33.0,Defensive rebound by S. Curry,,88-85,,
1:23.0,K. Durant makes 3-pt shot from 29 ft,3,91-85,,
1:04.0,,,91-85,,J. Green misses 3-pt shot from 25 ft
1:01.0,,,91-85,,Offensive rebound by T. Thompson
0:59.0,,,91-87,2,J. Green makes 2-pt shot from 1 ft (assist by K. Korver)
0:53.0,S. Curry misses 3-pt shot from 28 ft,,91-87,,
0:53.0,,,91-87,,Defensive rebound by K. Korver
0:41.0,,,91-89,2,D. Wade makes 2-pt shot at rim
0:27.0,D. Green makes 2-pt shot from 1 ft (assist by K. Durant),2,93-89,,
0:03.0,,,93-91,2,I. Thomas makes 2-pt shot from 7 ft
0:00.0,A. Iguodala misses 3-pt shot from 26 ft,,93-91,,
0:00.0,Offensive rebound by Team,,93-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,93-93,2,I. Thomas makes 2-pt shot from 21 ft (assist by D. Wade)
11:21.0,D. Green misses 3-pt shot from 23 ft,,93-93,,
11:21.0,Offensive rebound by Team,,93-93,,
11:21.0,Turnover by Team (shot clock),,93-93,,
11:05.0,,,93-93,,I. Thomas misses 2-pt shot from 20 ft
11:05.0,Defensive rebound by Team,,93-93,,
10:50.0,Turnover by S. Livingston (traveling),,93-93,,
10:29.0,,,93-93,,J. Green misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by A. Iguodala,,93-93,,
10:24.0,K. Thompson misses 3-pt shot from 34 ft,,93-93,,
10:20.0,Offensive rebound by D. Green,,93-93,,
10:09.0,A. Iguodala misses 3-pt shot from 26 ft,,93-93,,
10:05.0,,,93-93,,Defensive rebound by D. Wade
9:57.0,,,93-93,,D. Wade misses 2-pt shot from 11 ft
9:57.0,,,93-93,,Offensive rebound by Team
9:57.0,Loose ball foul by K. Thompson (drawn by T. Thompson),,93-93,,
9:40.0,,,93-93,,J. Green misses 2-pt shot from 16 ft
9:37.0,Defensive rebound by D. Green,,93-93,,
9:36.0,Shooting foul by J. Green (drawn by A. Iguodala),,93-93,,
9:36.0,A. Iguodala misses free throw 1 of 2,,93-93,,
9:36.0,Offensive rebound by Team,,93-93,,
9:36.0,A. Iguodala misses free throw 2 of 2,,93-93,,
9:34.0,,,93-93,,Defensive rebound by T. Thompson
9:21.0,Personal foul by S. Livingston (drawn by I. Thomas),,93-93,,
9:13.0,,,93-93,,D. Wade misses 2-pt shot from 18 ft
9:10.0,Defensive rebound by D. Green,,93-93,,
9:07.0,Shooting foul by K. Korver (drawn by D. West),,93-93,,
9:07.0,D. West makes free throw 1 of 2,1,94-93,,
9:07.0,D. West makes free throw 2 of 2,1,95-93,,
8:54.0,,,95-93,,I. Thomas misses 2-pt shot from 2 ft (block by K. Thompson)
8:51.0,Defensive rebound by D. Green,,95-93,,
8:47.0,S. Livingston makes 2-pt shot from 2 ft (assist by D. Green),2,97-93,,
8:47.0,,,97-93,,Cleveland full timeout
8:47.0,,,97-93,,L. James enters the game for I. Thomas
8:47.0,N. Young enters the game for A. Iguodala,,97-93,,
8:30.0,,,97-93,,L. James misses 2-pt shot from 11 ft (block by D. West)
8:25.0,,,97-93,,Offensive rebound by D. Wade
8:24.0,,,97-93,,D. Wade misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by D. West,,97-93,,
8:00.0,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green),2,99-93,,
7:40.0,,,99-95,2,T. Thompson makes 2-pt shot from 8 ft (assist by K. Korver)
7:19.0,D. West makes 2-pt shot from 1 ft (assist by D. Green),2,101-95,,
7:05.0,,,101-95,,T. Thompson misses 2-pt shot from 3 ft (block by D. West)
7:05.0,,,101-95,,Offensive rebound by Team
7:05.0,,,101-95,,K. Love enters the game for D. Wade
7:05.0,,,101-95,,J. Smith enters the game for T. Thompson
6:57.0,,,101-95,,J. Smith misses 2-pt shot from 20 ft
6:54.0,Defensive rebound by D. Green,,101-95,,
6:51.0,Turnover by K. Thompson (step out of bounds),,101-95,,
6:39.0,Personal foul by D. Green (drawn by L. James),,101-95,,
6:33.0,,,101-95,,K. Love misses 2-pt shot from 11 ft
6:30.0,,,101-95,,Offensive rebound by J. Green
6:30.0,,,101-95,,J. Green misses 2-pt shot from 3 ft (block by D. Green)
6:30.0,,,101-95,,Offensive rebound by Team
6:25.0,,,101-95,,L. James misses 2-pt shot from 7 ft
6:18.0,,,101-95,,Offensive rebound by J. Green
6:18.0,,,101-95,,J. Green misses 2-pt shot at rim
6:17.0,Defensive rebound by D. West,,101-95,,
6:16.0,S. Livingston makes 2-pt shot from 19 ft (assist by D. Green),2,103-95,,
6:16.0,,,103-95,,Cleveland full timeout
6:04.0,,,103-95,,I. Thomas enters the game for J. Green
5:58.0,,,103-95,,I. Thomas misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by D. Green,,103-95,,
5:44.0,D. Green makes 2-pt shot from 1 ft (assist by S. Livingston),2,105-95,,
5:29.0,,,105-97,2,L. James makes 2-pt shot at rim (assist by K. Love)
5:29.0,,,105-97,,Shooting foul by N. Young (drawn by L. James)
5:29.0,K. Durant enters the game for K. Thompson,,105-97,,
5:29.0,S. Curry enters the game for S. Livingston,,105-97,,
5:29.0,,,105-97,,L. James misses free throw 1 of 1
5:27.0,Defensive rebound by D. Green,,105-97,,
