time,Washington,pts.away,score,pts.home,Indiana
0:51.0,,,56-49,1,D. Sabonis makes free throw 1 of 2
0:51.0,,,56-49,,D. Sabonis misses free throw 2 of 2
0:50.0,Defensive rebound by M. Gortat,,56-49,,
0:37.0,Turnover by B. Beal (bad pass),,56-49,,
0:29.0,,,56-49,,Turnover by L. Stephenson (lost ball; steal by T. Satoransky)
0:25.0,T. Satoransky makes 2-pt shot from 2 ft,2,58-49,,
0:04.0,,,58-49,,L. Stephenson misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by K. Oubre,,58-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,58-49,,Turnover by C. Joseph (bad pass; steal by M. Morris)
11:45.0,Turnover by M. Morris (bad pass; steal by B. Bogdanovic),,58-49,,
11:41.0,,,58-49,,Turnover by T. Young (bad pass)
11:26.0,M. Morris makes 2-pt shot from 11 ft (assist by T. Satoransky),2,60-49,,
11:07.0,,,60-49,,T. Young misses 2-pt shot from 2 ft
11:05.0,Defensive rebound by O. Porter,,60-49,,
11:00.0,O. Porter misses 2-pt shot from 9 ft,,60-49,,
10:58.0,Offensive rebound by Team,,60-49,,
10:56.0,M. Morris makes 2-pt shot from 13 ft (assist by O. Porter),2,62-49,,
10:34.0,,,62-52,3,J. Young makes 3-pt shot from 26 ft (assist by C. Joseph)
10:15.0,B. Beal makes 2-pt shot from 15 ft,2,64-52,,
9:55.0,,,64-54,2,C. Joseph makes 2-pt shot at rim
9:49.0,M. Morris misses 2-pt shot from 2 ft,,64-54,,
9:48.0,Offensive rebound by M. Gortat,,64-54,,
9:43.0,O. Porter makes 2-pt shot at rim (assist by M. Morris),2,66-54,,
9:32.0,,,66-56,2,B. Bogdanovic makes 2-pt shot from 3 ft
9:32.0,,,66-56,,Shooting foul by M. Gortat (drawn by B. Bogdanovic)
9:32.0,,,66-57,1,B. Bogdanovic makes free throw 1 of 1
9:18.0,Turnover by M. Gortat (bad pass; steal by B. Bogdanovic),,66-57,,
8:56.0,,,66-59,2,T. Young makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
8:43.0,,,66-59,,Violation by M. Turner (kicked ball)
8:36.0,O. Porter makes 2-pt shot from 5 ft,2,68-59,,
8:13.0,,,68-59,,C. Joseph misses 2-pt shot from 11 ft
8:09.0,Defensive rebound by M. Morris,,68-59,,
8:06.0,Turnover by B. Beal (bad pass),,68-59,,
7:56.0,,,68-59,,Turnover by M. Turner (out of bounds lost ball)
7:42.0,O. Porter makes 2-pt shot from 10 ft (assist by M. Gortat),2,70-59,,
7:34.0,Personal foul by O. Porter (drawn by M. Turner),,70-59,,
7:22.0,Personal block foul by T. Satoransky (drawn by C. Joseph),,70-59,,
7:16.0,,,70-62,3,J. Young makes 3-pt shot from 27 ft (assist by C. Joseph)
6:48.0,B. Beal misses 2-pt shot from 19 ft,,70-62,,
6:44.0,Offensive rebound by M. Morris,,70-62,,
6:32.0,Turnover by B. Beal (bad pass; steal by T. Young),,70-62,,
6:27.0,,,70-62,,C. Joseph misses 3-pt shot from 26 ft
6:23.0,Defensive rebound by M. Morris,,70-62,,
6:16.0,O. Porter makes 2-pt shot from 19 ft (assist by T. Satoransky),2,72-62,,
6:14.0,,,72-62,,Indiana full timeout
6:14.0,,,72-62,,L. Stephenson enters the game for B. Bogdanovic
6:04.0,,,72-62,,J. Young misses 3-pt shot from 29 ft
6:02.0,Defensive rebound by M. Morris,,72-62,,
5:46.0,M. Gortat makes 2-pt shot from 10 ft,2,74-62,,
5:34.0,,,74-62,,L. Stephenson misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by Team,,74-62,,
5:14.0,M. Morris misses 2-pt shot from 10 ft,,74-62,,
5:11.0,Offensive rebound by M. Gortat,,74-62,,
5:11.0,M. Gortat makes 2-pt shot at rim,2,76-62,,
5:05.0,Personal foul by M. Morris (drawn by T. Young),,76-62,,
4:58.0,,,76-62,,Turnover by L. Stephenson (bad pass)
4:49.0,Turnover by B. Beal (lost ball; steal by J. Young),,76-62,,
4:26.0,,,76-62,,J. Young misses 3-pt shot from 23 ft
4:23.0,Defensive rebound by M. Gortat,,76-62,,
4:18.0,O. Porter makes 3-pt shot from 26 ft (assist by B. Beal),3,79-62,,
3:55.0,,,79-64,2,L. Stephenson makes 2-pt shot from 12 ft
3:39.0,M. Gortat misses 2-pt shot from 2 ft,,79-64,,
3:37.0,,,79-64,,Defensive rebound by M. Turner
3:27.0,,,79-64,,Shooting foul by O. Porter (drawn by L. Stephenson)
3:27.0,,,79-64,,L. Stephenson misses free throw 1 of 2
3:27.0,,,79-64,,Offensive rebound by Team
3:27.0,,,79-64,,D. Sabonis enters the game for T. Young
3:27.0,K. Oubre enters the game for O. Porter,,79-64,,
3:27.0,,,79-65,1,L. Stephenson makes free throw 2 of 2
3:17.0,T. Satoransky misses 2-pt shot from 9 ft,,79-65,,
3:15.0,,,79-65,,Defensive rebound by M. Turner
3:04.0,,,79-65,,L. Stephenson misses 3-pt shot from 26 ft
3:00.0,Defensive rebound by K. Oubre,,79-65,,
2:52.0,K. Oubre misses 3-pt shot from 27 ft,,79-65,,
2:50.0,Offensive rebound by Team,,79-65,,
2:50.0,Washington full timeout,,79-65,,
2:50.0,T. Frazier enters the game for M. Gortat,,79-65,,
2:50.0,M. Scott enters the game for T. Satoransky,,79-65,,
2:47.0,M. Morris misses 2-pt shot from 15 ft,,79-65,,
2:44.0,,,79-65,,Defensive rebound by L. Stephenson
2:27.0,,,79-65,,Shooting foul by M. Morris (drawn by L. Stephenson)
2:27.0,,,79-65,,L. Stephenson misses free throw 1 of 2
2:27.0,,,79-65,,Offensive rebound by Team
2:27.0,,,79-65,,A. Jefferson enters the game for M. Turner
2:27.0,I. Mahinmi enters the game for M. Morris,,79-65,,
2:27.0,,,79-66,1,L. Stephenson makes free throw 2 of 2
2:03.0,Turnover by I. Mahinmi (offensive goaltending),,79-66,,
1:46.0,,,79-66,,A. Jefferson misses 2-pt shot from 7 ft
1:44.0,Defensive rebound by I. Mahinmi,,79-66,,
1:33.0,M. Scott makes 2-pt shot from 16 ft (assist by B. Beal),2,81-66,,
1:20.0,,,81-68,2,D. Sabonis makes 2-pt shot from 1 ft (assist by A. Jefferson)
1:07.0,Shooting foul by D. Sabonis (drawn by I. Mahinmi),,81-68,,
1:07.0,Technical foul by M. Scott,,81-68,,
1:07.0,,,81-68,,J. Young misses technical free throw
1:07.0,Defensive rebound by Team,,81-68,,
1:07.0,I. Mahinmi makes free throw 1 of 2,1,82-68,,
1:07.0,J. Meeks enters the game for B. Beal,,82-68,,
1:07.0,I. Mahinmi misses free throw 2 of 2,,82-68,,
1:05.0,,,82-68,,Defensive rebound by D. Sabonis
0:48.0,,,82-71,3,J. Young makes 3-pt shot from 28 ft (assist by D. Sabonis)
0:34.0,M. Scott makes 2-pt shot from 7 ft (assist by T. Frazier),2,84-71,,
0:13.0,,,84-71,,D. Sabonis misses 3-pt shot from 27 ft
0:11.0,Defensive rebound by K. Oubre,,84-71,,
0:05.0,,,84-71,,Shooting block foul by L. Stephenson (drawn by K. Oubre)
0:05.0,K. Oubre makes free throw 1 of 2,1,85-71,,
0:05.0,,,85-71,,B. Bogdanovic enters the game for C. Joseph
0:05.0,K. Oubre makes free throw 2 of 2,1,86-71,,
0:00.0,,,86-74,3,B. Bogdanovic makes 3-pt shot from 24 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,K. Oubre makes 2-pt shot from 18 ft (assist by I. Mahinmi),2,88-74,,
11:29.0,,,88-77,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by L. Stephenson)
11:29.0,,,88-77,,Shooting foul by T. Frazier (drawn by B. Bogdanovic)
11:29.0,,,88-78,1,B. Bogdanovic makes free throw 1 of 1
11:15.0,M. Scott makes 2-pt shot from 9 ft (assist by J. Meeks),2,90-78,,
10:49.0,,,90-78,,L. Stephenson misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by M. Scott,,90-78,,
10:37.0,Jump ball: L. Stephenson vs. T. Frazier (A. Jefferson gains possession),,,,Jump ball: L. Stephenson vs. T. Frazier (A. Jefferson gains possession)
10:37.0,Turnover by T. Frazier (turnover; steal by L. Stephenson),,90-78,,
10:23.0,,,90-80,2,A. Jefferson makes 2-pt shot from 11 ft
10:23.0,,,90-80,,Shooting foul by I. Mahinmi (drawn by A. Jefferson)
10:23.0,,,90-80,,A. Jefferson misses free throw 1 of 1
10:21.0,Defensive rebound by M. Scott,,90-80,,
10:08.0,M. Scott misses 2-pt shot from 15 ft,,90-80,,
10:05.0,,,90-80,,Defensive rebound by J. Young
9:56.0,,,90-80,,D. Sabonis misses 2-pt shot from 8 ft
9:53.0,Defensive rebound by M. Scott,,90-80,,
9:41.0,Turnover by J. Meeks (bad pass),,90-80,,
9:21.0,,,90-80,,L. Stephenson misses 2-pt shot from 5 ft
9:19.0,Defensive rebound by I. Mahinmi,,90-80,,
9:06.0,J. Meeks makes 3-pt shot from 27 ft (assist by M. Scott),3,93-80,,
8:44.0,,,93-80,,A. Jefferson misses 2-pt shot from 20 ft
8:41.0,Defensive rebound by M. Scott,,93-80,,
8:28.0,M. Scott misses 2-pt shot from 16 ft,,93-80,,
8:25.0,Offensive rebound by I. Mahinmi,,93-80,,
8:24.0,K. Oubre misses 3-pt shot from 27 ft,,93-80,,
8:21.0,,,93-80,,Defensive rebound by B. Bogdanovic
8:15.0,Shooting block foul by M. Scott (drawn by B. Bogdanovic),,93-80,,
8:15.0,,,93-81,1,B. Bogdanovic makes free throw 1 of 2
8:15.0,,,93-81,,C. Joseph enters the game for J. Young
8:15.0,,,93-82,1,B. Bogdanovic makes free throw 2 of 2
8:08.0,J. Meeks misses 3-pt shot from 28 ft,,93-82,,
8:05.0,,,93-82,,Defensive rebound by L. Stephenson
7:54.0,,,93-84,2,A. Jefferson makes 2-pt shot from 1 ft (assist by D. Sabonis)
7:54.0,Washington full timeout,,93-84,,
7:38.0,J. Meeks makes 2-pt shot from 2 ft,2,95-84,,
7:22.0,,,95-87,3,B. Bogdanovic makes 3-pt shot from 28 ft (assist by L. Stephenson)
7:06.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by J. Meeks),2,97-87,,
7:06.0,Shooting foul by A. Jefferson (drawn by I. Mahinmi),,97-87,,
7:06.0,B. Beal enters the game for J. Meeks,,97-87,,
7:06.0,I. Mahinmi makes free throw 1 of 1,1,98-87,,
6:53.0,,,98-87,,Turnover by L. Stephenson (bad pass; steal by T. Frazier)
6:39.0,B. Beal makes 2-pt shot from 22 ft,2,100-87,,
6:25.0,Personal foul by I. Mahinmi (drawn by L. Stephenson),,100-87,,
6:25.0,,,100-87,,T. Young enters the game for A. Jefferson
6:20.0,,,100-90,3,T. Young makes 3-pt shot from 28 ft (assist by C. Joseph)
6:02.0,Shooting foul by L. Stephenson (drawn by I. Mahinmi),,100-90,,
6:02.0,I. Mahinmi makes free throw 1 of 2,1,101-90,,
6:02.0,I. Mahinmi makes free throw 2 of 2,1,102-90,,
5:49.0,,,102-90,,T. Young misses 2-pt shot from 4 ft
5:45.0,Defensive rebound by I. Mahinmi,,102-90,,
5:42.0,Turnover by B. Beal (bad pass; steal by L. Stephenson),,102-90,,
5:39.0,,,102-90,,B. Bogdanovic misses 3-pt shot from 24 ft
5:37.0,,,102-90,,Offensive rebound by T. Young
5:37.0,,,102-92,2,T. Young makes 2-pt shot from 1 ft
5:37.0,,,102-92,,Shooting foul by K. Oubre (drawn by T. Young)
5:37.0,O. Porter enters the game for T. Frazier,,102-92,,
5:37.0,,,102-92,,T. Young misses free throw 1 of 1
5:35.0,Defensive rebound by K. Oubre,,102-92,,
5:21.0,B. Beal misses 2-pt shot from 10 ft,,102-92,,
5:21.0,,,102-92,,Defensive rebound by D. Sabonis
5:05.0,,,102-92,,Offensive foul by D. Sabonis (drawn by K. Oubre)
5:05.0,,,102-92,,Turnover by D. Sabonis (offensive foul)
5:05.0,M. Morris enters the game for M. Scott,,102-92,,
4:49.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by K. Oubre),2,104-92,,
4:49.0,,,104-92,,Indiana full timeout
4:49.0,,,104-92,,M. Turner enters the game for D. Sabonis
4:35.0,Personal foul by I. Mahinmi (drawn by B. Bogdanovic),,104-92,,
4:35.0,,,104-93,1,B. Bogdanovic makes free throw 1 of 2
4:35.0,,,104-93,,B. Bogdanovic misses free throw 2 of 2
4:32.0,Defensive rebound by M. Morris,,104-93,,
4:19.0,,,104-93,,Personal foul by M. Turner (drawn by I. Mahinmi)
4:13.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by B. Beal),2,106-93,,
4:00.0,,,106-93,,T. Young misses 3-pt shot from 23 ft
3:57.0,Defensive rebound by I. Mahinmi,,106-93,,
3:39.0,O. Porter misses 3-pt shot from 28 ft,,106-93,,
3:35.0,,,106-93,,Defensive rebound by L. Stephenson
3:30.0,,,106-95,2,L. Stephenson makes 2-pt shot from 1 ft
3:04.0,M. Morris misses 3-pt shot from 26 ft,,106-95,,
3:03.0,,,106-95,,Defensive rebound by L. Stephenson
3:00.0,,,106-95,,L. Stephenson misses 3-pt shot from 26 ft
2:56.0,Defensive rebound by M. Morris,,106-95,,
2:37.0,B. Beal misses 3-pt shot from 27 ft,,106-95,,
2:33.0,,,106-95,,Defensive rebound by L. Stephenson
2:18.0,,,106-95,,Shooting foul by I. Mahinmi (drawn by C. Joseph)
2:18.0,T. Satoransky enters the game for I. Mahinmi,,106-95,,
2:18.0,,,106-96,1,C. Joseph makes free throw 1 of 2
2:18.0,,,106-96,,C. Joseph misses free throw 2 of 2
