time,LA Lakers,pts.away,score,pts.home,Denver
6:48.0,K. Caldwell-Pope makes free throw 2 of 2,1,9-18,,
6:31.0,,,9-18,,Turnover by G. Harris (bad pass)
6:25.0,B. Lopez misses 2-pt shot from 3 ft (block by K. Faried),,9-18,,
6:23.0,,,9-18,,Defensive rebound by M. Plumlee
6:18.0,,,9-18,,G. Harris misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by L. Nance,,9-18,,
6:09.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,9-18,,
6:05.0,,,9-18,,Defensive rebound by K. Faried
5:51.0,,,9-18,,Shooting foul by B. Lopez (drawn by K. Faried)
5:51.0,,,9-18,,K. Faried misses free throw 1 of 2
5:51.0,,,9-18,,Offensive rebound by Team
5:51.0,J. Hart enters the game for B. Ingram,,9-18,,
5:51.0,K. Kuzma enters the game for L. Nance,,9-18,,
5:51.0,,,9-19,1,K. Faried makes free throw 2 of 2
5:27.0,K. Caldwell-Pope misses 2-pt shot from 6 ft,,9-19,,
5:25.0,Offensive rebound by B. Lopez,,9-19,,
5:24.0,B. Lopez makes 2-pt shot from 2 ft,2,11-19,,
5:11.0,,,11-21,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Murray)
4:56.0,B. Lopez misses 2-pt shot from 9 ft,,11-21,,
4:54.0,,,11-21,,Defensive rebound by K. Faried
4:40.0,,,11-21,,Turnover by J. Murray (bad pass; steal by J. Hart)
4:36.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by J. Hart),2,13-21,,
4:36.0,,,13-21,,Denver full timeout
4:36.0,,,13-21,,W. Barton enters the game for K. Faried
4:36.0,,,13-21,,T. Lyles enters the game for J. Hernangomez
4:18.0,,,13-23,2,J. Murray makes 2-pt shot from 5 ft
4:18.0,,,13-23,,Shooting foul by L. Ball (drawn by J. Murray)
4:18.0,,,13-24,1,J. Murray makes free throw 1 of 1
4:04.0,L. Ball makes 2-pt shot from 2 ft,2,15-24,,
3:47.0,,,15-26,2,T. Lyles makes 2-pt shot from 2 ft
3:34.0,L. Ball makes 3-pt shot from 24 ft (assist by K. Kuzma),3,18-26,,
3:16.0,,,18-26,,Shooting foul by K. Kuzma (drawn by T. Lyles)
3:16.0,,,18-27,1,T. Lyles makes free throw 1 of 2
3:16.0,,,18-27,,D. Arthur enters the game for M. Plumlee
3:16.0,J. Clarkson enters the game for L. Ball,,18-27,,
3:16.0,J. Randle enters the game for B. Lopez,,18-27,,
3:16.0,,,18-28,1,T. Lyles makes free throw 2 of 2
3:05.0,J. Clarkson misses 2-pt shot from 5 ft (block by W. Barton),,18-28,,
3:05.0,Offensive rebound by Team,,18-28,,
3:02.0,Turnover by K. Kuzma (bad pass),,18-28,,
2:40.0,,,18-28,,T. Lyles misses 2-pt shot from 7 ft
2:37.0,Defensive rebound by K. Caldwell-Pope,,18-28,,
2:30.0,J. Randle makes 2-pt shot from 2 ft,2,20-28,,
2:21.0,,,20-28,,J. Murray misses 3-pt shot from 24 ft
2:21.0,Defensive rebound by K. Kuzma,,20-28,,
2:13.0,J. Randle makes 2-pt shot from 5 ft (assist by J. Hart),2,22-28,,
2:13.0,Shooting foul by J. Murray (drawn by J. Randle),,22-28,,
2:13.0,,,22-28,,R. Jefferson enters the game for G. Harris
2:13.0,,,22-28,,E. Mudiay enters the game for J. Murray
2:13.0,J. Randle misses free throw 1 of 1,,22-28,,
2:11.0,,,22-28,,Defensive rebound by W. Barton
1:54.0,,,22-28,,Shooting foul by J. Hart (drawn by W. Barton)
1:54.0,,,22-29,1,W. Barton makes free throw 1 of 3
1:54.0,,,22-30,1,W. Barton makes free throw 2 of 3
1:54.0,,,22-31,1,W. Barton makes free throw 3 of 3
1:49.0,Turnover by K. Kuzma (traveling),,22-31,,
1:35.0,,,22-34,3,T. Lyles makes 3-pt shot from 22 ft (assist by E. Mudiay)
1:27.0,Turnover by J. Clarkson (traveling),,22-34,,
1:18.0,,,22-34,,W. Barton misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by J. Randle,,22-34,,
1:08.0,J. Randle makes 2-pt shot from 3 ft,2,24-34,,
0:46.0,,,24-34,,D. Arthur misses 2-pt shot from 12 ft
0:44.0,Defensive rebound by K. Kuzma,,24-34,,
0:40.0,K. Kuzma misses 2-pt shot from 3 ft,,24-34,,
0:37.0,Offensive rebound by K. Caldwell-Pope,,24-34,,
0:34.0,J. Hart makes 3-pt shot from 22 ft (assist by J. Clarkson),3,27-34,,
0:15.0,,,27-34,,R. Jefferson misses 2-pt shot from 8 ft
0:12.0,Defensive rebound by J. Hart,,27-34,,
0:01.0,J. Randle makes 2-pt shot from 5 ft,2,29-34,,
0:00.0,,,29-34,,W. Barton misses 3-pt shot from 75 ft
0:00.0,,,29-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,29-36,2,R. Jefferson makes 2-pt shot from 13 ft
11:43.0,,,29-36,,Shooting foul by C. Brewer (drawn by R. Jefferson)
11:43.0,,,29-36,,R. Jefferson misses free throw 1 of 1
11:40.0,Defensive rebound by K. Kuzma,,29-36,,
11:21.0,K. Kuzma makes 2-pt shot from 19 ft (assist by J. Clarkson),2,31-36,,
11:10.0,,,31-36,,Offensive foul by D. Arthur (drawn by J. Hart)
11:10.0,,,31-36,,Turnover by D. Arthur (offensive foul)
10:51.0,C. Brewer misses 2-pt shot from 5 ft,,31-36,,
10:48.0,Offensive rebound by J. Hart,,31-36,,
10:41.0,Shooting foul by D. Arthur (drawn by J. Randle),,31-36,,
10:41.0,J. Randle misses free throw 1 of 2,,31-36,,
10:41.0,Offensive rebound by Team,,31-36,,
10:41.0,,,31-36,,K. Faried enters the game for D. Arthur
10:41.0,J. Randle makes free throw 2 of 2,1,32-36,,
10:31.0,,,32-39,3,T. Lyles makes 3-pt shot from 25 ft (assist by E. Mudiay)
10:20.0,J. Clarkson misses 3-pt shot from 25 ft,,32-39,,
10:17.0,,,32-39,,Defensive rebound by T. Lyles
10:13.0,,,32-39,,W. Barton misses 3-pt shot from 25 ft
10:11.0,,,32-39,,Offensive rebound by Team
10:11.0,Loose ball foul by J. Randle (drawn by K. Faried),,32-39,,
9:52.0,,,32-39,,Turnover by W. Barton (discontinued dribble)
9:45.0,,,32-39,,Personal foul by W. Barton (drawn by J. Clarkson)
9:36.0,J. Clarkson makes 2-pt shot from 2 ft,2,34-39,,
9:07.0,,,34-39,,T. Lyles misses 2-pt shot from 6 ft
9:05.0,Defensive rebound by J. Randle,,34-39,,
9:00.0,Shooting foul by T. Lyles (drawn by J. Randle),,34-39,,
9:00.0,J. Randle misses free throw 1 of 2,,34-39,,
9:00.0,Offensive rebound by Team,,34-39,,
9:00.0,J. Randle misses free throw 2 of 2,,34-39,,
8:59.0,,,34-39,,Defensive rebound by K. Faried
8:59.0,Loose ball foul by J. Randle (drawn by K. Faried),,34-39,,
8:39.0,,,34-39,,E. Mudiay misses 2-pt shot from 3 ft (block by J. Hart)
8:33.0,Defensive rebound by J. Randle,,34-39,,
8:32.0,J. Hart misses 3-pt shot from 25 ft,,34-39,,
8:28.0,,,34-39,,Defensive rebound by W. Barton
8:25.0,,,34-42,3,E. Mudiay makes 3-pt shot from 22 ft (assist by R. Jefferson)
8:08.0,K. Kuzma misses 3-pt shot from 25 ft,,34-42,,
8:06.0,,,34-42,,Defensive rebound by E. Mudiay
7:52.0,,,34-42,,Turnover by W. Barton (bad pass; steal by J. Hart)
7:47.0,,,34-42,,Personal block foul by R. Jefferson (drawn by J. Clarkson)
7:47.0,LA Lakers full timeout,,34-42,,
7:47.0,B. Lopez enters the game for C. Brewer,,34-42,,
7:47.0,L. Ball enters the game for J. Hart,,34-42,,
7:47.0,B. Ingram enters the game for J. Randle,,34-42,,
7:39.0,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Ball),3,37-42,,
7:22.0,,,37-42,,R. Jefferson misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by K. Kuzma,,37-42,,
7:12.0,J. Clarkson misses 2-pt shot from 17 ft,,37-42,,
7:10.0,,,37-42,,Defensive rebound by K. Faried
7:04.0,,,37-42,,E. Mudiay misses 2-pt shot from 15 ft
7:04.0,Defensive rebound by L. Ball,,37-42,,
6:57.0,B. Lopez misses 3-pt shot from 24 ft,,37-42,,
6:57.0,,,37-42,,Defensive rebound by E. Mudiay
6:46.0,,,37-42,,W. Barton misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by K. Kuzma,,37-42,,
6:35.0,B. Ingram misses 2-pt shot from 4 ft (block by W. Barton),,37-42,,
6:35.0,Offensive rebound by Team,,37-42,,
6:35.0,,,37-42,,M. Plumlee enters the game for T. Lyles
6:35.0,,,37-42,,G. Harris enters the game for R. Jefferson
6:33.0,Jump ball: E. Mudiay vs. B. Ingram,,,,Jump ball: E. Mudiay vs. B. Ingram
6:33.0,Turnover by B. Ingram (turnover; steal by E. Mudiay),,37-42,,
6:33.0,,,37-42,,J. Murray enters the game for E. Mudiay
6:24.0,,,37-42,,M. Plumlee misses 2-pt shot from 10 ft
6:20.0,Defensive rebound by B. Ingram,,37-42,,
6:10.0,Shooting foul by K. Faried (drawn by B. Ingram),,37-42,,
6:10.0,B. Ingram makes free throw 1 of 2,1,38-42,,
6:10.0,L. Nance enters the game for K. Kuzma,,38-42,,
6:10.0,B. Ingram makes free throw 2 of 2,1,39-42,,
5:58.0,,,39-42,,Turnover by G. Harris (lost ball; steal by L. Ball)
5:54.0,B. Ingram makes 2-pt shot from 2 ft (assist by B. Lopez),2,41-42,,
5:54.0,,,41-42,,Denver full timeout
5:49.0,,,41-42,,Turnover by W. Barton (lost ball; steal by B. Ingram)
5:45.0,B. Ingram misses 2-pt shot from 2 ft (block by W. Barton),,41-42,,
5:45.0,Offensive rebound by Team,,41-42,,
5:36.0,B. Ingram makes 2-pt shot from 21 ft (assist by B. Lopez),2,43-42,,
5:19.0,,,43-42,,Turnover by J. Murray (bad pass; steal by L. Ball)
5:16.0,L. Ball makes 2-pt shot from 2 ft,2,45-42,,
5:01.0,,,45-45,3,G. Harris makes 3-pt shot from 24 ft (assist by W. Barton)
4:48.0,B. Lopez makes 2-pt shot from 2 ft (assist by J. Clarkson),2,47-45,,
4:34.0,,,47-47,2,G. Harris makes 2-pt shot from 2 ft (assist by M. Plumlee)
4:23.0,B. Lopez makes 2-pt shot from 4 ft (assist by L. Ball),2,49-47,,
4:03.0,,,49-47,,W. Barton misses 2-pt shot from 7 ft
4:00.0,Defensive rebound by J. Clarkson,,49-47,,
3:56.0,B. Ingram misses 3-pt shot from 22 ft,,49-47,,
3:56.0,Offensive rebound by L. Nance,,49-47,,
3:51.0,L. Nance makes 2-pt shot at rim,2,51-47,,
3:35.0,,,51-47,,J. Murray misses 2-pt shot from 21 ft
3:35.0,Defensive rebound by B. Lopez,,51-47,,
3:30.0,L. Ball misses 2-pt shot from 2 ft (block by W. Barton),,51-47,,
3:30.0,Offensive rebound by B. Ingram,,51-47,,
3:25.0,B. Ingram makes 2-pt shot from 2 ft,2,53-47,,
3:17.0,,,53-47,,Denver full timeout
3:17.0,,,53-47,,J. Hernangomez enters the game for W. Barton
3:17.0,,,53-47,,T. Lyles enters the game for K. Faried
3:17.0,K. Caldwell-Pope enters the game for J. Clarkson,,53-47,,
3:09.0,,,53-49,2,M. Plumlee makes 2-pt shot from 1 ft (assist by G. Harris)
2:49.0,Turnover by B. Ingram (lost ball; steal by G. Harris),,53-49,,
2:45.0,,,53-51,2,G. Harris makes 2-pt shot from 2 ft (assist by M. Plumlee)
2:20.0,B. Ingram misses 2-pt shot from 2 ft,,53-51,,
2:14.0,Offensive rebound by L. Nance,,53-51,,
2:14.0,L. Nance misses 2-pt shot at rim,,53-51,,
2:14.0,,,53-51,,Defensive rebound by M. Plumlee
2:12.0,,,53-51,,G. Harris misses 3-pt shot from 22 ft
2:09.0,Defensive rebound by K. Caldwell-Pope,,53-51,,
1:57.0,B. Lopez misses 3-pt shot from 25 ft,,53-51,,
1:55.0,Offensive rebound by L. Ball,,53-51,,
1:53.0,Turnover by K. Caldwell-Pope (lost ball; steal by G. Harris),,53-51,,
1:49.0,,,53-53,2,J. Murray makes 2-pt shot from 1 ft (assist by G. Harris)
1:49.0,LA Lakers full timeout,,53-53,,
1:34.0,,,53-53,,Personal block foul by M. Plumlee (drawn by B. Ingram)
1:34.0,B. Ingram makes free throw 1 of 2,1,54-53,,
1:34.0,B. Ingram makes free throw 2 of 2,1,55-53,,
1:14.0,,,55-53,,G. Harris misses 3-pt shot from 23 ft
1:11.0,Defensive rebound by B. Lopez,,55-53,,
1:03.0,L. Nance makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope),2,57-53,,
0:46.0,,,57-53,,Shooting foul by B. Ingram (drawn by G. Harris)
0:46.0,,,57-54,1,G. Harris makes free throw 1 of 2
0:46.0,J. Hart enters the game for B. Ingram,,57-54,,
0:46.0,,,57-55,1,G. Harris makes free throw 2 of 2
0:29.0,L. Ball misses 2-pt shot from 1 ft,,57-55,,
0:29.0,Offensive rebound by L. Ball,,57-55,,
0:29.0,L. Ball makes 2-pt shot from 1 ft,2,59-55,,
0:06.0,,,59-55,,J. Murray misses 2-pt shot from 2 ft
0:04.0,Defensive rebound by L. Nance,,59-55,,
0:03.0,Turnover by L. Nance (turnover),,59-55,,
0:03.0,K. Kuzma enters the game for B. Lopez,,59-55,,
0:00.0,,,59-55,,J. Murray misses 3-pt shot from 28 ft
0:00.0,,,59-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,59-55,,M. Plumlee misses 2-pt shot from 6 ft
11:37.0,Defensive rebound by L. Ball,,59-55,,
11:35.0,Shooting foul by G. Harris (drawn by B. Ingram),,59-55,,
11:35.0,B. Ingram makes free throw 2 of 2,1,60-55,,
11:35.0,B. Ingram makes free throw 1 of 2,1,61-55,,
11:18.0,,,61-55,,G. Harris misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by L. Ball,,61-55,,
11:11.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,61-55,,
11:08.0,,,61-55,,Defensive rebound by K. Faried
10:59.0,,,61-55,,J. Hernangomez misses 3-pt shot from 23 ft
10:56.0,,,61-55,,Offensive rebound by J. Hernangomez
10:48.0,,,61-55,,G. Harris misses 2-pt shot from 1 ft
10:45.0,Defensive rebound by L. Ball,,61-55,,
10:41.0,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball),2,63-55,,
10:11.0,,,63-55,,J. Murray misses 2-pt shot from 6 ft
10:09.0,,,63-55,,Offensive rebound by Team
9:53.0,,,63-58,3,J. Murray makes 3-pt shot from 25 ft
9:32.0,B. Ingram misses 2-pt shot from 14 ft,,63-58,,
9:28.0,,,63-58,,Defensive rebound by K. Faried
9:15.0,,,63-58,,K. Faried misses 2-pt shot from 6 ft
9:10.0,Defensive rebound by K. Caldwell-Pope,,63-58,,
9:03.0,B. Lopez makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,66-58,,
9:02.0,,,66-58,,Denver full timeout
8:41.0,,,66-60,2,G. Harris makes 2-pt shot from 2 ft
8:29.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,66-60,,
8:29.0,,,66-60,,Defensive rebound by J. Hernangomez
8:08.0,,,66-62,2,K. Faried makes 2-pt shot from 2 ft
7:55.0,B. Lopez misses 3-pt shot from 25 ft,,66-62,,
7:50.0,Offensive rebound by L. Ball,,66-62,,
7:50.0,L. Ball misses 2-pt shot at rim,,66-62,,
7:48.0,Offensive rebound by L. Nance,,66-62,,
7:48.0,L. Nance misses 2-pt shot from 1 ft,,66-62,,
7:48.0,,,66-62,,Defensive rebound by G. Harris
7:43.0,,,66-62,,G. Harris misses 3-pt shot from 24 ft
7:41.0,,,66-62,,Offensive rebound by K. Faried
7:41.0,,,66-64,2,K. Faried makes 2-pt shot at rim
7:41.0,LA Lakers full timeout,,66-64,,
7:33.0,,,66-64,,Personal foul by K. Faried (drawn by L. Nance)
7:22.0,Turnover by B. Ingram (traveling),,66-64,,
7:00.0,,,66-64,,G. Harris misses 2-pt shot from 3 ft
7:00.0,Defensive rebound by Team,,66-64,,
6:47.0,Offensive foul by B. Lopez (drawn by J. Hernangomez),,66-64,,
6:47.0,Turnover by B. Lopez (offensive foul),,66-64,,
6:35.0,,,66-64,,J. Hernangomez misses 3-pt shot from 24 ft
6:31.0,,,66-64,,Offensive rebound by M. Plumlee
6:25.0,,,66-64,,Turnover by M. Plumlee (turnover)
6:07.0,B. Ingram makes 2-pt shot from 15 ft,2,68-64,,
5:52.0,,,68-66,2,K. Faried makes 2-pt shot from 2 ft (assist by M. Plumlee)
5:40.0,,,68-66,,Violation by J. Murray (kicked ball)
5:36.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,68-66,,
5:32.0,,,68-66,,Defensive rebound by J. Murray
5:23.0,,,68-66,,J. Murray misses 2-pt shot from 7 ft
5:20.0,Defensive rebound by B. Lopez,,68-66,,
5:20.0,Turnover by L. Ball (bad pass),,68-66,,
5:11.0,,,68-68,2,M. Plumlee makes 2-pt shot from 1 ft (assist by G. Harris)
4:57.0,B. Lopez misses 2-pt shot from 12 ft,,68-68,,
4:55.0,,,68-68,,Defensive rebound by M. Plumlee
4:41.0,,,68-68,,G. Harris misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by B. Ingram,,68-68,,
4:33.0,Turnover by B. Ingram (lost ball; steal by J. Murray),,68-68,,
4:30.0,,,68-70,2,K. Faried makes 2-pt shot from 3 ft (assist by G. Harris)
4:30.0,,,68-70,,Shooting foul by K. Caldwell-Pope (drawn by K. Faried)
4:30.0,J. Hart enters the game for K. Caldwell-Pope,,68-70,,
4:30.0,J. Randle enters the game for B. Ingram,,68-70,,
4:30.0,J. Clarkson enters the game for B. Lopez,,68-70,,
4:30.0,,,68-70,,T. Lyles enters the game for M. Plumlee
4:30.0,,,68-70,,K. Faried misses free throw 1 of 1
4:28.0,Defensive rebound by J. Randle,,68-70,,
4:20.0,Turnover by L. Ball (bad pass; steal by J. Murray),,68-70,,
4:12.0,,,68-72,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Murray)
3:50.0,J. Hart makes 3-pt shot from 24 ft (assist by J. Clarkson),3,71-72,,
3:36.0,,,71-72,,G. Harris misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by J. Hart,,71-72,,
3:27.0,L. Ball misses 3-pt shot from 25 ft,,71-72,,
3:23.0,,,71-72,,Defensive rebound by K. Faried
3:10.0,,,71-72,,Turnover by K. Faried (turnover)
3:10.0,,,71-72,,W. Barton enters the game for J. Hernangomez
3:10.0,K. Kuzma enters the game for L. Nance,,71-72,,
2:50.0,J. Randle makes 3-pt shot from 25 ft (assist by L. Ball),3,74-72,,
2:37.0,,,74-74,2,K. Faried makes 2-pt shot from 1 ft (assist by J. Murray)
2:13.0,,,74-74,,Personal block foul by K. Faried (drawn by J. Randle)
2:13.0,,,74-74,,R. Jefferson enters the game for G. Harris
2:04.0,J. Clarkson misses 3-pt shot from 26 ft,,74-74,,
2:01.0,,,74-74,,Defensive rebound by J. Murray
1:44.0,,,74-76,2,J. Murray makes 2-pt shot from 13 ft
1:39.0,,,74-76,,Personal foul by J. Murray (drawn by L. Ball)
1:32.0,J. Clarkson misses 3-pt shot from 23 ft,,74-76,,
1:29.0,Offensive rebound by L. Ball,,74-76,,
1:23.0,K. Kuzma misses 2-pt shot from 1 ft,,74-76,,
1:19.0,Offensive rebound by K. Kuzma,,74-76,,
1:18.0,K. Kuzma makes 2-pt shot from 1 ft,2,76-76,,
1:01.0,,,76-78,2,T. Lyles makes 2-pt shot from 4 ft (assist by J. Murray)
0:51.0,J. Clarkson makes 2-pt shot from 2 ft,2,78-78,,
0:40.0,Personal foul by J. Randle (drawn by T. Lyles),,78-78,,
0:32.0,,,78-78,,J. Murray misses 2-pt shot from 19 ft
0:29.0,Defensive rebound by L. Ball,,78-78,,
0:24.0,J. Clarkson makes 2-pt shot from 2 ft,2,80-78,,
0:03.0,,,80-78,,J. Murray misses 2-pt shot from 1 ft
0:03.0,,,80-78,,Offensive rebound by J. Murray
0:03.0,,,80-78,,J. Murray misses 2-pt shot from 1 ft
0:03.0,Defensive rebound by K. Kuzma,,80-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,J. Randle misses 3-pt shot from 26 ft,,80-78,,
11:45.0,,,80-78,,Defensive rebound by J. Hernangomez
11:26.0,,,80-78,,R. Jefferson misses 2-pt shot from 16 ft
11:23.0,,,80-78,,Offensive rebound by T. Lyles
11:22.0,,,80-78,,T. Lyles misses 2-pt shot from 3 ft
11:22.0,,,80-78,,Offensive rebound by J. Hernangomez
11:17.0,,,80-80,2,J. Hernangomez makes 2-pt shot at rim
11:13.0,,,80-80,,Shooting block foul by R. Jefferson (drawn by J. Randle)
11:13.0,J. Randle makes free throw 1 of 2,1,81-80,,
11:13.0,J. Randle misses free throw 2 of 2,,81-80,,
11:10.0,,,81-80,,Defensive rebound by R. Jefferson
10:56.0,,,81-80,,E. Mudiay misses 2-pt shot from 9 ft
10:55.0,,,81-80,,Offensive rebound by E. Mudiay
10:53.0,,,81-80,,E. Mudiay misses 2-pt shot from 1 ft
10:53.0,Defensive rebound by Team,,81-80,,
10:35.0,C. Brewer misses 2-pt shot from 3 ft,,81-80,,
10:33.0,Offensive rebound by K. Kuzma,,81-80,,
10:32.0,K. Kuzma misses 2-pt shot from 1 ft,,81-80,,
10:32.0,,,81-80,,Defensive rebound by W. Barton
10:21.0,,,81-80,,W. Barton misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by J. Randle,,81-80,,
10:09.0,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle),3,84-80,,
9:48.0,,,84-82,2,T. Lyles makes 2-pt shot from 1 ft (assist by W. Barton)
9:37.0,Shooting foul by J. Hernangomez (drawn by K. Kuzma),,84-82,,
9:37.0,K. Kuzma makes free throw 1 of 2,1,85-82,,
9:37.0,K. Kuzma makes free throw 2 of 2,1,86-82,,
9:21.0,,,86-84,2,E. Mudiay makes 2-pt shot from 1 ft (assist by R. Jefferson)
9:09.0,J. Clarkson misses 2-pt shot from 3 ft,,86-84,,
9:07.0,Offensive rebound by J. Clarkson,,86-84,,
9:06.0,J. Hart makes 3-pt shot from 25 ft (assist by K. Kuzma),3,89-84,,
8:43.0,,,89-84,,Offensive charge foul by W. Barton (drawn by C. Brewer)
8:43.0,,,89-84,,Turnover by W. Barton (offensive foul)
8:35.0,Shooting foul by T. Lyles (drawn by J. Randle),,89-84,,
8:35.0,J. Randle makes free throw 1 of 2,1,90-84,,
8:35.0,J. Randle makes free throw 2 of 2,1,91-84,,
8:16.0,,,91-87,3,E. Mudiay makes 3-pt shot from 23 ft (assist by R. Jefferson)
8:02.0,,,91-87,,Denver full timeout
8:02.0,,,91-87,,M. Plumlee enters the game for R. Jefferson
8:02.0,,,91-87,,G. Harris enters the game for J. Hernangomez
8:01.0,K. Kuzma makes 2-pt shot from 2 ft (assist by J. Randle),2,93-87,,
7:44.0,,,93-90,3,W. Barton makes 3-pt shot from 25 ft (assist by M. Plumlee)
7:27.0,K. Kuzma makes 2-pt shot from 3 ft,2,95-90,,
7:20.0,Jump ball: T. Lyles vs. C. Brewer (M. Plumlee gains possession),,,,Jump ball: T. Lyles vs. C. Brewer (M. Plumlee gains possession)
7:16.0,,,95-90,,W. Barton misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by K. Kuzma,,95-90,,
7:05.0,Turnover by K. Kuzma (traveling),,95-90,,
7:05.0,B. Ingram enters the game for C. Brewer,,95-90,,
6:50.0,,,95-92,2,M. Plumlee makes 2-pt shot from 1 ft
6:32.0,K. Kuzma misses 3-pt shot from 25 ft,,95-92,,
6:28.0,,,95-92,,Defensive rebound by W. Barton
6:21.0,,,95-92,,E. Mudiay misses 2-pt shot from 2 ft
6:19.0,Defensive rebound by K. Kuzma,,95-92,,
6:13.0,,,95-92,,Personal block foul by M. Plumlee (drawn by J. Randle)
6:08.0,B. Ingram misses 2-pt shot from 11 ft,,95-92,,
6:05.0,,,95-92,,Defensive rebound by Team
5:55.0,Shooting block foul by K. Kuzma (drawn by T. Lyles),,95-92,,
5:55.0,,,95-93,1,T. Lyles makes free throw 2 of 2
5:55.0,,,95-94,1,T. Lyles makes free throw 1 of 2
5:41.0,K. Kuzma makes 3-pt shot from 23 ft (assist by J. Randle),3,98-94,,
5:19.0,,,98-96,2,M. Plumlee makes 2-pt shot from 4 ft
