time,Dallas,pts.away,score,pts.home,Cleveland
4:27.0,Defensive rebound by A. Harrison,,15-14,,
4:17.0,D. Smith misses 2-pt shot from 13 ft,,15-14,,
4:15.0,,,15-14,,Defensive rebound by L. James
4:12.0,,,15-14,,Turnover by J. Clarkson (step out of bounds)
4:01.0,H. Barnes makes 2-pt shot from 12 ft,2,17-14,,
4:01.0,Shooting foul by L. Nance (drawn by H. Barnes),,17-14,,
4:01.0,H. Barnes makes free throw 1 of 1,1,18-14,,
3:41.0,,,18-14,,L. James misses 2-pt shot from 22 ft
3:38.0,Defensive rebound by D. Smith,,18-14,,
3:24.0,A. Harrison misses 2-pt shot from 21 ft,,18-14,,
3:21.0,,,18-14,,Defensive rebound by L. James
3:14.0,,,18-14,,J. Clarkson misses 3-pt shot from 22 ft
3:11.0,Defensive rebound by N. Noel,,18-14,,
2:58.0,D. Smith misses 2-pt shot from 1 ft,,18-14,,
2:55.0,,,18-14,,Defensive rebound by R. Hood
2:49.0,,,18-14,,Turnover by R. Hood (bad pass; steal by M. Kleber)
2:45.0,Turnover by D. Smith (bad pass; steal by J. Clarkson),,18-14,,
2:43.0,Violation by A. Harrison (kicked ball),,18-14,,
2:43.0,Dallas full timeout,,18-14,,
2:43.0,,,18-14,,J. Smith enters the game for R. Hood
2:43.0,,,18-14,,T. Thompson enters the game for L. Nance
2:28.0,,,18-14,,Turnover by J. Green (traveling)
2:16.0,H. Barnes misses 3-pt shot from 25 ft,,18-14,,
2:12.0,,,18-14,,Defensive rebound by J. Green
2:07.0,,,18-14,,L. James misses 2-pt shot from 7 ft
2:04.0,Defensive rebound by M. Kleber,,18-14,,
2:00.0,H. Barnes makes 2-pt shot from 2 ft (assist by D. Smith),2,20-14,,
1:34.0,,,20-16,2,L. James makes 2-pt shot from 1 ft
1:18.0,D. Smith makes 2-pt shot from 17 ft,2,22-16,,
1:04.0,,,22-16,,Shooting foul by D. Smith (drawn by J. Clarkson)
1:04.0,,,22-17,1,J. Clarkson makes free throw 1 of 2
1:04.0,D. McDermott enters the game for D. Smith,,22-17,,
1:04.0,D. Nowitzki enters the game for H. Barnes,,22-17,,
1:04.0,Y. Ferrell enters the game for N. Noel,,22-17,,
1:04.0,,,22-18,1,J. Clarkson makes free throw 2 of 2
0:43.0,M. Kleber misses 2-pt shot from 2 ft,,22-18,,
0:37.0,,,22-18,,Defensive rebound by T. Thompson
0:34.0,,,22-18,,L. James misses 2-pt shot from 2 ft
0:30.0,Defensive rebound by D. Nowitzki,,22-18,,
0:27.0,D. Nowitzki misses 3-pt shot from 25 ft,,22-18,,
0:23.0,,,22-18,,Defensive rebound by T. Thompson
0:04.0,,,22-18,,Turnover by L. James (lost ball; steal by A. Harrison)
0:00.0,Y. Ferrell makes 3-pt shot from 27 ft,3,25-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,25-18,,J. Clarkson misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by A. Harrison,,25-18,,
11:30.0,D. McDermott makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,27-18,,
11:12.0,,,27-20,2,J. Smith makes 2-pt shot from 16 ft
10:47.0,A. Harrison misses 3-pt shot from 26 ft,,27-20,,
10:44.0,,,27-20,,Defensive rebound by K. Love
10:41.0,,,27-20,,Offensive foul by T. Thompson (drawn by A. Harrison)
10:41.0,,,27-20,,Turnover by T. Thompson (offensive foul)
10:34.0,,,27-20,,Personal foul by J. Smith (drawn by M. Kleber)
10:26.0,D. McDermott misses 2-pt shot from 13 ft,,27-20,,
10:24.0,,,27-20,,Defensive rebound by K. Love
10:13.0,,,27-20,,K. Love misses 2-pt shot from 20 ft
10:06.0,,,27-20,,Offensive rebound by J. Green
10:06.0,,,27-22,2,J. Green makes 2-pt shot at rim
9:58.0,Y. Ferrell makes 3-pt shot from 26 ft,3,30-22,,
9:40.0,,,30-22,,Shooting foul by D. McDermott (drawn by K. Love)
9:40.0,,,30-23,1,K. Love makes free throw 1 of 2
9:40.0,,,30-24,1,K. Love makes free throw 2 of 2
9:23.0,A. Harrison makes 2-pt shot from 15 ft,2,32-24,,
9:02.0,,,32-26,2,J. Green makes 2-pt shot from 1 ft
8:51.0,Y. Ferrell misses 2-pt shot from 14 ft,,32-26,,
8:50.0,,,32-26,,Defensive rebound by J. Clarkson
8:50.0,Personal foul by D. Nowitzki (drawn by J. Clarkson),,32-26,,
8:43.0,,,32-28,2,J. Clarkson makes 2-pt shot from 10 ft (assist by T. Thompson)
8:24.0,Y. Ferrell misses 2-pt shot from 2 ft,,32-28,,
8:21.0,,,32-28,,Defensive rebound by K. Love
8:12.0,,,32-28,,T. Thompson misses 2-pt shot from 9 ft
8:10.0,Defensive rebound by D. Nowitzki,,32-28,,
8:05.0,A. Harrison misses 2-pt shot from 16 ft,,32-28,,
8:02.0,,,32-28,,Defensive rebound by K. Love
7:51.0,,,32-28,,K. Love misses 2-pt shot from 17 ft
7:49.0,,,32-28,,Offensive rebound by T. Thompson
7:47.0,,,32-28,,T. Thompson misses 2-pt shot at rim
7:45.0,Defensive rebound by D. McDermott,,32-28,,
7:40.0,Y. Ferrell makes 2-pt shot from 19 ft,2,34-28,,
7:29.0,,,34-28,,Cleveland full timeout
7:29.0,,,34-28,,R. Hood enters the game for J. Clarkson
7:29.0,,,34-28,,L. James enters the game for J. Green
7:29.0,,,34-28,,J. Calderon enters the game for T. Thompson
7:29.0,H. Barnes enters the game for D. Nowitzki,,34-28,,
7:14.0,,,34-31,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
6:58.0,M. Kleber makes 2-pt shot at rim (assist by H. Barnes),2,36-31,,
6:48.0,,,36-34,3,J. Smith makes 3-pt shot from 23 ft (assist by R. Hood)
6:25.0,H. Barnes misses 2-pt shot at rim,,36-34,,
6:23.0,,,36-34,,Defensive rebound by L. James
6:16.0,,,36-34,,J. Smith misses 3-pt shot from 23 ft
6:13.0,Defensive rebound by A. Harrison,,36-34,,
6:11.0,Y. Ferrell misses 3-pt shot from 25 ft,,36-34,,
6:07.0,,,36-34,,Defensive rebound by K. Love
6:05.0,,,36-34,,Turnover by K. Love (bad pass; steal by Y. Ferrell)
5:56.0,D. McDermott makes 3-pt shot from 22 ft (assist by H. Barnes),3,39-34,,
5:47.0,Personal foul by D. McDermott (drawn by J. Smith),,39-34,,
5:47.0,D. Smith enters the game for A. Harrison,,39-34,,
5:47.0,D. Finney-Smith enters the game for Y. Ferrell,,39-34,,
5:41.0,,,39-34,,K. Love misses 2-pt shot from 2 ft
5:41.0,Defensive rebound by M. Kleber,,39-34,,
5:29.0,D. McDermott makes 2-pt shot from 14 ft,2,41-34,,
5:05.0,,,41-34,,R. Hood misses 2-pt shot from 10 ft
5:03.0,,,41-34,,Offensive rebound by K. Love
5:01.0,,,41-34,,J. Smith misses 3-pt shot from 27 ft
4:58.0,Defensive rebound by Team,,41-34,,
4:58.0,,,41-34,,L. Nance enters the game for J. Smith
4:48.0,H. Barnes misses 2-pt shot from 5 ft,,41-34,,
4:45.0,,,41-34,,Defensive rebound by K. Love
4:44.0,,,41-34,,Shooting foul by M. Kleber (drawn by L. James)
4:44.0,,,41-35,1,L. James makes free throw 1 of 2
4:44.0,D. Nowitzki enters the game for D. McDermott,,41-35,,
4:44.0,D. Powell enters the game for M. Kleber,,41-35,,
4:44.0,,,41-36,1,L. James makes free throw 2 of 2
4:31.0,Shooting foul by L. James (drawn by H. Barnes),,41-36,,
4:31.0,H. Barnes makes free throw 1 of 2,1,42-36,,
4:31.0,H. Barnes makes free throw 2 of 2,1,43-36,,
4:10.0,,,43-36,,K. Love misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by Team,,43-36,,
4:07.0,,,43-36,,Loose ball foul by L. Nance (drawn by D. Finney-Smith)
3:48.0,D. Finney-Smith misses 3-pt shot from 23 ft (block by K. Love),,43-36,,
3:48.0,,,43-36,,Defensive rebound by J. Calderon
3:38.0,,,43-36,,L. James misses 2-pt shot at rim
3:34.0,Defensive rebound by H. Barnes,,43-36,,
3:24.0,D. Nowitzki misses 2-pt shot from 12 ft,,43-36,,
3:21.0,,,43-36,,Defensive rebound by L. Nance
3:11.0,,,43-36,,J. Calderon misses 3-pt shot from 26 ft
3:10.0,Defensive rebound by Team,,43-36,,
2:53.0,H. Barnes misses 2-pt shot from 9 ft,,43-36,,
2:49.0,,,43-36,,Defensive rebound by L. Nance
2:44.0,,,43-38,2,R. Hood makes 2-pt shot from 6 ft (assist by L. James)
2:21.0,D. Finney-Smith misses 3-pt shot from 24 ft,,43-38,,
2:18.0,,,43-38,,Defensive rebound by L. Nance
2:11.0,,,43-40,2,L. Nance makes 2-pt shot at rim (assist by L. James)
2:11.0,,,43-40,,Shooting foul by D. Powell (drawn by L. Nance)
2:11.0,Dallas full timeout,,43-40,,
2:11.0,,,43-41,1,L. Nance makes free throw 1 of 1
2:01.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by H. Barnes),2,45-41,,
1:45.0,,,45-44,3,R. Hood makes 3-pt shot from 23 ft (assist by L. James)
1:20.0,Turnover by H. Barnes (bad pass; steal by R. Hood),,45-44,,
1:14.0,,,45-46,2,R. Hood makes 2-pt shot at rim
1:02.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by D. Smith),2,47-46,,
0:42.0,,,47-46,,K. Love misses 2-pt shot from 13 ft
0:40.0,,,47-46,,Offensive rebound by L. Nance
0:30.0,,,47-46,,C. Osman enters the game for L. Nance
0:21.0,,,47-48,2,C. Osman makes 2-pt shot from 19 ft (assist by L. James)
0:07.0,,,47-48,,Personal foul by J. Calderon (drawn by D. Smith)
0:07.0,,,47-48,,J. Green enters the game for J. Calderon
0:07.0,,,47-48,,J. Smith enters the game for K. Love
0:07.0,D. McDermott enters the game for D. Powell,,47-48,,
0:00.0,D. Smith misses 3-pt shot from 27 ft,,47-48,,
0:00.0,Offensive rebound by Team,,47-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,47-48,,R. Hood misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by D. Nowitzki,,47-48,,
11:19.0,H. Barnes misses 3-pt shot from 27 ft,,47-48,,
11:16.0,,,47-48,,Defensive rebound by L. James
11:10.0,,,47-48,,L. James misses 2-pt shot from 2 ft
11:06.0,Defensive rebound by D. Powell,,47-48,,
11:03.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Smith),3,50-48,,
10:43.0,,,50-50,2,L. Nance makes 2-pt shot from 19 ft (assist by L. James)
10:30.0,D. Smith misses 2-pt shot from 1 ft,,50-50,,
10:30.0,,,50-50,,Defensive rebound by K. Love
10:30.0,Personal foul by D. Finney-Smith (drawn by K. Love),,50-50,,
10:08.0,,,50-50,,J. Calderon misses 3-pt shot from 24 ft
10:06.0,,,50-50,,Offensive rebound by L. Nance
10:06.0,,,50-50,,Turnover by L. Nance (step out of bounds)
9:52.0,D. Powell makes 3-pt shot from 27 ft (assist by D. Smith),3,53-50,,
9:26.0,,,53-53,3,J. Calderon makes 3-pt shot from 25 ft (assist by R. Hood)
9:11.0,D. Finney-Smith misses 3-pt shot from 29 ft,,53-53,,
9:08.0,,,53-53,,Defensive rebound by K. Love
9:00.0,Personal foul by D. Powell (drawn by L. James),,53-53,,
9:00.0,,,53-53,,T. Thompson enters the game for L. Nance
8:49.0,Personal foul by D. Smith (drawn by R. Hood),,53-53,,
8:41.0,,,53-55,2,L. James makes 2-pt shot at rim (assist by J. Calderon)
8:21.0,Shooting foul by J. Calderon (drawn by H. Barnes),,53-55,,
8:21.0,H. Barnes makes free throw 1 of 2,1,54-55,,
8:21.0,H. Barnes makes free throw 2 of 2,1,55-55,,
7:59.0,,,55-55,,T. Thompson misses 2-pt shot from 5 ft
7:57.0,Defensive rebound by D. Nowitzki,,55-55,,
7:45.0,H. Barnes makes 3-pt shot from 26 ft,3,58-55,,
7:30.0,,,58-55,,L. James misses 2-pt shot from 13 ft
7:28.0,Defensive rebound by H. Barnes,,58-55,,
7:19.0,D. Nowitzki misses 3-pt shot from 30 ft,,58-55,,
7:15.0,Offensive rebound by D. Smith,,58-55,,
7:12.0,Turnover by D. Smith (bad pass),,58-55,,
6:57.0,,,58-57,2,J. Calderon makes 2-pt shot from 20 ft (assist by L. James)
6:43.0,,,58-57,,Personal foul by J. Calderon (drawn by D. Smith)
6:43.0,,,58-57,,Cleveland full timeout
6:43.0,M. Kleber enters the game for D. Powell,,58-57,,
6:43.0,N. Noel enters the game for D. Nowitzki,,58-57,,
6:33.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith),3,61-57,,
6:16.0,,,61-57,,Turnover by J. Calderon (bad pass; steal by D. Finney-Smith)
5:53.0,D. Smith makes 2-pt shot from 8 ft,2,63-57,,
5:40.0,,,63-60,3,J. Calderon makes 3-pt shot from 25 ft (assist by L. James)
5:19.0,D. Smith misses 2-pt shot from 21 ft,,63-60,,
5:16.0,,,63-60,,Defensive rebound by L. James
5:07.0,,,63-60,,R. Hood misses 2-pt shot from 1 ft
5:05.0,Defensive rebound by D. Finney-Smith,,63-60,,
4:59.0,D. Finney-Smith makes 3-pt shot from 23 ft (assist by D. Smith),3,66-60,,
4:44.0,,,66-60,,K. Love misses 2-pt shot from 8 ft
4:42.0,Defensive rebound by N. Noel,,66-60,,
4:32.0,D. Smith misses 2-pt shot from 7 ft,,66-60,,
4:27.0,Offensive rebound by D. Finney-Smith,,66-60,,
4:27.0,D. Finney-Smith makes 2-pt shot at rim,2,68-60,,
4:21.0,,,68-60,,Cleveland full timeout
4:21.0,,,68-60,,J. Smith enters the game for K. Love
4:21.0,,,68-60,,J. Clarkson enters the game for R. Hood
4:21.0,,,68-60,,C. Osman enters the game for T. Thompson
4:21.0,,,68-60,,J. Green enters the game for J. Calderon
4:13.0,,,68-62,2,J. Clarkson makes 2-pt shot from 1 ft
4:13.0,Violation by D. Finney-Smith (def goaltending),,68-62,,
3:54.0,M. Kleber misses 3-pt shot from 26 ft,,68-62,,
3:54.0,Offensive rebound by N. Noel,,68-62,,
3:54.0,Turnover by N. Noel (bad pass; steal by C. Osman),,68-62,,
3:54.0,,,68-62,,Shooting foul by D. Smith (drawn by C. Osman)
3:54.0,,,68-62,,C. Osman misses free throw 1 of 2
3:54.0,,,68-62,,Offensive rebound by Team
3:54.0,,,68-63,1,C. Osman makes free throw 2 of 2
3:39.0,D. Smith makes 3-pt shot from 29 ft (assist by N. Noel),3,71-63,,
3:18.0,,,71-66,3,J. Smith makes 3-pt shot from 22 ft (assist by L. James)
3:03.0,Turnover by D. Smith (lost ball; steal by J. Clarkson),,71-66,,
2:57.0,,,71-66,,C. Osman misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by D. Smith,,71-66,,
2:39.0,H. Barnes misses 2-pt shot at rim,,71-66,,
2:36.0,,,71-66,,Defensive rebound by J. Green
2:36.0,Violation by D. Smith (kicked ball),,71-66,,
2:25.0,,,71-66,,J. Green misses 2-pt shot from 1 ft (block by N. Noel)
2:25.0,,,71-66,,Offensive rebound by Team
2:12.0,,,71-66,,J. Clarkson misses 2-pt shot from 10 ft
2:10.0,Defensive rebound by N. Noel,,71-66,,
1:59.0,D. Smith misses 3-pt shot from 30 ft,,71-66,,
1:54.0,,,71-66,,Defensive rebound by J. Smith
1:51.0,,,71-69,3,C. Osman makes 3-pt shot from 24 ft (assist by J. Smith)
1:49.0,Dallas full timeout,,71-69,,
1:49.0,Y. Ferrell enters the game for D. Smith,,71-69,,
1:32.0,H. Barnes makes 3-pt shot from 29 ft,3,74-69,,
1:21.0,,,74-69,,Shooting foul by M. Kleber (drawn by J. Clarkson)
1:21.0,,,74-70,1,J. Clarkson makes free throw 1 of 2
1:21.0,,,74-71,1,J. Clarkson makes free throw 2 of 2
1:04.0,H. Barnes misses 3-pt shot from 25 ft,,74-71,,
1:03.0,,,74-71,,Defensive rebound by Team
0:53.0,,,74-71,,L. James misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by Y. Ferrell,,74-71,,
0:48.0,,,74-71,,T. Thompson enters the game for L. James
0:33.0,H. Barnes makes 3-pt shot from 25 ft,3,77-71,,
0:07.0,,,77-71,,J. Green misses 2-pt shot from 16 ft
0:06.0,,,77-71,,Offensive rebound by Team
0:04.0,,,77-73,2,J. Smith makes 2-pt shot from 20 ft (assist by C. Osman)
0:00.0,Y. Ferrell misses 2-pt shot from 1 ft,,77-73,,
0:00.0,Offensive rebound by Team,,77-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,Turnover by M. Kleber (lost ball; steal by J. Clarkson),,77-73,,
11:29.0,,,77-75,2,J. Clarkson makes 2-pt shot from 14 ft
11:09.0,Shooting foul by C. Osman (drawn by A. Harrison),,77-75,,
11:09.0,A. Harrison makes free throw 1 of 2,1,78-75,,
11:09.0,A. Harrison makes free throw 2 of 2,1,79-75,,
10:55.0,,,79-75,,Turnover by J. Smith (lost ball; steal by N. Noel)
10:40.0,N. Noel misses 2-pt shot from 11 ft,,79-75,,
10:37.0,,,79-75,,Defensive rebound by T. Thompson
10:27.0,,,79-75,,Shooting foul by N. Noel (drawn by T. Thompson)
10:27.0,,,79-76,1,T. Thompson makes free throw 1 of 2
10:27.0,,,79-76,,K. Love enters the game for C. Osman
10:27.0,,,79-77,1,T. Thompson makes free throw 2 of 2
10:13.0,D. McDermott makes 2-pt shot from 5 ft (assist by N. Noel),2,81-77,,
10:02.0,,,81-79,2,J. Smith makes 2-pt shot from 15 ft
9:53.0,Offensive foul by N. Noel (drawn by J. Green),,81-79,,
9:53.0,Turnover by N. Noel (offensive foul),,81-79,,
9:36.0,,,81-79,,J. Smith misses 2-pt shot from 18 ft
9:34.0,Defensive rebound by N. Noel,,81-79,,
9:15.0,D. McDermott misses 2-pt shot from 17 ft,,81-79,,
9:11.0,,,81-79,,Defensive rebound by T. Thompson
9:03.0,,,81-79,,Shooting foul by M. Kleber (drawn by J. Clarkson)
9:03.0,,,81-80,1,J. Clarkson makes free throw 1 of 2
9:03.0,,,81-80,,J. Clarkson misses free throw 2 of 2
9:01.0,Defensive rebound by N. Noel,,81-80,,
8:50.0,Y. Ferrell misses 3-pt shot from 25 ft,,81-80,,
8:47.0,,,81-80,,Defensive rebound by K. Love
8:37.0,,,81-82,2,J. Clarkson makes 2-pt shot from 10 ft
8:37.0,,,81-82,,Shooting foul by Y. Ferrell (drawn by J. Clarkson)
8:37.0,,,81-82,,L. James enters the game for J. Green
8:37.0,,,81-83,1,J. Clarkson makes free throw 1 of 1
8:22.0,A. Harrison misses 3-pt shot from 26 ft,,81-83,,
8:18.0,Offensive rebound by N. Noel,,81-83,,
8:17.0,Turnover by N. Noel (bad pass),,81-83,,
7:59.0,,,81-83,,Shooting foul by A. Harrison (drawn by L. James)
7:59.0,,,81-84,1,L. James makes free throw 1 of 2
7:59.0,,,81-85,1,L. James makes free throw 2 of 2
7:44.0,Turnover by D. McDermott (traveling),,81-85,,
7:44.0,Dallas full timeout,,81-85,,
7:44.0,D. Finney-Smith enters the game for A. Harrison,,81-85,,
7:30.0,,,81-85,,J. Smith misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by Team,,81-85,,
7:16.0,D. Finney-Smith misses 2-pt shot from 1 ft,,81-85,,
7:16.0,Offensive rebound by Team,,81-85,,
7:14.0,Y. Ferrell misses 2-pt shot from 1 ft,,81-85,,
7:11.0,,,81-85,,Defensive rebound by J. Smith
7:05.0,,,81-85,,T. Thompson misses 2-pt shot from 2 ft
7:05.0,Defensive rebound by Team,,81-85,,
6:49.0,D. McDermott misses 3-pt shot from 25 ft,,81-85,,
6:45.0,,,81-85,,Defensive rebound by K. Love
6:39.0,,,81-85,,L. James misses 2-pt shot from 11 ft
6:36.0,Defensive rebound by M. Kleber,,81-85,,
6:29.0,N. Noel misses 2-pt shot from 2 ft,,81-85,,
6:26.0,,,81-85,,Defensive rebound by T. Thompson
6:20.0,,,81-85,,L. James misses 2-pt shot from 2 ft
6:13.0,,,81-85,,Offensive rebound by L. James
6:13.0,,,81-85,,L. James misses 2-pt shot at rim
6:11.0,,,81-85,,Offensive rebound by T. Thompson
6:11.0,,,81-87,2,T. Thompson makes 2-pt shot at rim
6:04.0,Y. Ferrell misses 3-pt shot from 27 ft,,81-87,,
6:00.0,,,81-87,,Defensive rebound by K. Love
5:48.0,,,81-90,3,L. James makes 3-pt shot from 23 ft
5:47.0,Dallas full timeout,,81-90,,
5:47.0,,,81-90,,L. Nance enters the game for T. Thompson
5:47.0,D. Smith enters the game for N. Noel,,81-90,,
5:47.0,D. Powell enters the game for Y. Ferrell,,81-90,,
5:47.0,H. Barnes enters the game for M. Kleber,,81-90,,
5:30.0,Turnover by D. Smith (bad pass),,81-90,,
5:21.0,,,81-90,,K. Love misses 2-pt shot from 6 ft
5:18.0,Defensive rebound by D. Powell,,81-90,,
5:05.0,H. Barnes makes 2-pt shot from 1 ft,2,83-90,,
4:50.0,,,83-90,,K. Love misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by D. Finney-Smith,,83-90,,
4:40.0,H. Barnes misses 3-pt shot from 24 ft,,83-90,,
4:37.0,,,83-90,,Defensive rebound by L. James
4:21.0,,,83-93,3,L. James makes 3-pt shot from 27 ft
4:09.0,,,83-93,,Personal foul by J. Clarkson (drawn by D. Powell)
3:52.0,D. Smith misses 2-pt shot from 1 ft,,83-93,,
3:50.0,,,83-93,,Defensive rebound by L. James
3:31.0,,,83-96,3,K. Love makes 3-pt shot from 25 ft (assist by J. Clarkson)
3:06.0,H. Barnes makes 2-pt shot from 3 ft,2,85-96,,
2:39.0,,,85-96,,J. Smith misses 2-pt shot from 18 ft
2:32.0,,,85-96,,Offensive rebound by J. Smith
2:32.0,,,85-96,,Cleveland full timeout
2:32.0,Y. Ferrell enters the game for D. Finney-Smith,,85-96,,
2:17.0,,,85-96,,L. James misses 2-pt shot from 2 ft
2:13.0,Defensive rebound by D. McDermott,,85-96,,
2:01.0,D. Smith misses 2-pt shot from 20 ft,,85-96,,
1:56.0,,,85-96,,Defensive rebound by L. James
1:54.0,,,85-96,,Turnover by L. James (traveling)
1:39.0,Y. Ferrell misses 3-pt shot from 25 ft,,85-96,,
1:35.0,,,85-96,,Defensive rebound by J. Smith
1:14.0,,,85-96,,L. James misses 2-pt shot from 1 ft
1:12.0,,,85-96,,Offensive rebound by L. James
1:11.0,,,85-96,,L. James misses 2-pt shot from 1 ft (block by D. Powell)
1:11.0,Defensive rebound by Y. Ferrell,,85-96,,
1:02.0,Offensive foul by D. Powell (drawn by K. Love),,85-96,,
1:02.0,Turnover by D. Powell (offensive foul),,85-96,,
0:45.0,,,85-98,2,J. Clarkson makes 2-pt shot from 20 ft
0:45.0,Dallas full timeout,,85-98,,
0:45.0,,,85-98,,L. Perrantes enters the game for K. Love
0:45.0,,,85-98,,C. Osman enters the game for J. Clarkson
0:45.0,,,85-98,,T. Thompson enters the game for L. Nance
0:45.0,,,85-98,,A. Zizic enters the game for L. James
0:38.0,Shooting foul by A. Zizic (drawn by D. Powell),,85-98,,
