time,Denver,pts.away,score,pts.home,Miami
3:15.0,W. Chandler makes 2-pt shot from 1 ft,2,28-26,,
2:58.0,,,28-26,,T. Johnson misses 2-pt shot from 2 ft
2:58.0,Defensive rebound by Team,,28-26,,
2:58.0,,,28-26,,J. Richardson enters the game for G. Dragic
2:58.0,N. Jokic enters the game for P. Millsap,,28-26,,
2:58.0,J. Murray enters the game for W. Barton,,28-26,,
2:47.0,N. Jokic makes 2-pt shot from 5 ft (assist by D. Harris),2,30-26,,
2:34.0,,,30-26,,J. Johnson misses 2-pt shot from 20 ft
2:30.0,Defensive rebound by J. Murray,,30-26,,
2:21.0,Turnover by W. Chandler (lost ball; steal by J. Winslow),,30-26,,
2:18.0,,,30-26,,Shooting foul by W. Chandler (drawn by J. Richardson)
2:18.0,,,30-27,1,J. Richardson makes free throw 1 of 2
2:18.0,,,30-27,,B. Adebayo enters the game for T. Johnson
2:18.0,,,30-27,,W. Ellington enters the game for J. Johnson
2:18.0,,,30-28,1,J. Richardson makes free throw 2 of 2
2:18.0,T. Craig enters the game for W. Chandler,,30-28,,
2:08.0,D. Harris makes 3-pt shot from 25 ft,3,33-28,,
1:40.0,,,33-30,2,J. Winslow makes 2-pt shot from 17 ft
1:33.0,Shooting foul by K. Olynyk (drawn by D. Harris),,33-30,,
1:33.0,D. Harris makes free throw 1 of 2,1,34-30,,
1:33.0,D. Harris makes free throw 2 of 2,1,35-30,,
1:26.0,,,35-32,2,J. Richardson makes 2-pt shot from 1 ft
1:26.0,,,35-32,,Shooting foul by J. Murray (drawn by J. Richardson)
1:26.0,,,35-33,1,J. Richardson makes free throw 1 of 1
1:19.0,T. Craig misses 2-pt shot from 1 ft (block by K. Olynyk),,35-33,,
1:15.0,,,35-33,,Defensive rebound by W. Ellington
1:09.0,Personal foul by J. Murray (drawn by K. Olynyk),,35-33,,
1:09.0,,,35-33,,K. Olynyk misses free throw 1 of 2
1:09.0,,,35-33,,Offensive rebound by Team
1:09.0,,,35-34,1,K. Olynyk makes free throw 2 of 2
0:53.0,Turnover by D. Harris (bad pass),,35-34,,
0:53.0,W. Barton enters the game for J. Murray,,35-34,,
0:44.0,,,35-36,2,J. Richardson makes 2-pt shot from 2 ft
0:33.0,Turnover by T. Craig (bad pass),,35-36,,
0:06.0,,,35-36,,J. Winslow misses 3-pt shot from 23 ft
0:04.0,Defensive rebound by N. Jokic,,35-36,,
0:01.0,N. Jokic makes 2-pt shot from 1 ft (assist by W. Barton),2,37-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,37-39,3,W. Ellington makes 3-pt shot from 23 ft (assist by B. Adebayo)
11:20.0,T. Craig makes 3-pt shot from 23 ft (assist by D. Harris),3,40-39,,
11:03.0,,,40-39,,J. Richardson misses 3-pt shot from 24 ft
11:02.0,,,40-39,,Offensive rebound by Team
11:02.0,Personal foul by W. Barton (drawn by K. Olynyk),,40-39,,
10:59.0,Personal foul by W. Barton (drawn by J. Richardson),,40-39,,
10:47.0,,,40-39,,B. Adebayo misses 2-pt shot from 4 ft
10:43.0,Defensive rebound by T. Craig,,40-39,,
10:38.0,W. Barton makes 2-pt shot from 11 ft (assist by D. Harris),2,42-39,,
10:38.0,Shooting foul by J. Winslow (drawn by W. Barton),,42-39,,
10:38.0,W. Barton makes free throw 1 of 1,1,43-39,,
10:21.0,,,43-39,,J. Richardson misses 2-pt shot from 1 ft (block by M. Plumlee)
10:21.0,,,43-39,,Offensive rebound by Team
10:07.0,,,43-39,,W. Ellington misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by M. Plumlee,,43-39,,
9:54.0,W. Barton misses 2-pt shot from 7 ft,,43-39,,
9:51.0,,,43-39,,Defensive rebound by J. Winslow
9:40.0,,,43-39,,K. Olynyk misses 3-pt shot from 26 ft
9:36.0,Defensive rebound by W. Barton,,43-39,,
9:31.0,D. Harris misses 3-pt shot from 25 ft,,43-39,,
9:28.0,Offensive rebound by N. Jokic,,43-39,,
9:25.0,M. Plumlee misses 2-pt shot from 3 ft (block by K. Olynyk),,43-39,,
9:21.0,,,43-39,,Defensive rebound by K. Olynyk
9:17.0,,,43-39,,Shooting foul by T. Craig (drawn by K. Olynyk)
9:17.0,,,43-40,1,K. Olynyk makes free throw 1 of 2
9:17.0,,,43-40,,R. McGruder enters the game for B. Adebayo
9:17.0,,,43-41,1,K. Olynyk makes free throw 2 of 2
9:03.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Harris),2,45-41,,
9:03.0,Shooting foul by J. Winslow (drawn by M. Plumlee),,45-41,,
9:03.0,M. Plumlee misses free throw 1 of 1,,45-41,,
9:03.0,Offensive rebound by T. Craig,,45-41,,
9:01.0,T. Craig misses 2-pt shot from 1 ft (block by K. Olynyk),,45-41,,
9:00.0,,,45-41,,Defensive rebound by K. Olynyk
8:51.0,,,45-43,2,R. McGruder makes 2-pt shot from 2 ft (assist by J. Richardson)
8:27.0,Turnover by N. Jokic (bad pass),,45-43,,
8:27.0,J. Murray enters the game for T. Craig,,45-43,,
8:27.0,P. Millsap enters the game for W. Barton,,45-43,,
8:27.0,W. Chandler enters the game for N. Jokic,,45-43,,
8:07.0,,,45-45,2,J. Winslow makes 2-pt shot from 1 ft
7:56.0,Shooting foul by J. Richardson (drawn by P. Millsap),,45-45,,
7:56.0,P. Millsap makes free throw 1 of 2,1,46-45,,
7:56.0,,,46-45,,J. Johnson enters the game for J. Richardson
7:56.0,P. Millsap makes free throw 2 of 2,1,47-45,,
7:43.0,,,47-48,3,W. Ellington makes 3-pt shot from 25 ft (assist by K. Olynyk)
7:24.0,W. Chandler makes 3-pt shot from 25 ft (assist by D. Harris),3,50-48,,
7:08.0,,,50-48,,J. Winslow misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by Team,,50-48,,
6:52.0,P. Millsap misses 2-pt shot from 8 ft,,50-48,,
6:51.0,,,50-48,,Defensive rebound by Team
6:51.0,,,50-48,,G. Dragic enters the game for J. Winslow
6:51.0,,,50-48,,Miami full timeout
6:34.0,,,50-48,,K. Olynyk misses 2-pt shot from 18 ft
6:32.0,Defensive rebound by P. Millsap,,50-48,,
6:27.0,Shooting foul by G. Dragic (drawn by J. Murray),,50-48,,
6:27.0,J. Murray misses free throw 1 of 2,,50-48,,
6:27.0,Offensive rebound by Team,,50-48,,
6:27.0,N. Jokic enters the game for M. Plumlee,,50-48,,
6:27.0,J. Murray makes free throw 2 of 2,1,51-48,,
6:10.0,,,51-50,2,K. Olynyk makes 2-pt shot from 7 ft
5:56.0,Shooting foul by K. Olynyk (drawn by J. Murray),,51-50,,
5:56.0,J. Murray makes free throw 1 of 2,1,52-50,,
5:56.0,W. Barton enters the game for D. Harris,,52-50,,
5:56.0,J. Murray makes free throw 2 of 2,1,53-50,,
5:35.0,,,53-52,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Johnson)
5:19.0,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray),2,55-52,,
5:08.0,,,55-54,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Johnson)
4:50.0,W. Barton misses 3-pt shot from 25 ft,,55-54,,
4:46.0,,,55-54,,Defensive rebound by J. Johnson
4:42.0,,,55-57,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson)
4:40.0,Denver full timeout,,55-57,,
4:18.0,N. Jokic makes 3-pt shot from 23 ft (assist by J. Murray),3,58-57,,
3:57.0,,,58-57,,J. Johnson misses 3-pt shot from 23 ft
3:53.0,Defensive rebound by W. Chandler,,58-57,,
3:47.0,J. Murray misses 3-pt shot from 24 ft,,58-57,,
3:44.0,,,58-57,,Defensive rebound by J. Johnson
3:39.0,,,58-60,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
3:20.0,J. Murray misses 2-pt shot from 10 ft,,58-60,,
3:18.0,,,58-60,,Defensive rebound by K. Olynyk
2:59.0,,,58-60,,Turnover by W. Ellington (bad pass; steal by W. Barton)
2:45.0,J. Murray misses 2-pt shot from 2 ft,,58-60,,
2:43.0,,,58-60,,Defensive rebound by J. Johnson
2:41.0,,,58-60,,Turnover by J. Johnson (out of bounds lost ball)
2:41.0,,,58-60,,B. Adebayo enters the game for W. Ellington
2:41.0,,,58-60,,T. Johnson enters the game for K. Olynyk
2:41.0,D. Harris enters the game for J. Murray,,58-60,,
2:20.0,W. Chandler makes 3-pt shot from 23 ft,3,61-60,,
1:58.0,Personal foul by D. Harris (drawn by R. McGruder),,61-60,,
1:54.0,,,61-60,,G. Dragic misses 3-pt shot from 26 ft
1:51.0,Defensive rebound by W. Chandler,,61-60,,
1:41.0,Turnover by P. Millsap (bad pass),,61-60,,
1:29.0,,,61-60,,Shooting foul by D. Harris (drawn by B. Adebayo)
1:29.0,,,61-60,,B. Adebayo misses free throw 1 of 2
1:29.0,,,61-60,,Offensive rebound by Team
1:29.0,,,61-60,,B. Adebayo misses free throw 2 of 2
1:27.0,Defensive rebound by N. Jokic,,61-60,,
1:10.0,N. Jokic makes 2-pt shot from 5 ft,2,63-60,,
0:50.0,,,63-60,,G. Dragic misses 2-pt shot from 10 ft (block by P. Millsap)
0:47.0,Defensive rebound by D. Harris,,63-60,,
0:45.0,W. Barton misses 3-pt shot from 23 ft,,63-60,,
0:42.0,,,63-60,,Defensive rebound by T. Johnson
0:27.0,,,63-62,2,G. Dragic makes 2-pt shot from 1 ft
0:07.0,P. Millsap misses 3-pt shot from 25 ft,,63-62,,
0:07.0,,,63-62,,Defensive rebound by Team
0:07.0,,,63-62,,K. Olynyk enters the game for J. Johnson
0:07.0,,,63-62,,W. Ellington enters the game for B. Adebayo
0:07.0,T. Craig enters the game for W. Barton,,63-62,,
0:07.0,M. Beasley enters the game for N. Jokic,,63-62,,
0:00.0,,,63-64,2,G. Dragic makes 2-pt shot from 1 ft
0:00.0,D. Harris misses 3-pt shot from 64 ft,,63-64,,
0:00.0,Offensive rebound by Team,,63-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,63-67,3,J. Richardson makes 3-pt shot from 24 ft (assist by T. Johnson)
11:18.0,W. Barton misses 3-pt shot from 25 ft,,63-67,,
11:15.0,,,63-67,,Defensive rebound by J. Johnson
11:05.0,,,63-67,,T. Johnson misses 2-pt shot from 12 ft
11:05.0,Defensive rebound by Team,,63-67,,
10:47.0,N. Jokic misses 2-pt shot from 10 ft,,63-67,,
10:45.0,,,63-67,,Defensive rebound by B. Adebayo
10:34.0,Personal foul by P. Millsap (drawn by J. Richardson),,63-67,,
10:27.0,,,63-67,,Shooting foul by N. Jokic (drawn by B. Adebayo)
10:27.0,,,63-67,,B. Adebayo misses free throw 1 of 2
10:27.0,,,63-67,,Offensive rebound by Team
10:27.0,,,63-67,,B. Adebayo misses free throw 2 of 2
10:24.0,Defensive rebound by N. Jokic,,63-67,,
10:15.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,65-67,,
9:57.0,,,65-67,,T. Johnson misses 3-pt shot from 22 ft
9:54.0,Defensive rebound by P. Millsap,,65-67,,
9:40.0,J. Murray misses 2-pt shot at rim,,65-67,,
9:37.0,,,65-67,,Defensive rebound by J. Johnson
9:33.0,,,65-69,2,J. Johnson makes 2-pt shot from 1 ft (assist by T. Johnson)
9:25.0,,,65-69,,Personal foul by T. Johnson (drawn by W. Barton)
9:08.0,J. Murray makes 2-pt shot from 18 ft,2,67-69,,
8:57.0,,,67-69,,Turnover by G. Dragic (bad pass; steal by W. Barton)
8:51.0,W. Barton makes 3-pt shot from 25 ft,3,70-69,,
8:40.0,Personal block foul by J. Murray (drawn by G. Dragic),,70-69,,
8:31.0,,,70-69,,G. Dragic misses 2-pt shot from 16 ft
8:28.0,Defensive rebound by W. Barton,,70-69,,
8:17.0,W. Barton misses 2-pt shot from 5 ft (block by T. Johnson),,70-69,,
8:14.0,,,70-69,,Defensive rebound by G. Dragic
8:11.0,,,70-69,,G. Dragic misses 2-pt shot from 1 ft
8:08.0,Defensive rebound by N. Jokic,,70-69,,
8:01.0,Turnover by J. Murray (out of bounds lost ball),,70-69,,
7:48.0,,,70-72,3,J. Johnson makes 3-pt shot from 23 ft (assist by T. Johnson)
7:37.0,J. Murray misses 3-pt shot from 25 ft,,70-72,,
7:35.0,,,70-72,,Defensive rebound by T. Johnson
7:15.0,,,70-72,,B. Adebayo misses 2-pt shot from 1 ft (block by W. Chandler)
7:15.0,,,70-72,,Offensive rebound by Team
7:15.0,,,70-72,,W. Ellington enters the game for G. Dragic
7:15.0,,,70-72,,Miami full timeout
7:12.0,,,70-74,2,B. Adebayo makes 2-pt shot from 1 ft (assist by W. Ellington)
6:59.0,Turnover by P. Millsap (lost ball; steal by J. Johnson),,70-74,,
6:52.0,,,70-76,2,B. Adebayo makes 2-pt shot from 2 ft
6:41.0,,,70-76,,Personal foul by B. Adebayo (drawn by N. Jokic)
6:30.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,72-76,,
6:10.0,,,72-78,2,J. Richardson makes 2-pt shot from 21 ft (assist by B. Adebayo)
5:53.0,W. Chandler misses 3-pt shot from 25 ft,,72-78,,
5:51.0,,,72-78,,Defensive rebound by B. Adebayo
5:42.0,,,72-78,,W. Ellington misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by J. Murray,,72-78,,
5:37.0,P. Millsap makes 2-pt shot from 1 ft (assist by N. Jokic),2,74-78,,
5:16.0,,,74-78,,B. Adebayo misses 2-pt shot from 4 ft
5:14.0,Defensive rebound by P. Millsap,,74-78,,
5:05.0,W. Barton misses 3-pt shot from 27 ft,,74-78,,
5:02.0,,,74-78,,Defensive rebound by T. Johnson
4:58.0,,,74-78,,T. Johnson misses 2-pt shot from 1 ft (block by W. Barton)
4:58.0,,,74-78,,Offensive rebound by Team
4:58.0,D. Harris enters the game for N. Jokic,,74-78,,
4:58.0,M. Plumlee enters the game for J. Murray,,74-78,,
4:55.0,,,74-78,,W. Ellington misses 3-pt shot from 22 ft
4:52.0,Defensive rebound by M. Plumlee,,74-78,,
4:40.0,D. Harris misses 2-pt shot from 20 ft,,74-78,,
4:39.0,Offensive rebound by W. Chandler,,74-78,,
4:38.0,W. Chandler makes 2-pt shot from 1 ft,2,76-78,,
4:20.0,,,76-78,,T. Johnson misses 2-pt shot from 1 ft
4:18.0,,,76-78,,Offensive rebound by B. Adebayo
4:17.0,,,76-78,,K. Olynyk enters the game for T. Johnson
4:17.0,,,76-78,,J. Winslow enters the game for B. Adebayo
4:16.0,,,76-81,3,K. Olynyk makes 3-pt shot from 23 ft (assist by J. Richardson)
4:14.0,Denver full timeout,,76-81,,
3:58.0,W. Chandler makes 2-pt shot from 1 ft,2,78-81,,
3:34.0,,,78-84,3,J. Winslow makes 3-pt shot from 24 ft (assist by K. Olynyk)
3:13.0,W. Chandler misses 3-pt shot from 23 ft,,78-84,,
3:11.0,Offensive rebound by M. Plumlee,,78-84,,
2:58.0,Shooting foul by W. Ellington (drawn by D. Harris),,78-84,,
2:58.0,,,78-84,,B. Adebayo enters the game for J. Johnson
2:58.0,N. Jokic enters the game for P. Millsap,,78-84,,
2:58.0,D. Harris makes free throw 1 of 3,1,80-84,,
2:58.0,D. Harris makes free throw 2 of 3,1,80-84,,
2:58.0,D. Harris makes free throw 3 of 3,1,81-84,,
2:41.0,,,81-84,,Turnover by B. Adebayo (bad pass; steal by W. Barton)
2:32.0,D. Harris misses 3-pt shot from 24 ft,,81-84,,
2:29.0,,,81-84,,Defensive rebound by B. Adebayo
2:20.0,,,81-86,2,W. Ellington makes 2-pt shot from 1 ft (assist by J. Winslow)
1:58.0,Turnover by N. Jokic (lost ball; steal by J. Richardson),,81-86,,
1:55.0,,,81-88,2,W. Ellington makes 2-pt shot at rim (assist by J. Richardson)
1:55.0,Violation by W. Barton (def goaltending),,81-88,,
1:40.0,W. Barton makes 2-pt shot from 1 ft,2,83-88,,
1:21.0,,,83-88,,K. Olynyk misses 2-pt shot from 1 ft
1:18.0,,,83-88,,Offensive rebound by K. Olynyk
1:17.0,,,83-90,2,K. Olynyk makes 2-pt shot from 5 ft
1:17.0,Denver full timeout,,83-90,,
1:17.0,T. Craig enters the game for W. Chandler,,83-90,,
1:07.0,D. Harris makes 2-pt shot from 15 ft,2,85-90,,
1:07.0,,,85-90,,Personal foul by W. Ellington (drawn by D. Harris)
1:07.0,D. Harris makes free throw 1 of 1,1,86-90,,
0:51.0,,,86-90,,J. Richardson misses 2-pt shot from 14 ft
0:49.0,Defensive rebound by N. Jokic,,86-90,,
0:42.0,D. Harris misses 2-pt shot from 8 ft (block by J. Richardson),,86-90,,
0:42.0,Offensive rebound by Team,,86-90,,
0:37.0,N. Jokic makes 3-pt shot from 27 ft (assist by D. Harris),3,89-90,,
0:22.0,,,89-92,2,K. Olynyk makes 2-pt shot from 1 ft (assist by W. Ellington)
0:03.0,W. Barton makes 2-pt shot from 1 ft,2,91-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,N. Jokic makes 2-pt shot from 15 ft (assist by D. Harris),2,93-92,,
11:27.0,,,93-92,,W. Ellington misses 2-pt shot from 20 ft
11:24.0,Defensive rebound by T. Craig,,93-92,,
11:20.0,Shooting foul by W. Ellington (drawn by M. Plumlee),,93-92,,
11:20.0,M. Plumlee misses free throw 1 of 2,,93-92,,
11:20.0,Offensive rebound by Team,,93-92,,
11:20.0,M. Plumlee makes free throw 2 of 2,1,94-92,,
11:08.0,,,94-94,2,J. Winslow makes 2-pt shot from 8 ft (assist by G. Dragic)
10:51.0,J. Murray makes 3-pt shot from 26 ft (assist by D. Harris),3,97-94,,
10:34.0,,,97-94,,Shooting foul by N. Jokic (drawn by G. Dragic)
10:34.0,,,97-94,,G. Dragic misses free throw 1 of 2
10:34.0,,,97-94,,Offensive rebound by Team
10:34.0,,,97-95,1,G. Dragic makes free throw 2 of 2
10:16.0,D. Harris misses 2-pt shot from 1 ft,,97-95,,
10:13.0,Offensive rebound by N. Jokic,,97-95,,
10:05.0,Shooting foul by J. Winslow (drawn by J. Murray),,97-95,,
10:05.0,J. Murray makes free throw 1 of 2,1,98-95,,
10:05.0,J. Murray makes free throw 2 of 2,1,99-95,,
9:56.0,Violation by M. Plumlee (kicked ball),,99-95,,
9:52.0,Personal foul by J. Murray (drawn by G. Dragic),,99-95,,
9:52.0,,,99-95,,J. Johnson enters the game for B. Adebayo
9:47.0,,,99-95,,Turnover by G. Dragic (bad pass; steal by N. Jokic)
9:41.0,Turnover by D. Harris (lost ball; steal by G. Dragic),,99-95,,
9:32.0,,,99-98,3,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Winslow)
9:15.0,T. Craig makes 3-pt shot from 23 ft (assist by D. Harris),3,102-98,,
9:00.0,,,102-98,,G. Dragic misses 2-pt shot from 9 ft
8:56.0,Defensive rebound by M. Plumlee,,102-98,,
8:55.0,Turnover by D. Harris (bad pass; steal by K. Olynyk),,102-98,,
8:50.0,,,102-101,3,W. Ellington makes 3-pt shot from 24 ft (assist by G. Dragic)
8:33.0,,,102-101,,Personal foul by K. Olynyk (drawn by N. Jokic)
8:33.0,P. Millsap enters the game for T. Craig,,102-101,,
8:33.0,W. Chandler enters the game for N. Jokic,,102-101,,
8:27.0,J. Murray makes 3-pt shot from 26 ft (assist by P. Millsap),3,105-101,,
8:08.0,,,105-103,2,J. Johnson makes 2-pt shot from 9 ft
8:08.0,,,105-103,,Shooting foul by M. Plumlee (drawn by J. Johnson)
8:08.0,,,105-103,,J. Johnson misses free throw 1 of 1
8:04.0,Defensive rebound by D. Harris,,105-103,,
7:56.0,J. Murray misses 2-pt shot from 1 ft (block by J. Winslow),,105-103,,
7:53.0,,,105-103,,Defensive rebound by K. Olynyk
7:43.0,,,105-103,,Turnover by K. Olynyk (lost ball; steal by M. Plumlee)
7:40.0,W. Chandler makes 2-pt shot at rim (assist by M. Plumlee),2,107-103,,
7:40.0,,,107-103,,Miami full timeout
7:31.0,,,107-103,,K. Olynyk misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by P. Millsap,,107-103,,
7:15.0,P. Millsap makes 2-pt shot from 15 ft,2,109-103,,
7:05.0,,,109-103,,J. Winslow misses 2-pt shot from 8 ft
6:58.0,Defensive rebound by P. Millsap,,109-103,,
6:45.0,W. Chandler misses 3-pt shot from 26 ft,,109-103,,
6:41.0,,,109-103,,Defensive rebound by J. Johnson
6:34.0,,,109-106,3,W. Ellington makes 3-pt shot from 23 ft (assist by G. Dragic)
6:09.0,,,109-106,,Personal foul by J. Johnson (drawn by P. Millsap)
6:09.0,,,109-106,,J. Richardson enters the game for J. Winslow
6:09.0,N. Jokic enters the game for M. Plumlee,,109-106,,
5:58.0,P. Millsap misses 2-pt shot from 6 ft,,109-106,,
5:55.0,,,109-106,,Defensive rebound by W. Ellington
5:38.0,,,109-106,,G. Dragic misses 2-pt shot from 9 ft
5:35.0,Defensive rebound by J. Murray,,109-106,,
5:34.0,,,109-106,,Personal block foul by W. Ellington (drawn by D. Harris)
5:34.0,D. Harris makes free throw 1 of 2,1,110-106,,
5:34.0,D. Harris makes free throw 2 of 2,1,111-106,,
5:19.0,,,111-109,3,K. Olynyk makes 3-pt shot from 25 ft (assist by G. Dragic)
4:51.0,N. Jokic misses 2-pt shot from 15 ft,,111-109,,
4:47.0,,,111-109,,Defensive rebound by J. Johnson
4:37.0,,,111-111,2,J. Johnson makes 2-pt shot at rim
4:37.0,Denver full timeout,,111-111,,
4:37.0,W. Barton enters the game for D. Harris,,111-111,,
4:19.0,N. Jokic misses 2-pt shot from 9 ft,,111-111,,
4:16.0,,,111-111,,Defensive rebound by G. Dragic
4:00.0,,,111-111,,W. Ellington misses 3-pt shot from 26 ft
3:58.0,,,111-111,,Offensive rebound by J. Richardson
3:55.0,,,111-113,2,J. Richardson makes 2-pt shot from 11 ft
3:39.0,J. Murray misses 2-pt shot from 1 ft (block by K. Olynyk),,111-113,,
3:37.0,,,111-113,,Defensive rebound by J. Johnson
3:34.0,,,111-113,,J. Richardson misses 2-pt shot at rim (block by W. Barton)
3:33.0,Defensive rebound by W. Chandler,,111-113,,
3:27.0,W. Chandler makes 2-pt shot from 1 ft (assist by P. Millsap),2,113-113,,
3:25.0,,,113-113,,Miami full timeout
3:01.0,,,113-115,2,G. Dragic makes 2-pt shot from 1 ft
2:45.0,Turnover by N. Jokic (offensive goaltending),,113-115,,
2:29.0,,,113-115,,K. Olynyk misses 2-pt shot from 19 ft
2:28.0,Defensive rebound by P. Millsap,,113-115,,
2:28.0,,,113-115,,Personal foul by J. Richardson (drawn by P. Millsap)
2:28.0,P. Millsap makes free throw 1 of 2,1,114-115,,
