time,San Antonio,pts.away,score,pts.home,LA Lakers
1:42.0,,,30-24,2,C. Frye makes 2-pt shot from 15 ft (assist by T. Ennis)
1:38.0,San Antonio full timeout,,30-24,,
1:23.0,B. Forbes misses 2-pt shot from 3 ft,,30-24,,
1:23.0,,,30-24,,Defensive rebound by J. Hart
1:18.0,,,30-24,,Shooting foul by T. Parker (drawn by J. Hart)
1:18.0,,,30-25,1,J. Hart makes free throw 1 of 2
1:18.0,,,30-25,,J. Hart misses free throw 2 of 2
1:14.0,Defensive rebound by P. Gasol,,30-25,,
1:06.0,T. Parker misses 2-pt shot from 1 ft (block by I. Zubac),,30-25,,
1:03.0,,,30-25,,Defensive rebound by J. Hart
0:56.0,,,30-27,2,K. Kuzma makes 2-pt shot from 2 ft
0:41.0,Turnover by P. Gasol (bad pass; steal by K. Kuzma),,30-27,,
0:37.0,,,30-29,2,I. Zubac makes 2-pt shot from 2 ft (assist by K. Kuzma)
0:29.0,T. Parker misses 2-pt shot from 1 ft,,30-29,,
0:26.0,Offensive rebound by P. Gasol,,30-29,,
0:24.0,R. Gay misses 3-pt shot from 25 ft,,30-29,,
0:22.0,Offensive rebound by P. Gasol,,30-29,,
0:20.0,P. Gasol misses 2-pt shot from 2 ft,,30-29,,
0:18.0,,,30-29,,Defensive rebound by I. Zubac
0:04.0,,,30-29,,K. Kuzma misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by R. Gay,,30-29,,
0:00.0,R. Gay misses 3-pt shot from 50 ft,,30-29,,
0:00.0,Offensive rebound by Team,,30-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Green misses 2-pt shot from 3 ft,,30-29,,
11:39.0,,,30-29,,Defensive rebound by I. Zubac
11:39.0,Personal foul by D. Green (drawn by I. Zubac),,30-29,,
11:21.0,,,30-29,,J. Hart misses 2-pt shot from 12 ft
11:18.0,Defensive rebound by P. Gasol,,30-29,,
11:04.0,,,30-29,,Personal foul by I. Zubac (drawn by P. Gasol)
11:04.0,K. Anderson enters the game for T. Parker,,30-29,,
11:04.0,D. Murray enters the game for D. Green,,30-29,,
10:54.0,P. Gasol misses 2-pt shot at rim,,30-29,,
10:53.0,,,30-29,,Defensive rebound by J. Hart
10:48.0,,,30-32,3,T. Ennis makes 3-pt shot from 27 ft (assist by I. Zubac)
10:30.0,B. Forbes misses 2-pt shot from 5 ft,,30-32,,
10:30.0,Offensive rebound by Team,,30-32,,
10:30.0,,,30-32,,Loose ball foul by T. Ennis (drawn by P. Gasol)
10:30.0,L. Aldridge enters the game for P. Gasol,,30-32,,
10:23.0,L. Aldridge makes 2-pt shot from 16 ft (assist by B. Forbes),2,32-32,,
9:58.0,,,32-34,2,I. Zubac makes 2-pt shot from 11 ft
9:40.0,Shooting foul by C. Frye (drawn by D. Murray),,32-34,,
9:40.0,D. Murray makes free throw 1 of 2,1,33-34,,
9:40.0,P. Mills enters the game for B. Forbes,,33-34,,
9:40.0,D. Bertans enters the game for R. Gay,,33-34,,
9:40.0,D. Murray makes free throw 2 of 2,1,34-34,,
9:26.0,,,34-37,3,C. Frye makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
9:05.0,K. Anderson makes 3-pt shot from 26 ft (assist by D. Bertans),3,37-37,,
8:53.0,,,37-37,,T. Ennis misses 2-pt shot from 2 ft
8:51.0,Defensive rebound by D. Murray,,37-37,,
8:47.0,K. Anderson misses 3-pt shot from 24 ft,,37-37,,
8:43.0,,,37-37,,Defensive rebound by J. Hart
8:38.0,,,37-39,2,I. Zubac makes 2-pt shot at rim (assist by K. Caldwell-Pope)
8:20.0,D. Bertans makes 3-pt shot from 26 ft (assist by D. Murray),3,40-39,,
8:03.0,,,40-39,,J. Hart misses 3-pt shot from 27 ft
8:00.0,Defensive rebound by D. Murray,,40-39,,
7:48.0,Turnover by D. Murray (step out of bounds),,40-39,,
7:33.0,Personal foul by P. Mills (drawn by K. Caldwell-Pope),,40-39,,
7:22.0,,,40-41,2,C. Frye makes 2-pt shot from 15 ft (assist by T. Ennis)
7:07.0,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills),2,42-41,,
7:07.0,,,42-41,,Shooting block foul by J. Hart (drawn by L. Aldridge)
7:07.0,,,42-41,,B. Lopez enters the game for I. Zubac
7:07.0,L. Aldridge misses free throw 1 of 1,,42-41,,
7:07.0,,,42-41,,Defensive rebound by C. Frye
6:57.0,,,42-43,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by T. Ennis)
6:37.0,Turnover by D. Murray (bad pass; steal by T. Ennis),,42-43,,
6:28.0,,,42-43,,Turnover by T. Ennis (out of bounds lost ball)
6:28.0,,,42-43,,LA Lakers full timeout
6:28.0,,,42-43,,J. Randle enters the game for T. Ennis
6:28.0,,,42-43,,K. Kuzma enters the game for C. Frye
6:09.0,P. Mills misses 2-pt shot from 18 ft,,42-43,,
6:06.0,,,42-43,,Defensive rebound by J. Hart
5:50.0,,,42-45,2,J. Randle makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope)
5:36.0,P. Mills makes 3-pt shot from 22 ft (assist by D. Bertans),3,45-45,,
5:24.0,,,45-45,,Turnover by K. Kuzma (bad pass)
5:24.0,P. Gasol enters the game for D. Bertans,,45-45,,
5:06.0,D. Murray makes 2-pt shot from 8 ft (assist by L. Aldridge),2,47-45,,
4:52.0,,,47-45,,B. Lopez misses 3-pt shot from 23 ft
4:47.0,,,47-45,,Offensive rebound by K. Kuzma
4:46.0,,,47-47,2,K. Kuzma makes 2-pt shot from 2 ft
4:28.0,P. Mills makes 3-pt shot from 26 ft (assist by L. Aldridge),3,50-47,,
4:28.0,,,50-47,,LA Lakers full timeout
4:19.0,,,50-50,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Hart)
4:19.0,,,50-50,,Shooting foul by D. Murray (drawn by K. Caldwell-Pope)
4:19.0,,,50-51,1,K. Caldwell-Pope makes free throw 1 of 1
4:07.0,D. Murray misses 2-pt shot from 9 ft,,50-51,,
4:04.0,Offensive rebound by D. Murray,,50-51,,
4:00.0,D. Murray makes 2-pt shot from 1 ft (assist by P. Gasol),2,52-51,,
3:47.0,,,52-51,,Turnover by J. Hart (bad pass; steal by D. Murray)
3:42.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Murray),2,54-51,,
3:24.0,,,54-53,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Randle)
3:24.0,,,54-53,,Shooting foul by P. Gasol (drawn by B. Lopez)
3:24.0,,,54-53,,A. Caruso enters the game for J. Hart
3:24.0,T. Parker enters the game for D. Murray,,54-53,,
3:24.0,,,54-54,1,B. Lopez makes free throw 1 of 1
3:02.0,K. Anderson makes 2-pt shot from 14 ft,2,56-54,,
2:48.0,,,56-54,,J. Randle misses 2-pt shot from 5 ft (block by L. Aldridge)
2:45.0,Defensive rebound by P. Mills,,56-54,,
2:25.0,L. Aldridge makes 2-pt shot from 1 ft,2,58-54,,
2:09.0,,,58-54,,Turnover by K. Kuzma (lost ball; steal by K. Anderson)
1:58.0,P. Mills misses 3-pt shot from 23 ft,,58-54,,
1:56.0,Offensive rebound by P. Gasol,,58-54,,
1:41.0,L. Aldridge misses 2-pt shot from 15 ft,,58-54,,
1:39.0,,,58-54,,Defensive rebound by K. Caldwell-Pope
1:38.0,,,58-54,,Shooting foul by K. Anderson (drawn by K. Kuzma)
1:38.0,,,58-55,1,K. Kuzma makes free throw 1 of 2
1:38.0,,,58-55,,C. Frye enters the game for J. Randle
1:38.0,,,58-56,1,K. Kuzma makes free throw 2 of 2
1:23.0,P. Mills makes 2-pt shot from 18 ft,2,60-56,,
1:12.0,,,60-58,2,A. Caruso makes 2-pt shot from 3 ft
0:51.0,K. Anderson misses 2-pt shot from 2 ft,,60-58,,
0:48.0,,,60-58,,Defensive rebound by C. Frye
0:44.0,,,60-58,,Turnover by A. Caruso (bad pass)
0:44.0,D. Green enters the game for K. Anderson,,60-58,,
0:25.0,Turnover by D. Green (bad pass; steal by A. Caruso),,60-58,,
0:07.0,,,60-58,,K. Kuzma misses 3-pt shot from 28 ft
0:05.0,Defensive rebound by Team,,60-58,,
0:05.0,,,60-58,,Loose ball foul by B. Lopez (drawn by D. Green)
0:05.0,D. Green misses free throw 1 of 2,,60-58,,
0:05.0,Offensive rebound by Team,,60-58,,
0:05.0,R. Gay enters the game for T. Parker,,60-58,,
0:05.0,D. Murray enters the game for P. Gasol,,60-58,,
0:05.0,D. Green makes free throw 2 of 2,1,61-58,,
0:01.0,,,61-58,,K. Kuzma misses 2-pt shot from 7 ft
0:00.0,,,61-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,L. Aldridge misses 3-pt shot from 27 ft,,61-58,,
11:33.0,Offensive rebound by P. Mills,,61-58,,
11:20.0,K. Anderson misses 3-pt shot from 26 ft,,61-58,,
11:18.0,,,61-58,,Defensive rebound by K. Caldwell-Pope
11:13.0,,,61-58,,Turnover by K. Caldwell-Pope (bad pass; steal by K. Anderson)
11:02.0,K. Anderson misses 2-pt shot from 2 ft,,61-58,,
11:01.0,Offensive rebound by L. Aldridge,,61-58,,
11:01.0,Shooting foul by J. Randle (drawn by L. Aldridge),,61-58,,
11:01.0,L. Aldridge makes free throw 1 of 2,1,62-58,,
11:01.0,L. Aldridge makes free throw 2 of 2,1,63-58,,
10:45.0,,,63-58,,J. Randle misses 2-pt shot from 11 ft
10:42.0,Defensive rebound by P. Gasol,,63-58,,
10:38.0,P. Mills makes 3-pt shot from 26 ft,3,66-58,,
10:24.0,,,66-60,2,J. Randle makes 2-pt shot from 2 ft (assist by B. Lopez)
10:11.0,K. Anderson misses 2-pt shot from 1 ft,,66-60,,
10:08.0,,,66-60,,Defensive rebound by K. Caldwell-Pope
10:00.0,,,66-60,,J. Randle misses 2-pt shot from 2 ft
9:58.0,Defensive rebound by P. Gasol,,66-60,,
9:47.0,L. Aldridge misses 2-pt shot from 5 ft (block by B. Lopez),,66-60,,
9:44.0,,,66-60,,Defensive rebound by A. Caruso
9:36.0,,,66-60,,Turnover by J. Randle (lost ball; steal by K. Anderson)
9:30.0,D. Murray misses 2-pt shot from 15 ft,,66-60,,
9:25.0,,,66-60,,Defensive rebound by B. Lopez
9:18.0,,,66-63,3,K. Kuzma makes 3-pt shot from 25 ft (assist by A. Caruso)
9:00.0,D. Murray makes 2-pt shot at rim,2,68-63,,
8:48.0,,,68-66,3,A. Caruso makes 3-pt shot from 26 ft
8:33.0,P. Mills misses 2-pt shot from 21 ft,,68-66,,
8:31.0,,,68-66,,Defensive rebound by A. Caruso
8:27.0,,,68-66,,B. Lopez misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by D. Murray,,68-66,,
8:17.0,P. Gasol misses 2-pt shot from 2 ft,,68-66,,
8:14.0,,,68-66,,Defensive rebound by K. Kuzma
8:10.0,,,68-66,,K. Kuzma misses 2-pt shot from 1 ft (block by K. Anderson)
8:10.0,,,68-66,,Offensive rebound by Team
8:00.0,,,68-68,2,B. Lopez makes 2-pt shot from 6 ft
8:00.0,San Antonio full timeout,,68-68,,
7:36.0,D. Murray misses 2-pt shot from 7 ft,,68-68,,
7:35.0,,,68-68,,Defensive rebound by B. Lopez
7:35.0,,,68-68,,Turnover by B. Lopez (bad pass)
7:22.0,P. Gasol makes 2-pt shot from 16 ft (assist by D. Murray),2,70-68,,
7:08.0,Personal foul by P. Gasol (drawn by B. Lopez),,70-68,,
7:04.0,,,70-70,2,J. Randle makes 2-pt shot from 2 ft (assist by A. Caruso)
6:37.0,P. Mills misses 2-pt shot from 19 ft,,70-70,,
6:35.0,,,70-70,,Defensive rebound by K. Caldwell-Pope
6:34.0,,,70-70,,Shooting foul by D. Murray (drawn by K. Caldwell-Pope)
6:34.0,,,70-71,1,K. Caldwell-Pope makes free throw 1 of 2
6:34.0,B. Forbes enters the game for P. Mills,,70-71,,
6:34.0,D. Green enters the game for K. Anderson,,70-71,,
6:34.0,,,70-72,1,K. Caldwell-Pope makes free throw 2 of 2
6:20.0,L. Aldridge makes 2-pt shot from 11 ft (assist by P. Gasol),2,72-72,,
6:20.0,Shooting foul by J. Randle (drawn by L. Aldridge),,72-72,,
6:20.0,L. Aldridge makes free throw 1 of 1,1,73-72,,
6:04.0,,,73-72,,B. Lopez misses 3-pt shot from 27 ft
6:02.0,Defensive rebound by D. Murray,,73-72,,
5:51.0,B. Forbes misses 2-pt shot from 14 ft,,73-72,,
5:49.0,,,73-72,,Defensive rebound by B. Lopez
5:44.0,,,73-72,,J. Randle misses 2-pt shot from 5 ft (block by P. Gasol)
5:41.0,Defensive rebound by B. Forbes,,73-72,,
5:28.0,B. Forbes makes 2-pt shot from 17 ft (assist by L. Aldridge),2,75-72,,
5:06.0,,,75-74,2,B. Lopez makes 2-pt shot from 7 ft (assist by A. Caruso)
4:46.0,L. Aldridge makes 2-pt shot from 5 ft,2,77-74,,
4:36.0,,,77-74,,K. Kuzma misses 2-pt shot from 3 ft
4:32.0,,,77-74,,Offensive rebound by J. Randle
4:32.0,,,77-76,2,J. Randle makes 2-pt shot at rim
4:22.0,Shooting foul by A. Caruso (drawn by D. Murray),,77-76,,
4:22.0,D. Murray misses free throw 1 of 2,,77-76,,
4:22.0,Offensive rebound by Team,,77-76,,
4:22.0,,,77-76,,J. Hart enters the game for K. Caldwell-Pope
4:22.0,,,77-76,,T. Ennis enters the game for A. Caruso
4:22.0,R. Gay enters the game for P. Gasol,,77-76,,
4:22.0,D. Murray misses free throw 2 of 2,,77-76,,
4:19.0,,,77-76,,Defensive rebound by K. Kuzma
4:03.0,,,77-76,,J. Randle misses 2-pt shot from 5 ft
4:01.0,Defensive rebound by R. Gay,,77-76,,
3:43.0,B. Forbes misses 2-pt shot from 3 ft,,77-76,,
3:40.0,Offensive rebound by D. Murray,,77-76,,
3:38.0,L. Aldridge makes 2-pt shot from 3 ft (assist by D. Murray),2,79-76,,
3:31.0,,,79-76,,LA Lakers full timeout
3:31.0,,,79-76,,C. Frye enters the game for B. Lopez
3:31.0,T. Parker enters the game for D. Murray,,79-76,,
3:18.0,,,79-79,3,C. Frye makes 3-pt shot from 24 ft (assist by J. Randle)
3:14.0,San Antonio full timeout,,79-79,,
2:51.0,D. Green misses 2-pt shot from 2 ft,,79-79,,
2:51.0,,,79-79,,Defensive rebound by Team
2:42.0,,,79-79,,T. Ennis misses 3-pt shot from 27 ft
2:39.0,Defensive rebound by D. Green,,79-79,,
2:26.0,R. Gay makes 2-pt shot from 1 ft (assist by D. Green),2,81-79,,
2:18.0,,,81-79,,Turnover by K. Kuzma (out of bounds lost ball)
2:18.0,,,81-79,,I. Zubac enters the game for J. Randle
1:54.0,D. Green misses 2-pt shot from 2 ft,,81-79,,
1:52.0,,,81-79,,Defensive rebound by T. Ennis
1:34.0,,,81-79,,I. Zubac misses 2-pt shot from 11 ft
1:32.0,Defensive rebound by L. Aldridge,,81-79,,
1:23.0,R. Gay makes 3-pt shot from 26 ft (assist by T. Parker),3,84-79,,
1:04.0,,,84-79,,K. Kuzma misses 2-pt shot from 3 ft
1:02.0,Defensive rebound by L. Aldridge,,84-79,,
0:44.0,L. Aldridge misses 2-pt shot from 1 ft,,84-79,,
0:41.0,Offensive rebound by L. Aldridge,,84-79,,
0:35.0,L. Aldridge makes 2-pt shot from 12 ft,2,86-79,,
0:35.0,Shooting foul by I. Zubac (drawn by L. Aldridge),,86-79,,
0:35.0,L. Aldridge makes free throw 1 of 1,1,87-79,,
0:26.0,,,87-81,2,I. Zubac makes 2-pt shot from 3 ft (assist by T. Ennis)
0:00.0,D. Green misses 2-pt shot from 2 ft (block by C. Frye),,87-81,,
0:00.0,,,87-81,,Defensive rebound by J. Hart
0:00.0,,,87-81,,Turnover by J. Hart (lost ball; steal by L. Aldridge)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Personal foul by B. Forbes (drawn by K. Caldwell-Pope),,87-81,,
11:45.0,,,87-83,2,J. Hart makes 2-pt shot from 3 ft (assist by C. Frye)
11:26.0,T. Parker misses 2-pt shot from 16 ft,,87-83,,
11:23.0,,,87-83,,Defensive rebound by C. Frye
11:12.0,,,87-83,,C. Frye misses 2-pt shot from 2 ft
11:09.0,Defensive rebound by K. Anderson,,87-83,,
11:02.0,,,87-83,,Personal foul by K. Caldwell-Pope (drawn by R. Gay)
10:44.0,B. Forbes makes 2-pt shot from 21 ft (assist by K. Anderson),2,89-83,,
10:27.0,,,89-86,3,C. Frye makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
10:13.0,Turnover by K. Anderson (traveling),,89-86,,
10:13.0,P. Mills enters the game for B. Forbes,,89-86,,
9:56.0,,,89-88,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
9:33.0,P. Gasol misses 3-pt shot from 23 ft,,89-88,,
9:33.0,,,89-88,,Defensive rebound by Team
9:33.0,Loose ball foul by K. Anderson (drawn by C. Frye),,89-88,,
9:21.0,,,89-90,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by I. Zubac)
9:21.0,San Antonio full timeout,,89-90,,
9:21.0,B. Forbes enters the game for K. Anderson,,89-90,,
9:06.0,,,89-90,,Personal foul by K. Caldwell-Pope (drawn by P. Mills)
8:59.0,,,89-90,,Personal foul by K. Caldwell-Pope (drawn by P. Mills)
8:51.0,R. Gay misses 3-pt shot from 26 ft,,89-90,,
8:48.0,Offensive rebound by P. Gasol,,89-90,,
8:41.0,P. Mills misses 2-pt shot from 20 ft,,89-90,,
8:37.0,,,89-90,,Defensive rebound by J. Hart
8:36.0,Personal foul by P. Mills (drawn by I. Zubac),,89-90,,
8:26.0,,,89-90,,Turnover by I. Zubac (lost ball; steal by R. Gay)
8:05.0,R. Gay misses 2-pt shot from 11 ft,,89-90,,
8:00.0,Offensive rebound by P. Gasol,,89-90,,
8:00.0,P. Gasol misses 2-pt shot at rim,,89-90,,
8:00.0,,,89-90,,Defensive rebound by T. Ennis
7:52.0,,,89-90,,K. Caldwell-Pope misses 2-pt shot from 2 ft
7:51.0,Defensive rebound by Team,,89-90,,
7:51.0,,,89-90,,Loose ball foul by J. Hart (drawn by R. Gay)
7:51.0,,,89-90,,K. Kuzma enters the game for K. Caldwell-Pope
7:51.0,L. Aldridge enters the game for P. Gasol,,89-90,,
7:38.0,Offensive charge foul by P. Mills (drawn by J. Hart),,89-90,,
7:38.0,Turnover by P. Mills (offensive foul),,89-90,,
7:38.0,D. Murray enters the game for T. Parker,,89-90,,
7:38.0,D. Green enters the game for B. Forbes,,89-90,,
7:25.0,,,89-92,2,J. Hart makes 2-pt shot from 12 ft (assist by I. Zubac)
7:03.0,R. Gay makes 3-pt shot from 23 ft (assist by D. Green),3,92-92,,
6:46.0,,,92-92,,J. Hart misses 2-pt shot from 2 ft
6:44.0,Defensive rebound by P. Mills,,92-92,,
6:35.0,P. Mills misses 2-pt shot from 16 ft,,92-92,,
6:31.0,,,92-92,,Defensive rebound by I. Zubac
6:19.0,,,92-94,2,K. Kuzma makes 2-pt shot from 2 ft
6:03.0,L. Aldridge makes 2-pt shot from 17 ft (assist by P. Mills),2,94-94,,
5:46.0,,,94-94,,T. Ennis misses 2-pt shot from 17 ft
5:43.0,Defensive rebound by L. Aldridge,,94-94,,
5:36.0,P. Mills misses 3-pt shot from 24 ft,,94-94,,
5:33.0,,,94-94,,Defensive rebound by I. Zubac
5:20.0,,,94-97,3,T. Ennis makes 3-pt shot from 22 ft
5:20.0,San Antonio full timeout,,94-97,,
5:00.0,Shooting foul by I. Zubac (drawn by D. Green),,94-97,,
5:00.0,D. Green makes free throw 1 of 3,1,95-97,,
5:00.0,D. Green misses free throw 2 of 3,,95-97,,
5:00.0,Offensive rebound by Team,,95-97,,
5:00.0,K. Anderson enters the game for P. Mills,,95-97,,
5:00.0,D. Green makes free throw 3 of 3,1,96-97,,
4:45.0,,,96-99,2,T. Ennis makes 2-pt shot from 17 ft (assist by I. Zubac)
4:31.0,D. Murray makes 2-pt shot from 11 ft,2,98-99,,
4:14.0,,,98-99,,T. Ennis misses 2-pt shot from 3 ft
4:11.0,Defensive rebound by K. Anderson,,98-99,,
4:09.0,Shooting foul by T. Ennis (drawn by D. Murray),,98-99,,
4:09.0,D. Murray makes free throw 1 of 2,1,99-99,,
4:09.0,D. Murray makes free throw 2 of 2,1,100-99,,
3:55.0,,,100-102,3,K. Kuzma makes 3-pt shot from 26 ft (assist by I. Zubac)
3:32.0,R. Gay misses 2-pt shot from 5 ft (block by T. Ennis),,100-102,,
3:31.0,Offensive rebound by R. Gay,,100-102,,
3:30.0,Shooting foul by C. Frye (drawn by R. Gay),,100-102,,
3:30.0,R. Gay makes free throw 1 of 2,1,101-102,,
3:30.0,P. Mills enters the game for D. Green,,101-102,,
3:30.0,R. Gay misses free throw 2 of 2,,101-102,,
3:29.0,,,101-102,,Defensive rebound by Team
3:07.0,,,101-104,2,C. Frye makes 2-pt shot from 13 ft (assist by T. Ennis)
2:47.0,L. Aldridge misses 2-pt shot from 8 ft,,101-104,,
2:47.0,Offensive rebound by D. Murray,,101-104,,
2:47.0,D. Murray makes 2-pt shot from 1 ft,2,103-104,,
2:47.0,Shooting foul by K. Kuzma (drawn by D. Murray),,103-104,,
2:47.0,D. Murray misses free throw 1 of 1,,103-104,,
2:47.0,Offensive rebound by L. Aldridge,,103-104,,
2:38.0,L. Aldridge misses 2-pt shot from 4 ft,,103-104,,
2:34.0,,,103-104,,Defensive rebound by C. Frye
2:29.0,,,103-104,,LA Lakers full timeout
2:17.0,,,103-106,2,C. Frye makes 2-pt shot from 8 ft (assist by T. Ennis)
2:12.0,,,103-106,,Personal take foul by J. Hart (drawn by D. Murray)
2:12.0,D. Murray makes free throw 1 of 2,1,104-106,,
2:12.0,D. Murray makes free throw 2 of 2,1,105-106,,
1:54.0,,,105-106,,K. Kuzma misses 2-pt shot from 3 ft
1:52.0,,,105-106,,Offensive rebound by I. Zubac
1:49.0,,,105-106,,K. Kuzma misses 3-pt shot from 22 ft
1:45.0,,,105-106,,Offensive rebound by J. Hart
