time,Washington,pts.away,score,pts.home,Milwaukee
1:10.0,,,25-17,,D. Liggins misses 2-pt shot from 3 ft
1:07.0,Defensive rebound by T. Frazier,,25-17,,
1:03.0,K. Oubre misses 3-pt shot from 26 ft,,25-17,,
0:58.0,Offensive rebound by M. Gortat,,25-17,,
0:50.0,M. Gortat makes 2-pt shot from 4 ft (assist by O. Porter),2,27-17,,
0:30.0,,,27-17,,E. Bledsoe misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by J. Meeks,,27-17,,
0:24.0,J. Meeks misses 2-pt shot at rim,,27-17,,
0:24.0,,,27-17,,Defensive rebound by M. Brogdon
0:00.0,,,27-19,2,T. Maker makes 2-pt shot from 17 ft (assist by D. Liggins)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,27-19,,D. Liggins misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by Team,,27-19,,
11:24.0,Turnover by O. Porter (bad pass; steal by E. Bledsoe),,27-19,,
11:24.0,Personal foul by J. Meeks (drawn by D. Liggins),,27-19,,
11:06.0,,,27-22,3,D. Liggins makes 3-pt shot from 23 ft
10:41.0,Turnover by T. Frazier (traveling),,27-22,,
10:26.0,,,27-22,,K. Middleton misses 2-pt shot from 2 ft
10:24.0,Defensive rebound by I. Mahinmi,,27-22,,
10:06.0,O. Porter misses 3-pt shot from 25 ft,,27-22,,
10:01.0,Offensive rebound by K. Oubre,,27-22,,
10:00.0,K. Oubre makes 2-pt shot from 1 ft,2,29-22,,
9:52.0,,,29-22,,Shooting foul by T. Frazier (drawn by E. Bledsoe)
9:52.0,,,29-22,,E. Bledsoe misses free throw 1 of 2
9:52.0,,,29-22,,Offensive rebound by Team
9:52.0,,,29-23,1,E. Bledsoe makes free throw 2 of 2
9:43.0,Offensive foul by I. Mahinmi (drawn by D. Liggins),,29-23,,
9:43.0,Turnover by I. Mahinmi (offensive foul),,29-23,,
9:28.0,,,29-25,2,G. Payton makes 2-pt shot from 1 ft (assist by T. Maker)
8:58.0,O. Porter makes 3-pt shot from 28 ft (assist by I. Mahinmi),3,32-25,,
8:49.0,,,32-25,,E. Bledsoe misses 2-pt shot from 20 ft
8:44.0,Defensive rebound by O. Porter,,32-25,,
8:27.0,O. Porter misses 3-pt shot from 25 ft,,32-25,,
8:25.0,,,32-25,,Defensive rebound by K. Middleton
8:03.0,,,32-25,,G. Payton misses 3-pt shot from 28 ft
8:02.0,Defensive rebound by K. Oubre,,32-25,,
7:43.0,Turnover by T. Frazier (bad pass; steal by E. Bledsoe),,32-25,,
7:38.0,,,32-27,2,E. Bledsoe makes 2-pt shot from 1 ft
7:37.0,Washington full timeout,,32-27,,
7:37.0,B. Beal enters the game for T. Frazier,,32-27,,
7:37.0,J. Wall enters the game for O. Porter,,32-27,,
7:21.0,B. Beal makes 2-pt shot from 2 ft,2,34-27,,
7:01.0,,,34-29,2,K. Middleton makes 2-pt shot from 19 ft
6:44.0,K. Oubre makes 3-pt shot from 28 ft (assist by B. Beal),3,37-29,,
6:29.0,,,37-31,2,G. Payton makes 2-pt shot at rim
6:04.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by B. Beal),2,39-31,,
5:48.0,,,39-31,,Shooting foul by K. Oubre (drawn by K. Middleton)
5:48.0,,,39-32,1,K. Middleton makes free throw 1 of 2
5:48.0,,,39-32,,G. Antetokounmpo enters the game for D. Liggins
5:48.0,M. Gortat enters the game for I. Mahinmi,,39-32,,
5:48.0,,,39-33,1,K. Middleton makes free throw 2 of 2
5:39.0,,,39-33,,Personal foul by E. Bledsoe (drawn by B. Beal)
5:39.0,M. Morris enters the game for J. Meeks,,39-33,,
5:39.0,,,39-33,,Personal foul by G. Payton (drawn by B. Beal)
5:32.0,B. Beal misses 2-pt shot from 8 ft (block by E. Bledsoe),,39-33,,
5:28.0,,,39-33,,Defensive rebound by K. Middleton
5:27.0,,,39-35,2,K. Middleton makes 2-pt shot at rim
5:08.0,Turnover by B. Beal (lost ball; steal by E. Bledsoe),,39-35,,
5:03.0,,,39-37,2,E. Bledsoe makes 2-pt shot from 2 ft
4:42.0,J. Wall misses 2-pt shot at rim,,39-37,,
4:40.0,,,39-37,,Defensive rebound by T. Maker
4:37.0,,,39-37,,G. Payton misses 2-pt shot from 1 ft
4:37.0,Defensive rebound by K. Oubre,,39-37,,
4:14.0,Turnover by B. Beal (lost ball; steal by G. Payton),,39-37,,
4:08.0,,,39-37,,G. Antetokounmpo misses 2-pt shot at rim
4:08.0,Defensive rebound by M. Gortat,,39-37,,
4:08.0,,,39-37,,Personal foul by G. Payton (drawn by M. Gortat)
4:08.0,,,39-37,,M. Brogdon enters the game for G. Payton
4:08.0,,,39-37,,J. Henson enters the game for T. Maker
3:52.0,Turnover by J. Wall (bad pass; steal by E. Bledsoe),,39-37,,
3:49.0,,,39-37,,G. Antetokounmpo misses 2-pt shot at rim (block by B. Beal)
3:49.0,,,39-37,,Offensive rebound by Team
3:44.0,,,39-37,,G. Antetokounmpo misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by M. Gortat,,39-37,,
3:36.0,K. Oubre misses 3-pt shot from 28 ft,,39-37,,
3:33.0,,,39-37,,Defensive rebound by J. Henson
3:25.0,,,39-39,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
3:13.0,J. Wall misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,39-39,,
3:08.0,,,39-39,,Defensive rebound by E. Bledsoe
3:07.0,,,39-41,2,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe)
3:07.0,Washington full timeout,,39-41,,
3:07.0,,,39-41,,T. Snell enters the game for E. Bledsoe
3:07.0,O. Porter enters the game for K. Oubre,,39-41,,
2:45.0,M. Morris makes 2-pt shot from 1 ft (assist by M. Gortat),2,41-41,,
2:20.0,,,41-41,,Turnover by Team (shot clock)
2:06.0,B. Beal misses 3-pt shot from 27 ft,,41-41,,
2:02.0,,,41-41,,Defensive rebound by K. Middleton
1:57.0,,,41-41,,M. Brogdon misses 3-pt shot from 26 ft
1:49.0,,,41-41,,Offensive rebound by J. Henson
1:49.0,,,41-43,2,J. Henson makes 2-pt shot at rim
1:37.0,J. Wall makes 2-pt shot from 2 ft,2,43-43,,
1:37.0,Technical foul by J. Wall,,43-43,,
1:37.0,,,43-44,1,K. Middleton makes technical free throw
1:16.0,,,43-46,2,J. Henson makes 2-pt shot from 3 ft (assist by M. Brogdon)
1:06.0,Shooting foul by K. Middleton (drawn by M. Gortat),,43-46,,
1:06.0,M. Gortat makes free throw 1 of 2,1,44-46,,
1:06.0,,,44-46,,E. Bledsoe enters the game for K. Middleton
1:06.0,M. Gortat makes free throw 2 of 2,1,45-46,,
0:44.0,,,45-46,,J. Henson misses 2-pt shot from 6 ft
0:36.0,,,45-46,,Offensive rebound by G. Antetokounmpo
0:36.0,,,45-46,,G. Antetokounmpo misses 2-pt shot at rim
0:34.0,,,45-46,,Offensive rebound by T. Snell
0:23.0,,,45-46,,G. Antetokounmpo misses 2-pt shot from 3 ft
0:20.0,Defensive rebound by O. Porter,,45-46,,
0:18.0,Shooting foul by E. Bledsoe (drawn by J. Wall),,45-46,,
0:18.0,J. Wall makes free throw 1 of 2,1,46-46,,
0:18.0,K. Oubre enters the game for M. Morris,,46-46,,
0:18.0,J. Wall makes free throw 2 of 2,1,47-46,,
0:00.0,,,47-46,,E. Bledsoe misses 3-pt shot from 28 ft
0:00.0,,,47-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,47-48,2,G. Antetokounmpo makes 2-pt shot from 19 ft (assist by J. Henson)
11:27.0,O. Porter misses 3-pt shot from 26 ft,,47-48,,
11:23.0,,,47-48,,Defensive rebound by E. Bledsoe
11:16.0,,,47-48,,K. Middleton misses 2-pt shot at rim
11:09.0,,,47-48,,Offensive rebound by J. Henson
11:09.0,,,47-48,,J. Henson misses 2-pt shot at rim
11:08.0,Defensive rebound by M. Gortat,,47-48,,
10:57.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,50-48,,
10:40.0,,,50-50,2,E. Bledsoe makes 2-pt shot at rim (assist by J. Henson)
10:17.0,M. Morris misses 3-pt shot from 26 ft,,50-50,,
10:16.0,,,50-50,,Defensive rebound by G. Antetokounmpo
10:04.0,,,50-53,3,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
9:48.0,Turnover by B. Beal (bad pass; steal by K. Middleton),,50-53,,
9:34.0,,,50-55,2,K. Middleton makes 2-pt shot at rim
9:26.0,J. Wall makes 3-pt shot from 26 ft (assist by M. Gortat),3,53-55,,
9:03.0,,,53-55,,G. Antetokounmpo misses 2-pt shot from 10 ft
9:02.0,Defensive rebound by O. Porter,,53-55,,
8:45.0,Turnover by M. Gortat (turnover),,53-55,,
8:28.0,,,53-55,,K. Middleton misses 3-pt shot from 27 ft
8:26.0,Defensive rebound by M. Morris,,53-55,,
8:16.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,55-55,,
7:58.0,,,55-55,,T. Snell misses 3-pt shot from 23 ft
7:55.0,Defensive rebound by O. Porter,,55-55,,
7:50.0,J. Wall misses 2-pt shot from 18 ft,,55-55,,
7:44.0,Offensive rebound by O. Porter,,55-55,,
7:43.0,M. Morris makes 3-pt shot from 26 ft (assist by O. Porter),3,58-55,,
7:26.0,Personal foul by M. Morris (drawn by K. Middleton),,58-55,,
7:15.0,,,58-55,,K. Middleton misses 2-pt shot from 14 ft
7:12.0,Defensive rebound by M. Gortat,,58-55,,
6:58.0,Turnover by M. Morris (bad pass),,58-55,,
6:58.0,,,58-55,,Milwaukee full timeout
6:41.0,,,58-55,,Turnover by E. Bledsoe (bad pass)
6:18.0,J. Wall misses 2-pt shot from 2 ft,,58-55,,
6:17.0,,,58-55,,Defensive rebound by J. Henson
6:07.0,,,58-57,2,K. Middleton makes 2-pt shot from 15 ft
5:46.0,M. Gortat misses 2-pt shot at rim (block by J. Henson),,58-57,,
5:41.0,,,58-57,,Defensive rebound by J. Henson
5:32.0,,,58-57,,G. Antetokounmpo misses 2-pt shot from 9 ft
5:31.0,Defensive rebound by M. Gortat,,58-57,,
5:31.0,,,58-57,,Personal foul by G. Antetokounmpo (drawn by M. Gortat)
5:31.0,,,58-57,,G. Payton enters the game for E. Bledsoe
5:18.0,,,58-57,,Personal foul by G. Payton (drawn by J. Wall)
5:09.0,J. Wall makes 2-pt shot from 1 ft,2,60-57,,
5:09.0,Shooting foul by G. Payton (drawn by J. Wall),,60-57,,
5:09.0,J. Wall misses free throw 1 of 1,,60-57,,
5:02.0,Offensive rebound by M. Morris,,60-57,,
5:02.0,M. Morris makes 2-pt shot at rim,2,62-57,,
4:46.0,,,62-59,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
4:21.0,O. Porter misses 3-pt shot from 25 ft,,62-59,,
4:20.0,,,62-59,,Defensive rebound by G. Antetokounmpo
4:07.0,,,62-59,,Turnover by G. Payton (step out of bounds)
4:07.0,,,62-59,,T. Maker enters the game for J. Henson
4:07.0,T. Frazier enters the game for J. Wall,,62-59,,
3:43.0,Turnover by O. Porter (bad pass; steal by T. Maker),,62-59,,
3:40.0,,,62-61,2,G. Payton makes 2-pt shot at rim (assist by G. Antetokounmpo)
3:18.0,O. Porter makes 2-pt shot at rim (assist by M. Gortat),2,64-61,,
3:04.0,,,64-61,,G. Antetokounmpo misses 3-pt shot from 26 ft
3:04.0,Defensive rebound by M. Morris,,64-61,,
2:49.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,66-61,,
2:29.0,,,66-63,2,G. Antetokounmpo makes 2-pt shot from 8 ft
2:11.0,M. Gortat misses 2-pt shot from 10 ft,,66-63,,
2:08.0,,,66-63,,Defensive rebound by K. Middleton
2:06.0,,,66-63,,Shooting foul by B. Beal (drawn by G. Antetokounmpo)
2:06.0,Washington full timeout,,66-63,,
2:06.0,,,66-63,,D. Liggins enters the game for T. Snell
2:06.0,K. Oubre enters the game for M. Morris,,66-63,,
2:06.0,,,66-64,1,G. Antetokounmpo makes free throw 1 of 2
2:06.0,,,66-64,,G. Antetokounmpo misses free throw 2 of 2
2:03.0,Defensive rebound by M. Gortat,,66-64,,
1:43.0,T. Frazier misses 2-pt shot from 16 ft,,66-64,,
1:42.0,Offensive rebound by M. Gortat,,66-64,,
1:32.0,B. Beal makes 2-pt shot at rim,2,68-64,,
1:19.0,,,68-64,,T. Maker misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by M. Gortat,,68-64,,
1:11.0,B. Beal makes 2-pt shot from 1 ft,2,70-64,,
0:46.0,,,70-64,,G. Antetokounmpo misses 2-pt shot from 11 ft
0:44.0,Defensive rebound by Team,,70-64,,
0:44.0,,,70-64,,M. Brogdon enters the game for K. Middleton
0:36.0,B. Beal makes 3-pt shot from 27 ft,3,73-64,,
0:21.0,,,73-66,2,G. Payton makes 2-pt shot from 1 ft (assist by D. Liggins)
0:00.0,O. Porter misses 2-pt shot from 19 ft,,73-66,,
0:00.0,Offensive rebound by Team,,73-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Meeks misses 3-pt shot from 28 ft,,73-66,,
11:35.0,,,73-66,,Defensive rebound by G. Antetokounmpo
11:32.0,,,73-66,,Shooting foul by I. Mahinmi (drawn by G. Antetokounmpo)
11:32.0,,,73-67,1,G. Antetokounmpo makes free throw 1 of 2
11:32.0,,,73-67,,G. Antetokounmpo misses free throw 2 of 2
11:29.0,Defensive rebound by T. Frazier,,73-67,,
11:13.0,T. Frazier makes 2-pt shot at rim,2,75-67,,
11:05.0,,,75-67,,G. Antetokounmpo misses 2-pt shot from 3 ft
11:03.0,Defensive rebound by I. Mahinmi,,75-67,,
10:47.0,J. Meeks makes 2-pt shot from 1 ft (assist by O. Porter),2,77-67,,
10:45.0,,,77-67,,Milwaukee full timeout
10:45.0,,,77-67,,E. Bledsoe enters the game for G. Payton
10:24.0,,,77-67,,G. Antetokounmpo misses 2-pt shot from 2 ft
10:24.0,Defensive rebound by O. Porter,,77-67,,
10:24.0,Offensive foul by I. Mahinmi (drawn by E. Bledsoe),,77-67,,
10:24.0,Turnover by I. Mahinmi (offensive foul),,77-67,,
10:12.0,,,77-69,2,E. Bledsoe makes 2-pt shot from 11 ft
9:56.0,J. Meeks makes 2-pt shot at rim (assist by T. Frazier),2,79-69,,
9:56.0,Shooting foul by T. Maker (drawn by J. Meeks),,79-69,,
9:56.0,,,79-69,,K. Middleton enters the game for G. Antetokounmpo
9:56.0,J. Meeks makes free throw 1 of 1,1,80-69,,
9:48.0,Personal foul by I. Mahinmi (drawn by T. Maker),,80-69,,
9:37.0,,,80-69,,D. Liggins misses 2-pt shot from 18 ft
9:34.0,Defensive rebound by O. Porter,,80-69,,
9:30.0,K. Oubre makes 2-pt shot from 1 ft,2,82-69,,
9:30.0,Shooting foul by T. Maker (drawn by K. Oubre),,82-69,,
9:30.0,K. Oubre makes free throw 1 of 1,1,83-69,,
9:14.0,,,83-69,,Shooting foul by J. Meeks (drawn by K. Middleton)
9:14.0,,,83-70,1,K. Middleton makes free throw 1 of 2
9:14.0,,,83-70,,K. Middleton misses free throw 2 of 2
9:10.0,Defensive rebound by O. Porter,,83-70,,
8:48.0,K. Oubre makes 2-pt shot from 15 ft (assist by J. Meeks),2,85-70,,
8:30.0,,,85-70,,K. Middleton misses 3-pt shot from 26 ft
8:26.0,Defensive rebound by I. Mahinmi,,85-70,,
8:24.0,Shooting foul by M. Brogdon (drawn by J. Meeks),,85-70,,
8:24.0,J. Meeks makes free throw 1 of 2,1,86-70,,
8:24.0,,,86-70,,T. Snell enters the game for D. Liggins
8:24.0,B. Beal enters the game for O. Porter,,86-70,,
8:24.0,J. Meeks misses free throw 2 of 2,,86-70,,
8:21.0,,,86-70,,Defensive rebound by T. Maker
8:16.0,Personal block foul by T. Frazier (drawn by K. Middleton),,86-70,,
8:06.0,,,86-72,2,K. Middleton makes 2-pt shot from 11 ft
8:06.0,,,86-72,,Shooting foul by T. Frazier (drawn by K. Middleton)
8:06.0,J. Wall enters the game for T. Frazier,,86-72,,
8:06.0,,,86-73,1,K. Middleton makes free throw 1 of 1
7:42.0,B. Beal misses 3-pt shot from 23 ft,,86-73,,
7:42.0,Offensive rebound by Team,,86-73,,
7:41.0,Turnover by Team (shot clock),,86-73,,
7:18.0,,,86-73,,Shooting foul by J. Wall (drawn by T. Snell)
7:18.0,,,86-74,1,T. Snell makes free throw 1 of 2
7:18.0,,,86-74,,G. Antetokounmpo enters the game for T. Maker
7:18.0,,,86-74,,T. Snell misses free throw 2 of 2
7:10.0,,,86-74,,Offensive rebound by E. Bledsoe
7:10.0,,,86-74,,E. Bledsoe misses 2-pt shot at rim
7:09.0,Defensive rebound by I. Mahinmi,,86-74,,
6:59.0,,,86-74,,Personal foul by G. Antetokounmpo (drawn by B. Beal)
6:44.0,K. Oubre makes 3-pt shot from 27 ft (assist by J. Wall),3,89-74,,
6:38.0,,,89-74,,Offensive charge foul by K. Middleton (drawn by J. Wall)
6:38.0,,,89-74,,Turnover by K. Middleton (offensive foul)
6:14.0,B. Beal misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,89-74,,
6:14.0,Offensive rebound by Team,,89-74,,
6:14.0,Turnover by Team (shot clock),,89-74,,
6:02.0,,,89-74,,M. Brogdon misses 3-pt shot from 26 ft
5:58.0,Defensive rebound by K. Oubre,,89-74,,
5:51.0,,,89-74,,Personal foul by K. Middleton (drawn by K. Oubre)
5:51.0,K. Oubre makes free throw 1 of 2,1,90-74,,
5:51.0,K. Oubre makes free throw 2 of 2,1,91-74,,
5:40.0,,,91-74,,Shooting foul by I. Mahinmi (drawn by G. Antetokounmpo)
5:40.0,,,91-75,1,G. Antetokounmpo makes free throw 1 of 2
5:40.0,,,91-75,,J. Henson enters the game for M. Brogdon
5:40.0,M. Gortat enters the game for I. Mahinmi,,91-75,,
5:40.0,,,91-76,1,G. Antetokounmpo makes free throw 2 of 2
5:25.0,,,91-76,,Personal foul by J. Henson (drawn by M. Gortat)
5:25.0,M. Gortat misses free throw 1 of 2,,91-76,,
5:25.0,Offensive rebound by Team,,91-76,,
5:25.0,M. Gortat misses free throw 2 of 2,,91-76,,
5:19.0,,,91-76,,Defensive rebound by K. Middleton
5:14.0,,,91-76,,E. Bledsoe misses 2-pt shot from 13 ft
5:11.0,Defensive rebound by J. Meeks,,91-76,,
4:54.0,M. Gortat misses 2-pt shot from 5 ft (block by J. Henson),,91-76,,
4:51.0,,,91-76,,Defensive rebound by J. Henson
4:46.0,,,91-79,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by K. Middleton)
4:46.0,Washington full timeout,,91-79,,
4:46.0,O. Porter enters the game for K. Oubre,,91-79,,
4:28.0,M. Gortat makes 2-pt shot from 3 ft (assist by B. Beal),2,93-79,,
4:11.0,,,93-81,2,T. Snell makes 2-pt shot from 2 ft
3:47.0,J. Wall makes 2-pt shot from 1 ft,2,95-81,,
3:36.0,,,95-83,2,G. Antetokounmpo makes 2-pt shot from 1 ft
3:36.0,,,95-83,,Shooting foul by O. Porter (drawn by G. Antetokounmpo)
3:36.0,,,95-84,1,G. Antetokounmpo makes free throw 1 of 1
3:13.0,J. Wall misses 2-pt shot from 12 ft,,95-84,,
3:12.0,,,95-84,,Defensive rebound by J. Henson
2:52.0,,,95-84,,Turnover by E. Bledsoe (bad pass; steal by O. Porter)
2:32.0,B. Beal misses 2-pt shot from 15 ft (block by E. Bledsoe),,95-84,,
2:28.0,,,95-84,,Defensive rebound by J. Henson
2:25.0,,,95-84,,Turnover by T. Snell (bad pass)
2:25.0,M. Morris enters the game for J. Meeks,,95-84,,
2:03.0,B. Beal makes 2-pt shot from 5 ft (assist by O. Porter),2,97-84,,
1:55.0,,,97-86,2,G. Antetokounmpo makes 2-pt shot from 3 ft
1:33.0,Turnover by J. Wall (lost ball; steal by E. Bledsoe),,97-86,,
1:31.0,,,97-88,2,E. Bledsoe makes 2-pt shot at rim (assist by T. Snell)
1:08.0,Shooting foul by K. Middleton (drawn by J. Wall),,97-88,,
1:08.0,J. Wall makes free throw 1 of 2,1,98-88,,
1:08.0,J. Wall makes free throw 2 of 2,1,99-88,,
1:01.0,,,99-88,,T. Snell misses 3-pt shot from 22 ft
0:58.0,Defensive rebound by M. Gortat,,99-88,,
0:41.0,Turnover by M. Morris (traveling),,99-88,,
0:41.0,K. Oubre enters the game for J. Wall,,99-88,,
0:41.0,T. Frazier enters the game for B. Beal,,99-88,,
0:41.0,J. Meeks enters the game for O. Porter,,99-88,,
0:35.0,,,99-88,,K. Middleton misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by M. Morris,,99-88,,
0:12.0,M. Morris misses 3-pt shot from 28 ft,,99-88,,
0:09.0,,,99-88,,Defensive rebound by T. Snell
