time,Boston,pts.away,score,pts.home,Indiana
5:31.0,K. Irving misses 2-pt shot from 12 ft,,16-18,,
5:28.0,,,16-18,,Defensive rebound by M. Turner
5:07.0,,,16-21,3,M. Turner makes 3-pt shot from 28 ft (assist by D. Collison)
4:47.0,D. Theis misses 2-pt shot from 1 ft (block by T. Young),,16-21,,
4:46.0,Offensive rebound by Team,,16-21,,
4:46.0,,,16-21,,D. Sabonis enters the game for T. Young
4:46.0,A. Baynes enters the game for D. Theis,,16-21,,
4:44.0,A. Nader misses 2-pt shot from 1 ft (block by M. Turner),,16-21,,
4:41.0,,,16-21,,Defensive rebound by D. Collison
4:41.0,,,16-21,,Turnover by D. Collison (out of bounds lost ball)
4:33.0,A. Horford misses 2-pt shot from 1 ft,,16-21,,
4:31.0,,,16-21,,Defensive rebound by M. Turner
4:18.0,,,16-23,2,L. Stephenson makes 2-pt shot at rim (assist by D. Collison)
4:18.0,Boston full timeout,,16-23,,
4:06.0,K. Irving makes 2-pt shot from 1 ft,2,18-23,,
3:50.0,,,18-23,,D. Collison misses 2-pt shot from 20 ft
3:47.0,Defensive rebound by A. Baynes,,18-23,,
3:42.0,K. Irving misses 3-pt shot from 25 ft,,18-23,,
3:39.0,,,18-23,,Defensive rebound by M. Turner
3:31.0,,,18-23,,D. Collison misses 2-pt shot from 18 ft
3:28.0,Defensive rebound by M. Smart,,18-23,,
3:16.0,A. Horford misses 3-pt shot from 28 ft,,18-23,,
3:13.0,,,18-23,,Defensive rebound by M. Turner
2:58.0,,,18-25,2,L. Stephenson makes 2-pt shot from 17 ft
2:38.0,M. Smart makes 3-pt shot from 26 ft (assist by A. Horford),3,21-25,,
2:19.0,,,21-25,,B. Bogdanovic misses 3-pt shot from 27 ft
2:17.0,Defensive rebound by K. Irving,,21-25,,
2:17.0,,,21-25,,Personal take foul by D. Collison (drawn by K. Irving)
2:17.0,,,21-25,,C. Joseph enters the game for D. Collison
2:17.0,T. Rozier enters the game for K. Irving,,21-25,,
2:17.0,S. Ojeleye enters the game for A. Horford,,21-25,,
2:07.0,A. Baynes makes 2-pt shot from 1 ft (assist by M. Smart),2,23-25,,
1:52.0,Shooting block foul by A. Baynes (drawn by D. Sabonis),,23-25,,
1:52.0,,,23-26,1,D. Sabonis makes free throw 1 of 2
1:52.0,,,23-26,,D. Wilkins enters the game for B. Bogdanovic
1:52.0,,,23-27,1,D. Sabonis makes free throw 2 of 2
1:35.0,M. Smart makes 2-pt shot from 15 ft,2,25-27,,
1:11.0,,,25-29,2,D. Sabonis makes 2-pt shot from 1 ft (assist by C. Joseph)
1:02.0,M. Smart misses 3-pt shot from 27 ft,,25-29,,
0:59.0,,,25-29,,Defensive rebound by D. Sabonis
0:45.0,,,25-29,,Offensive charge foul by D. Sabonis (drawn by M. Smart)
0:45.0,,,25-29,,Turnover by D. Sabonis (offensive foul)
0:31.0,T. Rozier makes 2-pt shot from 18 ft,2,27-29,,
0:06.0,,,27-32,3,L. Stephenson makes 3-pt shot from 27 ft
0:01.0,A. Baynes misses 3-pt shot from 31 ft,,27-32,,
0:01.0,Offensive rebound by Team,,27-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Turnover by A. Baynes (turnover),,27-32,,
11:29.0,,,27-32,,C. Joseph misses 2-pt shot from 16 ft
11:25.0,Defensive rebound by S. Ojeleye,,27-32,,
11:11.0,Turnover by A. Nader (bad pass; steal by J. Young),,27-32,,
11:04.0,,,27-32,,D. Wilkins misses 3-pt shot from 22 ft
11:00.0,,,27-32,,Offensive rebound by T. Young
11:00.0,,,27-32,,T. Young misses 2-pt shot from 2 ft
11:00.0,,,27-32,,Offensive rebound by Team
10:45.0,,,27-32,,T. Young misses 2-pt shot from 4 ft
10:42.0,,,27-32,,Offensive rebound by T. Young
10:28.0,,,27-35,3,D. Sabonis makes 3-pt shot from 26 ft (assist by J. Young)
10:02.0,A. Baynes makes 2-pt shot from 10 ft (assist by T. Rozier),2,29-35,,
9:51.0,,,29-38,3,T. Young makes 3-pt shot from 26 ft (assist by J. Young)
9:36.0,T. Rozier misses 2-pt shot from 17 ft,,29-38,,
9:32.0,,,29-38,,Defensive rebound by J. Young
9:24.0,,,29-38,,D. Sabonis misses 2-pt shot from 6 ft
9:21.0,Defensive rebound by S. Ojeleye,,29-38,,
9:16.0,S. Ojeleye misses 3-pt shot from 26 ft,,29-38,,
9:13.0,,,29-38,,Defensive rebound by D. Sabonis
9:05.0,,,29-40,2,J. Young makes 2-pt shot from 17 ft (assist by D. Sabonis)
9:03.0,Boston full timeout,,29-40,,
9:03.0,S. Larkin enters the game for A. Nader,,29-40,,
8:39.0,J. Tatum misses 2-pt shot from 15 ft,,29-40,,
8:36.0,,,29-40,,Defensive rebound by J. Young
8:29.0,,,29-40,,C. Joseph misses 2-pt shot from 18 ft
8:29.0,,,29-40,,Offensive rebound by D. Sabonis
8:13.0,,,29-40,,Turnover by T. Young (bad pass; steal by S. Ojeleye)
8:05.0,J. Tatum misses 3-pt shot from 26 ft,,29-40,,
8:02.0,,,29-40,,Defensive rebound by T. Young
7:48.0,,,29-42,2,D. Sabonis makes 2-pt shot from 9 ft
7:38.0,S. Ojeleye makes 3-pt shot from 23 ft (assist by T. Rozier),3,32-42,,
7:20.0,,,32-42,,Turnover by T. Young (bad pass)
7:20.0,,,32-42,,D. Collison enters the game for J. Young
7:20.0,K. Irving enters the game for T. Rozier,,32-42,,
7:20.0,D. Theis enters the game for A. Baynes,,32-42,,
7:07.0,Turnover by D. Theis (bad pass; steal by D. Wilkins),,32-42,,
7:03.0,,,32-42,,Turnover by D. Collison (lost ball; steal by D. Theis)
6:52.0,J. Tatum misses 3-pt shot from 23 ft,,32-42,,
6:48.0,Offensive rebound by K. Irving,,32-42,,
6:47.0,K. Irving makes 2-pt shot from 7 ft,2,34-42,,
6:27.0,,,34-44,2,D. Wilkins makes 2-pt shot from 11 ft
6:15.0,K. Irving misses 2-pt shot from 18 ft,,34-44,,
6:12.0,Offensive rebound by D. Theis,,34-44,,
6:12.0,D. Theis misses 2-pt shot at rim,,34-44,,
6:12.0,Offensive rebound by D. Theis,,34-44,,
6:12.0,,,34-44,,Personal foul by T. Young (drawn by D. Theis)
6:12.0,,,34-44,,B. Bogdanovic enters the game for D. Wilkins
6:05.0,J. Tatum misses 3-pt shot from 27 ft,,34-44,,
6:03.0,,,34-44,,Defensive rebound by Team
6:03.0,Loose ball foul by J. Tatum (drawn by B. Bogdanovic),,34-44,,
5:52.0,,,34-44,,C. Joseph misses 2-pt shot from 1 ft
5:49.0,,,34-44,,Offensive rebound by D. Sabonis
5:49.0,,,34-44,,D. Sabonis misses 2-pt shot at rim
5:49.0,Defensive rebound by J. Tatum,,34-44,,
5:35.0,Shooting foul by D. Collison (drawn by K. Irving),,34-44,,
5:35.0,K. Irving makes free throw 1 of 2,1,35-44,,
5:35.0,,,35-44,,M. Turner enters the game for C. Joseph
5:35.0,,,35-44,,L. Stephenson enters the game for D. Sabonis
5:35.0,A. Horford enters the game for S. Ojeleye,,35-44,,
5:35.0,K. Irving makes free throw 2 of 2,1,36-44,,
5:14.0,,,36-46,2,T. Young makes 2-pt shot at rim
5:00.0,Turnover by K. Irving (traveling),,36-46,,
5:00.0,S. Ojeleye enters the game for S. Larkin,,36-46,,
5:00.0,M. Smart enters the game for D. Theis,,36-46,,
4:46.0,,,36-46,,Offensive foul by M. Turner (drawn by K. Irving)
4:46.0,,,36-46,,Turnover by M. Turner (offensive foul)
4:34.0,M. Smart makes 2-pt shot from 22 ft (assist by A. Horford),2,38-46,,
4:15.0,,,38-48,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Collison)
4:07.0,Turnover by A. Horford (traveling),,38-48,,
3:46.0,,,38-48,,B. Bogdanovic misses 2-pt shot from 18 ft
3:43.0,Defensive rebound by A. Horford,,38-48,,
3:38.0,S. Ojeleye misses 3-pt shot from 23 ft,,38-48,,
3:35.0,,,38-48,,Defensive rebound by D. Collison
3:31.0,,,38-48,,Offensive charge foul by M. Turner (drawn by S. Ojeleye)
3:31.0,,,38-48,,Turnover by M. Turner (offensive foul)
3:31.0,,,38-48,,D. Sabonis enters the game for M. Turner
3:13.0,Turnover by M. Smart (bad pass; steal by D. Collison),,38-48,,
3:05.0,,,38-50,2,D. Sabonis makes 2-pt shot from 7 ft (assist by L. Stephenson)
2:44.0,S. Ojeleye misses 3-pt shot from 28 ft,,38-50,,
2:41.0,,,38-50,,Defensive rebound by L. Stephenson
2:37.0,Violation by J. Tatum (kicked ball),,38-50,,
2:37.0,,,38-50,,Indiana full timeout
2:37.0,,,38-50,,C. Joseph enters the game for D. Collison
2:37.0,A. Baynes enters the game for S. Ojeleye,,38-50,,
2:18.0,,,38-50,,L. Stephenson misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by M. Smart,,38-50,,
1:55.0,A. Horford misses 2-pt shot from 14 ft,,38-50,,
1:51.0,,,38-50,,Defensive rebound by L. Stephenson
1:39.0,,,38-50,,B. Bogdanovic misses 2-pt shot from 10 ft
1:37.0,Defensive rebound by A. Horford,,38-50,,
1:25.0,J. Tatum makes 2-pt shot from 1 ft (assist by M. Smart),2,40-50,,
1:25.0,Shooting foul by D. Sabonis (drawn by J. Tatum),,40-50,,
1:25.0,J. Tatum makes free throw 1 of 1,1,41-50,,
1:13.0,,,41-52,2,L. Stephenson makes 2-pt shot from 17 ft
1:01.0,K. Irving makes 2-pt shot from 7 ft,2,43-52,,
0:43.0,,,43-54,2,T. Young makes 2-pt shot from 1 ft (assist by C. Joseph)
0:36.0,K. Irving misses 3-pt shot from 28 ft,,43-54,,
0:33.0,,,43-54,,Defensive rebound by T. Young
0:24.0,,,43-54,,T. Young misses 3-pt shot from 26 ft
0:21.0,Defensive rebound by A. Baynes,,43-54,,
0:01.0,K. Irving makes 2-pt shot from 11 ft,2,45-54,,
0:00.0,,,45-54,,Turnover by B. Bogdanovic (lost ball; steal by K. Irving)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Horford makes 2-pt shot from 1 ft,2,47-54,,
11:19.0,,,47-56,2,B. Bogdanovic makes 2-pt shot from 7 ft (assist by T. Young)
11:02.0,A. Horford makes 3-pt shot from 28 ft (assist by K. Irving),3,50-56,,
10:44.0,,,50-56,,T. Young misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by A. Baynes,,50-56,,
10:33.0,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving),2,52-56,,
10:12.0,,,52-58,2,M. Turner makes 2-pt shot from 18 ft (assist by L. Stephenson)
10:01.0,Turnover by K. Irving (lost ball; steal by D. Collison),,52-58,,
9:54.0,Personal foul by M. Smart (drawn by M. Turner),,52-58,,
9:41.0,,,52-60,2,B. Bogdanovic makes 2-pt shot from 1 ft
9:29.0,J. Tatum misses 2-pt shot from 10 ft,,52-60,,
9:24.0,,,52-60,,Defensive rebound by L. Stephenson
9:09.0,,,52-60,,Turnover by L. Stephenson (bad pass; steal by M. Smart)
8:53.0,A. Horford misses 2-pt shot from 3 ft,,52-60,,
8:51.0,Offensive rebound by A. Horford,,52-60,,
8:42.0,Turnover by A. Baynes (bad pass; steal by D. Collison),,52-60,,
8:36.0,,,52-60,,D. Collison misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by M. Smart,,52-60,,
8:27.0,Turnover by M. Smart (bad pass; steal by T. Young),,52-60,,
8:21.0,,,52-60,,T. Young misses 3-pt shot from 28 ft
8:18.0,Defensive rebound by A. Baynes,,52-60,,
8:18.0,Boston full timeout,,52-60,,
7:59.0,J. Tatum makes 2-pt shot from 19 ft (assist by A. Horford),2,54-60,,
7:33.0,,,54-60,,T. Young misses 2-pt shot from 17 ft
7:31.0,,,54-60,,Offensive rebound by L. Stephenson
7:21.0,,,54-60,,L. Stephenson misses 2-pt shot from 2 ft (block by A. Horford)
7:17.0,Defensive rebound by J. Tatum,,54-60,,
7:16.0,Shooting foul by M. Turner (drawn by J. Tatum),,54-60,,
7:16.0,J. Tatum misses free throw 1 of 2,,54-60,,
7:16.0,Offensive rebound by Team,,54-60,,
7:16.0,,,54-60,,D. Sabonis enters the game for M. Turner
7:16.0,J. Tatum makes free throw 2 of 2,1,55-60,,
7:03.0,,,55-60,,Turnover by L. Stephenson (bad pass; steal by M. Smart)
7:00.0,M. Smart makes 2-pt shot at rim,2,57-60,,
6:53.0,,,57-60,,Indiana full timeout
6:35.0,,,57-62,2,T. Young makes 2-pt shot from 6 ft (assist by D. Collison)
6:12.0,J. Tatum misses 3-pt shot from 25 ft,,57-62,,
6:10.0,,,57-62,,Defensive rebound by Team
6:10.0,D. Theis enters the game for A. Baynes,,57-62,,
5:58.0,,,57-62,,D. Sabonis misses 2-pt shot from 1 ft
5:53.0,Defensive rebound by A. Horford,,57-62,,
5:45.0,D. Theis makes 2-pt shot at rim (assist by A. Horford),2,59-62,,
5:45.0,Shooting foul by D. Sabonis (drawn by D. Theis),,59-62,,
5:45.0,T. Rozier enters the game for K. Irving,,59-62,,
5:45.0,D. Theis makes free throw 1 of 1,1,60-62,,
5:23.0,,,60-62,,L. Stephenson misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by M. Smart,,60-62,,
5:04.0,T. Rozier makes 3-pt shot from 27 ft (assist by A. Horford),3,63-62,,
4:42.0,,,63-64,2,D. Collison makes 2-pt shot from 19 ft
4:28.0,A. Horford misses 2-pt shot from 21 ft,,63-64,,
4:25.0,,,63-64,,Defensive rebound by D. Collison
4:17.0,,,63-64,,Shooting foul by D. Theis (drawn by L. Stephenson)
4:17.0,,,63-65,1,L. Stephenson makes free throw 1 of 2
4:17.0,,,63-65,,C. Joseph enters the game for D. Collison
4:17.0,,,63-66,1,L. Stephenson makes free throw 2 of 2
4:05.0,A. Horford makes 3-pt shot from 26 ft (assist by M. Smart),3,66-66,,
3:50.0,,,66-66,,D. Sabonis misses 2-pt shot from 16 ft
3:47.0,Defensive rebound by T. Rozier,,66-66,,
3:34.0,Shooting foul by B. Bogdanovic (drawn by A. Horford),,66-66,,
3:34.0,A. Horford makes free throw 1 of 2,1,67-66,,
3:34.0,A. Horford makes free throw 2 of 2,1,68-66,,
3:16.0,,,68-66,,B. Bogdanovic misses 2-pt shot from 1 ft
3:13.0,Defensive rebound by D. Theis,,68-66,,
2:58.0,A. Horford makes 2-pt shot from 10 ft,2,70-66,,
2:40.0,,,70-66,,D. Sabonis misses 2-pt shot from 5 ft
2:36.0,Defensive rebound by D. Theis,,70-66,,
2:24.0,K. Irving enters the game for M. Smart,,70-66,,
2:22.0,Jump ball: L. Stephenson vs. J. Tatum (T. Rozier gains possession),,,,Jump ball: L. Stephenson vs. J. Tatum (T. Rozier gains possession)
2:17.0,T. Rozier makes 2-pt shot from 1 ft,2,72-66,,
2:10.0,,,72-66,,Indiana full timeout
2:10.0,,,72-66,,J. Young enters the game for L. Stephenson
2:10.0,S. Ojeleye enters the game for A. Horford,,72-66,,
1:53.0,,,72-66,,B. Bogdanovic misses 3-pt shot from 28 ft (block by D. Theis)
1:50.0,Defensive rebound by K. Irving,,72-66,,
1:45.0,J. Tatum makes 3-pt shot from 26 ft (assist by S. Ojeleye),3,75-66,,
1:20.0,,,75-68,2,C. Joseph makes 2-pt shot from 13 ft
1:07.0,T. Rozier makes 2-pt shot from 1 ft,2,77-68,,
1:07.0,Shooting foul by J. Young (drawn by T. Rozier),,77-68,,
1:07.0,,,77-68,,D. Wilkins enters the game for B. Bogdanovic
1:07.0,T. Rozier makes free throw 1 of 1,1,78-68,,
0:48.0,,,78-68,,J. Young misses 3-pt shot from 29 ft
0:48.0,Defensive rebound by Team,,78-68,,
0:46.0,Turnover by S. Ojeleye (bad pass),,78-68,,
0:46.0,,,78-68,,L. Stephenson enters the game for T. Young
0:33.0,,,78-68,,Shooting foul by J. Tatum (drawn by C. Joseph)
0:33.0,,,78-69,1,C. Joseph makes free throw 1 of 2
0:33.0,,,78-70,1,C. Joseph makes free throw 2 of 2
0:33.0,A. Nader enters the game for J. Tatum,,78-70,,
0:25.0,K. Irving makes 2-pt shot at rim,2,80-70,,
0:03.0,,,80-70,,Turnover by C. Joseph (step out of bounds)
0:03.0,M. Smart enters the game for A. Nader,,80-70,,
0:01.0,M. Smart makes 2-pt shot from 15 ft (assist by D. Theis),2,82-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,82-70,,J. Young misses 2-pt shot from 2 ft
11:40.0,,,82-70,,Offensive rebound by D. Sabonis
11:40.0,,,82-70,,D. Sabonis misses 2-pt shot at rim
11:39.0,,,82-70,,Offensive rebound by D. Wilkins
11:39.0,,,82-70,,Turnover by D. Wilkins (step out of bounds)
11:25.0,Turnover by K. Irving (bad pass; steal by D. Sabonis),,82-70,,
11:19.0,,,82-72,2,C. Joseph makes 2-pt shot at rim
11:04.0,D. Theis makes 2-pt shot from 16 ft (assist by K. Irving),2,84-72,,
10:42.0,,,84-72,,D. Sabonis misses 2-pt shot from 20 ft
10:38.0,Defensive rebound by K. Irving,,84-72,,
10:32.0,S. Ojeleye makes 3-pt shot from 27 ft (assist by K. Irving),3,87-72,,
10:24.0,,,87-74,2,D. Wilkins makes 2-pt shot from 1 ft (assist by J. Young)
10:08.0,T. Rozier makes 2-pt shot from 16 ft,2,89-74,,
9:55.0,,,89-76,2,J. Young makes 2-pt shot from 12 ft
9:32.0,K. Irving misses 2-pt shot from 15 ft,,89-76,,
9:29.0,,,89-76,,Defensive rebound by M. Turner
9:21.0,,,89-78,2,M. Turner makes 2-pt shot from 20 ft (assist by C. Joseph)
9:03.0,K. Irving makes 2-pt shot from 1 ft,2,91-78,,
8:47.0,,,91-78,,M. Turner misses 2-pt shot from 6 ft
8:46.0,,,91-78,,Offensive rebound by Team
8:46.0,Loose ball foul by D. Theis (drawn by D. Sabonis),,91-78,,
8:46.0,,,91-78,,D. Collison enters the game for J. Young
8:40.0,,,91-78,,Turnover by C. Joseph (bad pass; steal by T. Rozier)
8:34.0,K. Irving misses 3-pt shot from 30 ft,,91-78,,
8:30.0,,,91-78,,Defensive rebound by D. Sabonis
8:22.0,,,91-80,2,D. Collison makes 2-pt shot from 15 ft
8:04.0,S. Ojeleye misses 2-pt shot from 1 ft,,91-80,,
8:01.0,,,91-80,,Defensive rebound by M. Turner
7:55.0,,,91-80,,Shooting foul by D. Theis (drawn by D. Sabonis)
7:55.0,,,91-81,1,D. Sabonis makes free throw 1 of 2
7:55.0,,,91-81,,L. Stephenson enters the game for D. Wilkins
7:55.0,J. Tatum enters the game for K. Irving,,91-81,,
7:55.0,M. Smart enters the game for A. Nader,,91-81,,
7:55.0,,,91-82,1,D. Sabonis makes free throw 2 of 2
7:43.0,T. Rozier makes 3-pt shot from 27 ft,3,94-82,,
7:19.0,,,94-82,,D. Sabonis misses 3-pt shot from 27 ft
7:14.0,,,94-82,,Offensive rebound by L. Stephenson
7:10.0,,,94-82,,D. Collison misses 3-pt shot from 23 ft
7:05.0,,,94-82,,Offensive rebound by D. Sabonis
7:05.0,,,94-84,2,D. Sabonis makes 2-pt shot at rim
6:50.0,D. Theis misses 3-pt shot from 26 ft,,94-84,,
6:48.0,,,94-84,,Defensive rebound by L. Stephenson
6:36.0,,,94-84,,Shooting foul by D. Theis (drawn by D. Sabonis)
6:36.0,,,94-84,,Indiana full timeout
6:36.0,,,94-85,1,D. Sabonis makes free throw 1 of 2
6:36.0,A. Baynes enters the game for D. Theis,,94-85,,
6:36.0,A. Horford enters the game for S. Ojeleye,,94-85,,
6:36.0,,,94-86,1,D. Sabonis makes free throw 2 of 2
6:25.0,A. Baynes makes 2-pt shot from 1 ft (assist by M. Smart),2,96-86,,
6:03.0,,,96-88,2,D. Collison makes 2-pt shot from 19 ft
5:37.0,M. Smart makes 2-pt shot from 15 ft,2,98-88,,
5:18.0,,,98-88,,D. Collison misses 2-pt shot from 20 ft
5:15.0,Defensive rebound by M. Smart,,98-88,,
4:58.0,T. Rozier makes 2-pt shot from 8 ft,2,100-88,,
4:41.0,,,100-90,2,M. Turner makes 2-pt shot from 18 ft
4:21.0,T. Rozier misses 3-pt shot from 28 ft,,100-90,,
4:21.0,,,100-90,,Defensive rebound by Team
4:21.0,,,100-90,,Loose ball foul by C. Joseph (drawn by A. Horford)
4:21.0,,,100-90,,Turnover by C. Joseph (turnover)
4:21.0,,,100-90,,B. Bogdanovic enters the game for C. Joseph
4:21.0,K. Irving enters the game for T. Rozier,,100-90,,
4:09.0,Turnover by M. Smart (turnover),,100-90,,
3:45.0,,,100-90,,M. Turner misses 3-pt shot from 30 ft (block by A. Horford)
3:45.0,,,100-90,,Offensive rebound by Team
3:45.0,,,100-90,,Turnover by Team (shot clock)
3:30.0,K. Irving makes 2-pt shot at rim,2,102-90,,
3:30.0,,,102-90,,Indiana full timeout
3:30.0,,,102-90,,T. Young enters the game for D. Sabonis
3:22.0,Personal foul by A. Horford (drawn by M. Turner),,102-90,,
3:13.0,,,102-92,2,M. Turner makes 2-pt shot from 1 ft (assist by L. Stephenson)
3:13.0,,,102-92,,Shooting foul by A. Baynes (drawn by M. Turner)
3:13.0,,,102-93,1,M. Turner makes free throw 1 of 1
2:52.0,K. Irving misses 2-pt shot from 17 ft,,102-93,,
2:47.0,,,102-93,,Defensive rebound by T. Young
2:41.0,,,102-93,,D. Collison misses 3-pt shot from 23 ft
2:36.0,,,102-93,,Offensive rebound by D. Collison
2:33.0,,,102-93,,Turnover by M. Turner (lost ball; steal by A. Baynes)
2:14.0,A. Horford makes 2-pt shot from 15 ft,2,104-93,,
1:52.0,,,104-93,,T. Young misses 2-pt shot from 12 ft
1:49.0,Defensive rebound by M. Smart,,104-93,,
1:34.0,K. Irving makes 2-pt shot from 3 ft,2,106-93,,
1:18.0,,,106-93,,Shooting foul by K. Irving (drawn by M. Turner)
1:18.0,,,106-94,1,M. Turner makes free throw 1 of 2
1:18.0,,,106-95,1,M. Turner makes free throw 2 of 2
0:59.0,A. Horford misses 2-pt shot from 19 ft,,106-95,,
0:56.0,,,106-95,,Defensive rebound by D. Collison
0:51.0,,,106-98,3,M. Turner makes 3-pt shot from 28 ft (assist by L. Stephenson)
0:32.0,K. Irving makes 2-pt shot from 3 ft,2,108-98,,
0:32.0,,,108-98,,Indiana full timeout
0:32.0,,,108-98,,C. Joseph enters the game for T. Young
0:32.0,S. Ojeleye enters the game for A. Baynes,,108-98,,
0:28.0,,,108-98,,B. Bogdanovic misses 2-pt shot at rim (block by A. Horford)
0:25.0,Defensive rebound by S. Ojeleye,,108-98,,
0:04.0,Turnover by Team (shot clock),,108-98,,
