time,Detroit,pts.away,score,pts.home,Washington
8:41.0,,,10-10,,O. Porter misses 2-pt shot from 4 ft
8:37.0,Defensive rebound by S. Johnson,,10-10,,
8:30.0,Turnover by R. Jackson (bad pass; steal by O. Porter),,10-10,,
8:27.0,,,10-10,,Shooting foul by S. Johnson (drawn by O. Porter)
8:27.0,,,10-11,1,O. Porter makes free throw 1 of 2
8:27.0,J. Leuer enters the game for S. Johnson,,10-11,,
8:27.0,,,10-12,1,O. Porter makes free throw 2 of 2
8:15.0,Shooting foul by K. Oubre (drawn by A. Bradley),,10-12,,
8:15.0,A. Bradley misses free throw 1 of 2,,10-12,,
8:15.0,Offensive rebound by Team,,10-12,,
8:15.0,A. Bradley makes free throw 2 of 2,1,11-12,,
8:10.0,,,11-12,,Turnover by B. Beal (bad pass; steal by R. Jackson)
8:07.0,R. Jackson misses 2-pt shot from 2 ft (block by B. Beal),,11-12,,
8:07.0,,,11-12,,Defensive rebound by Team
7:55.0,,,11-14,2,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall)
7:38.0,,,11-14,,Personal foul by B. Beal (drawn by A. Bradley)
7:31.0,R. Jackson makes 2-pt shot from 1 ft,2,13-14,,
7:16.0,,,13-16,2,J. Wall makes 2-pt shot from 21 ft
7:00.0,A. Drummond misses 2-pt shot from 13 ft,,13-16,,
6:59.0,,,13-16,,Defensive rebound by K. Oubre
6:47.0,,,13-18,2,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat)
6:37.0,Detroit full timeout,,13-18,,
6:28.0,T. Harris misses 2-pt shot from 18 ft,,13-18,,
6:24.0,,,13-18,,Defensive rebound by J. Wall
6:23.0,,,13-18,,Turnover by J. Wall (bad pass)
6:13.0,T. Harris makes 2-pt shot from 18 ft,2,15-18,,
5:56.0,,,15-18,,Turnover by J. Wall (bad pass; steal by R. Jackson)
5:52.0,A. Bradley makes 3-pt shot from 23 ft (assist by R. Jackson),3,18-18,,
5:37.0,,,18-18,,K. Oubre misses 2-pt shot from 18 ft
5:34.0,Defensive rebound by A. Drummond,,18-18,,
5:25.0,Turnover by A. Bradley (bad pass),,18-18,,
5:16.0,Personal foul by R. Jackson (drawn by M. Gortat),,18-18,,
5:08.0,,,18-20,2,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal)
4:56.0,R. Jackson misses 3-pt shot from 26 ft,,18-20,,
4:53.0,,,18-20,,Defensive rebound by B. Beal
4:32.0,,,18-22,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
4:13.0,Turnover by A. Bradley (lost ball; steal by M. Gortat),,18-22,,
4:09.0,,,18-24,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
3:54.0,R. Jackson misses 2-pt shot from 12 ft,,18-24,,
3:53.0,Offensive rebound by A. Drummond,,18-24,,
3:53.0,A. Drummond makes 2-pt shot from 4 ft,2,20-24,,
3:53.0,Shooting foul by O. Porter (drawn by A. Drummond),,20-24,,
3:53.0,,,20-24,,M. Scott enters the game for B. Beal
3:53.0,,,20-24,,J. Meeks enters the game for O. Porter
3:53.0,L. Galloway enters the game for A. Bradley,,20-24,,
3:53.0,A. Drummond makes free throw 1 of 1,1,21-24,,
3:39.0,,,21-24,,Turnover by J. Wall (bad pass; steal by A. Drummond)
3:33.0,J. Leuer makes 2-pt shot from 2 ft (assist by T. Harris),2,23-24,,
3:22.0,,,23-24,,J. Meeks misses 2-pt shot from 21 ft
3:19.0,Defensive rebound by A. Drummond,,23-24,,
3:11.0,J. Leuer makes 2-pt shot from 10 ft (assist by R. Jackson),2,25-24,,
3:10.0,,,25-24,,Washington full timeout
3:10.0,I. Smith enters the game for R. Jackson,,25-24,,
2:50.0,,,25-24,,K. Oubre misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by L. Galloway,,25-24,,
2:43.0,I. Smith makes 2-pt shot at rim (assist by L. Galloway),2,27-24,,
2:30.0,,,27-26,2,J. Wall makes 2-pt shot from 2 ft
2:08.0,I. Smith misses 3-pt shot from 23 ft,,27-26,,
2:05.0,Offensive rebound by A. Drummond,,27-26,,
2:04.0,A. Drummond makes 2-pt shot from 5 ft,2,29-26,,
1:55.0,Personal foul by I. Smith (drawn by J. Wall),,29-26,,
1:55.0,,,29-26,,I. Mahinmi enters the game for J. Wall
1:55.0,,,29-26,,T. Frazier enters the game for M. Gortat
1:43.0,Personal foul by L. Galloway (drawn by I. Mahinmi),,29-26,,
1:43.0,,,29-27,1,I. Mahinmi makes free throw 1 of 2
1:43.0,E. Moreland enters the game for A. Drummond,,29-27,,
1:43.0,,,29-27,,I. Mahinmi misses free throw 2 of 2
1:40.0,Defensive rebound by T. Harris,,29-27,,
1:20.0,Turnover by E. Moreland (bad pass; steal by T. Frazier),,29-27,,
1:17.0,,,29-27,,Shooting foul by L. Galloway (drawn by M. Scott)
1:17.0,,,29-28,1,M. Scott makes free throw 1 of 2
1:17.0,,,29-29,1,M. Scott makes free throw 2 of 2
0:57.0,L. Galloway misses 3-pt shot from 25 ft,,29-29,,
0:55.0,,,29-29,,Defensive rebound by Team
0:46.0,,,29-29,,I. Mahinmi misses 2-pt shot from 6 ft
0:43.0,,,29-29,,Offensive rebound by K. Oubre
0:39.0,,,29-29,,K. Oubre misses 2-pt shot from 9 ft
0:36.0,Defensive rebound by I. Smith,,29-29,,
0:31.0,I. Smith makes 2-pt shot from 11 ft,2,31-29,,
0:21.0,,,31-29,,Turnover by T. Frazier (bad pass; steal by I. Smith)
0:00.0,T. Harris misses 2-pt shot from 15 ft,,31-29,,
0:00.0,Offensive rebound by Team,,31-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Personal foul by L. Kennard (drawn by M. Scott),,31-29,,
11:45.0,,,31-29,,Turnover by T. Frazier (bad pass)
11:26.0,L. Kennard makes 2-pt shot from 16 ft (assist by I. Smith),2,33-29,,
11:19.0,Personal foul by E. Moreland (drawn by I. Mahinmi),,33-29,,
11:08.0,,,33-31,2,O. Porter makes 2-pt shot from 17 ft (assist by T. Frazier)
10:45.0,I. Smith makes 2-pt shot from 18 ft (assist by J. Leuer),2,35-31,,
10:32.0,,,35-31,,J. Meeks misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by Team,,35-31,,
10:08.0,L. Kennard makes 2-pt shot from 20 ft (assist by I. Smith),2,37-31,,
9:56.0,,,37-31,,T. Frazier misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by J. Leuer,,37-31,,
9:44.0,L. Galloway makes 3-pt shot from 25 ft (assist by I. Smith),3,40-31,,
9:42.0,,,40-31,,Washington full timeout
9:26.0,,,40-31,,O. Porter misses 2-pt shot from 14 ft
9:21.0,Defensive rebound by L. Galloway,,40-31,,
9:18.0,Turnover by I. Smith (lost ball; steal by J. Meeks),,40-31,,
9:12.0,,,40-33,2,O. Porter makes 2-pt shot from 1 ft (assist by T. Frazier)
9:02.0,Turnover by I. Smith (bad pass; steal by T. Frazier),,40-33,,
8:59.0,,,40-35,2,O. Porter makes 2-pt shot at rim (assist by T. Frazier)
8:35.0,L. Kennard makes 2-pt shot from 11 ft,2,42-35,,
8:20.0,,,42-37,2,M. Scott makes 2-pt shot from 13 ft
8:02.0,L. Galloway makes 2-pt shot from 6 ft,2,44-37,,
7:42.0,,,44-37,,O. Porter misses 2-pt shot from 15 ft
7:39.0,Defensive rebound by E. Moreland,,44-37,,
7:24.0,L. Kennard makes 3-pt shot from 28 ft,3,47-37,,
7:06.0,,,47-37,,Turnover by T. Frazier (bad pass; steal by L. Kennard)
7:01.0,I. Smith misses 2-pt shot from 1 ft,,47-37,,
7:00.0,,,47-37,,Defensive rebound by O. Porter
6:54.0,,,47-39,2,I. Mahinmi makes 2-pt shot at rim (assist by T. Frazier)
6:37.0,Turnover by L. Kennard (lost ball; steal by O. Porter),,47-39,,
6:33.0,,,47-41,2,O. Porter makes 2-pt shot at rim
6:26.0,Detroit full timeout,,47-41,,
6:26.0,,,47-41,,M. Gortat enters the game for T. Frazier
6:26.0,,,47-41,,K. Oubre enters the game for J. Meeks
6:26.0,,,47-41,,J. Wall enters the game for I. Mahinmi
6:26.0,,,47-41,,B. Beal enters the game for O. Porter
6:26.0,A. Drummond enters the game for L. Galloway,,47-41,,
6:26.0,A. Bradley enters the game for I. Smith,,47-41,,
6:26.0,R. Jackson enters the game for E. Moreland,,47-41,,
6:20.0,J. Leuer misses 2-pt shot from 2 ft,,47-41,,
6:17.0,,,47-41,,Defensive rebound by J. Wall
6:07.0,,,47-41,,M. Gortat misses 2-pt shot from 6 ft
6:06.0,Defensive rebound by Team,,47-41,,
6:06.0,,,47-41,,Personal foul by M. Gortat (drawn by J. Leuer)
5:47.0,R. Jackson misses 2-pt shot from 4 ft (block by M. Scott),,47-41,,
5:47.0,Offensive rebound by Team,,47-41,,
5:45.0,J. Leuer makes 2-pt shot from 13 ft (assist by R. Jackson),2,49-41,,
5:22.0,,,49-41,,Turnover by J. Wall (bad pass; steal by L. Kennard)
5:18.0,A. Bradley makes 2-pt shot from 1 ft (assist by L. Kennard),2,51-41,,
4:56.0,,,51-41,,B. Beal misses 2-pt shot from 11 ft
4:53.0,Defensive rebound by A. Drummond,,51-41,,
4:45.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,53-41,,
4:21.0,,,53-43,2,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall)
4:07.0,J. Leuer misses 2-pt shot from 11 ft,,53-43,,
4:04.0,,,53-43,,Defensive rebound by K. Oubre
3:54.0,,,53-45,2,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall)
3:54.0,Violation by A. Drummond (def goaltending),,53-45,,
3:46.0,Turnover by R. Jackson (bad pass; steal by J. Wall),,53-45,,
3:41.0,,,53-47,2,M. Scott makes 2-pt shot at rim (assist by J. Wall)
3:25.0,Shooting foul by B. Beal (drawn by A. Bradley),,53-47,,
3:25.0,A. Bradley makes free throw 1 of 2,1,54-47,,
3:25.0,,,54-47,,O. Porter enters the game for M. Scott
3:25.0,T. Harris enters the game for J. Leuer,,54-47,,
3:25.0,A. Bradley makes free throw 2 of 2,1,55-47,,
3:13.0,,,55-49,2,O. Porter makes 2-pt shot from 5 ft (assist by J. Wall)
2:55.0,L. Kennard makes 2-pt shot from 2 ft,2,57-49,,
2:38.0,,,57-51,2,O. Porter makes 2-pt shot from 13 ft (assist by J. Wall)
2:22.0,T. Harris makes 2-pt shot from 1 ft,2,59-51,,
2:22.0,Shooting foul by M. Gortat (drawn by T. Harris),,59-51,,
2:22.0,T. Harris makes free throw 1 of 1,1,60-51,,
2:06.0,,,60-51,,Shooting foul by A. Drummond (drawn by J. Wall)
2:06.0,,,60-51,,J. Wall misses free throw 1 of 2
2:06.0,,,60-51,,Offensive rebound by Team
2:06.0,,,60-52,1,J. Wall makes free throw 2 of 2
1:50.0,A. Bradley misses 3-pt shot from 26 ft,,60-52,,
1:43.0,Offensive rebound by A. Drummond,,60-52,,
1:43.0,A. Drummond misses 2-pt shot at rim,,60-52,,
1:43.0,Offensive rebound by A. Drummond,,60-52,,
1:40.0,A. Drummond misses 2-pt shot at rim,,60-52,,
1:39.0,Offensive rebound by T. Harris,,60-52,,
1:35.0,R. Jackson makes 3-pt shot from 26 ft (assist by L. Kennard),3,63-52,,
1:23.0,Personal foul by R. Jackson (drawn by B. Beal),,63-52,,
1:23.0,I. Smith enters the game for R. Jackson,,63-52,,
1:15.0,,,63-52,,Shooting foul by A. Drummond (drawn by K. Oubre)
1:15.0,,,63-53,1,K. Oubre makes free throw 1 of 2
1:15.0,E. Moreland enters the game for A. Drummond,,63-53,,
1:15.0,,,63-54,1,K. Oubre makes free throw 2 of 2
1:03.0,A. Bradley misses 2-pt shot from 18 ft,,63-54,,
1:00.0,,,63-54,,Defensive rebound by J. Wall
0:55.0,,,63-54,,Shooting foul by E. Moreland (drawn by B. Beal)
0:55.0,,,63-55,1,B. Beal makes free throw 1 of 2
0:55.0,,,63-56,1,B. Beal makes free throw 2 of 2
0:39.0,T. Harris misses 2-pt shot from 7 ft (block by J. Wall),,63-56,,
0:34.0,,,63-56,,Defensive rebound by B. Beal
0:33.0,,,63-58,2,B. Beal makes 2-pt shot from 17 ft
0:19.0,,,63-58,,Personal foul by K. Oubre (drawn by T. Harris)
0:08.0,L. Kennard misses 3-pt shot from 27 ft,,63-58,,
0:01.0,Offensive rebound by I. Smith,,63-58,,
0:00.0,I. Smith makes 2-pt shot from 14 ft,2,65-58,,
0:00.0,,,65-58,,K. Oubre misses 3-pt shot from 28 ft
0:00.0,,,65-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,65-60,2,J. Wall makes 2-pt shot from 18 ft
11:46.0,,,65-60,,Shooting foul by A. Bradley (drawn by J. Wall)
11:46.0,,,65-61,1,J. Wall makes free throw 1 of 1
11:31.0,T. Harris makes 2-pt shot from 12 ft,2,67-61,,
11:13.0,,,67-64,3,O. Porter makes 3-pt shot from 26 ft (assist by B. Beal)
10:54.0,R. Jackson misses 3-pt shot from 26 ft,,67-64,,
10:53.0,,,67-64,,Defensive rebound by Team
10:45.0,,,67-64,,Shooting foul by S. Johnson (drawn by M. Gortat)
10:45.0,,,67-64,,M. Gortat misses free throw 1 of 2
10:45.0,,,67-64,,Offensive rebound by Team
10:45.0,,,67-65,1,M. Gortat makes free throw 2 of 2
10:23.0,S. Johnson makes 2-pt shot from 19 ft (assist by A. Drummond),2,69-65,,
10:04.0,,,69-68,3,O. Porter makes 3-pt shot from 22 ft (assist by B. Beal)
9:42.0,Turnover by A. Bradley (bad pass; steal by O. Porter),,69-68,,
9:38.0,,,69-68,,O. Porter misses 2-pt shot from 1 ft
9:35.0,Defensive rebound by T. Harris,,69-68,,
9:32.0,R. Jackson misses 3-pt shot from 25 ft,,69-68,,
9:32.0,,,69-68,,Defensive rebound by K. Oubre
9:21.0,,,69-68,,Shooting foul by A. Drummond (drawn by J. Wall)
9:21.0,,,69-68,,J. Wall misses free throw 1 of 2
9:21.0,,,69-68,,Offensive rebound by Team
9:21.0,,,69-69,1,J. Wall makes free throw 2 of 2
9:03.0,A. Bradley misses 3-pt shot from 22 ft (block by B. Beal),,69-69,,
8:58.0,,,69-69,,Defensive rebound by M. Gortat
8:55.0,,,69-72,3,J. Wall makes 3-pt shot from 26 ft
8:53.0,Detroit full timeout,,69-72,,
8:31.0,Shooting foul by K. Oubre (drawn by S. Johnson),,69-72,,
8:31.0,S. Johnson makes free throw 1 of 2,1,70-72,,
8:31.0,S. Johnson misses free throw 2 of 2,,70-72,,
8:28.0,,,70-72,,Defensive rebound by M. Gortat
8:06.0,,,70-72,,Turnover by Team (shot clock)
7:50.0,,,70-72,,Personal foul by O. Porter (drawn by A. Bradley)
7:35.0,R. Jackson makes 3-pt shot from 25 ft (assist by A. Bradley),3,73-72,,
7:09.0,,,73-72,,O. Porter misses 2-pt shot from 8 ft
7:07.0,Defensive rebound by A. Drummond,,73-72,,
7:01.0,R. Jackson makes 2-pt shot from 1 ft,2,75-72,,
6:42.0,,,75-72,,J. Wall misses 2-pt shot from 16 ft
6:37.0,,,75-72,,Offensive rebound by O. Porter
6:36.0,,,75-72,,O. Porter misses 2-pt shot from 11 ft
6:33.0,Defensive rebound by S. Johnson,,75-72,,
6:22.0,A. Drummond misses 2-pt shot from 3 ft,,75-72,,
6:19.0,,,75-72,,Defensive rebound by O. Porter
6:16.0,,,75-75,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
5:58.0,A. Bradley misses 3-pt shot from 24 ft,,75-75,,
5:55.0,,,75-75,,Defensive rebound by M. Gortat
5:53.0,Personal foul by R. Jackson (drawn by J. Wall),,75-75,,
5:44.0,,,75-77,2,J. Wall makes 2-pt shot from 20 ft
5:17.0,A. Drummond misses 2-pt shot from 13 ft,,75-77,,
5:14.0,,,75-77,,Defensive rebound by K. Oubre
5:11.0,,,75-77,,Turnover by K. Oubre (turnover)
5:11.0,I. Smith enters the game for R. Jackson,,75-77,,
4:55.0,,,75-77,,Personal foul by B. Beal (drawn by A. Bradley)
4:42.0,I. Smith misses 2-pt shot from 14 ft,,75-77,,
4:39.0,,,75-77,,Defensive rebound by K. Oubre
4:35.0,,,75-79,2,J. Wall makes 2-pt shot from 1 ft
4:11.0,T. Harris misses 2-pt shot from 14 ft,,75-79,,
4:07.0,,,75-79,,Defensive rebound by O. Porter
4:03.0,,,75-79,,Turnover by B. Beal (lost ball; steal by T. Harris)
3:53.0,I. Smith misses 2-pt shot from 2 ft (block by O. Porter),,75-79,,
3:48.0,,,75-79,,Defensive rebound by M. Gortat
3:40.0,,,75-79,,B. Beal misses 2-pt shot from 7 ft
3:38.0,Defensive rebound by A. Drummond,,75-79,,
3:25.0,A. Bradley misses 2-pt shot from 17 ft,,75-79,,
3:22.0,,,75-79,,Defensive rebound by B. Beal
3:18.0,,,75-79,,J. Wall misses 3-pt shot from 26 ft
3:16.0,,,75-79,,Offensive rebound by O. Porter
3:16.0,Personal foul by T. Harris (drawn by M. Gortat),,75-79,,
3:16.0,,,75-79,,M. Gortat misses free throw 1 of 2
3:16.0,,,75-79,,Offensive rebound by Team
3:16.0,,,75-79,,M. Scott enters the game for O. Porter
3:16.0,,,75-79,,T. Frazier enters the game for J. Wall
3:16.0,,,75-80,1,M. Gortat makes free throw 2 of 2
3:01.0,A. Bradley makes 2-pt shot from 16 ft (assist by A. Drummond),2,77-80,,
2:59.0,,,77-80,,Washington full timeout
2:59.0,L. Kennard enters the game for A. Drummond,,77-80,,
2:59.0,J. Leuer enters the game for S. Johnson,,77-80,,
2:59.0,E. Moreland enters the game for T. Harris,,77-80,,
2:48.0,,,77-82,2,B. Beal makes 2-pt shot from 1 ft
2:48.0,,,77-82,,Shooting foul by J. Leuer (drawn by B. Beal)
2:48.0,,,77-83,1,B. Beal makes free throw 1 of 1
2:35.0,I. Smith makes 2-pt shot from 2 ft,2,79-83,,
2:35.0,Shooting foul by T. Frazier (drawn by I. Smith),,79-83,,
2:35.0,I. Smith misses free throw 1 of 1,,79-83,,
2:32.0,,,79-83,,Defensive rebound by M. Gortat
2:20.0,,,79-83,,B. Beal misses 2-pt shot from 16 ft
2:14.0,Defensive rebound by E. Moreland,,79-83,,
2:00.0,L. Kennard misses 3-pt shot from 24 ft,,79-83,,
1:56.0,,,79-83,,Defensive rebound by T. Frazier
1:54.0,Personal foul by A. Bradley (drawn by B. Beal),,79-83,,
1:54.0,,,79-84,1,B. Beal makes free throw 1 of 2
1:54.0,,,79-84,,I. Mahinmi enters the game for K. Oubre
1:54.0,,,79-84,,J. Meeks enters the game for M. Gortat
1:54.0,L. Galloway enters the game for A. Bradley,,79-84,,
1:54.0,,,79-85,1,B. Beal makes free throw 2 of 2
1:42.0,L. Kennard misses 3-pt shot from 24 ft,,79-85,,
1:38.0,Offensive rebound by I. Smith,,79-85,,
1:37.0,Turnover by I. Smith (out of bounds lost ball),,79-85,,
1:26.0,,,79-88,3,J. Meeks makes 3-pt shot from 26 ft (assist by M. Scott)
1:13.0,I. Smith makes 2-pt shot from 2 ft,2,81-88,,
1:13.0,Shooting foul by T. Frazier (drawn by I. Smith),,81-88,,
1:13.0,I. Smith misses free throw 1 of 1,,81-88,,
1:11.0,,,81-88,,Defensive rebound by I. Mahinmi
1:01.0,,,81-88,,Shooting foul by L. Galloway (drawn by J. Meeks)
1:01.0,,,81-89,1,J. Meeks makes free throw 1 of 3
1:01.0,,,81-90,1,J. Meeks makes free throw 2 of 3
1:01.0,,,81-91,1,J. Meeks makes free throw 3 of 3
0:47.0,I. Smith misses 3-pt shot from 24 ft,,81-91,,
0:44.0,,,81-91,,Defensive rebound by J. Meeks
0:36.0,,,81-91,,B. Beal misses 2-pt shot from 20 ft
0:33.0,Defensive rebound by Team,,81-91,,
0:22.0,Turnover by L. Kennard (bad pass; steal by I. Mahinmi),,81-91,,
0:02.0,,,81-91,,B. Beal misses 2-pt shot from 5 ft
0:02.0,Defensive rebound by E. Moreland,,81-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,I. Smith misses 2-pt shot from 17 ft,,81-91,,
11:39.0,,,81-91,,Defensive rebound by O. Porter
11:28.0,,,81-94,3,J. Meeks makes 3-pt shot from 25 ft (assist by I. Mahinmi)
11:08.0,Offensive charge foul by E. Moreland (drawn by J. Meeks),,81-94,,
11:08.0,Turnover by E. Moreland (offensive foul),,81-94,,
11:08.0,A. Drummond enters the game for L. Galloway,,81-94,,
11:08.0,R. Jackson enters the game for I. Smith,,81-94,,
11:08.0,S. Johnson enters the game for E. Moreland,,81-94,,
10:48.0,,,81-94,,T. Frazier misses 2-pt shot from 17 ft
10:44.0,,,81-94,,Offensive rebound by I. Mahinmi
10:44.0,,,81-96,2,I. Mahinmi makes 2-pt shot at rim
10:44.0,Detroit full timeout,,81-96,,
10:29.0,Shooting foul by I. Mahinmi (drawn by R. Jackson),,81-96,,
10:29.0,R. Jackson makes free throw 1 of 2,1,82-96,,
10:29.0,R. Jackson makes free throw 2 of 2,1,83-96,,
10:16.0,,,83-98,2,M. Scott makes 2-pt shot from 2 ft (assist by I. Mahinmi)
10:01.0,R. Jackson misses 2-pt shot from 3 ft,,83-98,,
10:01.0,,,83-98,,Defensive rebound by Team
10:01.0,Offensive charge foul by A. Drummond (drawn by I. Mahinmi),,83-98,,
10:01.0,Turnover by A. Drummond (offensive foul),,83-98,,
9:55.0,Personal foul by A. Drummond (drawn by I. Mahinmi),,83-98,,
9:51.0,,,83-98,,Turnover by O. Porter (out of bounds lost ball)
9:28.0,R. Jackson misses 3-pt shot from 26 ft,,83-98,,
9:24.0,,,83-98,,Defensive rebound by O. Porter
9:16.0,,,83-98,,J. Meeks misses 2-pt shot from 17 ft
9:15.0,,,83-98,,Offensive rebound by I. Mahinmi
9:15.0,Personal foul by A. Drummond (drawn by I. Mahinmi),,83-98,,
9:15.0,T. Harris enters the game for A. Drummond,,83-98,,
9:06.0,,,83-98,,M. Scott misses 2-pt shot from 16 ft
9:03.0,Defensive rebound by R. Jackson,,83-98,,
8:53.0,R. Jackson makes 2-pt shot from 1 ft,2,85-98,,
8:44.0,,,85-98,,Turnover by J. Meeks (bad pass; steal by S. Johnson)
8:41.0,S. Johnson makes 2-pt shot from 2 ft,2,87-98,,
8:30.0,,,87-98,,T. Frazier misses 3-pt shot from 26 ft
8:30.0,Defensive rebound by S. Johnson,,87-98,,
8:21.0,R. Jackson makes 3-pt shot from 28 ft (assist by S. Johnson),3,90-98,,
8:19.0,,,90-98,,Washington full timeout
8:19.0,,,90-98,,J. Wall enters the game for T. Frazier
8:19.0,,,90-98,,M. Gortat enters the game for J. Meeks
8:19.0,,,90-98,,B. Beal enters the game for I. Mahinmi
8:19.0,A. Bradley enters the game for L. Kennard,,90-98,,
7:56.0,,,90-98,,Turnover by J. Wall (lost ball; steal by R. Jackson)
7:53.0,R. Jackson makes 2-pt shot from 1 ft,2,92-98,,
7:37.0,,,92-98,,M. Gortat misses 2-pt shot from 6 ft
7:35.0,Defensive rebound by Team,,92-98,,
7:23.0,Shooting foul by M. Gortat (drawn by T. Harris),,92-98,,
7:23.0,T. Harris makes free throw 1 of 2,1,93-98,,
7:23.0,,,93-98,,K. Oubre enters the game for M. Scott
7:23.0,T. Harris makes free throw 2 of 2,1,94-98,,
7:10.0,,,94-98,,O. Porter misses 3-pt shot from 23 ft
7:05.0,Defensive rebound by R. Jackson,,94-98,,
7:03.0,J. Leuer makes 2-pt shot at rim (assist by R. Jackson),2,96-98,,
6:51.0,,,96-98,,Turnover by J. Wall (bad pass; steal by R. Jackson)
6:48.0,Shooting foul by B. Beal (drawn by T. Harris),,96-98,,
6:48.0,T. Harris makes free throw 1 of 2,1,97-98,,
6:48.0,,,97-98,,Washington full timeout
6:48.0,T. Harris misses free throw 2 of 2,,97-98,,
6:45.0,,,97-98,,Defensive rebound by M. Gortat
6:34.0,Personal foul by T. Harris (drawn by B. Beal),,97-98,,
6:28.0,,,97-100,2,B. Beal makes 2-pt shot from 10 ft
6:17.0,,,97-100,,Personal foul by J. Wall (drawn by R. Jackson)
6:10.0,Turnover by R. Jackson (lost ball; steal by K. Oubre),,97-100,,
6:08.0,,,97-100,,Shooting foul by A. Bradley (drawn by J. Wall)
6:08.0,,,97-101,1,J. Wall makes free throw 2 of 2
6:08.0,,,97-102,1,J. Wall makes free throw 1 of 2
5:48.0,J. Leuer misses 2-pt shot from 4 ft,,97-102,,
5:47.0,,,97-102,,Defensive rebound by B. Beal
5:38.0,,,97-102,,J. Wall misses 2-pt shot from 20 ft
5:38.0,,,97-102,,Offensive rebound by M. Gortat
5:33.0,,,97-102,,B. Beal misses 3-pt shot from 28 ft
5:33.0,,,97-102,,Offensive rebound by M. Gortat
5:30.0,,,97-102,,B. Beal misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by Team,,97-102,,
5:30.0,,,97-102,,Loose ball foul by M. Gortat (drawn by J. Leuer)
5:30.0,J. Leuer makes free throw 2 of 2,1,98-102,,
5:30.0,J. Leuer makes free throw 1 of 2,1,99-102,,
5:19.0,,,99-102,,Turnover by J. Wall (bad pass; steal by A. Bradley)
5:13.0,A. Bradley makes 3-pt shot from 27 ft,3,102-102,,
4:57.0,,,102-102,,J. Wall misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by Team,,102-102,,
4:55.0,,,102-102,,Loose ball foul by M. Gortat (drawn by S. Johnson)
4:55.0,S. Johnson makes free throw 2 of 2,1,103-102,,
4:55.0,S. Johnson makes free throw 1 of 2,1,104-102,,
4:40.0,,,104-102,,B. Beal misses 2-pt shot from 16 ft
