time,Brooklyn,pts.away,score,pts.home,Washington
3:12.0,A. Crabbe makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,96-102,,
2:49.0,,,96-102,,Shooting foul by R. Hollis-Jefferson (drawn by M. Gortat)
2:49.0,,,96-102,,M. Gortat misses free throw 1 of 2
2:49.0,,,96-102,,Offensive rebound by Team
2:49.0,,,96-103,1,M. Gortat makes free throw 2 of 2
2:42.0,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,99-103,,
2:18.0,,,99-105,2,M. Gortat makes 2-pt shot from 7 ft (assist by B. Beal)
2:04.0,S. Dinwiddie makes 3-pt shot from 26 ft (assist by A. Crabbe),3,102-105,,
1:48.0,,,102-105,,Turnover by J. Wall (bad pass; steal by A. Crabbe)
1:45.0,C. LeVert makes 2-pt shot from 2 ft (assist by A. Crabbe),2,104-105,,
1:45.0,,,104-105,,Washington full timeout
1:32.0,,,104-105,,J. Wall misses 2-pt shot from 1 ft
1:28.0,,,104-105,,Offensive rebound by M. Gortat
1:28.0,,,104-105,,M. Gortat misses 2-pt shot at rim
1:27.0,Defensive rebound by S. Dinwiddie,,104-105,,
1:21.0,Jump ball: B. Beal vs. S. Dinwiddie (R. Hollis-Jefferson gains possession),,,,Jump ball: B. Beal vs. S. Dinwiddie (R. Hollis-Jefferson gains possession)
1:19.0,Offensive charge foul by C. LeVert (drawn by O. Porter),,104-105,,
1:19.0,Turnover by C. LeVert (offensive foul),,104-105,,
1:06.0,,,104-105,,B. Beal misses 2-pt shot from 19 ft
1:01.0,Defensive rebound by S. Dinwiddie,,104-105,,
1:01.0,Brooklyn full timeout,,104-105,,
0:52.0,A. Crabbe misses 2-pt shot from 3 ft,,104-105,,
0:45.0,Offensive rebound by J. Allen,,104-105,,
0:45.0,J. Allen misses 2-pt shot at rim,,104-105,,
0:45.0,,,104-105,,Defensive rebound by B. Beal
0:32.0,,,104-105,,J. Wall misses 2-pt shot from 20 ft
0:32.0,Defensive rebound by J. Allen,,104-105,,
0:18.0,Turnover by R. Hollis-Jefferson (bad pass),,104-105,,
0:16.0,Personal take foul by S. Dinwiddie (drawn by J. Wall),,104-105,,
0:16.0,,,104-106,1,J. Wall makes free throw 1 of 2
0:16.0,,,104-107,1,J. Wall makes free throw 2 of 2
0:16.0,Brooklyn full timeout,,104-107,,
0:16.0,,,104-107,,K. Oubre enters the game for M. Gortat
0:16.0,Q. Acy enters the game for R. Hollis-Jefferson,,104-107,,
0:16.0,D. Carroll enters the game for J. Allen,,104-107,,
0:14.0,S. Dinwiddie misses 3-pt shot from 30 ft,,104-107,,
0:09.0,Offensive rebound by C. LeVert,,104-107,,
0:09.0,Q. Acy makes 3-pt shot from 25 ft (assist by C. LeVert),3,107-107,,
0:09.0,,,107-107,,Washington full timeout
0:09.0,,,107-107,,M. Gortat enters the game for K. Oubre
0:09.0,J. Allen enters the game for A. Crabbe,,107-107,,
0:09.0,R. Hollis-Jefferson enters the game for Q. Acy,,107-107,,
0:01.0,,,107-107,,J. Wall misses 2-pt shot from 14 ft
0:01.0,Defensive rebound by Team,,107-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: M. Gortat vs. J. Allen (M. Morris gains possession),,,,Jump ball: M. Gortat vs. J. Allen (M. Morris gains possession)
4:37.0,,,107-109,2,M. Gortat makes 2-pt shot from 11 ft (assist by J. Wall)
4:20.0,C. LeVert misses 2-pt shot from 8 ft (block by O. Porter),,107-109,,
4:15.0,Offensive rebound by C. LeVert,,107-109,,
4:13.0,S. Dinwiddie misses 3-pt shot from 27 ft,,107-109,,
4:13.0,Offensive rebound by C. LeVert,,107-109,,
4:06.0,Shooting foul by M. Gortat (drawn by J. Allen),,107-109,,
4:06.0,J. Allen makes free throw 1 of 2,1,108-109,,
4:06.0,J. Allen makes free throw 2 of 2,1,109-109,,
3:54.0,,,109-111,2,B. Beal makes 2-pt shot from 18 ft (assist by J. Wall)
3:39.0,Turnover by C. LeVert (bad pass; steal by B. Beal),,109-111,,
3:28.0,,,109-111,,J. Wall misses 2-pt shot from 4 ft (block by S. Dinwiddie)
3:28.0,,,109-111,,Offensive rebound by Team
3:26.0,,,109-114,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
2:59.0,Turnover by R. Hollis-Jefferson (bad pass; steal by M. Gortat),,109-114,,
2:37.0,,,109-114,,M. Gortat misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by S. Dinwiddie,,109-114,,
2:30.0,C. LeVert misses 3-pt shot from 26 ft,,109-114,,
2:30.0,,,109-114,,Defensive rebound by O. Porter
2:08.0,,,109-114,,J. Wall misses 2-pt shot at rim
2:08.0,,,109-114,,Offensive rebound by M. Gortat
2:04.0,,,109-114,,O. Porter misses 3-pt shot from 26 ft
2:04.0,Defensive rebound by J. Allen,,109-114,,
1:55.0,S. Dinwiddie misses 3-pt shot from 26 ft,,109-114,,
1:55.0,,,109-114,,Defensive rebound by Team
1:53.0,,,109-114,,Washington full timeout
1:34.0,,,109-114,,Washington full timeout
1:32.0,,,109-114,,B. Beal misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by C. LeVert,,109-114,,
1:16.0,Shooting foul by M. Morris (drawn by J. Allen),,109-114,,
1:16.0,J. Allen makes free throw 1 of 2,1,110-114,,
1:16.0,J. Allen makes free throw 2 of 2,1,111-114,,
0:58.0,,,111-114,,O. Porter misses 3-pt shot from 26 ft
0:55.0,,,111-114,,Offensive rebound by M. Gortat
0:39.0,,,111-116,2,J. Wall makes 2-pt shot from 16 ft
0:38.0,Brooklyn full timeout,,111-116,,
0:38.0,,,111-116,,K. Oubre enters the game for M. Gortat
0:34.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by C. LeVert),2,113-116,,
0:33.0,Personal take foul by R. Hollis-Jefferson (drawn by J. Wall),,113-116,,
0:17.0,,,113-118,2,J. Wall makes 2-pt shot from 17 ft
0:16.0,Brooklyn full timeout,,113-118,,
0:16.0,Q. Acy enters the game for R. Hollis-Jefferson,,113-118,,
0:16.0,D. Carroll enters the game for J. Allen,,113-118,,
0:14.0,S. Dinwiddie misses 3-pt shot from 27 ft,,113-118,,
0:10.0,Offensive rebound by Q. Acy,,113-118,,
0:09.0,S. Dinwiddie misses 3-pt shot from 25 ft,,113-118,,
0:07.0,,,113-118,,Defensive rebound by K. Oubre
0:07.0,Personal take foul by D. Carroll (drawn by K. Oubre),,113-118,,
0:07.0,,,113-118,,K. Oubre misses free throw 1 of 2
0:07.0,,,113-118,,Offensive rebound by Team
0:07.0,,,113-119,1,K. Oubre makes free throw 2 of 2
0:02.0,A. Crabbe misses 3-pt shot from 31 ft,,113-119,,
0:02.0,,,113-119,,Defensive rebound by B. Beal
