time,LA Lakers,pts.away,score,pts.home,Detroit
4:03.0,T. Wear enters the game for B. Lopez,,68-68,,
4:03.0,,,68-68,,J. Ennis enters the game for S. Johnson
3:53.0,,,68-68,,Personal foul by I. Smith (drawn by K. Caldwell-Pope)
3:42.0,Shooting foul by A. Drummond (drawn by J. Randle),,68-68,,
3:42.0,J. Randle makes free throw 1 of 2,1,69-68,,
3:42.0,J. Randle makes free throw 2 of 2,1,70-68,,
3:25.0,,,70-70,2,R. Bullock makes 2-pt shot from 10 ft
3:14.0,L. Ball makes 2-pt shot from 16 ft,2,72-70,,
3:00.0,,,72-72,2,R. Bullock makes 2-pt shot from 18 ft (assist by A. Drummond)
2:41.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,72-72,,
2:38.0,Offensive rebound by K. Caldwell-Pope,,72-72,,
2:38.0,K. Caldwell-Pope misses 2-pt shot at rim,,72-72,,
2:37.0,,,72-72,,Defensive rebound by R. Bullock
2:32.0,,,72-72,,J. Ennis misses 3-pt shot from 23 ft
2:29.0,Defensive rebound by L. Ball,,72-72,,
2:21.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,72-72,,
2:18.0,,,72-72,,Defensive rebound by J. Ennis
2:14.0,,,72-72,,Shooting foul by J. Randle (drawn by A. Tolliver)
2:14.0,,,72-73,1,A. Tolliver makes free throw 1 of 2
2:14.0,,,72-73,,L. Kennard enters the game for R. Bullock
2:14.0,T. Ennis enters the game for K. Kuzma,,72-73,,
2:14.0,,,72-74,1,A. Tolliver makes free throw 2 of 2
1:58.0,T. Ennis makes 2-pt shot from 16 ft (assist by L. Ball),2,74-74,,
1:39.0,,,74-74,,A. Drummond misses 2-pt shot from 6 ft
1:37.0,Defensive rebound by T. Wear,,74-74,,
1:27.0,J. Randle makes 2-pt shot from 5 ft,2,76-74,,
1:13.0,,,76-76,2,I. Smith makes 2-pt shot from 19 ft
0:54.0,L. Ball misses 2-pt shot from 21 ft,,76-76,,
0:51.0,,,76-76,,Defensive rebound by L. Kennard
0:45.0,,,76-78,2,J. Ennis makes 2-pt shot from 1 ft (assist by I. Smith)
0:37.0,Offensive foul by L. Ball (drawn by I. Smith),,76-78,,
0:37.0,Turnover by L. Ball (offensive foul),,76-78,,
0:37.0,C. Frye enters the game for J. Randle,,76-78,,
0:31.0,Personal foul by C. Frye (drawn by A. Drummond),,76-78,,
