time,Portland,pts.away,score,pts.home,Sacramento
6:44.0,N. Vonleh enters the game for C. Swanigan,,7-8,,
6:39.0,,,7-8,,D. Fox misses 2-pt shot from 5 ft
6:32.0,,,7-8,,Offensive rebound by S. Labissiere
6:32.0,,,7-8,,S. Labissiere misses 2-pt shot at rim
6:31.0,Defensive rebound by M. Harkless,,7-8,,
6:30.0,N. Vonleh makes 2-pt shot from 1 ft (assist by C. McCollum),2,9-8,,
6:30.0,Shooting foul by S. Labissiere (drawn by N. Vonleh),,9-8,,
6:30.0,N. Vonleh makes free throw 1 of 1,1,10-8,,
6:09.0,,,10-10,2,G. Temple makes 2-pt shot from 8 ft
5:47.0,E. Davis misses 2-pt shot from 5 ft,,10-10,,
5:45.0,Offensive rebound by N. Vonleh,,10-10,,
5:40.0,M. Harkless misses 3-pt shot from 25 ft,,10-10,,
5:40.0,,,10-10,,Defensive rebound by G. Hill
5:23.0,,,10-10,,D. Fox misses 2-pt shot from 18 ft
5:20.0,Defensive rebound by M. Harkless,,10-10,,
5:14.0,D. Lillard makes 3-pt shot from 27 ft,3,13-10,,
4:53.0,,,13-10,,G. Temple misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by E. Davis,,13-10,,
4:45.0,M. Harkless makes 2-pt shot from 1 ft (assist by C. McCollum),2,15-10,,
4:22.0,,,15-12,2,G. Hill makes 2-pt shot from 1 ft
4:20.0,,,15-12,,Shooting foul by E. Davis (drawn by G. Hill)
4:20.0,,,15-12,,W. Cauley-Stein enters the game for S. Labissiere
4:20.0,,,15-12,,K. Koufos enters the game for Z. Randolph
4:20.0,E. Turner enters the game for M. Harkless,,15-12,,
4:20.0,,,15-13,1,G. Hill makes free throw 1 of 1
4:08.0,D. Lillard makes 3-pt shot from 25 ft,3,18-13,,
3:44.0,,,18-15,2,K. Koufos makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
3:28.0,D. Lillard makes 2-pt shot from 11 ft,2,20-15,,
3:10.0,,,20-15,,G. Hill misses 2-pt shot from 8 ft
3:05.0,Defensive rebound by E. Davis,,20-15,,
2:54.0,D. Lillard misses 3-pt shot from 24 ft,,20-15,,
2:52.0,,,20-15,,Defensive rebound by W. Cauley-Stein
2:37.0,,,20-15,,G. Temple misses 2-pt shot from 17 ft
2:32.0,Defensive rebound by E. Davis,,20-15,,
2:29.0,Portland full timeout,,20-15,,
2:29.0,,,20-15,,F. Mason enters the game for G. Hill
2:29.0,,,20-15,,B. Bogdanovic enters the game for D. Fox
2:29.0,J. Layman enters the game for C. McCollum,,20-15,,
2:19.0,Turnover by E. Davis (bad pass; steal by G. Temple),,20-15,,
2:03.0,,,20-15,,B. Bogdanovic misses 2-pt shot from 11 ft
1:58.0,Defensive rebound by N. Vonleh,,20-15,,
1:51.0,E. Turner misses 2-pt shot from 3 ft,,20-15,,
1:45.0,Offensive rebound by E. Davis,,20-15,,
1:45.0,E. Davis misses 2-pt shot at rim,,20-15,,
1:44.0,,,20-15,,Defensive rebound by B. Bogdanovic
1:39.0,,,20-15,,G. Temple misses 2-pt shot from 2 ft
1:35.0,Defensive rebound by J. Layman,,20-15,,
1:19.0,E. Turner misses 2-pt shot from 15 ft,,20-15,,
1:19.0,,,20-15,,Defensive rebound by K. Koufos
1:08.0,,,20-15,,B. Bogdanovic misses 2-pt shot from 20 ft
1:05.0,Defensive rebound by J. Layman,,20-15,,
0:54.0,Turnover by D. Lillard (step out of bounds),,20-15,,
0:54.0,,,20-15,,B. Hield enters the game for G. Temple
0:54.0,M. Leonard enters the game for E. Davis,,20-15,,
0:42.0,,,20-17,2,B. Hield makes 2-pt shot from 16 ft (assist by K. Koufos)
0:30.0,D. Lillard misses 3-pt shot from 26 ft,,20-17,,
0:25.0,,,20-17,,Defensive rebound by W. Cauley-Stein
0:20.0,,,20-19,2,W. Cauley-Stein makes 2-pt shot from 21 ft (assist by B. Bogdanovic)
0:00.0,N. Vonleh misses 2-pt shot from 21 ft,,20-19,,
0:00.0,Offensive rebound by Team,,20-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,20-22,3,B. Hield makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
11:38.0,,,20-22,,Personal foul by F. Mason (drawn by S. Napier)
11:22.0,Turnover by E. Turner (bad pass; steal by B. Bogdanovic),,20-22,,
11:08.0,,,20-22,,B. Bogdanovic misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by M. Leonard,,20-22,,
10:50.0,S. Napier misses 3-pt shot from 22 ft,,20-22,,
10:50.0,,,20-22,,Defensive rebound by K. Koufos
10:33.0,,,20-22,,F. Mason misses 2-pt shot from 18 ft
10:33.0,Defensive rebound by N. Vonleh,,20-22,,
10:23.0,,,20-22,,Personal foul by B. Hield (drawn by E. Turner)
10:23.0,P. Connaughton enters the game for J. Layman,,20-22,,
10:16.0,,,20-22,,Personal foul by B. Bogdanovic (drawn by E. Turner)
10:08.0,,,20-22,,Def 3 sec tech foul by K. Koufos
10:08.0,E. Turner makes technical free throw,1,21-22,,
9:53.0,S. Napier misses 2-pt shot from 13 ft,,21-22,,
9:51.0,,,21-22,,Defensive rebound by B. Bogdanovic
9:37.0,,,21-24,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by F. Mason)
9:20.0,S. Napier misses 2-pt shot from 3 ft,,21-24,,
9:15.0,Offensive rebound by N. Vonleh,,21-24,,
9:14.0,M. Leonard misses 2-pt shot from 16 ft,,21-24,,
9:05.0,,,21-24,,Defensive rebound by B. Hield
9:04.0,,,21-27,2,B. Hield makes 3-pt shot from 25 ft (assist by K. Koufos)
9:04.0,Portland full timeout,,21-27,,
9:04.0,J. Nurkic enters the game for M. Leonard,,21-27,,
8:40.0,Turnover by N. Vonleh (bad pass; steal by B. Bogdanovic),,21-27,,
8:20.0,,,21-27,,W. Cauley-Stein misses 2-pt shot from 19 ft
8:17.0,Defensive rebound by P. Connaughton,,21-27,,
8:02.0,Turnover by E. Turner (lost ball; steal by W. Cauley-Stein),,21-27,,
7:51.0,,,21-27,,F. Mason misses 2-pt shot from 4 ft
7:45.0,,,21-27,,Offensive rebound by W. Cauley-Stein
7:45.0,,,21-29,2,W. Cauley-Stein makes 2-pt shot at rim
7:31.0,P. Connaughton misses 3-pt shot from 24 ft,,21-29,,
7:30.0,,,21-29,,Defensive rebound by Team
7:30.0,C. McCollum enters the game for P. Connaughton,,21-29,,
7:07.0,,,21-29,,F. Mason misses 2-pt shot from 10 ft
7:04.0,Defensive rebound by J. Nurkic,,21-29,,
6:58.0,S. Napier makes 2-pt shot from 16 ft,2,23-29,,
6:41.0,,,23-29,,B. Hield misses 2-pt shot from 11 ft
6:35.0,,,23-29,,Offensive rebound by W. Cauley-Stein
6:35.0,,,23-31,2,W. Cauley-Stein makes 2-pt shot from 2 ft
6:17.0,Turnover by C. McCollum (out of bounds lost ball),,23-31,,
6:17.0,M. Harkless enters the game for E. Turner,,23-31,,
6:17.0,P. Connaughton enters the game for N. Vonleh,,23-31,,
6:04.0,,,23-31,,F. Mason misses 2-pt shot from 12 ft
6:02.0,,,23-31,,Offensive rebound by K. Koufos
5:59.0,,,23-31,,B. Bogdanovic misses 3-pt shot from 25 ft
5:59.0,,,23-31,,Offensive rebound by W. Cauley-Stein
5:56.0,,,23-31,,W. Cauley-Stein misses 2-pt shot from 12 ft
5:56.0,,,23-31,,Offensive rebound by Team
5:56.0,Personal foul by S. Napier (drawn by K. Koufos),,23-31,,
5:34.0,,,23-31,,K. Koufos misses 2-pt shot from 4 ft
5:30.0,Defensive rebound by M. Harkless,,23-31,,
5:25.0,C. McCollum makes 2-pt shot from 20 ft,2,25-31,,
5:11.0,,,25-31,,Shooting foul by M. Harkless (drawn by W. Cauley-Stein)
5:11.0,,,25-31,,W. Cauley-Stein misses free throw 1 of 2
5:11.0,,,25-31,,Offensive rebound by Team
5:11.0,D. Lillard enters the game for S. Napier,,25-31,,
5:11.0,,,25-32,1,W. Cauley-Stein makes free throw 2 of 2
4:48.0,P. Connaughton misses 2-pt shot from 3 ft (block by K. Koufos),,25-32,,
4:48.0,Offensive rebound by Team,,25-32,,
4:44.0,C. McCollum misses 3-pt shot from 24 ft,,25-32,,
4:42.0,,,25-32,,Defensive rebound by F. Mason
4:30.0,,,25-32,,K. Koufos misses 2-pt shot from 6 ft
4:26.0,Defensive rebound by J. Nurkic,,25-32,,
4:18.0,M. Harkless makes 2-pt shot from 6 ft (assist by D. Lillard),2,27-32,,
4:17.0,,,27-32,,Sacramento full timeout
4:17.0,,,27-32,,D. Fox enters the game for W. Cauley-Stein
4:17.0,,,27-32,,S. Labissiere enters the game for F. Mason
4:05.0,,,27-32,,Turnover by D. Fox (bad pass; steal by C. McCollum)
3:59.0,Turnover by C. McCollum (out of bounds lost ball),,27-32,,
3:41.0,,,27-34,2,B. Bogdanovic makes 2-pt shot from 15 ft
3:27.0,,,27-34,,G. Hill enters the game for B. Bogdanovic
3:27.0,,,27-34,,G. Temple enters the game for B. Hield
3:18.0,P. Connaughton makes 3-pt shot from 22 ft (assist by D. Lillard),3,30-34,,
2:59.0,,,30-34,,S. Labissiere misses 2-pt shot from 12 ft
2:55.0,,,30-34,,Offensive rebound by G. Hill
2:49.0,,,30-34,,S. Labissiere misses 2-pt shot from 13 ft
2:46.0,Defensive rebound by D. Lillard,,30-34,,
2:45.0,,,30-34,,Personal foul by S. Labissiere (drawn by J. Nurkic)
2:45.0,,,30-34,,W. Cauley-Stein enters the game for S. Labissiere
2:45.0,S. Napier enters the game for P. Connaughton,,30-34,,
2:33.0,Turnover by J. Nurkic (bad pass),,30-34,,
2:12.0,,,30-36,2,D. Fox makes 2-pt shot from 15 ft
1:56.0,D. Lillard makes 3-pt shot from 27 ft,3,33-36,,
1:49.0,,,33-38,2,K. Koufos makes 2-pt shot from 1 ft (assist by D. Fox)
1:32.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard),2,35-38,,
1:19.0,,,35-40,2,G. Hill makes 2-pt shot from 2 ft (assist by G. Temple)
1:09.0,Shooting foul by G. Temple (drawn by D. Lillard),,35-40,,
1:09.0,D. Lillard makes free throw 1 of 2,1,36-40,,
1:09.0,,,36-40,,B. Bogdanovic enters the game for K. Koufos
1:09.0,E. Davis enters the game for J. Nurkic,,36-40,,
1:09.0,D. Lillard makes free throw 2 of 2,1,37-40,,
0:53.0,,,37-40,,W. Cauley-Stein misses 2-pt shot from 3 ft
0:51.0,Defensive rebound by E. Davis,,37-40,,
0:40.0,C. McCollum makes 2-pt shot from 7 ft,2,39-40,,
0:32.0,,,39-42,2,G. Hill makes 2-pt shot from 12 ft
0:09.0,C. McCollum misses 2-pt shot from 6 ft,,39-42,,
0:07.0,Offensive rebound by M. Harkless,,39-42,,
0:05.0,M. Harkless makes 2-pt shot from 6 ft,2,41-42,,
0:00.0,,,41-42,,G. Temple misses 3-pt shot from 26 ft
0:00.0,,,41-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,41-42,,Z. Randolph misses 2-pt shot from 13 ft
11:36.0,Defensive rebound by Team,,41-42,,
11:36.0,,,41-42,,Loose ball foul by Z. Randolph (drawn by J. Nurkic)
11:19.0,J. Nurkic misses 2-pt shot from 9 ft,,41-42,,
11:14.0,,,41-42,,Defensive rebound by S. Labissiere
11:05.0,Violation by J. Nurkic (kicked ball),,41-42,,
10:53.0,,,41-42,,S. Labissiere misses 2-pt shot from 15 ft
10:49.0,Defensive rebound by C. McCollum,,41-42,,
10:43.0,C. Swanigan misses 2-pt shot from 4 ft,,41-42,,
10:40.0,,,41-42,,Defensive rebound by Z. Randolph
10:36.0,,,41-42,,Turnover by D. Fox (lost ball; steal by C. Swanigan)
10:30.0,D. Lillard misses 2-pt shot from 6 ft,,41-42,,
10:30.0,Offensive rebound by C. Swanigan,,41-42,,
10:29.0,C. Swanigan makes 2-pt shot from 3 ft,2,43-42,,
10:17.0,Personal foul by M. Harkless (drawn by G. Hill),,43-42,,
10:07.0,,,43-44,2,G. Temple makes 2-pt shot from 16 ft (assist by S. Labissiere)
9:50.0,C. McCollum misses 2-pt shot from 7 ft,,43-44,,
9:47.0,,,43-44,,Defensive rebound by Z. Randolph
9:38.0,,,43-44,,Z. Randolph misses 2-pt shot from 20 ft
9:34.0,Defensive rebound by J. Nurkic,,43-44,,
9:29.0,,,43-44,,Personal foul by D. Fox (drawn by D. Lillard)
9:23.0,C. McCollum makes 2-pt shot from 2 ft,2,45-44,,
9:02.0,,,45-44,,G. Temple misses 2-pt shot from 18 ft
8:57.0,,,45-44,,Offensive rebound by D. Fox
8:56.0,,,45-44,,G. Hill misses 2-pt shot from 19 ft
8:56.0,,,45-44,,Offensive rebound by S. Labissiere
8:46.0,,,45-44,,S. Labissiere misses 2-pt shot at rim
8:45.0,Defensive rebound by C. Swanigan,,45-44,,
8:38.0,C. McCollum misses 3-pt shot from 25 ft,,45-44,,
8:35.0,,,45-44,,Defensive rebound by Z. Randolph
8:28.0,,,45-44,,G. Hill misses 2-pt shot from 12 ft
8:24.0,Defensive rebound by M. Harkless,,45-44,,
8:16.0,J. Nurkic misses 2-pt shot from 2 ft,,45-44,,
8:15.0,,,45-44,,Defensive rebound by Team
8:15.0,Loose ball foul by C. Swanigan (drawn by Z. Randolph),,45-44,,
8:06.0,,,45-46,2,S. Labissiere makes 2-pt shot from 18 ft (assist by D. Fox)
7:52.0,D. Lillard misses 3-pt shot from 29 ft,,45-46,,
7:52.0,,,45-46,,Defensive rebound by G. Temple
7:44.0,,,45-46,,Turnover by G. Temple (bad pass; steal by J. Nurkic)
7:39.0,C. McCollum misses 2-pt shot from 10 ft,,45-46,,
7:39.0,Offensive rebound by Team,,45-46,,
7:39.0,N. Vonleh enters the game for C. Swanigan,,45-46,,
7:32.0,D. Lillard misses 2-pt shot from 14 ft (block by D. Fox),,45-46,,
7:32.0,,,45-46,,Defensive rebound by Team
7:15.0,,,45-46,,Turnover by D. Fox (bad pass; steal by J. Nurkic)
7:15.0,,,45-46,,Personal foul by G. Hill (drawn by J. Nurkic)
6:59.0,N. Vonleh makes 2-pt shot from 1 ft (assist by J. Nurkic),2,47-46,,
6:43.0,Personal foul by M. Harkless (drawn by G. Temple),,47-46,,
6:43.0,,,47-46,,Sacramento full timeout
6:38.0,Personal foul by J. Nurkic (drawn by Z. Randolph),,47-46,,
6:31.0,,,47-46,,Turnover by Z. Randolph (traveling)
6:19.0,M. Harkless misses 2-pt shot from 6 ft (block by S. Labissiere),,47-46,,
6:16.0,,,47-46,,Defensive rebound by G. Hill
6:03.0,,,47-48,2,G. Hill makes 2-pt shot from 2 ft
5:48.0,N. Vonleh makes 2-pt shot from 19 ft (assist by D. Lillard),2,49-48,,
5:31.0,,,49-48,,S. Labissiere misses 2-pt shot from 5 ft
5:27.0,,,49-48,,Offensive rebound by S. Labissiere
5:26.0,,,49-48,,Turnover by S. Labissiere (bad pass; steal by M. Harkless)
5:20.0,C. McCollum misses 3-pt shot from 24 ft,,49-48,,
5:19.0,,,49-48,,Defensive rebound by Team
5:19.0,Personal foul by N. Vonleh (drawn by S. Labissiere),,49-48,,
5:19.0,,,49-48,,S. Labissiere misses free throw 1 of 2
5:19.0,,,49-48,,Offensive rebound by Team
5:19.0,,,49-48,,K. Koufos enters the game for Z. Randolph
5:19.0,E. Turner enters the game for M. Harkless,,49-48,,
5:19.0,,,49-49,1,S. Labissiere makes free throw 2 of 2
5:01.0,C. McCollum makes 2-pt shot from 17 ft,2,51-49,,
4:45.0,,,51-51,2,D. Fox makes 2-pt shot from 4 ft
4:30.0,Turnover by C. McCollum (bad pass; steal by G. Temple),,51-51,,
4:27.0,,,51-53,2,D. Fox makes 2-pt shot from 1 ft
4:25.0,Portland full timeout,,51-53,,
4:25.0,,,51-53,,W. Cauley-Stein enters the game for G. Hill
4:25.0,,,51-53,,B. Bogdanovic enters the game for S. Labissiere
4:25.0,E. Davis enters the game for J. Nurkic,,51-53,,
4:04.0,Shooting foul by D. Fox (drawn by C. McCollum),,51-53,,
4:04.0,C. McCollum makes free throw 1 of 2,1,52-53,,
4:04.0,C. McCollum misses free throw 2 of 2,,52-53,,
4:01.0,,,52-53,,Defensive rebound by W. Cauley-Stein
3:42.0,,,52-55,2,G. Temple makes 2-pt shot from 19 ft
3:31.0,Shooting foul by W. Cauley-Stein (drawn by D. Lillard),,52-55,,
3:31.0,D. Lillard makes free throw 1 of 2,1,53-55,,
3:31.0,,,53-55,,F. Mason enters the game for D. Fox
3:31.0,P. Connaughton enters the game for C. McCollum,,53-55,,
3:31.0,D. Lillard makes free throw 2 of 2,1,54-55,,
3:18.0,,,54-55,,W. Cauley-Stein misses 2-pt shot from 6 ft
3:13.0,Defensive rebound by E. Davis,,54-55,,
2:58.0,D. Lillard misses 2-pt shot from 3 ft,,54-55,,
2:55.0,,,54-55,,Defensive rebound by W. Cauley-Stein
2:54.0,,,54-57,2,G. Temple makes 2-pt shot from 4 ft
2:54.0,,,54-57,,Shooting foul by E. Turner (drawn by G. Temple)
2:54.0,,,54-58,1,G. Temple makes free throw 1 of 1
2:38.0,,,54-58,,Violation by W. Cauley-Stein (kicked ball)
2:33.0,D. Lillard misses 3-pt shot from 26 ft,,54-58,,
2:28.0,,,54-58,,Defensive rebound by G. Temple
2:27.0,,,54-58,,Turnover by G. Temple (palming)
2:04.0,Turnover by E. Davis (lost ball; steal by K. Koufos),,54-58,,
1:58.0,,,54-58,,Offensive charge foul by W. Cauley-Stein (drawn by N. Vonleh)
1:58.0,,,54-58,,Turnover by W. Cauley-Stein (offensive foul)
1:58.0,,,54-58,,B. Hield enters the game for G. Temple
1:43.0,N. Vonleh misses 2-pt shot from 21 ft,,54-58,,
1:42.0,Offensive rebound by Team,,54-58,,
1:42.0,,,54-58,,Personal foul by B. Hield (drawn by E. Davis)
1:42.0,E. Davis makes free throw 1 of 2,1,55-58,,
1:42.0,E. Davis makes free throw 2 of 2,1,56-58,,
1:22.0,,,56-60,2,K. Koufos makes 2-pt shot from 8 ft
1:06.0,N. Vonleh misses 2-pt shot from 6 ft,,56-60,,
1:03.0,Offensive rebound by N. Vonleh,,56-60,,
0:57.0,D. Lillard makes 2-pt shot from 2 ft,2,58-60,,
0:43.0,,,58-60,,W. Cauley-Stein misses 2-pt shot from 5 ft
0:40.0,Defensive rebound by E. Davis,,58-60,,
0:32.0,D. Lillard misses 2-pt shot from 4 ft,,58-60,,
0:29.0,,,58-60,,Defensive rebound by K. Koufos
0:24.0,,,58-60,,B. Hield misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by P. Connaughton,,58-60,,
0:03.0,D. Lillard makes 2-pt shot from 10 ft,2,60-60,,
0:00.0,,,60-60,,B. Bogdanovic misses 3-pt shot from 39 ft
0:00.0,,,60-60,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by C. McCollum (bad pass),,60-60,,
11:35.0,,,60-60,,B. Bogdanovic misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by E. Turner,,60-60,,
11:23.0,E. Turner misses 2-pt shot from 7 ft,,60-60,,
11:23.0,Offensive rebound by N. Vonleh,,60-60,,
11:17.0,C. McCollum makes 2-pt shot from 17 ft (assist by N. Vonleh),2,62-60,,
11:02.0,,,62-60,,F. Mason misses 2-pt shot from 19 ft
11:02.0,Defensive rebound by E. Turner,,62-60,,
10:49.0,E. Turner misses 2-pt shot from 18 ft,,62-60,,
10:46.0,,,62-60,,Defensive rebound by K. Koufos
10:30.0,,,62-62,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Bogdanovic)
10:04.0,Turnover by S. Napier (lost ball; steal by K. Koufos),,62-62,,
9:57.0,,,62-62,,Turnover by B. Hield (bad pass)
9:42.0,C. McCollum makes 2-pt shot from 2 ft,2,64-62,,
9:24.0,,,64-64,2,F. Mason makes 2-pt shot from 21 ft
8:57.0,N. Vonleh misses 2-pt shot from 5 ft,,64-64,,
8:56.0,,,64-64,,Defensive rebound by F. Mason
8:46.0,,,64-66,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by F. Mason)
8:46.0,Portland full timeout,,64-66,,
8:46.0,M. Harkless enters the game for N. Vonleh,,64-66,,
8:32.0,S. Napier misses 2-pt shot from 20 ft,,64-66,,
8:30.0,,,64-66,,Defensive rebound by K. Koufos
8:13.0,,,64-68,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by K. Koufos)
7:54.0,C. McCollum makes 2-pt shot from 12 ft,2,66-68,,
7:40.0,,,66-68,,Shooting foul by S. Napier (drawn by F. Mason)
7:40.0,,,66-69,1,F. Mason makes free throw 1 of 2
7:40.0,D. Lillard enters the game for E. Turner,,66-69,,
7:40.0,J. Nurkic enters the game for E. Davis,,66-69,,
7:40.0,,,66-70,1,F. Mason makes free throw 2 of 2
7:22.0,M. Harkless misses 2-pt shot from 6 ft,,66-70,,
7:20.0,,,66-70,,Defensive rebound by F. Mason
7:15.0,,,66-70,,B. Bogdanovic misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by C. McCollum,,66-70,,
6:59.0,Turnover by J. Nurkic (lost ball; steal by B. Hield),,66-70,,
6:53.0,,,66-70,,Turnover by B. Hield (lost ball; steal by C. McCollum)
6:52.0,,,66-70,,Personal foul by F. Mason (drawn by S. Napier)
6:52.0,,,66-70,,G. Hill enters the game for B. Hield
6:41.0,D. Lillard makes 3-pt shot from 26 ft (assist by S. Napier),3,69-70,,
6:27.0,,,69-72,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by F. Mason)
6:12.0,J. Nurkic misses 2-pt shot from 7 ft (block by W. Cauley-Stein),,69-72,,
6:09.0,,,69-72,,Defensive rebound by B. Bogdanovic
6:05.0,,,69-72,,Shooting foul by J. Nurkic (drawn by W. Cauley-Stein)
6:05.0,,,69-73,1,W. Cauley-Stein makes free throw 1 of 2
6:05.0,,,69-74,1,W. Cauley-Stein makes free throw 2 of 2
5:42.0,J. Nurkic makes 2-pt shot from 17 ft (assist by S. Napier),2,71-74,,
5:25.0,Personal foul by C. McCollum (drawn by G. Hill),,71-74,,
5:25.0,,,71-74,,Sacramento full timeout
5:25.0,E. Davis enters the game for M. Harkless,,71-74,,
5:12.0,,,71-76,2,G. Hill makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
4:59.0,,,71-76,,Personal foul by K. Koufos (drawn by D. Lillard)
4:44.0,D. Lillard misses 2-pt shot at rim (block by G. Hill),,71-76,,
4:44.0,,,71-76,,Defensive rebound by G. Hill
4:44.0,Turnover by Team (shot clock),,71-76,,
4:37.0,Personal foul by E. Davis (drawn by W. Cauley-Stein),,71-76,,
4:26.0,,,71-76,,W. Cauley-Stein misses 2-pt shot from 21 ft
4:22.0,Defensive rebound by J. Nurkic,,71-76,,
4:16.0,Shooting foul by G. Hill (drawn by E. Davis),,71-76,,
4:16.0,E. Davis makes free throw 1 of 2,1,72-76,,
4:16.0,,,72-76,,D. Fox enters the game for B. Bogdanovic
4:16.0,,,72-76,,G. Temple enters the game for F. Mason
4:16.0,E. Davis makes free throw 2 of 2,1,73-76,,
3:58.0,,,73-76,,W. Cauley-Stein misses 2-pt shot from 2 ft
3:52.0,,,73-76,,Offensive rebound by K. Koufos
3:52.0,,,73-78,2,K. Koufos makes 2-pt shot at rim
3:46.0,D. Lillard misses 2-pt shot from 9 ft,,73-78,,
3:42.0,Offensive rebound by E. Davis,,73-78,,
3:39.0,Turnover by E. Davis (bad pass; steal by K. Koufos),,73-78,,
3:39.0,,,73-78,,Turnover by G. Hill (bad pass; steal by D. Lillard)
3:39.0,,,73-78,,Loose ball foul by G. Hill (drawn by D. Lillard)
3:39.0,Portland full timeout,,73-78,,
3:31.0,D. Lillard misses 3-pt shot from 26 ft,,73-78,,
3:28.0,,,73-78,,Defensive rebound by W. Cauley-Stein
3:08.0,,,73-78,,G. Hill misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by J. Nurkic,,73-78,,
2:56.0,J. Nurkic misses 2-pt shot from 23 ft,,73-78,,
2:56.0,Offensive rebound by S. Napier,,73-78,,
2:48.0,S. Napier misses 3-pt shot from 25 ft,,73-78,,
2:45.0,,,73-78,,Defensive rebound by G. Temple
2:34.0,,,73-78,,D. Fox misses 2-pt shot from 10 ft
2:24.0,,,73-78,,Offensive rebound by W. Cauley-Stein
