time,Indiana,pts.away,score,pts.home,Utah
6:25.0,B. Bogdanovic makes 3-pt shot from 23 ft,3,17-12,,
6:24.0,,,17-12,,Utah full timeout
6:24.0,,,17-12,,R. Hood enters the game for R. Rubio
6:07.0,,,17-12,,D. Mitchell misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by T. Young,,17-12,,
6:00.0,V. Oladipo misses 2-pt shot from 18 ft,,17-12,,
5:57.0,Offensive rebound by D. Sabonis,,17-12,,
5:50.0,Shooting foul by J. Ingles (drawn by B. Bogdanovic),,17-12,,
5:50.0,B. Bogdanovic misses free throw 1 of 2,,17-12,,
5:50.0,Offensive rebound by Team,,17-12,,
5:50.0,,,17-12,,J. Johnson enters the game for J. Jerebko
5:50.0,B. Bogdanovic makes free throw 2 of 2,1,18-12,,
5:39.0,,,18-12,,R. Hood misses 2-pt shot from 11 ft
5:35.0,Defensive rebound by D. Sabonis,,18-12,,
5:25.0,D. Sabonis misses 2-pt shot from 3 ft,,18-12,,
5:23.0,,,18-12,,Defensive rebound by J. Johnson
5:17.0,,,18-14,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
5:17.0,,,18-14,,Shooting foul by D. Collison (drawn by D. Favors)
5:17.0,,,18-14,,D. Favors misses free throw 1 of 1
5:15.0,Defensive rebound by D. Sabonis,,18-14,,
5:05.0,D. Collison makes 2-pt shot from 19 ft,2,20-14,,
4:45.0,,,20-17,2,R. Hood makes 3-pt shot from 25 ft (assist by D. Mitchell)
4:23.0,T. Young misses 2-pt shot from 1 ft (block by D. Favors),,20-17,,
4:23.0,Offensive rebound by D. Sabonis,,20-17,,
4:23.0,D. Sabonis misses 2-pt shot from 3 ft,,20-17,,
4:22.0,Offensive rebound by D. Sabonis,,20-17,,
4:20.0,D. Sabonis misses 2-pt shot from 2 ft,,20-17,,
4:20.0,Offensive rebound by D. Sabonis,,20-17,,
4:17.0,D. Sabonis misses 2-pt shot from 2 ft,,20-17,,
4:17.0,Offensive rebound by D. Sabonis,,20-17,,
4:17.0,Turnover by D. Sabonis (lost ball; steal by J. Ingles),,20-17,,
4:03.0,,,20-17,,R. O'Neale enters the game for J. Ingles
4:03.0,C. Joseph enters the game for B. Bogdanovic,,20-17,,
3:54.0,,,20-17,,Turnover by J. Johnson (lost ball; steal by C. Joseph)
3:49.0,D. Collison makes 2-pt shot from 2 ft (assist by C. Joseph),2,22-17,,
3:34.0,,,22-17,,Turnover by R. Hood (bad pass; steal by C. Joseph)
3:28.0,D. Collison misses 3-pt shot from 22 ft,,22-17,,
3:25.0,,,22-17,,Defensive rebound by D. Favors
3:18.0,,,22-17,,Turnover by R. O'Neale (lost ball; steal by D. Collison)
3:18.0,,,22-17,,Personal foul by R. O'Neale (drawn by D. Collison)
3:18.0,,,22-17,,R. Neto enters the game for D. Favors
3:18.0,,,22-17,,E. Udoh enters the game for D. Mitchell
3:18.0,A. Jefferson enters the game for D. Sabonis,,22-17,,
3:03.0,V. Oladipo misses 3-pt shot from 25 ft,,22-17,,
3:01.0,,,22-17,,Defensive rebound by R. O'Neale
2:51.0,,,22-17,,R. Hood misses 3-pt shot from 23 ft
2:47.0,,,22-17,,Offensive rebound by E. Udoh
2:46.0,,,22-17,,R. Hood misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by V. Oladipo,,22-17,,
2:40.0,Shooting foul by R. O'Neale (drawn by V. Oladipo),,22-17,,
2:40.0,Indiana full timeout,,22-17,,
2:40.0,T. Leaf enters the game for D. Collison,,22-17,,
2:40.0,L. Stephenson enters the game for T. Young,,22-17,,
2:40.0,V. Oladipo makes free throw 1 of 2,1,23-17,,
2:40.0,V. Oladipo misses free throw 2 of 2,,23-17,,
2:38.0,,,23-17,,Defensive rebound by E. Udoh
2:19.0,,,23-19,2,J. Johnson makes 2-pt shot from 6 ft
2:06.0,V. Oladipo misses 2-pt shot from 18 ft,,23-19,,
2:03.0,,,23-19,,Defensive rebound by R. O'Neale
1:58.0,,,23-19,,R. Hood misses 3-pt shot from 23 ft
1:55.0,Defensive rebound by L. Stephenson,,23-19,,
1:40.0,T. Leaf misses 3-pt shot from 24 ft,,23-19,,
1:37.0,,,23-19,,Defensive rebound by R. Hood
1:32.0,,,23-19,,R. Hood misses 2-pt shot from 13 ft
1:29.0,Defensive rebound by T. Leaf,,23-19,,
1:20.0,V. Oladipo makes 3-pt shot from 23 ft (assist by C. Joseph),3,26-19,,
1:05.0,,,26-19,,Personal foul by R. Hood (drawn by V. Oladipo)
1:05.0,,,26-19,,Turnover by R. Hood (turnover)
1:05.0,J. Young enters the game for V. Oladipo,,26-19,,
0:47.0,T. Leaf misses 2-pt shot from 5 ft,,26-19,,
0:45.0,,,26-19,,Defensive rebound by R. O'Neale
0:38.0,,,26-19,,R. Hood misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by J. Young,,26-19,,
0:13.0,Shooting foul by E. Udoh (drawn by C. Joseph),,26-19,,
0:13.0,C. Joseph makes free throw 1 of 2,1,27-19,,
0:13.0,,,27-19,,D. Mitchell enters the game for R. O'Neale
0:13.0,C. Joseph makes free throw 2 of 2,1,28-19,,
0:03.0,,,28-21,2,D. Mitchell makes 2-pt shot from 4 ft
0:00.0,C. Joseph makes 3-pt shot from 32 ft,3,31-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Young makes 2-pt shot from 23 ft,2,33-21,,
11:21.0,,,33-21,,R. O'Neale misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by A. Jefferson,,33-21,,
11:01.0,A. Jefferson makes 2-pt shot from 2 ft (assist by L. Stephenson),2,35-21,,
10:42.0,,,35-21,,R. O'Neale misses 2-pt shot from 13 ft
10:36.0,,,35-21,,Offensive rebound by E. Udoh
10:36.0,,,35-23,2,E. Udoh makes 2-pt shot at rim
10:15.0,A. Jefferson misses 2-pt shot from 19 ft (block by E. Udoh),,35-23,,
10:13.0,,,35-23,,Defensive rebound by J. Johnson
10:03.0,,,35-23,,R. O'Neale misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by A. Jefferson,,35-23,,
9:53.0,J. Young makes 3-pt shot from 25 ft (assist by A. Jefferson),3,38-23,,
9:38.0,,,38-23,,R. Rubio misses 2-pt shot from 21 ft
9:36.0,Defensive rebound by A. Jefferson,,38-23,,
9:24.0,J. Young misses 2-pt shot from 14 ft (block by E. Udoh),,38-23,,
9:22.0,,,38-23,,Defensive rebound by R. Rubio
9:11.0,,,38-23,,R. Rubio misses 2-pt shot from 20 ft
9:08.0,Defensive rebound by T. Leaf,,38-23,,
9:00.0,Turnover by C. Joseph (bad pass; steal by R. Rubio),,38-23,,
8:59.0,Personal foul by L. Stephenson (drawn by R. Rubio),,38-23,,
8:59.0,,,38-23,,J. Jerebko enters the game for J. Johnson
8:44.0,,,38-25,2,R. Hood makes 2-pt shot from 10 ft
8:24.0,L. Stephenson misses 3-pt shot from 23 ft,,38-25,,
8:20.0,,,38-25,,Defensive rebound by E. Udoh
8:18.0,,,38-25,,Shooting foul by A. Jefferson (drawn by R. O'Neale)
8:18.0,,,38-25,,R. O'Neale misses free throw 1 of 2
8:18.0,,,38-25,,Offensive rebound by Team
8:18.0,,,38-25,,D. Mitchell enters the game for R. Hood
8:18.0,T. Young enters the game for T. Leaf,,38-25,,
8:18.0,,,38-26,1,R. O'Neale makes free throw 2 of 2
7:56.0,L. Stephenson misses 2-pt shot from 21 ft,,38-26,,
7:52.0,,,38-26,,Defensive rebound by J. Jerebko
7:40.0,,,38-29,3,R. O'Neale makes 3-pt shot from 25 ft
7:34.0,Indiana full timeout,,38-29,,
7:34.0,D. Sabonis enters the game for J. Young,,38-29,,
7:34.0,B. Bogdanovic enters the game for A. Jefferson,,38-29,,
7:22.0,T. Young misses 2-pt shot from 16 ft,,38-29,,
7:18.0,,,38-29,,Defensive rebound by R. O'Neale
7:13.0,,,38-31,2,R. O'Neale makes 2-pt shot from 3 ft
7:13.0,,,38-31,,Shooting foul by D. Sabonis (drawn by R. O'Neale)
7:13.0,,,38-32,1,R. O'Neale makes free throw 1 of 1
7:06.0,Turnover by D. Sabonis (bad pass; steal by E. Udoh),,38-32,,
6:59.0,,,38-35,3,J. Jerebko makes 3-pt shot from 23 ft (assist by R. O'Neale)
6:19.0,B. Bogdanovic misses 3-pt shot from 28 ft,,38-35,,
6:16.0,,,38-35,,Defensive rebound by R. Rubio
6:09.0,,,38-37,2,D. Mitchell makes 2-pt shot from 3 ft
5:54.0,,,38-37,,Violation by E. Udoh (kicked ball)
5:54.0,,,38-37,,D. Favors enters the game for E. Udoh
5:54.0,D. Collison enters the game for L. Stephenson,,38-37,,
5:54.0,V. Oladipo enters the game for C. Joseph,,38-37,,
5:41.0,D. Sabonis makes 2-pt shot from 21 ft (assist by D. Collison),2,40-37,,
5:21.0,Personal foul by V. Oladipo (drawn by D. Mitchell),,40-37,,
5:21.0,,,40-37,,J. Ingles enters the game for R. O'Neale
5:03.0,,,40-37,,J. Jerebko misses 2-pt shot from 10 ft
5:01.0,Defensive rebound by B. Bogdanovic,,40-37,,
4:46.0,V. Oladipo misses 3-pt shot from 23 ft,,40-37,,
4:44.0,Offensive rebound by D. Sabonis,,40-37,,
4:39.0,V. Oladipo makes 3-pt shot from 24 ft (assist by D. Collison),3,43-37,,
4:30.0,,,43-37,,Utah full timeout
4:30.0,,,43-37,,J. Johnson enters the game for J. Jerebko
4:19.0,,,43-37,,D. Mitchell misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by D. Collison,,43-37,,
4:04.0,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Sabonis),2,45-37,,
3:45.0,,,45-37,,R. Rubio misses 3-pt shot from 22 ft
3:42.0,Defensive rebound by V. Oladipo,,45-37,,
3:31.0,D. Sabonis makes 2-pt shot from 19 ft (assist by D. Collison),2,47-37,,
3:13.0,,,47-37,,J. Johnson misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by B. Bogdanovic,,47-37,,
2:57.0,T. Young makes 3-pt shot from 24 ft (assist by D. Collison),3,50-37,,
2:43.0,,,50-37,,Shooting foul by D. Sabonis (drawn by D. Mitchell)
2:43.0,,,50-38,1,D. Mitchell makes free throw 1 of 2
2:43.0,,,50-38,,R. O'Neale enters the game for R. Rubio
2:43.0,,,50-39,1,D. Mitchell makes free throw 2 of 2
2:32.0,T. Young makes 3-pt shot from 24 ft (assist by D. Collison),3,53-39,,
2:12.0,,,53-42,3,D. Mitchell makes 3-pt shot from 25 ft
1:51.0,Turnover by B. Bogdanovic (bad pass; steal by D. Mitchell),,53-42,,
1:38.0,,,53-42,,J. Ingles misses 3-pt shot from 23 ft
1:33.0,Defensive rebound by V. Oladipo,,53-42,,
1:29.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by V. Oladipo),3,56-42,,
1:14.0,,,56-44,2,D. Mitchell makes 2-pt shot from 12 ft
0:58.0,D. Sabonis misses 2-pt shot from 11 ft,,56-44,,
0:56.0,,,56-44,,Defensive rebound by R. O'Neale
0:46.0,,,56-44,,Shooting foul by D. Collison (drawn by D. Mitchell)
0:46.0,,,56-45,1,D. Mitchell makes free throw 1 of 3
0:46.0,A. Jefferson enters the game for D. Collison,,56-45,,
0:46.0,C. Joseph enters the game for D. Sabonis,,56-45,,
0:46.0,,,56-47,1,D. Mitchell makes free throw 3 of 3
0:46.0,,,56-46,1,D. Mitchell makes free throw 2 of 3
0:33.0,V. Oladipo makes 2-pt shot from 2 ft,2,58-47,,
0:19.0,,,58-47,,Turnover by J. Ingles (bad pass; steal by V. Oladipo)
0:00.0,Turnover by V. Oladipo (lost ball; steal by D. Favors),,58-47,,
0:00.0,,,58-47,,D. Favors misses 3-pt shot from 38 ft
0:00.0,,,58-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,V. Oladipo misses 2-pt shot from 16 ft,,58-47,,
11:39.0,,,58-47,,Defensive rebound by R. Rubio
11:25.0,,,58-47,,J. Jerebko misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by D. Collison,,58-47,,
11:15.0,V. Oladipo makes 2-pt shot from 21 ft (assist by D. Sabonis),2,60-47,,
10:59.0,,,60-47,,Turnover by D. Mitchell (bad pass)
10:47.0,B. Bogdanovic misses 2-pt shot from 4 ft,,60-47,,
10:45.0,Offensive rebound by T. Young,,60-47,,
10:44.0,T. Young makes 2-pt shot from 2 ft,2,62-47,,
10:33.0,,,62-47,,Turnover by D. Favors (step out of bounds)
10:15.0,Turnover by D. Sabonis (bad pass; steal by R. Rubio),,62-47,,
10:08.0,,,62-47,,D. Favors misses 2-pt shot from 15 ft
10:05.0,Defensive rebound by B. Bogdanovic,,62-47,,
9:58.0,Shooting foul by R. Rubio (drawn by V. Oladipo),,62-47,,
9:58.0,V. Oladipo makes free throw 1 of 2,1,63-47,,
9:58.0,V. Oladipo makes free throw 2 of 2,1,64-47,,
9:46.0,,,64-47,,D. Mitchell misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by D. Collison,,64-47,,
9:42.0,,,64-47,,Personal foul by R. Rubio (drawn by V. Oladipo)
9:30.0,V. Oladipo makes 3-pt shot from 25 ft,3,67-47,,
9:30.0,,,67-47,,Utah full timeout
9:09.0,,,67-47,,J. Jerebko misses 2-pt shot from 17 ft
9:05.0,Defensive rebound by V. Oladipo,,67-47,,
8:49.0,D. Collison misses 3-pt shot from 25 ft,,67-47,,
8:45.0,,,67-47,,Defensive rebound by J. Jerebko
8:40.0,,,67-47,,Turnover by J. Ingles (step out of bounds)
8:17.0,Turnover by D. Collison (bad pass; steal by D. Favors),,67-47,,
8:10.0,,,67-47,,R. Rubio misses 2-pt shot from 2 ft
8:07.0,,,67-47,,Offensive rebound by D. Favors
8:07.0,,,67-49,2,D. Favors makes 2-pt shot at rim
7:59.0,,,67-49,,Personal foul by D. Favors (drawn by D. Sabonis)
7:59.0,,,67-49,,J. Johnson enters the game for J. Ingles
7:59.0,,,67-49,,R. O'Neale enters the game for J. Jerebko
7:55.0,Shooting foul by D. Favors (drawn by V. Oladipo),,67-49,,
7:55.0,V. Oladipo makes free throw 1 of 2,1,68-49,,
7:55.0,V. Oladipo makes free throw 2 of 2,1,69-49,,
7:34.0,Personal foul by D. Collison (drawn by D. Favors),,69-49,,
7:27.0,,,69-52,3,D. Mitchell makes 3-pt shot from 22 ft
7:13.0,B. Bogdanovic misses 3-pt shot from 25 ft,,69-52,,
7:10.0,,,69-52,,Defensive rebound by D. Mitchell
7:04.0,,,69-54,2,D. Mitchell makes 2-pt shot from 1 ft
6:50.0,Turnover by T. Young (bad pass; steal by D. Favors),,69-54,,
6:45.0,Personal foul by V. Oladipo (drawn by D. Mitchell),,69-54,,
6:32.0,,,69-56,2,D. Mitchell makes 2-pt shot from 22 ft
6:26.0,Indiana full timeout,,69-56,,
6:26.0,C. Joseph enters the game for D. Collison,,69-56,,
6:13.0,D. Sabonis makes 2-pt shot from 2 ft (assist by V. Oladipo),2,71-56,,
6:13.0,Shooting foul by J. Johnson (drawn by D. Sabonis),,71-56,,
6:13.0,D. Sabonis makes free throw 1 of 1,1,72-56,,
6:03.0,,,72-56,,Turnover by R. O'Neale (out of bounds lost ball)
5:45.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by D. Sabonis),2,74-56,,
5:21.0,,,74-56,,D. Mitchell misses 3-pt shot from 23 ft
5:19.0,,,74-56,,Offensive rebound by Team
5:08.0,,,74-58,2,R. Rubio makes 2-pt shot from 21 ft
4:49.0,C. Joseph misses 2-pt shot from 20 ft,,74-58,,
4:45.0,,,74-58,,Defensive rebound by R. Rubio
4:28.0,,,74-58,,R. O'Neale misses 3-pt shot from 22 ft
4:26.0,Defensive rebound by T. Young,,74-58,,
4:11.0,D. Sabonis makes 2-pt shot from 21 ft (assist by V. Oladipo),2,76-58,,
4:09.0,,,76-58,,Utah full timeout
4:09.0,,,76-58,,A. Burks enters the game for R. Rubio
4:09.0,,,76-58,,R. Hood enters the game for R. O'Neale
3:55.0,,,76-60,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Mitchell)
3:47.0,Turnover by C. Joseph (turnover),,76-60,,
3:36.0,,,76-60,,D. Mitchell misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by Team,,76-60,,
3:36.0,A. Jefferson enters the game for D. Sabonis,,76-60,,
3:20.0,A. Jefferson makes 2-pt shot from 2 ft (assist by V. Oladipo),2,78-60,,
3:07.0,,,78-60,,A. Burks misses 2-pt shot from 14 ft
3:05.0,Defensive rebound by A. Jefferson,,78-60,,
2:48.0,C. Joseph makes 2-pt shot from 1 ft (assist by T. Young),2,80-60,,
2:27.0,,,80-62,2,R. Hood makes 2-pt shot from 4 ft
2:08.0,A. Jefferson misses 2-pt shot from 8 ft (block by D. Favors),,80-62,,
2:06.0,,,80-62,,Defensive rebound by A. Burks
1:59.0,,,80-62,,R. Hood misses 2-pt shot from 12 ft (block by T. Young)
1:57.0,Defensive rebound by T. Young,,80-62,,
1:55.0,T. Young makes 2-pt shot from 2 ft (assist by C. Joseph),2,82-62,,
1:40.0,,,82-62,,D. Mitchell misses 2-pt shot from 1 ft
1:38.0,Defensive rebound by A. Jefferson,,82-62,,
1:34.0,C. Joseph makes 3-pt shot from 24 ft (assist by V. Oladipo),3,85-62,,
1:06.0,,,85-62,,A. Burks misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by A. Jefferson,,85-62,,
0:50.0,T. Young misses 3-pt shot from 24 ft,,85-62,,
0:47.0,,,85-62,,Defensive rebound by D. Favors
0:29.0,,,85-62,,A. Burks misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by A. Jefferson,,85-62,,
0:09.0,V. Oladipo misses 3-pt shot from 25 ft,,85-62,,
0:06.0,,,85-62,,Defensive rebound by A. Burks
0:00.0,L. Stephenson enters the game for B. Bogdanovic,,85-62,,
0:00.0,,,85-64,2,J. Johnson makes 2-pt shot from 16 ft (assist by A. Burks)
0:00.0,,,85-64,,Shooting foul by C. Joseph (drawn by J. Johnson)
0:00.0,,,85-65,1,J. Johnson makes free throw 1 of 1
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,85-68,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Neto)
11:25.0,Turnover by A. Jefferson (lost ball; steal by E. Udoh),,85-68,,
11:16.0,Personal foul by D. Collison (drawn by E. Udoh),,85-68,,
11:09.0,,,85-68,,R. Neto misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by L. Stephenson,,85-68,,
10:56.0,Turnover by L. Stephenson (lost ball; steal by E. Udoh),,85-68,,
10:55.0,Personal foul by L. Stephenson (drawn by R. Hood),,85-68,,
10:48.0,,,85-68,,R. Hood misses 2-pt shot from 11 ft
10:43.0,Defensive rebound by A. Jefferson,,85-68,,
10:31.0,T. Leaf makes 3-pt shot from 25 ft (assist by D. Collison),3,88-68,,
10:08.0,,,88-70,2,R. Hood makes 2-pt shot from 11 ft
10:08.0,,,88-70,,Shooting foul by C. Joseph (drawn by R. Hood)
10:08.0,,,88-71,1,R. Hood makes free throw 1 of 1
9:55.0,L. Stephenson misses 2-pt shot from 2 ft (block by E. Udoh),,88-71,,
9:53.0,,,88-71,,Defensive rebound by R. Hood
9:47.0,,,88-71,,Shooting foul by A. Jefferson (drawn by E. Udoh)
9:47.0,,,88-72,1,E. Udoh makes free throw 1 of 2
9:47.0,,,88-72,,E. Udoh misses free throw 2 of 2
9:45.0,Defensive rebound by A. Jefferson,,88-72,,
9:27.0,Offensive charge foul by L. Stephenson (drawn by A. Burks),,88-72,,
9:27.0,Turnover by L. Stephenson (offensive foul),,88-72,,
9:15.0,,,88-75,3,R. Neto makes 3-pt shot from 23 ft (assist by J. Johnson)
8:47.0,T. Leaf misses 2-pt shot from 9 ft,,88-75,,
8:46.0,Offensive rebound by A. Jefferson,,88-75,,
8:45.0,A. Jefferson makes 2-pt shot from 3 ft,2,90-75,,
8:30.0,,,90-75,,J. Johnson misses 3-pt shot from 26 ft
8:26.0,Defensive rebound by T. Leaf,,90-75,,
8:11.0,A. Jefferson misses 2-pt shot from 3 ft (block by E. Udoh),,90-75,,
8:09.0,,,90-75,,Defensive rebound by J. Johnson
8:05.0,,,90-77,2,A. Burks makes 2-pt shot from 6 ft
7:44.0,L. Stephenson makes 2-pt shot from 20 ft,2,92-77,,
7:26.0,,,92-77,,Turnover by R. Neto (bad pass; steal by D. Collison)
7:07.0,L. Stephenson makes 2-pt shot from 21 ft,2,94-77,,
7:05.0,,,94-77,,Utah full timeout
7:05.0,,,94-77,,J. Ingles enters the game for J. Johnson
7:05.0,,,94-77,,D. Mitchell enters the game for A. Burks
7:05.0,,,94-77,,J. Jerebko enters the game for R. Neto
7:05.0,T. Young enters the game for A. Jefferson,,94-77,,
7:05.0,D. Sabonis enters the game for T. Leaf,,94-77,,
7:05.0,V. Oladipo enters the game for D. Collison,,94-77,,
6:41.0,,,94-79,2,R. Hood makes 2-pt shot from 17 ft
6:19.0,,,94-79,,D. Favors enters the game for E. Udoh
6:17.0,C. Joseph makes 2-pt shot from 18 ft (assist by L. Stephenson),2,96-79,,
5:52.0,,,96-79,,D. Mitchell misses 3-pt shot from 31 ft
5:48.0,Defensive rebound by V. Oladipo,,96-79,,
5:35.0,V. Oladipo makes 3-pt shot from 24 ft,3,99-79,,
5:15.0,,,99-79,,A. Burks enters the game for R. Hood
5:11.0,,,99-79,,J. Jerebko misses 2-pt shot from 5 ft
5:08.0,Defensive rebound by C. Joseph,,99-79,,
5:06.0,,,99-79,,Technical foul by J. Jerebko
5:06.0,C. Joseph makes technical free throw,1,100-79,,
4:58.0,D. Sabonis misses 2-pt shot from 4 ft,,100-79,,
4:56.0,,,100-79,,Defensive rebound by J. Jerebko
4:47.0,,,100-81,2,D. Favors makes 2-pt shot from 1 ft
4:21.0,Turnover by T. Young (bad pass),,100-81,,
4:21.0,,,100-81,,R. O'Neale enters the game for J. Ingles
4:07.0,,,100-81,,A. Burks misses 3-pt shot from 24 ft
4:03.0,,,100-81,,Offensive rebound by D. Mitchell
4:02.0,,,100-81,,R. O'Neale misses 3-pt shot from 24 ft
3:58.0,,,100-81,,Offensive rebound by A. Burks
3:50.0,,,100-81,,D. Mitchell misses 2-pt shot from 16 ft
3:47.0,Defensive rebound by C. Joseph,,100-81,,
3:28.0,D. Sabonis makes 2-pt shot from 1 ft (assist by T. Young),2,102-81,,
3:28.0,,,102-81,,Utah full timeout
3:28.0,,,102-81,,E. Udoh enters the game for D. Favors
3:28.0,,,102-81,,R. Neto enters the game for D. Mitchell
3:08.0,,,102-84,3,A. Burks makes 3-pt shot from 24 ft (assist by J. Jerebko)
2:49.0,C. Joseph makes 2-pt shot from 20 ft,2,104-84,,
2:28.0,,,104-86,2,E. Udoh makes 2-pt shot from 1 ft (assist by R. Neto)
2:11.0,T. Young makes 2-pt shot from 1 ft (assist by D. Sabonis),2,106-86,,
1:55.0,,,106-86,,Shooting foul by V. Oladipo (drawn by R. Neto)
1:55.0,,,106-87,1,R. Neto makes free throw 1 of 2
1:55.0,,,106-88,1,R. Neto makes free throw 2 of 2
1:32.0,V. Oladipo makes 3-pt shot from 25 ft,3,109-88,,
1:22.0,,,109-91,3,J. Jerebko makes 3-pt shot from 28 ft (assist by R. Neto)
1:05.0,,,109-91,,Personal foul by J. Jerebko (drawn by C. Joseph)
1:05.0,J. Young enters the game for L. Stephenson,,109-91,,
1:05.0,T. Leaf enters the game for V. Oladipo,,109-91,,
1:05.0,I. Anigbogu enters the game for D. Sabonis,,109-91,,
1:05.0,A. Poythress enters the game for T. Young,,109-91,,
0:53.0,C. Joseph misses 3-pt shot from 26 ft,,109-91,,
0:49.0,,,109-91,,Defensive rebound by J. Jerebko
0:44.0,,,109-91,,Shooting foul by A. Poythress (drawn by E. Udoh)
0:44.0,,,109-91,,E. Udoh misses free throw 1 of 2
0:44.0,,,109-91,,Offensive rebound by Team
0:44.0,,,109-92,1,E. Udoh makes free throw 2 of 2
0:28.0,J. Young misses 2-pt shot from 7 ft (block by A. Burks),,109-92,,
0:25.0,,,109-92,,Defensive rebound by A. Burks
0:20.0,,,109-92,,A. Burks misses 2-pt shot from 6 ft
0:20.0,,,109-92,,Offensive rebound by E. Udoh
0:18.0,,,109-94,2,E. Udoh makes 2-pt shot at rim
