time,Cleveland,pts.away,score,pts.home,Orlando
5:28.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,12-16,,
5:21.0,,,12-16,,Shooting foul by J. Crowder (drawn by E. Payton)
5:21.0,,,12-17,1,E. Payton makes free throw 1 of 2
5:21.0,,,12-17,,W. Iwundu enters the game for M. Hezonja
5:21.0,,,12-18,1,E. Payton makes free throw 2 of 2
5:10.0,L. James makes 2-pt shot from 3 ft,2,14-18,,
5:10.0,,,14-18,,Violation by B. Biyombo (def goaltending)
4:59.0,,,14-18,,E. Fournier misses 2-pt shot from 4 ft
4:55.0,,,14-18,,Offensive rebound by B. Biyombo
4:55.0,,,14-18,,B. Biyombo misses 2-pt shot at rim
4:55.0,Defensive rebound by L. James,,14-18,,
4:55.0,L. James makes 2-pt shot from 2 ft,2,16-18,,
4:55.0,Shooting foul by A. Gordon (drawn by L. James),,16-18,,
4:55.0,,,16-18,,M. Hezonja enters the game for A. Gordon
4:55.0,L. James makes free throw 1 of 1,1,17-18,,
4:51.0,,,17-18,,Orlando full timeout
4:35.0,,,17-20,2,W. Iwundu makes 2-pt shot from 9 ft (assist by E. Fournier)
4:12.0,L. James misses 2-pt shot from 2 ft,,17-20,,
4:07.0,Offensive rebound by L. James,,17-20,,
4:07.0,L. James makes 2-pt shot at rim,2,19-20,,
4:02.0,,,19-22,2,B. Biyombo makes 2-pt shot from 4 ft (assist by E. Payton)
3:41.0,Turnover by J. Smith (out of bounds lost ball),,19-22,,
3:41.0,T. Thompson enters the game for K. Love,,19-22,,
3:29.0,,,19-22,,E. Payton misses 2-pt shot from 5 ft
3:26.0,Defensive rebound by J. Smith,,19-22,,
3:17.0,C. Osman misses 2-pt shot from 2 ft,,19-22,,
3:09.0,Offensive rebound by T. Thompson,,19-22,,
3:09.0,T. Thompson makes 2-pt shot at rim,2,21-22,,
3:01.0,,,21-24,2,M. Hezonja makes 2-pt shot from 19 ft (assist by B. Biyombo)
2:44.0,C. Osman makes 2-pt shot from 3 ft (assist by L. James),2,23-24,,
2:32.0,,,23-24,,E. Fournier misses 3-pt shot from 28 ft
2:28.0,Defensive rebound by J. Crowder,,23-24,,
2:15.0,J. Crowder misses 3-pt shot from 25 ft,,23-24,,
2:12.0,,,23-24,,Defensive rebound by B. Biyombo
1:58.0,,,23-24,,E. Payton misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by T. Thompson,,23-24,,
1:49.0,L. James makes 3-pt shot from 25 ft,3,26-24,,
1:48.0,,,26-24,,Orlando full timeout
1:48.0,,,26-24,,D. Augustin enters the game for E. Payton
1:48.0,,,26-24,,M. Speights enters the game for B. Biyombo
1:48.0,K. Korver enters the game for J. Smith,,26-24,,
1:48.0,D. Wade enters the game for J. Crowder,,26-24,,
1:28.0,,,26-24,,M. Hezonja misses 3-pt shot from 26 ft
1:24.0,Defensive rebound by K. Korver,,26-24,,
1:19.0,L. James makes 3-pt shot from 25 ft,3,29-24,,
1:01.0,,,29-24,,E. Fournier misses 2-pt shot from 3 ft
1:01.0,Defensive rebound by T. Thompson,,29-24,,
0:55.0,L. James misses 3-pt shot from 25 ft,,29-24,,
0:55.0,,,29-24,,Defensive rebound by W. Iwundu
0:47.0,,,29-27,3,M. Speights makes 3-pt shot from 26 ft (assist by W. Iwundu)
0:28.0,D. Wade misses 2-pt shot from 3 ft,,29-27,,
0:27.0,,,29-27,,Defensive rebound by Team
0:27.0,J. Green enters the game for L. James,,29-27,,
0:04.0,,,29-27,,Turnover by E. Fournier (traveling)
0:00.0,Shooting foul by M. Hezonja (drawn by J. Green),,29-27,,
0:00.0,J. Green makes free throw 1 of 2,1,30-27,,
0:00.0,J. Green makes free throw 2 of 2,1,31-27,,
0:00.0,Technical foul by D. Wade (drawn by E. Fournier),,31-27,,
0:00.0,,,31-28,1,E. Fournier makes flagrant free throw 1 of 3
0:00.0,,,31-29,1,E. Fournier makes free throw 2 of 3
0:00.0,,,31-30,1,E. Fournier makes free throw 3 of 3
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Korver misses 2-pt shot from 12 ft,,31-30,,
11:39.0,Offensive rebound by Team,,31-30,,
11:39.0,,,31-30,,Loose ball foul by M. Hezonja (drawn by T. Thompson)
11:35.0,I. Thomas makes 2-pt shot from 15 ft,2,33-30,,
11:11.0,,,33-30,,Turnover by W. Iwundu (bad pass; steal by D. Wade)
11:06.0,T. Thompson makes 2-pt shot from 1 ft (assist by D. Wade),2,35-30,,
10:52.0,,,35-33,2,M. Speights makes 3-pt shot from 23 ft (assist by D. Augustin)
10:42.0,I. Thomas misses 3-pt shot from 25 ft,,35-33,,
10:38.0,,,35-33,,Defensive rebound by W. Iwundu
10:34.0,,,35-35,2,W. Iwundu makes 2-pt shot from 2 ft
10:14.0,J. Green misses 2-pt shot from 11 ft,,35-35,,
10:11.0,,,35-35,,Defensive rebound by M. Hezonja
10:03.0,,,35-38,3,A. Afflalo makes 3-pt shot from 22 ft (assist by D. Augustin)
9:50.0,I. Thomas makes 2-pt shot from 10 ft,2,37-38,,
9:39.0,,,37-40,2,W. Iwundu makes 2-pt shot from 2 ft (assist by D. Augustin)
9:26.0,K. Korver makes 3-pt shot from 23 ft (assist by D. Wade),3,40-40,,
9:14.0,,,40-40,,M. Speights misses 3-pt shot from 25 ft
9:13.0,,,40-40,,Offensive rebound by Team
9:13.0,Personal foul by K. Korver (drawn by W. Iwundu),,40-40,,
9:13.0,,,40-40,,S. Mack enters the game for W. Iwundu
9:04.0,,,40-40,,A. Afflalo misses 2-pt shot from 19 ft
9:01.0,Defensive rebound by T. Thompson,,40-40,,
9:00.0,J. Green misses 2-pt shot from 1 ft,,40-40,,
8:58.0,Offensive rebound by T. Thompson,,40-40,,
8:58.0,Shooting foul by A. Afflalo (drawn by T. Thompson),,40-40,,
8:58.0,T. Thompson misses free throw 2 of 2,,40-40,,
8:58.0,,,40-40,,Defensive rebound by M. Speights
8:58.0,T. Thompson misses free throw 1 of 2,,40-40,,
8:58.0,Offensive rebound by Team,,40-40,,
8:33.0,,,40-40,,M. Speights misses 2-pt shot from 16 ft
8:30.0,Defensive rebound by D. Wade,,40-40,,
8:27.0,,,40-40,,Personal foul by M. Speights (drawn by T. Thompson)
8:15.0,,,40-40,,Personal foul by A. Afflalo (drawn by T. Thompson)
8:07.0,T. Thompson makes 2-pt shot from 1 ft (assist by I. Thomas),2,42-40,,
8:07.0,Shooting foul by M. Speights (drawn by T. Thompson),,42-40,,
8:07.0,T. Thompson makes free throw 1 of 1,1,43-40,,
7:50.0,,,43-42,2,M. Hezonja makes 2-pt shot from 2 ft (assist by M. Speights)
7:50.0,,,43-42,,Shooting foul by K. Korver (drawn by M. Hezonja)
7:50.0,,,43-42,,M. Hezonja misses free throw 1 of 1
7:47.0,Defensive rebound by D. Wade,,43-42,,
7:39.0,D. Wade makes 2-pt shot from 2 ft,2,45-42,,
7:32.0,,,45-45,3,D. Augustin makes 3-pt shot from 27 ft (assist by S. Mack)
7:19.0,Turnover by I. Thomas (bad pass),,45-45,,
7:19.0,,,45-45,,Orlando full timeout
7:19.0,,,45-45,,A. Gordon enters the game for M. Hezonja
7:19.0,L. James enters the game for I. Thomas,,45-45,,
6:54.0,,,45-45,,A. Afflalo misses 2-pt shot from 14 ft
6:51.0,Defensive rebound by K. Korver,,45-45,,
6:42.0,D. Wade makes 2-pt shot from 1 ft (assist by J. Green),2,47-45,,
6:26.0,,,47-45,,D. Augustin misses 3-pt shot from 23 ft
6:25.0,,,47-45,,Offensive rebound by Team
6:25.0,Loose ball foul by T. Thompson (drawn by M. Speights),,47-45,,
6:25.0,,,47-45,,E. Payton enters the game for A. Afflalo
6:25.0,,,47-45,,E. Fournier enters the game for D. Augustin
6:25.0,K. Love enters the game for D. Wade,,47-45,,
6:25.0,J. Smith enters the game for T. Thompson,,47-45,,
6:15.0,,,47-45,,E. Fournier misses 2-pt shot from 2 ft
6:12.0,,,47-45,,Offensive rebound by M. Speights
6:11.0,,,47-47,2,M. Speights makes 2-pt shot from 3 ft
6:00.0,K. Love misses 3-pt shot from 24 ft,,47-47,,
6:00.0,,,47-47,,Defensive rebound by Team
5:41.0,,,47-50,3,E. Payton makes 3-pt shot from 23 ft (assist by M. Speights)
5:22.0,Turnover by K. Korver (step out of bounds),,47-50,,
5:07.0,,,47-52,2,E. Payton makes 2-pt shot at rim (assist by S. Mack)
4:51.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,50-52,,
4:38.0,,,50-52,,Shooting foul by J. Green (drawn by A. Gordon)
4:38.0,,,50-53,1,A. Gordon makes free throw 1 of 3
4:38.0,,,50-53,,A. Gordon misses free throw 2 of 3
4:38.0,,,50-53,,Offensive rebound by Team
4:38.0,,,50-53,,B. Biyombo enters the game for M. Speights
4:38.0,J. Crowder enters the game for J. Green,,50-53,,
4:38.0,,,50-54,1,A. Gordon makes free throw 3 of 3
4:27.0,Shooting foul by A. Gordon (drawn by L. James),,50-54,,
4:27.0,L. James makes free throw 1 of 2,1,51-54,,
4:27.0,,,51-54,,M. Hezonja enters the game for A. Gordon
4:27.0,L. James misses free throw 2 of 2,,51-54,,
4:25.0,,,51-54,,Defensive rebound by B. Biyombo
4:17.0,,,51-54,,E. Payton misses 2-pt shot from 16 ft
4:14.0,Defensive rebound by J. Crowder,,51-54,,
4:08.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,54-54,,
3:46.0,,,54-54,,S. Mack misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by J. Crowder,,54-54,,
3:41.0,Turnover by K. Korver (bad pass),,54-54,,
3:21.0,,,54-56,2,E. Payton makes 2-pt shot from 2 ft (assist by B. Biyombo)
2:58.0,J. Crowder misses 3-pt shot from 22 ft,,54-56,,
2:55.0,,,54-56,,Defensive rebound by M. Hezonja
2:48.0,,,54-59,3,E. Fournier makes 3-pt shot from 22 ft (assist by M. Hezonja)
2:47.0,Cleveland full timeout,,54-59,,
2:47.0,D. Wade enters the game for K. Korver,,54-59,,
2:41.0,K. Love misses 3-pt shot from 22 ft,,54-59,,
2:38.0,,,54-59,,Defensive rebound by E. Fournier
2:20.0,,,54-59,,Turnover by E. Payton (turnover)
2:12.0,,,54-59,,Personal foul by E. Payton (drawn by K. Love)
2:12.0,K. Love makes free throw 1 of 2,1,55-59,,
2:12.0,,,55-59,,D. Augustin enters the game for E. Payton
2:12.0,K. Love makes free throw 2 of 2,1,56-59,,
2:08.0,Personal foul by J. Smith (drawn by E. Fournier),,56-59,,
2:08.0,,,56-59,,E. Fournier misses free throw 1 of 2
2:08.0,,,56-59,,Offensive rebound by Team
2:08.0,,,56-59,,W. Iwundu enters the game for S. Mack
2:08.0,,,56-60,1,E. Fournier makes free throw 2 of 2
1:50.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,59-60,,
1:33.0,,,59-60,,E. Fournier misses 2-pt shot from 22 ft
1:30.0,Defensive rebound by D. Wade,,59-60,,
1:27.0,L. James makes 2-pt shot at rim (assist by D. Wade),2,61-60,,
1:12.0,T. Thompson enters the game for K. Love,,61-60,,
1:07.0,,,61-62,2,D. Augustin makes 2-pt shot from 1 ft (assist by E. Fournier)
0:50.0,D. Wade makes 2-pt shot from 2 ft,2,63-62,,
0:40.0,,,63-62,,Turnover by M. Hezonja (bad pass; steal by L. James)
0:36.0,L. James makes 2-pt shot from 2 ft,2,65-62,,
0:25.0,,,65-62,,E. Fournier misses 3-pt shot from 24 ft
0:22.0,,,65-62,,Offensive rebound by B. Biyombo
0:22.0,,,65-62,,Shooting foul by T. Thompson (drawn by B. Biyombo)
0:22.0,,,65-63,1,B. Biyombo makes free throw 1 of 2
0:22.0,,,65-63,,A. Afflalo enters the game for M. Hezonja
0:22.0,K. Love enters the game for T. Thompson,,65-63,,
0:22.0,,,65-64,1,B. Biyombo makes free throw 2 of 2
0:03.0,Shooting foul by B. Biyombo (drawn by D. Wade),,65-64,,
0:03.0,D. Wade makes free throw 1 of 2,1,66-64,,
0:03.0,,,66-64,,M. Speights enters the game for W. Iwundu
0:03.0,T. Thompson enters the game for K. Love,,66-64,,
0:03.0,D. Wade makes free throw 2 of 2,1,67-64,,
0:02.0,,,67-64,,Turnover by M. Speights (bad pass; steal by J. Crowder)
0:00.0,J. Crowder misses 3-pt shot from 28 ft,,67-64,,
0:00.0,Offensive rebound by Team,,67-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,K. Love makes 3-pt shot from 24 ft (assist by I. Thomas),3,70-64,,
11:17.0,,,70-64,,Offensive foul by B. Biyombo (drawn by K. Love)
11:17.0,,,70-64,,Turnover by B. Biyombo (offensive foul)
11:03.0,I. Thomas makes 2-pt shot from 15 ft,2,72-64,,
10:58.0,,,72-64,,Turnover by E. Fournier (bad pass; steal by J. Crowder)
10:55.0,I. Thomas makes 3-pt shot from 26 ft (assist by J. Crowder),3,75-64,,
10:55.0,,,75-64,,Orlando full timeout
10:36.0,,,75-64,,A. Gordon misses 2-pt shot from 5 ft
10:31.0,,,75-64,,Offensive rebound by A. Gordon
10:31.0,,,75-66,2,A. Gordon makes 2-pt shot at rim
10:26.0,Offensive foul by I. Thomas (drawn by A. Gordon),,75-66,,
10:26.0,Turnover by I. Thomas (offensive foul),,75-66,,
10:14.0,,,75-69,3,E. Fournier makes 3-pt shot from 23 ft (assist by A. Gordon)
9:55.0,K. Love misses 2-pt shot from 11 ft,,75-69,,
9:52.0,,,75-69,,Defensive rebound by E. Payton
9:44.0,,,75-69,,B. Biyombo misses 2-pt shot from 8 ft
9:43.0,,,75-69,,Offensive rebound by A. Gordon
9:43.0,,,75-71,2,A. Gordon makes 2-pt shot at rim
9:43.0,Cleveland full timeout,,75-71,,
9:31.0,L. James misses 2-pt shot from 2 ft (block by M. Hezonja),,75-71,,
9:31.0,Offensive rebound by L. James,,75-71,,
9:31.0,,,75-71,,Personal foul by B. Biyombo (drawn by L. James)
9:24.0,I. Thomas makes 2-pt shot from 2 ft,2,77-71,,
9:10.0,,,77-71,,Offensive foul by A. Gordon (drawn by I. Thomas)
9:10.0,,,77-71,,Turnover by A. Gordon (offensive foul)
8:58.0,L. James misses 2-pt shot from 17 ft,,77-71,,
8:55.0,Offensive rebound by I. Thomas,,77-71,,
8:52.0,K. Love makes 3-pt shot from 22 ft (assist by J. Smith),3,80-71,,
8:42.0,Personal foul by J. Crowder (drawn by B. Biyombo),,80-71,,
8:32.0,,,80-73,2,A. Gordon makes 2-pt shot from 9 ft
8:23.0,K. Love misses 3-pt shot from 26 ft,,80-73,,
8:23.0,,,80-73,,Defensive rebound by B. Biyombo
8:14.0,Personal foul by K. Love (drawn by E. Payton),,80-73,,
8:05.0,,,80-73,,Offensive foul by E. Fournier (drawn by J. Smith)
8:05.0,,,80-73,,Turnover by E. Fournier (offensive foul)
7:50.0,Shooting foul by E. Payton (drawn by I. Thomas),,80-73,,
7:50.0,I. Thomas makes free throw 1 of 2,1,81-73,,
7:50.0,I. Thomas makes free throw 2 of 2,1,82-73,,
7:37.0,,,82-73,,Turnover by M. Hezonja (lost ball; steal by L. James)
7:19.0,K. Love misses 3-pt shot from 23 ft,,82-73,,
7:16.0,,,82-73,,Defensive rebound by E. Payton
7:09.0,,,82-73,,M. Hezonja misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by Team,,82-73,,
6:54.0,K. Love misses 2-pt shot from 19 ft,,82-73,,
6:52.0,,,82-73,,Defensive rebound by B. Biyombo
6:49.0,,,82-73,,Turnover by E. Payton (bad pass; steal by L. James)
6:44.0,I. Thomas makes 3-pt shot from 22 ft (assist by L. James),3,85-73,,
6:38.0,,,85-73,,Offensive charge foul by E. Payton (drawn by K. Love)
6:38.0,,,85-73,,Turnover by E. Payton (offensive foul)
6:38.0,,,85-73,,D. Augustin enters the game for E. Payton
6:38.0,C. Osman enters the game for I. Thomas,,85-73,,
6:23.0,J. Smith misses 2-pt shot from 2 ft,,85-73,,
6:17.0,Offensive rebound by K. Love,,85-73,,
6:17.0,K. Love makes 2-pt shot at rim,2,87-73,,
6:12.0,,,87-76,3,A. Gordon makes 3-pt shot from 25 ft
5:53.0,K. Love misses 2-pt shot from 5 ft (block by B. Biyombo),,87-76,,
5:53.0,Offensive rebound by Team,,87-76,,
5:50.0,L. James makes 3-pt shot from 25 ft (assist by J. Crowder),3,90-76,,
5:31.0,,,90-76,,Shooting foul by C. Osman (drawn by B. Biyombo)
5:31.0,,,90-77,1,B. Biyombo makes free throw 1 of 2
5:31.0,,,90-77,,W. Iwundu enters the game for M. Hezonja
5:31.0,,,90-78,1,B. Biyombo makes free throw 2 of 2
5:10.0,J. Crowder misses 2-pt shot from 21 ft,,90-78,,
5:06.0,Offensive rebound by J. Smith,,90-78,,
5:03.0,K. Love makes 3-pt shot from 22 ft (assist by J. Smith),3,93-78,,
4:49.0,,,93-80,2,W. Iwundu makes 2-pt shot from 2 ft (assist by D. Augustin)
4:31.0,C. Osman makes 2-pt shot from 2 ft (assist by L. James),2,95-80,,
4:21.0,,,95-80,,A. Gordon misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by L. James,,95-80,,
4:16.0,C. Osman makes 2-pt shot from 2 ft (assist by L. James),2,97-80,,
4:16.0,,,97-80,,Violation by A. Gordon (def goaltending)
4:05.0,Personal foul by J. Smith (drawn by E. Fournier),,97-80,,
4:03.0,,,97-80,,Turnover by E. Fournier (bad pass; steal by J. Smith)
4:00.0,Turnover by L. James (bad pass),,97-80,,
3:41.0,,,97-80,,A. Gordon misses 3-pt shot from 24 ft
3:35.0,,,97-80,,Offensive rebound by B. Biyombo
3:35.0,,,97-80,,B. Biyombo misses 2-pt shot at rim
3:34.0,Defensive rebound by K. Love,,97-80,,
3:29.0,J. Smith makes 3-pt shot from 25 ft (assist by J. Crowder),3,100-80,,
3:29.0,,,100-80,,Orlando full timeout
3:29.0,,,100-80,,M. Speights enters the game for B. Biyombo
3:10.0,,,100-80,,A. Gordon misses 3-pt shot from 23 ft
3:06.0,Defensive rebound by L. James,,100-80,,
3:01.0,Turnover by L. James (lost ball; steal by W. Iwundu),,100-80,,
2:56.0,,,100-82,2,W. Iwundu makes 2-pt shot from 2 ft
2:52.0,K. Love makes 2-pt shot from 3 ft (assist by C. Osman),2,102-82,,
2:52.0,Shooting foul by D. Augustin (drawn by K. Love),,102-82,,
2:52.0,D. Wade enters the game for J. Smith,,102-82,,
2:52.0,K. Love makes free throw 1 of 1,1,103-82,,
2:37.0,,,103-82,,E. Fournier misses 3-pt shot from 27 ft
2:34.0,Defensive rebound by C. Osman,,103-82,,
2:27.0,D. Wade makes 2-pt shot from 2 ft (assist by K. Love),2,105-82,,
2:27.0,,,105-82,,Orlando full timeout
2:27.0,J. Green enters the game for J. Crowder,,105-82,,
2:15.0,,,105-82,,E. Fournier misses 2-pt shot from 9 ft
2:12.0,Defensive rebound by D. Wade,,105-82,,
2:05.0,C. Osman misses 3-pt shot from 23 ft,,105-82,,
2:02.0,,,105-82,,Defensive rebound by W. Iwundu
1:56.0,,,105-82,,W. Iwundu misses 2-pt shot from 7 ft
1:53.0,Defensive rebound by D. Wade,,105-82,,
1:51.0,Turnover by D. Wade (bad pass; steal by D. Augustin),,105-82,,
1:50.0,Personal take foul by K. Love (drawn by D. Augustin),,105-82,,
1:50.0,,,105-82,,D. Augustin misses free throw 1 of 2
1:50.0,,,105-82,,Offensive rebound by Team
1:50.0,,,105-83,1,D. Augustin makes free throw 2 of 2
1:34.0,L. James misses 2-pt shot from 9 ft,,105-83,,
1:29.0,Offensive rebound by L. James,,105-83,,
1:28.0,L. James misses 2-pt shot from 7 ft,,105-83,,
1:28.0,,,105-83,,Defensive rebound by A. Gordon
1:23.0,,,105-85,2,A. Gordon makes 2-pt shot from 3 ft (assist by W. Iwundu)
1:23.0,,,105-85,,Shooting foul by K. Love (drawn by A. Gordon)
1:23.0,T. Thompson enters the game for K. Love,,105-85,,
1:23.0,,,105-85,,A. Gordon misses free throw 1 of 1
1:20.0,Defensive rebound by L. James,,105-85,,
0:58.0,T. Thompson misses 2-pt shot from 16 ft,,105-85,,
0:58.0,Offensive rebound by Team,,105-85,,
0:58.0,Turnover by Team (shot clock),,105-85,,
0:47.0,,,105-87,2,A. Gordon makes 2-pt shot from 2 ft
0:47.0,,,105-87,,Shooting foul by J. Green (drawn by A. Gordon)
0:47.0,,,105-87,,A. Gordon misses free throw 1 of 1
0:45.0,Defensive rebound by C. Osman,,105-87,,
0:37.0,L. James makes 2-pt shot from 13 ft,2,107-87,,
0:29.0,,,107-87,,A. Gordon misses 2-pt shot from 3 ft (block by L. James)
0:29.0,Defensive rebound by D. Wade,,107-87,,
0:08.0,L. James misses 3-pt shot from 25 ft,,107-87,,
0:04.0,Offensive rebound by D. Wade,,107-87,,
0:01.0,J. Green misses 3-pt shot from 23 ft,,107-87,,
0:01.0,Offensive rebound by C. Osman,,107-87,,
0:00.0,C. Osman misses 2-pt shot at rim,,107-87,,
0:00.0,,,107-87,,Defensive rebound by W. Iwundu
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,107-87,,A. Gordon misses 3-pt shot from 25 ft
11:44.0,,,107-87,,Offensive rebound by M. Hezonja
11:44.0,Personal foul by D. Wade (drawn by M. Hezonja),,107-87,,
11:33.0,,,107-89,2,W. Iwundu makes 2-pt shot from 6 ft (assist by D. Augustin)
11:21.0,,,107-89,,Personal foul by W. Iwundu (drawn by I. Thomas)
11:16.0,Offensive foul by I. Thomas (drawn by A. Afflalo),,107-89,,
11:16.0,Turnover by I. Thomas (offensive foul),,107-89,,
11:03.0,,,107-92,3,A. Afflalo makes 3-pt shot from 26 ft (assist by D. Augustin)
10:45.0,Offensive charge foul by J. Green (drawn by D. Augustin),,107-92,,
10:45.0,Turnover by J. Green (offensive foul),,107-92,,
10:33.0,,,107-94,2,A. Gordon makes 2-pt shot from 1 ft (assist by D. Augustin)
10:14.0,D. Wade makes 2-pt shot from 2 ft,2,109-94,,
10:14.0,Shooting foul by A. Afflalo (drawn by D. Wade),,109-94,,
10:14.0,D. Wade misses free throw 1 of 1,,109-94,,
10:10.0,,,109-94,,Defensive rebound by A. Afflalo
10:03.0,,,109-97,3,D. Augustin makes 3-pt shot from 26 ft
9:45.0,Turnover by I. Thomas (bad pass; steal by W. Iwundu),,109-97,,
9:40.0,,,109-99,2,A. Gordon makes 2-pt shot from 1 ft (assist by W. Iwundu)
9:40.0,Cleveland full timeout,,109-99,,
9:26.0,J. Green makes 2-pt shot from 12 ft,2,111-99,,
9:06.0,,,111-99,,M. Hezonja misses 3-pt shot from 23 ft
9:05.0,Defensive rebound by Team,,111-99,,
8:55.0,Turnover by T. Thompson (out of bounds lost ball),,111-99,,
8:47.0,,,111-99,,D. Augustin misses 3-pt shot from 26 ft
8:43.0,Defensive rebound by I. Thomas,,111-99,,
8:36.0,D. Wade misses 2-pt shot from 14 ft,,111-99,,
8:32.0,,,111-99,,Defensive rebound by W. Iwundu
8:15.0,,,111-99,,A. Gordon misses 2-pt shot from 8 ft
8:11.0,,,111-99,,Offensive rebound by D. Augustin
7:52.0,,,111-99,,D. Augustin misses 2-pt shot from 3 ft
7:50.0,,,111-99,,Offensive rebound by M. Hezonja
