time,Denver,pts.away,score,pts.home,Portland
4:27.0,,,34-46,,J. Nurkic misses 2-pt shot from 21 ft
4:24.0,Defensive rebound by P. Millsap,,34-46,,
4:11.0,P. Millsap makes 3-pt shot from 25 ft (assist by W. Chandler),3,37-46,,
4:10.0,,,37-46,,Portland full timeout
3:55.0,Personal foul by W. Barton (drawn by C. McCollum),,37-46,,
3:46.0,,,37-46,,E. Turner misses 3-pt shot from 24 ft
3:44.0,,,37-46,,Offensive rebound by C. McCollum
3:42.0,,,37-48,2,C. McCollum makes 2-pt shot from 17 ft
3:27.0,P. Millsap makes 3-pt shot from 25 ft (assist by N. Jokic),3,40-48,,
3:08.0,,,40-50,2,J. Nurkic makes 2-pt shot from 21 ft (assist by E. Turner)
2:51.0,P. Millsap misses 3-pt shot from 25 ft,,40-50,,
2:49.0,Offensive rebound by J. Murray,,40-50,,
2:47.0,J. Murray makes 2-pt shot from 20 ft,2,42-50,,
2:32.0,,,42-50,,J. Nurkic misses 2-pt shot from 18 ft
2:29.0,Defensive rebound by W. Chandler,,42-50,,
2:17.0,W. Barton makes 3-pt shot from 26 ft (assist by W. Chandler),3,45-50,,
2:00.0,,,45-50,,J. Nurkic misses 2-pt shot at rim
2:00.0,,,45-50,,Offensive rebound by Team
1:54.0,,,45-50,,C. McCollum misses 3-pt shot from 23 ft
1:51.0,Defensive rebound by P. Millsap,,45-50,,
1:33.0,J. Murray makes 2-pt shot from 17 ft,2,47-50,,
1:13.0,,,47-52,2,D. Lillard makes 2-pt shot from 12 ft
0:53.0,Turnover by J. Murray (out of bounds lost ball),,47-52,,
0:53.0,K. Faried enters the game for P. Millsap,,47-52,,
0:53.0,,,47-52,,P. Connaughton enters the game for C. Swanigan
0:35.0,,,47-52,,D. Lillard misses 3-pt shot from 28 ft
0:32.0,Defensive rebound by W. Barton,,47-52,,
0:29.0,K. Faried makes 2-pt shot at rim (assist by W. Barton),2,49-52,,
0:14.0,Personal foul by W. Barton (drawn by C. McCollum),,49-52,,
0:14.0,,,49-52,,S. Napier enters the game for J. Nurkic
0:14.0,E. Mudiay enters the game for N. Jokic,,49-52,,
0:03.0,,,49-52,,Shooting foul by W. Chandler (drawn by D. Lillard)
0:03.0,,,49-53,1,D. Lillard makes free throw 1 of 2
0:03.0,,,49-54,1,D. Lillard makes free throw 2 of 2
0:00.0,J. Murray misses 3-pt shot from 26 ft,,49-54,,
0:00.0,Offensive rebound by Team,,49-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,W. Chandler misses 2-pt shot from 2 ft (block by M. Harkless),,49-54,,
11:45.0,Offensive rebound by W. Chandler,,49-54,,
11:45.0,Shooting foul by C. Swanigan (drawn by W. Chandler),,49-54,,
11:45.0,W. Chandler makes free throw 1 of 2,1,50-54,,
11:45.0,W. Chandler makes free throw 2 of 2,1,51-54,,
11:32.0,,,51-57,3,C. McCollum makes 3-pt shot from 25 ft
11:14.0,Offensive foul by N. Jokic (drawn by M. Harkless),,51-57,,
11:14.0,Turnover by N. Jokic (offensive foul),,51-57,,
11:00.0,,,51-57,,D. Lillard misses 2-pt shot from 21 ft
10:57.0,Defensive rebound by W. Barton,,51-57,,
10:45.0,W. Barton misses 2-pt shot from 1 ft,,51-57,,
10:42.0,Offensive rebound by W. Barton,,51-57,,
10:42.0,W. Barton misses 2-pt shot at rim,,51-57,,
10:41.0,,,51-57,,Defensive rebound by J. Nurkic
10:35.0,,,51-60,3,D. Lillard makes 3-pt shot from 28 ft (assist by C. McCollum)
10:20.0,N. Jokic misses 3-pt shot from 24 ft,,51-60,,
10:18.0,,,51-60,,Defensive rebound by D. Lillard
10:17.0,,,51-60,,Offensive foul by J. Nurkic (drawn by N. Jokic)
10:17.0,,,51-60,,Turnover by J. Nurkic (offensive foul)
10:00.0,J. Murray misses 3-pt shot from 25 ft,,51-60,,
9:55.0,,,51-60,,Defensive rebound by C. Swanigan
9:52.0,,,51-60,,Turnover by D. Lillard (bad pass; steal by N. Jokic)
9:47.0,W. Chandler misses 3-pt shot from 24 ft,,51-60,,
9:44.0,,,51-60,,Defensive rebound by C. Swanigan
9:30.0,,,51-60,,D. Lillard misses 3-pt shot from 27 ft
9:29.0,Defensive rebound by Team,,51-60,,
9:29.0,,,51-60,,Loose ball foul by C. Swanigan (drawn by P. Millsap)
9:15.0,Shooting foul by C. Swanigan (drawn by P. Millsap),,51-60,,
9:15.0,P. Millsap misses free throw 1 of 2,,51-60,,
9:15.0,Offensive rebound by Team,,51-60,,
9:15.0,,,51-60,,N. Vonleh enters the game for C. Swanigan
9:15.0,P. Millsap makes free throw 2 of 2,1,52-60,,
9:01.0,,,52-63,3,D. Lillard makes 3-pt shot from 27 ft (assist by M. Harkless)
8:37.0,P. Millsap misses 2-pt shot from 10 ft,,52-63,,
8:34.0,,,52-63,,Defensive rebound by D. Lillard
8:16.0,,,52-63,,Turnover by M. Harkless (turnover)
7:57.0,P. Millsap misses 2-pt shot from 1 ft,,52-63,,
7:53.0,Offensive rebound by W. Chandler,,52-63,,
7:46.0,P. Millsap makes 3-pt shot from 23 ft,3,55-63,,
7:33.0,Personal foul by W. Chandler (drawn by M. Harkless),,55-63,,
7:20.0,,,55-65,2,J. Nurkic makes 2-pt shot from 7 ft (assist by M. Harkless)
7:12.0,W. Chandler makes 2-pt shot from 7 ft,2,57-65,,
7:12.0,Shooting foul by M. Harkless (drawn by W. Chandler),,57-65,,
7:12.0,W. Chandler makes free throw 1 of 1,1,58-65,,
7:04.0,,,58-65,,C. McCollum misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by W. Chandler,,58-65,,
6:52.0,J. Murray misses 3-pt shot from 24 ft,,58-65,,
6:49.0,,,58-65,,Defensive rebound by C. McCollum
6:42.0,,,58-67,2,C. McCollum makes 2-pt shot from 1 ft
6:42.0,Denver full timeout,,58-67,,
6:22.0,N. Jokic makes 2-pt shot from 4 ft,2,60-67,,
6:07.0,,,60-67,,C. McCollum misses 2-pt shot from 16 ft
6:03.0,Defensive rebound by W. Chandler,,60-67,,
5:59.0,Turnover by W. Chandler (lost ball; steal by M. Harkless),,60-67,,
5:45.0,,,60-69,2,J. Nurkic makes 2-pt shot at rim
5:26.0,J. Murray makes 2-pt shot from 1 ft,2,62-69,,
5:03.0,,,62-69,,Turnover by J. Nurkic (bad pass; steal by N. Jokic)
4:59.0,W. Barton misses 2-pt shot from 1 ft,,62-69,,
4:57.0,,,62-69,,Defensive rebound by N. Vonleh
4:45.0,,,62-69,,D. Lillard misses 3-pt shot from 25 ft
4:43.0,Defensive rebound by W. Barton,,62-69,,
4:24.0,Turnover by P. Millsap (lost ball; steal by D. Lillard),,62-69,,
4:16.0,,,62-71,2,C. McCollum makes 2-pt shot at rim
4:16.0,Denver full timeout,,62-71,,
4:16.0,E. Mudiay enters the game for N. Jokic,,62-71,,
4:16.0,K. Faried enters the game for J. Murray,,62-71,,
4:04.0,P. Millsap makes 2-pt shot at rim,2,64-71,,
3:46.0,,,64-74,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
3:29.0,P. Millsap misses 3-pt shot from 24 ft,,64-74,,
3:27.0,,,64-74,,Defensive rebound by N. Vonleh
3:15.0,,,64-76,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
2:52.0,Offensive foul by K. Faried (drawn by M. Harkless),,64-76,,
2:52.0,Turnover by K. Faried (offensive foul),,64-76,,
2:52.0,,,64-76,,E. Turner enters the game for C. McCollum
2:52.0,,,64-76,,P. Connaughton enters the game for M. Harkless
2:41.0,,,64-78,2,D. Lillard makes 2-pt shot at rim
2:31.0,W. Chandler misses 3-pt shot from 29 ft,,64-78,,
2:29.0,,,64-78,,Defensive rebound by J. Nurkic
2:16.0,,,64-78,,Offensive charge foul by J. Nurkic (drawn by K. Faried)
2:16.0,,,64-78,,Turnover by J. Nurkic (offensive foul)
2:16.0,N. Jokic enters the game for P. Millsap,,64-78,,
2:16.0,J. Murray enters the game for W. Chandler,,64-78,,
2:05.0,Turnover by W. Barton (lost ball; steal by E. Turner),,64-78,,
1:56.0,,,64-78,,D. Lillard misses 2-pt shot from 12 ft
1:53.0,Defensive rebound by K. Faried,,64-78,,
1:49.0,,,64-78,,E. Davis enters the game for J. Nurkic
1:48.0,E. Mudiay misses 2-pt shot from 2 ft (block by N. Vonleh),,64-78,,
1:48.0,Offensive rebound by Team,,64-78,,
1:40.0,K. Faried misses 2-pt shot from 11 ft,,64-78,,
1:38.0,,,64-78,,Defensive rebound by N. Vonleh
1:28.0,,,64-80,2,E. Turner makes 2-pt shot from 11 ft
1:28.0,Denver full timeout,,64-80,,
1:07.0,K. Faried misses 2-pt shot from 14 ft,,64-80,,
1:05.0,,,64-80,,Personal foul by E. Turner (drawn by J. Murray)
1:05.0,J. Murray makes free throw 1 of 2,1,65-80,,
1:05.0,J. Murray makes free throw 2 of 2,1,66-80,,
1:04.0,Offensive rebound by J. Murray,,66-80,,
0:52.0,,,66-80,,D. Lillard misses 2-pt shot from 14 ft
0:51.0,,,66-80,,Offensive rebound by N. Vonleh
0:51.0,,,66-82,2,N. Vonleh makes 2-pt shot at rim
0:37.0,W. Barton misses 3-pt shot from 26 ft,,66-82,,
0:34.0,,,66-82,,Defensive rebound by E. Turner
0:28.0,,,66-82,,Turnover by E. Turner (bad pass)
0:15.0,N. Jokic misses 2-pt shot from 18 ft,,66-82,,
0:12.0,,,66-82,,Defensive rebound by P. Connaughton
0:12.0,,,66-82,,Portland full timeout
0:12.0,,,66-82,,S. Napier enters the game for N. Vonleh
0:12.0,,,66-82,,C. McCollum enters the game for E. Davis
0:12.0,W. Chandler enters the game for N. Jokic,,66-82,,
0:02.0,,,66-82,,Shooting foul by W. Chandler (drawn by D. Lillard)
0:02.0,,,66-83,1,D. Lillard makes free throw 1 of 2
0:02.0,,,66-84,1,D. Lillard makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,66-86,2,N. Vonleh makes 2-pt shot from 1 ft (assist by E. Turner)
11:21.0,P. Millsap misses 3-pt shot from 23 ft,,66-86,,
11:19.0,,,66-86,,Defensive rebound by E. Turner
11:05.0,,,66-86,,S. Napier misses 2-pt shot from 17 ft
11:03.0,Defensive rebound by P. Millsap,,66-86,,
10:42.0,J. Murray misses 3-pt shot from 24 ft,,66-86,,
10:39.0,,,66-86,,Defensive rebound by N. Vonleh
10:22.0,,,66-86,,P. Connaughton misses 3-pt shot from 27 ft
10:20.0,Defensive rebound by N. Jokic,,66-86,,
10:11.0,Shooting foul by E. Turner (drawn by N. Jokic),,66-86,,
10:11.0,N. Jokic makes free throw 1 of 2,1,67-86,,
10:11.0,N. Jokic misses free throw 2 of 2,,67-86,,
10:08.0,,,67-86,,Defensive rebound by E. Davis
9:46.0,Shooting block foul by E. Mudiay (drawn by S. Napier),,67-86,,
9:46.0,,,67-87,1,S. Napier makes free throw 1 of 2
9:46.0,,,67-87,,S. Napier misses free throw 2 of 2
9:43.0,,,67-87,,Offensive rebound by E. Davis
9:31.0,,,67-87,,S. Napier misses 3-pt shot from 22 ft
9:29.0,Defensive rebound by W. Chandler,,67-87,,
9:17.0,Turnover by J. Murray (lost ball; steal by S. Napier),,67-87,,
9:17.0,,,67-87,,Portland full timeout
9:17.0,,,67-87,,C. Swanigan enters the game for P. Connaughton
9:17.0,,,67-87,,C. McCollum enters the game for N. Vonleh
8:59.0,,,67-87,,Turnover by C. Swanigan (traveling)
8:44.0,N. Jokic misses 2-pt shot from 4 ft,,67-87,,
8:42.0,,,67-87,,Defensive rebound by C. Swanigan
8:29.0,,,67-89,2,E. Turner makes 2-pt shot from 14 ft
8:12.0,P. Millsap makes 3-pt shot from 24 ft (assist by W. Chandler),3,70-89,,
7:49.0,,,70-89,,Shooting foul by E. Mudiay (drawn by S. Napier)
7:49.0,,,70-90,1,S. Napier makes free throw 1 of 2
7:49.0,,,70-90,,J. Nurkic enters the game for E. Davis
7:49.0,,,70-91,1,S. Napier makes free throw 2 of 2
7:36.0,Offensive foul by P. Millsap,,70-91,,
7:36.0,Turnover by P. Millsap (offensive foul),,70-91,,
7:36.0,,,70-91,,D. Lillard enters the game for E. Turner
7:36.0,,,70-91,,M. Harkless enters the game for S. Napier
7:36.0,Technical foul by P. Millsap,,70-91,,
7:36.0,,,70-92,1,D. Lillard makes technical free throw
7:14.0,,,70-92,,J. Nurkic misses 2-pt shot from 3 ft
7:10.0,Defensive rebound by N. Jokic,,70-92,,
6:58.0,E. Mudiay misses 3-pt shot from 25 ft,,70-92,,
6:54.0,,,70-92,,Defensive rebound by M. Harkless
6:33.0,,,70-92,,Shooting foul by P. Millsap (drawn by J. Nurkic)
6:33.0,,,70-92,,J. Nurkic misses free throw 1 of 2
6:33.0,,,70-92,,Offensive rebound by Team
6:33.0,W. Barton enters the game for E. Mudiay,,70-92,,
6:33.0,,,70-93,1,J. Nurkic makes free throw 2 of 2
6:24.0,P. Millsap misses 3-pt shot from 25 ft,,70-93,,
6:21.0,,,70-93,,Defensive rebound by M. Harkless
6:16.0,,,70-93,,Offensive foul by D. Lillard (drawn by J. Murray)
6:16.0,,,70-93,,Turnover by D. Lillard (offensive foul)
6:04.0,P. Millsap misses 2-pt shot from 1 ft,,70-93,,
6:04.0,,,70-93,,Defensive rebound by Team
5:49.0,,,70-93,,J. Nurkic misses 2-pt shot from 16 ft
5:45.0,Defensive rebound by P. Millsap,,70-93,,
5:37.0,W. Chandler misses 3-pt shot from 24 ft,,70-93,,
5:33.0,Offensive rebound by J. Murray,,70-93,,
5:24.0,J. Murray misses 3-pt shot from 24 ft,,70-93,,
5:20.0,Offensive rebound by W. Chandler,,70-93,,
5:20.0,W. Chandler makes 2-pt shot at rim,2,72-93,,
4:51.0,,,72-93,,C. Swanigan misses 2-pt shot from 3 ft (block by P. Millsap)
4:50.0,,,72-93,,Turnover by Team (shot clock)
4:50.0,R. Jefferson enters the game for P. Millsap,,72-93,,
4:50.0,K. Faried enters the game for W. Chandler,,72-93,,
4:49.0,,,72-93,,Defensive rebound by C. Swanigan
4:49.0,,,72-93,,C. Swanigan misses 2-pt shot from 2 ft (block by N. Jokic)
4:49.0,,,72-93,,Offensive rebound by Team
4:39.0,J. Murray makes 2-pt shot from 13 ft,2,74-93,,
4:20.0,,,74-93,,C. Swanigan misses 3-pt shot from 24 ft
4:17.0,,,74-93,,Offensive rebound by D. Lillard
4:14.0,,,74-93,,J. Nurkic misses 2-pt shot from 1 ft
4:13.0,Defensive rebound by N. Jokic,,74-93,,
4:13.0,,,74-93,,Personal foul by C. Swanigan (drawn by N. Jokic)
4:13.0,,,74-93,,N. Vonleh enters the game for C. Swanigan
4:13.0,T. Lyles enters the game for N. Jokic,,74-93,,
4:01.0,Turnover by J. Murray (lost ball; steal by D. Lillard),,74-93,,
3:51.0,,,74-93,,Turnover by J. Nurkic (out of bounds lost ball)
3:41.0,W. Barton makes 2-pt shot at rim,2,76-93,,
3:37.0,,,76-93,,Portland full timeout
3:17.0,,,76-93,,D. Lillard misses 3-pt shot from 28 ft
3:12.0,Defensive rebound by J. Murray,,76-93,,
3:10.0,W. Barton misses 3-pt shot from 25 ft,,76-93,,
3:07.0,,,76-93,,Defensive rebound by N. Vonleh
2:48.0,,,76-93,,Turnover by J. Nurkic (bad pass; steal by J. Murray)
2:33.0,K. Faried misses 2-pt shot from 1 ft (block by J. Nurkic),,76-93,,
2:33.0,Offensive rebound by Team,,76-93,,
2:33.0,,,76-93,,P. Connaughton enters the game for D. Lillard
2:33.0,,,76-93,,S. Napier enters the game for C. McCollum
2:33.0,,,76-93,,Z. Collins enters the game for M. Harkless
2:33.0,,,76-93,,J. Layman enters the game for J. Nurkic
2:33.0,M. Beasley enters the game for W. Barton,,76-93,,
2:27.0,T. Lyles misses 3-pt shot from 24 ft,,76-93,,
2:23.0,,,76-93,,Defensive rebound by P. Connaughton
2:11.0,,,76-93,,Turnover by Z. Collins (step out of bounds)
