time,Boston,pts.away,score,pts.home,Detroit
0:48.0,Personal foul by M. Smart (drawn by I. Smith),,29-20,,
0:48.0,,,29-21,1,I. Smith makes free throw 2 of 2
0:48.0,,,29-21,,I. Smith misses free throw 1 of 2
0:48.0,,,29-21,,Offensive rebound by Team
0:25.0,T. Rozier misses 3-pt shot from 28 ft,,29-21,,
0:21.0,,,29-21,,Defensive rebound by I. Smith
0:03.0,,,29-21,,I. Smith misses 2-pt shot from 13 ft
0:01.0,,,29-21,,Offensive rebound by Team
0:00.0,,,29-21,,A. Drummond misses 2-pt shot from 15 ft
0:00.0,,,29-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,K. Irving makes 3-pt shot from 31 ft,3,32-21,,
11:22.0,,,32-23,2,A. Bradley makes 2-pt shot from 20 ft
10:54.0,T. Rozier misses 2-pt shot from 3 ft,,32-23,,
10:50.0,,,32-23,,Defensive rebound by E. Moreland
10:39.0,,,32-23,,L. Kennard misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by D. Theis,,32-23,,
10:26.0,M. Smart makes 2-pt shot at rim (assist by A. Horford),2,34-23,,
10:12.0,,,34-26,3,A. Bradley makes 3-pt shot from 24 ft (assist by I. Smith)
9:53.0,D. Theis makes 2-pt shot from 12 ft (assist by K. Irving),2,36-26,,
9:28.0,,,36-26,,I. Smith misses 2-pt shot from 19 ft
9:24.0,Defensive rebound by A. Horford,,36-26,,
9:19.0,K. Irving misses 2-pt shot from 2 ft,,36-26,,
9:17.0,,,36-26,,Defensive rebound by L. Kennard
9:07.0,,,36-26,,A. Bradley misses 3-pt shot from 22 ft (block by A. Horford)
9:02.0,,,36-26,,Offensive rebound by T. Harris
8:56.0,,,36-26,,A. Bradley misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by T. Rozier,,36-26,,
8:45.0,Turnover by M. Smart (bad pass; steal by E. Moreland),,36-26,,
8:39.0,,,36-26,,L. Kennard misses 3-pt shot from 25 ft
8:35.0,,,36-26,,Offensive rebound by I. Smith
8:32.0,,,36-26,,I. Smith misses 2-pt shot from 11 ft
8:32.0,,,36-26,,Offensive rebound by E. Moreland
8:28.0,,,36-29,3,L. Kennard makes 3-pt shot from 25 ft (assist by E. Moreland)
8:28.0,Boston full timeout,,36-29,,
8:28.0,,,36-29,,L. Galloway enters the game for A. Bradley
8:28.0,S. Larkin enters the game for K. Irving,,36-29,,
8:28.0,J. Brown enters the game for M. Smart,,36-29,,
8:12.0,D. Theis misses 2-pt shot from 2 ft (block by E. Moreland),,36-29,,
8:11.0,Offensive rebound by Team,,36-29,,
7:52.0,Turnover by J. Brown (lost ball; steal by E. Moreland),,36-29,,
