time,Charlotte,pts.away,score,pts.home,Dallas
6:49.0,Defensive rebound by F. Kaminsky,,37-35,,
6:39.0,W. Hernangomez misses 2-pt shot at rim,,37-35,,
6:36.0,,,37-35,,Defensive rebound by D. Nowitzki
6:34.0,,,37-35,,Turnover by D. Nowitzki (lost ball; steal by T. Graham)
6:30.0,M. Monk makes 3-pt shot from 24 ft (assist by D. Bacon),3,40-35,,
6:28.0,,,40-35,,Dallas full timeout
6:28.0,,,40-35,,D. Smith enters the game for Y. Ferrell
6:28.0,,,40-35,,D. Finney-Smith enters the game for D. McDermott
6:28.0,,,40-35,,N. Noel enters the game for D. Nowitzki
6:28.0,,,40-35,,H. Barnes enters the game for D. Powell
6:28.0,J. Lamb enters the game for M. Monk,,40-35,,
6:28.0,K. Walker enters the game for T. Graham,,40-35,,
6:20.0,Personal foul by D. Bacon (drawn by H. Barnes),,40-35,,
6:05.0,,,40-35,,H. Barnes misses 2-pt shot from 7 ft
6:02.0,Defensive rebound by W. Hernangomez,,40-35,,
5:46.0,D. Bacon misses 2-pt shot from 11 ft,,40-35,,
5:43.0,,,40-35,,Defensive rebound by D. Finney-Smith
5:29.0,,,40-37,2,N. Noel makes 2-pt shot at rim (assist by J. Barea)
5:14.0,F. Kaminsky makes 2-pt shot from 9 ft (assist by K. Walker),2,42-37,,
4:51.0,,,42-37,,J. Barea misses 2-pt shot from 8 ft
4:49.0,Defensive rebound by K. Walker,,42-37,,
4:44.0,K. Walker makes 3-pt shot from 22 ft (assist by F. Kaminsky),3,45-37,,
4:29.0,,,45-37,,H. Barnes misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by W. Hernangomez,,45-37,,
4:19.0,,,45-37,,Y. Ferrell enters the game for J. Barea
4:19.0,M. Williams enters the game for D. Bacon,,45-37,,
4:19.0,M. Kidd-Gilchrist enters the game for W. Hernangomez,,45-37,,
4:19.0,D. Howard enters the game for F. Kaminsky,,45-37,,
4:09.0,J. Lamb makes 2-pt shot from 12 ft,2,47-37,,
3:56.0,,,47-39,2,D. Smith makes 2-pt shot at rim
3:42.0,Shooting foul by N. Noel (drawn by D. Howard),,47-39,,
3:42.0,D. Howard makes free throw 1 of 2,1,48-39,,
3:42.0,D. Howard makes free throw 2 of 2,1,49-39,,
3:31.0,,,49-39,,D. Smith misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by D. Howard,,49-39,,
3:16.0,Turnover by K. Walker (bad pass; steal by D. Finney-Smith),,49-39,,
3:07.0,,,49-39,,N. Noel misses 2-pt shot from 12 ft (block by D. Howard)
3:04.0,Defensive rebound by J. Lamb,,49-39,,
2:58.0,Turnover by J. Lamb (lost ball; steal by N. Noel),,49-39,,
2:41.0,,,49-41,2,Y. Ferrell makes 2-pt shot from 17 ft
2:29.0,,,49-41,,Personal foul by Y. Ferrell (drawn by J. Lamb)
2:29.0,J. Lamb misses free throw 1 of 2,,49-41,,
2:29.0,Offensive rebound by Team,,49-41,,
2:29.0,J. Lamb misses free throw 2 of 2,,49-41,,
2:27.0,,,49-41,,Defensive rebound by N. Noel
2:17.0,,,49-41,,Shooting foul by K. Walker (drawn by Y. Ferrell)
2:17.0,,,49-42,1,Y. Ferrell makes free throw 1 of 2
2:17.0,,,49-42,,Y. Ferrell misses free throw 2 of 2
2:14.0,Defensive rebound by D. Howard,,49-42,,
2:12.0,,,49-42,,Personal take foul by D. Finney-Smith (drawn by D. Howard)
2:12.0,D. Howard makes free throw 1 of 2,1,50-42,,
2:12.0,D. Howard misses free throw 2 of 2,,50-42,,
2:10.0,,,50-42,,Defensive rebound by H. Barnes
1:57.0,,,50-42,,H. Barnes misses 2-pt shot from 12 ft
1:54.0,Defensive rebound by D. Howard,,50-42,,
1:43.0,J. Lamb makes 2-pt shot from 11 ft,2,52-42,,
1:28.0,,,52-44,2,N. Noel makes 2-pt shot from 12 ft (assist by Y. Ferrell)
1:12.0,M. Kidd-Gilchrist misses 2-pt shot from 8 ft,,52-44,,
1:10.0,Offensive rebound by J. Lamb,,52-44,,
1:09.0,J. Lamb misses 2-pt shot at rim,,52-44,,
1:07.0,Offensive rebound by M. Kidd-Gilchrist,,52-44,,
1:05.0,M. Kidd-Gilchrist misses 2-pt shot at rim (block by N. Noel),,52-44,,
1:03.0,,,52-44,,Defensive rebound by N. Noel
1:01.0,,,52-46,2,D. Smith makes 2-pt shot from 7 ft
0:46.0,K. Walker makes 2-pt shot from 15 ft,2,54-46,,
0:32.0,,,54-46,,D. Smith misses 2-pt shot from 20 ft
0:30.0,Defensive rebound by M. Kidd-Gilchrist,,54-46,,
0:06.0,Jump ball: N. Noel vs. K. Walker (D. Smith gains possession),,,,Jump ball: N. Noel vs. K. Walker (D. Smith gains possession)
0:06.0,Turnover by K. Walker (turnover; steal by N. Noel),,54-46,,
0:01.0,,,54-46,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Smith)
0:01.0,,,54-47,1,D. Smith makes free throw 1 of 2
0:01.0,,,54-48,1,D. Smith makes free throw 2 of 2
0:00.0,D. Howard misses 3-pt shot from 55 ft,,54-48,,
0:00.0,Offensive rebound by Team,,54-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,54-48,,D. Powell misses 3-pt shot from 25 ft
11:48.0,Defensive rebound by D. Howard,,54-48,,
11:30.0,K. Walker misses 3-pt shot from 25 ft,,54-48,,
11:28.0,,,54-48,,Defensive rebound by D. Nowitzki
11:17.0,,,54-48,,D. Smith misses 2-pt shot from 14 ft
11:14.0,Defensive rebound by M. Williams,,54-48,,
10:55.0,,,54-48,,Personal foul by D. Powell (drawn by D. Howard)
10:48.0,D. Howard misses 2-pt shot from 20 ft,,54-48,,
10:46.0,,,54-48,,Defensive rebound by H. Barnes
10:30.0,,,54-51,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Powell)
10:13.0,J. Lamb misses 2-pt shot from 17 ft,,54-51,,
10:11.0,,,54-51,,Defensive rebound by D. Nowitzki
10:03.0,,,54-51,,H. Barnes misses 2-pt shot from 12 ft
10:03.0,Defensive rebound by D. Howard,,54-51,,
9:51.0,M. Kidd-Gilchrist misses 2-pt shot from 4 ft,,54-51,,
9:49.0,,,54-51,,Defensive rebound by D. Powell
9:42.0,Personal foul by D. Howard (drawn by H. Barnes),,54-51,,
9:42.0,,,54-51,,M. Kleber enters the game for D. Powell
9:31.0,,,54-51,,D. Finney-Smith misses 2-pt shot from 8 ft
9:28.0,Defensive rebound by D. Howard,,54-51,,
9:19.0,J. Lamb misses 3-pt shot from 24 ft,,54-51,,
9:18.0,Offensive rebound by M. Williams,,54-51,,
9:17.0,M. Williams misses 3-pt shot from 25 ft,,54-51,,
9:16.0,Offensive rebound by Team,,54-51,,
9:15.0,,,54-51,,Loose ball foul by D. Smith (drawn by D. Howard)
9:07.0,Shooting foul by M. Kleber (drawn by D. Howard),,54-51,,
9:07.0,D. Howard makes free throw 1 of 2,1,55-51,,
9:07.0,D. Howard misses free throw 2 of 2,,55-51,,
9:04.0,,,55-51,,Defensive rebound by M. Kleber
8:52.0,,,55-51,,D. Nowitzki misses 2-pt shot from 19 ft
8:49.0,Defensive rebound by M. Williams,,55-51,,
8:29.0,J. Lamb makes 3-pt shot from 23 ft,3,58-51,,
8:13.0,,,58-51,,Shooting foul by J. Lamb (drawn by D. Smith)
8:13.0,,,58-52,1,D. Smith makes free throw 1 of 2
8:13.0,,,58-52,,D. Smith misses free throw 2 of 2
8:09.0,,,58-52,,Offensive rebound by H. Barnes
8:08.0,,,58-54,2,H. Barnes makes 2-pt shot from 1 ft
7:44.0,,,58-54,,Shooting block foul by M. Kleber (drawn by K. Walker)
7:44.0,K. Walker makes free throw 1 of 2,1,59-54,,
7:44.0,K. Walker makes free throw 2 of 2,1,60-54,,
7:32.0,,,60-54,,M. Kleber misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by M. Williams,,60-54,,
7:24.0,K. Walker misses 3-pt shot from 24 ft,,60-54,,
7:21.0,,,60-54,,Defensive rebound by D. Finney-Smith
7:11.0,,,60-54,,M. Kleber misses 2-pt shot at rim (block by M. Kidd-Gilchrist)
7:09.0,Defensive rebound by D. Howard,,60-54,,
6:53.0,M. Williams makes 3-pt shot from 25 ft (assist by D. Howard),3,63-54,,
6:52.0,,,63-54,,Dallas full timeout
6:52.0,,,63-54,,D. McDermott enters the game for D. Finney-Smith
6:52.0,,,63-54,,J. Barea enters the game for D. Nowitzki
6:52.0,,,63-54,,N. Noel enters the game for M. Kleber
6:32.0,,,63-54,,N. Noel misses 2-pt shot from 11 ft
6:29.0,Defensive rebound by D. Howard,,63-54,,
6:16.0,D. Howard makes 2-pt shot at rim (assist by J. Lamb),2,65-54,,
5:52.0,,,65-54,,H. Barnes misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by D. Howard,,65-54,,
5:35.0,D. Howard misses 2-pt shot from 19 ft,,65-54,,
5:30.0,,,65-54,,Defensive rebound by D. Smith
5:26.0,,,65-54,,D. Smith misses 3-pt shot from 26 ft
5:22.0,Defensive rebound by M. Williams,,65-54,,
5:16.0,J. Lamb misses 2-pt shot from 19 ft,,65-54,,
5:09.0,Offensive rebound by M. Williams,,65-54,,
5:09.0,M. Williams makes 2-pt shot at rim,2,67-54,,
4:52.0,,,67-54,,Turnover by N. Noel (lost ball; steal by K. Walker)
4:45.0,M. Kidd-Gilchrist misses 2-pt shot from 9 ft,,67-54,,
4:43.0,,,67-54,,Defensive rebound by N. Noel
4:36.0,,,67-56,2,D. Smith makes 2-pt shot at rim
4:13.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Williams),2,69-56,,
3:54.0,,,69-59,3,H. Barnes makes 3-pt shot from 25 ft (assist by J. Barea)
3:29.0,Shooting foul by D. McDermott (drawn by J. Lamb),,69-59,,
3:29.0,J. Lamb makes free throw 1 of 2,1,70-59,,
3:29.0,D. Bacon enters the game for M. Williams,,70-59,,
3:29.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,70-59,,
3:29.0,J. Lamb makes free throw 2 of 2,1,71-59,,
3:13.0,,,71-59,,H. Barnes misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by D. Howard,,71-59,,
3:02.0,Turnover by K. Walker (bad pass; steal by J. Barea),,71-59,,
2:55.0,,,71-59,,D. McDermott misses 2-pt shot from 1 ft
2:49.0,Defensive rebound by D. Howard,,71-59,,
2:41.0,J. Lamb makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,74-59,,
2:21.0,,,74-62,3,D. Smith makes 3-pt shot from 22 ft (assist by H. Barnes)
2:01.0,K. Walker makes 2-pt shot from 15 ft,2,76-62,,
1:48.0,,,76-65,3,D. McDermott makes 3-pt shot from 22 ft (assist by D. Smith)
1:46.0,Charlotte full timeout,,76-65,,
1:46.0,M. Monk enters the game for J. Lamb,,76-65,,
1:46.0,T. Graham enters the game for K. Walker,,76-65,,
1:34.0,Turnover by F. Kaminsky (bad pass; steal by D. McDermott),,76-65,,
1:25.0,,,76-68,3,D. McDermott makes 3-pt shot from 23 ft (assist by H. Barnes)
1:10.0,M. Monk misses 2-pt shot from 3 ft,,76-68,,
1:08.0,,,76-68,,Defensive rebound by N. Noel
1:03.0,,,76-68,,H. Barnes misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by D. Howard,,76-68,,
0:40.0,M. Monk makes 3-pt shot from 22 ft (assist by D. Howard),3,79-68,,
0:31.0,,,79-70,2,J. Barea makes 2-pt shot from 8 ft
0:14.0,M. Monk misses 2-pt shot from 17 ft,,79-70,,
0:12.0,,,79-70,,Defensive rebound by J. Barea
0:00.0,,,79-70,,J. Barea misses 2-pt shot from 15 ft
0:00.0,,,79-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,D. Bacon makes 2-pt shot from 5 ft (assist by F. Kaminsky),2,81-70,,
11:32.0,,,81-70,,D. Nowitzki misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by D. Bacon,,81-70,,
11:24.0,D. Bacon misses 2-pt shot from 20 ft,,81-70,,
11:21.0,,,81-70,,Defensive rebound by J. Barea
11:14.0,,,81-72,2,Y. Ferrell makes 2-pt shot at rim (assist by J. Barea)
11:00.0,F. Kaminsky misses 3-pt shot from 25 ft,,81-72,,
10:56.0,,,81-72,,Defensive rebound by Y. Ferrell
10:52.0,,,81-72,,D. Nowitzki misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by F. Kaminsky,,81-72,,
10:37.0,W. Hernangomez misses 2-pt shot from 1 ft (block by D. Powell),,81-72,,
10:35.0,,,81-72,,Defensive rebound by D. Powell
10:33.0,,,81-72,,Turnover by D. Powell (bad pass; steal by M. Monk)
10:29.0,M. Monk misses 2-pt shot from 2 ft,,81-72,,
10:25.0,Offensive rebound by W. Hernangomez,,81-72,,
10:17.0,M. Monk misses 2-pt shot from 2 ft (block by D. Nowitzki),,81-72,,
10:17.0,,,81-72,,Defensive rebound by D. Nowitzki
10:10.0,,,81-72,,Shooting foul by F. Kaminsky (drawn by D. McDermott)
10:10.0,,,81-73,1,D. McDermott makes free throw 1 of 3
10:10.0,,,81-74,1,D. McDermott makes free throw 2 of 3
10:10.0,,,81-75,1,D. McDermott makes free throw 3 of 3
9:50.0,D. Bacon misses 2-pt shot from 9 ft,,81-75,,
9:50.0,Offensive rebound by T. Graham,,81-75,,
9:50.0,T. Graham misses 2-pt shot from 1 ft (block by Y. Ferrell),,81-75,,
9:48.0,Offensive rebound by T. Graham,,81-75,,
9:44.0,T. Graham misses 2-pt shot from 1 ft,,81-75,,
9:44.0,Offensive rebound by W. Hernangomez,,81-75,,
9:44.0,Shooting foul by D. Powell (drawn by W. Hernangomez),,81-75,,
9:44.0,W. Hernangomez makes free throw 1 of 2,1,82-75,,
9:44.0,W. Hernangomez misses free throw 2 of 2,,82-75,,
9:42.0,,,82-75,,Defensive rebound by D. Powell
9:28.0,,,82-77,2,J. Barea makes 2-pt shot from 8 ft
9:20.0,,,82-77,,Personal foul by D. McDermott (drawn by D. Bacon)
9:14.0,D. Bacon misses 2-pt shot from 18 ft,,82-77,,
9:11.0,,,82-77,,Defensive rebound by D. Powell
9:01.0,,,82-77,,Shooting foul by T. Graham (drawn by D. Powell)
9:01.0,,,82-78,1,D. Powell makes free throw 1 of 2
9:01.0,,,82-79,1,D. Powell makes free throw 2 of 2
8:44.0,F. Kaminsky misses 2-pt shot from 12 ft,,82-79,,
8:42.0,,,82-79,,Defensive rebound by D. Powell
8:32.0,,,82-79,,Y. Ferrell misses 3-pt shot from 22 ft
8:30.0,,,82-79,,Offensive rebound by Team
8:24.0,,,82-79,,J. Barea misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by T. Graham,,82-79,,
8:17.0,Offensive foul by W. Hernangomez (drawn by J. Barea),,82-79,,
8:17.0,Turnover by W. Hernangomez (offensive foul),,82-79,,
8:04.0,Personal foul by T. Graham (drawn by D. Powell),,82-79,,
8:04.0,K. Walker enters the game for T. Graham,,82-79,,
7:52.0,,,82-79,,D. Nowitzki misses 3-pt shot from 25 ft
7:47.0,Defensive rebound by D. Bacon,,82-79,,
7:44.0,,,82-79,,Personal foul by D. Powell (drawn by F. Kaminsky)
7:33.0,K. Walker misses 2-pt shot from 20 ft,,82-79,,
7:30.0,Offensive rebound by F. Kaminsky,,82-79,,
7:28.0,K. Walker makes 3-pt shot from 26 ft (assist by F. Kaminsky),3,85-79,,
7:27.0,,,85-79,,Dallas full timeout
7:15.0,,,85-81,2,Y. Ferrell makes 2-pt shot at rim (assist by D. Powell)
7:00.0,K. Walker misses 2-pt shot from 15 ft,,85-81,,
6:57.0,Offensive rebound by W. Hernangomez,,85-81,,
6:56.0,W. Hernangomez misses 2-pt shot from 1 ft,,85-81,,
6:55.0,,,85-81,,Defensive rebound by D. Nowitzki
6:47.0,,,85-81,,D. Nowitzki misses 2-pt shot from 19 ft
6:44.0,Defensive rebound by W. Hernangomez,,85-81,,
6:37.0,Shooting foul by D. McDermott (drawn by D. Bacon),,85-81,,
6:37.0,D. Bacon makes free throw 1 of 2,1,86-81,,
6:37.0,,,86-81,,N. Noel enters the game for J. Barea
6:37.0,,,86-81,,H. Barnes enters the game for D. Powell
6:37.0,,,86-81,,D. Finney-Smith enters the game for D. McDermott
6:37.0,,,86-81,,D. Smith enters the game for D. Nowitzki
6:37.0,J. Lamb enters the game for M. Monk,,86-81,,
6:37.0,D. Howard enters the game for W. Hernangomez,,86-81,,
