time,Phoenix,pts.away,score,pts.home,Miami
10:07.0,,,30-32,,Defensive rebound by K. Olynyk
9:48.0,,,30-32,,J. Richardson misses 2-pt shot from 15 ft
9:46.0,Defensive rebound by S. Harrison,,30-32,,
9:32.0,A. Len makes 2-pt shot from 1 ft (assist by T. Warren),2,32-32,,
9:13.0,,,32-32,,T. Johnson misses 2-pt shot from 6 ft
9:10.0,Defensive rebound by J. Jackson,,32-32,,
9:09.0,Offensive charge foul by J. Jackson (drawn by J. Richardson),,32-32,,
9:09.0,Turnover by J. Jackson (offensive foul),,32-32,,
8:57.0,,,32-35,3,J. Winslow makes 3-pt shot from 24 ft (assist by K. Olynyk)
8:43.0,S. Harrison misses 2-pt shot from 5 ft,,32-35,,
8:42.0,Offensive rebound by A. Len,,32-35,,
8:42.0,Shooting foul by D. Wade (drawn by A. Len),,32-35,,
8:42.0,A. Len makes free throw 1 of 2,1,33-35,,
8:42.0,A. Len misses free throw 2 of 2,,33-35,,
8:40.0,,,33-35,,Defensive rebound by J. Winslow
8:29.0,,,33-37,2,K. Olynyk makes 2-pt shot from 17 ft (assist by J. Winslow)
8:12.0,A. Len misses 2-pt shot from 1 ft (block by T. Johnson),,33-37,,
8:10.0,,,33-37,,Defensive rebound by J. Winslow
8:03.0,,,33-40,3,T. Johnson makes 3-pt shot from 23 ft (assist by K. Olynyk)
8:03.0,Phoenix full timeout,,33-40,,
8:03.0,E. Payton enters the game for S. Harrison,,33-40,,
8:03.0,D. Bender enters the game for A. Len,,33-40,,
7:55.0,Turnover by E. Payton (bad pass; steal by J. Winslow),,33-40,,
7:55.0,Personal foul by E. Payton (drawn by J. Winslow),,33-40,,
7:55.0,,,33-41,1,J. Winslow makes clear path free throw 1 of 2
7:55.0,,,33-41,,J. Winslow misses clear path free throw 2 of 2
7:33.0,,,33-41,,Turnover by K. Olynyk (lost ball; steal by T. Warren)
7:15.0,M. Chriss makes 2-pt shot from 1 ft,2,35-41,,
6:54.0,,,35-41,,J. Winslow misses 2-pt shot from 1 ft
6:53.0,,,35-41,,Offensive rebound by K. Olynyk
6:48.0,,,35-44,3,J. Richardson makes 3-pt shot from 26 ft (assist by K. Olynyk)
6:41.0,M. Chriss misses 2-pt shot from 5 ft,,35-44,,
6:38.0,,,35-44,,Defensive rebound by J. Winslow
6:32.0,,,35-44,,D. Wade misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by J. Jackson,,35-44,,
6:11.0,T. Warren misses 2-pt shot from 1 ft,,35-44,,
6:09.0,,,35-44,,Defensive rebound by J. Richardson
6:05.0,,,35-44,,T. Johnson misses 2-pt shot from 20 ft
6:05.0,Defensive rebound by M. Chriss,,35-44,,
5:45.0,M. Chriss misses 3-pt shot from 25 ft,,35-44,,
5:42.0,,,35-44,,Defensive rebound by J. Winslow
5:35.0,,,35-44,,G. Dragic enters the game for D. Wade
5:35.0,,,35-44,,H. Whiteside enters the game for T. Johnson
5:35.0,D. Booker enters the game for M. Chriss,,35-44,,
5:35.0,T. Chandler enters the game for J. Jackson,,35-44,,
5:28.0,,,35-44,,Turnover by J. Richardson (traveling)
5:15.0,E. Payton makes 2-pt shot from 5 ft,2,37-44,,
4:52.0,,,37-44,,J. Winslow misses 2-pt shot from 21 ft
4:49.0,,,37-44,,Offensive rebound by K. Olynyk
4:41.0,,,37-44,,Shooting foul by E. Payton (drawn by K. Olynyk)
4:41.0,,,37-45,1,K. Olynyk makes free throw 1 of 2
4:41.0,,,37-46,1,K. Olynyk makes free throw 2 of 2
4:27.0,Turnover by T. Chandler (bad pass; steal by K. Olynyk),,37-46,,
4:19.0,,,37-49,3,G. Dragic makes 3-pt shot from 25 ft (assist by K. Olynyk)
4:02.0,E. Payton misses 2-pt shot from 15 ft,,37-49,,
3:59.0,,,37-49,,Defensive rebound by H. Whiteside
3:53.0,,,37-51,2,H. Whiteside makes 2-pt shot from 8 ft (assist by J. Winslow)
3:53.0,Phoenix full timeout,,37-51,,
3:53.0,,,37-51,,J. Johnson enters the game for K. Olynyk
3:39.0,T. Warren makes 2-pt shot from 18 ft (assist by D. Booker),2,39-51,,
3:18.0,,,39-53,2,G. Dragic makes 2-pt shot from 8 ft
3:05.0,D. Booker makes 3-pt shot from 26 ft,3,42-53,,
3:04.0,,,42-53,,Miami full timeout
2:46.0,,,42-53,,H. Whiteside misses 2-pt shot from 8 ft
2:44.0,Defensive rebound by T. Warren,,42-53,,
2:36.0,T. Warren makes 2-pt shot from 5 ft,2,44-53,,
2:24.0,,,44-56,3,J. Richardson makes 3-pt shot from 26 ft (assist by G. Dragic)
2:01.0,D. Booker misses 3-pt shot from 26 ft,,44-56,,
1:59.0,,,44-56,,Defensive rebound by H. Whiteside
1:56.0,,,44-56,,Shooting foul by T. Chandler (drawn by H. Whiteside)
1:56.0,,,44-56,,H. Whiteside misses free throw 1 of 2
1:56.0,,,44-56,,Offensive rebound by Team
1:56.0,M. Chriss enters the game for D. Bender,,44-56,,
1:56.0,,,44-57,1,H. Whiteside makes free throw 2 of 2
1:37.0,,,44-57,,Personal foul by J. Richardson
1:37.0,,,44-57,,Technical foul by J. Richardson
1:37.0,D. Booker misses technical free throw,,44-57,,
1:37.0,Offensive rebound by Team,,44-57,,
1:37.0,,,44-57,,L. Babbitt enters the game for J. Richardson
1:29.0,Turnover by E. Payton (bad pass; steal by H. Whiteside),,44-57,,
1:20.0,,,44-59,2,G. Dragic makes 2-pt shot at rim
1:09.0,Shooting foul by G. Dragic (drawn by E. Payton),,44-59,,
1:09.0,E. Payton misses free throw 1 of 3,,44-59,,
1:09.0,Offensive rebound by Team,,44-59,,
1:09.0,E. Payton makes free throw 2 of 3,1,45-59,,
1:09.0,E. Payton makes free throw 3 of 3,1,46-59,,
0:58.0,Personal foul by E. Payton (drawn by G. Dragic),,46-59,,
0:58.0,,,46-60,1,G. Dragic makes free throw 1 of 2
0:58.0,S. Harrison enters the game for E. Payton,,46-60,,
0:58.0,,,46-61,1,G. Dragic makes free throw 2 of 2
0:46.0,D. Booker misses 3-pt shot from 25 ft,,46-61,,
0:44.0,,,46-61,,Defensive rebound by H. Whiteside
0:34.0,,,46-61,,L. Babbitt misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by D. Booker,,46-61,,
0:23.0,T. Chandler misses 2-pt shot at rim,,46-61,,
0:22.0,,,46-61,,Defensive rebound by Team
