time,Chicago,pts.away,score,pts.home,LA Lakers
8:30.0,,,41-26,,K. Caldwell-Pope enters the game for J. Clarkson
8:30.0,,,41-26,,L. Ball enters the game for J. Randle
8:30.0,,,41-26,,B. Lopez enters the game for C. Brewer
8:30.0,,,41-26,,B. Ingram enters the game for J. Hart
8:30.0,,,41-27,1,K. Kuzma makes technical free throw
8:30.0,,,41-27,,Turnover by Team (turnover)
8:26.0,,,41-27,,Personal foul by B. Lopez (drawn by A. Blakeney)
8:21.0,J. Holiday misses 3-pt shot from 26 ft,,41-27,,
8:19.0,,,41-27,,Defensive rebound by B. Lopez
7:58.0,,,41-27,,K. Kuzma misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by Team,,41-27,,
7:45.0,Turnover by J. Grant (bad pass; steal by K. Caldwell-Pope),,41-27,,
7:41.0,,,41-29,2,B. Ingram makes 2-pt shot from 1 ft (assist by L. Ball)
7:20.0,A. Blakeney misses 2-pt shot from 9 ft,,41-29,,
7:17.0,,,41-29,,Defensive rebound by B. Lopez
7:03.0,,,41-29,,B. Lopez misses 2-pt shot from 10 ft
7:00.0,Defensive rebound by B. Portis,,41-29,,
6:50.0,A. Blakeney misses 2-pt shot from 9 ft,,41-29,,
6:48.0,,,41-29,,Defensive rebound by L. Ball
6:44.0,,,41-32,3,K. Kuzma makes 3-pt shot from 22 ft (assist by B. Ingram)
6:43.0,Chicago full timeout,,41-32,,
6:43.0,L. Markkanen enters the game for J. Grant,,41-32,,
6:43.0,D. Valentine enters the game for B. Portis,,41-32,,
6:43.0,K. Dunn enters the game for C. Felicio,,41-32,,
6:43.0,R. Lopez enters the game for A. Blakeney,,41-32,,
6:36.0,R. Lopez misses 2-pt shot from 20 ft,,41-32,,
6:33.0,Offensive rebound by L. Markkanen,,41-32,,
6:29.0,J. Holiday makes 3-pt shot from 26 ft (assist by L. Markkanen),3,44-32,,
6:16.0,,,44-32,,Turnover by K. Kuzma (traveling)
6:03.0,L. Markkanen misses 2-pt shot from 2 ft,,44-32,,
6:00.0,,,44-32,,Defensive rebound by B. Lopez
5:53.0,,,44-32,,L. Ball misses 2-pt shot from 2 ft (block by L. Markkanen)
5:50.0,,,44-32,,Offensive rebound by L. Ball
5:48.0,,,44-32,,K. Kuzma misses 2-pt shot from 21 ft
5:46.0,Defensive rebound by J. Holiday,,44-32,,
5:39.0,D. Valentine misses 2-pt shot from 11 ft,,44-32,,
5:36.0,Offensive rebound by J. Holiday,,44-32,,
5:26.0,R. Lopez makes 2-pt shot from 7 ft (assist by D. Valentine),2,46-32,,
5:03.0,,,46-34,2,B. Ingram makes 2-pt shot from 2 ft
4:49.0,K. Dunn misses 2-pt shot from 2 ft (block by B. Lopez),,46-34,,
4:46.0,,,46-34,,Defensive rebound by B. Ingram
4:34.0,,,46-34,,B. Ingram misses 3-pt shot from 25 ft
4:29.0,,,46-34,,Offensive rebound by K. Caldwell-Pope
4:25.0,,,46-36,2,K. Caldwell-Pope makes 2-pt shot from 18 ft
4:13.0,L. Markkanen makes 3-pt shot from 25 ft (assist by R. Lopez),3,49-36,,
4:00.0,,,49-36,,L. Ball misses 2-pt shot from 2 ft
3:59.0,Defensive rebound by L. Markkanen,,49-36,,
3:49.0,K. Dunn makes 3-pt shot from 22 ft (assist by D. Valentine),3,52-36,,
3:47.0,,,52-36,,LA Lakers full timeout
3:23.0,,,52-36,,B. Ingram misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by L. Markkanen,,52-36,,
3:09.0,Turnover by L. Markkanen (traveling),,52-36,,
3:09.0,,,52-36,,J. Randle enters the game for B. Lopez
2:56.0,,,52-36,,L. Ball misses 3-pt shot from 26 ft
2:54.0,Defensive rebound by D. Valentine,,52-36,,
2:48.0,L. Markkanen misses 3-pt shot from 25 ft,,52-36,,
2:42.0,,,52-36,,Defensive rebound by L. Ball
2:39.0,,,52-36,,Turnover by K. Kuzma (bad pass)
2:27.0,R. Lopez makes 2-pt shot from 4 ft (assist by J. Holiday),2,54-36,,
2:08.0,,,54-39,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by K. Kuzma)
1:57.0,Turnover by L. Markkanen (turnover),,54-39,,
1:57.0,Violation by D. Valentine (kicked ball),,54-39,,
1:49.0,,,54-41,2,K. Kuzma makes 2-pt shot from 7 ft
1:49.0,,,54-41,,Shooting foul by K. Dunn (drawn by K. Kuzma)
1:49.0,,,54-42,1,K. Kuzma makes free throw 1 of 1
1:30.0,R. Lopez misses 2-pt shot from 3 ft,,54-42,,
1:26.0,Offensive rebound by K. Dunn,,54-42,,
1:25.0,R. Lopez misses 2-pt shot from 3 ft,,54-42,,
1:23.0,,,54-42,,Defensive rebound by L. Ball
1:17.0,,,54-42,,K. Kuzma misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by J. Holiday,,54-42,,
0:58.0,,,54-42,,Personal foul by K. Caldwell-Pope (drawn by R. Lopez)
0:56.0,K. Dunn misses 2-pt shot from 8 ft,,54-42,,
0:54.0,,,54-42,,Defensive rebound by L. Ball
0:31.0,,,54-42,,K. Caldwell-Pope misses 3-pt shot from 22 ft
0:27.0,Defensive rebound by D. Valentine,,54-42,,
0:26.0,K. Dunn makes 2-pt shot from 2 ft (assist by D. Valentine),2,56-42,,
0:08.0,,,56-42,,L. Ball misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by D. Valentine,,56-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Holiday misses 3-pt shot from 26 ft,,56-42,,
11:38.0,Offensive rebound by L. Markkanen,,56-42,,
11:36.0,L. Markkanen misses 2-pt shot from 2 ft (block by B. Ingram),,56-42,,
11:36.0,Offensive rebound by L. Markkanen,,56-42,,
11:34.0,Jump ball: B. Lopez vs. L. Markkanen (K. Dunn gains possession),,,,Jump ball: B. Lopez vs. L. Markkanen (K. Dunn gains possession)
11:29.0,J. Holiday makes 3-pt shot from 26 ft (assist by K. Dunn),3,59-42,,
11:11.0,,,59-42,,B. Ingram misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by D. Valentine,,59-42,,
11:04.0,K. Dunn misses 2-pt shot from 2 ft (block by B. Ingram),,59-42,,
10:58.0,,,59-42,,Defensive rebound by B. Lopez
10:55.0,,,59-42,,K. Kuzma misses 2-pt shot from 10 ft
10:53.0,Defensive rebound by L. Markkanen,,59-42,,
10:37.0,K. Dunn misses 2-pt shot from 16 ft,,59-42,,
10:37.0,Offensive rebound by K. Dunn,,59-42,,
10:24.0,Shooting foul by B. Lopez (drawn by J. Holiday),,59-42,,
10:24.0,J. Holiday makes free throw 1 of 3,1,60-42,,
10:24.0,J. Holiday makes free throw 2 of 3,1,61-42,,
10:24.0,,,61-42,,LA Lakers full timeout
10:24.0,J. Holiday misses free throw 3 of 3,,61-42,,
10:24.0,,,61-42,,Defensive rebound by L. Ball
10:11.0,,,61-42,,B. Lopez misses 2-pt shot from 1 ft
10:10.0,Defensive rebound by R. Lopez,,61-42,,
10:00.0,Turnover by K. Dunn (bad pass; steal by L. Ball),,61-42,,
9:56.0,,,61-45,3,K. Kuzma makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
9:24.0,R. Lopez makes 2-pt shot from 8 ft (assist by D. Valentine),2,63-45,,
9:09.0,,,63-47,2,B. Ingram makes 2-pt shot from 2 ft
8:51.0,R. Lopez misses 2-pt shot from 18 ft,,63-47,,
8:48.0,,,63-47,,Defensive rebound by B. Lopez
8:38.0,,,63-50,3,L. Ball makes 3-pt shot from 25 ft (assist by K. Kuzma)
8:37.0,Chicago full timeout,,63-50,,
8:19.0,D. Valentine misses 2-pt shot from 5 ft,,63-50,,
8:16.0,,,63-50,,Defensive rebound by B. Lopez
8:05.0,,,63-50,,K. Kuzma misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by L. Markkanen,,63-50,,
7:58.0,D. Valentine makes 3-pt shot from 28 ft,3,66-50,,
7:41.0,,,66-53,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by K. Kuzma)
7:23.0,L. Markkanen misses 2-pt shot from 10 ft,,66-53,,
7:20.0,,,66-53,,Defensive rebound by B. Ingram
7:00.0,,,66-53,,B. Ingram misses 2-pt shot from 4 ft
6:57.0,,,66-53,,Offensive rebound by B. Ingram
6:57.0,,,66-53,,B. Ingram misses 2-pt shot at rim
6:54.0,Defensive rebound by J. Holiday,,66-53,,
6:49.0,D. Valentine misses 3-pt shot from 24 ft,,66-53,,
6:45.0,,,66-53,,Defensive rebound by B. Ingram
6:37.0,,,66-53,,K. Kuzma misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by D. Valentine,,66-53,,
6:24.0,L. Markkanen makes 2-pt shot from 21 ft,2,68-53,,
6:11.0,,,68-53,,L. Ball misses 3-pt shot from 26 ft
6:08.0,,,68-53,,Offensive rebound by K. Kuzma
6:00.0,,,68-53,,B. Lopez misses 3-pt shot from 25 ft
5:57.0,,,68-53,,Offensive rebound by L. Ball
5:57.0,,,68-53,,L. Ball misses 2-pt shot at rim
5:57.0,Defensive rebound by Team,,68-53,,
5:57.0,,,68-53,,Loose ball foul by L. Ball (drawn by L. Markkanen)
5:57.0,,,68-53,,J. Hart enters the game for B. Ingram
5:57.0,,,68-53,,J. Randle enters the game for B. Lopez
5:48.0,L. Markkanen misses 3-pt shot from 25 ft,,68-53,,
5:46.0,,,68-53,,Defensive rebound by K. Caldwell-Pope
5:44.0,,,68-53,,Shooting foul by R. Lopez (drawn by J. Hart)
5:44.0,,,68-53,,J. Hart misses free throw 1 of 2
5:44.0,,,68-53,,Offensive rebound by Team
5:44.0,,,68-54,1,J. Hart makes free throw 2 of 2
5:29.0,,,68-54,,Def 3 sec tech foul by J. Randle
5:29.0,D. Valentine misses technical free throw,,68-54,,
5:29.0,Offensive rebound by Team,,68-54,,
5:18.0,,,68-54,,Personal foul by K. Kuzma (drawn by L. Markkanen)
5:17.0,Turnover by K. Dunn (traveling),,68-54,,
5:06.0,,,68-54,,K. Kuzma misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by L. Markkanen,,68-54,,
5:01.0,,,68-54,,Personal foul by L. Ball (drawn by J. Holiday)
5:01.0,A. Blakeney enters the game for D. Valentine,,68-54,,
4:47.0,L. Markkanen misses 2-pt shot from 13 ft,,68-54,,
4:44.0,,,68-54,,Defensive rebound by J. Randle
4:29.0,,,68-54,,K. Caldwell-Pope misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by L. Markkanen,,68-54,,
4:27.0,,,68-54,,Personal foul by L. Ball (drawn by L. Markkanen)
4:27.0,L. Markkanen misses free throw 1 of 2,,68-54,,
4:27.0,Offensive rebound by Team,,68-54,,
4:27.0,,,68-54,,J. Clarkson enters the game for L. Ball
4:27.0,L. Markkanen makes free throw 2 of 2,1,69-54,,
4:16.0,,,69-54,,Shooting foul by K. Dunn (drawn by J. Clarkson)
4:16.0,,,69-55,1,J. Clarkson makes free throw 1 of 3
4:16.0,,,69-56,1,J. Clarkson makes free throw 2 of 3
4:16.0,B. Portis enters the game for L. Markkanen,,69-56,,
4:16.0,,,69-57,1,J. Clarkson makes free throw 3 of 3
4:02.0,J. Holiday misses 3-pt shot from 22 ft,,69-57,,
4:00.0,,,69-57,,Defensive rebound by J. Randle
3:42.0,,,69-57,,J. Clarkson misses 3-pt shot from 24 ft
3:39.0,,,69-57,,Offensive rebound by J. Randle
3:37.0,,,69-59,2,J. Randle makes 2-pt shot from 2 ft
3:18.0,B. Portis makes 2-pt shot from 21 ft (assist by K. Dunn),2,71-59,,
3:03.0,,,71-61,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
3:03.0,,,71-61,,Shooting foul by R. Lopez (drawn by J. Randle)
3:03.0,J. Grant enters the game for K. Dunn,,71-61,,
3:03.0,,,71-62,1,J. Randle makes free throw 1 of 1
2:40.0,J. Grant misses 3-pt shot from 25 ft,,71-62,,
2:36.0,,,71-62,,Defensive rebound by K. Kuzma
2:27.0,,,71-62,,K. Caldwell-Pope misses 2-pt shot from 18 ft
2:25.0,Defensive rebound by B. Portis,,71-62,,
2:16.0,J. Holiday misses 3-pt shot from 23 ft,,71-62,,
2:12.0,Offensive rebound by J. Holiday,,71-62,,
2:12.0,Shooting foul by K. Kuzma (drawn by J. Holiday),,71-62,,
2:12.0,J. Holiday makes free throw 1 of 2,1,72-62,,
2:12.0,C. Felicio enters the game for R. Lopez,,72-62,,
2:12.0,J. Holiday makes free throw 2 of 2,1,73-62,,
2:06.0,,,73-62,,Shooting foul by J. Holiday (drawn by K. Caldwell-Pope)
2:06.0,,,73-63,1,K. Caldwell-Pope makes free throw 1 of 3
2:06.0,,,73-63,,K. Caldwell-Pope misses free throw 2 of 3
2:06.0,,,73-63,,Offensive rebound by Team
2:06.0,,,73-64,1,K. Caldwell-Pope makes free throw 3 of 3
1:51.0,B. Portis misses 2-pt shot from 3 ft (block by J. Randle),,73-64,,
1:47.0,Offensive rebound by C. Felicio,,73-64,,
1:44.0,J. Grant misses 2-pt shot from 2 ft,,73-64,,
1:41.0,,,73-64,,Defensive rebound by J. Randle
1:39.0,,,73-66,2,J. Randle makes 2-pt shot at rim
1:39.0,,,73-66,,Shooting foul by A. Blakeney (drawn by J. Randle)
1:39.0,,,73-67,1,J. Randle makes free throw 1 of 1
1:39.0,Chicago full timeout,,73-67,,
1:24.0,B. Portis misses 3-pt shot from 24 ft,,73-67,,
1:21.0,,,73-67,,Defensive rebound by K. Caldwell-Pope
1:12.0,,,73-67,,J. Clarkson misses 3-pt shot from 25 ft
1:05.0,,,73-67,,Offensive rebound by J. Hart
1:05.0,,,73-69,2,J. Hart makes 2-pt shot at rim
0:43.0,J. Grant misses 2-pt shot from 17 ft,,73-69,,
0:41.0,Offensive rebound by B. Portis,,73-69,,
0:40.0,Turnover by B. Portis (lost ball; steal by J. Hart),,73-69,,
0:35.0,,,73-72,3,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Hart)
0:19.0,J. Grant makes 2-pt shot from 18 ft,2,75-72,,
0:02.0,,,75-72,,J. Clarkson misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by B. Portis,,75-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,75-74,2,J. Randle makes 2-pt shot from 7 ft
11:25.0,D. Valentine makes 3-pt shot from 27 ft,3,78-74,,
11:03.0,,,78-74,,B. Ingram misses 2-pt shot from 17 ft
11:00.0,Defensive rebound by C. Felicio,,78-74,,
10:44.0,J. Grant misses 3-pt shot from 25 ft,,78-74,,
10:42.0,Offensive rebound by B. Portis,,78-74,,
10:42.0,B. Portis makes 2-pt shot at rim,2,80-74,,
10:42.0,Shooting foul by J. Randle (drawn by B. Portis),,80-74,,
10:42.0,,,80-74,,LA Lakers full timeout
10:42.0,B. Portis misses free throw 1 of 1,,80-74,,
10:40.0,,,80-74,,Defensive rebound by J. Randle
10:19.0,Jump ball: B. Ingram vs. D. Valentine (J. Randle gains possession),,,,Jump ball: B. Ingram vs. D. Valentine (J. Randle gains possession)
10:16.0,,,80-74,,J. Randle misses 3-pt shot from 25 ft
10:14.0,,,80-74,,Offensive rebound by J. Hart
10:08.0,Def 3 sec tech foul by J. Grant,,80-74,,
10:08.0,,,80-75,1,J. Clarkson makes technical free throw
10:03.0,,,80-78,3,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Kuzma)
9:45.0,A. Blakeney misses 3-pt shot from 26 ft,,80-78,,
9:42.0,,,80-78,,Defensive rebound by J. Hart
9:32.0,,,80-80,2,J. Hart makes 2-pt shot from 1 ft (assist by J. Randle)
9:32.0,Chicago full timeout,,80-80,,
9:32.0,J. Holiday enters the game for J. Grant,,80-80,,
9:32.0,K. Dunn enters the game for C. Felicio,,80-80,,
9:32.0,L. Markkanen enters the game for A. Blakeney,,80-80,,
9:21.0,Shooting foul by J. Clarkson (drawn by K. Dunn),,80-80,,
9:21.0,K. Dunn makes free throw 1 of 2,1,81-80,,
9:21.0,K. Dunn misses free throw 2 of 2,,81-80,,
9:18.0,Offensive rebound by L. Markkanen,,81-80,,
9:17.0,J. Holiday misses 3-pt shot from 25 ft,,81-80,,
9:15.0,,,81-80,,Defensive rebound by Team
8:51.0,,,81-80,,Turnover by Team (shot clock)
8:50.0,,,81-80,,J. Randle misses 2-pt shot from 10 ft
8:50.0,,,81-80,,Offensive rebound by Team
8:41.0,L. Markkanen misses 3-pt shot from 25 ft,,81-80,,
8:38.0,Offensive rebound by D. Valentine,,81-80,,
8:35.0,Turnover by L. Markkanen (turnover),,81-80,,
8:16.0,,,81-80,,J. Hart misses 2-pt shot from 12 ft
8:12.0,Defensive rebound by L. Markkanen,,81-80,,
7:59.0,B. Portis makes 2-pt shot from 1 ft (assist by K. Dunn),2,83-80,,
7:50.0,Personal foul by K. Dunn (drawn by J. Clarkson),,83-80,,
7:45.0,,,83-80,,J. Clarkson misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by K. Dunn,,83-80,,
7:35.0,K. Dunn makes 2-pt shot from 20 ft,2,85-80,,
7:17.0,,,85-80,,J. Hart misses 3-pt shot from 22 ft
7:14.0,Defensive rebound by D. Valentine,,85-80,,
7:00.0,B. Portis makes 2-pt shot from 2 ft,2,87-80,,
6:49.0,Personal foul by K. Dunn (drawn by B. Ingram),,87-80,,
6:49.0,,,87-80,,L. Ball enters the game for J. Hart
6:49.0,,,87-80,,K. Caldwell-Pope enters the game for J. Clarkson
6:37.0,,,87-83,3,L. Ball makes 3-pt shot from 25 ft (assist by B. Ingram)
6:17.0,L. Markkanen makes 2-pt shot from 2 ft (assist by B. Portis),2,89-83,,
6:04.0,,,89-83,,K. Kuzma misses 2-pt shot from 6 ft
6:04.0,Defensive rebound by Team,,89-83,,
6:04.0,,,89-83,,Loose ball foul by J. Randle (drawn by B. Portis)
6:04.0,,,89-83,,B. Lopez enters the game for K. Kuzma
6:04.0,R. Lopez enters the game for B. Portis,,89-83,,
5:51.0,Turnover by K. Dunn (turnover),,89-83,,
5:51.0,Loose ball foul by K. Dunn (drawn by K. Caldwell-Pope),,89-83,,
5:51.0,J. Grant enters the game for K. Dunn,,89-83,,
5:41.0,,,89-83,,K. Caldwell-Pope misses 2-pt shot from 2 ft
5:39.0,Defensive rebound by L. Markkanen,,89-83,,
5:29.0,L. Markkanen misses 3-pt shot from 24 ft,,89-83,,
5:25.0,,,89-83,,Defensive rebound by B. Lopez
5:11.0,,,89-83,,B. Lopez misses 2-pt shot from 2 ft
5:07.0,Defensive rebound by R. Lopez,,89-83,,
