time,Milwaukee,pts.away,score,pts.home,Dallas
0:21.0,,,22-31,,D. Nowitzki misses 3-pt shot from 25 ft
0:16.0,,,22-31,,Offensive rebound by J. Barea
0:03.0,Personal foul by T. Snell (drawn by J. Barea),,22-31,,
0:03.0,,,22-32,1,J. Barea makes free throw 1 of 2
0:03.0,,,22-32,,W. Matthews enters the game for D. Nowitzki
0:03.0,,,22-33,1,J. Barea makes free throw 2 of 2
0:00.0,D. Liggins makes 2-pt shot from 6 ft (assist by M. Brogdon),2,24-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-33,,D. Harris misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by G. Antetokounmpo,,24-33,,
11:40.0,M. Brogdon misses 3-pt shot from 24 ft,,24-33,,
11:35.0,,,24-33,,Defensive rebound by Y. Ferrell
11:19.0,,,24-36,3,D. Nowitzki makes 3-pt shot from 23 ft (assist by J. Barea)
11:06.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,24-36,,
11:04.0,Offensive rebound by G. Antetokounmpo,,24-36,,
11:03.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,24-36,,
11:03.0,,,24-36,,Defensive rebound by D. Powell
10:50.0,,,24-36,,D. Harris misses 3-pt shot from 23 ft
10:50.0,,,24-36,,Offensive rebound by D. Powell
10:35.0,,,24-36,,Turnover by D. Nowitzki (bad pass; steal by M. Brogdon)
10:34.0,,,24-36,,Personal foul by D. Harris (drawn by G. Antetokounmpo)
10:34.0,E. Bledsoe enters the game for D. Liggins,,24-36,,
10:24.0,E. Bledsoe makes 2-pt shot from 3 ft,2,26-36,,
10:04.0,,,26-36,,D. Nowitzki misses 2-pt shot from 20 ft
10:01.0,Defensive rebound by G. Antetokounmpo,,26-36,,
9:54.0,E. Bledsoe misses 3-pt shot from 25 ft,,26-36,,
9:51.0,,,26-36,,Defensive rebound by D. Powell
9:35.0,,,26-36,,D. Harris misses 3-pt shot from 24 ft
9:35.0,,,26-36,,Offensive rebound by Team
9:35.0,Loose ball foul by T. Snell (drawn by D. Powell),,26-36,,
9:35.0,,,26-36,,S. Mejri enters the game for D. Nowitzki
9:16.0,,,26-38,2,Y. Ferrell makes 2-pt shot from 15 ft (assist by J. Barea)
8:55.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,26-38,,
8:52.0,,,26-38,,Defensive rebound by D. Powell
8:47.0,,,26-40,2,S. Mejri makes 2-pt shot at rim (assist by J. Barea)
8:31.0,,,26-40,,Personal foul by Y. Ferrell (drawn by E. Bledsoe)
8:31.0,,,26-40,,W. Matthews enters the game for D. Harris
8:26.0,,,26-40,,Personal foul by Y. Ferrell (drawn by E. Bledsoe)
8:18.0,M. Brogdon makes 2-pt shot from 8 ft,2,28-40,,
8:03.0,,,28-40,,J. Barea misses 2-pt shot from 12 ft
8:03.0,Defensive rebound by T. Snell,,28-40,,
7:58.0,,,28-40,,Personal foul by J. Barea (drawn by E. Bledsoe)
7:58.0,,,28-40,,D. Smith enters the game for J. Barea
7:58.0,,,28-40,,H. Barnes enters the game for D. Powell
7:48.0,T. Maker misses 3-pt shot from 25 ft,,28-40,,
7:45.0,,,28-40,,Defensive rebound by D. Smith
7:34.0,,,28-40,,Y. Ferrell misses 3-pt shot from 27 ft
7:31.0,Defensive rebound by T. Maker,,28-40,,
7:20.0,M. Brogdon makes 2-pt shot from 8 ft (assist by G. Antetokounmpo),2,30-40,,
7:20.0,,,30-40,,Dallas full timeout
7:20.0,J. Henson enters the game for T. Maker,,30-40,,
7:06.0,,,30-40,,Shooting foul by E. Bledsoe (drawn by H. Barnes)
7:06.0,,,30-41,1,H. Barnes makes free throw 1 of 2
7:06.0,,,30-42,1,H. Barnes makes free throw 2 of 2
6:58.0,,,30-42,,Personal foul by D. Smith (drawn by E. Bledsoe)
6:58.0,E. Bledsoe makes free throw 1 of 2,1,31-42,,
6:58.0,E. Bledsoe makes free throw 2 of 2,1,32-42,,
6:40.0,Personal foul by E. Bledsoe (drawn by H. Barnes),,32-42,,
6:30.0,,,32-42,,H. Barnes misses 2-pt shot from 3 ft
6:27.0,Defensive rebound by G. Antetokounmpo,,32-42,,
6:24.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by S. Mejri),,32-42,,
6:20.0,,,32-42,,Defensive rebound by D. Smith
6:14.0,,,32-45,3,D. Smith makes 3-pt shot from 24 ft
5:52.0,,,32-45,,Personal foul by S. Mejri (drawn by J. Henson)
5:52.0,K. Middleton enters the game for E. Bledsoe,,32-45,,
5:52.0,J. Henson misses free throw 1 of 2,,32-45,,
5:52.0,Offensive rebound by Team,,32-45,,
5:52.0,J. Henson misses free throw 2 of 2,,32-45,,
5:49.0,,,32-45,,Defensive rebound by S. Mejri
5:34.0,,,32-45,,D. Smith misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by G. Antetokounmpo,,32-45,,
5:24.0,,,32-45,,Shooting block foul by S. Mejri (drawn by J. Henson)
5:24.0,J. Henson misses free throw 1 of 2,,32-45,,
5:24.0,Offensive rebound by Team,,32-45,,
5:24.0,J. Henson misses free throw 2 of 2,,32-45,,
5:22.0,,,32-45,,Defensive rebound by S. Mejri
5:05.0,,,32-48,3,H. Barnes makes 3-pt shot from 23 ft (assist by W. Matthews)
5:03.0,Milwaukee full timeout,,32-48,,
5:01.0,,,32-48,,Personal take foul by H. Barnes (drawn by J. Henson)
5:01.0,J. Henson misses free throw 2 of 2,,32-48,,
5:01.0,,,32-48,,Defensive rebound by S. Mejri
5:01.0,J. Henson makes free throw 1 of 2,1,33-48,,
4:52.0,,,33-48,,Offensive foul by H. Barnes (drawn by M. Brogdon)
4:52.0,,,33-48,,Turnover by H. Barnes (offensive foul)
4:50.0,,,33-48,,Personal foul by W. Matthews (drawn by J. Henson)
4:50.0,,,33-48,,Turnover by W. Matthews (turnover)
4:50.0,J. Henson misses free throw 1 of 2,,33-48,,
4:50.0,Offensive rebound by Team,,33-48,,
4:50.0,J. Henson makes free throw 2 of 2,1,34-48,,
4:30.0,,,34-48,,W. Matthews misses 2-pt shot from 10 ft
4:23.0,Defensive rebound by J. Henson,,34-48,,
4:17.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,36-48,,
4:03.0,,,36-48,,Turnover by D. Smith (bad pass)
3:56.0,,,36-48,,Personal foul by D. Smith (drawn by G. Antetokounmpo)
3:56.0,G. Antetokounmpo makes free throw 1 of 2,1,37-48,,
3:56.0,,,37-48,,J. Barea enters the game for D. Smith
3:56.0,,,37-48,,D. Nowitzki enters the game for Y. Ferrell
3:56.0,,,37-48,,D. Harris enters the game for S. Mejri
3:56.0,G. Antetokounmpo misses free throw 2 of 2,,37-48,,
3:51.0,,,37-48,,Defensive rebound by D. Nowitzki
3:31.0,,,37-48,,W. Matthews misses 2-pt shot from 13 ft
3:26.0,Defensive rebound by J. Henson,,37-48,,
3:21.0,Shooting foul by D. Harris (drawn by K. Middleton),,37-48,,
3:21.0,K. Middleton makes free throw 1 of 2,1,38-48,,
3:21.0,K. Middleton makes free throw 2 of 2,1,39-48,,
3:05.0,,,39-48,,J. Barea misses 3-pt shot from 23 ft
3:05.0,Defensive rebound by G. Antetokounmpo,,39-48,,
2:55.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,39-48,,
2:54.0,Offensive rebound by G. Antetokounmpo,,39-48,,
2:53.0,Shooting foul by D. Nowitzki (drawn by G. Antetokounmpo),,39-48,,
2:53.0,G. Antetokounmpo misses free throw 1 of 2,,39-48,,
2:53.0,Offensive rebound by Team,,39-48,,
2:53.0,G. Antetokounmpo misses free throw 2 of 2,,39-48,,
2:51.0,,,39-48,,Defensive rebound by D. Nowitzki
2:28.0,,,39-51,3,J. Barea makes 3-pt shot from 26 ft (assist by D. Nowitzki)
2:15.0,M. Brogdon misses 2-pt shot from 5 ft,,39-51,,
2:12.0,,,39-51,,Defensive rebound by H. Barnes
2:05.0,,,39-54,3,J. Barea makes 3-pt shot from 25 ft (assist by W. Matthews)
2:03.0,Milwaukee full timeout,,39-54,,
1:47.0,K. Middleton misses 3-pt shot from 24 ft,,39-54,,
1:47.0,Offensive rebound by G. Antetokounmpo,,39-54,,
1:39.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,41-54,,
1:26.0,Personal foul by M. Brogdon (drawn by D. Nowitzki),,41-54,,
1:18.0,,,41-56,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Barea)
1:01.0,Turnover by T. Snell (lost ball; steal by D. Nowitzki),,41-56,,
0:48.0,,,41-56,,D. Harris misses 2-pt shot from 7 ft
0:46.0,Defensive rebound by G. Antetokounmpo,,41-56,,
0:38.0,Shooting foul by D. Nowitzki (drawn by J. Henson),,41-56,,
0:38.0,J. Henson makes free throw 1 of 2,1,42-56,,
0:38.0,,,42-56,,Y. Ferrell enters the game for D. Harris
0:38.0,J. Henson misses free throw 2 of 2,,42-56,,
0:36.0,,,42-56,,Defensive rebound by J. Barea
0:17.0,,,42-56,,D. Nowitzki misses 2-pt shot from 22 ft
0:17.0,Defensive rebound by T. Snell,,42-56,,
0:02.0,K. Middleton makes 2-pt shot from 5 ft,2,44-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,44-56,,Shooting foul by T. Snell (drawn by H. Barnes)
11:45.0,,,44-57,1,H. Barnes makes free throw 1 of 2
11:45.0,,,44-58,1,H. Barnes makes free throw 2 of 2
11:37.0,Offensive foul by G. Antetokounmpo (drawn by D. Nowitzki),,44-58,,
11:37.0,Turnover by G. Antetokounmpo (offensive foul),,44-58,,
11:28.0,,,44-61,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Smith)
11:13.0,T. Snell makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,47-61,,
10:54.0,,,47-63,2,M. Kleber makes 2-pt shot from 4 ft
10:42.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,49-63,,
10:42.0,Shooting foul by M. Kleber (drawn by G. Antetokounmpo),,49-63,,
10:42.0,G. Antetokounmpo makes free throw 1 of 1,1,50-63,,
10:33.0,Personal block foul by K. Middleton (drawn by W. Matthews),,50-63,,
10:23.0,,,50-63,,D. Smith misses 2-pt shot from 5 ft
10:23.0,,,50-63,,Offensive rebound by Team
10:17.0,,,50-63,,D. Smith misses 2-pt shot from 22 ft
10:16.0,,,50-63,,Offensive rebound by Team
10:16.0,,,50-63,,Turnover by Team (shot clock)
10:02.0,G. Antetokounmpo makes 2-pt shot from 8 ft,2,52-63,,
9:47.0,,,52-63,,Turnover by D. Smith (bad pass; steal by G. Antetokounmpo)
9:47.0,,,52-63,,Personal take foul by D. Nowitzki (drawn by G. Antetokounmpo)
9:47.0,,,52-63,,J. Barea enters the game for M. Kleber
9:47.0,,,52-63,,D. Harris enters the game for D. Smith
9:38.0,E. Bledsoe misses 2-pt shot from 22 ft,,52-63,,
9:35.0,,,52-63,,Defensive rebound by H. Barnes
9:27.0,,,52-63,,D. Nowitzki misses 2-pt shot from 17 ft
9:27.0,Defensive rebound by Team,,52-63,,
9:20.0,Turnover by G. Antetokounmpo (lost ball; steal by W. Matthews),,52-63,,
9:10.0,,,52-63,,Offensive foul by H. Barnes (drawn by E. Bledsoe)
9:10.0,,,52-63,,Turnover by H. Barnes (offensive foul)
9:00.0,E. Bledsoe misses 2-pt shot from 20 ft,,52-63,,
8:57.0,,,52-63,,Defensive rebound by D. Nowitzki
8:47.0,,,52-63,,J. Barea misses 2-pt shot from 5 ft (block by J. Henson)
8:47.0,,,52-63,,Offensive rebound by Team
8:42.0,,,52-63,,D. Nowitzki misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by G. Antetokounmpo,,52-63,,
8:31.0,K. Middleton makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,54-63,,
8:29.0,,,54-63,,Dallas full timeout
8:12.0,,,54-66,3,J. Barea makes 3-pt shot from 24 ft (assist by W. Matthews)
7:50.0,E. Bledsoe misses 2-pt shot from 12 ft,,54-66,,
7:48.0,,,54-66,,Defensive rebound by D. Harris
7:30.0,,,54-69,3,W. Matthews makes 3-pt shot from 24 ft
7:11.0,K. Middleton misses 2-pt shot from 19 ft,,54-69,,
7:08.0,,,54-69,,Defensive rebound by D. Nowitzki
6:54.0,,,54-69,,J. Barea misses 3-pt shot from 27 ft
6:51.0,Defensive rebound by G. Antetokounmpo,,54-69,,
6:49.0,Offensive charge foul by G. Antetokounmpo (drawn by J. Barea),,54-69,,
6:49.0,Turnover by G. Antetokounmpo (offensive foul),,54-69,,
6:32.0,Personal foul by K. Middleton (drawn by W. Matthews),,54-69,,
6:17.0,,,54-72,3,W. Matthews makes 3-pt shot from 23 ft
6:09.0,,,54-72,,Personal foul by D. Harris (drawn by E. Bledsoe)
6:09.0,,,54-72,,Y. Ferrell enters the game for D. Nowitzki
6:09.0,,,54-72,,S. Mejri enters the game for D. Harris
6:09.0,M. Brogdon enters the game for K. Middleton,,54-72,,
6:05.0,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,57-72,,
5:45.0,,,57-72,,W. Matthews misses 2-pt shot from 16 ft
5:41.0,Defensive rebound by E. Bledsoe,,57-72,,
5:33.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,57-72,,
5:29.0,,,57-72,,Defensive rebound by Y. Ferrell
5:29.0,Personal foul by G. Antetokounmpo (drawn by Y. Ferrell),,57-72,,
5:15.0,,,57-72,,Turnover by J. Barea (bad pass; steal by G. Antetokounmpo)
5:04.0,E. Bledsoe misses 3-pt shot from 25 ft,,57-72,,
4:59.0,,,57-72,,Defensive rebound by H. Barnes
4:55.0,,,57-72,,Shooting foul by E. Bledsoe (drawn by J. Barea)
4:55.0,,,57-73,1,J. Barea makes free throw 1 of 3
4:55.0,,,57-74,1,J. Barea makes free throw 2 of 3
4:55.0,,,57-74,,D. Powell enters the game for S. Mejri
4:55.0,T. Maker enters the game for J. Henson,,57-74,,
4:55.0,,,57-74,,J. Barea misses free throw 3 of 3
4:52.0,Defensive rebound by T. Maker,,57-74,,
4:40.0,E. Bledsoe misses 2-pt shot from 8 ft,,57-74,,
4:34.0,Offensive rebound by T. Maker,,57-74,,
4:29.0,Turnover by E. Bledsoe (lost ball; steal by H. Barnes),,57-74,,
4:22.0,,,57-74,,H. Barnes misses 2-pt shot from 3 ft
4:20.0,,,57-74,,Offensive rebound by D. Powell
4:15.0,,,57-74,,H. Barnes misses 3-pt shot from 22 ft
4:11.0,Defensive rebound by T. Maker,,57-74,,
4:02.0,T. Snell misses 3-pt shot from 25 ft,,57-74,,
3:58.0,,,57-74,,Defensive rebound by H. Barnes
3:44.0,,,57-74,,Turnover by H. Barnes (traveling)
3:44.0,,,57-74,,D. Smith enters the game for J. Barea
3:34.0,T. Snell makes 2-pt shot at rim (assist by T. Maker),2,59-74,,
3:24.0,Personal block foul by T. Maker (drawn by Y. Ferrell),,59-74,,
3:24.0,,,59-75,1,Y. Ferrell makes free throw 1 of 2
3:24.0,,,59-75,,Y. Ferrell misses free throw 2 of 2
3:21.0,Defensive rebound by G. Antetokounmpo,,59-75,,
3:07.0,Shooting foul by D. Powell (drawn by G. Antetokounmpo),,59-75,,
3:07.0,G. Antetokounmpo makes free throw 1 of 2,1,60-75,,
3:07.0,G. Antetokounmpo makes free throw 2 of 2,1,61-75,,
2:52.0,,,61-75,,D. Powell misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by G. Antetokounmpo,,61-75,,
2:43.0,G. Antetokounmpo misses 3-pt shot from 28 ft,,61-75,,
2:42.0,,,61-75,,Defensive rebound by Team
2:42.0,Milwaukee full timeout,,61-75,,
2:42.0,D. Liggins enters the game for G. Antetokounmpo,,61-75,,
2:28.0,,,61-77,2,D. Smith makes 2-pt shot at rim (assist by W. Matthews)
2:11.0,E. Bledsoe misses 3-pt shot from 25 ft,,61-77,,
2:07.0,,,61-77,,Defensive rebound by W. Matthews
1:58.0,,,61-77,,W. Matthews misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by M. Brogdon,,61-77,,
1:50.0,M. Brogdon misses 2-pt shot from 15 ft,,61-77,,
1:46.0,,,61-77,,Defensive rebound by D. Smith
1:35.0,,,61-80,3,W. Matthews makes 3-pt shot from 22 ft (assist by Y. Ferrell)
1:12.0,T. Snell misses 3-pt shot from 22 ft,,61-80,,
1:09.0,,,61-80,,Defensive rebound by D. Smith
0:56.0,,,61-80,,D. Smith misses 2-pt shot from 4 ft (block by T. Maker)
0:53.0,Defensive rebound by D. Liggins,,61-80,,
0:43.0,T. Maker misses 2-pt shot from 4 ft (block by D. Smith),,61-80,,
0:43.0,,,61-80,,Defensive rebound by Y. Ferrell
0:29.0,,,61-82,2,Y. Ferrell makes 2-pt shot from 21 ft
0:06.0,Turnover by E. Bledsoe (lost ball; steal by D. Smith),,61-82,,
0:02.0,,,61-82,,Turnover by H. Barnes (lost ball; steal by D. Liggins)
0:01.0,D. Liggins misses 2-pt shot from 4 ft,,61-82,,
0:01.0,,,61-82,,Defensive rebound by Y. Ferrell
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,M. Brogdon misses 2-pt shot from 15 ft,,61-82,,
11:41.0,,,61-82,,Defensive rebound by D. Powell
11:25.0,Shooting block foul by K. Middleton (drawn by D. Powell),,61-82,,
11:25.0,,,61-82,,D. Powell misses free throw 1 of 2
11:25.0,,,61-82,,Offensive rebound by Team
11:25.0,,,61-83,1,D. Powell makes free throw 2 of 2
11:12.0,T. Maker misses 2-pt shot from 15 ft,,61-83,,
11:09.0,,,61-83,,Defensive rebound by J. Barea
10:57.0,,,61-83,,Turnover by Y. Ferrell (step out of bounds)
10:45.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,61-83,,
10:42.0,,,61-83,,Defensive rebound by D. Powell
10:20.0,,,61-85,2,J. Barea makes 2-pt shot from 1 ft
10:06.0,K. Middleton makes 3-pt shot from 25 ft (assist by D. Liggins),3,64-85,,
9:54.0,Personal foul by D. Liggins (drawn by J. Barea),,64-85,,
9:43.0,,,64-85,,D. Harris misses 2-pt shot from 3 ft
9:42.0,Defensive rebound by T. Maker,,64-85,,
9:40.0,,,64-85,,Personal foul by J. Barea (drawn by D. Liggins)
9:31.0,M. Brogdon misses 3-pt shot from 26 ft,,64-85,,
9:27.0,,,64-85,,Defensive rebound by D. Harris
9:09.0,,,64-85,,J. Barea misses 3-pt shot from 24 ft
9:06.0,,,64-85,,Offensive rebound by D. Nowitzki
9:05.0,,,64-88,3,J. Barea makes 3-pt shot from 30 ft (assist by D. Nowitzki)
8:51.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,64-88,,
8:49.0,,,64-88,,Defensive rebound by D. Powell
8:40.0,,,64-88,,Turnover by J. Barea (bad pass; steal by D. Liggins)
8:32.0,T. Maker makes 2-pt shot from 1 ft (assist by K. Middleton),2,66-88,,
8:11.0,,,66-91,3,D. Harris makes 3-pt shot from 26 ft (assist by D. Nowitzki)
7:51.0,G. Antetokounmpo makes 2-pt shot from 9 ft,2,68-91,,
7:43.0,,,68-91,,Dallas full timeout
7:29.0,,,68-91,,Turnover by J. Barea (bad pass; steal by G. Antetokounmpo)
7:22.0,K. Middleton makes 3-pt shot from 22 ft (assist by D. Liggins),3,71-91,,
7:00.0,,,71-94,3,D. Harris makes 3-pt shot from 28 ft
6:37.0,T. Maker misses 2-pt shot from 14 ft,,71-94,,
6:35.0,Offensive rebound by G. Antetokounmpo,,71-94,,
6:31.0,Shooting foul by D. Harris (drawn by G. Antetokounmpo),,71-94,,
6:31.0,G. Antetokounmpo makes free throw 1 of 2,1,72-94,,
6:31.0,,,72-94,,D. Smith enters the game for D. Harris
6:31.0,,,72-94,,W. Matthews enters the game for D. Nowitzki
6:31.0,,,72-94,,H. Barnes enters the game for J. Barea
6:31.0,G. Antetokounmpo misses free throw 2 of 2,,72-94,,
6:27.0,,,72-94,,Defensive rebound by D. Powell
6:15.0,,,72-96,2,W. Matthews makes 2-pt shot from 16 ft
5:58.0,M. Brogdon misses 2-pt shot from 18 ft,,72-96,,
5:58.0,,,72-96,,Defensive rebound by H. Barnes
5:44.0,,,72-99,3,H. Barnes makes 3-pt shot from 24 ft (assist by W. Matthews)
5:33.0,K. Middleton makes 2-pt shot from 1 ft,2,74-99,,
5:09.0,,,74-102,3,Y. Ferrell makes 3-pt shot from 24 ft
4:48.0,Shooting foul by D. Smith (drawn by D. Liggins),,74-102,,
4:48.0,D. Liggins misses free throw 1 of 2,,74-102,,
4:48.0,Offensive rebound by Team,,74-102,,
4:48.0,G. Payton enters the game for M. Brogdon,,74-102,,
