time,LA Clippers,pts.away,score,pts.home,LA Lakers
6:55.0,P. Beverley misses 3-pt shot from 26 ft,,38-28,,
6:53.0,,,38-28,,Defensive rebound by K. Kuzma
6:45.0,,,38-30,2,J. Clarkson makes 2-pt shot from 17 ft
6:31.0,,,38-30,,Def 3 sec tech foul by B. Lopez
6:31.0,L. Williams makes technical free throw,1,39-30,,
6:31.0,,,39-30,,B. Ingram enters the game for J. Clarkson
6:31.0,M. Teodosic enters the game for L. Williams,,39-30,,
6:31.0,B. Griffin enters the game for W. Johnson,,39-30,,
6:23.0,B. Griffin misses 2-pt shot from 6 ft,,39-30,,
6:21.0,,,39-30,,Defensive rebound by L. Ball
6:15.0,,,39-30,,K. Kuzma misses 3-pt shot from 23 ft
6:12.0,Defensive rebound by B. Griffin,,39-30,,
6:09.0,Turnover by M. Teodosic (bad pass; steal by K. Kuzma),,39-30,,
6:04.0,,,39-30,,B. Ingram misses 2-pt shot from 3 ft
6:00.0,Defensive rebound by D. Jordan,,39-30,,
5:57.0,P. Beverley makes 3-pt shot from 25 ft (assist by B. Griffin),3,42-30,,
5:53.0,,,42-30,,LA Lakers full timeout
5:53.0,,,42-30,,L. Nance enters the game for K. Kuzma
5:53.0,,,42-30,,C. Brewer enters the game for J. Randle
5:39.0,,,42-30,,B. Lopez misses 2-pt shot from 16 ft
5:37.0,Defensive rebound by B. Griffin,,42-30,,
5:24.0,D. Gallinari misses 3-pt shot from 26 ft,,42-30,,
5:20.0,,,42-30,,Defensive rebound by C. Brewer
5:17.0,,,42-30,,Shooting foul by P. Beverley (drawn by B. Ingram)
5:17.0,,,42-30,,B. Ingram misses free throw 1 of 2
5:17.0,,,42-30,,Offensive rebound by Team
5:17.0,,,42-31,1,B. Ingram makes free throw 2 of 2
5:04.0,D. Gallinari misses 3-pt shot from 23 ft,,42-31,,
5:02.0,,,42-31,,Defensive rebound by C. Brewer
4:49.0,,,42-34,3,L. Ball makes 3-pt shot from 26 ft (assist by B. Lopez)
4:28.0,P. Beverley misses 2-pt shot from 2 ft,,42-34,,
4:21.0,Offensive rebound by D. Jordan,,42-34,,
4:21.0,D. Jordan makes 2-pt shot at rim,2,44-34,,
4:19.0,,,44-34,,Turnover by L. Ball (lost ball; steal by P. Beverley)
4:14.0,P. Beverley makes 2-pt shot from 1 ft,2,46-34,,
4:00.0,,,46-34,,Turnover by L. Nance (lost ball; steal by P. Beverley)
3:50.0,B. Griffin makes 2-pt shot from 2 ft,2,48-34,,
3:37.0,,,48-36,2,B. Ingram makes 2-pt shot from 17 ft
3:22.0,B. Griffin makes 3-pt shot from 26 ft (assist by M. Teodosic),3,51-36,,
3:09.0,,,51-36,,LA Lakers full timeout
3:09.0,A. Rivers enters the game for P. Beverley,,51-36,,
3:05.0,Personal foul by D. Gallinari (drawn by B. Ingram),,51-36,,
2:57.0,,,51-36,,B. Ingram misses 2-pt shot from 18 ft
2:55.0,Defensive rebound by B. Griffin,,51-36,,
2:49.0,,,51-36,,Personal foul by B. Ingram (drawn by B. Griffin)
2:38.0,D. Jordan misses 2-pt shot from 5 ft (block by B. Lopez),,51-36,,
2:33.0,,,51-36,,Defensive rebound by L. Nance
2:33.0,,,51-38,2,C. Brewer makes 2-pt shot from 2 ft
2:21.0,Violation by B. Griffin (def goaltending),,51-38,,
2:15.0,M. Teodosic misses 3-pt shot from 27 ft,,51-38,,
2:13.0,,,51-38,,Defensive rebound by L. Ball
2:13.0,Personal foul by D. Jordan (drawn by L. Nance),,51-38,,
2:13.0,LA Clippers full timeout,,51-38,,
2:04.0,,,51-38,,B. Lopez misses 3-pt shot from 26 ft
1:58.0,Defensive rebound by D. Jordan,,51-38,,
1:42.0,A. Rivers makes 2-pt shot from 1 ft,2,53-38,,
1:29.0,,,53-40,2,B. Lopez makes 2-pt shot from 11 ft (assist by L. Ball)
1:09.0,B. Griffin misses 2-pt shot from 8 ft,,53-40,,
1:06.0,,,53-40,,Defensive rebound by L. Ball
1:00.0,,,53-42,2,L. Nance makes 2-pt shot from 1 ft (assist by B. Ingram)
0:45.0,A. Rivers misses 3-pt shot from 25 ft,,53-42,,
0:43.0,,,53-42,,Defensive rebound by L. Nance
0:32.0,,,53-42,,B. Ingram misses 2-pt shot from 4 ft
0:24.0,,,53-42,,Offensive rebound by B. Lopez
0:24.0,,,53-42,,B. Lopez misses 2-pt shot at rim
0:23.0,Defensive rebound by D. Gallinari,,53-42,,
0:10.0,M. Teodosic misses 2-pt shot from 15 ft,,53-42,,
0:07.0,,,53-42,,Defensive rebound by L. Ball
0:04.0,,,53-42,,B. Lopez misses 2-pt shot from 15 ft
0:03.0,Defensive rebound by D. Jordan,,53-42,,
0:00.0,B. Griffin misses 3-pt shot from 69 ft,,53-42,,
0:00.0,Offensive rebound by Team,,53-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,53-44,2,L. Nance makes 2-pt shot from 2 ft (assist by L. Ball)
11:22.0,D. Gallinari misses 2-pt shot from 1 ft,,53-44,,
11:20.0,Offensive rebound by D. Jordan,,53-44,,
11:18.0,D. Jordan misses 2-pt shot from 2 ft,,53-44,,
11:14.0,,,53-44,,Defensive rebound by L. Nance
11:13.0,,,53-44,,Turnover by L. Ball (bad pass; steal by D. Gallinari)
11:10.0,D. Gallinari misses 2-pt shot from 15 ft,,53-44,,
11:05.0,,,53-44,,Defensive rebound by L. Nance
11:00.0,,,53-44,,B. Lopez misses 2-pt shot from 11 ft
10:58.0,Defensive rebound by D. Jordan,,53-44,,
10:55.0,,,53-44,,Personal foul by L. Nance (drawn by D. Jordan)
10:49.0,P. Beverley makes 3-pt shot from 22 ft (assist by M. Teodosic),3,56-44,,
10:40.0,,,56-44,,L. Ball misses 2-pt shot from 1 ft
10:35.0,,,56-44,,Offensive rebound by L. Nance
10:35.0,,,56-46,2,L. Nance makes 2-pt shot at rim
10:23.0,P. Beverley misses 2-pt shot from 3 ft,,56-46,,
10:17.0,Offensive rebound by D. Jordan,,56-46,,
10:17.0,D. Jordan makes 2-pt shot at rim,2,58-46,,
10:07.0,,,58-48,2,B. Lopez makes 2-pt shot from 14 ft (assist by L. Deng)
9:52.0,M. Teodosic misses 3-pt shot from 25 ft,,58-48,,
9:49.0,Offensive rebound by P. Beverley,,58-48,,
9:37.0,D. Gallinari makes 3-pt shot from 25 ft (assist by M. Teodosic),3,61-48,,
9:30.0,Personal foul by M. Teodosic (drawn by B. Ingram),,61-48,,
9:20.0,,,61-50,2,B. Lopez makes 2-pt shot from 15 ft
9:05.0,M. Teodosic misses 3-pt shot from 26 ft,,61-50,,
9:03.0,,,61-50,,Defensive rebound by L. Nance
9:01.0,,,61-50,,B. Ingram misses 2-pt shot from 2 ft
8:59.0,Defensive rebound by D. Jordan,,61-50,,
8:45.0,B. Griffin makes 2-pt shot from 2 ft,2,63-50,,
8:33.0,Personal foul by P. Beverley (drawn by L. Ball),,63-50,,
8:28.0,,,63-52,2,B. Lopez makes 2-pt shot from 2 ft (assist by B. Ingram)
8:17.0,B. Griffin makes 3-pt shot from 24 ft (assist by M. Teodosic),3,66-52,,
8:00.0,,,66-52,,B. Lopez misses 2-pt shot from 16 ft
7:57.0,Defensive rebound by B. Griffin,,66-52,,
7:48.0,B. Griffin makes 2-pt shot from 3 ft (assist by M. Teodosic),2,68-52,,
7:42.0,Personal foul by D. Jordan (drawn by L. Nance),,68-52,,
7:42.0,,,68-52,,LA Lakers full timeout
7:29.0,,,68-52,,B. Ingram misses 2-pt shot from 17 ft
7:27.0,,,68-52,,Offensive rebound by Team
7:17.0,,,68-52,,B. Lopez misses 2-pt shot from 18 ft
7:15.0,Defensive rebound by D. Jordan,,68-52,,
7:05.0,M. Teodosic makes 3-pt shot from 25 ft (assist by D. Gallinari),3,71-52,,
6:53.0,,,71-54,2,B. Lopez makes 2-pt shot from 2 ft (assist by L. Ball)
6:39.0,D. Jordan makes 2-pt shot from 1 ft (assist by D. Gallinari),2,73-54,,
6:25.0,,,73-54,,L. Ball misses 3-pt shot from 26 ft
6:23.0,Defensive rebound by B. Griffin,,73-54,,
6:09.0,Turnover by B. Griffin (lost ball; steal by L. Ball),,73-54,,
6:05.0,,,73-56,2,L. Deng makes 2-pt shot from 1 ft (assist by L. Ball)
5:44.0,P. Beverley misses 3-pt shot from 26 ft,,73-56,,
5:39.0,Offensive rebound by B. Griffin,,73-56,,
5:39.0,Turnover by B. Griffin (step out of bounds),,73-56,,
5:39.0,A. Rivers enters the game for P. Beverley,,73-56,,
5:29.0,,,73-58,2,B. Ingram makes 2-pt shot from 1 ft (assist by B. Lopez)
5:29.0,,,73-58,,Shooting foul by D. Gallinari (drawn by B. Ingram)
5:29.0,,,73-59,1,B. Ingram makes free throw 1 of 1
5:16.0,M. Teodosic misses 2-pt shot from 12 ft,,73-59,,
5:14.0,Offensive rebound by Team,,73-59,,
5:14.0,,,73-59,,J. Clarkson enters the game for L. Deng
5:06.0,D. Gallinari makes 3-pt shot from 25 ft (assist by B. Griffin),3,76-59,,
4:55.0,,,76-59,,B. Lopez misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by B. Griffin,,76-59,,
4:47.0,M. Teodosic misses 2-pt shot from 19 ft,,76-59,,
4:44.0,,,76-59,,Defensive rebound by B. Ingram
4:40.0,,,76-59,,B. Ingram misses 2-pt shot from 18 ft
4:35.0,Defensive rebound by D. Gallinari,,76-59,,
4:31.0,LA Clippers full timeout,,76-59,,
4:31.0,,,76-59,,A. Bogut enters the game for B. Lopez
4:31.0,L. Williams enters the game for M. Teodosic,,76-59,,
4:25.0,,,76-59,,Personal foul by A. Bogut (drawn by D. Jordan)
4:13.0,D. Jordan misses 2-pt shot from 2 ft (block by L. Nance),,76-59,,
4:09.0,,,76-59,,Defensive rebound by L. Nance
4:06.0,,,76-59,,Turnover by L. Nance (bad pass; steal by D. Gallinari)
3:52.0,Turnover by A. Rivers (traveling),,76-59,,
3:52.0,W. Johnson enters the game for D. Gallinari,,76-59,,
3:52.0,,,76-59,,J. Clarkson misses technical free throw
3:52.0,,,76-59,,Offensive rebound by Team
3:41.0,,,76-59,,L. Nance misses 2-pt shot from 13 ft
3:38.0,Defensive rebound by D. Jordan,,76-59,,
3:32.0,,,76-59,,Personal foul by L. Nance (drawn by B. Griffin)
3:32.0,,,76-59,,J. Randle enters the game for L. Nance
3:32.0,W. Reed enters the game for D. Jordan,,76-59,,
3:23.0,B. Griffin makes 2-pt shot from 7 ft (assist by L. Williams),2,78-59,,
3:12.0,,,78-59,,B. Ingram misses 2-pt shot at rim
3:09.0,,,78-59,,Offensive rebound by Team
3:09.0,,,78-59,,C. Brewer enters the game for B. Ingram
2:54.0,,,78-59,,Turnover by C. Brewer (bad pass; steal by B. Griffin)
2:50.0,B. Griffin misses 2-pt shot from 3 ft,,78-59,,
2:45.0,Offensive rebound by L. Williams,,78-59,,
2:45.0,L. Williams makes 2-pt shot at rim,2,80-59,,
2:31.0,,,80-61,2,J. Clarkson makes 2-pt shot from 10 ft
2:11.0,B. Griffin misses 2-pt shot from 2 ft,,80-61,,
2:08.0,,,80-61,,Defensive rebound by J. Randle
2:04.0,,,80-61,,J. Clarkson misses 2-pt shot from 3 ft
2:01.0,Defensive rebound by W. Reed,,80-61,,
1:45.0,W. Johnson misses 2-pt shot from 19 ft (block by C. Brewer),,80-61,,
1:44.0,Offensive rebound by W. Johnson,,80-61,,
1:42.0,W. Johnson makes 2-pt shot from 18 ft,2,82-61,,
1:25.0,,,82-61,,Turnover by A. Bogut (bad pass; steal by W. Johnson)
1:19.0,A. Rivers misses 2-pt shot from 1 ft (block by A. Bogut),,82-61,,
1:18.0,Offensive rebound by Team,,82-61,,
1:18.0,,,82-61,,K. Kuzma enters the game for L. Ball
1:18.0,,,82-61,,A. Caruso enters the game for A. Bogut
1:18.0,D. Gallinari enters the game for B. Griffin,,82-61,,
1:12.0,W. Johnson makes 3-pt shot from 26 ft (assist by L. Williams),3,85-61,,
0:58.0,,,85-61,,Shooting foul by A. Rivers (drawn by K. Kuzma)
0:58.0,,,85-61,,K. Kuzma misses free throw 1 of 2
0:58.0,,,85-61,,Offensive rebound by Team
0:58.0,,,85-61,,K. Kuzma misses free throw 2 of 2
0:56.0,Defensive rebound by D. Gallinari,,85-61,,
0:34.0,A. Rivers misses 2-pt shot from 2 ft,,85-61,,
0:32.0,,,85-61,,Defensive rebound by J. Randle
0:25.0,Personal foul by W. Johnson (drawn by J. Clarkson),,85-61,,
0:25.0,,,85-62,1,J. Clarkson makes free throw 1 of 2
0:25.0,,,85-63,1,J. Clarkson makes free throw 2 of 2
0:06.0,L. Williams makes 2-pt shot from 2 ft,2,87-63,,
0:00.0,,,87-63,,K. Kuzma misses 2-pt shot from 10 ft
0:00.0,Defensive rebound by W. Reed,,87-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,A. Rivers misses 2-pt shot from 5 ft,,87-63,,
11:34.0,,,87-63,,Defensive rebound by J. Clarkson
11:25.0,,,87-63,,J. Randle misses 2-pt shot from 9 ft
11:25.0,Defensive rebound by Team,,87-63,,
11:19.0,Shooting foul by J. Randle (drawn by W. Reed),,87-63,,
11:19.0,W. Reed makes free throw 1 of 2,1,88-63,,
11:19.0,W. Reed makes free throw 2 of 2,1,89-63,,
11:00.0,,,89-63,,Turnover by J. Clarkson (lost ball; steal by A. Rivers)
10:55.0,W. Johnson makes 2-pt shot from 12 ft (assist by A. Rivers),2,91-63,,
10:47.0,,,91-65,2,J. Randle makes 2-pt shot from 1 ft (assist by A. Caruso)
10:47.0,,,91-65,,Shooting foul by W. Reed (drawn by J. Randle)
10:47.0,,,91-65,,J. Randle misses free throw 1 of 1
10:43.0,Defensive rebound by W. Johnson,,91-65,,
10:37.0,,,91-65,,Violation by C. Brewer (kicked ball)
10:25.0,D. Gallinari misses 3-pt shot from 28 ft,,91-65,,
10:20.0,Offensive rebound by W. Reed,,91-65,,
10:18.0,W. Reed makes 2-pt shot from 2 ft,2,93-65,,
10:05.0,,,93-65,,Turnover by C. Brewer (bad pass)
9:50.0,W. Reed makes 2-pt shot from 1 ft (assist by A. Rivers),2,95-65,,
9:50.0,,,95-65,,LA Lakers full timeout
9:50.0,,,95-65,,L. Nance enters the game for C. Brewer
9:50.0,,,95-65,,T. Ennis enters the game for J. Randle
9:50.0,,,95-65,,B. Lopez enters the game for K. Kuzma
9:50.0,,,95-65,,B. Ingram enters the game for A. Caruso
9:50.0,S. Dekker enters the game for D. Gallinari,,95-65,,
9:32.0,,,95-67,2,B. Lopez makes 2-pt shot from 10 ft
9:32.0,,,95-67,,Shooting foul by W. Reed (drawn by B. Lopez)
9:32.0,,,95-68,1,B. Lopez makes free throw 1 of 1
9:15.0,L. Williams misses 2-pt shot from 4 ft,,95-68,,
9:14.0,Offensive rebound by Team,,95-68,,
9:06.0,Turnover by L. Williams (lost ball; steal by J. Clarkson),,95-68,,
9:00.0,,,95-70,2,L. Nance makes 2-pt shot from 1 ft (assist by B. Ingram)
8:43.0,W. Reed misses 2-pt shot from 15 ft,,95-70,,
8:40.0,,,95-70,,Defensive rebound by T. Ennis
8:25.0,,,95-73,3,J. Clarkson makes 3-pt shot from 26 ft (assist by T. Ennis)
8:11.0,W. Johnson misses 3-pt shot from 25 ft,,95-73,,
