time,Portland,pts.away,score,pts.home,New Orleans
0:38.0,S. Napier makes 3-pt shot from 28 ft,3,20-22,,
0:30.0,,,20-22,,D. Miller misses 3-pt shot from 26 ft
0:27.0,,,20-22,,Offensive rebound by J. Holiday
0:08.0,,,20-24,2,J. Holiday makes 2-pt shot from 8 ft
0:02.0,Turnover by S. Napier (lost ball; steal by S. Hill),,20-24,,
0:00.0,,,20-24,,S. Hill misses 3-pt shot from 57 ft
0:00.0,,,20-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-26,2,D. Miller makes 2-pt shot from 16 ft
11:19.0,C. McCollum misses 2-pt shot from 8 ft,,20-26,,
11:14.0,,,20-26,,Defensive rebound by C. Diallo
11:08.0,,,20-26,,N. Mirotic misses 2-pt shot from 13 ft
11:04.0,Defensive rebound by Z. Collins,,20-26,,
10:57.0,Turnover by S. Napier (bad pass),,20-26,,
10:47.0,,,20-26,,S. Hill misses 2-pt shot from 8 ft
10:45.0,Defensive rebound by E. Davis,,20-26,,
10:42.0,,,20-26,,Personal foul by S. Hill (drawn by C. McCollum)
10:31.0,E. Davis misses 2-pt shot from 5 ft,,20-26,,
10:27.0,,,20-26,,Defensive rebound by C. Diallo
10:25.0,,,20-26,,N. Mirotic misses 3-pt shot from 27 ft
10:23.0,Defensive rebound by Team,,20-26,,
10:09.0,C. McCollum misses 2-pt shot from 8 ft (block by C. Diallo),,20-26,,
10:05.0,,,20-26,,Defensive rebound by J. Holiday
10:05.0,,,20-28,2,C. Diallo makes 2-pt shot from 3 ft (assist by J. Holiday)
10:05.0,,,20-28,,Shooting foul by Z. Collins (drawn by C. Diallo)
10:05.0,P. Connaughton enters the game for S. Napier,,20-28,,
10:05.0,,,20-29,1,C. Diallo makes free throw 1 of 1
9:49.0,Z. Collins misses 3-pt shot from 22 ft,,20-29,,
9:45.0,,,20-29,,Defensive rebound by C. Diallo
9:35.0,,,20-29,,J. Holiday misses 3-pt shot from 26 ft
9:31.0,,,20-29,,Offensive rebound by D. Miller
9:26.0,,,20-29,,C. Diallo misses 2-pt shot from 7 ft
9:26.0,Defensive rebound by E. Davis,,20-29,,
9:13.0,C. McCollum makes 3-pt shot from 29 ft (assist by P. Connaughton),3,23-29,,
9:02.0,,,23-29,,N. Mirotic misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by E. Turner,,23-29,,
8:54.0,E. Turner makes 2-pt shot from 6 ft,2,25-29,,
8:54.0,Shooting foul by C. Diallo (drawn by E. Turner),,25-29,,
8:54.0,E. Turner misses free throw 1 of 1,,25-29,,
8:54.0,,,25-29,,Defensive rebound by N. Mirotic
8:41.0,,,25-29,,A. Davis enters the game for N. Mirotic
8:41.0,A. Aminu enters the game for Z. Collins,,25-29,,
8:35.0,,,25-29,,A. Davis misses 2-pt shot from 6 ft
8:33.0,,,25-29,,Offensive rebound by A. Davis
8:24.0,,,25-31,2,J. Holiday makes 2-pt shot from 9 ft
8:11.0,A. Aminu misses 3-pt shot from 26 ft,,25-31,,
8:11.0,,,25-31,,Defensive rebound by C. Diallo
7:51.0,,,25-34,3,S. Hill makes 3-pt shot from 27 ft (assist by J. Holiday)
7:26.0,P. Connaughton misses 2-pt shot from 18 ft,,25-34,,
7:26.0,,,25-34,,Defensive rebound by C. Diallo
7:17.0,,,25-34,,S. Hill misses 2-pt shot from 6 ft
7:16.0,,,25-34,,Offensive rebound by A. Davis
7:16.0,,,25-34,,A. Davis misses 2-pt shot at rim
7:16.0,Defensive rebound by Team,,25-34,,
7:16.0,,,25-34,,E. Moore enters the game for J. Holiday
7:16.0,,,25-34,,I. Clark enters the game for S. Hill
7:16.0,D. Lillard enters the game for P. Connaughton,,25-34,,
7:02.0,C. McCollum misses 2-pt shot from 1 ft (block by A. Davis),,25-34,,
7:02.0,,,25-34,,Defensive rebound by C. Diallo
6:44.0,,,25-34,,A. Davis misses 2-pt shot from 8 ft
6:36.0,Defensive rebound by C. McCollum,,25-34,,
6:34.0,E. Turner makes 3-pt shot from 28 ft (assist by C. McCollum),3,28-34,,
6:21.0,,,28-36,2,A. Davis makes 2-pt shot from 5 ft (assist by E. Moore)
6:20.0,Portland full timeout,,28-36,,
6:20.0,J. Nurkic enters the game for C. McCollum,,28-36,,
6:20.0,S. Napier enters the game for E. Davis,,28-36,,
6:10.0,E. Turner makes 2-pt shot from 10 ft (assist by D. Lillard),2,30-36,,
5:54.0,,,30-39,3,D. Miller makes 3-pt shot from 28 ft (assist by A. Davis)
5:33.0,D. Lillard makes 2-pt shot from 4 ft,2,32-39,,
5:12.0,,,32-39,,I. Clark misses 3-pt shot from 27 ft
5:06.0,Defensive rebound by E. Turner,,32-39,,
4:59.0,J. Nurkic makes 2-pt shot from 9 ft (assist by D. Lillard),2,34-39,,
4:49.0,,,34-39,,Offensive foul by A. Davis (drawn by S. Napier)
4:49.0,,,34-39,,Turnover by A. Davis (offensive foul)
4:37.0,D. Lillard makes 2-pt shot from 5 ft,2,36-39,,
4:21.0,Personal foul by E. Turner (drawn by A. Davis),,36-39,,
4:14.0,,,36-39,,Offensive foul by I. Clark (drawn by S. Napier)
4:14.0,,,36-39,,Turnover by I. Clark (offensive foul)
4:14.0,,,36-39,,J. Holiday enters the game for C. Diallo
4:14.0,,,36-39,,N. Mirotic enters the game for D. Miller
3:59.0,A. Aminu misses 3-pt shot from 27 ft,,36-39,,
3:55.0,,,36-39,,Defensive rebound by J. Holiday
3:53.0,,,36-39,,Turnover by J. Holiday (bad pass; steal by A. Aminu)
3:40.0,Turnover by S. Napier (bad pass; steal by A. Davis),,36-39,,
3:31.0,,,36-41,2,A. Davis makes 2-pt shot from 13 ft (assist by E. Moore)
3:20.0,D. Lillard misses 3-pt shot from 28 ft,,36-41,,
3:20.0,,,36-41,,Defensive rebound by A. Davis
3:13.0,C. McCollum enters the game for S. Napier,,36-41,,
3:04.0,,,36-41,,E. Moore misses 2-pt shot from 7 ft (block by C. McCollum)
2:59.0,Defensive rebound by J. Nurkic,,36-41,,
2:57.0,C. McCollum misses 3-pt shot from 29 ft,,36-41,,
2:53.0,Offensive rebound by C. McCollum,,36-41,,
2:40.0,J. Nurkic makes 2-pt shot from 4 ft (assist by E. Turner),2,38-41,,
2:31.0,,,38-43,2,A. Davis makes 2-pt shot from 5 ft (assist by J. Holiday)
2:30.0,Portland full timeout,,38-43,,
2:11.0,J. Nurkic misses 2-pt shot from 6 ft,,38-43,,
2:08.0,,,38-43,,Defensive rebound by N. Mirotic
1:56.0,,,38-43,,J. Holiday misses 2-pt shot from 5 ft
1:56.0,,,38-43,,Offensive rebound by Team
1:56.0,Loose ball foul by A. Aminu (drawn by A. Davis),,38-43,,
1:48.0,,,38-43,,I. Clark misses 2-pt shot from 9 ft (block by J. Nurkic)
1:48.0,,,38-43,,Offensive rebound by Team
1:44.0,,,38-45,2,E. Moore makes 2-pt shot from 3 ft (assist by I. Clark)
1:26.0,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard),3,41-45,,
1:08.0,,,41-45,,A. Davis misses 2-pt shot from 15 ft
1:03.0,Defensive rebound by D. Lillard,,41-45,,
1:00.0,D. Lillard misses 2-pt shot from 2 ft,,41-45,,
0:58.0,,,41-45,,Defensive rebound by J. Holiday
0:53.0,,,41-47,2,E. Moore makes 2-pt shot from 7 ft (assist by A. Davis)
0:34.0,E. Turner misses 2-pt shot from 16 ft,,41-47,,
0:29.0,Offensive rebound by A. Aminu,,41-47,,
0:26.0,A. Aminu makes 3-pt shot from 23 ft,3,44-47,,
0:07.0,Personal foul by J. Nurkic (drawn by A. Davis),,44-47,,
0:07.0,,,44-48,1,A. Davis makes free throw 1 of 2
0:07.0,,,44-48,,L. Drew enters the game for I. Clark
0:07.0,M. Leonard enters the game for J. Nurkic,,44-48,,
0:07.0,,,44-49,1,A. Davis makes free throw 2 of 2
0:03.0,,,44-49,,Personal foul by J. Holiday (drawn by D. Lillard)
0:03.0,,,44-49,,S. Hill enters the game for J. Holiday
0:02.0,A. Aminu misses 2-pt shot from 4 ft,,44-49,,
0:00.0,Offensive rebound by A. Aminu,,44-49,,
0:00.0,Shooting foul by A. Davis (drawn by A. Aminu),,44-49,,
0:00.0,A. Aminu makes free throw 1 of 2,1,45-49,,
0:00.0,E. Davis enters the game for E. Turner,,45-49,,
0:00.0,A. Aminu makes free throw 2 of 2,1,46-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,46-51,2,E. Moore makes 2-pt shot from 5 ft (assist by J. Holiday)
11:19.0,J. Nurkic misses 2-pt shot from 2 ft,,46-51,,
11:16.0,,,46-51,,Defensive rebound by A. Davis
11:08.0,,,46-51,,Turnover by J. Holiday (bad pass)
10:59.0,C. McCollum makes 2-pt shot from 5 ft,2,48-51,,
10:43.0,,,48-51,,A. Davis misses 2-pt shot from 11 ft
10:43.0,Defensive rebound by A. Aminu,,48-51,,
10:32.0,D. Lillard misses 2-pt shot from 2 ft,,48-51,,
10:29.0,,,48-51,,Defensive rebound by J. Holiday
10:20.0,,,48-53,2,A. Davis makes 2-pt shot from 3 ft (assist by E. Moore)
10:02.0,Turnover by A. Aminu (traveling),,48-53,,
9:55.0,Away from play foul by E. Turner (drawn by A. Davis),,48-53,,
9:47.0,,,48-55,2,J. Holiday makes 2-pt shot from 5 ft
9:47.0,,,48-55,,Shooting foul by A. Aminu (drawn by J. Holiday)
9:47.0,,,48-56,1,J. Holiday makes free throw 1 of 1
9:35.0,D. Lillard makes 2-pt shot from 15 ft,2,50-56,,
9:25.0,,,50-58,2,I. Clark makes 2-pt shot from 8 ft (assist by J. Holiday)
9:07.0,C. McCollum misses 2-pt shot from 7 ft (block by E. Moore),,50-58,,
9:04.0,,,50-58,,Defensive rebound by J. Holiday
9:01.0,,,50-58,,I. Clark misses 3-pt shot from 27 ft (block by J. Nurkic)
9:01.0,Defensive rebound by C. McCollum,,50-58,,
8:56.0,Turnover by C. McCollum (bad pass),,50-58,,
8:43.0,,,50-58,,J. Holiday misses 2-pt shot from 1 ft (block by J. Nurkic)
8:39.0,,,50-58,,Offensive rebound by E. Okafor
8:39.0,,,50-58,,E. Okafor misses 2-pt shot from 2 ft
8:37.0,Defensive rebound by D. Lillard,,50-58,,
8:36.0,,,50-58,,Personal foul by E. Okafor (drawn by J. Nurkic)
8:25.0,C. McCollum misses 2-pt shot from 18 ft,,50-58,,
8:22.0,,,50-58,,Defensive rebound by A. Davis
8:17.0,,,50-61,3,E. Moore makes 3-pt shot from 26 ft (assist by A. Davis)
7:57.0,D. Lillard misses 2-pt shot from 7 ft,,50-61,,
7:52.0,Offensive rebound by J. Nurkic,,50-61,,
7:51.0,J. Nurkic makes 2-pt shot from 1 ft,2,52-61,,
7:41.0,,,52-63,2,A. Davis makes 2-pt shot from 8 ft (assist by J. Holiday)
7:22.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard),2,54-63,,
7:03.0,,,54-63,,A. Davis misses 2-pt shot from 13 ft
7:03.0,Defensive rebound by J. Nurkic,,54-63,,
6:52.0,D. Lillard misses 2-pt shot from 4 ft,,54-63,,
6:49.0,Offensive rebound by J. Nurkic,,54-63,,
6:48.0,J. Nurkic makes 2-pt shot from 3 ft,2,56-63,,
6:46.0,,,56-63,,New Orleans full timeout
6:39.0,,,56-63,,Offensive foul by E. Okafor (drawn by D. Lillard)
6:39.0,,,56-63,,Turnover by E. Okafor (offensive foul)
6:26.0,A. Aminu misses 3-pt shot from 25 ft,,56-63,,
6:22.0,,,56-63,,Defensive rebound by E. Moore
6:10.0,,,56-65,2,J. Holiday makes 2-pt shot from 16 ft
5:59.0,J. Nurkic makes 2-pt shot from 2 ft (assist by E. Turner),2,58-65,,
5:51.0,,,58-65,,J. Holiday misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by J. Nurkic,,58-65,,
5:31.0,C. McCollum misses 2-pt shot from 9 ft,,58-65,,
5:28.0,,,58-65,,Defensive rebound by J. Holiday
5:26.0,,,58-67,2,I. Clark makes 2-pt shot from 10 ft (assist by J. Holiday)
5:16.0,C. McCollum misses 3-pt shot from 25 ft,,58-67,,
5:16.0,Offensive rebound by A. Aminu,,58-67,,
5:15.0,,,58-67,,Personal foul by J. Holiday (drawn by A. Aminu)
5:15.0,,,58-67,,New Orleans full timeout
5:15.0,,,58-67,,N. Mirotic enters the game for A. Davis
5:15.0,,,58-67,,D. Miller enters the game for E. Moore
5:15.0,S. Napier enters the game for E. Turner,,58-67,,
5:07.0,C. McCollum makes 2-pt shot from 7 ft (assist by D. Lillard),2,60-67,,
4:46.0,,,60-67,,D. Miller misses 3-pt shot from 27 ft
4:42.0,Defensive rebound by D. Lillard,,60-67,,
4:36.0,Turnover by C. McCollum (bad pass),,60-67,,
4:36.0,,,60-67,,A. Davis enters the game for E. Okafor
4:19.0,,,60-69,2,A. Davis makes 2-pt shot from 3 ft (assist by I. Clark)
4:09.0,D. Lillard makes 2-pt shot from 6 ft,2,62-69,,
3:53.0,,,62-69,,Turnover by J. Holiday (lost ball; steal by S. Napier)
3:48.0,S. Napier misses 2-pt shot from 16 ft,,62-69,,
3:48.0,,,62-69,,Defensive rebound by N. Mirotic
3:36.0,,,62-71,2,N. Mirotic makes 2-pt shot from 3 ft (assist by J. Holiday)
3:10.0,C. McCollum misses 2-pt shot from 14 ft,,62-71,,
3:10.0,Offensive rebound by J. Nurkic,,62-71,,
3:06.0,J. Nurkic makes 2-pt shot from 4 ft,2,64-71,,
2:48.0,,,64-71,,N. Mirotic misses 2-pt shot from 11 ft
2:48.0,Defensive rebound by J. Nurkic,,64-71,,
2:39.0,D. Lillard makes 2-pt shot from 14 ft,2,66-71,,
2:30.0,Personal foul by S. Napier (drawn by J. Holiday),,66-71,,
2:30.0,,,66-71,,E. Moore enters the game for J. Holiday
2:30.0,E. Davis enters the game for C. McCollum,,66-71,,
2:30.0,Z. Collins enters the game for A. Aminu,,66-71,,
2:30.0,P. Connaughton enters the game for J. Nurkic,,66-71,,
2:24.0,,,66-71,,Turnover by D. Miller (lost ball; steal by D. Lillard)
2:20.0,D. Lillard misses 2-pt shot from 2 ft (block by A. Davis),,66-71,,
2:20.0,,,66-71,,Defensive rebound by E. Moore
2:15.0,,,66-71,,D. Miller misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by D. Lillard,,66-71,,
2:06.0,,,66-71,,Personal foul by E. Moore (drawn by E. Davis)
1:57.0,D. Lillard makes 2-pt shot from 7 ft,2,68-71,,
1:44.0,Personal foul by D. Lillard (drawn by E. Moore),,68-71,,
1:38.0,,,68-71,,E. Moore misses 3-pt shot from 28 ft
1:38.0,Defensive rebound by S. Napier,,68-71,,
1:22.0,Z. Collins misses 2-pt shot from 10 ft,,68-71,,
1:19.0,,,68-71,,Defensive rebound by D. Miller
1:02.0,,,68-73,2,A. Davis makes 2-pt shot from 13 ft (assist by E. Moore)
0:47.0,S. Napier makes 3-pt shot from 23 ft (assist by Z. Collins),3,71-73,,
0:33.0,,,71-75,2,A. Davis makes 2-pt shot from 12 ft (assist by E. Moore)
0:24.0,P. Connaughton misses 2-pt shot from 6 ft,,71-75,,
0:24.0,,,71-75,,Defensive rebound by A. Davis
0:00.0,,,71-75,,E. Moore misses 2-pt shot from 2 ft
0:00.0,,,71-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Lillard makes 3-pt shot from 27 ft,3,74-75,,
11:39.0,,,74-75,,Turnover by J. Holiday (lost ball; steal by S. Napier)
11:33.0,D. Lillard makes 2-pt shot from 7 ft (assist by S. Napier),2,76-75,,
11:21.0,,,76-75,,D. Miller misses 3-pt shot from 27 ft
11:17.0,Defensive rebound by E. Davis,,76-75,,
11:09.0,D. Lillard makes 2-pt shot from 18 ft,2,78-75,,
10:57.0,,,78-77,2,S. Hill makes 2-pt shot from 5 ft
10:36.0,S. Napier misses 2-pt shot from 7 ft,,78-77,,
10:34.0,,,78-77,,Defensive rebound by C. Diallo
10:26.0,,,78-77,,N. Mirotic misses 3-pt shot from 28 ft
10:25.0,Defensive rebound by Team,,78-77,,
10:25.0,,,78-77,,Loose ball foul by C. Diallo (drawn by S. Napier)
10:02.0,E. Davis misses 2-pt shot from 2 ft,,78-77,,
10:00.0,Offensive rebound by S. Napier,,78-77,,
10:00.0,Turnover by S. Napier (traveling),,78-77,,
9:50.0,,,78-79,2,J. Holiday makes 2-pt shot from 14 ft
9:29.0,S. Napier makes 2-pt shot from 17 ft (assist by D. Lillard),2,80-79,,
9:13.0,,,80-79,,Shooting foul by P. Connaughton (drawn by S. Hill)
9:13.0,,,80-79,,S. Hill misses free throw 1 of 2
9:13.0,,,80-79,,Offensive rebound by Team
9:13.0,,,80-80,1,S. Hill makes free throw 2 of 2
9:13.0,,,80-80,,A. Davis enters the game for N. Mirotic
9:13.0,E. Turner enters the game for P. Connaughton,,80-80,,
9:13.0,C. McCollum enters the game for S. Napier,,80-80,,
9:13.0,A. Aminu enters the game for Z. Collins,,80-80,,
8:55.0,D. Lillard makes 2-pt shot from 14 ft,2,82-80,,
8:37.0,,,82-80,,Shooting foul by A. Aminu (drawn by A. Davis)
8:37.0,,,82-81,1,A. Davis makes free throw 1 of 2
8:37.0,,,82-82,1,A. Davis makes free throw 2 of 2
8:22.0,D. Lillard makes 3-pt shot from 30 ft (assist by E. Davis),3,85-82,,
8:15.0,,,85-84,2,A. Davis makes 2-pt shot from 3 ft (assist by S. Hill)
8:03.0,D. Lillard makes 2-pt shot from 7 ft,2,87-84,,
7:55.0,,,87-84,,Turnover by J. Holiday (bad pass; steal by C. McCollum)
7:49.0,D. Lillard misses 2-pt shot from 14 ft (block by A. Davis),,87-84,,
7:48.0,Offensive rebound by D. Lillard,,87-84,,
7:45.0,D. Lillard misses 2-pt shot from 17 ft,,87-84,,
7:42.0,Offensive rebound by A. Aminu,,87-84,,
7:41.0,E. Turner makes 2-pt shot from 2 ft (assist by A. Aminu),2,89-84,,
7:32.0,,,89-84,,New Orleans full timeout
7:32.0,,,89-84,,E. Moore enters the game for C. Diallo
7:32.0,J. Nurkic enters the game for E. Davis,,89-84,,
7:25.0,,,89-84,,J. Holiday misses 2-pt shot from 12 ft
7:23.0,Defensive rebound by Team,,89-84,,
7:11.0,A. Aminu misses 3-pt shot from 25 ft,,89-84,,
7:07.0,,,89-84,,Defensive rebound by E. Moore
6:57.0,,,89-86,2,A. Davis makes 2-pt shot from 6 ft (assist by S. Hill)
6:48.0,Shooting foul by D. Miller (drawn by E. Turner),,89-86,,
6:48.0,E. Turner makes free throw 1 of 2,1,90-86,,
6:48.0,E. Turner makes free throw 2 of 2,1,91-86,,
6:48.0,,,91-86,,Turnover by S. Hill (bad pass)
6:41.0,A. Aminu misses 3-pt shot from 27 ft,,91-86,,
6:37.0,,,91-86,,Defensive rebound by A. Davis
6:23.0,,,91-88,2,A. Davis makes 2-pt shot from 4 ft (assist by E. Moore)
6:06.0,D. Lillard misses 3-pt shot from 28 ft,,91-88,,
6:06.0,,,91-88,,Defensive rebound by A. Davis
5:57.0,,,91-91,3,S. Hill makes 3-pt shot from 23 ft (assist by J. Holiday)
5:57.0,Portland full timeout,,91-91,,
5:40.0,C. McCollum misses 2-pt shot from 19 ft,,91-91,,
5:35.0,,,91-91,,Defensive rebound by A. Davis
5:21.0,,,91-91,,E. Moore misses 2-pt shot from 5 ft
5:19.0,Defensive rebound by J. Nurkic,,91-91,,
5:11.0,D. Lillard makes 2-pt shot from 5 ft,2,93-91,,
4:56.0,,,93-93,2,A. Davis makes 2-pt shot from 6 ft (assist by J. Holiday)
4:42.0,D. Lillard misses 3-pt shot from 27 ft,,93-93,,
4:37.0,,,93-93,,Defensive rebound by S. Hill
4:31.0,,,93-93,,A. Davis misses 2-pt shot from 7 ft
4:28.0,,,93-93,,Offensive rebound by J. Holiday
4:13.0,,,93-95,2,A. Davis makes 2-pt shot from 8 ft (assist by J. Holiday)
3:55.0,C. McCollum misses 2-pt shot from 10 ft,,93-95,,
3:55.0,Offensive rebound by J. Nurkic,,93-95,,
3:55.0,J. Nurkic makes 2-pt shot from 4 ft,2,95-95,,
3:55.0,Shooting foul by E. Moore (drawn by J. Nurkic),,95-95,,
