time,Philadelphia,pts.away,score,pts.home,Detroit
11:29.0,,,36-28,,Turnover by E. Moreland (offensive foul)
11:19.0,E. Ilyasova misses 3-pt shot from 26 ft,,36-28,,
11:15.0,,,36-28,,Defensive rebound by H. Ellenson
11:02.0,,,36-28,,J. Ennis misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by E. Ilyasova,,36-28,,
10:43.0,M. Fultz makes 2-pt shot from 2 ft,2,38-28,,
10:33.0,,,38-28,,Turnover by R. Jackson (bad pass; steal by J. Redick)
10:27.0,M. Fultz misses 2-pt shot from 1 ft,,38-28,,
10:24.0,,,38-28,,Defensive rebound by R. Jackson
10:21.0,,,38-28,,R. Jackson misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by J. Redick,,38-28,,
10:09.0,Shooting foul by E. Moreland (drawn by E. Ilyasova),,38-28,,
10:09.0,E. Ilyasova misses free throw 1 of 2,,38-28,,
10:09.0,Offensive rebound by Team,,38-28,,
10:09.0,E. Ilyasova makes free throw 2 of 2,1,39-28,,
9:58.0,,,39-30,2,L. Kennard makes 2-pt shot from 18 ft (assist by R. Jackson)
9:45.0,Turnover by M. Fultz (step out of bounds),,39-30,,
9:35.0,,,39-30,,H. Ellenson misses 2-pt shot from 20 ft
9:30.0,Defensive rebound by A. Johnson,,39-30,,
9:23.0,Shooting foul by L. Kennard (drawn by E. Ilyasova),,39-30,,
9:23.0,E. Ilyasova makes free throw 1 of 2,1,40-30,,
9:23.0,E. Ilyasova makes free throw 2 of 2,1,41-30,,
9:11.0,,,41-30,,R. Jackson misses 2-pt shot from 12 ft
9:07.0,Defensive rebound by E. Ilyasova,,41-30,,
9:03.0,R. Covington makes 3-pt shot from 26 ft (assist by J. Redick),3,44-30,,
8:46.0,,,44-32,2,L. Kennard makes 2-pt shot from 1 ft (assist by E. Moreland)
8:46.0,,,44-32,,Shooting foul by E. Ilyasova (drawn by L. Kennard)
8:46.0,,,44-32,,A. Tolliver enters the game for H. Ellenson
8:46.0,M. Belinelli enters the game for J. Redick,,44-32,,
8:46.0,,,44-33,1,L. Kennard makes free throw 1 of 1
8:38.0,,,44-33,,Personal foul by E. Moreland (drawn by M. Belinelli)
8:28.0,Turnover by M. Belinelli (turnover),,44-33,,
8:28.0,,,44-33,,A. Drummond enters the game for E. Moreland
8:08.0,,,44-33,,R. Jackson misses 2-pt shot from 21 ft
8:04.0,Defensive rebound by M. Fultz,,44-33,,
7:57.0,M. Belinelli makes 3-pt shot from 23 ft (assist by M. Fultz),3,47-33,,
7:40.0,,,47-33,,Turnover by R. Jackson (bad pass; steal by R. Covington)
7:37.0,R. Covington makes 2-pt shot from 1 ft,2,49-33,,
7:17.0,,,49-35,2,R. Jackson makes 2-pt shot from 5 ft
7:11.0,Philadelphia full timeout,,49-35,,
7:11.0,B. Simmons enters the game for M. Fultz,,49-35,,
7:11.0,T. McConnell enters the game for E. Ilyasova,,49-35,,
7:04.0,B. Simmons misses 2-pt shot from 2 ft,,49-35,,
7:02.0,,,49-35,,Defensive rebound by A. Drummond
6:54.0,,,49-35,,J. Ennis misses 2-pt shot from 4 ft (block by R. Covington)
6:54.0,,,49-35,,Offensive rebound by Team
6:52.0,,,49-37,2,L. Kennard makes 2-pt shot from 17 ft (assist by R. Jackson)
6:36.0,R. Covington misses 3-pt shot from 26 ft,,49-37,,
6:34.0,,,49-37,,Defensive rebound by Team
6:09.0,,,49-37,,R. Jackson misses 2-pt shot from 12 ft
6:09.0,,,49-37,,Offensive rebound by Team
6:09.0,,,49-37,,Turnover by Team (shot clock)
6:09.0,R. Holmes enters the game for A. Johnson,,49-37,,
5:56.0,B. Simmons makes 2-pt shot from 2 ft,2,51-37,,
5:32.0,,,51-37,,L. Kennard misses 2-pt shot from 4 ft
5:28.0,,,51-37,,Offensive rebound by A. Tolliver
5:24.0,,,51-37,,J. Ennis misses 2-pt shot from 3 ft
5:21.0,Defensive rebound by M. Belinelli,,51-37,,
5:14.0,M. Belinelli misses 3-pt shot from 26 ft,,51-37,,
5:11.0,,,51-37,,Defensive rebound by L. Kennard
5:03.0,,,51-40,3,A. Tolliver makes 3-pt shot from 27 ft (assist by R. Jackson)
4:56.0,Shooting foul by J. Ennis (drawn by B. Simmons),,51-40,,
4:56.0,B. Simmons makes free throw 1 of 2,1,52-40,,
4:56.0,,,52-40,,I. Smith enters the game for R. Jackson
4:56.0,,,52-40,,S. Johnson enters the game for J. Ennis
4:56.0,B. Simmons makes free throw 2 of 2,1,53-40,,
4:48.0,,,53-40,,Turnover by I. Smith (bad pass)
4:33.0,R. Covington makes 3-pt shot from 23 ft (assist by B. Simmons),3,56-40,,
4:15.0,,,56-40,,Shooting foul by R. Holmes (drawn by A. Drummond)
4:15.0,,,56-40,,A. Drummond misses free throw 1 of 2
4:15.0,,,56-40,,Offensive rebound by Team
4:15.0,,,56-40,,A. Drummond misses free throw 2 of 2
4:12.0,Defensive rebound by B. Simmons,,56-40,,
3:58.0,,,56-40,,Personal foul by A. Drummond (drawn by B. Simmons)
3:58.0,B. Simmons misses free throw 1 of 2,,56-40,,
3:58.0,Offensive rebound by Team,,56-40,,
3:58.0,J. Redick enters the game for T. McConnell,,56-40,,
3:58.0,E. Ilyasova enters the game for R. Covington,,56-40,,
3:58.0,B. Simmons misses free throw 2 of 2,,56-40,,
3:53.0,,,56-40,,Defensive rebound by L. Kennard
3:53.0,,,56-40,,Turnover by L. Kennard (lost ball; steal by R. Holmes)
3:48.0,M. Belinelli makes 3-pt shot from 27 ft (assist by J. Redick),3,59-40,,
3:31.0,,,59-43,3,L. Kennard makes 3-pt shot from 27 ft (assist by I. Smith)
3:11.0,Turnover by M. Belinelli (out of bounds lost ball),,59-43,,
2:59.0,,,59-43,,I. Smith misses 2-pt shot from 10 ft
2:54.0,,,59-43,,Offensive rebound by S. Johnson
2:45.0,,,59-43,,Turnover by I. Smith (lost ball; steal by M. Belinelli)
2:31.0,R. Holmes makes 2-pt shot from 1 ft (assist by J. Redick),2,61-43,,
2:18.0,,,61-43,,Shooting foul by R. Holmes (drawn by S. Johnson)
2:18.0,,,61-43,,Detroit full timeout
2:18.0,,,61-43,,R. Bullock enters the game for L. Kennard
2:18.0,A. Johnson enters the game for R. Holmes,,61-43,,
2:18.0,,,61-43,,S. Johnson misses free throw 1 of 2
2:18.0,,,61-43,,Offensive rebound by Team
2:18.0,,,61-44,1,S. Johnson makes free throw 2 of 2
2:01.0,E. Ilyasova makes 2-pt shot at rim,2,63-44,,
1:45.0,,,63-44,,R. Bullock misses 3-pt shot from 27 ft
1:44.0,Defensive rebound by Team,,63-44,,
1:37.0,M. Belinelli misses 2-pt shot from 15 ft,,63-44,,
1:34.0,,,63-44,,Defensive rebound by I. Smith
1:25.0,,,63-44,,H. Ellenson enters the game for A. Drummond
1:16.0,,,63-46,2,A. Tolliver makes 2-pt shot from 6 ft (assist by I. Smith)
0:59.0,Turnover by B. Simmons (bad pass),,63-46,,
0:43.0,,,63-46,,I. Smith misses 3-pt shot from 23 ft
0:43.0,Defensive rebound by A. Johnson,,63-46,,
0:37.0,Turnover by A. Johnson (bad pass; steal by I. Smith),,63-46,,
0:34.0,,,63-46,,I. Smith misses 3-pt shot from 27 ft
0:32.0,Defensive rebound by A. Johnson,,63-46,,
0:15.0,B. Simmons makes 2-pt shot from 11 ft,2,65-46,,
0:01.0,,,65-49,3,S. Johnson makes 3-pt shot from 27 ft (assist by I. Smith)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,E. Ilyasova misses 2-pt shot from 3 ft,,65-49,,
11:46.0,,,65-49,,Defensive rebound by A. Tolliver
11:40.0,,,65-49,,A. Drummond misses 2-pt shot from 6 ft (block by R. Covington)
11:39.0,,,65-49,,Offensive rebound by A. Drummond
11:39.0,,,65-49,,Shooting foul by A. Johnson (drawn by A. Drummond)
11:39.0,,,65-50,1,A. Drummond makes free throw 1 of 2
11:39.0,,,65-50,,A. Drummond misses free throw 2 of 2
11:36.0,Defensive rebound by A. Johnson,,65-50,,
11:29.0,J. Redick makes 2-pt shot from 19 ft (assist by B. Simmons),2,67-50,,
11:09.0,,,67-53,3,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Johnson)
10:52.0,Shooting foul by S. Johnson (drawn by E. Ilyasova),,67-53,,
10:52.0,E. Ilyasova makes free throw 1 of 2,1,68-53,,
10:52.0,E. Ilyasova misses free throw 2 of 2,,68-53,,
10:50.0,,,68-53,,Defensive rebound by A. Drummond
10:31.0,Personal foul by A. Johnson (drawn by R. Jackson),,68-53,,
10:21.0,Violation by B. Simmons (kicked ball),,68-53,,
10:14.0,,,68-53,,Turnover by S. Johnson (bad pass)
10:07.0,E. Ilyasova misses 3-pt shot from 26 ft,,68-53,,
10:00.0,Offensive rebound by A. Johnson,,68-53,,
10:00.0,A. Johnson misses 2-pt shot at rim,,68-53,,
9:59.0,,,68-53,,Defensive rebound by A. Drummond
9:50.0,,,68-53,,Turnover by A. Drummond (lost ball; steal by R. Covington)
9:41.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by B. Simmons),2,70-53,,
9:23.0,,,70-56,3,S. Johnson makes 3-pt shot from 26 ft (assist by R. Jackson)
9:06.0,,,70-56,,Personal foul by A. Tolliver (drawn by B. Simmons)
8:55.0,B. Simmons makes 2-pt shot from 4 ft,2,72-56,,
8:42.0,,,72-58,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
8:39.0,Philadelphia full timeout,,72-58,,
8:29.0,Shooting foul by A. Drummond (drawn by R. Covington),,72-58,,
8:29.0,R. Covington makes free throw 1 of 2,1,73-58,,
8:29.0,R. Covington makes free throw 2 of 2,1,74-58,,
8:17.0,,,74-58,,R. Bullock misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by R. Covington,,74-58,,
8:07.0,J. Redick misses 2-pt shot from 23 ft,,74-58,,
8:02.0,Offensive rebound by E. Ilyasova,,74-58,,
8:02.0,E. Ilyasova misses 2-pt shot at rim,,74-58,,
8:00.0,,,74-58,,Defensive rebound by R. Bullock
7:55.0,,,74-58,,S. Johnson misses 2-pt shot from 4 ft
7:54.0,,,74-58,,Offensive rebound by A. Tolliver
7:36.0,,,74-58,,A. Drummond misses 2-pt shot from 4 ft
7:34.0,Defensive rebound by A. Johnson,,74-58,,
7:27.0,R. Covington misses 2-pt shot from 6 ft (block by A. Drummond),,74-58,,
7:27.0,Offensive rebound by Team,,74-58,,
7:27.0,M. Belinelli enters the game for J. Redick,,74-58,,
7:27.0,T. McConnell enters the game for E. Ilyasova,,74-58,,
7:24.0,A. Johnson makes 3-pt shot from 26 ft (assist by B. Simmons),3,77-58,,
7:03.0,,,77-60,2,S. Johnson makes 2-pt shot from 1 ft (assist by R. Jackson)
7:03.0,,,77-60,,Shooting foul by A. Johnson (drawn by S. Johnson)
7:03.0,,,77-60,,S. Johnson misses free throw 1 of 1
7:00.0,Defensive rebound by B. Simmons,,77-60,,
6:47.0,T. McConnell misses 3-pt shot from 26 ft,,77-60,,
6:43.0,,,77-60,,Defensive rebound by R. Jackson
6:34.0,,,77-60,,R. Jackson misses 2-pt shot from 11 ft
6:32.0,Defensive rebound by T. McConnell,,77-60,,
6:27.0,T. McConnell makes 2-pt shot from 15 ft (assist by R. Covington),2,79-60,,
6:26.0,,,79-60,,Detroit full timeout
6:26.0,R. Holmes enters the game for A. Johnson,,79-60,,
6:13.0,,,79-60,,S. Johnson misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by R. Covington,,79-60,,
6:00.0,B. Simmons misses 2-pt shot from 3 ft,,79-60,,
5:57.0,,,79-60,,Defensive rebound by A. Drummond
5:43.0,,,79-60,,R. Jackson misses 2-pt shot from 10 ft
5:40.0,,,79-60,,Offensive rebound by A. Drummond
5:40.0,,,79-60,,A. Drummond misses 2-pt shot from 2 ft
5:40.0,,,79-60,,Offensive rebound by Team
5:40.0,,,79-60,,I. Smith enters the game for R. Jackson
5:37.0,,,79-60,,R. Bullock misses 2-pt shot from 18 ft
5:33.0,Defensive rebound by B. Simmons,,79-60,,
5:26.0,R. Covington misses 3-pt shot from 27 ft,,79-60,,
5:22.0,,,79-60,,Defensive rebound by S. Johnson
5:18.0,,,79-62,2,S. Johnson makes 2-pt shot from 1 ft
4:52.0,T. McConnell misses 2-pt shot from 14 ft,,79-62,,
4:51.0,,,79-62,,Defensive rebound by Team
4:36.0,,,79-64,2,S. Johnson makes 2-pt shot from 2 ft (assist by I. Smith)
4:36.0,Philadelphia full timeout,,79-64,,
4:36.0,,,79-64,,L. Kennard enters the game for R. Bullock
4:17.0,R. Covington makes 2-pt shot from 12 ft (assist by T. McConnell),2,81-64,,
4:02.0,,,81-64,,Shooting foul by R. Holmes (drawn by L. Kennard)
4:02.0,,,81-64,,L. Kennard misses free throw 1 of 2
4:02.0,,,81-64,,Offensive rebound by Team
4:02.0,J. Redick enters the game for T. McConnell,,81-64,,
4:02.0,M. Fultz enters the game for B. Simmons,,81-64,,
4:02.0,E. Ilyasova enters the game for R. Covington,,81-64,,
4:02.0,,,81-64,,L. Kennard misses free throw 2 of 2
4:00.0,Defensive rebound by E. Ilyasova,,81-64,,
3:45.0,M. Fultz misses 2-pt shot from 8 ft,,81-64,,
3:40.0,,,81-64,,Defensive rebound by A. Tolliver
3:34.0,,,81-67,3,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith)
3:34.0,,,81-67,,Shooting foul by E. Ilyasova (drawn by A. Tolliver)
3:34.0,,,81-67,,A. Tolliver misses free throw 1 of 1
3:28.0,,,81-67,,Offensive rebound by A. Drummond
3:22.0,,,81-67,,L. Kennard misses 2-pt shot from 4 ft
3:19.0,Defensive rebound by R. Holmes,,81-67,,
3:08.0,M. Belinelli makes 2-pt shot from 19 ft (assist by E. Ilyasova),2,83-67,,
2:48.0,,,83-69,2,S. Johnson makes 2-pt shot from 2 ft
2:33.0,M. Fultz makes 2-pt shot from 2 ft (assist by R. Holmes),2,85-69,,
2:03.0,,,85-69,,L. Kennard misses 2-pt shot from 19 ft
1:57.0,,,85-69,,Offensive rebound by A. Drummond
1:57.0,,,85-69,,A. Drummond misses 2-pt shot at rim
1:57.0,Defensive rebound by E. Ilyasova,,85-69,,
1:45.0,M. Fultz misses 2-pt shot from 12 ft,,85-69,,
1:41.0,,,85-69,,Defensive rebound by A. Drummond
1:38.0,,,85-69,,Shooting foul by M. Fultz (drawn by S. Johnson)
1:38.0,,,85-70,1,S. Johnson makes free throw 1 of 2
1:38.0,,,85-70,,H. Ellenson enters the game for A. Tolliver
1:38.0,,,85-71,1,S. Johnson makes free throw 2 of 2
1:26.0,R. Holmes misses 2-pt shot from 9 ft,,85-71,,
1:21.0,,,85-71,,Defensive rebound by A. Drummond
1:17.0,,,85-71,,H. Ellenson misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by Team,,85-71,,
1:04.0,J. Redick makes 3-pt shot from 24 ft (assist by M. Fultz),3,88-71,,
0:47.0,,,88-71,,S. Johnson misses 3-pt shot from 27 ft
0:42.0,Defensive rebound by E. Ilyasova,,88-71,,
0:33.0,E. Ilyasova misses 3-pt shot from 26 ft,,88-71,,
0:29.0,,,88-71,,Defensive rebound by H. Ellenson
0:19.0,,,88-71,,S. Johnson misses 2-pt shot from 2 ft
0:17.0,Defensive rebound by R. Holmes,,88-71,,
0:00.0,M. Fultz misses 3-pt shot from 27 ft,,88-71,,
0:00.0,Offensive rebound by Team,,88-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,88-71,,H. Ellenson misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by E. Ilyasova,,88-71,,
11:26.0,Turnover by A. Johnson (bad pass),,88-71,,
11:18.0,,,88-71,,I. Smith misses 2-pt shot from 14 ft
11:11.0,Defensive rebound by R. Covington,,88-71,,
11:06.0,M. Fultz misses 2-pt shot from 7 ft (block by I. Smith),,88-71,,
11:02.0,Jump ball: I. Smith vs. M. Fultz (R. Covington gains possession),,,,Jump ball: I. Smith vs. M. Fultz (R. Covington gains possession)
11:02.0,Defensive rebound by Team,,88-71,,
10:58.0,Turnover by E. Ilyasova (turnover),,88-71,,
10:41.0,,,88-73,2,L. Kennard makes 2-pt shot from 7 ft
10:26.0,J. Redick misses 3-pt shot from 27 ft,,88-73,,
10:22.0,,,88-73,,Defensive rebound by R. Bullock
10:21.0,,,88-75,2,H. Ellenson makes 2-pt shot from 1 ft (assist by R. Bullock)
10:02.0,J. Redick makes 2-pt shot from 21 ft (assist by M. Fultz),2,90-75,,
9:44.0,,,90-75,,H. Ellenson misses 2-pt shot from 4 ft
9:41.0,Defensive rebound by A. Johnson,,90-75,,
9:33.0,E. Ilyasova misses 2-pt shot from 4 ft (block by E. Moreland),,90-75,,
9:29.0,,,90-75,,Defensive rebound by E. Moreland
9:27.0,,,90-75,,L. Kennard misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by M. Fultz,,90-75,,
9:08.0,A. Johnson makes 2-pt shot from 1 ft (assist by J. Redick),2,92-75,,
8:48.0,,,92-77,2,I. Smith makes 2-pt shot from 14 ft (assist by E. Moreland)
8:31.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by J. Redick),3,95-77,,
8:14.0,,,95-79,2,I. Smith makes 2-pt shot from 10 ft
7:56.0,A. Johnson misses 2-pt shot from 8 ft,,95-79,,
7:53.0,,,95-79,,Defensive rebound by L. Kennard
7:46.0,,,95-82,3,I. Smith makes 3-pt shot from 25 ft (assist by L. Kennard)
7:29.0,,,95-82,,A. Tolliver enters the game for H. Ellenson
7:29.0,M. Belinelli enters the game for M. Fultz,,95-82,,
7:29.0,B. Simmons enters the game for R. Covington,,95-82,,
7:19.0,E. Ilyasova misses 3-pt shot from 27 ft,,95-82,,
7:15.0,,,95-82,,Defensive rebound by I. Smith
7:12.0,,,95-84,2,I. Smith makes 2-pt shot from 10 ft
6:57.0,J. Redick makes 2-pt shot from 1 ft (assist by A. Johnson),2,97-84,,
6:40.0,,,97-84,,R. Bullock misses 3-pt shot from 26 ft
6:37.0,Defensive rebound by B. Simmons,,97-84,,
6:37.0,Philadelphia full timeout,,97-84,,
6:37.0,,,97-84,,S. Johnson enters the game for L. Kennard
6:37.0,,,97-84,,A. Drummond enters the game for E. Moreland
6:37.0,R. Covington enters the game for J. Redick,,97-84,,
6:23.0,R. Covington misses 3-pt shot from 25 ft,,97-84,,
6:17.0,,,97-84,,Defensive rebound by A. Tolliver
6:10.0,,,97-84,,I. Smith misses 2-pt shot from 9 ft
6:07.0,Defensive rebound by M. Belinelli,,97-84,,
5:58.0,M. Belinelli makes 3-pt shot from 26 ft (assist by B. Simmons),3,100-84,,
5:37.0,,,100-84,,A. Tolliver misses 3-pt shot from 23 ft
5:34.0,Defensive rebound by A. Johnson,,100-84,,
5:21.0,,,100-84,,Personal foul by S. Johnson (drawn by M. Belinelli)
5:12.0,M. Belinelli misses 2-pt shot from 19 ft,,100-84,,
5:08.0,,,100-84,,Defensive rebound by S. Johnson
4:54.0,,,100-87,3,R. Bullock makes 3-pt shot from 27 ft (assist by I. Smith)
4:37.0,E. Ilyasova misses 2-pt shot from 2 ft,,100-87,,
4:31.0,Offensive rebound by E. Ilyasova,,100-87,,
4:31.0,E. Ilyasova misses 2-pt shot at rim,,100-87,,
4:31.0,,,100-87,,Defensive rebound by A. Drummond
4:31.0,,,100-87,,Turnover by S. Johnson (out of bounds lost ball)
