time,Minnesota,pts.away,score,pts.home,Sacramento
9:32.0,,,71-64,,D. Fox misses 2-pt shot from 13 ft
9:29.0,Defensive rebound by K. Towns,,71-64,,
9:21.0,Shooting foul by D. Fox (drawn by J. Teague),,71-64,,
9:21.0,J. Teague misses free throw 1 of 2,,71-64,,
9:21.0,Offensive rebound by Team,,71-64,,
9:21.0,J. Teague makes free throw 2 of 2,1,72-64,,
9:06.0,,,72-64,,J. Jackson misses 3-pt shot from 23 ft
9:02.0,Defensive rebound by A. Wiggins,,72-64,,
8:56.0,Shooting foul by W. Cauley-Stein (drawn by A. Wiggins),,72-64,,
8:56.0,A. Wiggins misses free throw 1 of 2,,72-64,,
8:56.0,Offensive rebound by Team,,72-64,,
8:56.0,A. Wiggins makes free throw 2 of 2,1,73-64,,
8:45.0,,,73-64,,Turnover by B. Bogdanovic (bad pass; steal by J. Teague)
8:34.0,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns),2,75-64,,
8:27.0,,,75-64,,Sacramento full timeout
8:27.0,,,75-64,,K. Koufos enters the game for W. Cauley-Stein
8:23.0,,,75-64,,Turnover by D. Fox (lost ball; steal by J. Teague)
8:19.0,J. Teague misses 2-pt shot from 2 ft,,75-64,,
8:17.0,,,75-64,,Defensive rebound by B. Bogdanovic
8:15.0,,,75-67,3,D. Fox makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
7:50.0,A. Wiggins makes 2-pt shot from 5 ft,2,77-67,,
7:38.0,,,77-67,,B. Bogdanovic misses 2-pt shot from 1 ft
7:36.0,Defensive rebound by K. Towns,,77-67,,
7:33.0,J. Teague makes 2-pt shot from 9 ft,2,79-67,,
7:11.0,,,79-67,,D. Fox misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by N. Bjelica,,79-67,,
7:01.0,Turnover by T. Gibson (traveling),,79-67,,
7:01.0,,,79-67,,B. Hield enters the game for J. Jackson
6:47.0,Personal foul by T. Gibson (drawn by S. Labissiere),,79-67,,
6:37.0,,,79-67,,B. Bogdanovic misses 2-pt shot from 4 ft
