time,Milwaukee,pts.away,score,pts.home,Indiana
3:41.0,,,30-54,,Defensive rebound by B. Bogdanovic
3:35.0,,,30-56,2,V. Oladipo makes 2-pt shot from 1 ft
3:16.0,E. Bledsoe misses 3-pt shot from 22 ft,,30-56,,
3:13.0,Offensive rebound by J. Henson,,30-56,,
3:10.0,J. Henson makes 2-pt shot from 6 ft,2,32-56,,
2:56.0,,,32-56,,T. Young misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
2:53.0,Defensive rebound by K. Middleton,,32-56,,
2:48.0,M. Brogdon makes 2-pt shot from 11 ft (assist by K. Middleton),2,34-56,,
2:29.0,,,34-56,,B. Bogdanovic misses 3-pt shot from 31 ft
2:25.0,,,34-56,,Offensive rebound by M. Turner
2:24.0,,,34-58,2,M. Turner makes 2-pt shot from 1 ft
2:04.0,Shooting foul by M. Turner (drawn by G. Antetokounmpo),,34-58,,
2:04.0,G. Antetokounmpo makes free throw 1 of 2,1,35-58,,
2:04.0,,,35-58,,C. Joseph enters the game for V. Oladipo
2:04.0,G. Antetokounmpo makes free throw 2 of 2,1,36-58,,
1:55.0,,,36-60,2,C. Joseph makes 2-pt shot from 17 ft
1:34.0,K. Middleton misses 3-pt shot from 23 ft,,36-60,,
1:31.0,Offensive rebound by M. Brogdon,,36-60,,
1:28.0,,,36-60,,Violation by B. Bogdanovic (kicked ball)
1:28.0,,,36-60,,L. Stephenson enters the game for T. Young
1:21.0,K. Middleton misses 2-pt shot from 8 ft,,36-60,,
1:19.0,,,36-60,,Defensive rebound by C. Joseph
1:04.0,,,36-62,2,B. Bogdanovic makes 2-pt shot at rim (assist by C. Joseph)
0:53.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson),2,38-62,,
0:31.0,,,38-62,,B. Bogdanovic misses 2-pt shot from 13 ft
0:27.0,,,38-62,,Offensive rebound by D. Collison
0:08.0,,,38-62,,D. Collison misses 2-pt shot from 18 ft
0:06.0,,,38-62,,Offensive rebound by C. Joseph
0:02.0,,,38-64,2,B. Bogdanovic makes 2-pt shot from 9 ft (assist by C. Joseph)
0:00.0,J. Henson misses 3-pt shot from 54 ft,,38-64,,
0:00.0,Offensive rebound by Team,,38-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,M. Brogdon makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,40-64,,
11:28.0,,,40-64,,V. Oladipo misses 3-pt shot from 27 ft
11:26.0,Defensive rebound by K. Middleton,,40-64,,
11:18.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,42-64,,
11:01.0,,,42-64,,T. Young misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by J. Henson,,42-64,,
10:50.0,E. Bledsoe misses 3-pt shot from 26 ft,,42-64,,
10:47.0,,,42-64,,Defensive rebound by M. Turner
10:44.0,,,42-66,2,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Collison)
10:28.0,Turnover by E. Bledsoe (out of bounds lost ball),,42-66,,
10:11.0,,,42-66,,Turnover by V. Oladipo (bad pass; steal by E. Bledsoe)
10:07.0,Turnover by E. Bledsoe (bad pass; steal by D. Collison),,42-66,,
9:54.0,,,42-66,,Turnover by T. Young (traveling)
9:33.0,E. Bledsoe misses 3-pt shot from 30 ft,,42-66,,
9:29.0,,,42-66,,Defensive rebound by M. Turner
9:12.0,,,42-68,2,M. Turner makes 2-pt shot from 19 ft (assist by B. Bogdanovic)
8:57.0,M. Brogdon misses 2-pt shot from 10 ft,,42-68,,
8:55.0,,,42-68,,Defensive rebound by V. Oladipo
8:52.0,,,42-68,,Offensive charge foul by M. Turner (drawn by E. Bledsoe)
8:52.0,,,42-68,,Turnover by M. Turner (offensive foul)
8:39.0,J. Henson makes 2-pt shot from 10 ft (assist by M. Brogdon),2,44-68,,
8:31.0,,,44-70,2,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison)
8:29.0,Milwaukee full timeout,,44-70,,
8:05.0,G. Antetokounmpo makes 2-pt shot from 14 ft,2,46-70,,
7:39.0,,,46-70,,M. Turner misses 3-pt shot from 29 ft
7:36.0,Defensive rebound by G. Antetokounmpo,,46-70,,
7:21.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,46-70,,
7:19.0,,,46-70,,Defensive rebound by M. Turner
7:02.0,,,46-70,,Shooting foul by E. Bledsoe (drawn by V. Oladipo)
7:02.0,,,46-70,,Indiana full timeout
7:02.0,,,46-71,1,V. Oladipo makes free throw 1 of 2
7:02.0,,,46-72,1,V. Oladipo makes free throw 2 of 2
6:37.0,E. Bledsoe misses 2-pt shot from 6 ft,,46-72,,
6:34.0,,,46-72,,Defensive rebound by V. Oladipo
6:31.0,,,46-74,2,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo)
6:31.0,,,46-74,,Shooting foul by M. Brogdon (drawn by T. Young)
6:31.0,,,46-74,,T. Young misses free throw 1 of 1
6:29.0,Defensive rebound by J. Henson,,46-74,,
6:12.0,Turnover by J. Henson (bad pass; steal by V. Oladipo),,46-74,,
6:11.0,Personal foul by M. Brogdon (drawn by V. Oladipo),,46-74,,
6:02.0,,,46-74,,Turnover by T. Young (bad pass; steal by E. Bledsoe)
5:56.0,E. Bledsoe makes 2-pt shot from 3 ft,2,48-74,,
5:43.0,,,48-74,,Turnover by D. Collison (bad pass; steal by G. Antetokounmpo)
5:37.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,50-74,,
5:20.0,Personal foul by M. Brogdon (drawn by T. Young),,50-74,,
5:16.0,,,50-76,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young)
5:02.0,G. Antetokounmpo makes 2-pt shot from 16 ft,2,52-76,,
4:49.0,Personal foul by E. Bledsoe (drawn by B. Bogdanovic),,52-76,,
4:49.0,,,52-77,1,B. Bogdanovic makes free throw 1 of 2
4:49.0,T. Snell enters the game for M. Brogdon,,52-77,,
4:49.0,,,52-78,1,B. Bogdanovic makes free throw 2 of 2
4:29.0,K. Middleton misses 3-pt shot from 26 ft,,52-78,,
4:27.0,,,52-78,,Defensive rebound by T. Young
4:16.0,,,52-80,2,M. Turner makes 2-pt shot from 17 ft (assist by B. Bogdanovic)
4:06.0,,,52-80,,Shooting block foul by M. Turner (drawn by G. Antetokounmpo)
4:06.0,G. Antetokounmpo makes free throw 1 of 2,1,53-80,,
4:06.0,,,53-80,,D. Sabonis enters the game for M. Turner
4:06.0,,,53-80,,C. Joseph enters the game for B. Bogdanovic
4:06.0,G. Antetokounmpo makes free throw 2 of 2,1,54-80,,
3:51.0,,,54-83,3,D. Collison makes 3-pt shot from 23 ft (assist by V. Oladipo)
3:42.0,K. Middleton makes 2-pt shot from 12 ft,2,56-83,,
3:42.0,Shooting foul by V. Oladipo (drawn by K. Middleton),,56-83,,
3:42.0,K. Middleton misses free throw 1 of 1,,56-83,,
3:40.0,,,56-83,,Defensive rebound by T. Young
3:30.0,,,56-83,,V. Oladipo misses 2-pt shot at rim (block by J. Henson)
3:28.0,Defensive rebound by K. Middleton,,56-83,,
3:24.0,K. Middleton makes 2-pt shot at rim,2,58-83,,
3:09.0,,,58-83,,Turnover by D. Sabonis (traveling)
3:02.0,Turnover by G. Antetokounmpo (bad pass),,58-83,,
2:41.0,,,58-83,,D. Collison misses 2-pt shot from 13 ft
2:38.0,Defensive rebound by K. Middleton,,58-83,,
2:29.0,K. Middleton misses 3-pt shot from 26 ft,,58-83,,
2:27.0,,,58-83,,Defensive rebound by D. Sabonis
2:17.0,,,58-83,,T. Young misses 3-pt shot from 22 ft
2:13.0,Defensive rebound by G. Antetokounmpo,,58-83,,
2:10.0,,,58-83,,Personal foul by D. Collison (drawn by G. Antetokounmpo)
2:10.0,,,58-83,,L. Stephenson enters the game for D. Collison
2:07.0,,,58-83,,Personal foul by C. Joseph (drawn by G. Antetokounmpo)
2:02.0,E. Bledsoe makes 3-pt shot from 27 ft (assist by G. Antetokounmpo),3,61-83,,
1:41.0,Personal foul by E. Bledsoe (drawn by C. Joseph),,61-83,,
1:41.0,,,61-83,,C. Joseph misses free throw 1 of 2
1:41.0,,,61-83,,Offensive rebound by Team
1:41.0,M. Dellavedova enters the game for E. Bledsoe,,61-83,,
1:41.0,,,61-84,1,C. Joseph makes free throw 2 of 2
1:22.0,M. Dellavedova misses 3-pt shot from 27 ft,,61-84,,
1:18.0,,,61-84,,Defensive rebound by L. Stephenson
1:02.0,,,61-84,,V. Oladipo misses 3-pt shot from 26 ft
0:59.0,Defensive rebound by G. Antetokounmpo,,61-84,,
0:55.0,,,61-84,,Personal foul by T. Young (drawn by G. Antetokounmpo)
0:55.0,G. Antetokounmpo makes free throw 1 of 2,1,62-84,,
0:55.0,,,62-84,,T. Leaf enters the game for T. Young
0:55.0,M. Brogdon enters the game for K. Middleton,,62-84,,
0:55.0,T. Maker enters the game for J. Henson,,62-84,,
0:55.0,G. Antetokounmpo makes free throw 2 of 2,1,63-84,,
0:36.0,,,63-86,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
0:36.0,,,63-86,,Shooting foul by T. Snell (drawn by D. Sabonis)
0:36.0,,,63-86,,D. Sabonis misses free throw 1 of 1
0:34.0,Defensive rebound by M. Dellavedova,,63-86,,
0:13.0,Shooting foul by C. Joseph (drawn by G. Antetokounmpo),,63-86,,
0:13.0,G. Antetokounmpo makes free throw 1 of 2,1,64-86,,
0:13.0,G. Antetokounmpo makes free throw 2 of 2,1,65-86,,
0:00.0,,,65-88,2,V. Oladipo makes 2-pt shot from 13 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,65-88,,Turnover by L. Stephenson (bad pass; steal by S. Brown)
11:39.0,,,65-88,,Personal take foul by T. Leaf (drawn by S. Brown)
11:23.0,T. Snell misses 3-pt shot from 26 ft,,65-88,,
11:20.0,,,65-88,,Defensive rebound by J. Young
11:17.0,Personal foul by M. Brogdon (drawn by L. Stephenson),,65-88,,
11:17.0,,,65-88,,Technical foul by L. Stephenson
11:17.0,M. Brogdon misses technical free throw,,65-88,,
11:17.0,,,65-88,,Defensive rebound by Team
11:07.0,,,65-88,,D. Sabonis misses 2-pt shot from 17 ft
11:03.0,Defensive rebound by M. Brogdon,,65-88,,
10:56.0,S. Brown makes 3-pt shot from 22 ft,3,68-88,,
10:37.0,,,68-90,2,D. Sabonis makes 2-pt shot from 12 ft (assist by J. Young)
10:19.0,T. Maker misses 2-pt shot at rim,,68-90,,
10:16.0,,,68-90,,Defensive rebound by C. Joseph
10:11.0,,,68-92,2,C. Joseph makes 2-pt shot from 17 ft
9:56.0,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,70-92,,
9:38.0,,,70-94,2,D. Sabonis makes 2-pt shot from 1 ft
9:16.0,Shooting foul by T. Leaf (drawn by T. Maker),,70-94,,
9:16.0,T. Maker misses free throw 1 of 2,,70-94,,
9:16.0,Offensive rebound by Team,,70-94,,
9:16.0,T. Maker makes free throw 2 of 2,1,71-94,,
9:00.0,,,71-94,,C. Joseph misses 3-pt shot from 22 ft
8:56.0,Defensive rebound by T. Maker,,71-94,,
8:41.0,Turnover by M. Dellavedova (bad pass; steal by L. Stephenson),,71-94,,
8:34.0,,,71-94,,T. Leaf misses 2-pt shot from 1 ft
8:31.0,,,71-94,,Offensive rebound by D. Sabonis
8:31.0,,,71-94,,D. Sabonis misses 2-pt shot at rim
8:29.0,Defensive rebound by T. Snell,,71-94,,
8:21.0,T. Snell misses 3-pt shot from 29 ft,,71-94,,
8:19.0,,,71-94,,Defensive rebound by D. Sabonis
8:05.0,,,71-94,,Shooting foul by S. Brown (drawn by J. Young)
8:05.0,,,71-95,1,J. Young makes free throw 1 of 2
8:05.0,S. Kilpatrick enters the game for M. Dellavedova,,71-95,,
8:05.0,,,71-96,1,J. Young makes free throw 2 of 2
7:51.0,M. Brogdon misses 2-pt shot from 1 ft,,71-96,,
7:47.0,,,71-96,,Defensive rebound by J. Young
7:38.0,,,71-96,,J. Young misses 3-pt shot from 28 ft
7:35.0,Defensive rebound by M. Brogdon,,71-96,,
7:29.0,S. Brown makes 3-pt shot from 25 ft (assist by M. Brogdon),3,74-96,,
7:13.0,,,74-99,3,D. Sabonis makes 3-pt shot from 27 ft (assist by J. Young)
6:55.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by T. Maker),3,77-99,,
6:34.0,,,77-99,,J. Young misses 2-pt shot from 1 ft (block by T. Maker)
6:32.0,,,77-99,,Offensive rebound by T. Leaf
6:30.0,,,77-101,2,T. Leaf makes 2-pt shot from 1 ft
6:16.0,Shooting foul by L. Stephenson (drawn by T. Snell),,77-101,,
6:16.0,,,77-101,,Indiana full timeout
6:16.0,T. Snell makes free throw 1 of 2,1,78-101,,
6:16.0,T. Snell makes free throw 2 of 2,1,79-101,,
6:02.0,Personal block foul by S. Brown (drawn by T. Leaf),,79-101,,
5:49.0,,,79-101,,C. Joseph misses 2-pt shot from 18 ft
5:45.0,Defensive rebound by M. Brogdon,,79-101,,
5:25.0,S. Brown makes 2-pt shot from 18 ft,2,81-101,,
5:03.0,,,81-101,,D. Sabonis misses 2-pt shot from 6 ft
5:00.0,Defensive rebound by S. Kilpatrick,,81-101,,
4:56.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,83-101,,
4:37.0,,,83-101,,C. Joseph misses 3-pt shot from 23 ft
4:34.0,Defensive rebound by T. Maker,,83-101,,
4:26.0,S. Kilpatrick misses 3-pt shot from 23 ft,,83-101,,
4:22.0,,,83-101,,Defensive rebound by D. Sabonis
4:00.0,,,83-101,,L. Stephenson misses 2-pt shot from 16 ft
3:58.0,Defensive rebound by T. Snell,,83-101,,
3:53.0,T. Snell makes 2-pt shot at rim,2,85-101,,
3:51.0,,,85-101,,Indiana full timeout
3:51.0,,,85-101,,V. Oladipo enters the game for J. Young
3:36.0,,,85-103,2,C. Joseph makes 2-pt shot from 9 ft
3:23.0,M. Brogdon makes 2-pt shot from 16 ft,2,87-103,,
2:59.0,,,87-103,,T. Leaf misses 3-pt shot from 23 ft
2:55.0,Defensive rebound by T. Maker,,87-103,,
