time,Philadelphia,pts.away,score,pts.home,Oklahoma City
2:22.0,J. Young enters the game for B. Simmons,,19-25,,
2:22.0,,,19-25,,R. Felton enters the game for R. Westbrook
2:22.0,T. Booker makes free throw 2 of 2,1,20-25,,
2:04.0,Personal foul by T. McConnell (drawn by P. George),,20-25,,
2:04.0,,,20-26,1,P. George makes free throw 1 of 2
2:04.0,,,20-26,,J. Huestis enters the game for T. Ferguson
2:04.0,,,20-27,1,P. George makes free throw 2 of 2
1:50.0,Shooting foul by P. Patterson (drawn by J. Young),,20-27,,
1:50.0,J. Young makes free throw 1 of 2,1,21-27,,
1:50.0,J. Young makes free throw 2 of 2,1,22-27,,
1:33.0,,,22-27,,Shooting foul by R. Covington (drawn by J. Grant)
1:33.0,,,22-28,1,J. Grant makes free throw 1 of 2
1:33.0,J. Embiid enters the game for A. Johnson,,22-28,,
1:33.0,,,22-29,1,J. Grant makes free throw 2 of 2
1:18.0,J. Embiid makes 2-pt shot from 2 ft,2,24-29,,
1:18.0,Shooting foul by P. Patterson (drawn by J. Embiid),,24-29,,
1:18.0,J. Embiid makes free throw 1 of 1,1,25-29,,
1:04.0,,,25-29,,Shooting foul by J. Embiid (drawn by P. George)
1:04.0,,,25-30,1,P. George makes free throw 1 of 2
1:04.0,,,25-30,,S. Adams enters the game for P. Patterson
1:04.0,,,25-31,1,P. George makes free throw 2 of 2
0:47.0,T. McConnell makes 2-pt shot from 10 ft,2,27-31,,
0:30.0,,,27-31,,J. Grant misses 3-pt shot from 23 ft
0:27.0,Defensive rebound by T. Booker,,27-31,,
0:06.0,T. McConnell makes 2-pt shot from 9 ft,2,29-31,,
0:01.0,,,29-31,,P. George misses 3-pt shot from 26 ft
0:01.0,,,29-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Embiid makes 2-pt shot from 13 ft,2,31-31,,
11:17.0,,,31-31,,R. Felton misses 3-pt shot from 26 ft
11:15.0,,,31-31,,Offensive rebound by S. Adams
11:09.0,,,31-34,3,R. Felton makes 3-pt shot from 25 ft (assist by S. Adams)
10:49.0,,,31-34,,Personal foul by S. Adams (drawn by D. Saric)
10:39.0,,,31-34,,Shooting block foul by A. Abrines (drawn by D. Saric)
10:39.0,D. Saric makes free throw 1 of 2,1,32-34,,
10:39.0,D. Saric makes free throw 2 of 2,1,33-34,,
10:17.0,,,33-34,,R. Felton misses 3-pt shot from 26 ft
10:15.0,,,33-34,,Offensive rebound by Team
10:15.0,Loose ball foul by D. Saric (drawn by S. Adams),,33-34,,
10:15.0,T. Booker enters the game for D. Saric,,33-34,,
10:04.0,,,33-36,2,R. Felton makes 2-pt shot at rim
9:39.0,J. Embiid misses 2-pt shot at rim,,33-36,,
9:39.0,Offensive rebound by T. Booker,,33-36,,
9:39.0,Shooting foul by A. Abrines (drawn by T. Booker),,33-36,,
9:39.0,T. Booker makes free throw 1 of 2,1,34-36,,
9:39.0,T. Booker makes free throw 2 of 2,1,35-36,,
9:24.0,,,35-36,,R. Westbrook enters the game for A. Abrines
9:24.0,B. Simmons enters the game for T. McConnell,,35-36,,
9:22.0,Jump ball: R. Felton vs. B. Simmons (T. Booker gains possession),,,,Jump ball: R. Felton vs. B. Simmons (T. Booker gains possession)
9:22.0,,,35-36,,Turnover by R. Felton (lost ball; steal by R. Covington)
9:17.0,R. Covington misses 3-pt shot from 25 ft,,35-36,,
9:14.0,,,35-36,,Defensive rebound by R. Westbrook
9:09.0,,,35-36,,Turnover by S. Adams (turnover)
9:09.0,,,35-36,,Loose ball foul by S. Adams (drawn by T. Booker)
9:09.0,,,35-36,,P. Patterson enters the game for S. Adams
8:59.0,,,35-36,,Personal foul by R. Felton (drawn by J. Embiid)
8:59.0,J. Embiid makes free throw 1 of 2,1,36-36,,
8:59.0,J. Embiid makes free throw 2 of 2,1,37-36,,
8:49.0,,,37-36,,R. Westbrook misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by J. Embiid,,37-36,,
8:34.0,Offensive foul by J. Embiid (drawn by P. Patterson),,37-36,,
8:34.0,Turnover by J. Embiid (offensive foul),,37-36,,
8:34.0,A. Johnson enters the game for J. Embiid,,37-36,,
8:34.0,,,37-36,,D. Johnson enters the game for P. Patterson
8:25.0,,,37-39,3,J. Grant makes 3-pt shot from 23 ft (assist by R. Westbrook)
8:06.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,37-39,,
8:06.0,,,37-39,,Defensive rebound by Team
8:06.0,J. Embiid enters the game for A. Johnson,,37-39,,
7:59.0,,,37-39,,R. Westbrook misses 2-pt shot from 13 ft
7:56.0,Defensive rebound by J. Embiid,,37-39,,
7:50.0,,,37-39,,C. Anthony enters the game for J. Grant
7:38.0,Turnover by T. Luwawu-Cabarrot (step out of bounds),,37-39,,
7:22.0,,,37-39,,R. Westbrook misses 2-pt shot from 16 ft
7:19.0,Defensive rebound by R. Covington,,37-39,,
7:14.0,Turnover by B. Simmons (bad pass; steal by R. Westbrook),,37-39,,
7:10.0,,,37-41,2,R. Westbrook makes 2-pt shot from 1 ft
7:09.0,Philadelphia full timeout,,37-41,,
7:09.0,,,37-41,,P. George enters the game for J. Huestis
7:09.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,37-41,,
6:50.0,Turnover by J. Embiid (lost ball; steal by D. Johnson),,37-41,,
6:46.0,,,37-41,,P. George misses 3-pt shot from 25 ft
6:42.0,,,37-41,,Offensive rebound by D. Johnson
6:38.0,,,37-41,,R. Westbrook misses 2-pt shot from 14 ft
6:35.0,Defensive rebound by T. Booker,,37-41,,
6:30.0,,,37-41,,Personal foul by P. George (drawn by B. Simmons)
6:30.0,B. Simmons makes free throw 1 of 2,1,38-41,,
6:30.0,B. Simmons misses free throw 2 of 2,,38-41,,
6:29.0,,,38-41,,Defensive rebound by R. Westbrook
6:25.0,,,38-41,,Shooting foul by J. Anderson (drawn by P. George)
6:25.0,,,38-41,,P. George misses free throw 1 of 2
6:25.0,,,38-41,,Offensive rebound by Team
6:25.0,,,38-42,1,P. George makes free throw 2 of 2
6:08.0,J. Anderson misses 3-pt shot from 24 ft,,38-42,,
6:04.0,Offensive rebound by B. Simmons,,38-42,,
6:01.0,Shooting foul by D. Johnson (drawn by J. Embiid),,38-42,,
6:01.0,J. Embiid makes free throw 1 of 2,1,39-42,,
6:01.0,,,39-42,,T. Ferguson enters the game for R. Felton
6:01.0,J. Embiid misses free throw 2 of 2,,39-42,,
5:59.0,,,39-42,,Defensive rebound by R. Westbrook
5:55.0,,,39-42,,P. George misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by T. Booker,,39-42,,
5:48.0,Shooting foul by C. Anthony (drawn by J. Anderson),,39-42,,
5:48.0,J. Anderson makes free throw 1 of 2,1,40-42,,
5:48.0,J. Anderson makes free throw 2 of 2,1,41-42,,
5:37.0,,,41-42,,Turnover by P. George (bad pass; steal by J. Anderson)
5:32.0,J. Anderson makes 2-pt shot from 1 ft (assist by B. Simmons),2,43-42,,
5:32.0,Shooting foul by R. Westbrook (drawn by J. Anderson),,43-42,,
5:32.0,J. Anderson makes free throw 1 of 1,1,44-42,,
5:15.0,,,44-44,2,R. Westbrook makes 2-pt shot from 13 ft
4:51.0,T. Booker misses 3-pt shot from 23 ft,,44-44,,
4:46.0,,,44-44,,Defensive rebound by D. Johnson
4:42.0,,,44-44,,R. Westbrook misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by T. Booker,,44-44,,
4:33.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,47-44,,
4:32.0,,,47-44,,Oklahoma City full timeout
4:18.0,,,47-44,,C. Anthony misses 2-pt shot from 11 ft
4:14.0,Defensive rebound by J. Embiid,,47-44,,
4:05.0,R. Covington misses 3-pt shot from 26 ft,,47-44,,
4:00.0,,,47-44,,Defensive rebound by T. Ferguson
3:50.0,,,47-46,2,C. Anthony makes 2-pt shot from 16 ft
3:36.0,J. Embiid misses 2-pt shot from 19 ft,,47-46,,
3:34.0,Offensive rebound by T. Booker,,47-46,,
3:19.0,J. Embiid makes 2-pt shot from 14 ft,2,49-46,,
3:04.0,,,49-46,,Shooting foul by T. Booker (drawn by C. Anthony)
3:04.0,,,49-46,,C. Anthony misses free throw 1 of 2
3:04.0,,,49-46,,Offensive rebound by Team
3:04.0,A. Johnson enters the game for J. Embiid,,49-46,,
3:04.0,,,49-46,,J. Grant enters the game for D. Johnson
3:04.0,,,49-47,1,C. Anthony makes free throw 2 of 2
2:50.0,Turnover by A. Johnson (bad pass; steal by P. George),,49-47,,
2:46.0,,,49-47,,R. Westbrook misses 2-pt shot at rim
2:42.0,Defensive rebound by R. Covington,,49-47,,
2:39.0,T. Booker makes 2-pt shot from 6 ft,2,51-47,,
2:23.0,,,51-49,2,C. Anthony makes 2-pt shot from 1 ft
2:09.0,T. Booker misses 2-pt shot from 1 ft,,51-49,,
2:09.0,,,51-49,,Defensive rebound by Team
2:09.0,Loose ball foul by J. Anderson (drawn by J. Grant),,51-49,,
2:09.0,T. Luwawu-Cabarrot enters the game for R. Covington,,51-49,,
1:54.0,,,51-49,,C. Anthony misses 2-pt shot from 1 ft
1:51.0,Defensive rebound by T. Luwawu-Cabarrot,,51-49,,
1:50.0,,,51-49,,Personal foul by T. Ferguson (drawn by B. Simmons)
1:50.0,B. Simmons misses free throw 1 of 2,,51-49,,
1:50.0,Offensive rebound by Team,,51-49,,
1:50.0,B. Simmons misses free throw 2 of 2,,51-49,,
1:50.0,Offensive rebound by J. Anderson,,51-49,,
1:49.0,J. Anderson makes 2-pt shot at rim,2,53-49,,
1:41.0,,,53-51,2,R. Westbrook makes 2-pt shot at rim
1:28.0,B. Simmons makes 2-pt shot from 1 ft,2,55-51,,
1:17.0,,,55-51,,Shooting foul by A. Johnson (drawn by J. Grant)
1:17.0,,,55-51,,J. Grant misses free throw 1 of 2
1:17.0,,,55-51,,Offensive rebound by Team
1:17.0,,,55-52,1,J. Grant makes free throw 2 of 2
0:59.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft (block by C. Anthony),,55-52,,
0:57.0,,,55-52,,Defensive rebound by J. Grant
0:54.0,,,55-52,,R. Westbrook misses 3-pt shot from 24 ft
0:50.0,,,55-52,,Offensive rebound by J. Grant
0:50.0,,,55-52,,J. Grant misses 2-pt shot at rim
0:49.0,Defensive rebound by J. Anderson,,55-52,,
0:39.0,J. Anderson misses 3-pt shot from 28 ft,,55-52,,
0:39.0,,,55-52,,Defensive rebound by R. Westbrook
0:30.0,,,55-54,2,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George)
0:30.0,,,55-54,,Shooting foul by T. Luwawu-Cabarrot (drawn by R. Westbrook)
0:30.0,R. Covington enters the game for T. Booker,,55-54,,
0:30.0,,,55-54,,R. Westbrook misses free throw 1 of 1
0:29.0,Defensive rebound by B. Simmons,,55-54,,
0:12.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,58-54,,
0:00.0,,,58-57,3,P. George makes 3-pt shot from 28 ft (assist by R. Westbrook)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,D. Saric makes 3-pt shot from 22 ft (assist by J. Embiid),3,61-57,,
11:27.0,,,61-59,2,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:10.0,D. Saric makes 3-pt shot from 24 ft (assist by T. Luwawu-Cabarrot),3,64-59,,
10:55.0,,,64-61,2,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook)
10:46.0,D. Saric makes 2-pt shot from 1 ft,2,66-61,,
10:30.0,Personal foul by R. Covington (drawn by S. Adams),,66-61,,
10:16.0,,,66-64,3,C. Anthony makes 3-pt shot from 25 ft
10:03.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,66-64,,
10:01.0,Offensive rebound by T. Luwawu-Cabarrot,,66-64,,
10:00.0,J. Embiid misses 3-pt shot from 24 ft,,66-64,,
9:58.0,,,66-64,,Defensive rebound by T. Ferguson
9:58.0,,,66-64,,Oklahoma City full timeout
9:49.0,,,66-64,,R. Westbrook misses 2-pt shot from 3 ft (block by T. Luwawu-Cabarrot)
9:49.0,,,66-64,,Offensive rebound by Team
9:46.0,,,66-64,,C. Anthony misses 3-pt shot from 26 ft
9:42.0,,,66-64,,Offensive rebound by S. Adams
9:40.0,,,66-64,,C. Anthony misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by R. Covington,,66-64,,
9:33.0,B. Simmons makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,68-64,,
9:18.0,,,68-64,,Shooting foul by B. Simmons (drawn by P. George)
9:18.0,,,68-65,1,P. George makes free throw 1 of 2
9:18.0,,,68-66,1,P. George makes free throw 2 of 2
8:59.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,68-66,,
8:57.0,Offensive rebound by Team,,68-66,,
8:57.0,,,68-66,,Loose ball foul by T. Ferguson (drawn by R. Covington)
8:49.0,,,68-66,,Personal foul by T. Ferguson (drawn by J. Embiid)
8:32.0,J. Embiid makes 2-pt shot from 12 ft,2,70-66,,
8:23.0,,,70-68,2,R. Westbrook makes 2-pt shot from 1 ft
8:10.0,J. Embiid misses 2-pt shot from 1 ft,,70-68,,
8:06.0,Offensive rebound by J. Embiid,,70-68,,
8:05.0,D. Saric makes 3-pt shot from 25 ft (assist by T. Luwawu-Cabarrot),3,73-68,,
7:41.0,,,73-68,,C. Anthony misses 2-pt shot from 14 ft
7:38.0,Defensive rebound by J. Embiid,,73-68,,
7:33.0,B. Simmons makes 2-pt shot at rim,2,75-68,,
7:21.0,Def 3 sec tech foul by J. Embiid,,75-68,,
7:21.0,,,75-69,1,P. George makes technical free throw
7:21.0,,,75-69,,J. Huestis enters the game for T. Ferguson
7:21.0,J. Anderson enters the game for R. Covington,,75-69,,
7:13.0,,,75-69,,Offensive charge foul by C. Anthony (drawn by J. Anderson)
7:13.0,,,75-69,,Turnover by C. Anthony (offensive foul)
7:13.0,T. McConnell enters the game for T. Luwawu-Cabarrot,,75-69,,
6:59.0,J. Embiid misses 2-pt shot from 11 ft,,75-69,,
6:57.0,,,75-69,,Defensive rebound by C. Anthony
6:47.0,,,75-72,3,C. Anthony makes 3-pt shot from 26 ft (assist by P. George)
6:33.0,,,75-72,,Personal foul by C. Anthony (drawn by J. Embiid)
6:33.0,A. Johnson enters the game for J. Embiid,,75-72,,
6:25.0,,,75-72,,Personal foul by C. Anthony (drawn by B. Simmons)
6:25.0,,,75-72,,P. Patterson enters the game for C. Anthony
6:25.0,,,75-72,,J. Grant enters the game for S. Adams
6:16.0,D. Saric misses 3-pt shot from 25 ft,,75-72,,
6:13.0,,,75-72,,Defensive rebound by P. George
6:06.0,,,75-72,,Turnover by P. George (bad pass; steal by T. McConnell)
6:02.0,Shooting foul by J. Huestis (drawn by J. Anderson),,75-72,,
6:02.0,J. Anderson makes free throw 1 of 2,1,76-72,,
6:02.0,J. Anderson makes free throw 2 of 2,1,77-72,,
5:52.0,Personal foul by D. Saric (drawn by R. Westbrook),,77-72,,
5:45.0,,,77-74,2,R. Westbrook makes 2-pt shot from 1 ft
5:31.0,B. Simmons makes 2-pt shot from 3 ft,2,79-74,,
5:19.0,,,79-74,,J. Grant misses 2-pt shot from 1 ft (block by J. Anderson)
5:18.0,Defensive rebound by D. Saric,,79-74,,
5:04.0,Philadelphia full timeout,,79-74,,
4:59.0,Turnover by T. McConnell (step out of bounds),,79-74,,
4:47.0,,,79-76,2,J. Grant makes 2-pt shot at rim (assist by P. George)
4:33.0,Offensive foul by D. Saric (drawn by J. Grant),,79-76,,
4:33.0,Turnover by D. Saric (offensive foul),,79-76,,
4:33.0,T. Booker enters the game for D. Saric,,79-76,,
4:26.0,,,79-78,2,R. Westbrook makes 2-pt shot from 2 ft
4:01.0,J. Anderson misses 3-pt shot from 24 ft,,79-78,,
3:59.0,,,79-78,,Defensive rebound by J. Huestis
3:52.0,,,79-81,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:27.0,B. Simmons misses 2-pt shot from 9 ft,,79-81,,
3:25.0,,,79-81,,Defensive rebound by P. George
3:17.0,,,79-81,,Shooting foul by A. Johnson (drawn by J. Grant)
3:17.0,,,79-81,,J. Grant misses free throw 1 of 2
3:17.0,,,79-81,,Offensive rebound by Team
3:17.0,,,79-82,1,J. Grant makes free throw 2 of 2
3:17.0,R. Covington enters the game for A. Johnson,,79-82,,
3:17.0,J. Embiid enters the game for B. Simmons,,79-82,,
3:05.0,Turnover by T. Booker (bad pass),,79-82,,
3:05.0,,,79-82,,S. Adams enters the game for J. Grant
2:59.0,,,79-84,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
2:44.0,Turnover by R. Covington (bad pass; steal by P. George),,79-84,,
2:39.0,,,79-86,2,R. Westbrook makes 2-pt shot at rim (assist by P. George)
2:38.0,Philadelphia full timeout,,79-86,,
2:38.0,T. Luwawu-Cabarrot enters the game for T. Booker,,79-86,,
2:14.0,Turnover by Team (shot clock),,79-86,,
2:06.0,,,79-89,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
1:52.0,T. McConnell makes 2-pt shot from 8 ft (assist by T. Luwawu-Cabarrot),2,81-89,,
1:36.0,,,81-89,,P. George misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by J. Anderson,,81-89,,
1:28.0,Turnover by R. Covington (out of bounds lost ball),,81-89,,
1:12.0,,,81-89,,P. George misses 2-pt shot from 8 ft
1:10.0,Defensive rebound by J. Embiid,,81-89,,
0:53.0,J. Embiid misses 2-pt shot from 1 ft (block by J. Huestis),,81-89,,
0:50.0,,,81-89,,Defensive rebound by P. Patterson
0:49.0,,,81-89,,Shooting foul by R. Covington (drawn by R. Westbrook)
0:49.0,,,81-90,1,R. Westbrook makes free throw 1 of 2
0:49.0,,,81-90,,R. Westbrook misses free throw 2 of 2
0:48.0,Defensive rebound by J. Anderson,,81-90,,
0:24.0,Turnover by Team (shot clock),,81-90,,
0:07.0,,,81-90,,R. Westbrook misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by T. McConnell,,81-90,,
0:04.0,,,81-90,,Personal foul by R. Westbrook (drawn by T. McConnell)
0:04.0,T. McConnell makes free throw 1 of 2,1,82-90,,
0:04.0,B. Simmons enters the game for J. Embiid,,82-90,,
0:04.0,T. McConnell makes free throw 2 of 2,1,83-90,,
0:01.0,,,83-90,,Shooting foul by J. Anderson (drawn by R. Westbrook)
0:01.0,,,83-91,1,R. Westbrook makes free throw 1 of 2
0:01.0,,,83-91,,J. Grant enters the game for S. Adams
0:01.0,,,83-92,1,R. Westbrook makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,83-92,,T. Ferguson misses 3-pt shot from 25 ft
11:43.0,,,83-92,,Offensive rebound by J. Huestis
11:35.0,,,83-92,,R. Felton misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by J. Embiid,,83-92,,
11:19.0,R. Covington makes 3-pt shot from 26 ft (assist by R. Holmes),3,86-92,,
10:57.0,,,86-92,,J. Grant misses 3-pt shot from 25 ft
10:55.0,,,86-92,,Offensive rebound by J. Huestis
10:55.0,,,86-94,2,J. Huestis makes 2-pt shot at rim
10:45.0,B. Simmons makes 2-pt shot from 5 ft,2,88-94,,
10:34.0,,,88-94,,Turnover by R. Felton (bad pass; steal by R. Holmes)
10:20.0,Shooting foul by J. Huestis (drawn by R. Covington),,88-94,,
10:20.0,R. Covington makes free throw 1 of 2,1,89-94,,
10:20.0,,,89-94,,S. Adams enters the game for J. Grant
10:20.0,R. Covington makes free throw 2 of 2,1,90-94,,
9:55.0,,,90-94,,Turnover by J. Huestis (bad pass; steal by R. Holmes)
9:35.0,J. Embiid makes 3-pt shot from 24 ft (assist by B. Simmons),3,93-94,,
9:35.0,,,93-94,,Oklahoma City full timeout
9:35.0,,,93-94,,R. Westbrook enters the game for T. Ferguson
9:24.0,,,93-96,2,R. Westbrook makes 2-pt shot at rim
8:57.0,Turnover by R. Covington (bad pass; steal by R. Westbrook),,93-96,,
8:51.0,,,93-96,,Turnover by R. Westbrook (bad pass)
8:34.0,T. Luwawu-Cabarrot misses 2-pt shot at rim (block by J. Huestis),,93-96,,
8:33.0,Offensive rebound by R. Holmes,,93-96,,
8:32.0,R. Holmes makes 2-pt shot from 1 ft,2,95-96,,
8:17.0,,,95-96,,R. Westbrook misses 2-pt shot from 18 ft
8:17.0,Defensive rebound by J. Embiid,,95-96,,
8:05.0,Turnover by J. Embiid (bad pass),,95-96,,
8:05.0,,,95-96,,C. Anthony enters the game for P. Patterson
7:56.0,,,95-98,2,R. Westbrook makes 2-pt shot from 1 ft
7:47.0,B. Simmons makes 2-pt shot from 4 ft,2,97-98,,
7:35.0,,,97-98,,Shooting foul by T. Luwawu-Cabarrot (drawn by R. Westbrook)
7:35.0,,,97-99,1,R. Westbrook makes free throw 1 of 2
7:35.0,,,97-99,,J. Grant enters the game for J. Huestis
7:35.0,A. Johnson enters the game for J. Embiid,,97-99,,
7:35.0,,,97-99,,R. Westbrook misses free throw 2 of 2
