time,Portland,pts.away,score,pts.home,Washington
1:35.0,,,70-76,,Turnover by B. Beal (lost ball; steal by P. Connaughton)
1:33.0,Shooting foul by O. Porter (drawn by M. Harkless),,70-76,,
1:33.0,M. Harkless misses free throw 1 of 2,,70-76,,
1:33.0,Offensive rebound by Team,,70-76,,
1:33.0,,,70-76,,J. Meeks enters the game for B. Beal
1:33.0,M. Harkless makes free throw 2 of 2,1,71-76,,
1:14.0,,,71-78,2,O. Porter makes 2-pt shot from 15 ft
0:47.0,D. Lillard makes 2-pt shot from 2 ft,2,73-78,,
0:37.0,,,73-80,2,O. Porter makes 2-pt shot from 4 ft (assist by T. Satoransky)
0:37.0,,,73-80,,Shooting foul by M. Harkless (drawn by O. Porter)
0:37.0,,,73-81,1,O. Porter makes free throw 1 of 1
0:32.0,P. Connaughton misses 2-pt shot from 12 ft,,73-81,,
0:31.0,,,73-81,,Defensive rebound by Team
0:31.0,Loose ball foul by E. Davis (drawn by I. Mahinmi),,73-81,,
0:31.0,,,73-82,1,I. Mahinmi makes free throw 1 of 2
0:31.0,C. McCollum enters the game for M. Harkless,,73-82,,
0:31.0,,,73-83,1,I. Mahinmi makes free throw 2 of 2
0:10.0,,,73-83,,B. Beal enters the game for T. Satoransky
0:10.0,M. Harkless enters the game for C. McCollum,,73-83,,
0:03.0,Jump ball: O. Porter vs. E. Turner (K. Oubre gains possession),,,,Jump ball: O. Porter vs. E. Turner (K. Oubre gains possession)
0:03.0,Turnover by D. Lillard (lost ball; steal by O. Porter),,73-83,,
0:02.0,,,73-83,,B. Beal misses 2-pt shot from 12 ft
0:02.0,Defensive rebound by E. Turner,,73-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,73-83,,Personal foul by O. Porter (drawn by M. Harkless)
11:37.0,Shooting foul by T. Satoransky (drawn by S. Napier),,73-83,,
11:37.0,S. Napier makes free throw 1 of 2,1,74-83,,
11:37.0,S. Napier makes free throw 2 of 2,1,75-83,,
11:21.0,,,75-83,,K. Oubre misses 2-pt shot from 16 ft
11:18.0,,,75-83,,Offensive rebound by O. Porter
11:16.0,,,75-83,,O. Porter misses 2-pt shot from 12 ft
11:11.0,,,75-83,,Offensive rebound by I. Mahinmi
11:02.0,,,75-85,2,T. Satoransky makes 2-pt shot from 15 ft
10:46.0,S. Napier misses 2-pt shot from 5 ft,,75-85,,
10:43.0,,,75-85,,Defensive rebound by O. Porter
10:36.0,,,75-85,,I. Mahinmi misses 2-pt shot at rim
10:34.0,,,75-85,,Offensive rebound by K. Oubre
10:34.0,,,75-85,,K. Oubre misses 2-pt shot from 2 ft
10:34.0,,,75-85,,Offensive rebound by O. Porter
10:30.0,,,75-85,,J. Meeks misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by S. Napier,,75-85,,
10:20.0,C. McCollum misses 2-pt shot from 2 ft,,75-85,,
10:18.0,,,75-85,,Defensive rebound by O. Porter
10:18.0,Personal take foul by S. Napier (drawn by O. Porter),,75-85,,
10:14.0,,,75-87,2,J. Meeks makes 2-pt shot from 16 ft (assist by T. Satoransky)
9:59.0,Turnover by E. Davis (out of bounds lost ball),,75-87,,
9:44.0,,,75-90,3,O. Porter makes 3-pt shot from 22 ft (assist by T. Satoransky)
9:41.0,Portland full timeout,,75-90,,
9:41.0,J. Nurkic enters the game for E. Turner,,75-90,,
9:41.0,D. Lillard enters the game for M. Harkless,,75-90,,
9:41.0,P. Connaughton enters the game for E. Davis,,75-90,,
9:41.0,N. Vonleh enters the game for S. Napier,,75-90,,
9:34.0,,,75-90,,Personal foul by T. Satoransky (drawn by N. Vonleh)
9:26.0,C. McCollum misses 3-pt shot from 24 ft,,75-90,,
9:23.0,,,75-90,,Defensive rebound by I. Mahinmi
9:04.0,,,75-90,,I. Mahinmi misses 2-pt shot at rim (block by J. Nurkic)
9:00.0,Defensive rebound by C. McCollum,,75-90,,
8:55.0,Turnover by C. McCollum (bad pass; steal by O. Porter),,75-90,,
8:53.0,,,75-90,,Shooting foul by C. McCollum (drawn by O. Porter)
8:53.0,,,75-91,1,O. Porter makes free throw 1 of 2
8:53.0,,,75-92,1,O. Porter makes free throw 2 of 2
8:28.0,N. Vonleh makes 2-pt shot from 1 ft,2,77-92,,
8:14.0,,,77-94,2,K. Oubre makes 2-pt shot from 13 ft (assist by T. Satoransky)
7:56.0,C. McCollum makes 2-pt shot from 5 ft,2,79-94,,
7:40.0,,,79-94,,I. Mahinmi misses 2-pt shot from 4 ft (block by J. Nurkic)
7:40.0,Defensive rebound by Team,,79-94,,
7:27.0,D. Lillard misses 3-pt shot from 28 ft,,79-94,,
7:23.0,,,79-94,,Defensive rebound by O. Porter
7:16.0,,,79-94,,J. Meeks misses 2-pt shot at rim
7:16.0,Defensive rebound by Team,,79-94,,
7:16.0,,,79-94,,B. Beal enters the game for T. Satoransky
7:01.0,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum),2,81-94,,
6:37.0,,,81-94,,B. Beal misses 2-pt shot from 2 ft (block by J. Nurkic)
6:34.0,Defensive rebound by N. Vonleh,,81-94,,
6:32.0,Shooting foul by I. Mahinmi (drawn by D. Lillard),,81-94,,
6:32.0,D. Lillard makes free throw 1 of 2,1,82-94,,
6:32.0,,,82-94,,M. Gortat enters the game for O. Porter
6:32.0,,,82-94,,M. Morris enters the game for I. Mahinmi
6:32.0,D. Lillard makes free throw 2 of 2,1,83-94,,
6:16.0,,,83-96,2,M. Gortat makes 2-pt shot from 9 ft (assist by M. Morris)
6:00.0,,,83-96,,Personal foul by J. Meeks (drawn by D. Lillard)
6:00.0,D. Lillard makes free throw 1 of 2,1,84-96,,
6:00.0,D. Lillard makes free throw 2 of 2,1,85-96,,
5:43.0,,,85-96,,Turnover by B. Beal (bad pass; steal by P. Connaughton)
5:36.0,C. McCollum makes 2-pt shot from 7 ft,2,87-96,,
5:36.0,,,87-96,,Washington full timeout
5:25.0,,,87-98,2,B. Beal makes 2-pt shot from 17 ft
5:09.0,C. McCollum makes 2-pt shot from 11 ft (assist by D. Lillard),2,89-98,,
4:54.0,,,89-98,,M. Morris misses 2-pt shot from 17 ft
4:51.0,Defensive rebound by D. Lillard,,89-98,,
4:41.0,Shooting foul by M. Morris (drawn by J. Nurkic),,89-98,,
4:41.0,J. Nurkic makes free throw 1 of 2,1,90-98,,
4:41.0,,,90-98,,T. Frazier enters the game for J. Meeks
4:41.0,J. Nurkic misses free throw 2 of 2,,90-98,,
4:39.0,,,90-98,,Defensive rebound by M. Gortat
4:32.0,,,90-101,3,B. Beal makes 3-pt shot from 25 ft (assist by K. Oubre)
4:14.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,92-101,,
4:07.0,,,92-101,,Turnover by M. Gortat (bad pass; steal by C. McCollum)
4:04.0,C. McCollum misses 2-pt shot from 2 ft,,92-101,,
4:02.0,,,92-101,,Defensive rebound by B. Beal
3:59.0,,,92-101,,B. Beal misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by D. Lillard,,92-101,,
3:52.0,D. Lillard makes 2-pt shot from 1 ft,2,94-101,,
3:52.0,Shooting foul by M. Gortat (drawn by D. Lillard),,94-101,,
3:52.0,,,94-101,,O. Porter enters the game for K. Oubre
3:52.0,D. Lillard makes free throw 1 of 1,1,95-101,,
3:40.0,,,95-101,,B. Beal misses 2-pt shot from 14 ft
3:35.0,Defensive rebound by P. Connaughton,,95-101,,
3:29.0,D. Lillard makes 2-pt shot from 7 ft,2,97-101,,
3:08.0,,,97-101,,T. Frazier misses 2-pt shot from 12 ft
3:07.0,,,97-101,,Offensive rebound by Team
3:07.0,Portland full timeout,,97-101,,
2:56.0,,,97-103,2,M. Morris makes 2-pt shot from 10 ft
2:45.0,Shooting foul by M. Morris (drawn by J. Nurkic),,97-103,,
2:45.0,J. Nurkic makes free throw 1 of 2,1,98-103,,
2:45.0,J. Nurkic misses free throw 2 of 2,,98-103,,
2:41.0,,,98-103,,Defensive rebound by O. Porter
2:30.0,,,98-105,2,B. Beal makes 2-pt shot from 14 ft
2:17.0,D. Lillard misses 2-pt shot from 17 ft,,98-105,,
2:17.0,,,98-105,,Defensive rebound by M. Morris
2:07.0,,,98-105,,M. Morris misses 2-pt shot from 11 ft
2:04.0,Defensive rebound by J. Nurkic,,98-105,,
1:57.0,Turnover by D. Lillard (out of bounds lost ball),,98-105,,
1:42.0,,,98-105,,B. Beal misses 2-pt shot at rim
1:36.0,Defensive rebound by P. Connaughton,,98-105,,
1:32.0,,,98-105,,Technical foul by M. Morris (drawn by J. Nurkic)
1:32.0,J. Nurkic misses flagrant free throw 1 of 2,,98-105,,
1:32.0,Offensive rebound by Team,,98-105,,
1:32.0,J. Nurkic makes flagrant free throw 2 of 2,1,99-105,,
1:30.0,C. McCollum makes 3-pt shot from 30 ft (assist by P. Connaughton),3,102-105,,
1:07.0,,,102-105,,B. Beal misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by C. McCollum,,102-105,,
0:57.0,C. McCollum makes 2-pt shot from 1 ft,2,104-105,,
0:38.0,,,104-105,,B. Beal misses 2-pt shot from 1 ft
0:34.0,Defensive rebound by N. Vonleh,,104-105,,
0:21.0,C. McCollum makes 2-pt shot from 19 ft,2,106-105,,
0:20.0,,,106-105,,Washington full timeout
0:13.0,Personal foul by D. Lillard (drawn by M. Morris),,106-105,,
0:06.0,,,106-105,,B. Beal misses 2-pt shot from 15 ft
0:02.0,Defensive rebound by P. Connaughton,,106-105,,
