time,Minnesota,pts.away,score,pts.home,Brooklyn
6:41.0,,,10-13,,Brooklyn full timeout
6:41.0,K. Towns misses free throw 1 of 1,,10-13,,
6:39.0,,,10-13,,Defensive rebound by T. Zeller
6:16.0,,,10-13,,T. Zeller misses 2-pt shot from 2 ft (block by T. Gibson)
6:14.0,Defensive rebound by K. Towns,,10-13,,
6:10.0,J. Butler misses 2-pt shot from 1 ft,,10-13,,
6:06.0,,,10-13,,Defensive rebound by D. Carroll
5:55.0,Def 3 sec tech foul by T. Gibson,,10-13,,
5:55.0,,,10-14,1,A. Crabbe makes technical free throw
5:55.0,,,10-14,,J. Harris enters the game for T. Zeller
5:55.0,,,10-14,,J. Allen enters the game for A. Crabbe
5:48.0,,,10-14,,J. Allen misses 2-pt shot at rim
5:46.0,Defensive rebound by T. Jones,,10-14,,
5:39.0,A. Wiggins makes 2-pt shot from 16 ft,2,12-14,,
5:22.0,Shooting block foul by T. Jones (drawn by S. Dinwiddie),,12-14,,
5:22.0,,,12-15,1,S. Dinwiddie makes free throw 1 of 2
5:22.0,,,12-16,1,S. Dinwiddie makes free throw 2 of 2
5:03.0,K. Towns makes 2-pt shot from 2 ft (assist by T. Gibson),2,14-16,,
4:45.0,,,14-18,2,J. Allen makes 2-pt shot from 4 ft (assist by S. Dinwiddie)
4:32.0,,,14-18,,N. Stauskas enters the game for D. Carroll
4:32.0,,,14-18,,Q. Acy enters the game for R. Hollis-Jefferson
4:32.0,G. Dieng enters the game for K. Towns,,14-18,,
4:26.0,G. Dieng makes 2-pt shot from 21 ft (assist by J. Butler),2,16-18,,
4:00.0,,,16-18,,Turnover by N. Stauskas (traveling)
3:46.0,A. Wiggins misses 2-pt shot from 15 ft,,16-18,,
3:42.0,,,16-18,,Defensive rebound by J. Harris
3:32.0,,,16-18,,S. Dinwiddie misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by T. Gibson,,16-18,,
3:20.0,Shooting foul by J. Allen (drawn by J. Butler),,16-18,,
3:20.0,J. Butler makes free throw 1 of 2,1,17-18,,
3:20.0,J. Butler makes free throw 2 of 2,1,18-18,,
2:59.0,,,18-21,3,J. Harris makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
2:45.0,G. Dieng misses 2-pt shot from 18 ft,,18-21,,
2:41.0,,,18-21,,Defensive rebound by N. Stauskas
2:20.0,,,18-21,,S. Dinwiddie misses 2-pt shot from 11 ft
2:16.0,Defensive rebound by G. Dieng,,18-21,,
2:03.0,T. Gibson misses 2-pt shot from 7 ft (block by J. Allen),,18-21,,
2:00.0,,,18-21,,Defensive rebound by N. Stauskas
1:56.0,,,18-21,,Q. Acy misses 3-pt shot from 22 ft
1:52.0,Defensive rebound by T. Jones,,18-21,,
1:47.0,Turnover by T. Jones (bad pass),,18-21,,
1:47.0,Minnesota full timeout,,18-21,,
1:47.0,,,18-21,,A. Crabbe enters the game for S. Dinwiddie
1:47.0,J. Crawford enters the game for J. Butler,,18-21,,
1:47.0,N. Bjelica enters the game for T. Gibson,,18-21,,
1:31.0,,,18-21,,Turnover by Q. Acy (lost ball; steal by A. Wiggins)
1:15.0,G. Dieng makes 2-pt shot from 18 ft (assist by A. Wiggins),2,20-21,,
0:54.0,,,20-24,3,N. Stauskas makes 3-pt shot from 24 ft (assist by J. Allen)
0:39.0,A. Wiggins makes 2-pt shot from 1 ft,2,22-24,,
0:33.0,,,22-24,,Turnover by N. Stauskas (lost ball; steal by G. Dieng)
0:27.0,T. Jones misses 2-pt shot from 1 ft,,22-24,,
0:24.0,,,22-24,,Defensive rebound by A. Crabbe
0:03.0,,,22-24,,Turnover by Team (shot clock)
0:03.0,K. Towns enters the game for G. Dieng,,22-24,,
0:00.0,A. Wiggins misses 3-pt shot from 30 ft,,22-24,,
0:00.0,Offensive rebound by Team,,22-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,22-24,,N. Stauskas misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by K. Towns,,22-24,,
11:33.0,Offensive foul by G. Dieng (drawn by J. Okafor),,22-24,,
11:33.0,Turnover by G. Dieng (offensive foul),,22-24,,
11:11.0,,,22-24,,Offensive charge foul by A. Crabbe (drawn by G. Dieng)
11:11.0,,,22-24,,Turnover by A. Crabbe (offensive foul)
10:55.0,G. Dieng misses 2-pt shot from 19 ft,,22-24,,
10:53.0,,,22-24,,Defensive rebound by N. Stauskas
10:40.0,,,22-24,,J. Okafor misses 2-pt shot from 2 ft (block by G. Dieng)
10:40.0,Defensive rebound by Team,,22-24,,
10:27.0,A. Brooks misses 2-pt shot from 7 ft,,22-24,,
10:25.0,,,22-24,,Defensive rebound by J. Okafor
10:19.0,,,22-24,,Shooting foul by G. Dieng (drawn by J. Harris)
10:19.0,,,22-24,,J. Harris misses free throw 1 of 2
10:19.0,,,22-24,,Offensive rebound by Team
10:19.0,,,22-25,1,J. Harris makes free throw 2 of 2
10:07.0,K. Towns misses 3-pt shot from 25 ft,,22-25,,
10:04.0,,,22-25,,Defensive rebound by A. Crabbe
9:47.0,,,22-25,,A. Crabbe misses 2-pt shot from 19 ft
9:43.0,Defensive rebound by G. Dieng,,22-25,,
9:38.0,J. Crawford makes 2-pt shot from 14 ft (assist by A. Brooks),2,24-25,,
9:25.0,,,24-25,,N. Stauskas misses 2-pt shot from 22 ft
9:25.0,Defensive rebound by G. Dieng,,24-25,,
9:15.0,J. Crawford makes 2-pt shot from 20 ft,2,26-25,,
8:59.0,,,26-27,2,J. Okafor makes 2-pt shot from 4 ft
8:46.0,J. Crawford misses 2-pt shot from 21 ft,,26-27,,
8:43.0,,,26-27,,Defensive rebound by J. Okafor
8:30.0,,,26-27,,Turnover by J. Okafor (traveling)
8:20.0,K. Towns misses 3-pt shot from 24 ft,,26-27,,
8:16.0,,,26-27,,Defensive rebound by N. Stauskas
8:09.0,,,26-30,3,J. Harris makes 3-pt shot from 24 ft (assist by Q. Acy)
7:52.0,Turnover by J. Crawford (bad pass; steal by A. Crabbe),,26-30,,
7:52.0,Loose ball foul by J. Crawford (drawn by A. Crabbe),,26-30,,
7:37.0,,,26-32,2,Q. Acy makes 2-pt shot at rim (assist by A. Crabbe)
7:31.0,Minnesota full timeout,,26-32,,
7:31.0,,,26-32,,D. Carroll enters the game for J. Harris
7:31.0,T. Gibson enters the game for N. Bjelica,,26-32,,
7:31.0,J. Butler enters the game for G. Dieng,,26-32,,
7:31.0,T. Jones enters the game for A. Brooks,,26-32,,
7:24.0,J. Butler misses 2-pt shot at rim,,26-32,,
7:23.0,Offensive rebound by T. Gibson,,26-32,,
7:23.0,Shooting foul by A. Crabbe (drawn by T. Gibson),,26-32,,
7:23.0,T. Gibson misses free throw 1 of 2,,26-32,,
7:23.0,Offensive rebound by Team,,26-32,,
7:23.0,T. Gibson makes free throw 2 of 2,1,27-32,,
7:10.0,,,27-32,,A. Crabbe misses 3-pt shot from 25 ft
7:08.0,,,27-32,,Offensive rebound by Q. Acy
7:04.0,,,27-32,,A. Crabbe misses 2-pt shot from 13 ft
7:03.0,Defensive rebound by Team,,27-32,,
6:48.0,J. Butler misses 2-pt shot from 14 ft,,27-32,,
6:47.0,Offensive rebound by J. Butler,,27-32,,
6:47.0,Shooting foul by D. Carroll (drawn by J. Butler),,27-32,,
6:47.0,J. Butler makes free throw 1 of 2,1,28-32,,
6:47.0,J. Butler misses free throw 2 of 2,,28-32,,
6:44.0,,,28-32,,Defensive rebound by N. Stauskas
6:37.0,,,28-32,,Turnover by N. Stauskas (step out of bounds)
6:23.0,J. Butler makes 2-pt shot from 15 ft,2,30-32,,
5:58.0,,,30-34,2,D. Carroll makes 2-pt shot at rim
5:43.0,Shooting foul by J. Okafor (drawn by J. Butler),,30-34,,
5:43.0,J. Butler makes free throw 1 of 2,1,31-34,,
5:43.0,,,31-34,,J. Allen enters the game for J. Okafor
5:43.0,,,31-34,,S. Dinwiddie enters the game for Q. Acy
5:43.0,J. Butler makes free throw 2 of 2,1,32-34,,
5:43.0,,,32-34,,R. Hollis-Jefferson enters the game for A. Crabbe
5:25.0,,,32-36,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
5:07.0,K. Towns misses 2-pt shot from 1 ft,,32-36,,
5:05.0,Offensive rebound by K. Towns,,32-36,,
5:05.0,K. Towns makes 2-pt shot from 1 ft,2,34-36,,
4:48.0,,,34-36,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by T. Gibson)
4:48.0,,,34-36,,Offensive rebound by Team
4:38.0,,,34-36,,D. Carroll misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by J. Crawford,,34-36,,
4:32.0,J. Crawford misses 3-pt shot from 25 ft,,34-36,,
4:29.0,,,34-36,,Defensive rebound by J. Allen
4:22.0,,,34-38,2,N. Stauskas makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
4:01.0,Turnover by J. Butler (bad pass; steal by S. Dinwiddie),,34-38,,
3:43.0,,,34-38,,R. Hollis-Jefferson misses 2-pt shot from 10 ft
3:41.0,Defensive rebound by K. Towns,,34-38,,
3:39.0,,,34-38,,J. Harris enters the game for N. Stauskas
3:39.0,A. Wiggins enters the game for J. Crawford,,34-38,,
3:29.0,K. Towns misses 2-pt shot from 13 ft,,34-38,,
3:26.0,,,34-38,,Defensive rebound by D. Carroll
3:22.0,,,34-41,3,S. Dinwiddie makes 3-pt shot from 25 ft (assist by D. Carroll)
2:54.0,T. Gibson misses 2-pt shot from 1 ft,,34-41,,
2:52.0,,,34-41,,Defensive rebound by J. Harris
2:45.0,,,34-41,,D. Carroll misses 2-pt shot from 10 ft
2:45.0,,,34-41,,Offensive rebound by R. Hollis-Jefferson
2:32.0,,,34-43,2,J. Allen makes 2-pt shot from 1 ft (assist by J. Harris)
2:05.0,K. Towns makes 2-pt shot from 7 ft,2,36-43,,
1:44.0,,,36-43,,Turnover by S. Dinwiddie (bad pass)
1:44.0,,,36-43,,Brooklyn full timeout
1:30.0,A. Wiggins makes 3-pt shot from 25 ft (assist by T. Gibson),3,39-43,,
1:16.0,,,39-43,,Turnover by J. Harris (bad pass; steal by T. Jones)
1:11.0,T. Jones misses 2-pt shot from 1 ft,,39-43,,
1:10.0,Offensive rebound by J. Butler,,39-43,,
1:10.0,J. Butler makes 2-pt shot from 2 ft,2,41-43,,
0:56.0,,,41-45,2,S. Dinwiddie makes 2-pt shot from 1 ft
0:41.0,T. Gibson makes 2-pt shot from 15 ft (assist by J. Butler),2,43-45,,
0:21.0,,,43-45,,Turnover by D. Carroll (bad pass; steal by J. Butler)
0:15.0,J. Butler misses 2-pt shot from 3 ft,,43-45,,
0:13.0,,,43-45,,Defensive rebound by R. Hollis-Jefferson
0:02.0,Personal take foul by T. Gibson (drawn by S. Dinwiddie),,43-45,,
0:00.0,,,43-48,3,S. Dinwiddie makes 3-pt shot from 33 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,43-51,3,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
11:31.0,Offensive foul by T. Jones (drawn by R. Hollis-Jefferson),,43-51,,
11:31.0,Turnover by T. Jones (offensive foul),,43-51,,
11:08.0,Personal foul by A. Wiggins (drawn by S. Dinwiddie),,43-51,,
10:57.0,,,43-51,,D. Carroll misses 2-pt shot from 11 ft
10:52.0,,,43-51,,Offensive rebound by T. Zeller
10:52.0,,,43-53,2,T. Zeller makes 2-pt shot at rim
10:39.0,J. Butler misses 3-pt shot from 24 ft,,43-53,,
10:37.0,,,43-53,,Defensive rebound by A. Crabbe
10:30.0,,,43-55,2,T. Zeller makes 2-pt shot from 5 ft (assist by S. Dinwiddie)
10:29.0,Minnesota full timeout,,43-55,,
10:08.0,K. Towns misses 2-pt shot from 8 ft,,43-55,,
10:07.0,,,43-55,,Defensive rebound by Team
9:46.0,,,43-55,,S. Dinwiddie misses 2-pt shot from 19 ft
9:43.0,Defensive rebound by T. Gibson,,43-55,,
9:28.0,J. Butler makes 2-pt shot from 18 ft,2,45-55,,
9:03.0,,,45-55,,R. Hollis-Jefferson misses 2-pt shot from 14 ft
9:00.0,Defensive rebound by T. Gibson,,45-55,,
8:50.0,A. Wiggins misses 3-pt shot from 25 ft,,45-55,,
8:46.0,Offensive rebound by K. Towns,,45-55,,
8:44.0,K. Towns makes 2-pt shot from 1 ft,2,47-55,,
8:31.0,,,47-55,,A. Crabbe misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by T. Gibson,,47-55,,
8:22.0,A. Wiggins misses 2-pt shot from 8 ft,,47-55,,
8:20.0,,,47-55,,Defensive rebound by A. Crabbe
8:15.0,,,47-55,,Offensive charge foul by R. Hollis-Jefferson (drawn by J. Butler)
8:15.0,,,47-55,,Turnover by R. Hollis-Jefferson (offensive foul)
7:55.0,Shooting foul by T. Zeller (drawn by J. Butler),,47-55,,
7:55.0,J. Butler misses free throw 1 of 2,,47-55,,
7:55.0,Offensive rebound by Team,,47-55,,
7:55.0,J. Butler makes free throw 2 of 2,1,48-55,,
7:42.0,,,48-55,,Turnover by S. Dinwiddie (bad pass; steal by T. Jones)
7:40.0,T. Jones makes 2-pt shot from 1 ft,2,50-55,,
7:40.0,,,50-55,,Brooklyn full timeout
7:24.0,,,50-58,3,S. Dinwiddie makes 3-pt shot from 27 ft (assist by R. Hollis-Jefferson)
7:03.0,A. Wiggins misses 2-pt shot from 9 ft,,50-58,,
7:00.0,,,50-58,,Defensive rebound by R. Hollis-Jefferson
6:59.0,,,50-58,,Offensive charge foul by R. Hollis-Jefferson (drawn by K. Towns)
6:59.0,,,50-58,,Turnover by R. Hollis-Jefferson (offensive foul)
6:40.0,,,50-58,,Shooting block foul by T. Zeller (drawn by T. Gibson)
6:40.0,T. Gibson misses free throw 1 of 2,,50-58,,
6:40.0,Offensive rebound by Team,,50-58,,
6:40.0,T. Gibson makes free throw 2 of 2,1,51-58,,
6:22.0,,,51-58,,A. Crabbe misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by Team,,51-58,,
6:07.0,T. Jones makes 2-pt shot from 12 ft,2,53-58,,
5:47.0,,,53-60,2,D. Carroll makes 2-pt shot from 4 ft
5:32.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,55-60,,
5:16.0,,,55-60,,Offensive foul by R. Hollis-Jefferson
5:16.0,,,55-60,,Turnover by R. Hollis-Jefferson (offensive foul)
5:16.0,,,55-60,,Technical foul by R. Hollis-Jefferson
5:16.0,J. Butler makes technical free throw,1,56-60,,
5:16.0,,,56-60,,J. Allen enters the game for R. Hollis-Jefferson
5:16.0,,,56-60,,J. Harris enters the game for T. Zeller
5:16.0,,,56-60,,Q. Acy enters the game for A. Crabbe
5:00.0,A. Wiggins misses 2-pt shot from 1 ft,,56-60,,
4:57.0,Offensive rebound by A. Wiggins,,56-60,,
4:57.0,A. Wiggins makes 2-pt shot at rim,2,58-60,,
4:36.0,,,58-60,,D. Carroll misses 2-pt shot from 13 ft
4:33.0,Defensive rebound by K. Towns,,58-60,,
4:28.0,T. Gibson misses 2-pt shot from 2 ft (block by D. Carroll),,58-60,,
4:28.0,Offensive rebound by Team,,58-60,,
4:28.0,,,58-60,,N. Stauskas enters the game for D. Carroll
4:22.0,T. Jones misses 2-pt shot from 10 ft,,58-60,,
4:18.0,,,58-60,,Defensive rebound by J. Harris
4:07.0,,,58-60,,Shooting foul by J. Butler (drawn by S. Dinwiddie)
4:07.0,,,58-61,1,S. Dinwiddie makes free throw 1 of 2
4:07.0,,,58-62,1,S. Dinwiddie makes free throw 2 of 2
3:52.0,J. Butler makes 2-pt shot from 7 ft,2,60-62,,
3:43.0,,,60-62,,N. Stauskas misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by A. Wiggins,,60-62,,
3:35.0,A. Wiggins makes 2-pt shot at rim,2,62-62,,
3:20.0,,,62-62,,Turnover by J. Harris (lost ball; steal by A. Wiggins)
3:14.0,Shooting foul by Q. Acy (drawn by J. Butler),,62-62,,
3:14.0,J. Butler makes free throw 1 of 2,1,63-62,,
3:14.0,N. Bjelica enters the game for K. Towns,,63-62,,
3:14.0,G. Dieng enters the game for T. Gibson,,63-62,,
3:14.0,J. Butler makes free throw 2 of 2,1,64-62,,
2:59.0,J. Crawford enters the game for J. Butler,,64-62,,
2:54.0,,,64-62,,S. Dinwiddie misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by J. Crawford,,64-62,,
2:41.0,J. Crawford makes 2-pt shot from 21 ft,2,66-62,,
2:39.0,,,66-62,,Brooklyn full timeout
2:39.0,,,66-62,,A. Crabbe enters the game for S. Dinwiddie
2:21.0,,,66-62,,J. Allen misses 2-pt shot at rim
2:19.0,Defensive rebound by J. Crawford,,66-62,,
2:13.0,J. Crawford misses 2-pt shot from 20 ft,,66-62,,
2:10.0,,,66-62,,Defensive rebound by J. Allen
2:01.0,,,66-64,2,J. Allen makes 2-pt shot at rim (assist by N. Stauskas)
1:45.0,T. Jones makes 2-pt shot from 8 ft,2,68-64,,
1:45.0,Shooting foul by N. Stauskas (drawn by T. Jones),,68-64,,
1:45.0,T. Jones makes free throw 1 of 1,1,69-64,,
1:32.0,,,69-66,2,A. Crabbe makes 2-pt shot from 10 ft
1:08.0,T. Jones misses 3-pt shot from 25 ft,,69-66,,
1:06.0,,,69-66,,Defensive rebound by J. Allen
0:47.0,,,69-69,3,J. Harris makes 3-pt shot from 24 ft (assist by Q. Acy)
0:26.0,Shooting foul by J. Allen (drawn by G. Dieng),,69-69,,
0:26.0,G. Dieng makes free throw 1 of 2,1,70-69,,
0:26.0,,,70-69,,S. Dinwiddie enters the game for J. Allen
0:26.0,M. Georges-Hunt enters the game for J. Crawford,,70-69,,
0:26.0,G. Dieng makes free throw 2 of 2,1,71-69,,
0:05.0,,,71-71,2,S. Dinwiddie makes 2-pt shot from 1 ft
0:00.0,A. Wiggins makes 2-pt shot from 19 ft,2,73-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by A. Crabbe (drawn by J. Butler),,73-71,,
11:46.0,J. Butler makes free throw 1 of 2,1,74-71,,
11:46.0,J. Butler makes free throw 2 of 2,1,75-71,,
11:32.0,,,75-74,3,Q. Acy makes 3-pt shot from 22 ft (assist by N. Stauskas)
11:19.0,,,75-74,,Personal foul by A. Crabbe (drawn by J. Butler)
11:12.0,J. Crawford misses 2-pt shot from 17 ft,,75-74,,
11:08.0,Offensive rebound by G. Dieng,,75-74,,
11:00.0,J. Crawford makes 2-pt shot from 18 ft,2,77-74,,
10:41.0,,,77-74,,Brooklyn full timeout
10:37.0,,,77-74,,J. Harris misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by Team,,77-74,,
10:36.0,,,77-74,,Loose ball foul by J. Okafor (drawn by G. Dieng)
10:24.0,K. Towns misses 3-pt shot from 22 ft,,77-74,,
10:23.0,,,77-74,,Defensive rebound by Team
10:23.0,Loose ball foul by N. Bjelica (drawn by J. Harris),,77-74,,
10:23.0,,,77-74,,S. Dinwiddie enters the game for N. Stauskas
10:04.0,,,77-74,,J. Okafor misses 2-pt shot from 1 ft
10:01.0,Defensive rebound by G. Dieng,,77-74,,
9:51.0,Turnover by J. Butler (lost ball; steal by A. Crabbe),,77-74,,
9:47.0,,,77-77,3,S. Dinwiddie makes 3-pt shot from 24 ft (assist by A. Crabbe)
9:17.0,J. Butler makes 2-pt shot from 14 ft,2,79-77,,
8:56.0,,,79-79,2,J. Harris makes 2-pt shot from 1 ft (assist by Q. Acy)
8:56.0,Minnesota full timeout,,79-79,,
8:56.0,A. Wiggins enters the game for N. Bjelica,,79-79,,
8:43.0,Shooting foul by A. Crabbe (drawn by J. Butler),,79-79,,
8:43.0,J. Butler makes free throw 1 of 2,1,80-79,,
8:43.0,,,80-79,,D. Carroll enters the game for A. Crabbe
8:43.0,J. Butler makes free throw 2 of 2,1,81-79,,
8:27.0,,,81-79,,Turnover by S. Dinwiddie (bad pass; steal by J. Crawford)
8:10.0,G. Dieng makes 2-pt shot from 21 ft (assist by J. Crawford),2,83-79,,
7:56.0,Personal foul by G. Dieng (drawn by J. Okafor),,83-79,,
7:43.0,,,83-82,3,Q. Acy makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
7:25.0,J. Crawford makes 2-pt shot from 18 ft,2,85-82,,
7:07.0,,,85-82,,R. Hollis-Jefferson enters the game for J. Okafor
7:07.0,T. Gibson enters the game for G. Dieng,,85-82,,
6:55.0,Jump ball: D. Carroll vs. T. Gibson (J. Butler gains possession),,,,Jump ball: D. Carroll vs. T. Gibson (J. Butler gains possession)
6:55.0,,,85-82,,Turnover by D. Carroll (turnover; steal by T. Gibson)
6:41.0,J. Crawford misses 2-pt shot from 19 ft,,85-82,,
6:37.0,,,85-82,,Defensive rebound by R. Hollis-Jefferson
6:30.0,,,85-82,,D. Carroll misses 2-pt shot from 4 ft
6:27.0,,,85-82,,Offensive rebound by J. Harris
6:27.0,,,85-84,2,J. Harris makes 2-pt shot at rim
6:10.0,J. Butler misses 2-pt shot from 16 ft,,85-84,,
6:06.0,,,85-84,,Defensive rebound by S. Dinwiddie
6:01.0,,,85-87,3,J. Harris makes 3-pt shot from 22 ft (assist by S. Dinwiddie)
6:00.0,Minnesota full timeout,,85-87,,
6:00.0,T. Jones enters the game for J. Crawford,,85-87,,
5:43.0,Turnover by T. Jones (step out of bounds),,85-87,,
5:25.0,,,85-87,,D. Carroll misses 2-pt shot from 22 ft
5:19.0,Defensive rebound by K. Towns,,85-87,,
5:09.0,K. Towns misses 3-pt shot from 24 ft,,85-87,,
5:07.0,,,85-87,,Defensive rebound by R. Hollis-Jefferson
4:47.0,,,85-90,3,D. Carroll makes 3-pt shot from 25 ft
4:29.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Butler),2,87-90,,
4:07.0,,,87-90,,D. Carroll misses 3-pt shot from 23 ft
4:05.0,Defensive rebound by K. Towns,,87-90,,
3:53.0,A. Wiggins misses 2-pt shot from 19 ft,,87-90,,
3:50.0,,,87-90,,Defensive rebound by D. Carroll
3:46.0,,,87-90,,Shooting foul by T. Gibson (drawn by D. Carroll)
3:46.0,,,87-91,1,D. Carroll makes free throw 1 of 2
3:46.0,,,87-91,,A. Crabbe enters the game for J. Harris
3:46.0,,,87-92,1,D. Carroll makes free throw 2 of 2
3:30.0,J. Butler makes 2-pt shot from 9 ft,2,89-92,,
3:13.0,,,89-92,,Q. Acy misses 3-pt shot from 24 ft
3:11.0,Defensive rebound by K. Towns,,89-92,,
3:01.0,J. Butler misses 3-pt shot from 24 ft,,89-92,,
2:58.0,,,89-92,,Defensive rebound by A. Crabbe
2:37.0,,,89-94,2,S. Dinwiddie makes 2-pt shot at rim
2:20.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Gibson),,89-94,,
2:20.0,T. Gibson misses free throw 1 of 2,,89-94,,
2:20.0,Offensive rebound by Team,,89-94,,
2:20.0,T. Gibson makes free throw 2 of 2,1,90-94,,
2:03.0,,,90-94,,Q. Acy misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by J. Butler,,90-94,,
1:52.0,A. Wiggins makes 2-pt shot from 1 ft,2,92-94,,
1:28.0,,,92-94,,R. Hollis-Jefferson misses 2-pt shot from 5 ft (block by J. Butler)
1:25.0,Defensive rebound by T. Gibson,,92-94,,
1:22.0,T. Jones makes 2-pt shot from 2 ft,2,94-94,,
1:21.0,,,94-94,,Brooklyn full timeout
1:11.0,,,94-96,2,S. Dinwiddie makes 2-pt shot from 9 ft
0:58.0,Turnover by T. Jones (out of bounds lost ball),,94-96,,
0:40.0,,,94-96,,Turnover by D. Carroll (step out of bounds)
0:40.0,Minnesota full timeout,,94-96,,
0:40.0,,,94-96,,Away from play foul by Q. Acy (drawn by T. Jones)
0:40.0,J. Butler makes free throw 1 of 2,1,95-96,,
0:33.0,Shooting foul by Q. Acy (drawn by J. Butler),,95-96,,
0:33.0,J. Butler makes free throw 1 of 2,1,96-96,,
0:33.0,M. Georges-Hunt enters the game for T. Jones,,96-96,,
0:33.0,J. Butler makes free throw 2 of 2,1,97-96,,
0:10.0,,,97-98,2,S. Dinwiddie makes 2-pt shot from 11 ft
0:09.0,Minnesota full timeout,,97-98,,
0:09.0,,,97-98,,J. Allen enters the game for Q. Acy
0:09.0,T. Jones enters the game for T. Gibson,,97-98,,
0:09.0,J. Crawford enters the game for M. Georges-Hunt,,97-98,,
0:01.0,J. Butler misses 2-pt shot from 21 ft,,97-98,,
0:01.0,Offensive rebound by Team,,97-98,,
