time,Charlotte,pts.away,score,pts.home,LA Lakers
5:03.0,,,47-35,,L. Ball misses 3-pt shot from 26 ft
5:01.0,Defensive rebound by D. Howard,,47-35,,
4:54.0,D. Howard misses 2-pt shot from 19 ft,,47-35,,
4:50.0,,,47-35,,Defensive rebound by J. Randle
4:46.0,Violation by D. Howard (kicked ball),,47-35,,
4:46.0,M. Kidd-Gilchrist enters the game for J. Lamb,,47-35,,
4:46.0,M. Williams enters the game for F. Kaminsky,,47-35,,
4:46.0,,,47-35,,J. Clarkson enters the game for L. Ball
4:36.0,,,47-35,,Turnover by B. Ingram (bad pass; steal by K. Walker)
4:31.0,K. Walker makes 3-pt shot from 25 ft,3,50-35,,
4:10.0,Personal foul by D. Howard (drawn by B. Lopez),,50-35,,
4:02.0,,,50-35,,Turnover by J. Randle (lost ball; steal by K. Walker)
3:57.0,N. Batum misses 3-pt shot from 26 ft,,50-35,,
3:52.0,,,50-35,,Defensive rebound by B. Ingram
3:50.0,,,50-37,2,B. Lopez makes 2-pt shot at rim (assist by B. Ingram)
3:36.0,K. Walker misses 3-pt shot from 28 ft,,50-37,,
3:33.0,,,50-37,,Defensive rebound by B. Ingram
3:16.0,,,50-37,,Turnover by B. Lopez (lost ball; steal by K. Walker)
3:11.0,,,50-37,,Personal foul by J. Randle (drawn by D. Howard)
3:07.0,K. Walker misses 3-pt shot from 25 ft,,50-37,,
3:02.0,Offensive rebound by M. Williams,,50-37,,
2:54.0,M. Williams makes 2-pt shot from 8 ft (assist by K. Walker),2,52-37,,
2:43.0,,,52-39,2,J. Clarkson makes 2-pt shot from 15 ft
2:25.0,M. Williams misses 3-pt shot from 28 ft,,52-39,,
2:21.0,,,52-39,,Defensive rebound by B. Lopez
2:18.0,Personal foul by M. Williams (drawn by J. Randle),,52-39,,
2:18.0,Charlotte full timeout,,52-39,,
2:18.0,,,52-40,1,J. Randle makes free throw 1 of 2
2:18.0,,,52-41,1,J. Randle makes free throw 2 of 2
2:05.0,K. Walker makes 2-pt shot from 16 ft (assist by D. Howard),2,54-41,,
1:50.0,Personal foul by M. Kidd-Gilchrist (drawn by B. Ingram),,54-41,,
1:50.0,,,54-42,1,B. Ingram makes free throw 1 of 2
1:50.0,F. Kaminsky enters the game for M. Williams,,54-42,,
1:50.0,,,54-42,,B. Ingram misses free throw 2 of 2
1:47.0,Defensive rebound by F. Kaminsky,,54-42,,
1:37.0,N. Batum misses 2-pt shot from 20 ft,,54-42,,
1:32.0,,,54-42,,Defensive rebound by J. Randle
1:25.0,,,54-42,,B. Ingram misses 2-pt shot from 15 ft
1:22.0,,,54-42,,Offensive rebound by B. Ingram
1:21.0,,,54-42,,J. Clarkson misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by K. Walker,,54-42,,
1:15.0,N. Batum makes 2-pt shot from 2 ft (assist by K. Walker),2,56-42,,
1:15.0,,,56-42,,Violation by K. Caldwell-Pope (def goaltending)
0:56.0,,,56-45,3,B. Ingram makes 3-pt shot from 23 ft (assist by J. Clarkson)
0:48.0,K. Walker makes 3-pt shot from 25 ft,3,59-45,,
0:38.0,,,59-45,,J. Clarkson misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by D. Howard,,59-45,,
0:28.0,K. Walker makes 2-pt shot from 1 ft,2,61-45,,
0:06.0,,,61-48,3,J. Clarkson makes 3-pt shot from 24 ft (assist by B. Ingram)
0:00.0,K. Walker makes 2-pt shot from 10 ft,2,63-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,63-51,3,L. Ball makes 3-pt shot from 23 ft (assist by B. Lopez)
11:28.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,66-51,,
11:12.0,,,66-51,,K. Caldwell-Pope misses 3-pt shot from 25 ft
11:07.0,,,66-51,,Offensive rebound by J. Randle
11:05.0,,,66-53,2,J. Randle makes 2-pt shot from 1 ft
10:54.0,K. Walker misses 2-pt shot from 13 ft,,66-53,,
10:49.0,Offensive rebound by D. Howard,,66-53,,
10:49.0,D. Howard makes 2-pt shot at rim,2,68-53,,
10:44.0,,,68-56,3,L. Ball makes 3-pt shot from 27 ft
10:29.0,D. Howard misses 2-pt shot from 21 ft,,68-56,,
10:25.0,,,68-56,,Defensive rebound by B. Ingram
10:13.0,,,68-58,2,B. Ingram makes 2-pt shot from 19 ft (assist by L. Ball)
9:56.0,M. Williams makes 2-pt shot from 4 ft (assist by N. Batum),2,70-58,,
9:42.0,,,70-61,3,B. Lopez makes 3-pt shot from 27 ft (assist by J. Randle)
9:19.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,70-61,,
9:17.0,,,70-61,,Defensive rebound by B. Ingram
9:13.0,,,70-61,,B. Ingram misses 2-pt shot from 3 ft (block by D. Howard)
9:13.0,Defensive rebound by M. Kidd-Gilchrist,,70-61,,
9:03.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,70-61,,
9:02.0,Offensive rebound by D. Howard,,70-61,,
9:02.0,D. Howard makes 2-pt shot at rim,2,72-61,,
8:54.0,,,72-61,,B. Lopez misses 3-pt shot from 28 ft
8:52.0,Defensive rebound by M. Kidd-Gilchrist,,72-61,,
8:46.0,D. Howard misses 2-pt shot from 4 ft,,72-61,,
8:42.0,,,72-61,,Defensive rebound by L. Ball
8:38.0,,,72-61,,Shooting foul by M. Williams (drawn by J. Randle)
8:38.0,,,72-62,1,J. Randle makes free throw 1 of 2
8:38.0,,,72-62,,J. Hart enters the game for K. Caldwell-Pope
8:38.0,,,72-63,1,J. Randle makes free throw 2 of 2
8:20.0,D. Howard misses 2-pt shot from 3 ft,,72-63,,
8:15.0,Offensive rebound by M. Williams,,72-63,,
8:15.0,M. Williams misses 2-pt shot at rim,,72-63,,
8:15.0,Offensive rebound by N. Batum,,72-63,,
8:13.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,75-63,,
8:03.0,,,75-63,,L. Ball misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by M. Williams,,75-63,,
7:55.0,,,75-63,,Personal foul by L. Ball (drawn by K. Walker)
7:44.0,N. Batum misses 2-pt shot from 2 ft,,75-63,,
7:39.0,Offensive rebound by D. Howard,,75-63,,
7:39.0,D. Howard makes 2-pt shot at rim,2,77-63,,
7:29.0,,,77-63,,J. Randle misses 2-pt shot from 1 ft
7:29.0,,,77-63,,Offensive rebound by J. Randle
7:29.0,,,77-65,2,J. Randle makes 2-pt shot from 1 ft
7:29.0,,,77-65,,Shooting foul by D. Howard (drawn by J. Randle)
7:29.0,,,77-66,1,J. Randle makes free throw 1 of 1
7:19.0,K. Walker misses 3-pt shot from 25 ft,,77-66,,
7:19.0,Offensive rebound by M. Williams,,77-66,,
7:12.0,K. Walker makes 2-pt shot from 1 ft (assist by M. Williams),2,79-66,,
7:01.0,,,79-68,2,B. Ingram makes 2-pt shot from 17 ft (assist by B. Lopez)
6:40.0,M. Kidd-Gilchrist makes 2-pt shot from 9 ft,2,81-68,,
6:30.0,,,81-68,,B. Ingram misses 2-pt shot from 13 ft
6:27.0,Defensive rebound by D. Howard,,81-68,,
6:14.0,N. Batum misses 2-pt shot from 15 ft,,81-68,,
6:11.0,,,81-68,,Defensive rebound by B. Ingram
6:02.0,,,81-68,,B. Lopez misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by M. Kidd-Gilchrist,,81-68,,
5:49.0,N. Batum misses 3-pt shot from 25 ft,,81-68,,
5:47.0,,,81-68,,Defensive rebound by B. Lopez
5:43.0,,,81-68,,Offensive charge foul by J. Randle (drawn by K. Walker)
5:43.0,,,81-68,,Turnover by J. Randle (offensive foul)
5:43.0,,,81-68,,LA Lakers full timeout
5:43.0,,,81-68,,K. Kuzma enters the game for B. Lopez
5:43.0,,,81-68,,L. Nance enters the game for J. Randle
5:31.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by N. Batum),2,83-68,,
5:14.0,,,83-70,2,B. Ingram makes 2-pt shot from 15 ft
4:55.0,D. Howard makes 2-pt shot from 1 ft,2,85-70,,
4:47.0,,,85-70,,K. Kuzma misses 3-pt shot from 23 ft
4:44.0,Defensive rebound by M. Kidd-Gilchrist,,85-70,,
4:34.0,K. Walker misses 2-pt shot from 7 ft,,85-70,,
4:29.0,Offensive rebound by M. Kidd-Gilchrist,,85-70,,
4:28.0,M. Williams misses 3-pt shot from 25 ft,,85-70,,
4:27.0,Offensive rebound by M. Kidd-Gilchrist,,85-70,,
4:27.0,,,85-70,,Personal foul by J. Hart (drawn by M. Kidd-Gilchrist)
4:27.0,J. Lamb enters the game for M. Williams,,85-70,,
4:27.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,85-70,,
4:16.0,Shooting foul by B. Ingram (drawn by D. Howard),,85-70,,
4:16.0,D. Howard misses free throw 1 of 2,,85-70,,
4:16.0,Offensive rebound by Team,,85-70,,
4:16.0,D. Howard makes free throw 2 of 2,1,86-70,,
4:03.0,,,86-70,,J. Hart misses 2-pt shot from 9 ft
3:59.0,Defensive rebound by D. Howard,,86-70,,
3:53.0,F. Kaminsky misses 3-pt shot from 26 ft,,86-70,,
3:49.0,Offensive rebound by J. Lamb,,86-70,,
3:35.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker),3,89-70,,
3:11.0,,,89-72,2,L. Nance makes 2-pt shot from 2 ft (assist by K. Kuzma)
2:51.0,F. Kaminsky makes 2-pt shot from 5 ft (assist by J. Lamb),2,91-72,,
2:35.0,,,91-72,,Turnover by J. Hart (bad pass; steal by F. Kaminsky)
2:30.0,Turnover by F. Kaminsky (lost ball; steal by L. Ball),,91-72,,
2:26.0,,,91-72,,Turnover by B. Ingram (bad pass)
2:26.0,Charlotte full timeout,,91-72,,
2:26.0,,,91-72,,J. Clarkson enters the game for L. Ball
2:14.0,N. Batum makes 2-pt shot from 19 ft,2,93-72,,
1:58.0,,,93-74,2,L. Nance makes 2-pt shot from 20 ft (assist by J. Hart)
1:40.0,F. Kaminsky misses 2-pt shot from 12 ft,,93-74,,
1:40.0,Offensive rebound by Team,,93-74,,
1:40.0,,,93-74,,Loose ball foul by B. Ingram (drawn by D. Howard)
1:36.0,Turnover by F. Kaminsky (out of bounds lost ball),,93-74,,
1:18.0,,,93-74,,Turnover by K. Kuzma (out of bounds lost ball)
1:18.0,T. Graham enters the game for N. Batum,,93-74,,
1:18.0,M. Carter-Williams enters the game for K. Walker,,93-74,,
1:01.0,F. Kaminsky misses 2-pt shot from 8 ft,,93-74,,
0:58.0,,,93-74,,Defensive rebound by K. Kuzma
0:57.0,,,93-76,2,L. Nance makes 2-pt shot at rim (assist by B. Ingram)
0:37.0,Turnover by F. Kaminsky (bad pass; steal by L. Nance),,93-76,,
0:31.0,,,93-76,,K. Kuzma misses 2-pt shot from 4 ft (block by D. Howard)
0:26.0,,,93-76,,Offensive rebound by J. Clarkson
0:24.0,,,93-76,,J. Hart misses 3-pt shot from 23 ft
0:24.0,Defensive rebound by T. Graham,,93-76,,
0:01.0,J. Lamb misses 2-pt shot from 21 ft,,93-76,,
0:01.0,Offensive rebound by Team,,93-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,M. Carter-Williams makes 2-pt shot from 16 ft,2,95-76,,
11:25.0,,,95-78,2,L. Nance makes 2-pt shot at rim (assist by L. Ball)
11:07.0,Shooting foul by L. Ball (drawn by T. Graham),,95-78,,
11:07.0,T. Graham makes free throw 1 of 2,1,96-78,,
11:07.0,T. Graham misses free throw 2 of 2,,96-78,,
11:05.0,,,96-78,,Defensive rebound by L. Nance
10:56.0,,,96-78,,K. Kuzma misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by J. O'Bryant,,96-78,,
10:45.0,Shooting foul by K. Kuzma (drawn by M. Carter-Williams),,96-78,,
10:45.0,M. Carter-Williams makes free throw 1 of 2,1,97-78,,
10:45.0,M. Carter-Williams makes free throw 2 of 2,1,98-78,,
10:32.0,,,98-78,,J. Clarkson misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by F. Kaminsky,,98-78,,
10:14.0,Turnover by T. Graham (traveling),,98-78,,
10:08.0,,,98-78,,Turnover by C. Brewer (bad pass)
9:54.0,F. Kaminsky misses 3-pt shot from 24 ft,,98-78,,
9:50.0,,,98-78,,Defensive rebound by L. Ball
9:44.0,,,98-78,,J. Clarkson misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by T. Graham,,98-78,,
9:23.0,J. Lamb makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,101-78,,
9:10.0,Personal block foul by J. O'Bryant (drawn by J. Clarkson),,101-78,,
9:03.0,,,101-78,,Turnover by J. Clarkson (bad pass; steal by M. Carter-Williams)
8:59.0,J. Lamb makes 2-pt shot at rim (assist by T. Graham),2,103-78,,
8:59.0,,,103-78,,LA Lakers full timeout
8:59.0,,,103-78,,T. Ennis enters the game for J. Clarkson
8:59.0,,,103-78,,J. Randle enters the game for L. Nance
8:59.0,,,103-78,,B. Ingram enters the game for L. Ball
8:39.0,,,103-78,,C. Brewer misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by M. Carter-Williams,,103-78,,
8:17.0,Turnover by J. Lamb (bad pass; steal by T. Ennis),,103-78,,
8:14.0,,,103-80,2,T. Ennis makes 2-pt shot from 1 ft
7:53.0,M. Carter-Williams misses 2-pt shot from 16 ft,,103-80,,
7:50.0,,,103-80,,Defensive rebound by B. Ingram
7:44.0,,,103-80,,K. Kuzma misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by J. O'Bryant,,103-80,,
7:30.0,J. O'Bryant misses 2-pt shot from 4 ft,,103-80,,
7:27.0,,,103-80,,Defensive rebound by J. Randle
7:18.0,,,103-80,,T. Ennis misses 3-pt shot from 25 ft
7:15.0,,,103-80,,Offensive rebound by Team
7:10.0,,,103-80,,J. Randle misses 2-pt shot from 8 ft
7:07.0,Defensive rebound by J. O'Bryant,,103-80,,
6:52.0,J. O'Bryant misses 2-pt shot from 17 ft,,103-80,,
6:48.0,,,103-80,,Defensive rebound by J. Randle
6:40.0,,,103-82,2,K. Kuzma makes 2-pt shot from 5 ft (assist by T. Ennis)
6:20.0,F. Kaminsky misses 2-pt shot from 6 ft,,103-82,,
6:18.0,,,103-82,,Defensive rebound by C. Brewer
6:15.0,,,103-82,,K. Kuzma misses 2-pt shot from 2 ft (block by M. Carter-Williams)
6:15.0,,,103-82,,Offensive rebound by Team
6:10.0,,,103-82,,K. Kuzma misses 2-pt shot from 3 ft
6:07.0,Defensive rebound by J. Lamb,,103-82,,
6:03.0,Offensive foul by J. O'Bryant (drawn by T. Ennis),,103-82,,
6:03.0,Turnover by J. O'Bryant (offensive foul),,103-82,,
5:58.0,,,103-82,,K. Kuzma misses 3-pt shot from 23 ft
5:53.0,Defensive rebound by J. Lamb,,103-82,,
5:44.0,J. Lamb misses 3-pt shot from 23 ft,,103-82,,
5:41.0,Offensive rebound by F. Kaminsky,,103-82,,
5:33.0,J. Lamb misses 2-pt shot from 12 ft,,103-82,,
5:29.0,Offensive rebound by M. Carter-Williams,,103-82,,
5:27.0,F. Kaminsky misses 2-pt shot from 2 ft,,103-82,,
5:24.0,,,103-82,,Defensive rebound by J. Randle
