time,Washington,pts.away,score,pts.home,Minnesota
8:08.0,,,51-58,2,T. Jones makes 2-pt shot from 11 ft (assist by T. Gibson)
8:08.0,,,51-58,,Shooting foul by M. Morris (drawn by T. Jones)
8:08.0,,,51-58,,T. Jones misses free throw 1 of 1
8:06.0,Defensive rebound by M. Gortat,,51-58,,
7:51.0,B. Beal misses 2-pt shot from 13 ft,,51-58,,
7:49.0,,,51-58,,Defensive rebound by Team
7:29.0,,,51-60,2,K. Towns makes 2-pt shot from 6 ft (assist by J. Butler)
7:06.0,M. Morris misses 2-pt shot from 20 ft,,51-60,,
7:02.0,,,51-60,,Defensive rebound by T. Jones
6:57.0,,,51-60,,Turnover by K. Towns (bad pass)
6:38.0,T. Frazier makes 2-pt shot from 7 ft,2,53-60,,
6:38.0,Shooting foul by T. Jones (drawn by T. Frazier),,53-60,,
6:38.0,T. Frazier misses free throw 1 of 1,,53-60,,
6:36.0,,,53-60,,Defensive rebound by T. Gibson
6:22.0,,,53-62,2,K. Towns makes 2-pt shot from 16 ft (assist by A. Wiggins)
6:08.0,M. Gortat misses 2-pt shot from 7 ft,,53-62,,
6:05.0,,,53-62,,Defensive rebound by K. Towns
5:57.0,,,53-65,3,J. Butler makes 3-pt shot from 24 ft
5:55.0,Washington full timeout,,53-65,,
5:33.0,Shooting foul by T. Gibson (drawn by O. Porter),,53-65,,
5:33.0,O. Porter makes free throw 1 of 2,1,54-65,,
5:33.0,O. Porter makes free throw 2 of 2,1,55-65,,
5:18.0,,,55-65,,T. Jones misses 3-pt shot from 23 ft
5:14.0,Defensive rebound by O. Porter,,55-65,,
4:51.0,B. Beal misses 2-pt shot from 13 ft,,55-65,,
4:47.0,,,55-65,,Defensive rebound by K. Towns
4:38.0,,,55-65,,K. Towns misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by O. Porter,,55-65,,
4:28.0,Shooting foul by T. Jones (drawn by B. Beal),,55-65,,
4:28.0,B. Beal makes free throw 1 of 2,1,56-65,,
4:28.0,T. Satoransky enters the game for M. Morris,,56-65,,
4:28.0,K. Oubre enters the game for T. Frazier,,56-65,,
4:28.0,B. Beal makes free throw 2 of 2,1,57-65,,
4:18.0,,,57-65,,A. Wiggins misses 3-pt shot from 25 ft
4:14.0,,,57-65,,Offensive rebound by J. Butler
4:14.0,,,57-65,,J. Butler misses 2-pt shot from 10 ft
4:14.0,Defensive rebound by M. Gortat,,57-65,,
4:04.0,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal),3,60-65,,
3:44.0,,,60-65,,G. Dieng enters the game for K. Towns
3:44.0,I. Mahinmi enters the game for M. Gortat,,60-65,,
3:39.0,,,60-67,2,A. Wiggins makes 2-pt shot at rim (assist by J. Butler)
3:24.0,,,60-67,,Personal foul by G. Dieng (drawn by I. Mahinmi)
3:16.0,K. Oubre misses 3-pt shot from 24 ft,,60-67,,
3:12.0,,,60-67,,Defensive rebound by G. Dieng
2:53.0,,,60-69,2,J. Butler makes 2-pt shot from 5 ft
2:32.0,K. Oubre makes 2-pt shot from 6 ft,2,62-69,,
2:08.0,,,62-69,,A. Wiggins misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by I. Mahinmi,,62-69,,
1:56.0,O. Porter makes 2-pt shot from 2 ft (assist by T. Satoransky),2,64-69,,
1:35.0,,,64-69,,Turnover by T. Gibson (lost ball; steal by K. Oubre)
1:31.0,Shooting foul by A. Wiggins (drawn by K. Oubre),,64-69,,
1:31.0,K. Oubre misses free throw 1 of 2,,64-69,,
1:31.0,Offensive rebound by Team,,64-69,,
1:31.0,,,64-69,,J. Crawford enters the game for J. Butler
1:31.0,K. Oubre misses free throw 2 of 2,,64-69,,
1:29.0,,,64-69,,Defensive rebound by T. Gibson
1:17.0,,,64-71,2,T. Gibson makes 2-pt shot at rim (assist by A. Wiggins)
1:00.0,,,64-71,,Personal foul by T. Gibson (drawn by K. Oubre)
1:00.0,K. Oubre makes free throw 1 of 2,1,65-71,,
1:00.0,K. Oubre makes free throw 2 of 2,1,66-71,,
0:50.0,Personal foul by K. Oubre (drawn by A. Wiggins),,66-71,,
0:39.0,,,66-71,,G. Dieng misses 2-pt shot at rim (block by K. Oubre)
0:38.0,Defensive rebound by Team,,66-71,,
0:35.0,B. Beal misses 3-pt shot from 26 ft,,66-71,,
0:32.0,,,66-71,,Defensive rebound by T. Gibson
0:14.0,,,66-71,,Turnover by A. Wiggins (lost ball; steal by K. Oubre)
0:10.0,T. Satoransky makes 2-pt shot from 1 ft (assist by B. Beal),2,68-71,,
0:00.0,,,68-71,,T. Jones misses 2-pt shot from 12 ft
0:00.0,Defensive rebound by K. Oubre,,68-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,68-71,,Offensive foul by K. Towns (drawn by K. Oubre)
11:48.0,,,68-71,,Turnover by K. Towns (offensive foul)
11:26.0,K. Oubre makes 2-pt shot from 11 ft,2,70-71,,
11:07.0,,,70-71,,J. Butler misses 3-pt shot from 25 ft
11:04.0,,,70-71,,Offensive rebound by K. Towns
10:59.0,,,70-73,2,J. Crawford makes 2-pt shot from 10 ft (assist by G. Dieng)
10:43.0,O. Porter misses 2-pt shot from 22 ft,,70-73,,
10:41.0,Offensive rebound by Team,,70-73,,
10:41.0,M. Scott enters the game for O. Porter,,70-73,,
10:36.0,Turnover by M. Scott (bad pass),,70-73,,
10:29.0,Personal foul by I. Mahinmi (drawn by K. Towns),,70-73,,
10:29.0,,,70-73,,T. Gibson enters the game for G. Dieng
10:22.0,,,70-75,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford)
10:02.0,I. Mahinmi misses 2-pt shot from 1 ft,,70-75,,
10:00.0,,,70-75,,Defensive rebound by T. Gibson
9:49.0,,,70-75,,K. Towns misses 2-pt shot from 5 ft
9:46.0,,,70-75,,Offensive rebound by A. Brooks
9:44.0,,,70-78,3,J. Crawford makes 3-pt shot from 25 ft (assist by A. Brooks)
9:43.0,Washington full timeout,,70-78,,
9:23.0,I. Mahinmi makes 2-pt shot from 3 ft,2,72-78,,
9:02.0,,,72-80,2,J. Butler makes 2-pt shot from 17 ft
8:45.0,M. Scott makes 2-pt shot from 12 ft (assist by K. Oubre),2,74-80,,
8:26.0,,,74-80,,A. Brooks misses 2-pt shot from 1 ft
8:24.0,Defensive rebound by M. Scott,,74-80,,
8:19.0,K. Oubre misses 3-pt shot from 23 ft,,74-80,,
8:16.0,,,74-80,,Defensive rebound by T. Gibson
7:57.0,,,74-80,,J. Crawford misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by T. Satoransky,,74-80,,
7:52.0,,,74-80,,Violation by T. Gibson (kicked ball)
7:52.0,,,74-80,,T. Jones enters the game for A. Brooks
7:45.0,T. Satoransky misses 2-pt shot from 18 ft,,74-80,,
7:39.0,Offensive rebound by I. Mahinmi,,74-80,,
7:37.0,J. Meeks misses 3-pt shot from 24 ft,,74-80,,
7:35.0,,,74-80,,Defensive rebound by J. Butler
7:18.0,,,74-80,,J. Butler misses 2-pt shot from 1 ft
7:16.0,,,74-80,,Offensive rebound by T. Gibson
7:15.0,,,74-80,,T. Gibson misses 2-pt shot from 1 ft (block by I. Mahinmi)
7:15.0,Defensive rebound by T. Satoransky,,74-80,,
7:12.0,J. Meeks makes 3-pt shot from 25 ft (assist by T. Satoransky),3,77-80,,
6:50.0,,,77-80,,Turnover by J. Crawford (traveling)
6:35.0,Turnover by K. Oubre (bad pass; steal by T. Jones),,77-80,,
6:24.0,,,77-80,,J. Butler misses 2-pt shot from 13 ft
6:20.0,,,77-80,,Offensive rebound by J. Butler
6:19.0,,,77-82,2,K. Towns makes 2-pt shot at rim (assist by J. Butler)
5:56.0,M. Scott makes 2-pt shot from 1 ft,2,79-82,,
5:33.0,,,79-82,,J. Crawford misses 2-pt shot from 4 ft
5:31.0,,,79-82,,Offensive rebound by J. Crawford
5:30.0,,,79-84,2,J. Crawford makes 2-pt shot from 9 ft
5:29.0,Washington full timeout,,79-84,,
5:29.0,,,79-84,,A. Wiggins enters the game for J. Crawford
5:29.0,B. Beal enters the game for T. Satoransky,,79-84,,
5:16.0,M. Scott makes 2-pt shot from 1 ft (assist by B. Beal),2,81-84,,
4:53.0,,,81-84,,K. Towns misses 2-pt shot from 4 ft (block by I. Mahinmi)
4:52.0,Defensive rebound by K. Oubre,,81-84,,
4:39.0,K. Oubre makes 2-pt shot from 14 ft,2,83-84,,
4:13.0,,,83-87,3,T. Jones makes 3-pt shot from 25 ft (assist by A. Wiggins)
3:53.0,Shooting foul by K. Towns (drawn by B. Beal),,83-87,,
3:53.0,B. Beal misses free throw 1 of 2,,83-87,,
3:53.0,Offensive rebound by Team,,83-87,,
3:53.0,B. Beal makes free throw 2 of 2,1,84-87,,
3:41.0,Personal foul by I. Mahinmi (drawn by J. Butler),,84-87,,
3:41.0,O. Porter enters the game for J. Meeks,,84-87,,
3:26.0,,,84-87,,J. Butler misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by K. Oubre,,84-87,,
3:04.0,M. Scott misses 3-pt shot from 25 ft,,84-87,,
3:01.0,Offensive rebound by I. Mahinmi,,84-87,,
2:48.0,M. Scott makes 3-pt shot from 24 ft (assist by I. Mahinmi),3,87-87,,
2:45.0,,,87-87,,Minnesota full timeout
2:28.0,,,87-87,,J. Butler misses 2-pt shot from 15 ft
2:25.0,Defensive rebound by O. Porter,,87-87,,
2:06.0,O. Porter misses 2-pt shot from 9 ft,,87-87,,
2:02.0,Offensive rebound by I. Mahinmi,,87-87,,
1:59.0,O. Porter misses 3-pt shot from 24 ft,,87-87,,
1:56.0,,,87-87,,Defensive rebound by T. Gibson
1:37.0,,,87-87,,T. Gibson misses 2-pt shot from 20 ft
1:34.0,Defensive rebound by O. Porter,,87-87,,
1:24.0,B. Beal misses 2-pt shot from 16 ft,,87-87,,
1:18.0,,,87-87,,Defensive rebound by K. Towns
0:58.0,,,87-89,2,T. Gibson makes 2-pt shot from 1 ft (assist by T. Jones)
0:58.0,Washington full timeout,,87-89,,
0:55.0,O. Porter makes 2-pt shot from 2 ft (assist by M. Scott),2,89-89,,
0:55.0,,,89-89,,Minnesota full timeout
0:43.0,,,89-89,,K. Towns misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by B. Beal,,89-89,,
0:25.0,O. Porter makes 2-pt shot from 21 ft (assist by B. Beal),2,91-89,,
0:16.0,,,91-89,,A. Wiggins misses 2-pt shot from 22 ft
0:14.0,,,91-89,,Offensive rebound by J. Butler
0:12.0,,,91-89,,A. Wiggins misses 3-pt shot from 26 ft
0:09.0,,,91-89,,Offensive rebound by J. Butler
0:04.0,,,91-89,,Turnover by J. Butler (bad pass)
0:04.0,J. Meeks enters the game for I. Mahinmi,,91-89,,
0:04.0,Washington full timeout,,91-89,,
0:03.0,,,91-89,,Personal take foul by T. Jones (drawn by B. Beal)
0:02.0,,,91-89,,Personal take foul by J. Butler (drawn by B. Beal)
0:02.0,B. Beal makes free throw 1 of 2,1,92-89,,
0:02.0,B. Beal misses free throw 2 of 2,,92-89,,
0:00.0,,,92-89,,Defensive rebound by K. Towns
0:00.0,,,92-89,,K. Towns misses 3-pt shot from 71 ft
0:00.0,,,92-89,,Offensive rebound by Team
