time,New Orleans,pts.away,score,pts.home,Cleveland
1:21.0,N. Mirotic makes 2-pt shot from 4 ft (assist by I. Clark),2,27-24,,
1:05.0,,,27-26,2,J. Clarkson makes 2-pt shot from 6 ft
0:48.0,A. Davis misses 2-pt shot from 16 ft,,27-26,,
0:44.0,,,27-26,,Defensive rebound by T. Thompson
0:35.0,,,27-26,,L. James misses 2-pt shot from 4 ft
0:31.0,Defensive rebound by A. Davis,,27-26,,
0:26.0,A. Davis makes 2-pt shot at rim (assist by I. Clark),2,29-26,,
0:07.0,,,29-29,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
0:01.0,I. Clark misses 2-pt shot from 14 ft,,29-29,,
0:01.0,,,29-29,,Defensive rebound by L. James
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,29-29,,J. Clarkson misses 2-pt shot from 21 ft
11:45.0,,,29-29,,Offensive rebound by T. Thompson
11:38.0,,,29-29,,Turnover by J. Clarkson (bad pass; steal by D. Miller)
11:26.0,D. Miller makes 3-pt shot from 26 ft (assist by N. Mirotic),3,32-29,,
11:05.0,,,32-29,,J. Smith misses 2-pt shot from 21 ft
11:02.0,Defensive rebound by N. Mirotic,,32-29,,
10:54.0,N. Mirotic misses 2-pt shot at rim,,32-29,,
10:52.0,,,32-29,,Defensive rebound by K. Love
10:30.0,,,32-29,,K. Love misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by I. Clark,,32-29,,
10:21.0,N. Mirotic misses 3-pt shot from 28 ft,,32-29,,
10:18.0,,,32-29,,Defensive rebound by K. Love
10:10.0,,,32-31,2,J. Clarkson makes 2-pt shot from 1 ft
9:58.0,N. Mirotic makes 2-pt shot at rim (assist by C. Diallo),2,34-31,,
9:34.0,,,34-31,,J. Green misses 2-pt shot from 14 ft
9:34.0,,,34-31,,Offensive rebound by Team
9:34.0,Loose ball foul by D. Miller (drawn by K. Love),,34-31,,
9:34.0,,,34-31,,G. Hill enters the game for T. Thompson
9:28.0,,,34-31,,K. Love misses 3-pt shot from 23 ft
9:26.0,Defensive rebound by N. Mirotic,,34-31,,
9:12.0,,,34-31,,Personal foul by J. Green (drawn by N. Mirotic)
8:59.0,D. Miller makes 2-pt shot from 23 ft (assist by J. Holiday),2,36-31,,
8:41.0,,,36-31,,Turnover by J. Clarkson (out of bounds lost ball)
8:20.0,N. Mirotic misses 3-pt shot from 26 ft,,36-31,,
8:15.0,Offensive rebound by D. Miller,,36-31,,
8:12.0,D. Miller misses 3-pt shot from 21 ft,,36-31,,
8:08.0,Offensive rebound by C. Diallo,,36-31,,
8:07.0,C. Diallo makes 2-pt shot from 2 ft,2,38-31,,
8:07.0,,,38-31,,Cleveland full timeout
8:07.0,,,38-31,,R. Hood enters the game for J. Smith
8:07.0,,,38-31,,L. James enters the game for J. Clarkson
7:44.0,,,38-33,2,L. James makes 2-pt shot from 1 ft
7:30.0,J. Holiday misses 2-pt shot from 2 ft (block by J. Green),,38-33,,
7:30.0,Offensive rebound by Team,,38-33,,
7:30.0,,,38-33,,Loose ball foul by G. Hill (drawn by N. Mirotic)
7:30.0,S. Hill enters the game for N. Mirotic,,38-33,,
7:20.0,I. Clark misses 2-pt shot from 17 ft,,38-33,,
7:17.0,,,38-33,,Defensive rebound by L. James
7:11.0,,,38-33,,K. Love misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by J. Holiday,,38-33,,
6:55.0,J. Holiday makes 2-pt shot from 6 ft,2,40-33,,
6:38.0,,,40-33,,K. Love misses 2-pt shot from 11 ft
6:35.0,Defensive rebound by C. Diallo,,40-33,,
6:35.0,,,40-33,,Personal foul by K. Love (drawn by J. Holiday)
6:29.0,Turnover by J. Holiday (bad pass; steal by J. Green),,40-33,,
6:20.0,,,40-33,,G. Hill misses 2-pt shot from 14 ft
6:18.0,Defensive rebound by D. Miller,,40-33,,
6:12.0,S. Hill makes 2-pt shot from 2 ft,2,42-33,,
5:56.0,,,42-35,2,K. Love makes 2-pt shot from 9 ft (assist by L. James)
5:44.0,J. Holiday makes 2-pt shot at rim,2,44-35,,
5:31.0,,,44-35,,Turnover by G. Hill (bad pass)
5:31.0,,,44-35,,J. Clarkson enters the game for K. Love
5:12.0,C. Diallo makes 2-pt shot from 12 ft (assist by S. Hill),2,46-35,,
4:56.0,,,46-35,,R. Hood misses 2-pt shot from 8 ft
4:54.0,Defensive rebound by C. Diallo,,46-35,,
4:45.0,S. Hill misses 3-pt shot from 29 ft,,46-35,,
4:42.0,,,46-35,,Defensive rebound by R. Hood
4:37.0,,,46-35,,L. James misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by C. Diallo,,46-35,,
4:25.0,I. Clark makes 2-pt shot from 1 ft (assist by J. Holiday),2,48-35,,
4:12.0,Personal foul by I. Clark (drawn by J. Clarkson),,48-35,,
4:12.0,,,48-35,,L. Nance enters the game for J. Green
4:12.0,R. Rondo enters the game for I. Clark,,48-35,,
4:12.0,A. Davis enters the game for C. Diallo,,48-35,,
4:04.0,E. Moore enters the game for D. Miller,,48-35,,
3:57.0,,,48-38,3,R. Hood makes 3-pt shot from 28 ft (assist by L. Nance)
3:53.0,Turnover by J. Holiday (bad pass),,48-38,,
3:47.0,,,48-41,3,J. Clarkson makes 3-pt shot from 23 ft (assist by L. Nance)
3:33.0,J. Holiday makes 3-pt shot from 25 ft (assist by A. Davis),3,51-41,,
3:15.0,,,51-41,,L. James misses 3-pt shot from 26 ft
3:10.0,Defensive rebound by J. Holiday,,51-41,,
3:03.0,,,51-41,,Personal block foul by J. Clarkson (drawn by S. Hill)
3:03.0,D. Miller enters the game for S. Hill,,51-41,,
2:57.0,A. Davis makes 2-pt shot from 14 ft (assist by R. Rondo),2,53-41,,
2:44.0,,,53-43,2,R. Hood makes 2-pt shot from 16 ft (assist by L. James)
2:35.0,J. Holiday makes 2-pt shot at rim,2,55-43,,
2:14.0,,,55-43,,Shooting foul by A. Davis (drawn by L. Nance)
2:14.0,New Orleans full timeout,,55-43,,
2:14.0,,,55-44,1,L. Nance makes free throw 1 of 2
2:14.0,,,55-45,1,L. Nance makes free throw 2 of 2
2:01.0,A. Davis misses 2-pt shot from 7 ft,,55-45,,
1:59.0,,,55-45,,Defensive rebound by L. Nance
1:54.0,,,55-47,2,L. James makes 2-pt shot from 1 ft (assist by J. Clarkson)
1:36.0,Turnover by D. Miller (bad pass; steal by L. Nance),,55-47,,
1:34.0,,,55-47,,Turnover by G. Hill (bad pass)
1:19.0,A. Davis makes 2-pt shot from 2 ft (assist by R. Rondo),2,57-47,,
0:53.0,,,57-47,,Turnover by J. Clarkson (lost ball; steal by J. Holiday)
0:48.0,R. Rondo misses 2-pt shot from 1 ft,,57-47,,
0:45.0,,,57-47,,Defensive rebound by L. Nance
0:37.0,,,57-47,,R. Hood misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by Team,,57-47,,
0:37.0,I. Clark enters the game for J. Holiday,,57-47,,
0:37.0,,,57-47,,J. Green enters the game for L. Nance
0:23.0,Turnover by A. Davis (bad pass),,57-47,,
0:07.0,Personal foul by I. Clark (drawn by R. Hood),,57-47,,
0:03.0,,,57-47,,J. Green misses 2-pt shot from 7 ft (block by A. Davis)
0:01.0,Defensive rebound by E. Moore,,57-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,57-49,2,G. Hill makes 2-pt shot from 16 ft
11:24.0,R. Rondo makes 2-pt shot from 12 ft,2,59-49,,
11:15.0,,,59-51,2,G. Hill makes 2-pt shot from 17 ft
10:53.0,N. Mirotic makes 2-pt shot from 13 ft (assist by A. Davis),2,61-51,,
10:40.0,,,61-51,,G. Hill misses 2-pt shot from 15 ft
10:38.0,,,61-51,,Offensive rebound by L. Nance
10:25.0,,,61-54,3,L. Nance makes 3-pt shot from 25 ft (assist by R. Hood)
10:11.0,Turnover by R. Rondo (bad pass; steal by L. Nance),,61-54,,
10:07.0,,,61-56,2,G. Hill makes 2-pt shot from 1 ft (assist by L. James)
9:55.0,Turnover by J. Holiday (bad pass),,61-56,,
9:33.0,,,61-56,,L. Nance misses 2-pt shot from 15 ft
9:31.0,Defensive rebound by J. Holiday,,61-56,,
9:15.0,N. Mirotic makes 3-pt shot from 22 ft (assist by R. Rondo),3,64-56,,
8:50.0,,,64-56,,L. Nance misses 2-pt shot from 8 ft
8:48.0,Defensive rebound by A. Davis,,64-56,,
8:43.0,N. Mirotic makes 3-pt shot from 29 ft (assist by R. Rondo),3,67-56,,
8:41.0,,,67-56,,Cleveland full timeout
8:41.0,,,67-56,,J. Green enters the game for L. Nance
8:31.0,,,67-56,,L. James misses 2-pt shot from 6 ft
8:29.0,Defensive rebound by J. Holiday,,67-56,,
8:14.0,E. Moore misses 2-pt shot from 12 ft,,67-56,,
8:11.0,,,67-56,,Defensive rebound by L. James
8:09.0,,,67-58,2,G. Hill makes 2-pt shot from 2 ft (assist by L. James)
7:55.0,,,67-58,,Personal foul by K. Love (drawn by A. Davis)
7:44.0,A. Davis makes 2-pt shot from 16 ft,2,69-58,,
7:24.0,,,69-58,,J. Green misses 2-pt shot from 1 ft (block by A. Davis)
7:19.0,,,69-58,,Offensive rebound by J. Green
7:18.0,,,69-58,,J. Green misses 3-pt shot from 23 ft
7:15.0,Defensive rebound by N. Mirotic,,69-58,,
7:09.0,J. Holiday makes 2-pt shot from 1 ft (assist by N. Mirotic),2,71-58,,
6:53.0,,,71-58,,Shooting foul by N. Mirotic (drawn by K. Love)
6:53.0,,,71-58,,K. Love misses free throw 1 of 2
6:53.0,,,71-58,,Offensive rebound by Team
6:53.0,,,71-59,1,K. Love makes free throw 2 of 2
6:42.0,J. Holiday misses 3-pt shot from 24 ft,,71-59,,
6:37.0,,,71-59,,Defensive rebound by L. James
6:35.0,,,71-59,,G. Hill misses 2-pt shot at rim
6:30.0,Defensive rebound by E. Moore,,71-59,,
6:26.0,N. Mirotic misses 3-pt shot from 24 ft,,71-59,,
6:22.0,,,71-59,,Defensive rebound by Team
6:22.0,,,71-59,,Cleveland full timeout
6:22.0,,,71-59,,J. Calderon enters the game for G. Hill
6:22.0,S. Hill enters the game for R. Rondo,,71-59,,
6:02.0,,,71-61,2,R. Hood makes 2-pt shot from 18 ft
5:49.0,A. Davis misses 2-pt shot from 1 ft,,71-61,,
5:47.0,,,71-61,,Defensive rebound by R. Hood
5:41.0,,,71-63,2,L. James makes 2-pt shot from 1 ft (assist by R. Hood)
5:27.0,Turnover by J. Holiday (lost ball; steal by K. Love),,71-63,,
5:22.0,,,71-63,,R. Hood misses 2-pt shot from 2 ft
5:19.0,Defensive rebound by E. Moore,,71-63,,
5:15.0,S. Hill misses 3-pt shot from 27 ft,,71-63,,
5:12.0,,,71-63,,Defensive rebound by K. Love
4:53.0,,,71-65,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
4:45.0,E. Moore misses 2-pt shot from 5 ft,,71-65,,
4:43.0,,,71-65,,Defensive rebound by K. Love
4:20.0,,,71-65,,L. James misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by N. Mirotic,,71-65,,
4:00.0,J. Holiday makes 2-pt shot from 1 ft (assist by E. Moore),2,73-65,,
3:41.0,,,73-67,2,K. Love makes 2-pt shot from 10 ft (assist by J. Green)
3:29.0,Shooting foul by K. Love (drawn by A. Davis),,73-67,,
3:29.0,A. Davis makes free throw 1 of 2,1,74-67,,
3:29.0,,,74-67,,T. Thompson enters the game for K. Love
3:29.0,,,74-67,,J. Clarkson enters the game for R. Hood
3:29.0,D. Miller enters the game for N. Mirotic,,74-67,,
3:29.0,I. Clark enters the game for E. Moore,,74-67,,
3:29.0,A. Davis makes free throw 2 of 2,1,75-67,,
3:19.0,,,75-70,3,J. Clarkson makes 3-pt shot from 26 ft
3:02.0,A. Davis makes 2-pt shot from 11 ft (assist by D. Miller),2,77-70,,
2:48.0,,,77-70,,L. James misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by J. Holiday,,77-70,,
2:46.0,,,77-70,,Personal foul by T. Thompson (drawn by J. Holiday)
2:32.0,Turnover by J. Holiday (bad pass),,77-70,,
2:27.0,,,77-73,3,J. Clarkson makes 3-pt shot from 24 ft (assist by L. James)
2:27.0,New Orleans full timeout,,77-73,,
2:27.0,R. Rondo enters the game for J. Holiday,,77-73,,
2:14.0,A. Davis misses 3-pt shot from 26 ft,,77-73,,
2:10.0,,,77-73,,Defensive rebound by J. Clarkson
2:03.0,,,77-73,,L. James misses 2-pt shot from 5 ft
1:58.0,,,77-73,,Offensive rebound by T. Thompson
1:58.0,,,77-73,,T. Thompson misses 2-pt shot at rim
1:55.0,,,77-73,,Offensive rebound by L. James
1:55.0,,,77-75,2,L. James makes 2-pt shot at rim
1:42.0,D. Miller misses 2-pt shot from 10 ft,,77-75,,
1:39.0,,,77-75,,Defensive rebound by L. James
1:30.0,Personal foul by I. Clark (drawn by J. Clarkson),,77-75,,
1:21.0,,,77-75,,J. Clarkson misses 2-pt shot from 19 ft
1:19.0,Defensive rebound by A. Davis,,77-75,,
1:06.0,R. Rondo misses 2-pt shot from 4 ft,,77-75,,
1:03.0,,,77-75,,Defensive rebound by T. Thompson
0:58.0,,,77-77,2,J. Green makes 2-pt shot from 2 ft
0:58.0,,,77-77,,Shooting foul by D. Miller (drawn by J. Green)
0:58.0,,,77-78,1,J. Green makes free throw 1 of 1
0:50.0,I. Clark makes 2-pt shot from 18 ft (assist by R. Rondo),2,79-78,,
0:36.0,,,79-80,2,J. Clarkson makes 2-pt shot from 11 ft (assist by L. James)
0:21.0,A. Davis misses 2-pt shot from 10 ft,,79-80,,
0:19.0,,,79-80,,Defensive rebound by T. Thompson
0:00.0,,,79-80,,J. Green misses 3-pt shot from 23 ft
0:00.0,,,79-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,R. Rondo misses 2-pt shot from 20 ft,,79-80,,
11:39.0,,,79-80,,Defensive rebound by K. Love
11:27.0,,,79-80,,Offensive foul by K. Love (drawn by C. Diallo)
11:27.0,,,79-80,,Turnover by K. Love (offensive foul)
11:11.0,I. Clark misses 2-pt shot from 7 ft,,79-80,,
11:08.0,Offensive rebound by C. Diallo,,79-80,,
10:49.0,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo),3,82-80,,
10:35.0,,,82-80,,Cleveland full timeout
10:35.0,,,82-80,,T. Thompson enters the game for K. Love
10:26.0,,,82-82,2,J. Clarkson makes 2-pt shot from 2 ft (assist by J. Green)
10:03.0,D. Miller makes 3-pt shot from 25 ft (assist by N. Mirotic),3,85-82,,
9:40.0,,,85-82,,J. Green misses 2-pt shot from 3 ft
9:40.0,,,85-82,,Offensive rebound by T. Thompson
9:40.0,Personal foul by C. Diallo (drawn by T. Thompson),,85-82,,
9:38.0,Personal foul by C. Diallo (drawn by J. Calderon),,85-82,,
9:38.0,,,85-82,,L. James enters the game for J. Green
9:23.0,,,85-82,,J. Smith misses 2-pt shot from 17 ft
9:22.0,,,85-82,,Offensive rebound by T. Thompson
9:22.0,,,85-82,,Turnover by T. Thompson (out of bounds lost ball)
9:08.0,D. Miller misses 2-pt shot from 17 ft,,85-82,,
9:06.0,,,85-82,,Defensive rebound by L. James
8:44.0,,,85-84,2,J. Calderon makes 2-pt shot from 7 ft
8:27.0,I. Clark misses 3-pt shot from 27 ft,,85-84,,
8:24.0,,,85-84,,Defensive rebound by L. James
8:20.0,Personal foul by N. Mirotic (drawn by L. James),,85-84,,
8:20.0,A. Davis enters the game for R. Rondo,,85-84,,
8:20.0,J. Holiday enters the game for C. Diallo,,85-84,,
8:09.0,,,85-86,2,T. Thompson makes 2-pt shot from 2 ft (assist by L. James)
7:59.0,I. Clark misses 2-pt shot from 1 ft (block by T. Thompson),,85-86,,
7:55.0,,,85-86,,Defensive rebound by T. Thompson
7:45.0,,,85-89,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Clarkson)
7:31.0,I. Clark misses 3-pt shot from 24 ft,,85-89,,
7:28.0,,,85-89,,Defensive rebound by J. Smith
7:08.0,,,85-89,,L. James misses 2-pt shot from 20 ft
7:05.0,Defensive rebound by D. Miller,,85-89,,
6:56.0,D. Miller makes 3-pt shot from 28 ft (assist by A. Davis),3,88-89,,
6:33.0,,,88-92,3,J. Clarkson makes 3-pt shot from 24 ft
6:19.0,I. Clark misses 3-pt shot from 23 ft,,88-92,,
6:17.0,,,88-92,,Defensive rebound by J. Clarkson
6:12.0,,,88-95,3,J. Calderon makes 3-pt shot from 23 ft (assist by L. James)
6:12.0,New Orleans full timeout,,88-95,,
6:12.0,E. Moore enters the game for I. Clark,,88-95,,
5:57.0,J. Holiday misses 2-pt shot from 2 ft,,88-95,,
5:55.0,Offensive rebound by A. Davis,,88-95,,
5:54.0,A. Davis makes 2-pt shot from 1 ft,2,90-95,,
5:37.0,,,90-95,,J. Smith misses 3-pt shot from 24 ft
5:37.0,,,90-95,,Offensive rebound by T. Thompson
5:33.0,,,90-97,2,T. Thompson makes 2-pt shot from 2 ft
5:17.0,J. Holiday makes 2-pt shot from 1 ft,2,92-97,,
4:58.0,,,92-97,,J. Calderon misses 2-pt shot from 22 ft
4:53.0,Defensive rebound by N. Mirotic,,92-97,,
4:42.0,,,92-97,,Personal foul by J. Calderon (drawn by N. Mirotic)
4:42.0,S. Hill enters the game for N. Mirotic,,92-97,,
4:35.0,J. Holiday makes 2-pt shot from 18 ft,2,94-97,,
4:13.0,Personal foul by J. Holiday (drawn by L. James),,94-97,,
4:13.0,,,94-97,,R. Hood enters the game for J. Calderon
4:02.0,,,94-97,,L. James misses 2-pt shot from 1 ft
3:59.0,Defensive rebound by A. Davis,,94-97,,
3:53.0,A. Davis misses 2-pt shot from 11 ft,,94-97,,
3:52.0,,,94-97,,Defensive rebound by Team
3:52.0,Loose ball foul by S. Hill (drawn by L. James),,94-97,,
3:52.0,,,94-98,1,L. James makes free throw 1 of 2
3:52.0,,,94-99,1,L. James makes free throw 2 of 2
3:37.0,J. Holiday makes 2-pt shot from 14 ft,2,96-99,,
3:16.0,,,96-101,2,L. James makes 2-pt shot from 12 ft
3:00.0,J. Holiday makes 2-pt shot at rim,2,98-101,,
2:39.0,,,98-103,2,L. James makes 2-pt shot from 13 ft
2:21.0,A. Davis misses 2-pt shot from 16 ft,,98-103,,
2:19.0,,,98-103,,Defensive rebound by L. James
1:59.0,,,98-105,2,L. James makes 2-pt shot from 10 ft
1:59.0,New Orleans full timeout,,98-105,,
1:46.0,S. Hill misses 3-pt shot from 25 ft,,98-105,,
1:41.0,,,98-105,,Defensive rebound by T. Thompson
1:24.0,,,98-105,,L. James misses 2-pt shot from 14 ft
1:23.0,Defensive rebound by S. Hill,,98-105,,
1:20.0,S. Hill makes 2-pt shot at rim,2,100-105,,
0:55.0,,,100-105,,L. James misses 2-pt shot from 22 ft
0:53.0,Defensive rebound by A. Davis,,100-105,,
0:48.0,J. Holiday makes 2-pt shot at rim,2,102-105,,
0:27.0,,,102-105,,J. Clarkson misses 2-pt shot from 9 ft
0:25.0,Defensive rebound by S. Hill,,102-105,,
0:18.0,J. Holiday misses 3-pt shot from 27 ft,,102-105,,
0:17.0,,,102-105,,Defensive rebound by J. Smith
0:17.0,Personal foul by A. Davis (drawn by J. Smith),,102-105,,
0:17.0,,,102-105,,J. Smith misses free throw 1 of 2
0:17.0,,,102-105,,Offensive rebound by Team
0:17.0,,,102-106,1,J. Smith makes free throw 2 of 2
0:09.0,J. Holiday misses 2-pt shot from 2 ft,,102-106,,
0:08.0,,,102-106,,Defensive rebound by T. Thompson
0:08.0,Personal foul by D. Miller (drawn by J. Clarkson),,102-106,,
0:08.0,,,102-107,1,J. Clarkson makes free throw 1 of 2
0:08.0,,,102-107,,J. Clarkson misses free throw 2 of 2
0:07.0,Defensive rebound by S. Hill,,102-107,,
0:07.0,New Orleans full timeout,,102-107,,
0:07.0,N. Mirotic enters the game for S. Hill,,102-107,,
0:05.0,A. Davis misses 3-pt shot from 30 ft,,102-107,,
0:02.0,,,102-107,,Defensive rebound by J. Clarkson
