time,Utah,pts.away,score,pts.home,Minnesota
4:52.0,Shooting foul by J. Crawford (drawn by D. Favors),,78-62,,
4:52.0,D. Favors misses free throw 1 of 2,,78-62,,
4:52.0,Offensive rebound by Team,,78-62,,
4:52.0,D. Favors makes free throw 2 of 2,1,79-62,,
4:38.0,,,79-62,,K. Towns misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by R. Rubio,,79-62,,
4:27.0,R. Rubio makes 2-pt shot from 18 ft (assist by R. O'Neale),2,81-62,,
3:57.0,,,81-62,,J. Crawford misses 3-pt shot from 22 ft
3:54.0,,,81-62,,Offensive rebound by T. Gibson
3:54.0,,,81-62,,Turnover by K. Towns (bad pass)
3:54.0,D. Exum enters the game for R. Rubio,,81-62,,
3:41.0,D. Mitchell misses 2-pt shot from 19 ft,,81-62,,
3:37.0,,,81-62,,Defensive rebound by K. Towns
3:34.0,Personal foul by R. O'Neale (drawn by A. Wiggins),,81-62,,
3:29.0,,,81-64,2,A. Wiggins makes 2-pt shot at rim
3:10.0,R. O'Neale makes 2-pt shot from 10 ft,2,83-64,,
2:57.0,,,83-66,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford)
2:44.0,Turnover by J. Crowder (bad pass; steal by T. Jones),,83-66,,
2:35.0,,,83-66,,Shooting foul by D. Favors (drawn by K. Towns)
2:35.0,,,83-67,1,K. Towns makes free throw 1 of 2
2:35.0,J. Jerebko enters the game for D. Favors,,83-67,,
2:35.0,R. Gobert enters the game for D. Mitchell,,83-67,,
2:35.0,,,83-68,1,K. Towns makes free throw 2 of 2
2:22.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum),2,85-68,,
2:10.0,,,85-68,,Turnover by J. Crawford (turnover)
2:10.0,,,85-68,,G. Dieng enters the game for K. Towns
2:10.0,,,85-68,,A. Brooks enters the game for T. Jones
1:57.0,J. Crowder misses 3-pt shot from 25 ft,,85-68,,
1:54.0,,,85-68,,Defensive rebound by A. Wiggins
1:43.0,,,85-71,3,A. Brooks makes 3-pt shot from 24 ft
