time,Atlanta,pts.away,score,pts.home,Orlando
3:39.0,T. Waller-Prince enters the game for D. Schroder,,15-21,,
3:21.0,Turnover by T. Waller-Prince (bad pass),,15-21,,
3:21.0,,,15-21,,Orlando full timeout
3:21.0,,,15-21,,W. Iwundu enters the game for J. Simmons
3:02.0,,,15-21,,E. Fournier misses 2-pt shot from 9 ft
2:59.0,Defensive rebound by J. Collins,,15-21,,
2:50.0,,,15-21,,Personal foul by W. Iwundu (drawn by T. Dorsey)
2:42.0,J. Collins misses 2-pt shot from 8 ft (block by M. Speights),,15-21,,
2:42.0,,,15-21,,Defensive rebound by Team
2:33.0,,,15-21,,M. Speights misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by J. Collins,,15-21,,
2:21.0,J. Collins misses 2-pt shot from 7 ft (block by M. Speights),,15-21,,
2:17.0,,,15-21,,Defensive rebound by B. Biyombo
2:15.0,,,15-24,3,M. Speights makes 3-pt shot from 26 ft (assist by S. Mack)
1:50.0,D. Dedmon makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,18-24,,
1:34.0,,,18-24,,S. Mack misses 2-pt shot from 5 ft
1:31.0,Defensive rebound by J. Collins,,18-24,,
1:26.0,T. Dorsey makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,21-24,,
1:09.0,,,21-24,,Shooting foul by D. Dedmon (drawn by E. Fournier)
1:09.0,,,21-25,1,E. Fournier makes free throw 1 of 2
1:09.0,,,21-25,,K. Birch enters the game for B. Biyombo
1:09.0,,,21-26,1,E. Fournier makes free throw 2 of 2
0:56.0,D. Dedmon misses 3-pt shot from 26 ft,,21-26,,
0:45.0,,,21-26,,Defensive rebound by M. Speights
0:42.0,,,21-26,,W. Iwundu misses 3-pt shot from 26 ft
0:39.0,Defensive rebound by J. Collins,,21-26,,
0:29.0,T. Dorsey makes 2-pt shot from 18 ft,2,23-26,,
0:08.0,,,23-26,,E. Fournier misses 2-pt shot from 5 ft
0:06.0,Defensive rebound by J. Collins,,23-26,,
0:02.0,T. Waller-Prince misses 3-pt shot from 23 ft,,23-26,,
0:00.0,Offensive rebound by Team,,23-26,,
0:00.0,J. Collins misses 2-pt shot from 14 ft,,23-26,,
0:00.0,Offensive rebound by Team,,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Collins misses 2-pt shot from 3 ft,,23-26,,
11:43.0,,,23-26,,Defensive rebound by K. Birch
11:22.0,,,23-28,2,S. Mack makes 2-pt shot from 3 ft
11:09.0,M. Muscala makes 2-pt shot from 16 ft (assist by T. Waller-Prince),2,25-28,,
11:00.0,,,25-30,2,S. Mack makes 2-pt shot from 6 ft
11:00.0,,,25-30,,Shooting foul by I. Taylor (drawn by S. Mack)
11:00.0,,,25-31,1,S. Mack makes free throw 1 of 1
10:48.0,M. Delaney misses 3-pt shot from 24 ft,,25-31,,
10:45.0,,,25-31,,Defensive rebound by A. Afflalo
10:28.0,,,25-31,,Turnover by K. Birch (out of bounds lost ball)
10:16.0,I. Taylor misses 2-pt shot from 7 ft,,25-31,,
10:14.0,,,25-31,,Defensive rebound by K. Birch
10:09.0,,,25-34,3,M. Speights makes 3-pt shot from 26 ft (assist by S. Mack)
9:50.0,Shooting foul by W. Iwundu (drawn by M. Delaney),,25-34,,
9:50.0,M. Delaney misses free throw 1 of 2,,25-34,,
9:50.0,Offensive rebound by Team,,25-34,,
9:50.0,E. Ilyasova enters the game for T. Waller-Prince,,25-34,,
9:50.0,K. Bazemore enters the game for J. Collins,,25-34,,
9:50.0,M. Delaney makes free throw 2 of 2,1,26-34,,
9:40.0,,,26-34,,M. Speights misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by K. Bazemore,,26-34,,
9:24.0,Turnover by E. Ilyasova (lost ball; steal by S. Mack),,26-34,,
9:24.0,Personal foul by E. Ilyasova (drawn by S. Mack),,26-34,,
9:09.0,,,26-34,,A. Afflalo misses 2-pt shot from 3 ft (block by M. Muscala)
9:09.0,,,26-34,,Offensive rebound by Team
9:03.0,,,26-34,,M. Speights misses 2-pt shot from 17 ft
9:01.0,Defensive rebound by K. Bazemore,,26-34,,
8:49.0,K. Bazemore misses 2-pt shot from 19 ft,,26-34,,
8:49.0,Offensive rebound by Team,,26-34,,
8:49.0,,,26-34,,Personal foul by K. Birch (drawn by M. Muscala)
8:49.0,,,26-34,,J. Simmons enters the game for M. Speights
8:40.0,K. Bazemore misses 3-pt shot from 23 ft,,26-34,,
8:37.0,,,26-34,,Defensive rebound by S. Mack
8:20.0,,,26-34,,W. Iwundu misses 2-pt shot from 13 ft
8:18.0,Defensive rebound by K. Bazemore,,26-34,,
8:11.0,M. Muscala misses 2-pt shot from 19 ft,,26-34,,
8:10.0,Offensive rebound by Team,,26-34,,
8:10.0,,,26-34,,Loose ball foul by A. Afflalo (drawn by E. Ilyasova)
8:10.0,D. Schroder enters the game for M. Delaney,,26-34,,
8:05.0,M. Muscala makes 2-pt shot from 4 ft (assist by K. Bazemore),2,28-34,,
8:05.0,Shooting foul by W. Iwundu (drawn by M. Muscala),,28-34,,
8:05.0,,,28-34,,D. Augustin enters the game for W. Iwundu
8:05.0,M. Muscala makes free throw 1 of 1,1,29-34,,
7:42.0,,,29-34,,Turnover by A. Afflalo (bad pass; steal by K. Bazemore)
7:39.0,Shooting foul by J. Simmons (drawn by I. Taylor),,29-34,,
7:39.0,I. Taylor misses free throw 1 of 2,,29-34,,
7:39.0,Offensive rebound by Team,,29-34,,
7:39.0,I. Taylor makes free throw 2 of 2,1,30-34,,
7:14.0,,,30-34,,S. Mack misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by M. Muscala,,30-34,,
7:02.0,D. Schroder misses 2-pt shot from 1 ft,,30-34,,
6:59.0,,,30-34,,Defensive rebound by K. Birch
6:55.0,,,30-34,,A. Afflalo misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by M. Muscala,,30-34,,
6:47.0,I. Taylor misses 2-pt shot from 4 ft (block by A. Afflalo),,30-34,,
6:44.0,Offensive rebound by M. Muscala,,30-34,,
6:44.0,M. Muscala misses 2-pt shot from 2 ft,,30-34,,
6:44.0,Offensive rebound by M. Muscala,,30-34,,
6:44.0,M. Muscala misses 2-pt shot from 2 ft (block by K. Birch),,30-34,,
6:44.0,,,30-34,,Defensive rebound by Team
6:44.0,,,30-34,,Orlando full timeout
6:44.0,,,30-34,,M. Hezonja enters the game for A. Afflalo
6:29.0,,,30-34,,J. Simmons misses 2-pt shot from 11 ft
6:27.0,Defensive rebound by E. Ilyasova,,30-34,,
6:08.0,E. Ilyasova misses 2-pt shot from 6 ft (block by K. Birch),,30-34,,
6:08.0,Offensive rebound by Team,,30-34,,
6:04.0,E. Ilyasova misses 3-pt shot from 31 ft,,30-34,,
6:01.0,,,30-34,,Defensive rebound by M. Hezonja
5:49.0,,,30-37,3,D. Augustin makes 3-pt shot from 26 ft
5:33.0,Shooting foul by S. Mack (drawn by E. Ilyasova),,30-37,,
5:33.0,E. Ilyasova misses free throw 1 of 2,,30-37,,
5:33.0,Offensive rebound by Team,,30-37,,
5:33.0,,,30-37,,E. Fournier enters the game for S. Mack
5:33.0,J. Collins enters the game for I. Taylor,,30-37,,
5:33.0,T. Dorsey enters the game for M. Muscala,,30-37,,
5:33.0,E. Ilyasova makes free throw 2 of 2,1,31-37,,
5:18.0,,,31-39,2,K. Birch makes 2-pt shot from 6 ft
5:06.0,K. Bazemore makes 2-pt shot from 4 ft (assist by T. Dorsey),2,33-39,,
4:43.0,,,33-39,,Turnover by J. Simmons (bad pass; steal by J. Collins)
4:36.0,D. Schroder misses 3-pt shot from 26 ft,,33-39,,
4:36.0,Offensive rebound by E. Ilyasova,,33-39,,
4:36.0,Offensive charge foul by E. Ilyasova (drawn by D. Augustin),,33-39,,
4:36.0,Turnover by E. Ilyasova (offensive foul),,33-39,,
4:36.0,D. Dedmon enters the game for E. Ilyasova,,33-39,,
4:21.0,,,33-39,,E. Fournier misses 2-pt shot from 6 ft (block by K. Bazemore)
4:15.0,Defensive rebound by D. Schroder,,33-39,,
4:07.0,T. Dorsey makes 2-pt shot from 3 ft (assist by K. Bazemore),2,35-39,,
3:46.0,,,35-39,,D. Augustin misses 3-pt shot from 26 ft
3:43.0,Defensive rebound by J. Collins,,35-39,,
3:33.0,D. Schroder makes 2-pt shot from 14 ft,2,37-39,,
3:33.0,,,37-39,,Orlando full timeout
3:33.0,,,37-39,,B. Biyombo enters the game for K. Birch
3:33.0,T. Waller-Prince enters the game for K. Bazemore,,37-39,,
3:19.0,,,37-39,,Turnover by B. Biyombo (turnover)
3:04.0,D. Dedmon misses 2-pt shot from 15 ft,,37-39,,
3:01.0,,,37-39,,Defensive rebound by B. Biyombo
2:49.0,,,37-39,,M. Hezonja misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by T. Dorsey,,37-39,,
2:37.0,D. Schroder misses 2-pt shot from 21 ft,,37-39,,
2:33.0,Offensive rebound by J. Collins,,37-39,,
2:32.0,T. Dorsey misses 3-pt shot from 25 ft,,37-39,,
2:32.0,,,37-39,,Defensive rebound by M. Hezonja
2:25.0,,,37-39,,Turnover by M. Hezonja (discontinued dribble)
2:17.0,Turnover by D. Schroder (bad pass; steal by M. Hezonja),,37-39,,
2:01.0,,,37-39,,J. Simmons misses 2-pt shot from 4 ft (block by J. Collins)
1:57.0,Defensive rebound by T. Dorsey,,37-39,,
1:44.0,D. Dedmon misses 3-pt shot from 23 ft,,37-39,,
1:43.0,Offensive rebound by Team,,37-39,,
1:37.0,D. Dedmon misses 3-pt shot from 26 ft,,37-39,,
1:33.0,,,37-39,,Defensive rebound by E. Fournier
1:26.0,Personal foul by T. Waller-Prince (drawn by D. Augustin),,37-39,,
1:18.0,,,37-39,,M. Hezonja misses 3-pt shot from 26 ft
1:15.0,,,37-39,,Offensive rebound by B. Biyombo
1:04.0,,,37-39,,B. Biyombo misses 2-pt shot from 7 ft
1:02.0,Defensive rebound by T. Waller-Prince,,37-39,,
0:45.0,Shooting foul by B. Biyombo (drawn by D. Schroder),,37-39,,
0:45.0,D. Schroder makes free throw 1 of 2,1,38-39,,
0:45.0,,,38-39,,A. Afflalo enters the game for D. Augustin
0:45.0,,,38-39,,S. Mack enters the game for J. Simmons
0:45.0,D. Schroder makes free throw 2 of 2,1,39-39,,
0:25.0,,,39-39,,E. Fournier misses 2-pt shot from 17 ft
0:22.0,Defensive rebound by D. Dedmon,,39-39,,
0:02.0,T. Dorsey misses 2-pt shot from 7 ft,,39-39,,
0:02.0,,,39-39,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by K. Bazemore (bad pass; steal by D. Augustin),,39-39,,
11:38.0,,,39-42,3,E. Fournier makes 3-pt shot from 25 ft (assist by D. Augustin)
11:17.0,T. Waller-Prince makes 2-pt shot from 17 ft,2,41-42,,
11:01.0,,,41-44,2,E. Fournier makes 2-pt shot from 6 ft
11:01.0,,,41-44,,Shooting foul by E. Ilyasova (drawn by E. Fournier)
11:01.0,,,41-45,1,E. Fournier makes free throw 1 of 1
10:48.0,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder),2,43-45,,
10:32.0,,,43-45,,Turnover by B. Biyombo (bad pass)
10:19.0,Shooting foul by M. Hezonja (drawn by D. Schroder),,43-45,,
10:19.0,D. Schroder makes free throw 1 of 2,1,44-45,,
10:19.0,D. Schroder makes free throw 2 of 2,1,45-45,,
10:05.0,,,45-47,2,M. Hezonja makes 2-pt shot from 14 ft (assist by D. Augustin)
9:57.0,D. Schroder makes 2-pt shot from 14 ft,2,47-47,,
9:29.0,,,47-47,,Turnover by E. Fournier (bad pass; steal by T. Waller-Prince)
9:25.0,D. Schroder misses 3-pt shot from 25 ft,,47-47,,
9:20.0,,,47-47,,Defensive rebound by M. Hezonja
9:10.0,,,47-49,2,B. Biyombo makes 2-pt shot from 5 ft (assist by D. Augustin)
8:44.0,T. Waller-Prince misses 2-pt shot from 1 ft,,47-49,,
8:41.0,,,47-49,,Defensive rebound by B. Biyombo
8:39.0,,,47-51,2,M. Hezonja makes 2-pt shot from 2 ft (assist by E. Fournier)
8:16.0,D. Dedmon enters the game for E. Ilyasova,,47-51,,
8:14.0,D. Schroder misses 2-pt shot from 15 ft,,47-51,,
8:09.0,,,47-51,,Defensive rebound by M. Hezonja
7:53.0,,,47-51,,D. Augustin misses 2-pt shot from 3 ft (block by M. Plumlee)
7:50.0,Defensive rebound by D. Schroder,,47-51,,
7:44.0,T. Waller-Prince misses 2-pt shot from 6 ft,,47-51,,
7:43.0,Offensive rebound by Team,,47-51,,
7:37.0,T. Waller-Prince makes 3-pt shot from 22 ft (assist by D. Schroder),3,50-51,,
7:23.0,,,50-53,2,E. Fournier makes 2-pt shot from 6 ft (assist by D. Augustin)
7:11.0,D. Schroder makes 2-pt shot from 16 ft,2,52-53,,
6:57.0,,,52-53,,M. Hezonja misses 2-pt shot from 7 ft
6:57.0,,,52-53,,Offensive rebound by M. Hezonja
6:57.0,Personal foul by K. Bazemore (drawn by M. Hezonja),,52-53,,
6:57.0,,,52-53,,Orlando full timeout
6:57.0,M. Delaney enters the game for K. Bazemore,,52-53,,
6:49.0,,,52-53,,Shooting foul by D. Dedmon (drawn by M. Hezonja)
6:49.0,,,52-54,1,M. Hezonja makes free throw 1 of 2
6:49.0,,,52-54,,M. Hezonja misses free throw 2 of 2
6:46.0,Defensive rebound by D. Dedmon,,52-54,,
6:30.0,,,52-54,,Personal foul by B. Biyombo (drawn by D. Dedmon)
6:17.0,M. Plumlee makes 2-pt shot from 3 ft (assist by D. Schroder),2,54-54,,
6:06.0,,,54-54,,E. Fournier misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by M. Plumlee,,54-54,,
5:57.0,D. Schroder misses 2-pt shot from 12 ft,,54-54,,
5:55.0,,,54-54,,Defensive rebound by E. Fournier
5:48.0,,,54-57,3,J. Simmons makes 3-pt shot from 25 ft (assist by E. Fournier)
5:26.0,M. Plumlee makes 2-pt shot from 5 ft (assist by M. Delaney),2,56-57,,
5:14.0,,,56-59,2,D. Augustin makes 2-pt shot from 19 ft
4:58.0,Turnover by D. Schroder (bad pass; steal by B. Biyombo),,56-59,,
4:42.0,,,56-59,,Offensive foul by B. Biyombo (drawn by M. Delaney)
4:42.0,,,56-59,,Turnover by B. Biyombo (offensive foul)
4:42.0,J. Collins enters the game for T. Waller-Prince,,56-59,,
4:42.0,T. Dorsey enters the game for M. Plumlee,,56-59,,
4:26.0,,,56-59,,Personal foul by J. Simmons (drawn by T. Dorsey)
4:19.0,D. Schroder misses 2-pt shot from 4 ft,,56-59,,
4:19.0,,,56-59,,Defensive rebound by Team
4:06.0,,,56-59,,B. Biyombo misses 2-pt shot from 3 ft
4:03.0,Defensive rebound by M. Delaney,,56-59,,
3:57.0,M. Delaney misses 2-pt shot from 19 ft,,56-59,,
3:54.0,Offensive rebound by J. Collins,,56-59,,
3:39.0,M. Delaney makes 3-pt shot from 23 ft (assist by T. Dorsey),3,59-59,,
3:21.0,,,59-59,,E. Fournier misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by M. Delaney,,59-59,,
3:12.0,M. Delaney makes 2-pt shot from 3 ft,2,61-59,,
2:57.0,,,61-61,2,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin)
2:39.0,J. Collins misses 2-pt shot from 3 ft,,61-61,,
2:39.0,Offensive rebound by T. Dorsey,,61-61,,
2:39.0,T. Dorsey makes 2-pt shot from 3 ft,2,63-61,,
2:39.0,Shooting foul by B. Biyombo (drawn by T. Dorsey),,63-61,,
2:39.0,Atlanta full timeout,,63-61,,
2:39.0,,,63-61,,M. Speights enters the game for M. Hezonja
2:39.0,,,63-61,,S. Mack enters the game for E. Fournier
2:39.0,,,63-61,,K. Birch enters the game for B. Biyombo
2:39.0,,,63-61,,W. Iwundu enters the game for D. Augustin
2:39.0,K. Bazemore enters the game for D. Schroder,,63-61,,
2:39.0,T. Dorsey misses free throw 1 of 1,,63-61,,
2:35.0,Offensive rebound by J. Collins,,63-61,,
2:27.0,Offensive charge foul by D. Dedmon (drawn by M. Speights),,63-61,,
2:27.0,Turnover by D. Dedmon (offensive foul),,63-61,,
2:14.0,Personal foul by K. Bazemore (drawn by J. Simmons),,63-61,,
2:14.0,M. Muscala enters the game for D. Dedmon,,63-61,,
2:04.0,,,63-63,2,J. Simmons makes 2-pt shot from 6 ft
1:45.0,J. Collins makes 3-pt shot from 22 ft (assist by T. Dorsey),3,66-63,,
1:23.0,,,66-63,,J. Simmons misses 2-pt shot from 9 ft
1:21.0,,,66-63,,Offensive rebound by J. Simmons
1:21.0,,,66-63,,J. Simmons misses 2-pt shot from 6 ft
1:21.0,Defensive rebound by M. Muscala,,66-63,,
1:00.0,M. Delaney makes 2-pt shot from 2 ft,2,68-63,,
0:48.0,,,68-66,3,M. Speights makes 3-pt shot from 26 ft (assist by S. Mack)
0:41.0,J. Collins makes 2-pt shot from 3 ft (assist by K. Bazemore),2,70-66,,
0:28.0,,,70-69,3,M. Speights makes 3-pt shot from 26 ft (assist by W. Iwundu)
0:12.0,K. Bazemore misses 2-pt shot from 20 ft,,70-69,,
0:09.0,,,70-69,,Defensive rebound by K. Birch
0:01.0,,,70-69,,M. Speights misses 3-pt shot from 30 ft
0:00.0,,,70-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,70-69,,D. Augustin misses 3-pt shot from 23 ft
11:39.0,Defensive rebound by Team,,70-69,,
11:29.0,Turnover by J. Collins (bad pass; steal by W. Iwundu),,70-69,,
11:26.0,,,70-71,2,W. Iwundu makes 2-pt shot from 1 ft (assist by M. Speights)
11:09.0,T. Dorsey makes 2-pt shot from 2 ft,2,72-71,,
10:58.0,,,72-71,,S. Mack misses 2-pt shot from 9 ft
10:58.0,Defensive rebound by Team,,72-71,,
10:58.0,,,72-71,,Personal foul by K. Birch (drawn by J. Collins)
10:58.0,M. Plumlee enters the game for J. Collins,,72-71,,
10:45.0,Jump ball: W. Iwundu vs. K. Bazemore (T. Dorsey gains possession),,,,Jump ball: W. Iwundu vs. K. Bazemore (T. Dorsey gains possession)
10:45.0,K. Bazemore misses 2-pt shot from 5 ft (block by W. Iwundu),,72-71,,
10:45.0,Offensive rebound by Team,,72-71,,
10:34.0,K. Bazemore makes 2-pt shot from 12 ft (assist by M. Muscala),2,74-71,,
10:15.0,,,74-73,2,M. Speights makes 2-pt shot from 5 ft (assist by D. Augustin)
10:00.0,Jump ball: D. Augustin vs. T. Dorsey (K. Bazemore gains possession),,,,Jump ball: D. Augustin vs. T. Dorsey (K. Bazemore gains possession)
9:58.0,Turnover by K. Bazemore (lost ball; steal by D. Augustin),,74-73,,
9:46.0,,,74-73,,S. Mack misses 3-pt shot from 27 ft
9:44.0,,,74-73,,Offensive rebound by K. Birch
9:33.0,,,74-73,,Turnover by K. Birch (bad pass)
9:19.0,T. Dorsey misses 2-pt shot from 21 ft,,74-73,,
9:17.0,,,74-73,,Defensive rebound by M. Speights
9:06.0,,,74-73,,D. Augustin misses 2-pt shot from 4 ft (block by K. Bazemore)
9:05.0,Defensive rebound by M. Plumlee,,74-73,,
8:59.0,K. Bazemore misses 3-pt shot from 26 ft,,74-73,,
8:59.0,,,74-73,,Defensive rebound by W. Iwundu
8:52.0,,,74-73,,W. Iwundu misses 2-pt shot from 4 ft
8:52.0,Defensive rebound by M. Plumlee,,74-73,,
8:37.0,I. Taylor misses 2-pt shot from 23 ft,,74-73,,
8:34.0,Offensive rebound by M. Plumlee,,74-73,,
8:33.0,Offensive charge foul by K. Bazemore (drawn by M. Speights),,74-73,,
8:33.0,Turnover by K. Bazemore (offensive foul),,74-73,,
8:33.0,T. Waller-Prince enters the game for K. Bazemore,,74-73,,
8:19.0,,,74-73,,D. Augustin misses 3-pt shot from 25 ft
8:18.0,,,74-73,,Offensive rebound by Team
8:18.0,Loose ball foul by M. Plumlee (drawn by K. Birch),,74-73,,
8:03.0,,,74-73,,M. Speights misses 3-pt shot from 25 ft
7:58.0,,,74-73,,Offensive rebound by D. Augustin
7:58.0,,,74-75,2,D. Augustin makes 2-pt shot from 3 ft
7:48.0,Shooting foul by M. Speights (drawn by T. Waller-Prince),,74-75,,
7:48.0,T. Waller-Prince misses free throw 1 of 2,,74-75,,
7:48.0,Offensive rebound by Team,,74-75,,
7:48.0,D. Dedmon enters the game for M. Muscala,,74-75,,
7:48.0,M. Delaney enters the game for T. Dorsey,,74-75,,
7:48.0,T. Waller-Prince makes free throw 2 of 2,1,75-75,,
7:29.0,,,75-77,2,W. Iwundu makes 2-pt shot from 2 ft (assist by D. Augustin)
7:13.0,D. Dedmon makes 2-pt shot from 1 ft (assist by M. Plumlee),2,77-77,,
7:00.0,,,77-77,,D. Augustin misses 2-pt shot from 7 ft
6:58.0,,,77-77,,Offensive rebound by K. Birch
6:53.0,,,77-79,2,S. Mack makes 2-pt shot from 9 ft
6:41.0,,,77-79,,Personal foul by S. Mack (drawn by I. Taylor)
6:41.0,,,77-79,,Orlando full timeout
6:41.0,J. Collins enters the game for M. Plumlee,,77-79,,
6:35.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Dedmon),3,80-79,,
6:13.0,,,80-79,,S. Mack misses 2-pt shot from 6 ft
6:10.0,,,80-79,,Offensive rebound by K. Birch
5:56.0,,,80-79,,D. Augustin misses 2-pt shot from 7 ft (block by D. Dedmon)
5:56.0,,,80-79,,Offensive rebound by Team
5:55.0,,,80-79,,Turnover by M. Speights (lost ball; steal by D. Dedmon)
5:39.0,T. Waller-Prince makes 2-pt shot from 14 ft,2,82-79,,
5:29.0,,,82-81,2,S. Mack makes 2-pt shot from 17 ft
5:29.0,,,82-81,,Shooting foul by I. Taylor (drawn by S. Mack)
