time,Minnesota,pts.away,score,pts.home,LA Lakers
6:29.0,,,14-15,2,B. Lopez makes 2-pt shot from 6 ft
6:19.0,Shooting foul by B. Lopez (drawn by J. Teague),,14-15,,
6:19.0,,,14-15,,LA Lakers full timeout
6:19.0,N. Bjelica enters the game for J. Butler,,14-15,,
6:19.0,J. Teague makes free throw 1 of 2,1,15-15,,
6:19.0,J. Teague makes free throw 2 of 2,1,16-15,,
6:04.0,,,16-15,,A. Caruso misses 3-pt shot from 26 ft
6:01.0,Defensive rebound by K. Towns,,16-15,,
5:47.0,A. Wiggins makes 2-pt shot from 6 ft,2,18-15,,
5:30.0,,,18-15,,K. Kuzma misses 3-pt shot from 26 ft
5:27.0,Defensive rebound by N. Bjelica,,18-15,,
5:07.0,Turnover by J. Teague (bad pass; steal by K. Caldwell-Pope),,18-15,,
5:04.0,,,18-17,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
4:46.0,J. Teague misses 3-pt shot from 25 ft,,18-17,,
4:44.0,,,18-17,,Defensive rebound by B. Lopez
4:36.0,,,18-17,,Turnover by J. Randle (traveling)
4:36.0,,,18-17,,C. Frye enters the game for K. Kuzma
4:36.0,,,18-17,,T. Ennis enters the game for A. Caruso
4:36.0,,,18-17,,J. Hart enters the game for B. Lopez
4:26.0,,,18-17,,Personal block foul by J. Randle
4:23.0,,,18-17,,Personal block foul by C. Frye (drawn by K. Towns)
4:12.0,T. Gibson makes 2-pt shot from 9 ft (assist by K. Towns),2,20-17,,
4:12.0,Shooting foul by J. Hart (drawn by T. Gibson),,20-17,,
4:12.0,T. Gibson makes free throw 1 of 1,1,21-17,,
3:51.0,Personal foul by J. Teague (drawn by T. Ennis),,21-17,,
3:45.0,,,21-17,,C. Frye misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by A. Wiggins,,21-17,,
3:36.0,Turnover by T. Gibson (traveling),,21-17,,
3:22.0,,,21-20,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by T. Ennis)
3:10.0,A. Wiggins makes 2-pt shot from 2 ft,2,23-20,,
3:00.0,,,23-22,2,J. Randle makes 2-pt shot from 2 ft (assist by T. Ennis)
2:50.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Teague),2,25-22,,
2:49.0,,,25-22,,LA Lakers full timeout
2:49.0,,,25-22,,I. Zubac enters the game for J. Randle
2:49.0,G. Dieng enters the game for J. Teague,,25-22,,
2:49.0,J. Crawford enters the game for K. Towns,,25-22,,
2:49.0,T. Jones enters the game for T. Gibson,,25-22,,
2:35.0,,,25-24,2,I. Zubac makes 2-pt shot from 2 ft (assist by T. Ennis)
2:14.0,A. Wiggins misses 2-pt shot from 19 ft,,25-24,,
2:12.0,,,25-24,,Defensive rebound by T. Ennis
2:08.0,,,25-24,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:05.0,Defensive rebound by G. Dieng,,25-24,,
1:57.0,N. Bjelica makes 3-pt shot from 24 ft (assist by J. Crawford),3,28-24,,
1:38.0,,,28-24,,Turnover by C. Frye (bad pass; steal by N. Bjelica)
1:33.0,N. Bjelica misses 2-pt shot from 1 ft,,28-24,,
1:30.0,,,28-24,,Defensive rebound by J. Hart
1:24.0,,,28-26,2,T. Ennis makes 2-pt shot at rim
1:05.0,A. Wiggins misses 2-pt shot from 16 ft,,28-26,,
1:00.0,Offensive rebound by G. Dieng,,28-26,,
0:51.0,A. Wiggins misses 3-pt shot from 25 ft,,28-26,,
0:48.0,Offensive rebound by G. Dieng,,28-26,,
0:46.0,N. Bjelica misses 3-pt shot from 25 ft,,28-26,,
0:43.0,,,28-26,,Defensive rebound by I. Zubac
0:39.0,,,28-26,,Turnover by K. Caldwell-Pope (out of bounds lost ball)
0:34.0,,,28-26,,Personal foul by K. Caldwell-Pope (drawn by T. Jones)
0:34.0,T. Jones makes free throw 1 of 2,1,29-26,,
0:34.0,T. Jones makes free throw 2 of 2,1,30-26,,
0:13.0,,,30-26,,J. Hart misses 3-pt shot from 27 ft
0:11.0,,,30-26,,Offensive rebound by I. Zubac
0:05.0,Personal foul by N. Bjelica (drawn by T. Ennis),,30-26,,
0:05.0,,,30-26,,Turnover by J. Hart (bad pass; steal by T. Jones)
0:02.0,T. Jones misses 2-pt shot from 1 ft,,30-26,,
0:00.0,Offensive rebound by Team,,30-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,30-28,2,J. Hart makes 2-pt shot from 1 ft (assist by C. Frye)
11:29.0,K. Towns misses 3-pt shot from 23 ft,,30-28,,
11:26.0,,,30-28,,Defensive rebound by K. Kuzma
11:20.0,,,30-28,,K. Kuzma misses 2-pt shot from 7 ft
11:20.0,,,30-28,,Offensive rebound by Team
11:20.0,Loose ball foul by K. Towns (drawn by I. Zubac),,30-28,,
11:09.0,,,30-30,2,K. Kuzma makes 2-pt shot from 13 ft
10:54.0,D. Rose misses 2-pt shot from 16 ft,,30-30,,
10:51.0,,,30-30,,Defensive rebound by I. Zubac
10:46.0,,,30-30,,K. Kuzma misses 2-pt shot from 15 ft
10:40.0,,,30-30,,Offensive rebound by I. Zubac
10:40.0,,,30-30,,I. Zubac misses 2-pt shot at rim
10:39.0,,,30-30,,Offensive rebound by I. Zubac
10:38.0,,,30-30,,I. Zubac misses 2-pt shot from 1 ft
10:38.0,Defensive rebound by J. Crawford,,30-30,,
10:30.0,J. Butler misses 2-pt shot from 6 ft,,30-30,,
10:29.0,Offensive rebound by K. Towns,,30-30,,
10:28.0,K. Towns makes 2-pt shot at rim,2,32-30,,
10:12.0,,,32-30,,Turnover by C. Frye (lost ball; steal by D. Rose)
10:12.0,,,32-30,,Technical foul by C. Frye (drawn by T. Jones)
10:12.0,T. Jones misses flagrant free throw 1 of 2,,32-30,,
10:12.0,Offensive rebound by Team,,32-30,,
10:12.0,T. Jones misses flagrant free throw 2 of 2,,32-30,,
10:12.0,Offensive rebound by Team,,32-30,,
10:05.0,D. Rose misses 2-pt shot from 19 ft,,32-30,,
9:59.0,Offensive rebound by K. Towns,,32-30,,
9:57.0,D. Rose misses 2-pt shot from 1 ft,,32-30,,
9:54.0,,,32-30,,Defensive rebound by C. Frye
9:35.0,,,32-30,,Shooting foul by J. Butler (drawn by C. Frye)
9:35.0,,,32-31,1,C. Frye makes free throw 1 of 3
9:35.0,,,32-31,,C. Frye misses free throw 2 of 3
9:35.0,,,32-31,,Offensive rebound by Team
9:35.0,,,32-32,1,C. Frye makes free throw 3 of 3
9:19.0,Shooting foul by I. Zubac (drawn by J. Butler),,32-32,,
9:19.0,J. Butler makes free throw 1 of 2,1,33-32,,
9:19.0,J. Butler makes free throw 2 of 2,1,34-32,,
9:04.0,,,34-32,,C. Frye misses 3-pt shot from 24 ft
9:03.0,,,34-32,,Offensive rebound by Team
9:03.0,Loose ball foul by K. Towns (drawn by I. Zubac),,34-32,,
9:03.0,G. Dieng enters the game for K. Towns,,34-32,,
8:56.0,,,34-32,,Turnover by K. Kuzma (traveling)
8:34.0,J. Butler makes 2-pt shot from 1 ft (assist by T. Jones),2,36-32,,
8:25.0,,,36-32,,Turnover by T. Ennis (bad pass; steal by T. Jones)
8:22.0,Turnover by T. Jones (lost ball; steal by T. Ennis),,36-32,,
8:18.0,,,36-32,,C. Frye misses 3-pt shot from 24 ft
8:11.0,,,36-32,,Offensive rebound by I. Zubac
8:11.0,,,36-34,2,I. Zubac makes 2-pt shot at rim
8:05.0,J. Crawford misses 3-pt shot from 27 ft,,36-34,,
8:01.0,,,36-34,,Defensive rebound by T. Ennis
7:57.0,,,36-37,3,J. Hart makes 3-pt shot from 26 ft (assist by T. Ennis)
7:47.0,,,36-37,,Shooting block foul by C. Frye (drawn by J. Butler)
7:47.0,J. Butler misses free throw 1 of 2,,36-37,,
7:47.0,Offensive rebound by Team,,36-37,,
7:47.0,,,36-37,,J. Randle enters the game for C. Frye
7:47.0,J. Teague enters the game for T. Jones,,36-37,,
7:47.0,J. Butler misses free throw 2 of 2,,36-37,,
7:44.0,,,36-37,,Defensive rebound by J. Randle
7:30.0,,,36-37,,J. Hart misses 2-pt shot from 2 ft (block by G. Dieng)
7:27.0,Defensive rebound by J. Butler,,36-37,,
7:15.0,D. Rose misses 2-pt shot from 2 ft,,36-37,,
7:10.0,Offensive rebound by G. Dieng,,36-37,,
7:10.0,G. Dieng misses 2-pt shot at rim,,36-37,,
7:09.0,,,36-37,,Defensive rebound by J. Hart
7:09.0,,,36-37,,Shooting foul by J. Crawford (drawn by J. Hart)
7:09.0,,,36-38,1,J. Hart makes free throw 1 of 2
7:09.0,,,36-38,,B. Lopez enters the game for I. Zubac
7:09.0,,,36-39,1,J. Hart makes free throw 2 of 2
6:53.0,G. Dieng misses 2-pt shot from 17 ft,,36-39,,
6:50.0,,,36-39,,Defensive rebound by J. Randle
6:36.0,,,36-39,,Shooting foul by J. Crawford (drawn by J. Randle)
6:36.0,,,36-39,,LA Lakers full timeout
6:36.0,,,36-39,,K. Caldwell-Pope enters the game for K. Kuzma
6:36.0,T. Gibson enters the game for J. Butler,,36-39,,
6:36.0,,,36-40,1,J. Randle makes free throw 1 of 2
6:36.0,,,36-41,1,J. Randle makes free throw 2 of 2
6:25.0,J. Teague makes 2-pt shot from 16 ft,2,38-41,,
6:18.0,,,38-41,,Turnover by J. Randle (traveling)
6:18.0,A. Wiggins enters the game for D. Rose,,38-41,,
6:02.0,G. Dieng makes 2-pt shot from 11 ft (assist by J. Teague),2,40-41,,
5:37.0,,,40-44,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Randle)
5:17.0,Offensive foul by G. Dieng (drawn by J. Hart),,40-44,,
5:17.0,Turnover by G. Dieng (offensive foul),,40-44,,
5:02.0,,,40-44,,K. Caldwell-Pope misses 2-pt shot from 2 ft
4:59.0,Defensive rebound by J. Teague,,40-44,,
4:54.0,J. Teague misses 2-pt shot from 1 ft,,40-44,,
4:53.0,,,40-44,,Defensive rebound by T. Ennis
4:52.0,Personal take foul by G. Dieng (drawn by T. Ennis),,40-44,,
4:52.0,,,40-45,1,T. Ennis makes free throw 1 of 2
4:52.0,,,40-46,1,T. Ennis makes free throw 2 of 2
4:38.0,G. Dieng misses 2-pt shot from 8 ft,,40-46,,
4:35.0,,,40-46,,Defensive rebound by J. Hart
4:31.0,Personal foul by G. Dieng (drawn by J. Randle),,40-46,,
4:31.0,,,40-47,1,J. Randle makes free throw 1 of 2
4:31.0,,,40-48,1,J. Randle makes free throw 2 of 2
4:09.0,A. Wiggins misses 2-pt shot from 11 ft,,40-48,,
4:06.0,,,40-48,,Defensive rebound by B. Lopez
4:02.0,,,40-48,,J. Randle misses 2-pt shot from 3 ft
4:02.0,,,40-48,,Offensive rebound by Team
4:02.0,Loose ball foul by A. Wiggins (drawn by J. Hart),,40-48,,
4:02.0,,,40-48,,J. Hart misses free throw 1 of 2
4:02.0,,,40-48,,Offensive rebound by Team
4:02.0,,,40-49,1,J. Hart makes free throw 2 of 2
3:49.0,A. Wiggins misses 2-pt shot from 11 ft,,40-49,,
3:47.0,,,40-49,,Defensive rebound by J. Randle
3:38.0,,,40-49,,Turnover by T. Ennis (bad pass; steal by J. Teague)
3:37.0,,,40-49,,Personal take foul by T. Ennis (drawn by J. Teague)
3:37.0,,,40-49,,G. Payton enters the game for T. Ennis
3:23.0,A. Wiggins misses 3-pt shot from 23 ft,,40-49,,
3:21.0,,,40-49,,Defensive rebound by B. Lopez
3:14.0,,,40-49,,B. Lopez misses 3-pt shot from 25 ft
3:10.0,,,40-49,,Offensive rebound by K. Caldwell-Pope
3:09.0,,,40-49,,K. Caldwell-Pope misses 3-pt shot from 23 ft
3:08.0,,,40-49,,Offensive rebound by B. Lopez
3:08.0,,,40-51,2,B. Lopez makes 2-pt shot from 1 ft
3:08.0,,,40-51,,Shooting foul by T. Gibson (drawn by B. Lopez)
3:08.0,,,40-52,1,B. Lopez makes free throw 1 of 1
2:52.0,A. Wiggins makes 2-pt shot from 2 ft (assist by G. Dieng),2,42-52,,
2:47.0,,,42-54,2,J. Hart makes 2-pt shot from 2 ft (assist by J. Randle)
2:40.0,J. Teague makes 2-pt shot from 5 ft,2,44-54,,
2:40.0,Shooting foul by G. Payton (drawn by J. Teague),,44-54,,
2:40.0,Minnesota full timeout,,44-54,,
2:40.0,J. Teague makes free throw 1 of 1,1,45-54,,
2:30.0,,,45-54,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by G. Dieng,,45-54,,
2:20.0,A. Wiggins misses 2-pt shot from 4 ft (block by K. Caldwell-Pope),,45-54,,
2:17.0,,,45-54,,Defensive rebound by J. Hart
2:15.0,Shooting block foul by J. Teague (drawn by J. Randle),,45-54,,
2:15.0,,,45-55,1,J. Randle makes free throw 1 of 2
2:15.0,,,45-56,1,J. Randle makes free throw 2 of 2
2:04.0,J. Crawford misses 2-pt shot from 10 ft,,45-56,,
1:58.0,Offensive rebound by T. Gibson,,45-56,,
1:58.0,T. Gibson misses 2-pt shot at rim,,45-56,,
1:58.0,Offensive rebound by A. Wiggins,,45-56,,
1:53.0,J. Crawford misses 3-pt shot from 27 ft,,45-56,,
1:49.0,Offensive rebound by G. Dieng,,45-56,,
1:44.0,G. Dieng makes 3-pt shot from 24 ft,3,48-56,,
1:33.0,,,48-56,,J. Randle misses 2-pt shot from 4 ft (block by T. Gibson)
1:30.0,Defensive rebound by J. Teague,,48-56,,
1:26.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Teague),2,50-56,,
1:02.0,,,50-56,,Shooting foul by J. Crawford (drawn by J. Hart)
1:02.0,,,50-57,1,J. Hart makes free throw 1 of 2
1:02.0,N. Bjelica enters the game for J. Crawford,,50-57,,
1:02.0,Violation by T. Gibson (lane),,50-57,,
1:02.0,,,50-58,1,J. Hart makes free throw 2 of 2
0:47.0,J. Teague misses 2-pt shot from 6 ft,,50-58,,
0:45.0,,,50-58,,Defensive rebound by J. Hart
0:41.0,,,50-58,,J. Randle misses 2-pt shot from 4 ft
0:41.0,,,50-58,,Offensive rebound by J. Hart
0:36.0,,,50-58,,J. Hart misses 2-pt shot at rim
0:36.0,,,50-58,,Offensive rebound by K. Caldwell-Pope
0:30.0,,,50-58,,K. Caldwell-Pope misses 2-pt shot from 1 ft
0:25.0,Defensive rebound by G. Dieng,,50-58,,
0:24.0,,,50-58,,Personal foul by J. Randle (drawn by T. Gibson)
0:24.0,T. Gibson makes free throw 1 of 2,1,51-58,,
0:24.0,T. Gibson misses free throw 2 of 2,,51-58,,
0:23.0,,,51-58,,Defensive rebound by J. Hart
0:00.0,,,51-58,,K. Caldwell-Pope misses 2-pt shot from 4 ft
0:00.0,,,51-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,51-58,,Turnover by K. Kuzma (bad pass; steal by K. Towns)
11:23.0,J. Butler makes 2-pt shot from 11 ft,2,53-58,,
10:59.0,,,53-58,,B. Lopez misses 2-pt shot from 5 ft
10:57.0,Defensive rebound by A. Wiggins,,53-58,,
10:39.0,J. Butler misses 2-pt shot from 3 ft (block by K. Kuzma),,53-58,,
10:36.0,,,53-58,,Defensive rebound by A. Caruso
10:28.0,,,53-58,,K. Kuzma misses 2-pt shot from 2 ft
10:25.0,Defensive rebound by K. Towns,,53-58,,
10:22.0,Shooting foul by A. Caruso (drawn by J. Teague),,53-58,,
10:22.0,J. Teague makes free throw 1 of 2,1,54-58,,
10:22.0,J. Teague makes free throw 2 of 2,1,55-58,,
10:11.0,,,55-58,,Offensive charge foul by K. Kuzma (drawn by K. Towns)
10:11.0,,,55-58,,Turnover by K. Kuzma (offensive foul)
9:56.0,T. Gibson makes 2-pt shot from 3 ft (assist by A. Wiggins),2,57-58,,
9:40.0,,,57-58,,Shooting foul by T. Gibson (drawn by J. Randle)
9:40.0,,,57-59,1,J. Randle makes free throw 1 of 2
9:40.0,,,57-60,1,J. Randle makes free throw 2 of 2
9:18.0,K. Towns misses 2-pt shot from 5 ft,,57-60,,
9:16.0,,,57-60,,Defensive rebound by K. Kuzma
9:10.0,,,57-60,,K. Kuzma misses 3-pt shot from 27 ft
9:06.0,Defensive rebound by K. Towns,,57-60,,
9:02.0,J. Butler makes 2-pt shot from 2 ft (assist by J. Teague),2,59-60,,
9:02.0,Shooting foul by K. Kuzma (drawn by J. Butler),,59-60,,
9:02.0,J. Butler misses free throw 1 of 1,,59-60,,
9:02.0,,,59-60,,Defensive rebound by J. Randle
8:51.0,,,59-60,,Turnover by J. Randle (lost ball; steal by A. Wiggins)
8:51.0,,,59-60,,Loose ball foul by J. Randle (drawn by A. Wiggins)
8:33.0,A. Wiggins misses 2-pt shot from 15 ft,,59-60,,
8:30.0,Offensive rebound by A. Wiggins,,59-60,,
8:28.0,A. Wiggins makes 2-pt shot from 1 ft,2,61-60,,
8:04.0,,,61-62,2,J. Randle makes 2-pt shot from 2 ft
7:49.0,J. Teague makes 2-pt shot from 7 ft,2,63-62,,
7:28.0,,,63-62,,A. Caruso misses 2-pt shot from 16 ft
7:25.0,,,63-62,,Offensive rebound by J. Randle
7:25.0,,,63-64,2,J. Randle makes 2-pt shot at rim
7:15.0,K. Towns misses 3-pt shot from 26 ft,,63-64,,
7:13.0,,,63-64,,Defensive rebound by J. Randle
7:08.0,,,63-64,,K. Caldwell-Pope misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by T. Gibson,,63-64,,
6:48.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Teague),2,65-64,,
6:34.0,,,65-64,,Turnover by J. Randle (bad pass; steal by J. Butler)
6:31.0,J. Butler makes 2-pt shot from 1 ft,2,67-64,,
6:31.0,,,67-64,,LA Lakers full timeout
6:31.0,,,67-64,,J. Hart enters the game for K. Kuzma
6:31.0,N. Bjelica enters the game for J. Butler,,67-64,,
6:21.0,,,67-66,2,A. Caruso makes 2-pt shot from 2 ft
6:01.0,J. Teague makes 3-pt shot from 26 ft (assist by A. Wiggins),3,70-66,,
5:34.0,,,70-66,,A. Caruso misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by K. Towns,,70-66,,
5:08.0,J. Teague misses 3-pt shot from 26 ft,,70-66,,
5:06.0,,,70-66,,Defensive rebound by B. Lopez
5:00.0,,,70-66,,J. Hart misses 2-pt shot from 4 ft (block by K. Towns)
5:00.0,,,70-66,,Offensive rebound by Team
5:00.0,,,70-66,,T. Ennis enters the game for A. Caruso
4:53.0,,,70-66,,Turnover by B. Lopez (traveling)
4:38.0,J. Teague misses 2-pt shot from 6 ft,,70-66,,
4:34.0,Offensive rebound by T. Gibson,,70-66,,
4:32.0,T. Gibson misses 2-pt shot from 2 ft,,70-66,,
4:32.0,Offensive rebound by T. Gibson,,70-66,,
4:23.0,T. Gibson misses 2-pt shot from 2 ft,,70-66,,
4:23.0,,,70-66,,Defensive rebound by J. Randle
4:19.0,,,70-66,,J. Hart misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by A. Wiggins,,70-66,,
4:10.0,A. Wiggins makes 3-pt shot from 26 ft (assist by J. Teague),3,73-66,,
3:53.0,,,73-68,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
3:25.0,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague),3,76-68,,
3:08.0,,,76-68,,K. Caldwell-Pope misses 2-pt shot from 22 ft
3:02.0,Defensive rebound by K. Towns,,76-68,,
2:44.0,A. Wiggins misses 3-pt shot from 27 ft,,76-68,,
2:39.0,Offensive rebound by N. Bjelica,,76-68,,
2:37.0,T. Gibson misses 2-pt shot from 16 ft,,76-68,,
2:33.0,,,76-68,,Defensive rebound by J. Randle
2:22.0,,,76-68,,J. Randle misses 2-pt shot from 5 ft (block by T. Gibson)
2:19.0,Defensive rebound by N. Bjelica,,76-68,,
2:13.0,J. Teague misses 2-pt shot from 5 ft,,76-68,,
2:12.0,Offensive rebound by K. Towns,,76-68,,
2:12.0,K. Towns makes 2-pt shot at rim,2,78-68,,
2:12.0,,,78-68,,LA Lakers full timeout
2:12.0,,,78-68,,C. Frye enters the game for K. Caldwell-Pope
2:12.0,,,78-68,,T. Wear enters the game for B. Lopez
2:12.0,,,78-68,,I. Zubac enters the game for J. Randle
2:12.0,T. Jones enters the game for J. Teague,,78-68,,
1:48.0,,,78-68,,I. Zubac misses 2-pt shot from 13 ft
1:48.0,,,78-68,,Offensive rebound by Team
1:48.0,,,78-68,,Turnover by Team (shot clock)
1:38.0,K. Towns misses 3-pt shot from 25 ft,,78-68,,
1:33.0,,,78-68,,Defensive rebound by J. Hart
1:29.0,,,78-68,,Turnover by J. Hart (lost ball; steal by N. Bjelica)
1:26.0,,,78-68,,Personal foul by T. Ennis (drawn by T. Jones)
1:26.0,G. Dieng enters the game for K. Towns,,78-68,,
1:16.0,G. Dieng makes 2-pt shot from 21 ft (assist by A. Wiggins),2,80-68,,
1:01.0,,,80-68,,Shooting foul by G. Dieng (drawn by I. Zubac)
1:01.0,,,80-69,1,I. Zubac makes free throw 1 of 2
1:01.0,J. Crawford enters the game for T. Gibson,,80-69,,
1:01.0,,,80-70,1,I. Zubac makes free throw 2 of 2
0:48.0,N. Bjelica misses 3-pt shot from 26 ft,,80-70,,
0:45.0,,,80-70,,Defensive rebound by J. Hart
0:39.0,,,80-70,,T. Wear misses 2-pt shot from 18 ft
0:39.0,,,80-70,,Offensive rebound by T. Ennis
0:33.0,,,80-70,,J. Hart misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by Team,,80-70,,
0:15.0,A. Wiggins misses 2-pt shot from 2 ft,,80-70,,
0:13.0,,,80-70,,Defensive rebound by J. Hart
0:00.0,,,80-73,3,J. Hart makes 3-pt shot from 26 ft (assist by C. Frye)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,T. Jones makes 3-pt shot from 23 ft (assist by N. Bjelica),3,83-73,,
11:34.0,J. Crawford makes technical free throw,1,84-73,,
11:18.0,,,84-73,,T. Ennis misses 2-pt shot from 3 ft (block by K. Towns)
11:17.0,,,84-73,,Offensive rebound by I. Zubac
11:14.0,,,84-75,2,I. Zubac makes 2-pt shot from 6 ft
10:54.0,N. Bjelica misses 3-pt shot from 26 ft,,84-75,,
10:52.0,,,84-75,,Defensive rebound by I. Zubac
10:42.0,,,84-75,,I. Zubac misses 2-pt shot from 9 ft
10:42.0,Defensive rebound by K. Towns,,84-75,,
10:29.0,J. Butler makes 2-pt shot from 3 ft (assist by J. Crawford),2,86-75,,
10:29.0,Shooting foul by T. Wear (drawn by J. Butler),,86-75,,
10:29.0,J. Butler makes free throw 1 of 1,1,87-75,,
10:11.0,,,87-75,,Turnover by C. Frye (bad pass; steal by K. Towns)
10:02.0,Shooting foul by I. Zubac (drawn by K. Towns),,87-75,,
10:02.0,K. Towns makes free throw 1 of 2,1,88-75,,
10:02.0,K. Towns makes free throw 2 of 2,1,89-75,,
9:45.0,,,89-75,,T. Ennis misses 2-pt shot from 1 ft
9:41.0,,,89-75,,Offensive rebound by I. Zubac
9:41.0,,,89-75,,I. Zubac misses 2-pt shot at rim
9:41.0,Defensive rebound by K. Towns,,89-75,,
9:40.0,J. Butler makes 2-pt shot at rim (assist by T. Jones),2,91-75,,
9:24.0,Personal foul by T. Jones (drawn by I. Zubac),,91-75,,
9:14.0,,,91-75,,Turnover by J. Hart (bad pass; steal by J. Butler)
8:57.0,K. Towns makes 2-pt shot from 2 ft (assist by T. Jones),2,93-75,,
8:57.0,Shooting foul by I. Zubac (drawn by K. Towns),,93-75,,
8:57.0,,,93-75,,K. Caldwell-Pope enters the game for J. Hart
8:57.0,K. Towns makes free throw 1 of 1,1,94-75,,
8:41.0,,,94-75,,T. Ennis misses 2-pt shot from 2 ft
8:38.0,Defensive rebound by J. Butler,,94-75,,
8:33.0,,,94-75,,G. Payton enters the game for T. Wear
8:31.0,K. Towns misses 2-pt shot from 7 ft,,94-75,,
8:31.0,Offensive rebound by Team,,94-75,,
8:31.0,,,94-75,,J. Randle enters the game for C. Frye
8:15.0,T. Jones misses 3-pt shot from 27 ft,,94-75,,
8:11.0,,,94-75,,Defensive rebound by J. Randle
8:01.0,,,94-75,,Shooting foul by T. Jones (drawn by T. Ennis)
8:01.0,,,94-75,,T. Ennis misses free throw 1 of 2
8:01.0,,,94-75,,Offensive rebound by Team
8:01.0,J. Teague enters the game for T. Jones,,94-75,,
8:01.0,T. Gibson enters the game for N. Bjelica,,94-75,,
8:01.0,,,94-76,1,T. Ennis makes free throw 2 of 2
7:40.0,J. Crawford makes 2-pt shot from 17 ft,2,96-76,,
7:29.0,,,96-79,3,T. Ennis makes 3-pt shot from 25 ft
