time,LA Clippers,pts.away,score,pts.home,Boston
6:18.0,A. Bradley misses 2-pt shot from 5 ft (block by A. Baynes),,14-10,,
6:17.0,,,14-10,,Defensive rebound by M. Morris
6:02.0,,,14-10,,A. Horford misses 2-pt shot from 5 ft
5:59.0,Defensive rebound by D. Jordan,,14-10,,
5:53.0,T. Harris misses 2-pt shot from 19 ft,,14-10,,
5:52.0,Offensive rebound by D. Jordan,,14-10,,
5:52.0,D. Jordan makes 2-pt shot at rim,2,16-10,,
5:39.0,,,16-13,3,K. Irving makes 3-pt shot from 27 ft
5:19.0,T. Harris misses 2-pt shot from 15 ft,,16-13,,
5:18.0,,,16-13,,Defensive rebound by M. Morris
5:09.0,,,16-15,2,A. Baynes makes 2-pt shot at rim (assist by K. Irving)
4:58.0,LA Clippers full timeout,,16-15,,
4:58.0,,,16-15,,T. Rozier enters the game for J. Brown
4:58.0,L. Williams enters the game for A. Bradley,,16-15,,
4:47.0,T. Harris makes 3-pt shot from 22 ft (assist by A. Rivers),3,19-15,,
4:36.0,,,19-15,,K. Irving misses 2-pt shot from 1 ft
4:35.0,Defensive rebound by D. Jordan,,19-15,,
4:23.0,L. Williams misses 3-pt shot from 22 ft,,19-15,,
4:20.0,,,19-15,,Defensive rebound by M. Morris
4:13.0,,,19-15,,A. Baynes misses 2-pt shot from 16 ft
4:11.0,Defensive rebound by D. Gallinari,,19-15,,
4:03.0,D. Gallinari misses 3-pt shot from 25 ft,,19-15,,
4:02.0,D. Jordan misses 2-pt shot from 1 ft,,19-15,,
4:02.0,Offensive rebound by D. Jordan,,19-15,,
4:00.0,,,19-15,,Defensive rebound by K. Irving
3:54.0,,,19-15,,A. Horford misses 2-pt shot from 5 ft
3:50.0,Defensive rebound by T. Harris,,19-15,,
3:43.0,D. Jordan makes 2-pt shot at rim (assist by T. Harris),2,21-15,,
3:29.0,,,21-15,,M. Morris misses 2-pt shot from 21 ft
3:26.0,Defensive rebound by T. Harris,,21-15,,
3:20.0,T. Harris misses 3-pt shot from 26 ft,,21-15,,
3:20.0,,,21-15,,Defensive rebound by A. Baynes
3:10.0,,,21-15,,K. Irving misses 2-pt shot from 9 ft
3:06.0,Defensive rebound by A. Rivers,,21-15,,
3:00.0,A. Rivers makes 2-pt shot from 11 ft,2,23-15,,
2:42.0,,,23-15,,T. Rozier misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by Team,,23-15,,
2:40.0,,,23-15,,D. Theis enters the game for A. Horford
2:40.0,,,23-15,,G. Monroe enters the game for A. Baynes
2:40.0,W. Johnson enters the game for D. Gallinari,,23-15,,
2:40.0,M. Teodosic enters the game for A. Rivers,,23-15,,
2:29.0,T. Harris makes 2-pt shot from 1 ft,2,25-15,,
2:29.0,Shooting foul by D. Theis (drawn by T. Harris),,25-15,,
2:29.0,T. Harris makes free throw 1 of 1,1,26-15,,
2:17.0,,,26-15,,K. Irving misses 2-pt shot from 18 ft
2:14.0,Defensive rebound by D. Jordan,,26-15,,
2:08.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,28-15,,
1:53.0,,,28-17,2,G. Monroe makes 2-pt shot at rim (assist by M. Morris)
1:45.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,30-17,,
1:45.0,Shooting foul by M. Morris (drawn by D. Jordan),,30-17,,
1:45.0,,,30-17,,J. Tatum enters the game for K. Irving
1:45.0,D. Jordan makes free throw 1 of 1,1,31-17,,
1:30.0,,,31-17,,Shooting foul by D. Jordan (drawn by G. Monroe)
1:30.0,,,31-18,1,G. Monroe makes free throw 1 of 2
1:30.0,M. Harrell enters the game for D. Jordan,,31-18,,
1:30.0,,,31-19,1,G. Monroe makes free throw 2 of 2
1:16.0,T. Harris misses 2-pt shot from 2 ft,,31-19,,
1:13.0,,,31-19,,Defensive rebound by G. Monroe
1:11.0,,,31-21,2,T. Rozier makes 2-pt shot from 1 ft
0:59.0,L. Williams misses 2-pt shot from 1 ft (block by G. Monroe),,31-21,,
0:57.0,,,31-21,,Defensive rebound by T. Rozier
0:54.0,,,31-21,,J. Tatum misses 3-pt shot from 23 ft
0:54.0,Defensive rebound by W. Johnson,,31-21,,
0:42.0,Turnover by T. Harris (bad pass; steal by M. Morris),,31-21,,
0:38.0,,,31-23,2,J. Tatum makes 2-pt shot at rim (assist by T. Rozier)
0:18.0,M. Teodosic makes 3-pt shot from 26 ft (assist by L. Williams),3,34-23,,
0:04.0,,,34-23,,T. Rozier misses 3-pt shot from 25 ft
0:01.0,,,34-23,,Offensive rebound by D. Theis
0:01.0,Personal foul by L. Williams (drawn by D. Theis),,34-23,,
0:01.0,,,34-24,1,D. Theis makes free throw 1 of 2
0:01.0,,,34-25,1,D. Theis makes free throw 2 of 2
0:01.0,L. Williams misses 3-pt shot from 48 ft,,34-25,,
0:01.0,Offensive rebound by Team,,34-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,34-25,,G. Monroe misses 2-pt shot from 6 ft
11:36.0,,,34-25,,Offensive rebound by D. Theis
11:35.0,,,34-25,,D. Theis misses 2-pt shot from 7 ft
11:35.0,Defensive rebound by D. Gallinari,,34-25,,
11:24.0,Shooting foul by G. Monroe (drawn by D. Gallinari),,34-25,,
11:24.0,D. Gallinari makes free throw 1 of 2,1,35-25,,
11:24.0,,,35-25,,J. Brown enters the game for G. Monroe
11:24.0,D. Gallinari makes free throw 2 of 2,1,36-25,,
11:10.0,,,36-25,,J. Tatum misses 2-pt shot from 2 ft (block by L. Williams)
11:10.0,Defensive rebound by Team,,36-25,,
10:49.0,L. Williams misses 3-pt shot from 23 ft,,36-25,,
10:45.0,,,36-25,,Defensive rebound by M. Morris
10:24.0,,,36-25,,D. Theis misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by L. Williams,,36-25,,
10:13.0,M. Teodosic misses 3-pt shot from 25 ft,,36-25,,
10:10.0,,,36-25,,Defensive rebound by D. Theis
10:02.0,,,36-25,,J. Brown misses 2-pt shot from 1 ft
10:02.0,,,36-25,,Offensive rebound by Team
9:51.0,Personal foul by M. Teodosic (drawn by T. Rozier),,36-25,,
9:45.0,,,36-25,,T. Rozier misses 2-pt shot from 6 ft (block by M. Harrell)
9:45.0,,,36-25,,Offensive rebound by J. Brown
9:40.0,,,36-25,,J. Brown misses 2-pt shot from 15 ft
9:40.0,Defensive rebound by M. Harrell,,36-25,,
9:35.0,A. Bradley makes 2-pt shot from 2 ft (assist by M. Teodosic),2,38-25,,
9:35.0,,,38-25,,Boston full timeout
9:24.0,,,38-25,,Shooting foul by M. Teodosic (drawn by J. Brown)
9:24.0,,,38-26,1,J. Brown makes free throw 1 of 2
9:24.0,,,38-27,1,J. Brown makes free throw 2 of 2
9:12.0,M. Harrell misses 2-pt shot from 9 ft (block by D. Theis),,38-27,,
9:09.0,,,38-27,,Defensive rebound by M. Morris
9:00.0,,,38-29,2,T. Rozier makes 2-pt shot from 15 ft
8:54.0,Turnover by M. Teodosic (bad pass),,38-29,,
8:47.0,,,38-32,3,M. Morris makes 3-pt shot from 25 ft (assist by T. Rozier)
8:29.0,,,38-32,,Personal foul by J. Tatum (drawn by L. Williams)
8:22.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,40-32,,
8:22.0,Shooting foul by M. Morris (drawn by M. Harrell),,40-32,,
8:22.0,A. Rivers enters the game for M. Teodosic,,40-32,,
8:22.0,M. Harrell makes free throw 1 of 1,1,41-32,,
8:07.0,,,41-32,,T. Rozier misses 3-pt shot from 24 ft
8:03.0,,,41-32,,Offensive rebound by D. Theis
8:01.0,,,41-35,3,M. Morris makes 3-pt shot from 24 ft (assist by D. Theis)
7:48.0,L. Williams makes 2-pt shot from 8 ft (assist by M. Harrell),2,43-35,,
7:31.0,,,43-35,,M. Morris misses 2-pt shot from 2 ft
7:30.0,Defensive rebound by A. Bradley,,43-35,,
7:28.0,M. Harrell makes 2-pt shot from 1 ft (assist by A. Bradley),2,45-35,,
7:28.0,Shooting foul by D. Theis (drawn by M. Harrell),,45-35,,
7:28.0,,,45-35,,K. Irving enters the game for J. Tatum
7:28.0,,,45-35,,A. Horford enters the game for D. Theis
7:28.0,M. Harrell misses free throw 1 of 1,,45-35,,
7:28.0,,,45-35,,Defensive rebound by J. Brown
7:11.0,,,45-35,,M. Morris misses 2-pt shot from 1 ft (block by M. Harrell)
7:09.0,Defensive rebound by A. Rivers,,45-35,,
7:03.0,D. Gallinari misses 2-pt shot from 2 ft (block by A. Horford),,45-35,,
6:58.0,,,45-35,,Defensive rebound by M. Morris
6:54.0,,,45-37,2,A. Horford makes 2-pt shot at rim (assist by T. Rozier)
6:31.0,M. Harrell misses 2-pt shot from 6 ft,,45-37,,
6:29.0,,,45-37,,Defensive rebound by M. Morris
6:19.0,,,45-39,2,K. Irving makes 2-pt shot from 11 ft
5:59.0,Turnover by A. Rivers (bad pass; steal by J. Brown),,45-39,,
5:54.0,,,45-39,,M. Morris misses 3-pt shot from 23 ft
5:51.0,Defensive rebound by D. Gallinari,,45-39,,
5:42.0,L. Williams misses 3-pt shot from 26 ft,,45-39,,
5:38.0,,,45-39,,Defensive rebound by A. Horford
5:33.0,Personal foul by M. Harrell (drawn by A. Horford),,45-39,,
5:33.0,T. Harris enters the game for M. Harrell,,45-39,,
5:33.0,D. Jordan enters the game for A. Bradley,,45-39,,
5:27.0,,,45-41,2,A. Horford makes 2-pt shot from 19 ft (assist by T. Rozier)
5:17.0,LA Clippers full timeout,,45-41,,
5:17.0,,,45-41,,A. Baynes enters the game for M. Morris
5:03.0,D. Jordan makes 2-pt shot at rim (assist by D. Gallinari),2,47-41,,
4:50.0,,,47-41,,Offensive foul by A. Baynes (drawn by A. Rivers)
4:50.0,,,47-41,,Turnover by A. Baynes (offensive foul)
4:50.0,M. Teodosic enters the game for L. Williams,,47-41,,
4:49.0,,,47-41,,Personal take foul by A. Baynes (drawn by D. Jordan)
4:49.0,D. Jordan misses free throw 1 of 2,,47-41,,
4:49.0,Offensive rebound by Team,,47-41,,
4:49.0,D. Jordan makes free throw 2 of 2,1,48-41,,
4:28.0,,,48-41,,A. Horford misses 2-pt shot from 13 ft
4:27.0,Defensive rebound by Team,,48-41,,
4:27.0,,,48-41,,Loose ball foul by A. Baynes (drawn by D. Gallinari)
4:27.0,D. Gallinari makes free throw 1 of 2,1,49-41,,
4:27.0,,,49-41,,M. Morris enters the game for A. Baynes
4:27.0,D. Gallinari makes free throw 2 of 2,1,50-41,,
4:07.0,,,50-43,2,K. Irving makes 2-pt shot from 21 ft
3:54.0,A. Rivers misses 3-pt shot from 25 ft,,50-43,,
3:52.0,,,50-43,,Defensive rebound by J. Brown
3:43.0,,,50-43,,J. Brown misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by D. Jordan,,50-43,,
3:30.0,D. Gallinari makes 2-pt shot from 12 ft (assist by M. Teodosic),2,52-43,,
3:09.0,,,52-43,,A. Horford misses 3-pt shot from 23 ft
3:07.0,Defensive rebound by D. Jordan,,52-43,,
2:59.0,A. Rivers makes 3-pt shot from 22 ft (assist by M. Teodosic),3,55-43,,
2:47.0,Personal foul by A. Rivers (drawn by K. Irving),,55-43,,
2:47.0,,,55-43,,J. Tatum enters the game for T. Rozier
2:39.0,,,55-43,,Turnover by A. Horford (traveling)
2:24.0,Shooting foul by M. Morris (drawn by D. Gallinari),,55-43,,
2:24.0,D. Gallinari makes free throw 1 of 2,1,56-43,,
2:24.0,D. Gallinari makes free throw 2 of 2,1,57-43,,
2:14.0,,,57-45,2,K. Irving makes 2-pt shot from 7 ft
2:02.0,T. Harris makes 2-pt shot from 1 ft,2,59-45,,
1:52.0,,,59-47,2,K. Irving makes 2-pt shot from 14 ft
1:34.0,D. Gallinari misses 3-pt shot from 26 ft,,59-47,,
1:33.0,,,59-47,,Defensive rebound by J. Brown
1:27.0,,,59-49,2,J. Brown makes 2-pt shot at rim
1:09.0,M. Teodosic makes 2-pt shot from 20 ft (assist by D. Jordan),2,61-49,,
0:53.0,,,61-51,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Irving)
0:40.0,M. Teodosic misses 2-pt shot from 2 ft,,61-51,,
0:35.0,,,61-51,,Defensive rebound by M. Morris
0:33.0,,,61-54,3,K. Irving makes 3-pt shot from 26 ft (assist by M. Morris)
0:10.0,D. Jordan misses 2-pt shot from 2 ft (block by A. Horford),,61-54,,
0:09.0,Offensive rebound by M. Teodosic,,61-54,,
0:09.0,M. Teodosic misses 2-pt shot from 12 ft,,61-54,,
0:08.0,Offensive rebound by Team,,61-54,,
0:08.0,Turnover by Team (shot clock),,61-54,,
0:08.0,,,61-54,,T. Rozier enters the game for A. Horford
0:08.0,A. Bradley enters the game for M. Teodosic,,61-54,,
0:08.0,W. Johnson enters the game for D. Gallinari,,61-54,,
0:01.0,,,61-57,3,T. Rozier makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,61-57,,A. Baynes misses 2-pt shot at rim
11:44.0,,,61-57,,Offensive rebound by A. Baynes
11:44.0,,,61-59,2,A. Baynes makes 2-pt shot at rim
11:29.0,Turnover by A. Bradley (traveling),,61-59,,
11:16.0,,,61-61,2,J. Brown makes 2-pt shot from 5 ft (assist by A. Baynes)
11:01.0,A. Bradley makes 2-pt shot from 15 ft,2,63-61,,
10:43.0,,,63-63,2,A. Baynes makes 2-pt shot from 7 ft (assist by K. Irving)
10:28.0,A. Bradley misses 2-pt shot from 16 ft,,63-63,,
10:25.0,,,63-63,,Defensive rebound by J. Tatum
10:22.0,,,63-63,,Shooting foul by T. Harris (drawn by K. Irving)
10:22.0,,,63-64,1,K. Irving makes free throw 1 of 2
10:22.0,,,63-65,1,K. Irving makes free throw 2 of 2
10:03.0,A. Rivers misses 3-pt shot from 27 ft,,63-65,,
10:02.0,Offensive rebound by Team,,63-65,,
10:02.0,,,63-65,,Personal foul by A. Baynes (drawn by D. Jordan)
9:58.0,A. Rivers misses 3-pt shot from 25 ft,,63-65,,
9:54.0,,,63-65,,Defensive rebound by A. Horford
9:48.0,,,63-65,,J. Tatum misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by D. Jordan,,63-65,,
9:30.0,A. Bradley makes 2-pt shot from 1 ft,2,65-65,,
9:14.0,,,65-67,2,J. Tatum makes 2-pt shot from 2 ft (assist by K. Irving)
8:55.0,,,65-67,,Personal foul by J. Brown (drawn by A. Bradley)
8:39.0,A. Rivers makes 2-pt shot from 3 ft,2,67-67,,
8:26.0,,,67-67,,Turnover by K. Irving (bad pass; steal by D. Jordan)
8:13.0,T. Harris misses 2-pt shot from 15 ft,,67-67,,
8:10.0,,,67-67,,Defensive rebound by A. Baynes
8:05.0,Personal foul by A. Rivers (drawn by J. Brown),,67-67,,
8:01.0,,,67-70,3,K. Irving makes 3-pt shot from 26 ft (assist by A. Baynes)
7:45.0,A. Rivers misses 2-pt shot from 3 ft (block by A. Baynes),,67-70,,
7:43.0,Offensive rebound by D. Jordan,,67-70,,
7:43.0,D. Jordan makes 2-pt shot at rim,2,69-70,,
7:37.0,,,69-70,,Offensive charge foul by J. Brown (drawn by D. Gallinari)
7:37.0,,,69-70,,Turnover by J. Brown (offensive foul)
7:37.0,,,69-70,,T. Rozier enters the game for K. Irving
7:28.0,,,69-70,,Personal foul by A. Baynes (drawn by D. Gallinari)
7:28.0,,,69-70,,G. Monroe enters the game for A. Baynes
7:28.0,L. Williams enters the game for A. Bradley,,69-70,,
7:14.0,D. Gallinari makes 3-pt shot from 26 ft (assist by A. Rivers),3,72-70,,
6:57.0,,,72-70,,J. Brown misses 2-pt shot from 3 ft
6:55.0,,,72-70,,Offensive rebound by G. Monroe
6:49.0,,,72-70,,A. Horford misses 2-pt shot from 13 ft
6:49.0,Defensive rebound by D. Jordan,,72-70,,
6:42.0,,,72-70,,Personal foul by J. Tatum (drawn by D. Jordan)
6:42.0,,,72-70,,Boston full timeout
6:42.0,,,72-70,,K. Irving enters the game for J. Tatum
6:35.0,D. Jordan makes 2-pt shot at rim (assist by A. Rivers),2,74-70,,
6:17.0,,,74-70,,Shooting foul by T. Harris (drawn by A. Horford)
6:17.0,,,74-71,1,A. Horford makes free throw 1 of 2
6:17.0,,,74-72,1,A. Horford makes free throw 2 of 2
6:07.0,Turnover by D. Jordan (bad pass; steal by G. Monroe),,74-72,,
6:05.0,Personal foul by D. Jordan (drawn by K. Irving),,74-72,,
5:54.0,,,74-72,,J. Brown misses 3-pt shot from 23 ft
5:53.0,Defensive rebound by D. Jordan,,74-72,,
5:40.0,T. Harris misses 2-pt shot from 15 ft,,74-72,,
5:35.0,,,74-72,,Defensive rebound by G. Monroe
5:22.0,,,74-72,,T. Rozier misses 2-pt shot from 21 ft
5:20.0,Defensive rebound by T. Harris,,74-72,,
5:16.0,,,74-72,,Personal foul by T. Rozier (drawn by D. Gallinari)
5:16.0,D. Gallinari makes free throw 1 of 2,1,75-72,,
5:16.0,,,75-72,,M. Morris enters the game for A. Horford
5:16.0,D. Gallinari makes free throw 2 of 2,1,76-72,,
5:05.0,,,76-72,,Turnover by K. Irving (lost ball; steal by D. Jordan)
5:01.0,D. Gallinari misses 3-pt shot from 25 ft,,76-72,,
4:57.0,,,76-72,,Defensive rebound by M. Morris
4:48.0,Personal foul by D. Gallinari (drawn by T. Rozier),,76-72,,
4:48.0,,,76-72,,T. Rozier misses free throw 1 of 2
4:48.0,,,76-72,,Offensive rebound by Team
4:48.0,S. Dekker enters the game for D. Gallinari,,76-72,,
4:48.0,,,76-73,1,T. Rozier makes free throw 2 of 2
4:34.0,D. Jordan makes 2-pt shot at rim (assist by L. Williams),2,78-73,,
4:18.0,,,78-75,2,G. Monroe makes 2-pt shot from 1 ft (assist by K. Irving)
4:08.0,,,78-75,,Personal take foul by G. Monroe (drawn by D. Jordan)
4:08.0,D. Jordan makes free throw 1 of 2,1,79-75,,
4:08.0,D. Jordan makes free throw 2 of 2,1,80-75,,
3:57.0,Personal foul by A. Rivers (drawn by K. Irving),,80-75,,
3:57.0,,,80-76,1,K. Irving makes free throw 1 of 2
3:57.0,M. Teodosic enters the game for A. Rivers,,80-76,,
3:57.0,,,80-77,1,K. Irving makes free throw 2 of 2
3:47.0,Shooting foul by T. Rozier (drawn by L. Williams),,80-77,,
3:47.0,L. Williams makes free throw 1 of 2,1,81-77,,
3:47.0,L. Williams misses free throw 2 of 2,,81-77,,
3:47.0,,,81-77,,Defensive rebound by G. Monroe
3:36.0,,,81-79,2,K. Irving makes 2-pt shot from 17 ft
3:21.0,D. Jordan misses 2-pt shot from 3 ft (block by G. Monroe),,81-79,,
3:20.0,,,81-79,,Defensive rebound by Team
3:12.0,,,81-82,3,K. Irving makes 3-pt shot from 26 ft
2:57.0,L. Williams misses 2-pt shot from 20 ft,,81-82,,
2:55.0,,,81-82,,Defensive rebound by M. Morris
2:49.0,,,81-82,,K. Irving misses 3-pt shot from 27 ft
2:49.0,Defensive rebound by S. Dekker,,81-82,,
2:42.0,D. Jordan makes 2-pt shot at rim (assist by T. Harris),2,83-82,,
2:25.0,,,83-84,2,T. Rozier makes 2-pt shot from 17 ft
2:14.0,T. Harris makes 2-pt shot from 2 ft (assist by L. Williams),2,85-84,,
2:01.0,,,85-84,,T. Rozier misses 2-pt shot from 16 ft
2:00.0,,,85-84,,Offensive rebound by G. Monroe
1:59.0,,,85-84,,Shooting foul by D. Jordan (drawn by G. Monroe)
1:59.0,LA Clippers full timeout,,85-84,,
1:59.0,M. Harrell enters the game for D. Jordan,,85-84,,
1:59.0,A. Bradley enters the game for S. Dekker,,85-84,,
1:59.0,,,85-85,1,G. Monroe makes free throw 1 of 2
1:59.0,,,85-86,1,G. Monroe makes free throw 2 of 2
1:44.0,M. Teodosic makes 3-pt shot from 24 ft (assist by T. Harris),3,88-86,,
1:23.0,,,88-89,3,K. Irving makes 3-pt shot from 26 ft (assist by T. Rozier)
1:11.0,,,88-89,,Personal foul by K. Irving (drawn by M. Teodosic)
1:11.0,M. Teodosic makes free throw 1 of 2,1,89-89,,
1:11.0,,,89-89,,D. Theis enters the game for G. Monroe
1:11.0,M. Teodosic makes free throw 2 of 2,1,90-89,,
0:48.0,,,90-91,2,M. Morris makes 2-pt shot from 12 ft
0:40.0,T. Harris makes 3-pt shot from 25 ft (assist by M. Teodosic),3,93-91,,
0:27.0,,,93-91,,D. Theis misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by M. Harrell,,93-91,,
0:05.0,L. Williams misses 2-pt shot from 12 ft,,93-91,,
0:03.0,,,93-91,,Defensive rebound by D. Theis
0:01.0,,,93-91,,K. Irving misses 2-pt shot from 2 ft
0:01.0,,,93-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,L. Williams misses 3-pt shot from 25 ft,,93-91,,
11:48.0,,,93-91,,Defensive rebound by J. Tatum
11:30.0,,,93-94,3,A. Horford makes 3-pt shot from 26 ft (assist by J. Tatum)
11:07.0,,,93-94,,Personal foul by D. Theis (drawn by L. Williams)
11:03.0,Shooting foul by M. Morris (drawn by L. Williams),,93-94,,
11:03.0,L. Williams makes free throw 1 of 2,1,94-94,,
11:03.0,L. Williams makes free throw 2 of 2,1,95-94,,
10:44.0,,,95-94,,A. Horford misses 2-pt shot from 19 ft
10:41.0,Defensive rebound by D. Gallinari,,95-94,,
10:32.0,D. Gallinari misses 3-pt shot from 24 ft,,95-94,,
10:30.0,,,95-94,,Defensive rebound by J. Tatum
10:29.0,Personal foul by A. Bradley (drawn by J. Tatum),,95-94,,
10:20.0,,,95-94,,Shooting foul by M. Teodosic (drawn by M. Morris)
10:20.0,,,95-95,1,M. Morris makes free throw 1 of 2
10:20.0,,,95-96,1,M. Morris makes free throw 2 of 2
10:05.0,D. Gallinari misses 3-pt shot from 26 ft,,95-96,,
10:03.0,,,95-96,,Defensive rebound by T. Rozier
9:58.0,,,95-99,3,T. Rozier makes 3-pt shot from 26 ft
9:58.0,LA Clippers full timeout,,95-99,,
9:58.0,A. Rivers enters the game for M. Teodosic,,95-99,,
9:58.0,T. Harris enters the game for A. Bradley,,95-99,,
9:47.0,L. Williams makes 3-pt shot from 25 ft (assist by M. Harrell),3,98-99,,
9:29.0,,,98-99,,J. Tatum misses 2-pt shot from 10 ft
9:28.0,,,98-99,,Offensive rebound by Team
9:28.0,,,98-99,,K. Irving enters the game for D. Theis
9:18.0,,,98-99,,A. Horford misses 2-pt shot from 3 ft
9:16.0,Defensive rebound by D. Gallinari,,98-99,,
9:11.0,L. Williams makes 2-pt shot from 2 ft,2,100-99,,
9:11.0,Shooting foul by T. Rozier (drawn by L. Williams),,100-99,,
9:11.0,L. Williams makes free throw 1 of 1,1,101-99,,
8:59.0,,,101-99,,T. Rozier misses 2-pt shot from 4 ft (block by M. Harrell)
8:55.0,Defensive rebound by L. Williams,,101-99,,
8:52.0,L. Williams misses 2-pt shot from 3 ft,,101-99,,
8:49.0,,,101-99,,Defensive rebound by T. Rozier
8:42.0,,,101-99,,K. Irving misses 2-pt shot from 1 ft
8:39.0,Defensive rebound by T. Harris,,101-99,,
8:25.0,T. Harris makes 2-pt shot from 5 ft,2,103-99,,
8:08.0,,,103-99,,J. Tatum misses 2-pt shot from 3 ft (block by M. Harrell)
8:06.0,Defensive rebound by T. Harris,,103-99,,
8:06.0,,,103-99,,Personal foul by K. Irving (drawn by T. Harris)
8:06.0,,,103-99,,J. Brown enters the game for T. Rozier
7:51.0,L. Williams misses 3-pt shot from 26 ft,,103-99,,
7:50.0,Offensive rebound by M. Harrell,,103-99,,
7:49.0,M. Harrell makes 2-pt shot from 1 ft,2,105-99,,
7:49.0,,,105-99,,Boston full timeout
7:33.0,,,105-101,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Brown)
7:07.0,A. Rivers makes 3-pt shot from 25 ft,3,108-101,,
6:54.0,,,108-104,3,J. Brown makes 3-pt shot from 23 ft (assist by M. Morris)
6:26.0,L. Williams misses 3-pt shot from 24 ft,,108-104,,
6:22.0,,,108-104,,Defensive rebound by J. Brown
6:18.0,,,108-104,,K. Irving misses 2-pt shot from 2 ft
6:16.0,Defensive rebound by M. Harrell,,108-104,,
6:10.0,,,108-104,,Personal foul by J. Brown (drawn by M. Harrell)
6:10.0,M. Harrell makes free throw 1 of 2,1,109-104,,
