time,Denver,pts.away,score,pts.home,Memphis
9:36.0,Offensive rebound by Team,,17-37,,
9:36.0,N. Jokic makes free throw 2 of 2,1,18-37,,
9:22.0,,,18-39,2,D. Brooks makes 2-pt shot from 22 ft (assist by D. Davis)
9:05.0,N. Jokic makes 2-pt shot from 9 ft,2,20-39,,
8:58.0,,,20-39,,J. Green misses 3-pt shot from 23 ft
8:53.0,Defensive rebound by T. Craig,,20-39,,
8:49.0,J. Murray misses 3-pt shot from 26 ft,,20-39,,
8:48.0,,,20-39,,Defensive rebound by Team
8:48.0,Loose ball foul by N. Jokic (drawn by J. Martin),,20-39,,
8:35.0,,,20-39,,D. Brooks misses 2-pt shot from 6 ft
8:33.0,Defensive rebound by T. Lyles,,20-39,,
8:23.0,T. Craig makes 2-pt shot at rim (assist by T. Lyles),2,22-39,,
8:17.0,,,22-39,,Memphis full timeout
8:17.0,,,22-39,,M. Gasol enters the game for D. Davis
8:17.0,W. Barton enters the game for J. Murray,,22-39,,
7:56.0,,,22-39,,M. Gasol misses 2-pt shot from 9 ft
7:53.0,,,22-39,,Offensive rebound by J. Green
7:52.0,,,22-39,,J. Green misses 2-pt shot from 2 ft (block by W. Barton)
7:52.0,,,22-39,,Offensive rebound by Team
7:41.0,,,22-39,,M. Gasol misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by W. Barton,,22-39,,
7:34.0,Shooting foul by M. Gasol (drawn by N. Jokic),,22-39,,
7:34.0,N. Jokic makes free throw 1 of 2,1,23-39,,
7:34.0,N. Jokic misses free throw 2 of 2,,23-39,,
7:32.0,,,23-39,,Defensive rebound by J. Green
7:21.0,,,23-41,2,D. Brooks makes 2-pt shot from 1 ft
6:57.0,N. Jokic makes 2-pt shot from 6 ft,2,25-41,,
6:38.0,,,25-41,,M. Gasol misses 2-pt shot from 21 ft
6:36.0,Defensive rebound by T. Lyles,,25-41,,
6:23.0,T. Craig misses 2-pt shot from 1 ft,,25-41,,
6:21.0,Offensive rebound by T. Craig,,25-41,,
6:21.0,T. Craig makes 2-pt shot at rim,2,27-41,,
6:10.0,,,27-41,,Turnover by M. Chalmers (bad pass; steal by N. Jokic)
6:09.0,,,27-41,,Personal take foul by M. Chalmers (drawn by W. Barton)
6:09.0,,,27-41,,T. Evans enters the game for J. Martin
6:09.0,P. Millsap enters the game for T. Craig,,27-41,,
6:09.0,W. Chandler enters the game for T. Lyles,,27-41,,
5:58.0,Turnover by W. Barton (out of bounds lost ball),,27-41,,
5:50.0,,,27-43,2,J. Green makes 2-pt shot from 1 ft (assist by M. Chalmers)
5:35.0,Shooting foul by J. Green (drawn by P. Millsap),,27-43,,
5:35.0,P. Millsap makes free throw 1 of 2,1,28-43,,
5:35.0,P. Millsap misses free throw 2 of 2,,28-43,,
5:33.0,,,28-43,,Defensive rebound by J. Green
5:15.0,J. Murray enters the game for D. Harris,,28-43,,
5:10.0,,,28-46,3,T. Evans makes 3-pt shot from 26 ft
4:56.0,N. Jokic makes 2-pt shot from 1 ft,2,30-46,,
4:42.0,,,30-46,,J. Green misses 2-pt shot at rim
4:39.0,Defensive rebound by W. Barton,,30-46,,
4:35.0,W. Barton misses 2-pt shot from 11 ft,,30-46,,
4:30.0,,,30-46,,Defensive rebound by D. Brooks
4:25.0,,,30-46,,J. Green misses 2-pt shot from 1 ft
4:22.0,,,30-46,,Offensive rebound by D. Brooks
4:19.0,,,30-46,,Turnover by D. Brooks (lost ball; steal by J. Murray)
4:15.0,J. Murray makes 2-pt shot at rim,2,32-46,,
4:07.0,,,32-46,,Shooting foul by W. Barton (drawn by J. Green)
4:07.0,,,32-46,,J. Green misses free throw 1 of 2
4:07.0,,,32-46,,Offensive rebound by Team
4:07.0,,,32-47,1,J. Green makes free throw 2 of 2
3:49.0,P. Millsap misses 2-pt shot at rim,,32-47,,
3:48.0,,,32-47,,Defensive rebound by M. Gasol
3:45.0,,,32-47,,B. Weber enters the game for M. Chalmers
3:40.0,Personal foul by W. Chandler (drawn by T. Evans),,32-47,,
3:31.0,,,32-47,,T. Evans misses 3-pt shot from 26 ft
3:27.0,Defensive rebound by W. Barton,,32-47,,
3:17.0,W. Barton misses 2-pt shot from 6 ft (block by D. Brooks),,32-47,,
3:14.0,,,32-47,,Defensive rebound by D. Brooks
3:08.0,,,32-50,3,M. Gasol makes 3-pt shot from 25 ft (assist by D. Brooks)
2:51.0,W. Chandler makes 3-pt shot from 26 ft (assist by J. Murray),3,35-50,,
2:31.0,,,35-50,,J. Green misses 3-pt shot from 22 ft
2:30.0,Defensive rebound by N. Jokic,,35-50,,
2:21.0,W. Barton makes 2-pt shot at rim (assist by J. Murray),2,37-50,,
2:05.0,,,37-50,,M. Gasol misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by N. Jokic,,37-50,,
1:52.0,P. Millsap misses 3-pt shot from 23 ft,,37-50,,
1:49.0,,,37-50,,Defensive rebound by M. Gasol
1:46.0,,,37-50,,Memphis full timeout
1:46.0,,,37-50,,J. Martin enters the game for J. Green
1:46.0,,,37-50,,W. Selden enters the game for D. Brooks
1:34.0,,,37-52,2,T. Evans makes 2-pt shot from 3 ft
1:11.0,W. Barton makes 2-pt shot from 1 ft (assist by W. Chandler),2,39-52,,
1:09.0,Personal foul by J. Murray (drawn by B. Weber),,39-52,,
1:09.0,,,39-52,,B. Weber misses free throw 1 of 2
1:09.0,,,39-52,,Offensive rebound by Team
1:09.0,D. Harris enters the game for W. Barton,,39-52,,
1:09.0,,,39-53,1,B. Weber makes free throw 2 of 2
0:58.0,N. Jokic makes 3-pt shot from 25 ft (assist by J. Murray),3,42-53,,
0:46.0,,,42-53,,Turnover by T. Evans (bad pass; steal by J. Murray)
0:40.0,J. Murray makes 3-pt shot from 26 ft (assist by W. Chandler),3,45-53,,
0:25.0,,,45-53,,T. Evans misses 2-pt shot from 6 ft
0:22.0,,,45-53,,Offensive rebound by J. Martin
0:22.0,,,45-53,,J. Martin misses 2-pt shot at rim
0:22.0,Defensive rebound by P. Millsap,,45-53,,
0:05.0,J. Murray makes 2-pt shot from 1 ft,2,47-53,,
0:05.0,Shooting foul by M. Gasol (drawn by J. Murray),,47-53,,
0:05.0,M. Plumlee enters the game for N. Jokic,,47-53,,
0:05.0,J. Murray makes free throw 1 of 1,1,48-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,Shooting foul by T. Evans (drawn by J. Murray),,48-53,,
11:38.0,J. Murray makes free throw 1 of 2,1,49-53,,
11:38.0,J. Murray makes free throw 2 of 2,1,50-53,,
11:17.0,,,50-56,3,D. Brooks makes 3-pt shot from 25 ft (assist by T. Evans)
10:57.0,N. Jokic misses 3-pt shot from 25 ft,,50-56,,
10:55.0,,,50-56,,Defensive rebound by J. Martin
10:43.0,,,50-59,3,D. Brooks makes 3-pt shot from 25 ft (assist by T. Evans)
10:23.0,W. Barton misses 2-pt shot at rim,,50-59,,
10:22.0,Offensive rebound by W. Barton,,50-59,,
10:11.0,J. Murray misses 3-pt shot from 22 ft,,50-59,,
10:07.0,Offensive rebound by N. Jokic,,50-59,,
10:05.0,N. Jokic misses 2-pt shot from 6 ft,,50-59,,
10:05.0,,,50-59,,Defensive rebound by Team
10:05.0,Loose ball foul by N. Jokic (drawn by M. Gasol),,50-59,,
9:52.0,,,50-62,3,D. Brooks makes 3-pt shot from 25 ft (assist by M. Gasol)
9:51.0,Denver full timeout,,50-62,,
9:36.0,Shooting foul by J. Green (drawn by P. Millsap),,50-62,,
9:36.0,P. Millsap misses free throw 1 of 2,,50-62,,
9:36.0,Offensive rebound by Team,,50-62,,
9:36.0,P. Millsap misses free throw 2 of 2,,50-62,,
9:32.0,Offensive rebound by N. Jokic,,50-62,,
9:25.0,P. Millsap misses 3-pt shot from 24 ft,,50-62,,
9:25.0,,,50-62,,Defensive rebound by Team
9:10.0,,,50-62,,J. Green misses 2-pt shot at rim
9:08.0,,,50-62,,Offensive rebound by J. Green
9:06.0,,,50-62,,Turnover by J. Green (bad pass; steal by W. Chandler)
9:05.0,Shooting foul by D. Brooks (drawn by J. Murray),,50-62,,
9:05.0,J. Murray makes free throw 1 of 2,1,51-62,,
9:05.0,J. Murray makes free throw 2 of 2,1,52-62,,
8:51.0,Personal foul by W. Barton (drawn by D. Brooks),,52-62,,
8:45.0,,,52-62,,D. Brooks misses 2-pt shot from 16 ft
8:43.0,Defensive rebound by P. Millsap,,52-62,,
8:29.0,Shooting foul by J. Green (drawn by P. Millsap),,52-62,,
8:29.0,P. Millsap makes free throw 1 of 2,1,53-62,,
8:29.0,,,53-62,,W. Selden enters the game for J. Green
8:29.0,P. Millsap makes free throw 2 of 2,1,54-62,,
8:18.0,,,54-65,3,D. Brooks makes 3-pt shot from 25 ft (assist by M. Gasol)
7:58.0,Turnover by W. Barton (bad pass; steal by M. Gasol),,54-65,,
7:56.0,,,54-65,,Turnover by M. Gasol (bad pass; steal by N. Jokic)
7:55.0,N. Jokic misses 2-pt shot from 4 ft (block by W. Selden),,54-65,,
7:55.0,Offensive rebound by W. Barton,,54-65,,
7:52.0,W. Barton misses 2-pt shot from 6 ft,,54-65,,
7:52.0,Offensive rebound by Team,,54-65,,
7:34.0,J. Murray misses 2-pt shot from 15 ft,,54-65,,
7:31.0,Offensive rebound by N. Jokic,,54-65,,
7:31.0,,,54-65,,Personal foul by J. Martin (drawn by N. Jokic)
7:31.0,N. Jokic makes free throw 1 of 2,1,55-65,,
7:31.0,N. Jokic makes free throw 2 of 2,1,56-65,,
7:11.0,,,56-67,2,J. Martin makes 2-pt shot from 1 ft (assist by M. Gasol)
6:52.0,J. Murray misses 3-pt shot from 25 ft,,56-67,,
6:47.0,Offensive rebound by P. Millsap,,56-67,,
6:47.0,P. Millsap makes 2-pt shot at rim,2,58-67,,
6:37.0,,,58-67,,M. Gasol misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by P. Millsap,,58-67,,
6:19.0,J. Murray makes 2-pt shot at rim (assist by N. Jokic),2,60-67,,
6:19.0,,,60-67,,Memphis full timeout
6:19.0,,,60-67,,B. Weber enters the game for T. Evans
5:57.0,,,60-67,,D. Brooks misses 3-pt shot from 26 ft
5:54.0,Defensive rebound by N. Jokic,,60-67,,
5:33.0,W. Chandler misses 3-pt shot from 24 ft,,60-67,,
5:30.0,,,60-67,,Defensive rebound by B. Weber
5:12.0,,,60-69,2,W. Selden makes 2-pt shot from 20 ft
4:46.0,W. Barton misses 2-pt shot at rim (block by M. Gasol),,60-69,,
4:43.0,,,60-69,,Defensive rebound by W. Selden
4:37.0,,,60-69,,B. Weber misses 2-pt shot from 2 ft
4:35.0,Defensive rebound by N. Jokic,,60-69,,
4:28.0,J. Murray misses 2-pt shot from 13 ft,,60-69,,
4:25.0,,,60-69,,Defensive rebound by M. Gasol
4:20.0,Personal take foul by J. Murray (drawn by B. Weber),,60-69,,
4:20.0,,,60-69,,D. Davis enters the game for M. Gasol
4:20.0,D. Harris enters the game for W. Barton,,60-69,,
4:04.0,,,60-69,,Turnover by W. Selden (bad pass; steal by N. Jokic)
4:00.0,J. Murray makes 2-pt shot at rim (assist by P. Millsap),2,62-69,,
3:49.0,Personal foul by D. Harris (drawn by D. Brooks),,62-69,,
3:49.0,,,62-69,,T. Evans enters the game for D. Brooks
3:41.0,,,62-69,,J. Martin misses 3-pt shot from 23 ft
3:39.0,Defensive rebound by N. Jokic,,62-69,,
3:31.0,P. Millsap makes 2-pt shot from 11 ft,2,64-69,,
3:12.0,,,64-72,3,W. Selden makes 3-pt shot from 22 ft (assist by J. Martin)
2:59.0,Shooting foul by D. Davis (drawn by D. Harris),,64-72,,
2:59.0,D. Harris makes free throw 1 of 2,1,65-72,,
2:59.0,T. Lyles enters the game for N. Jokic,,65-72,,
2:59.0,D. Harris misses free throw 2 of 2,,65-72,,
2:56.0,,,65-72,,Defensive rebound by J. Martin
2:37.0,,,65-74,2,D. Davis makes 2-pt shot from 9 ft (assist by B. Weber)
2:17.0,J. Murray misses 2-pt shot from 4 ft (block by J. Martin),,65-74,,
2:15.0,,,65-74,,Defensive rebound by J. Martin
2:08.0,,,65-74,,Shooting foul by P. Millsap (drawn by D. Davis)
2:08.0,,,65-75,1,D. Davis makes free throw 1 of 2
2:08.0,,,65-75,,D. Brooks enters the game for J. Martin
2:08.0,,,65-76,1,D. Davis makes free throw 2 of 2
1:54.0,,,65-76,,Personal foul by D. Davis (drawn by P. Millsap)
1:54.0,P. Millsap makes free throw 1 of 2,1,66-76,,
1:54.0,T. Craig enters the game for W. Chandler,,66-76,,
1:54.0,P. Millsap makes free throw 2 of 2,1,67-76,,
1:43.0,Personal foul by J. Murray (drawn by T. Evans),,67-76,,
1:43.0,,,67-76,,T. Evans misses free throw 1 of 2
1:43.0,,,67-76,,Offensive rebound by Team
1:43.0,M. Plumlee enters the game for P. Millsap,,67-76,,
1:43.0,,,67-77,1,T. Evans makes free throw 2 of 2
1:28.0,T. Lyles makes 2-pt shot at rim (assist by M. Plumlee),2,69-77,,
1:16.0,,,69-77,,Shooting foul by M. Plumlee (drawn by D. Davis)
1:16.0,,,69-78,1,D. Davis makes free throw 1 of 2
1:16.0,,,69-79,1,D. Davis makes free throw 2 of 2
1:06.0,J. Murray misses 3-pt shot from 24 ft,,69-79,,
1:02.0,,,69-79,,Defensive rebound by W. Selden
0:50.0,,,69-79,,T. Evans misses 2-pt shot from 16 ft
0:47.0,Defensive rebound by D. Harris,,69-79,,
0:45.0,,,69-79,,Personal foul by D. Brooks (drawn by D. Harris)
0:45.0,D. Harris misses free throw 1 of 2,,69-79,,
0:45.0,Offensive rebound by Team,,69-79,,
0:45.0,D. Harris makes free throw 2 of 2,1,70-79,,
0:45.0,Personal foul by T. Craig (drawn by T. Evans),,70-79,,
0:45.0,,,70-80,1,T. Evans makes free throw 1 of 2
0:45.0,,,70-81,1,T. Evans makes free throw 2 of 2
0:37.0,T. Lyles makes 3-pt shot from 26 ft (assist by D. Harris),3,73-81,,
0:16.0,,,73-81,,T. Evans misses 2-pt shot at rim
0:12.0,,,73-81,,Offensive rebound by D. Davis
0:11.0,,,73-84,3,W. Selden makes 3-pt shot from 26 ft (assist by B. Weber)
0:05.0,D. Harris misses 2-pt shot from 22 ft,,73-84,,
0:03.0,Offensive rebound by M. Plumlee,,73-84,,
0:03.0,M. Plumlee misses 2-pt shot at rim,,73-84,,
0:02.0,Offensive rebound by T. Craig,,73-84,,
0:02.0,T. Craig makes 2-pt shot at rim,2,75-84,,
0:00.0,,,75-84,,T. Evans misses 3-pt shot from 26 ft
0:00.0,,,75-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,75-84,,Turnover by T. Evans (bad pass)
11:23.0,D. Harris makes 3-pt shot from 26 ft (assist by W. Barton),3,78-84,,
11:01.0,,,78-84,,Turnover by B. Weber (bad pass; steal by W. Barton)
10:59.0,Turnover by W. Barton (lost ball; steal by B. Weber),,78-84,,
10:56.0,Personal take foul by M. Plumlee (drawn by T. Evans),,78-84,,
10:37.0,,,78-84,,T. Evans misses 2-pt shot from 7 ft
10:35.0,,,78-84,,Offensive rebound by J. Green
10:35.0,,,78-84,,J. Green misses 2-pt shot at rim
10:35.0,Defensive rebound by T. Craig,,78-84,,
10:27.0,D. Harris makes 3-pt shot from 27 ft (assist by T. Lyles),3,81-84,,
10:26.0,,,81-84,,Memphis full timeout
10:26.0,,,81-84,,J. Martin enters the game for B. Weber
10:26.0,,,81-84,,M. Gasol enters the game for D. Davis
10:06.0,Personal foul by M. Plumlee (drawn by M. Gasol),,81-84,,
9:54.0,,,81-84,,T. Evans misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by T. Craig,,81-84,,
9:48.0,D. Harris makes 2-pt shot from 11 ft,2,83-84,,
9:33.0,Personal foul by M. Plumlee (drawn by M. Gasol),,83-84,,
9:19.0,,,83-84,,M. Gasol misses 2-pt shot from 8 ft
9:15.0,Defensive rebound by M. Plumlee,,83-84,,
9:09.0,,,83-84,,Personal foul by D. Brooks (drawn by D. Harris)
9:00.0,T. Lyles misses 3-pt shot from 25 ft,,83-84,,
8:57.0,,,83-84,,Defensive rebound by J. Martin
8:56.0,,,83-84,,Turnover by J. Martin (bad pass; steal by W. Barton)
8:53.0,Turnover by W. Barton (bad pass),,83-84,,
8:31.0,,,83-84,,Shooting foul by M. Plumlee (drawn by M. Gasol)
8:31.0,N. Jokic enters the game for M. Plumlee,,83-84,,
8:31.0,,,83-85,1,M. Gasol makes free throw 1 of 2
8:31.0,,,83-86,1,M. Gasol makes free throw 2 of 2
8:23.0,,,83-86,,Violation by M. Gasol (kicked ball)
8:18.0,T. Craig makes 3-pt shot from 23 ft (assist by N. Jokic),3,86-86,,
7:54.0,,,86-88,2,T. Evans makes 2-pt shot at rim
7:35.0,T. Lyles makes 2-pt shot at rim (assist by D. Harris),2,88-88,,
7:21.0,,,88-88,,M. Gasol misses 2-pt shot at rim
7:19.0,Defensive rebound by T. Lyles,,88-88,,
7:08.0,D. Harris misses 3-pt shot from 26 ft,,88-88,,
7:04.0,,,88-88,,Defensive rebound by J. Martin
6:50.0,,,88-88,,D. Brooks misses 3-pt shot from 25 ft
6:45.0,,,88-88,,Offensive rebound by J. Green
6:45.0,,,88-90,2,J. Green makes 2-pt shot from 18 ft
6:18.0,N. Jokic misses 2-pt shot from 11 ft,,88-90,,
6:15.0,,,88-90,,Defensive rebound by J. Green
5:59.0,,,88-92,2,M. Gasol makes 2-pt shot at rim (assist by T. Evans)
5:59.0,Denver full timeout,,88-92,,
5:59.0,,,88-92,,W. Selden enters the game for J. Green
5:59.0,W. Chandler enters the game for T. Craig,,88-92,,
5:59.0,J. Murray enters the game for W. Barton,,88-92,,
5:51.0,,,88-92,,Personal foul by T. Evans (drawn by N. Jokic)
5:51.0,P. Millsap enters the game for T. Lyles,,88-92,,
5:43.0,N. Jokic misses 2-pt shot from 9 ft,,88-92,,
5:39.0,Offensive rebound by W. Chandler,,88-92,,
5:39.0,W. Chandler makes 2-pt shot at rim,2,90-92,,
