time,Phoenix,pts.away,score,pts.home,Denver
1:27.0,T. Warren makes 2-pt shot from 2 ft (assist by I. Canaan),2,23-23,,
1:20.0,Personal foul by A. Len (drawn by N. Jokic),,23-23,,
1:20.0,,,23-23,,T. Craig enters the game for W. Chandler
1:16.0,,,23-26,3,N. Jokic makes 3-pt shot from 24 ft (assist by R. Jefferson)
0:47.0,J. Dudley makes 3-pt shot from 22 ft (assist by I. Canaan),3,26-26,,
0:32.0,,,26-28,2,R. Jefferson makes 2-pt shot from 5 ft (assist by W. Barton)
0:12.0,Turnover by A. Len (lost ball; steal by W. Barton),,26-28,,
0:07.0,,,26-31,3,M. Beasley makes 3-pt shot from 23 ft (assist by N. Jokic)
0:00.0,I. Canaan makes 3-pt shot from 24 ft (assist by T. Warren),3,29-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,29-31,,Turnover by W. Barton (bad pass; steal by D. Booker)
11:34.0,,,29-31,,Personal foul by R. Jefferson (drawn by D. Booker)
11:27.0,I. Canaan makes 3-pt shot from 26 ft (assist by D. Booker),3,32-31,,
11:10.0,,,32-31,,R. Jefferson misses 2-pt shot from 5 ft
11:08.0,Defensive rebound by A. Len,,32-31,,
10:47.0,J. Jackson makes 2-pt shot from 5 ft (assist by A. Len),2,34-31,,
10:47.0,,,34-31,,Denver full timeout
10:24.0,,,34-31,,M. Plumlee misses 2-pt shot from 2 ft
10:22.0,Defensive rebound by A. Len,,34-31,,
10:07.0,J. Dudley misses 3-pt shot from 25 ft,,34-31,,
10:03.0,,,34-31,,Defensive rebound by J. Murray
9:50.0,,,34-31,,W. Barton misses 2-pt shot from 3 ft
9:47.0,Defensive rebound by A. Len,,34-31,,
9:40.0,J. Jackson makes 3-pt shot from 22 ft (assist by I. Canaan),3,37-31,,
9:23.0,,,37-31,,Turnover by J. Murray (bad pass; steal by I. Canaan)
9:20.0,I. Canaan makes 2-pt shot from 1 ft,2,39-31,,
9:20.0,,,39-31,,Denver full timeout
9:20.0,,,39-31,,N. Jokic enters the game for W. Barton
9:20.0,,,39-31,,G. Harris enters the game for R. Jefferson
9:20.0,,,39-31,,T. Lyles enters the game for M. Beasley
9:20.0,,,39-31,,W. Chandler enters the game for M. Plumlee
9:00.0,,,39-34,3,J. Murray makes 3-pt shot from 25 ft (assist by T. Lyles)
8:46.0,J. Jackson misses 3-pt shot from 25 ft,,39-34,,
8:43.0,,,39-34,,Defensive rebound by N. Jokic
8:34.0,Personal foul by J. Dudley (drawn by G. Harris),,39-34,,
8:22.0,,,39-34,,G. Harris misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by A. Len,,39-34,,
8:11.0,I. Canaan makes 3-pt shot from 28 ft (assist by D. Booker),3,42-34,,
8:01.0,,,42-34,,Offensive foul by N. Jokic (drawn by A. Len)
8:01.0,,,42-34,,Turnover by N. Jokic (offensive foul)
7:59.0,Shooting foul by T. Lyles (drawn by J. Jackson),,42-34,,
7:59.0,J. Jackson makes free throw 1 of 2,1,43-34,,
7:59.0,J. Jackson makes free throw 2 of 2,1,44-34,,
7:43.0,Personal foul by I. Canaan (drawn by J. Murray),,44-34,,
7:32.0,,,44-34,,J. Murray misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by J. Jackson,,44-34,,
7:15.0,D. Booker makes 2-pt shot from 21 ft (assist by J. Dudley),2,46-34,,
6:55.0,,,46-37,3,J. Murray makes 3-pt shot from 24 ft (assist by T. Lyles)
6:35.0,J. Jackson misses 3-pt shot from 23 ft,,46-37,,
6:33.0,,,46-37,,Defensive rebound by N. Jokic
6:20.0,,,46-37,,T. Lyles misses 2-pt shot from 3 ft
6:17.0,,,46-37,,Offensive rebound by J. Murray
6:15.0,,,46-39,2,G. Harris makes 2-pt shot from 15 ft (assist by J. Murray)
5:57.0,I. Canaan makes 3-pt shot from 25 ft,3,49-39,,
5:45.0,,,49-42,3,T. Lyles makes 3-pt shot from 25 ft (assist by J. Murray)
5:41.0,Phoenix full timeout,,49-42,,
5:41.0,T. Warren enters the game for I. Canaan,,49-42,,
5:41.0,T. Chandler enters the game for J. Dudley,,49-42,,
5:41.0,T. Ulis enters the game for J. Jackson,,49-42,,
5:41.0,D. Bender enters the game for A. Len,,49-42,,
5:29.0,D. Booker misses 3-pt shot from 24 ft,,49-42,,
5:26.0,,,49-42,,Defensive rebound by N. Jokic
5:21.0,,,49-42,,Turnover by G. Harris (bad pass; steal by T. Chandler)
5:15.0,D. Booker makes 2-pt shot from 1 ft (assist by T. Chandler),2,51-42,,
4:55.0,,,51-42,,J. Murray misses 2-pt shot from 11 ft
4:52.0,Defensive rebound by D. Bender,,51-42,,
4:34.0,D. Booker makes 3-pt shot from 23 ft,3,54-42,,
4:12.0,Personal foul by T. Ulis (drawn by W. Chandler),,54-42,,
4:05.0,,,54-42,,N. Jokic misses 2-pt shot from 15 ft
4:02.0,Defensive rebound by D. Bender,,54-42,,
3:54.0,D. Bender misses 3-pt shot from 25 ft,,54-42,,
3:52.0,Offensive rebound by T. Chandler,,54-42,,
3:50.0,D. Booker makes 3-pt shot from 25 ft (assist by T. Ulis),3,57-42,,
3:42.0,,,57-42,,Turnover by N. Jokic (bad pass)
3:17.0,Turnover by Team (shot clock),,57-42,,
3:04.0,,,57-42,,Turnover by N. Jokic (traveling)
2:55.0,,,57-42,,Personal foul by N. Jokic (drawn by T. Ulis)
2:55.0,,,57-42,,M. Plumlee enters the game for N. Jokic
2:42.0,Turnover by D. Booker (bad pass; steal by M. Plumlee),,57-42,,
2:37.0,,,57-44,2,W. Chandler makes 2-pt shot from 2 ft
2:19.0,D. Booker misses 2-pt shot from 3 ft (block by M. Plumlee),,57-44,,
2:16.0,,,57-44,,Defensive rebound by T. Lyles
2:12.0,,,57-47,3,J. Murray makes 3-pt shot from 23 ft (assist by W. Chandler)
1:52.0,D. Booker misses 3-pt shot from 24 ft,,57-47,,
1:49.0,,,57-47,,Defensive rebound by T. Lyles
1:42.0,,,57-47,,T. Lyles misses 3-pt shot from 24 ft
1:38.0,Defensive rebound by D. Booker,,57-47,,
1:24.0,T. Warren misses 2-pt shot from 18 ft,,57-47,,
1:20.0,,,57-47,,Defensive rebound by T. Lyles
1:05.0,,,57-50,3,G. Harris makes 3-pt shot from 24 ft
0:42.0,Shooting foul by M. Plumlee (drawn by T. Chandler),,57-50,,
0:42.0,T. Chandler misses free throw 1 of 2,,57-50,,
0:42.0,Offensive rebound by Team,,57-50,,
0:42.0,T. Chandler makes free throw 2 of 2,1,58-50,,
0:26.0,Technical foul by T. Chandler (drawn by M. Plumlee),,58-50,,
0:26.0,,,58-50,,M. Plumlee misses flagrant free throw 1 of 2
0:26.0,,,58-50,,Offensive rebound by Team
0:26.0,,,58-50,,M. Plumlee misses flagrant free throw 2 of 2
0:26.0,,,58-50,,Offensive rebound by Team
0:26.0,J. Jackson enters the game for T. Ulis,,58-50,,
0:05.0,,,58-50,,G. Harris misses 3-pt shot from 22 ft
0:03.0,Defensive rebound by D. Booker,,58-50,,
0:00.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker),2,60-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,60-52,2,J. Murray makes 2-pt shot from 2 ft (assist by G. Harris)
11:14.0,T. Warren misses 2-pt shot from 11 ft,,60-52,,
11:10.0,,,60-52,,Defensive rebound by N. Jokic
11:05.0,,,60-52,,Turnover by G. Harris (lost ball; steal by T. Warren)
11:01.0,T. Warren makes 2-pt shot from 3 ft,2,62-52,,
11:01.0,Shooting foul by J. Murray (drawn by T. Warren),,62-52,,
11:01.0,T. Warren misses free throw 1 of 1,,62-52,,
10:59.0,,,62-52,,Defensive rebound by N. Jokic
10:52.0,,,62-54,2,J. Murray makes 2-pt shot from 1 ft
10:52.0,,,62-54,,Shooting foul by D. Booker (drawn by J. Murray)
10:52.0,,,62-55,1,J. Murray makes free throw 1 of 1
10:35.0,D. Booker misses 2-pt shot from 1 ft,,62-55,,
10:32.0,Offensive rebound by T. Chandler,,62-55,,
10:28.0,,,62-55,,Personal foul by T. Lyles (drawn by D. Booker)
10:24.0,Turnover by T. Warren (lost ball; steal by J. Murray),,62-55,,
10:20.0,,,62-57,2,J. Murray makes 2-pt shot from 1 ft
10:05.0,D. Booker misses 3-pt shot from 24 ft,,62-57,,
10:04.0,,,62-57,,Defensive rebound by Team
9:45.0,,,62-57,,Shooting foul by D. Bender (drawn by T. Lyles)
9:45.0,,,62-58,1,T. Lyles makes free throw 1 of 2
9:45.0,,,62-59,1,T. Lyles makes free throw 2 of 2
9:30.0,T. Ulis misses 3-pt shot from 22 ft,,62-59,,
9:27.0,,,62-59,,Defensive rebound by T. Lyles
9:23.0,,,62-59,,Turnover by N. Jokic (bad pass)
9:11.0,Turnover by D. Booker (bad pass; steal by G. Harris),,62-59,,
9:03.0,,,62-59,,Turnover by T. Lyles (bad pass; steal by T. Ulis)
8:56.0,T. Ulis misses 2-pt shot from 13 ft,,62-59,,
8:53.0,,,62-59,,Defensive rebound by N. Jokic
8:45.0,,,62-59,,G. Harris misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by T. Chandler,,62-59,,
8:35.0,D. Booker makes 2-pt shot from 10 ft,2,64-59,,
8:35.0,Shooting foul by N. Jokic (drawn by D. Booker),,64-59,,
8:35.0,D. Booker makes free throw 1 of 1,1,65-59,,
8:21.0,,,65-59,,G. Harris misses 2-pt shot from 8 ft
8:19.0,Defensive rebound by T. Warren,,65-59,,
8:10.0,T. Warren makes 2-pt shot from 4 ft (assist by T. Ulis),2,67-59,,
8:10.0,Shooting foul by J. Murray (drawn by T. Warren),,67-59,,
8:10.0,T. Warren makes free throw 1 of 1,1,68-59,,
7:50.0,,,68-59,,Turnover by N. Jokic (traveling)
7:38.0,T. Warren misses 3-pt shot from 25 ft,,68-59,,
7:35.0,,,68-59,,Defensive rebound by N. Jokic
7:26.0,,,68-59,,J. Murray misses 2-pt shot from 2 ft (block by D. Bender)
7:23.0,Defensive rebound by T. Chandler,,68-59,,
7:20.0,D. Booker makes 2-pt shot from 2 ft (assist by T. Ulis),2,70-59,,
7:20.0,Shooting foul by T. Lyles (drawn by D. Booker),,70-59,,
7:20.0,,,70-59,,M. Plumlee enters the game for N. Jokic
7:20.0,D. Booker makes free throw 1 of 1,1,71-59,,
7:06.0,,,71-59,,W. Chandler misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by D. Bender,,71-59,,
6:55.0,T. Ulis misses 3-pt shot from 23 ft,,71-59,,
6:52.0,,,71-59,,Defensive rebound by M. Plumlee
6:47.0,,,71-59,,G. Harris misses 3-pt shot from 23 ft
6:47.0,,,71-59,,Offensive rebound by Team
6:46.0,Loose ball foul by D. Bender (drawn by M. Plumlee),,71-59,,
6:46.0,,,71-59,,Denver full timeout
6:36.0,,,71-59,,Turnover by M. Plumlee (bad pass; steal by T. Warren)
6:20.0,,,71-59,,W. Barton enters the game for W. Chandler
6:15.0,D. Booker makes 2-pt shot from 2 ft (assist by T. Chandler),2,73-59,,
5:51.0,,,73-62,3,G. Harris makes 3-pt shot from 24 ft
5:45.0,,,73-62,,Technical foul by J. Murray
5:45.0,D. Booker makes technical free throw,1,74-62,,
5:28.0,D. Booker misses 3-pt shot from 22 ft,,74-62,,
5:26.0,,,74-62,,Defensive rebound by W. Barton
5:21.0,,,74-62,,W. Barton misses 3-pt shot from 24 ft
5:17.0,,,74-62,,Offensive rebound by M. Plumlee
5:14.0,,,74-64,2,J. Murray makes 2-pt shot from 10 ft (assist by M. Plumlee)
4:53.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Bender),2,76-64,,
4:39.0,,,76-64,,W. Barton misses 3-pt shot from 26 ft
4:38.0,,,76-64,,Offensive rebound by Team
4:38.0,Loose ball foul by T. Chandler (drawn by M. Plumlee),,76-64,,
4:38.0,A. Len enters the game for D. Booker,,76-64,,
4:38.0,T. Daniels enters the game for T. Chandler,,76-64,,
4:32.0,,,76-64,,Shooting foul by D. Bender (drawn by T. Lyles)
4:32.0,,,76-65,1,T. Lyles makes free throw 1 of 2
4:32.0,,,76-66,1,T. Lyles makes free throw 2 of 2
4:19.0,,,76-66,,Shooting block foul by T. Lyles (drawn by T. Warren)
4:19.0,T. Warren makes free throw 1 of 2,1,77-66,,
4:19.0,,,77-66,,M. Beasley enters the game for G. Harris
4:19.0,T. Warren misses free throw 2 of 2,,77-66,,
4:16.0,,,77-66,,Defensive rebound by W. Barton
4:03.0,,,77-66,,W. Barton misses 2-pt shot from 3 ft (block by T. Warren)
4:03.0,,,77-66,,Offensive rebound by Team
3:55.0,,,77-66,,W. Barton misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by D. Bender,,77-66,,
3:33.0,,,77-66,,Personal foul by J. Murray (drawn by T. Ulis)
3:33.0,T. Ulis makes free throw 1 of 2,1,78-66,,
3:33.0,,,78-66,,E. Mudiay enters the game for J. Murray
3:33.0,T. Ulis makes free throw 2 of 2,1,79-66,,
3:22.0,,,79-68,2,T. Lyles makes 2-pt shot from 2 ft (assist by E. Mudiay)
3:10.0,T. Warren misses 2-pt shot from 7 ft,,79-68,,
3:09.0,,,79-68,,Defensive rebound by T. Lyles
3:06.0,,,79-68,,Turnover by T. Lyles (bad pass; steal by T. Ulis)
3:04.0,,,79-68,,Personal foul by W. Barton (drawn by T. Ulis)
3:04.0,T. Ulis makes free throw 1 of 2,1,80-68,,
3:04.0,T. Ulis misses free throw 2 of 2,,80-68,,
3:02.0,,,80-68,,Defensive rebound by T. Lyles
2:48.0,,,80-68,,Turnover by W. Barton (bad pass; steal by A. Len)
2:44.0,A. Len makes 2-pt shot from 1 ft (assist by T. Ulis),2,82-68,,
2:28.0,,,82-68,,Turnover by E. Mudiay (bad pass)
2:28.0,Phoenix full timeout,,82-68,,
2:28.0,J. Jackson enters the game for T. Ulis,,82-68,,
2:28.0,J. Dudley enters the game for T. Warren,,82-68,,
2:28.0,I. Canaan enters the game for D. Bender,,82-68,,
2:19.0,Turnover by I. Canaan (bad pass),,82-68,,
2:07.0,,,82-70,2,W. Barton makes 2-pt shot from 6 ft
1:54.0,Shooting foul by M. Plumlee (drawn by A. Len),,82-70,,
1:54.0,A. Len misses free throw 1 of 2,,82-70,,
1:54.0,Offensive rebound by Team,,82-70,,
1:54.0,,,82-70,,R. Jefferson enters the game for T. Lyles
1:54.0,A. Len makes free throw 2 of 2,1,83-70,,
1:29.0,,,83-72,2,E. Mudiay makes 2-pt shot from 3 ft (assist by W. Barton)
1:17.0,Turnover by I. Canaan (step out of bounds),,83-72,,
1:06.0,,,83-72,,E. Mudiay misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by I. Canaan,,83-72,,
0:49.0,J. Jackson makes 2-pt shot from 5 ft,2,85-72,,
0:34.0,,,85-72,,Shooting foul by J. Jackson (drawn by M. Plumlee)
0:34.0,,,85-72,,M. Plumlee misses free throw 1 of 2
0:34.0,,,85-72,,Offensive rebound by Team
0:34.0,,,85-73,1,M. Plumlee makes free throw 2 of 2
0:18.0,Turnover by J. Jackson (bad pass; steal by M. Beasley),,85-73,,
0:00.0,,,85-73,,M. Beasley misses 3-pt shot from 24 ft
0:00.0,,,85-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,T. Daniels makes 3-pt shot from 23 ft (assist by I. Canaan),3,88-73,,
11:33.0,,,88-75,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
11:09.0,J. Dudley misses 2-pt shot from 3 ft (block by W. Barton),,88-75,,
11:05.0,,,88-75,,Defensive rebound by E. Mudiay
11:04.0,,,88-75,,Shooting foul by J. Jackson (drawn by E. Mudiay)
11:04.0,,,88-76,1,E. Mudiay makes free throw 1 of 2
11:04.0,,,88-77,1,E. Mudiay makes free throw 2 of 2
10:44.0,Turnover by I. Canaan (step out of bounds),,88-77,,
10:35.0,Personal foul by J. Jackson (drawn by W. Barton),,88-77,,
10:27.0,Personal foul by T. Daniels (drawn by M. Beasley),,88-77,,
10:13.0,,,88-77,,E. Mudiay misses 2-pt shot from 15 ft
10:10.0,,,88-77,,Offensive rebound by N. Jokic
10:09.0,,,88-79,2,N. Jokic makes 2-pt shot from 2 ft
10:06.0,,,88-79,,Personal foul by W. Barton (drawn by J. Jackson)
9:55.0,J. Jackson makes 3-pt shot from 24 ft (assist by A. Len),3,91-79,,
9:38.0,,,91-81,2,W. Barton makes 2-pt shot from 3 ft
9:30.0,J. Jackson makes 2-pt shot from 3 ft (assist by I. Canaan),2,93-81,,
9:27.0,,,93-81,,Shooting foul by A. Len (drawn by W. Barton)
9:27.0,,,93-82,1,W. Barton makes free throw 1 of 2
9:27.0,,,93-82,,G. Harris enters the game for M. Beasley
9:27.0,,,93-82,,W. Barton misses free throw 2 of 2
9:25.0,,,93-82,,Offensive rebound by N. Jokic
9:24.0,,,93-82,,N. Jokic misses 2-pt shot from 2 ft (block by A. Len)
9:21.0,Defensive rebound by T. Daniels,,93-82,,
9:11.0,J. Jackson makes 2-pt shot from 1 ft (assist by J. Dudley),2,95-82,,
9:10.0,,,95-82,,Denver full timeout
8:55.0,,,95-82,,E. Mudiay misses 2-pt shot from 10 ft
8:52.0,Defensive rebound by A. Len,,95-82,,
8:31.0,I. Canaan misses 2-pt shot from 8 ft,,95-82,,
8:28.0,,,95-82,,Defensive rebound by W. Barton
8:21.0,,,95-85,3,R. Jefferson makes 3-pt shot from 24 ft
7:52.0,J. Jackson misses 2-pt shot from 15 ft,,95-85,,
7:48.0,,,95-85,,Defensive rebound by N. Jokic
7:35.0,,,95-87,2,E. Mudiay makes 2-pt shot from 1 ft (assist by W. Barton)
7:15.0,J. Dudley misses 3-pt shot from 25 ft,,95-87,,
7:12.0,,,95-87,,Defensive rebound by R. Jefferson
7:08.0,,,95-87,,E. Mudiay misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by J. Dudley,,95-87,,
7:00.0,Phoenix full timeout,,95-87,,
7:00.0,,,95-87,,W. Chandler enters the game for E. Mudiay
7:00.0,,,95-87,,J. Murray enters the game for W. Barton
7:00.0,T. Warren enters the game for J. Jackson,,95-87,,
7:00.0,D. Booker enters the game for A. Len,,95-87,,
7:00.0,T. Chandler enters the game for T. Daniels,,95-87,,
6:49.0,I. Canaan misses 2-pt shot from 3 ft (block by J. Murray),,95-87,,
6:49.0,Offensive rebound by Team,,95-87,,
6:47.0,J. Dudley misses 2-pt shot from 21 ft,,95-87,,
6:44.0,,,95-87,,Defensive rebound by J. Murray
6:27.0,,,95-87,,J. Murray misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by D. Booker,,95-87,,
6:16.0,D. Booker makes 3-pt shot from 24 ft,3,98-87,,
6:02.0,,,98-90,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
5:38.0,J. Dudley misses 3-pt shot from 22 ft,,98-90,,
5:34.0,,,98-90,,Defensive rebound by G. Harris
5:25.0,,,98-90,,N. Jokic misses 2-pt shot from 10 ft
5:22.0,Defensive rebound by D. Booker,,98-90,,
5:22.0,,,98-90,,Technical foul by N. Jokic
5:22.0,D. Booker makes technical free throw,1,99-90,,
5:22.0,,,99-90,,W. Barton enters the game for R. Jefferson
5:05.0,I. Canaan misses 3-pt shot from 25 ft,,99-90,,
5:01.0,,,99-90,,Defensive rebound by J. Murray
4:59.0,Personal foul by J. Dudley (drawn by N. Jokic),,99-90,,
4:59.0,,,99-91,1,N. Jokic makes free throw 1 of 2
4:59.0,D. Bender enters the game for J. Dudley,,99-91,,
4:59.0,,,99-92,1,N. Jokic makes free throw 2 of 2
4:44.0,D. Booker makes 2-pt shot from 2 ft,2,101-92,,
4:31.0,,,101-95,3,N. Jokic makes 3-pt shot from 24 ft (assist by W. Barton)
4:03.0,I. Canaan misses 2-pt shot from 2 ft,,101-95,,
4:01.0,,,101-95,,Defensive rebound by G. Harris
3:57.0,,,101-97,2,G. Harris makes 2-pt shot from 6 ft
3:34.0,D. Booker misses 3-pt shot from 26 ft,,101-97,,
3:32.0,Offensive rebound by Team,,101-97,,
3:32.0,Phoenix full timeout,,101-97,,
3:27.0,D. Booker misses 3-pt shot from 24 ft,,101-97,,
3:22.0,Offensive rebound by T. Chandler,,101-97,,
3:09.0,I. Canaan misses 2-pt shot from 2 ft,,101-97,,
3:09.0,Offensive rebound by T. Chandler,,101-97,,
3:08.0,T. Chandler makes 2-pt shot from 2 ft,2,103-97,,
2:51.0,,,103-97,,N. Jokic misses 2-pt shot from 6 ft
2:48.0,Defensive rebound by D. Booker,,103-97,,
2:41.0,T. Warren makes 2-pt shot from 3 ft (assist by D. Booker),2,105-97,,
2:40.0,,,105-97,,Denver full timeout
2:17.0,,,105-97,,G. Harris misses 3-pt shot from 24 ft
2:13.0,,,105-97,,Offensive rebound by J. Murray
2:04.0,,,105-97,,J. Murray misses 2-pt shot from 3 ft (block by T. Chandler)
2:02.0,Defensive rebound by T. Chandler,,105-97,,
1:41.0,D. Booker misses 2-pt shot from 9 ft,,105-97,,
1:38.0,,,105-97,,Defensive rebound by N. Jokic
1:33.0,,,105-97,,W. Barton misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by D. Bender,,105-97,,
1:07.0,D. Booker misses 3-pt shot from 22 ft,,105-97,,
1:03.0,,,105-97,,Defensive rebound by N. Jokic
0:59.0,,,105-97,,Shooting foul by D. Bender (drawn by W. Barton)
0:59.0,,,105-98,1,W. Barton makes free throw 1 of 2
0:59.0,,,105-98,,T. Craig enters the game for N. Jokic
0:59.0,,,105-98,,W. Barton misses free throw 2 of 2
0:57.0,Defensive rebound by D. Bender,,105-98,,
0:36.0,I. Canaan makes 2-pt shot from 2 ft,2,107-98,,
0:36.0,,,107-98,,Denver full timeout
0:36.0,,,107-98,,N. Jokic enters the game for T. Craig
0:35.0,Personal foul by D. Booker (drawn by J. Murray),,107-98,,
0:35.0,,,107-99,1,J. Murray makes free throw 1 of 2
