time,Boston,pts.away,score,pts.home,Philadelphia
0:33.0,,,43-50,,Turnover by J. Redick (turnover)
0:33.0,,,43-50,,Loose ball foul by M. Belinelli (drawn by T. Rozier)
0:33.0,T. Rozier makes free throw 1 of 2,1,44-50,,
0:33.0,,,44-50,,R. Covington enters the game for M. Belinelli
0:33.0,A. Baynes enters the game for S. Larkin,,44-50,,
0:33.0,M. Smart enters the game for J. Brown,,44-50,,
0:33.0,T. Rozier makes free throw 2 of 2,1,45-50,,
0:26.0,Personal foul by A. Baynes (drawn by J. Redick),,45-50,,
0:26.0,,,45-51,1,J. Redick makes free throw 1 of 2
0:26.0,,,45-51,,T. McConnell enters the game for J. Embiid
0:26.0,J. Brown enters the game for A. Baynes,,45-51,,
0:26.0,,,45-51,,J. Redick misses free throw 2 of 2
0:24.0,Defensive rebound by M. Morris,,45-51,,
0:06.0,J. Brown makes 3-pt shot from 25 ft (assist by M. Smart),3,48-51,,
0:01.0,,,48-51,,J. Redick misses 3-pt shot from 27 ft
0:01.0,,,48-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,M. Smart makes 2-pt shot from 11 ft,2,50-51,,
11:22.0,,,50-53,2,J. Embiid makes 2-pt shot at rim (assist by R. Covington)
11:04.0,Turnover by M. Smart (lost ball; steal by J. Redick),,50-53,,
11:01.0,,,50-55,2,B. Simmons makes 2-pt shot from 2 ft (assist by J. Redick)
10:42.0,J. Tatum misses 2-pt shot from 20 ft,,50-55,,
10:38.0,,,50-55,,Defensive rebound by J. Embiid
10:33.0,,,50-55,,D. Saric misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by A. Baynes,,50-55,,
10:19.0,A. Baynes makes 3-pt shot from 24 ft (assist by M. Smart),3,53-55,,
9:59.0,,,53-55,,R. Covington misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by A. Horford,,53-55,,
9:43.0,A. Horford makes 2-pt shot from 7 ft,2,55-55,,
9:20.0,,,55-57,2,J. Embiid makes 2-pt shot from 2 ft
9:06.0,T. Rozier misses 3-pt shot from 25 ft (block by B. Simmons),,55-57,,
9:02.0,Offensive rebound by A. Baynes,,55-57,,
9:01.0,T. Rozier makes 3-pt shot from 25 ft (assist by A. Baynes),3,58-57,,
8:38.0,,,58-57,,J. Embiid misses 2-pt shot from 6 ft
8:36.0,Defensive rebound by A. Baynes,,58-57,,
8:27.0,T. Rozier makes 2-pt shot from 3 ft (assist by A. Baynes),2,60-57,,
8:08.0,,,60-59,2,D. Saric makes 2-pt shot from 5 ft
7:51.0,T. Rozier misses 3-pt shot from 25 ft,,60-59,,
7:49.0,,,60-59,,Defensive rebound by Team
7:49.0,Loose ball foul by A. Baynes (drawn by J. Embiid),,60-59,,
7:49.0,J. Brown enters the game for J. Tatum,,60-59,,
7:38.0,,,60-59,,J. Redick misses 3-pt shot from 25 ft (block by A. Horford)
7:33.0,Defensive rebound by J. Brown,,60-59,,
7:32.0,Turnover by J. Brown (bad pass),,60-59,,
7:29.0,,,60-59,,Shooting foul by M. Smart (drawn by D. Saric)
7:29.0,,,60-59,,D. Saric misses free throw 1 of 2
7:29.0,,,60-59,,Offensive rebound by Team
7:29.0,,,60-60,1,D. Saric makes free throw 2 of 2
7:15.0,A. Horford misses 2-pt shot from 1 ft,,60-60,,
7:13.0,,,60-60,,Defensive rebound by B. Simmons
7:08.0,,,60-60,,J. Embiid misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by A. Baynes,,60-60,,
6:55.0,Turnover by M. Smart (traveling),,60-60,,
6:55.0,,,60-60,,M. Belinelli enters the game for J. Redick
6:55.0,,,60-60,,E. Ilyasova enters the game for J. Embiid
6:55.0,,,60-60,,Philadelphia full timeout
6:55.0,M. Morris enters the game for A. Baynes,,60-60,,
6:55.0,J. Tatum enters the game for M. Smart,,60-60,,
6:36.0,,,60-60,,R. Covington misses 2-pt shot from 17 ft
6:31.0,,,60-60,,Offensive rebound by E. Ilyasova
6:18.0,,,60-60,,E. Ilyasova misses 2-pt shot from 2 ft
6:18.0,,,60-60,,Offensive rebound by E. Ilyasova
6:12.0,,,60-62,2,B. Simmons makes 2-pt shot from 8 ft (assist by D. Saric)
5:52.0,T. Rozier makes 2-pt shot from 4 ft,2,62-62,,
5:38.0,,,62-62,,D. Saric misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by J. Brown,,62-62,,
5:23.0,J. Brown makes 3-pt shot from 25 ft (assist by J. Tatum),3,65-62,,
5:02.0,,,65-62,,M. Belinelli misses 2-pt shot at rim
5:00.0,Defensive rebound by M. Morris,,65-62,,
4:55.0,M. Morris misses 2-pt shot from 7 ft,,65-62,,
4:52.0,,,65-62,,Defensive rebound by B. Simmons
4:46.0,,,65-64,2,B. Simmons makes 2-pt shot from 11 ft
4:21.0,T. Rozier misses 3-pt shot from 27 ft,,65-64,,
4:17.0,,,65-64,,Defensive rebound by B. Simmons
4:16.0,,,65-64,,Turnover by M. Belinelli (out of bounds lost ball)
4:16.0,,,65-64,,J. Redick enters the game for D. Saric
4:16.0,,,65-64,,J. Embiid enters the game for R. Covington
3:57.0,T. Rozier makes 2-pt shot from 14 ft,2,67-64,,
3:43.0,,,67-64,,M. Belinelli misses 3-pt shot from 23 ft
3:40.0,,,67-64,,Offensive rebound by J. Embiid
3:35.0,,,67-64,,J. Embiid misses 2-pt shot from 2 ft (block by A. Horford)
3:35.0,,,67-64,,Offensive rebound by Team
3:35.0,S. Larkin enters the game for J. Brown,,67-64,,
3:32.0,,,67-64,,Turnover by B. Simmons (bad pass; steal by S. Larkin)
3:29.0,S. Larkin makes 2-pt shot from 2 ft,2,69-64,,
3:08.0,,,69-64,,Turnover by J. Embiid (lost ball; steal by J. Tatum)
3:03.0,J. Tatum misses 3-pt shot from 25 ft,,69-64,,
3:00.0,,,69-64,,Defensive rebound by B. Simmons
2:55.0,Personal foul by S. Larkin (drawn by E. Ilyasova),,69-64,,
2:55.0,Boston full timeout,,69-64,,
2:55.0,,,69-64,,T. McConnell enters the game for B. Simmons
2:55.0,A. Baynes enters the game for T. Rozier,,69-64,,
2:55.0,M. Smart enters the game for A. Horford,,69-64,,
2:53.0,,,69-64,,Turnover by T. McConnell (bad pass; steal by M. Smart)
2:49.0,S. Larkin misses 3-pt shot from 25 ft,,69-64,,
2:44.0,Offensive rebound by M. Morris,,69-64,,
2:30.0,A. Baynes misses 2-pt shot from 9 ft,,69-64,,
2:28.0,,,69-64,,Defensive rebound by J. Embiid
2:11.0,,,69-64,,Turnover by J. Redick (bad pass)
1:56.0,A. Baynes misses 2-pt shot from 12 ft,,69-64,,
1:53.0,,,69-64,,Defensive rebound by J. Embiid
1:46.0,,,69-64,,M. Belinelli misses 2-pt shot from 22 ft
1:42.0,Defensive rebound by S. Larkin,,69-64,,
1:29.0,M. Smart misses 3-pt shot from 25 ft,,69-64,,
1:26.0,,,69-64,,Defensive rebound by E. Ilyasova
1:13.0,S. Ojeleye enters the game for J. Tatum,,69-64,,
1:04.0,,,69-66,2,T. McConnell makes 2-pt shot from 2 ft (assist by E. Ilyasova)
0:48.0,Turnover by M. Smart (bad pass; steal by J. Redick),,69-66,,
0:46.0,,,69-66,,Shooting foul by M. Smart (drawn by E. Ilyasova)
0:46.0,,,69-67,1,E. Ilyasova makes free throw 1 of 2
0:46.0,J. Tatum enters the game for M. Smart,,69-67,,
0:46.0,T. Rozier enters the game for A. Baynes,,69-67,,
0:46.0,A. Horford enters the game for S. Ojeleye,,69-67,,
0:46.0,,,69-68,1,E. Ilyasova makes free throw 2 of 2
0:31.0,,,69-68,,Personal foul by E. Ilyasova (drawn by S. Larkin)
0:21.0,M. Morris misses 2-pt shot from 8 ft,,69-68,,
0:18.0,,,69-68,,Defensive rebound by J. Embiid
0:02.0,,,69-68,,M. Belinelli misses 2-pt shot from 15 ft
0:00.0,,,69-68,,Offensive rebound by E. Ilyasova
0:00.0,,,69-68,,E. Ilyasova misses 2-pt shot from 7 ft
0:00.0,,,69-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,69-70,2,J. Redick makes 2-pt shot from 21 ft (assist by T. McConnell)
11:27.0,T. Rozier misses 3-pt shot from 25 ft,,69-70,,
11:24.0,,,69-70,,Defensive rebound by J. Embiid
11:13.0,Personal foul by A. Baynes (drawn by J. Embiid),,69-70,,
11:13.0,M. Smart enters the game for S. Larkin,,69-70,,
10:59.0,,,69-70,,Turnover by Team (shot clock)
10:48.0,J. Tatum makes 2-pt shot from 1 ft,2,71-70,,
10:35.0,Personal foul by A. Baynes (drawn by J. Embiid),,71-70,,
10:28.0,,,71-72,2,J. Embiid makes 2-pt shot from 1 ft
10:11.0,M. Morris misses 3-pt shot from 26 ft,,71-72,,
10:09.0,,,71-72,,Defensive rebound by J. Embiid
10:03.0,,,71-74,2,T. McConnell makes 2-pt shot from 9 ft
9:44.0,J. Tatum misses 2-pt shot from 6 ft,,71-74,,
9:39.0,Offensive rebound by J. Tatum,,71-74,,
9:39.0,J. Tatum makes 2-pt shot at rim,2,73-74,,
9:25.0,,,73-74,,Shooting foul by M. Smart (drawn by J. Embiid)
9:25.0,,,73-75,1,J. Embiid makes free throw 1 of 2
9:25.0,,,73-75,,B. Simmons enters the game for T. McConnell
9:25.0,J. Brown enters the game for T. Rozier,,73-75,,
9:25.0,,,73-75,,J. Embiid misses free throw 2 of 2
9:24.0,Defensive rebound by Team,,73-75,,
9:12.0,Shooting foul by J. Embiid (drawn by M. Morris),,73-75,,
9:12.0,M. Morris makes free throw 1 of 2,1,74-75,,
9:12.0,,,74-75,,R. Covington enters the game for M. Belinelli
9:12.0,A. Horford enters the game for A. Baynes,,74-75,,
9:12.0,M. Morris makes free throw 2 of 2,1,75-75,,
8:54.0,,,75-75,,J. Redick misses 2-pt shot from 19 ft
8:51.0,Defensive rebound by J. Brown,,75-75,,
8:39.0,J. Tatum makes 2-pt shot at rim,2,77-75,,
8:19.0,,,77-75,,D. Saric misses 2-pt shot from 4 ft (block by M. Smart)
8:16.0,,,77-75,,Offensive rebound by J. Embiid
8:16.0,,,77-77,2,J. Embiid makes 2-pt shot from 2 ft
7:58.0,J. Tatum misses 3-pt shot from 26 ft,,77-77,,
7:56.0,,,77-77,,Defensive rebound by J. Embiid
7:50.0,Violation by M. Morris (kicked ball),,77-77,,
7:50.0,,,77-77,,T. McConnell enters the game for J. Embiid
7:50.0,,,77-77,,E. Ilyasova enters the game for R. Covington
7:50.0,T. Rozier enters the game for M. Smart,,77-77,,
7:40.0,,,77-77,,J. Redick misses 2-pt shot from 21 ft
7:36.0,Defensive rebound by T. Rozier,,77-77,,
7:20.0,A. Horford makes 2-pt shot from 10 ft,2,79-77,,
7:13.0,,,79-79,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by B. Simmons)
6:49.0,A. Horford makes 2-pt shot from 5 ft,2,81-79,,
6:33.0,,,81-79,,Philadelphia full timeout
6:33.0,,,81-79,,M. Belinelli enters the game for J. Redick
6:33.0,,,81-79,,Shooting foul by J. Brown (drawn by E. Ilyasova)
6:33.0,,,81-80,1,E. Ilyasova makes free throw 1 of 2
6:33.0,,,81-80,,J. Embiid enters the game for D. Saric
6:33.0,,,81-81,1,E. Ilyasova makes free throw 2 of 2
6:23.0,J. Brown misses 2-pt shot from 2 ft,,81-81,,
6:22.0,,,81-81,,Defensive rebound by E. Ilyasova
6:20.0,,,81-81,,Turnover by T. McConnell (bad pass; steal by A. Horford)
6:07.0,J. Brown misses 2-pt shot from 21 ft,,81-81,,
6:04.0,,,81-81,,Defensive rebound by E. Ilyasova
5:56.0,,,81-81,,J. Embiid misses 2-pt shot from 5 ft
5:53.0,Defensive rebound by T. Rozier,,81-81,,
5:31.0,J. Tatum misses 2-pt shot from 20 ft,,81-81,,
5:28.0,,,81-81,,Defensive rebound by Team
5:13.0,,,81-81,,B. Simmons misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by Team,,81-81,,
4:50.0,Turnover by A. Horford (traveling),,81-81,,
4:50.0,,,81-81,,J. Redick enters the game for T. McConnell
4:37.0,,,81-81,,B. Simmons misses 2-pt shot from 1 ft
4:35.0,Defensive rebound by A. Horford,,81-81,,
4:22.0,M. Morris misses 3-pt shot from 23 ft,,81-81,,
4:20.0,Offensive rebound by J. Brown,,81-81,,
4:19.0,Shooting foul by J. Embiid (drawn by J. Tatum),,81-81,,
4:19.0,J. Tatum misses free throw 1 of 2,,81-81,,
4:19.0,Offensive rebound by Team,,81-81,,
4:19.0,M. Smart enters the game for M. Morris,,81-81,,
4:19.0,J. Tatum misses free throw 2 of 2,,81-81,,
4:16.0,,,81-81,,Defensive rebound by B. Simmons
4:06.0,,,81-81,,E. Ilyasova misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by T. Rozier,,81-81,,
3:50.0,T. Rozier makes 2-pt shot from 1 ft,2,83-81,,
3:31.0,,,83-83,2,J. Embiid makes 2-pt shot from 1 ft (assist by J. Redick)
3:08.0,J. Brown misses 3-pt shot from 25 ft,,83-83,,
3:04.0,Offensive rebound by J. Brown,,83-83,,
2:59.0,J. Brown misses 3-pt shot from 23 ft,,83-83,,
2:57.0,,,83-83,,Defensive rebound by E. Ilyasova
2:57.0,Violation by J. Tatum (kicked ball),,83-83,,
2:57.0,Boston full timeout,,83-83,,
