time,Miami,pts.away,score,pts.home,New Orleans
1:18.0,D. Wade misses 2-pt shot from 8 ft,,25-22,,
1:10.0,Offensive rebound by D. Wade,,25-22,,
1:10.0,D. Wade makes 2-pt shot at rim,2,27-22,,
1:02.0,,,27-22,,Turnover by D. Miller (bad pass; steal by W. Ellington)
0:58.0,D. Wade misses 2-pt shot from 1 ft,,27-22,,
0:53.0,,,27-22,,Defensive rebound by C. Diallo
0:51.0,Personal foul by B. Adebayo (drawn by N. Mirotic),,27-22,,
0:51.0,,,27-22,,N. Mirotic misses free throw 1 of 2
0:51.0,,,27-22,,Offensive rebound by Team
0:51.0,,,27-22,,N. Mirotic misses free throw 2 of 2
0:50.0,Defensive rebound by J. Johnson,,27-22,,
0:36.0,J. Johnson misses 2-pt shot from 3 ft,,27-22,,
0:32.0,,,27-22,,Defensive rebound by C. Diallo
0:23.0,,,27-22,,C. Diallo misses 2-pt shot from 4 ft
0:19.0,Defensive rebound by W. Ellington,,27-22,,
0:06.0,D. Wade misses 2-pt shot from 14 ft,,27-22,,
0:01.0,,,27-22,,Defensive rebound by N. Mirotic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Personal foul by L. Babbitt (drawn by N. Mirotic),,27-22,,
11:46.0,,,27-22,,D. Miller misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by B. Adebayo,,27-22,,
11:27.0,D. Wade misses 2-pt shot from 1 ft (block by C. Diallo),,27-22,,
11:22.0,,,27-22,,Defensive rebound by N. Mirotic
11:19.0,,,27-25,3,I. Clark makes 3-pt shot from 26 ft (assist by N. Mirotic)
11:08.0,L. Babbitt misses 3-pt shot from 25 ft,,27-25,,
11:03.0,,,27-25,,Defensive rebound by N. Mirotic
10:55.0,,,27-25,,D. Miller misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by B. Adebayo,,27-25,,
10:44.0,D. Wade makes 2-pt shot from 10 ft,2,29-25,,
10:27.0,,,29-27,2,I. Clark makes 2-pt shot from 20 ft (assist by R. Rondo)
10:13.0,,,29-27,,"W. Lemon, Jr. enters the game for R. Rondo"
10:04.0,B. Adebayo makes 2-pt shot at rim (assist by D. Wade),2,31-27,,
9:55.0,,,31-27,,"W. Lemon, Jr. misses 2-pt shot from 3 ft (block by J. Richardson)"
9:55.0,,,31-27,,Offensive rebound by Team
9:48.0,,,31-27,,"W. Lemon, Jr. misses 2-pt shot from 4 ft (block by J. Richardson)"
9:42.0,Defensive rebound by B. Adebayo,,31-27,,
9:41.0,Shooting foul by N. Mirotic (drawn by B. Adebayo),,31-27,,
9:41.0,B. Adebayo misses free throw 1 of 2,,31-27,,
9:41.0,Offensive rebound by Team,,31-27,,
9:41.0,B. Adebayo misses free throw 2 of 2,,31-27,,
9:38.0,,,31-27,,Defensive rebound by C. Diallo
9:28.0,,,31-27,,C. Diallo misses 2-pt shot from 20 ft
9:23.0,Defensive rebound by D. Wade,,31-27,,
9:17.0,Turnover by D. Wade (bad pass; steal by I. Clark),,31-27,,
9:14.0,,,31-29,2,I. Clark makes 2-pt shot from 2 ft
8:52.0,Shooting foul by I. Clark (drawn by W. Ellington),,31-29,,
8:52.0,W. Ellington makes free throw 1 of 3,1,32-29,,
8:52.0,W. Ellington makes free throw 2 of 3,1,33-29,,
8:52.0,,,33-29,,A. Davis enters the game for C. Diallo
8:52.0,T. Johnson enters the game for D. Wade,,33-29,,
8:52.0,H. Whiteside enters the game for B. Adebayo,,33-29,,
8:52.0,W. Ellington makes free throw 3 of 3,1,34-29,,
8:40.0,,,34-31,2,I. Clark makes 2-pt shot from 11 ft
8:29.0,J. Richardson makes 2-pt shot from 9 ft,2,36-31,,
8:17.0,"Personal foul by T. Johnson (drawn by W. Lemon, Jr.)",,36-31,,
8:17.0,J. Winslow enters the game for J. Richardson,,36-31,,
8:12.0,,,36-33,2,"A. Davis makes 2-pt shot from 9 ft (assist by W. Lemon, Jr.)"
7:46.0,H. Whiteside makes 2-pt shot from 3 ft (assist by T. Johnson),2,38-33,,
7:31.0,,,38-33,,Shooting foul by L. Babbitt (drawn by A. Davis)
7:31.0,,,38-34,1,A. Davis makes free throw 1 of 2
7:31.0,,,38-34,,E. Okafor enters the game for N. Mirotic
7:31.0,G. Dragic enters the game for W. Ellington,,38-34,,
7:31.0,,,38-35,1,A. Davis makes free throw 2 of 2
7:15.0,H. Whiteside makes 2-pt shot from 4 ft,2,40-35,,
7:02.0,,,40-35,,A. Davis misses 2-pt shot from 9 ft
6:57.0,Defensive rebound by G. Dragic,,40-35,,
6:50.0,G. Dragic makes 2-pt shot from 5 ft,2,42-35,,
6:35.0,,,42-35,,"W. Lemon, Jr. misses 2-pt shot from 1 ft"
6:31.0,Defensive rebound by L. Babbitt,,42-35,,
6:28.0,T. Johnson makes 2-pt shot from 2 ft,2,44-35,,
6:20.0,,,44-38,3,I. Clark makes 3-pt shot from 25 ft
6:10.0,Miami full timeout,,44-38,,
6:10.0,,,44-38,,E. Moore enters the game for D. Miller
6:10.0,,,44-38,,"J. Holiday enters the game for W. Lemon, Jr."
6:10.0,J. Johnson enters the game for L. Babbitt,,44-38,,
5:56.0,G. Dragic makes 3-pt shot from 27 ft (assist by T. Johnson),3,47-38,,
5:43.0,,,47-38,,I. Clark misses 3-pt shot from 26 ft
5:40.0,,,47-38,,Offensive rebound by E. Moore
5:34.0,,,47-40,2,J. Holiday makes 2-pt shot from 19 ft
5:18.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,49-40,,
5:04.0,,,49-40,,Turnover by A. Davis (bad pass; steal by G. Dragic)
5:00.0,J. Johnson misses 2-pt shot from 1 ft (block by E. Okafor),,49-40,,
4:59.0,,,49-40,,Defensive rebound by E. Moore
4:50.0,,,49-42,2,J. Holiday makes 2-pt shot from 8 ft
4:32.0,G. Dragic misses 2-pt shot from 12 ft,,49-42,,
4:29.0,Offensive rebound by J. Winslow,,49-42,,
4:28.0,J. Winslow misses 2-pt shot from 1 ft (block by A. Davis),,49-42,,
4:28.0,,,49-42,,Defensive rebound by I. Clark
4:22.0,,,49-45,3,I. Clark makes 3-pt shot from 25 ft (assist by E. Okafor)
4:04.0,G. Dragic misses 2-pt shot from 4 ft,,49-45,,
4:04.0,Offensive rebound by H. Whiteside,,49-45,,
4:03.0,H. Whiteside misses 2-pt shot at rim (block by E. Okafor),,49-45,,
4:02.0,H. Whiteside misses 2-pt shot at rim (block by E. Okafor),,49-45,,
4:02.0,Offensive rebound by H. Whiteside,,49-45,,
4:00.0,Offensive rebound by H. Whiteside,,49-45,,
3:58.0,H. Whiteside makes 2-pt shot at rim,2,51-45,,
3:58.0,Shooting foul by A. Davis (drawn by H. Whiteside),,51-45,,
3:58.0,,,51-45,,N. Mirotic enters the game for E. Okafor
3:58.0,J. Richardson enters the game for J. Winslow,,51-45,,
3:58.0,H. Whiteside misses free throw 1 of 1,,51-45,,
3:44.0,,,51-45,,Defensive rebound by E. Moore
3:41.0,,,51-47,2,J. Holiday makes 2-pt shot from 19 ft
3:34.0,J. Johnson misses 2-pt shot from 13 ft,,51-47,,
3:34.0,,,51-47,,Defensive rebound by J. Holiday
3:23.0,,,51-47,,J. Holiday misses 3-pt shot from 24 ft
3:23.0,Defensive rebound by H. Whiteside,,51-47,,
3:14.0,J. Richardson misses 3-pt shot from 23 ft,,51-47,,
3:12.0,,,51-47,,Defensive rebound by A. Davis
3:08.0,,,51-47,,Turnover by J. Holiday (bad pass; steal by J. Richardson)
2:56.0,H. Whiteside misses 2-pt shot from 9 ft (block by A. Davis),,51-47,,
2:56.0,,,51-47,,Defensive rebound by Team
2:56.0,Jump ball: A. Davis vs. H. Whiteside (N. Mirotic gains possession),,,,Jump ball: A. Davis vs. H. Whiteside (N. Mirotic gains possession)
2:56.0,,,51-47,,New Orleans full timeout
2:56.0,D. Wade enters the game for T. Johnson,,51-47,,
2:45.0,,,51-49,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
2:45.0,,,51-49,,Shooting foul by D. Wade (drawn by A. Davis)
2:45.0,,,51-50,1,A. Davis makes free throw 1 of 1
2:33.0,D. Wade makes 2-pt shot from 10 ft,2,53-50,,
2:24.0,,,53-50,,E. Moore misses 2-pt shot from 6 ft
2:21.0,Defensive rebound by H. Whiteside,,53-50,,
2:14.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,55-50,,
2:02.0,,,55-50,,J. Holiday misses 2-pt shot from 1 ft (block by J. Johnson)
1:58.0,Defensive rebound by J. Johnson,,55-50,,
1:57.0,G. Dragic misses 2-pt shot at rim,,55-50,,
1:54.0,Offensive rebound by J. Richardson,,55-50,,
1:42.0,Turnover by J. Richardson (bad pass; steal by A. Davis),,55-50,,
1:39.0,,,55-52,2,A. Davis makes 2-pt shot from 1 ft
1:39.0,,,55-52,,Shooting foul by G. Dragic (drawn by A. Davis)
1:39.0,T. Johnson enters the game for G. Dragic,,55-52,,
1:39.0,,,55-53,1,A. Davis makes free throw 1 of 1
1:22.0,H. Whiteside makes 2-pt shot from 6 ft (assist by T. Johnson),2,57-53,,
1:12.0,,,57-55,2,E. Moore makes 2-pt shot from 4 ft (assist by J. Holiday)
1:00.0,J. Richardson makes 2-pt shot from 9 ft,2,59-55,,
0:55.0,,,59-55,,J. Holiday misses 2-pt shot from 10 ft
0:53.0,,,59-55,,Offensive rebound by A. Davis
0:53.0,,,59-57,2,A. Davis makes 2-pt shot at rim
0:32.0,J. Richardson misses 3-pt shot from 27 ft,,59-57,,
0:29.0,,,59-57,,Defensive rebound by Team
0:29.0,B. Adebayo enters the game for H. Whiteside,,59-57,,
0:12.0,,,59-57,,A. Davis misses 2-pt shot from 3 ft
0:08.0,Defensive rebound by T. Johnson,,59-57,,
0:00.0,D. Wade misses 3-pt shot from 27 ft,,59-57,,
0:00.0,Offensive rebound by Team,,59-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,59-57,,Turnover by J. Holiday (bad pass; steal by J. Richardson)
11:39.0,G. Dragic makes 2-pt shot at rim (assist by J. Winslow),2,61-57,,
11:25.0,,,61-57,,Turnover by A. Davis (lost ball; steal by J. Winslow)
11:22.0,Shooting foul by A. Davis (drawn by J. Winslow),,61-57,,
11:22.0,J. Winslow misses free throw 1 of 2,,61-57,,
11:22.0,Offensive rebound by Team,,61-57,,
11:22.0,J. Winslow makes free throw 2 of 2,1,62-57,,
11:14.0,,,62-57,,Shooting foul by H. Whiteside (drawn by J. Holiday)
11:14.0,,,62-58,1,J. Holiday makes free throw 1 of 2
11:14.0,,,62-59,1,J. Holiday makes free throw 2 of 2
10:52.0,J. Winslow misses 2-pt shot from 8 ft,,62-59,,
10:49.0,,,62-59,,Defensive rebound by E. Okafor
10:44.0,,,62-59,,R. Rondo misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by T. Johnson,,62-59,,
10:37.0,T. Johnson misses 3-pt shot from 24 ft,,62-59,,
10:37.0,,,62-59,,Defensive rebound by A. Davis
10:27.0,,,62-59,,J. Holiday misses 2-pt shot from 5 ft
10:20.0,,,62-59,,Offensive rebound by E. Okafor
10:20.0,,,62-59,,E. Okafor misses 2-pt shot at rim
10:19.0,Defensive rebound by J. Winslow,,62-59,,
10:17.0,J. Winslow misses 2-pt shot from 2 ft (block by A. Davis),,62-59,,
10:16.0,,,62-59,,Defensive rebound by E. Okafor
10:09.0,,,62-61,2,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo)
9:51.0,J. Richardson misses 2-pt shot from 1 ft (block by A. Davis),,62-61,,
9:50.0,,,62-61,,Defensive rebound by E. Okafor
9:36.0,,,62-61,,R. Rondo misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by Team,,62-61,,
9:19.0,H. Whiteside makes 2-pt shot from 13 ft (assist by J. Richardson),2,64-61,,
9:05.0,,,64-61,,Turnover by R. Rondo (bad pass)
8:48.0,G. Dragic makes 2-pt shot from 8 ft,2,66-61,,
8:39.0,,,66-61,,A. Davis misses 3-pt shot from 25 ft
8:39.0,,,66-61,,Offensive rebound by R. Rondo
8:35.0,,,66-63,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
8:35.0,,,66-63,,Shooting foul by H. Whiteside (drawn by A. Davis)
8:35.0,,,66-64,1,A. Davis makes free throw 1 of 1
8:29.0,Shooting foul by E. Okafor (drawn by T. Johnson),,66-64,,
8:29.0,T. Johnson makes free throw 1 of 2,1,67-64,,
8:29.0,T. Johnson makes free throw 2 of 2,1,68-64,,
8:18.0,,,68-64,,A. Davis misses 3-pt shot from 26 ft
8:14.0,Defensive rebound by H. Whiteside,,68-64,,
8:04.0,J. Winslow misses 2-pt shot from 1 ft (block by E. Okafor),,68-64,,
7:59.0,,,68-64,,Defensive rebound by A. Davis
7:56.0,,,68-66,2,R. Rondo makes 2-pt shot from 3 ft
7:42.0,G. Dragic misses 2-pt shot from 13 ft,,68-66,,
7:38.0,,,68-66,,Defensive rebound by A. Davis
7:30.0,,,68-68,2,R. Rondo makes 2-pt shot from 4 ft
7:08.0,J. Winslow makes 3-pt shot from 25 ft (assist by J. Richardson),3,71-68,,
6:49.0,,,71-68,,Turnover by J. Holiday (bad pass; steal by J. Richardson)
6:45.0,J. Richardson makes 2-pt shot from 1 ft,2,73-68,,
6:38.0,,,73-70,2,A. Davis makes 2-pt shot from 17 ft (assist by E. Moore)
6:37.0,Miami full timeout,,73-70,,
6:37.0,,,73-70,,N. Mirotic enters the game for E. Okafor
6:23.0,Turnover by H. Whiteside (lost ball; steal by A. Davis),,73-70,,
6:18.0,,,73-70,,Turnover by R. Rondo (bad pass; steal by J. Richardson)
6:16.0,,,73-70,,Personal foul by R. Rondo (drawn by J. Winslow)
6:16.0,W. Ellington enters the game for J. Richardson,,73-70,,
6:08.0,J. Winslow misses 2-pt shot from 10 ft,,73-70,,
6:04.0,,,73-70,,Defensive rebound by A. Davis
5:57.0,,,73-70,,E. Moore misses 3-pt shot from 23 ft
5:55.0,,,73-70,,Offensive rebound by Team
5:55.0,Loose ball foul by H. Whiteside (drawn by A. Davis),,73-70,,
5:55.0,,,73-70,,D. Miller enters the game for R. Rondo
5:55.0,B. Adebayo enters the game for H. Whiteside,,73-70,,
5:43.0,,,73-70,,A. Davis misses 2-pt shot from 17 ft
5:38.0,Defensive rebound by B. Adebayo,,73-70,,
5:25.0,T. Johnson makes 3-pt shot from 25 ft,3,76-70,,
5:08.0,,,76-70,,Turnover by J. Holiday (bad pass; steal by J. Winslow)
5:06.0,G. Dragic makes 2-pt shot from 3 ft (assist by J. Winslow),2,78-70,,
5:06.0,,,78-70,,New Orleans full timeout
5:06.0,,,78-70,,I. Clark enters the game for D. Miller
4:53.0,,,78-70,,E. Moore misses 2-pt shot from 2 ft
4:49.0,Defensive rebound by B. Adebayo,,78-70,,
4:38.0,T. Johnson misses 2-pt shot from 17 ft,,78-70,,
4:33.0,,,78-70,,Defensive rebound by N. Mirotic
4:25.0,,,78-73,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Holiday)
4:11.0,T. Johnson misses 2-pt shot from 1 ft (block by A. Davis),,78-73,,
4:11.0,Offensive rebound by Team,,78-73,,
4:02.0,Turnover by W. Ellington (bad pass; steal by I. Clark),,78-73,,
3:56.0,,,78-75,2,E. Moore makes 2-pt shot at rim (assist by I. Clark)
3:42.0,B. Adebayo makes 2-pt shot from 1 ft (assist by G. Dragic),2,80-75,,
3:31.0,,,80-75,,E. Moore misses 2-pt shot from 9 ft
3:31.0,Defensive rebound by J. Winslow,,80-75,,
3:25.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Winslow),2,82-75,,
3:17.0,,,82-77,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
2:53.0,Shooting foul by N. Mirotic (drawn by B. Adebayo),,82-77,,
2:53.0,B. Adebayo makes free throw 1 of 2,1,83-77,,
2:53.0,,,83-77,,R. Rondo enters the game for J. Holiday
2:53.0,,,83-77,,C. Diallo enters the game for A. Davis
2:53.0,J. Johnson enters the game for G. Dragic,,83-77,,
2:53.0,D. Wade enters the game for T. Johnson,,83-77,,
2:53.0,J. Richardson enters the game for J. Winslow,,83-77,,
2:53.0,B. Adebayo makes free throw 2 of 2,1,84-77,,
2:37.0,,,84-77,,I. Clark misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by J. Johnson,,84-77,,
2:17.0,J. Richardson misses 2-pt shot from 1 ft,,84-77,,
2:13.0,,,84-77,,Defensive rebound by R. Rondo
2:11.0,,,84-77,,N. Mirotic misses 3-pt shot from 27 ft
2:11.0,Defensive rebound by J. Richardson,,84-77,,
1:52.0,D. Wade misses 2-pt shot from 15 ft,,84-77,,
1:48.0,,,84-77,,Defensive rebound by N. Mirotic
1:45.0,,,84-80,3,E. Moore makes 3-pt shot from 26 ft (assist by R. Rondo)
1:26.0,J. Richardson makes 2-pt shot from 18 ft (assist by B. Adebayo),2,86-80,,
1:15.0,,,86-82,2,N. Mirotic makes 2-pt shot from 20 ft (assist by C. Diallo)
0:59.0,J. Johnson makes 3-pt shot from 23 ft (assist by B. Adebayo),3,89-82,,
0:53.0,,,89-82,,Turnover by E. Moore (traveling)
0:53.0,,,89-82,,D. Miller enters the game for E. Moore
0:39.0,W. Ellington misses 3-pt shot from 27 ft,,89-82,,
0:37.0,,,89-82,,Defensive rebound by Team
0:37.0,Loose ball foul by B. Adebayo (drawn by D. Miller),,89-82,,
0:32.0,,,89-82,,N. Mirotic misses 3-pt shot from 28 ft
0:26.0,Defensive rebound by B. Adebayo,,89-82,,
0:17.0,D. Wade misses 2-pt shot from 8 ft,,89-82,,
0:17.0,,,89-82,,Defensive rebound by D. Miller
0:00.0,,,89-82,,R. Rondo misses 2-pt shot from 1 ft
0:00.0,,,89-82,,Offensive rebound by N. Mirotic
0:00.0,,,89-84,2,N. Mirotic makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by D. Wade (bad pass; steal by C. Diallo),,89-84,,
11:30.0,,,89-84,,C. Diallo misses 2-pt shot from 1 ft
11:25.0,Defensive rebound by D. Wade,,89-84,,
11:13.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Johnson),3,92-84,,
10:51.0,,,92-84,,Shooting foul by B. Adebayo (drawn by C. Diallo)
10:51.0,,,92-84,,C. Diallo misses free throw 1 of 2
10:51.0,,,92-84,,Offensive rebound by Team
10:51.0,H. Whiteside enters the game for B. Adebayo,,92-84,,
10:51.0,,,92-85,1,C. Diallo makes free throw 2 of 2
10:43.0,J. Johnson misses 2-pt shot from 2 ft,,92-85,,
10:41.0,Offensive rebound by H. Whiteside,,92-85,,
10:41.0,,,92-85,,E. Okafor enters the game for C. Diallo
10:36.0,D. Wade misses 2-pt shot from 15 ft,,92-85,,
10:36.0,,,92-85,,Defensive rebound by N. Mirotic
10:13.0,,,92-85,,R. Rondo misses 2-pt shot at rim
10:13.0,,,92-85,,Offensive rebound by E. Okafor
10:07.0,,,92-87,2,E. Okafor makes 2-pt shot at rim
9:47.0,J. Johnson misses 3-pt shot from 25 ft,,92-87,,
9:43.0,,,92-87,,Defensive rebound by I. Clark
9:31.0,,,92-87,,N. Mirotic misses 2-pt shot from 10 ft
9:28.0,Defensive rebound by J. Johnson,,92-87,,
9:22.0,J. Johnson misses 2-pt shot from 1 ft (block by E. Okafor),,92-87,,
9:21.0,,,92-87,,Defensive rebound by N. Mirotic
9:17.0,,,92-89,2,I. Clark makes 2-pt shot from 1 ft (assist by R. Rondo)
9:17.0,Miami full timeout,,92-89,,
8:59.0,W. Ellington misses 3-pt shot from 26 ft,,92-89,,
8:53.0,,,92-89,,Defensive rebound by E. Okafor
8:50.0,,,92-89,,Shooting foul by D. Wade (drawn by D. Miller)
8:50.0,,,92-90,1,D. Miller makes free throw 1 of 3
8:50.0,,,92-91,1,D. Miller makes free throw 2 of 3
8:50.0,,,92-91,,J. Holiday enters the game for N. Mirotic
8:50.0,,,92-91,,A. Davis enters the game for E. Okafor
8:50.0,,,92-92,1,D. Miller makes free throw 3 of 3
