time,Dallas,pts.away,score,pts.home,LA Lakers
6:01.0,,,5-20,,I. Thomas enters the game for K. Caldwell-Pope
6:01.0,,,5-20,,L. Ball enters the game for J. Hart
5:53.0,D. Smith misses 2-pt shot at rim,,5-20,,
5:51.0,,,5-20,,Defensive rebound by B. Ingram
5:46.0,,,5-23,3,L. Ball makes 3-pt shot from 25 ft (assist by B. Ingram)
5:44.0,Dallas full timeout,,5-23,,
5:44.0,D. McDermott enters the game for D. Smith,,5-23,,
5:44.0,D. Nowitzki enters the game for W. Matthews,,5-23,,
5:44.0,J. Barea enters the game for H. Barnes,,5-23,,
5:23.0,Turnover by D. McDermott (step out of bounds),,5-23,,
5:12.0,,,5-23,,L. Ball misses 3-pt shot from 26 ft
5:09.0,Defensive rebound by Team,,5-23,,
4:56.0,Y. Ferrell misses 3-pt shot from 25 ft,,5-23,,
4:53.0,,,5-23,,Defensive rebound by J. Randle
4:45.0,,,5-23,,B. Lopez misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by D. Powell,,5-23,,
4:33.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by D. McDermott),3,8-23,,
4:16.0,,,8-23,,I. Thomas misses 3-pt shot from 26 ft
4:12.0,,,8-23,,Offensive rebound by B. Ingram
4:09.0,,,8-25,2,B. Ingram makes 2-pt shot from 14 ft
3:57.0,D. Powell misses 2-pt shot from 2 ft,,8-25,,
3:55.0,,,8-25,,Defensive rebound by B. Lopez
3:37.0,,,8-25,,I. Thomas misses 3-pt shot from 23 ft
3:36.0,,,8-25,,Offensive rebound by J. Randle
3:34.0,,,8-27,2,J. Randle makes 2-pt shot from 2 ft
3:20.0,D. Powell misses 2-pt shot from 1 ft,,8-27,,
3:17.0,,,8-27,,Defensive rebound by L. Ball
3:10.0,,,8-27,,Turnover by J. Randle (lost ball; steal by Y. Ferrell)
3:05.0,D. McDermott makes 3-pt shot from 26 ft (assist by J. Barea),3,11-27,,
3:03.0,,,11-27,,LA Lakers full timeout
3:03.0,,,11-27,,K. Kuzma enters the game for B. Lopez
2:46.0,,,11-27,,I. Thomas misses 2-pt shot from 2 ft
2:45.0,Defensive rebound by Team,,11-27,,
2:45.0,,,11-27,,Loose ball foul by J. Randle (drawn by D. Nowitzki)
2:26.0,Y. Ferrell misses 2-pt shot from 14 ft,,11-27,,
2:24.0,,,11-27,,Defensive rebound by J. Randle
2:22.0,,,11-27,,Turnover by B. Ingram (traveling)
2:07.0,D. Powell makes 2-pt shot from 3 ft (assist by J. Barea),2,13-27,,
1:49.0,,,13-27,,J. Randle misses 2-pt shot from 1 ft (block by D. Nowitzki)
1:49.0,,,13-27,,Offensive rebound by Team
1:49.0,,,13-27,,I. Zubac enters the game for J. Randle
1:49.0,H. Barnes enters the game for D. Nowitzki,,13-27,,
1:49.0,Technical foul by D. McDermott (drawn by I. Thomas),,13-27,,
1:49.0,,,13-28,1,I. Thomas makes free throw 1 of 1
1:44.0,,,13-28,,B. Ingram misses 2-pt shot from 11 ft
1:41.0,,,13-28,,Offensive rebound by K. Kuzma
1:36.0,,,13-28,,B. Ingram misses 2-pt shot from 2 ft
1:36.0,Defensive rebound by D. Powell,,13-28,,
1:25.0,H. Barnes misses 2-pt shot from 1 ft,,13-28,,
1:23.0,,,13-28,,Defensive rebound by I. Zubac
1:16.0,,,13-30,2,I. Zubac makes 2-pt shot from 1 ft (assist by L. Ball)
1:02.0,J. Barea makes 2-pt shot from 1 ft,2,15-30,,
0:53.0,,,15-30,,Turnover by I. Thomas (bad pass; steal by Y. Ferrell)
0:49.0,Y. Ferrell misses 2-pt shot from 2 ft,,15-30,,
0:47.0,,,15-30,,Defensive rebound by I. Thomas
0:44.0,,,15-30,,Turnover by K. Kuzma (out of bounds lost ball)
0:31.0,D. McDermott misses 3-pt shot from 27 ft,,15-30,,
0:28.0,,,15-30,,Defensive rebound by B. Ingram
0:08.0,,,15-30,,L. Ball misses 3-pt shot from 25 ft
0:06.0,,,15-30,,Offensive rebound by I. Zubac
0:06.0,,,15-30,,Shooting foul by D. Powell (drawn by I. Zubac)
0:06.0,,,15-31,1,I. Zubac makes free throw 1 of 2
0:06.0,,,15-31,,K. Caldwell-Pope enters the game for B. Ingram
0:06.0,D. Smith enters the game for J. Barea,,15-31,,
0:06.0,W. Matthews enters the game for Y. Ferrell,,15-31,,
0:06.0,,,15-32,1,I. Zubac makes free throw 2 of 2
0:04.0,,,15-32,,Personal take foul by I. Thomas (drawn by D. Smith)
0:01.0,H. Barnes makes 2-pt shot from 7 ft,2,17-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Barea misses 2-pt shot from 21 ft,,17-32,,
11:41.0,,,17-32,,Defensive rebound by L. Ball
11:37.0,,,17-32,,K. Kuzma misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by D. Smith,,17-32,,
11:22.0,D. Powell misses 2-pt shot from 16 ft,,17-32,,
11:20.0,,,17-32,,Defensive rebound by L. Ball
11:05.0,,,17-34,2,I. Thomas makes 2-pt shot at rim (assist by I. Zubac)
10:55.0,J. Barea makes 3-pt shot from 26 ft,3,20-34,,
10:42.0,,,20-34,,I. Zubac misses 2-pt shot from 6 ft (block by D. Nowitzki)
10:39.0,Defensive rebound by D. Smith,,20-34,,
10:37.0,D. McDermott makes 3-pt shot from 25 ft (assist by D. Smith),3,23-34,,
10:23.0,,,23-34,,I. Thomas misses 3-pt shot from 26 ft
10:20.0,Defensive rebound by D. Nowitzki,,23-34,,
10:14.0,J. Barea makes 3-pt shot from 27 ft,3,26-34,,
10:10.0,,,26-34,,LA Lakers full timeout
9:57.0,,,26-37,3,L. Ball makes 3-pt shot from 26 ft (assist by K. Kuzma)
9:42.0,Turnover by D. McDermott (bad pass; steal by K. Caldwell-Pope),,26-37,,
9:41.0,,,26-37,,Turnover by L. Ball (bad pass)
9:38.0,,,26-37,,Personal foul by K. Kuzma (drawn by D. Nowitzki)
9:24.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by J. Barea),3,29-37,,
9:06.0,,,29-37,,L. Ball misses 2-pt shot from 11 ft
9:06.0,Defensive rebound by D. Nowitzki,,29-37,,
8:58.0,D. Nowitzki misses 3-pt shot from 26 ft,,29-37,,
8:55.0,,,29-37,,Defensive rebound by K. Caldwell-Pope
8:48.0,,,29-39,2,I. Zubac makes 2-pt shot at rim (assist by L. Ball)
8:30.0,Turnover by D. Nowitzki (bad pass; steal by I. Thomas),,29-39,,
8:18.0,,,29-42,3,L. Ball makes 3-pt shot from 26 ft
8:17.0,Dallas full timeout,,29-42,,
8:17.0,,,29-42,,J. Hart enters the game for L. Ball
8:17.0,H. Barnes enters the game for D. Powell,,29-42,,
8:17.0,M. Kleber enters the game for D. McDermott,,29-42,,
8:17.0,Y. Ferrell enters the game for D. Nowitzki,,29-42,,
8:17.0,W. Matthews enters the game for J. Barea,,29-42,,
8:07.0,W. Matthews misses 3-pt shot from 26 ft,,29-42,,
8:02.0,,,29-42,,Defensive rebound by I. Zubac
7:51.0,,,29-42,,K. Kuzma misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by Y. Ferrell,,29-42,,
7:43.0,D. Smith makes 3-pt shot from 26 ft,3,32-42,,
7:28.0,,,32-42,,K. Kuzma misses 3-pt shot from 22 ft
7:28.0,,,32-42,,Offensive rebound by K. Kuzma
7:28.0,,,32-42,,K. Kuzma misses 3-pt shot from 22 ft (block by D. Smith)
7:28.0,,,32-42,,Offensive rebound by Team
7:22.0,,,32-42,,K. Caldwell-Pope misses 2-pt shot from 19 ft
7:19.0,Defensive rebound by Y. Ferrell,,32-42,,
7:15.0,Y. Ferrell misses 2-pt shot from 2 ft (block by K. Kuzma),,32-42,,
7:15.0,Offensive rebound by Team,,32-42,,
7:15.0,,,32-42,,B. Ingram enters the game for I. Thomas
7:00.0,M. Kleber misses 2-pt shot from 19 ft,,32-42,,
6:57.0,,,32-42,,Defensive rebound by K. Caldwell-Pope
6:43.0,,,32-42,,K. Caldwell-Pope misses 3-pt shot from 26 ft
6:42.0,,,32-42,,Offensive rebound by I. Zubac
6:42.0,Personal foul by H. Barnes (drawn by I. Zubac),,32-42,,
6:32.0,,,32-42,,J. Hart misses 3-pt shot from 26 ft
6:28.0,Defensive rebound by H. Barnes,,32-42,,
6:20.0,D. Smith misses 2-pt shot from 17 ft,,32-42,,
6:20.0,Offensive rebound by Team,,32-42,,
6:20.0,,,32-42,,J. Randle enters the game for K. Kuzma
6:18.0,H. Barnes misses 2-pt shot from 20 ft,,32-42,,
6:14.0,,,32-42,,Defensive rebound by K. Caldwell-Pope
6:10.0,Personal foul by D. Smith (drawn by I. Zubac),,32-42,,
5:56.0,,,32-42,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:52.0,Defensive rebound by H. Barnes,,32-42,,
5:48.0,Y. Ferrell misses 3-pt shot from 25 ft,,32-42,,
5:44.0,,,32-42,,Defensive rebound by K. Caldwell-Pope
5:25.0,,,32-42,,J. Hart misses 2-pt shot from 2 ft
5:22.0,,,32-42,,Offensive rebound by I. Zubac
5:22.0,,,32-44,2,I. Zubac makes 2-pt shot at rim
5:07.0,,,32-44,,Personal foul by B. Ingram (drawn by D. Smith)
4:54.0,M. Kleber misses 3-pt shot from 25 ft,,32-44,,
4:52.0,,,32-44,,Defensive rebound by J. Hart
4:49.0,Personal foul by W. Matthews (drawn by B. Ingram),,32-44,,
4:49.0,,,32-44,,B. Lopez enters the game for I. Zubac
4:42.0,,,32-46,2,B. Ingram makes 2-pt shot from 1 ft
4:31.0,D. Smith misses 3-pt shot from 27 ft,,32-46,,
4:28.0,,,32-46,,Defensive rebound by J. Randle
4:20.0,,,32-46,,Offensive charge foul by B. Ingram (drawn by Y. Ferrell)
4:20.0,,,32-46,,Turnover by B. Ingram (offensive foul)
4:20.0,D. McDermott enters the game for D. Smith,,32-46,,
4:10.0,D. McDermott misses 3-pt shot from 24 ft (block by B. Ingram),,32-46,,
4:08.0,,,32-46,,Defensive rebound by B. Lopez
4:03.0,,,32-48,2,J. Randle makes 2-pt shot from 3 ft (assist by B. Ingram)
4:03.0,Dallas full timeout,,32-48,,
4:03.0,,,32-48,,I. Thomas enters the game for K. Caldwell-Pope
3:48.0,W. Matthews misses 2-pt shot from 15 ft,,32-48,,
3:45.0,,,32-48,,Defensive rebound by I. Thomas
3:32.0,,,32-50,2,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle)
3:17.0,H. Barnes makes 2-pt shot from 15 ft (assist by Y. Ferrell),2,34-50,,
3:04.0,,,34-50,,Turnover by J. Randle (traveling)
2:46.0,D. McDermott makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,37-50,,
2:35.0,Personal foul by Y. Ferrell (drawn by I. Thomas),,37-50,,
2:25.0,,,37-52,2,J. Randle makes 2-pt shot from 2 ft (assist by I. Thomas)
2:08.0,H. Barnes makes 2-pt shot from 19 ft,2,39-52,,
1:53.0,,,39-52,,Shooting foul by M. Kleber (drawn by B. Ingram)
1:53.0,,,39-53,1,B. Ingram makes free throw 1 of 2
1:53.0,D. Smith enters the game for Y. Ferrell,,39-53,,
1:53.0,,,39-54,1,B. Ingram makes free throw 2 of 2
1:45.0,,,39-54,,K. Caldwell-Pope enters the game for B. Ingram
1:45.0,,,39-54,,Personal foul by B. Ingram (drawn by H. Barnes)
1:38.0,,,39-54,,Personal foul by I. Thomas (drawn by D. Smith)
1:38.0,D. Smith makes free throw 1 of 2,1,40-54,,
1:38.0,D. Smith makes free throw 2 of 2,1,41-54,,
1:20.0,,,41-56,2,J. Hart makes 2-pt shot from 1 ft (assist by J. Randle)
1:07.0,H. Barnes misses 2-pt shot from 2 ft,,41-56,,
1:04.0,,,41-56,,Defensive rebound by J. Hart
1:00.0,,,41-58,2,J. Hart makes 2-pt shot from 2 ft (assist by J. Randle)
0:46.0,D. Smith misses 2-pt shot from 2 ft (block by B. Lopez),,41-58,,
0:45.0,,,41-58,,Defensive rebound by J. Randle
0:42.0,,,41-61,3,I. Thomas makes 3-pt shot from 26 ft (assist by J. Randle)
0:31.0,D. Smith misses 3-pt shot from 27 ft,,41-61,,
0:29.0,,,41-61,,Defensive rebound by J. Randle
0:09.0,,,41-63,2,J. Randle makes 2-pt shot from 1 ft (assist by I. Thomas)
0:03.0,Turnover by H. Barnes (out of bounds lost ball),,41-63,,
0:01.0,,,41-63,,J. Hart misses 3-pt shot from 26 ft
0:00.0,,,41-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Smith),3,44-63,,
11:19.0,,,44-63,,B. Lopez misses 3-pt shot from 26 ft
11:14.0,,,44-63,,Offensive rebound by J. Hart
11:14.0,,,44-63,,J. Hart misses 2-pt shot at rim
11:13.0,Defensive rebound by D. Smith,,44-63,,
11:10.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Smith),3,47-63,,
11:10.0,,,47-63,,LA Lakers full timeout
10:57.0,,,47-66,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Lopez)
10:40.0,W. Matthews makes 3-pt shot from 26 ft (assist by H. Barnes),3,50-66,,
10:27.0,,,50-66,,J. Randle misses 2-pt shot from 2 ft (block by D. Nowitzki)
10:25.0,Defensive rebound by J. Barea,,50-66,,
10:13.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Smith),3,53-66,,
9:54.0,,,53-69,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by B. Lopez)
9:33.0,D. Nowitzki misses 3-pt shot from 27 ft,,53-69,,
9:30.0,,,53-69,,Defensive rebound by B. Ingram
9:26.0,,,53-71,2,B. Ingram makes 2-pt shot from 22 ft
9:09.0,J. Barea misses 2-pt shot from 20 ft,,53-71,,
9:06.0,,,53-71,,Defensive rebound by B. Ingram
8:59.0,,,53-71,,Turnover by B. Ingram (lost ball; steal by W. Matthews)
8:43.0,D. Smith misses 3-pt shot from 26 ft,,53-71,,
8:41.0,,,53-71,,Defensive rebound by J. Hart
8:31.0,,,53-73,2,J. Hart makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
8:10.0,J. Barea misses 3-pt shot from 28 ft,,53-73,,
8:07.0,,,53-73,,Defensive rebound by J. Randle
7:54.0,,,53-73,,Turnover by J. Randle (bad pass; steal by H. Barnes)
7:38.0,H. Barnes makes 3-pt shot from 23 ft (assist by W. Matthews),3,56-73,,
7:22.0,,,56-75,2,J. Hart makes 2-pt shot from 1 ft (assist by B. Ingram)
6:56.0,W. Matthews misses 3-pt shot from 26 ft,,56-75,,
6:55.0,,,56-75,,Defensive rebound by J. Randle
6:49.0,,,56-75,,B. Lopez misses 2-pt shot from 14 ft
6:46.0,Defensive rebound by H. Barnes,,56-75,,
6:30.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by W. Matthews),2,58-75,,
6:07.0,,,58-78,3,B. Lopez makes 3-pt shot from 24 ft (assist by J. Randle)
5:56.0,W. Matthews misses 3-pt shot from 26 ft,,58-78,,
5:52.0,,,58-78,,Defensive rebound by J. Randle
5:45.0,,,58-80,2,J. Randle makes 2-pt shot from 5 ft
5:45.0,Dallas full timeout,,58-80,,
5:45.0,D. Powell enters the game for J. Barea,,58-80,,
5:45.0,Y. Ferrell enters the game for D. Nowitzki,,58-80,,
5:31.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith),3,61-80,,
5:03.0,,,61-80,,K. Caldwell-Pope misses 2-pt shot from 8 ft
5:01.0,Defensive rebound by D. Smith,,61-80,,
4:52.0,D. Smith misses 2-pt shot from 15 ft,,61-80,,
4:49.0,,,61-80,,Defensive rebound by B. Lopez
4:36.0,,,61-80,,I. Thomas enters the game for K. Caldwell-Pope
4:36.0,,,61-80,,L. Ball enters the game for J. Hart
4:26.0,,,61-82,2,J. Randle makes 2-pt shot from 3 ft (assist by L. Ball)
4:17.0,Shooting foul by B. Ingram (drawn by H. Barnes),,61-82,,
4:17.0,H. Barnes makes free throw 1 of 2,1,62-82,,
4:17.0,,,62-82,,K. Kuzma enters the game for B. Lopez
4:17.0,,,62-82,,K. Caldwell-Pope enters the game for B. Ingram
4:17.0,H. Barnes makes free throw 2 of 2,1,63-82,,
4:03.0,,,63-82,,Turnover by K. Caldwell-Pope (lost ball; steal by D. Smith)
4:01.0,Turnover by D. Smith (lost ball; steal by I. Thomas),,63-82,,
3:57.0,,,63-82,,I. Thomas misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by Team,,63-82,,
3:42.0,Y. Ferrell makes 2-pt shot from 1 ft (assist by D. Powell),2,65-82,,
3:27.0,,,65-82,,L. Ball misses 3-pt shot from 26 ft
3:25.0,Defensive rebound by H. Barnes,,65-82,,
3:15.0,H. Barnes misses 3-pt shot from 26 ft,,65-82,,
3:11.0,,,65-82,,Defensive rebound by K. Caldwell-Pope
3:09.0,,,65-82,,Shooting foul by Y. Ferrell (drawn by I. Thomas)
3:09.0,,,65-83,1,I. Thomas makes free throw 1 of 2
3:09.0,,,65-84,1,I. Thomas makes free throw 2 of 2
3:01.0,,,65-84,,Personal foul by K. Caldwell-Pope (drawn by W. Matthews)
2:51.0,W. Matthews makes 2-pt shot from 2 ft,2,67-84,,
2:45.0,,,67-84,,Turnover by L. Ball (bad pass; steal by Y. Ferrell)
2:41.0,D. Smith makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,69-84,,
2:24.0,,,69-86,2,J. Randle makes 2-pt shot from 2 ft (assist by L. Ball)
2:02.0,W. Matthews misses 2-pt shot from 3 ft,,69-86,,
2:00.0,,,69-86,,Defensive rebound by L. Ball
1:55.0,,,69-88,2,K. Kuzma makes 2-pt shot from 2 ft (assist by J. Randle)
1:38.0,D. Smith makes 2-pt shot from 10 ft (assist by D. Powell),2,71-88,,
1:20.0,,,71-91,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by I. Thomas)
1:07.0,,,71-91,,Personal foul by J. Randle (drawn by D. Powell)
1:07.0,,,71-91,,I. Zubac enters the game for J. Randle
1:07.0,D. McDermott enters the game for D. Smith,,71-91,,
1:07.0,J. Barea enters the game for W. Matthews,,71-91,,
1:07.0,D. Nowitzki enters the game for H. Barnes,,71-91,,
1:00.0,Y. Ferrell makes 2-pt shot from 21 ft,2,73-91,,
0:51.0,,,73-93,2,I. Thomas makes 2-pt shot from 10 ft
0:33.0,Y. Ferrell misses 3-pt shot from 27 ft,,73-93,,
0:28.0,Offensive rebound by D. Powell,,73-93,,
0:26.0,J. Barea makes 3-pt shot from 26 ft (assist by D. Powell),3,76-93,,
0:07.0,Personal take foul by D. Nowitzki (drawn by I. Thomas),,76-93,,
0:07.0,M. Kleber enters the game for D. Nowitzki,,76-93,,
0:01.0,,,76-95,2,I. Thomas makes 2-pt shot from 17 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,76-95,,Shooting foul by D. Powell (drawn by K. Kuzma)
11:42.0,,,76-96,1,K. Kuzma makes free throw 1 of 2
11:42.0,,,76-97,1,K. Kuzma makes free throw 2 of 2
11:29.0,Y. Ferrell misses 3-pt shot from 26 ft,,76-97,,
11:23.0,,,76-97,,Defensive rebound by L. Ball
11:20.0,,,76-97,,Turnover by I. Zubac (bad pass; steal by J. Barea)
11:17.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by J. Barea),3,79-97,,
11:01.0,,,79-97,,Turnover by I. Thomas (step out of bounds)
10:55.0,Y. Ferrell makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,81-97,,
10:55.0,Shooting foul by I. Zubac (drawn by Y. Ferrell),,81-97,,
10:55.0,Y. Ferrell makes free throw 1 of 1,1,82-97,,
10:42.0,,,82-99,2,I. Zubac makes 2-pt shot from 1 ft (assist by I. Thomas)
10:22.0,Shooting foul by I. Zubac (drawn by D. Powell),,82-99,,
10:22.0,D. Powell misses free throw 1 of 2,,82-99,,
10:22.0,Offensive rebound by Team,,82-99,,
10:22.0,D. Powell makes free throw 2 of 2,1,83-99,,
10:11.0,,,83-99,,K. Kuzma misses 3-pt shot from 27 ft
10:06.0,,,83-99,,Offensive rebound by L. Ball
10:06.0,,,83-99,,L. Ball misses 2-pt shot at rim
10:05.0,Defensive rebound by D. Nowitzki,,83-99,,
10:02.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,86-99,,
9:41.0,,,86-99,,I. Thomas misses 2-pt shot from 2 ft (block by D. Powell)
9:36.0,,,86-99,,Offensive rebound by L. Ball
9:35.0,,,86-101,2,I. Zubac makes 2-pt shot from 2 ft (assist by L. Ball)
9:24.0,Y. Ferrell makes 3-pt shot from 24 ft (assist by D. McDermott),3,89-101,,
9:23.0,,,89-101,,LA Lakers full timeout
9:10.0,,,89-104,3,I. Thomas makes 3-pt shot from 26 ft (assist by L. Ball)
8:57.0,,,89-104,,Personal foul by I. Zubac (drawn by Y. Ferrell)
8:57.0,,,89-104,,B. Ingram enters the game for L. Ball
8:46.0,D. Powell misses 2-pt shot from 2 ft,,89-104,,
8:44.0,,,89-104,,Defensive rebound by J. Hart
8:39.0,,,89-104,,I. Thomas misses 3-pt shot from 26 ft
8:36.0,Defensive rebound by D. Powell,,89-104,,
8:25.0,D. McDermott misses 3-pt shot from 24 ft,,89-104,,
8:23.0,,,89-104,,Defensive rebound by J. Hart
8:20.0,,,89-106,2,K. Kuzma makes 2-pt shot from 2 ft (assist by J. Hart)
8:03.0,Turnover by J. Barea (bad pass; steal by B. Ingram),,89-106,,
8:03.0,Personal take foul by D. Nowitzki (drawn by I. Thomas),,89-106,,
8:03.0,D. Smith enters the game for Y. Ferrell,,89-106,,
8:03.0,W. Matthews enters the game for D. McDermott,,89-106,,
8:03.0,H. Barnes enters the game for D. Nowitzki,,89-106,,
7:47.0,,,89-109,3,K. Kuzma makes 3-pt shot from 28 ft
7:34.0,Turnover by D. Smith (bad pass),,89-109,,
7:34.0,,,89-109,,J. Randle enters the game for I. Zubac
7:25.0,,,89-109,,Turnover by K. Kuzma (traveling)
7:10.0,Shooting foul by K. Kuzma (drawn by J. Barea),,89-109,,
7:10.0,J. Barea makes free throw 1 of 2,1,90-109,,
7:10.0,J. Barea misses free throw 2 of 2,,90-109,,
7:08.0,,,90-109,,Defensive rebound by J. Randle
7:03.0,,,90-109,,Shooting foul by D. Powell (drawn by I. Thomas)
7:03.0,,,90-110,1,I. Thomas makes free throw 1 of 2
7:03.0,,,90-111,1,I. Thomas makes free throw 2 of 2
6:41.0,W. Matthews makes 2-pt shot from 17 ft,2,92-111,,
6:28.0,,,92-111,,K. Kuzma misses 2-pt shot from 1 ft
6:26.0,Defensive rebound by J. Barea,,92-111,,
6:14.0,Turnover by W. Matthews (bad pass; steal by B. Ingram),,92-111,,
5:58.0,,,92-114,3,K. Kuzma makes 3-pt shot from 26 ft (assist by J. Randle)
5:57.0,Dallas full timeout,,92-114,,
5:57.0,,,92-114,,K. Caldwell-Pope enters the game for I. Thomas
5:57.0,M. Kleber enters the game for J. Barea,,92-114,,
5:57.0,Y. Ferrell enters the game for D. Powell,,92-114,,
5:41.0,D. Smith makes 2-pt shot from 1 ft (assist by M. Kleber),2,94-114,,
5:22.0,,,94-117,3,B. Ingram makes 3-pt shot from 27 ft (assist by J. Randle)
5:14.0,D. Smith misses 3-pt shot from 27 ft,,94-117,,
5:10.0,,,94-117,,Defensive rebound by B. Ingram
4:56.0,,,94-117,,J. Randle misses 2-pt shot from 5 ft
