time,Sacramento,pts.away,score,pts.home,Oklahoma City
7:45.0,,,21-24,,R. Westbrook misses 2-pt shot from 13 ft
7:40.0,,,21-24,,Offensive rebound by S. Adams
7:28.0,,,21-24,,P. Patterson misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by V. Carter,,21-24,,
7:20.0,F. Mason misses 3-pt shot from 24 ft,,21-24,,
7:18.0,Offensive rebound by W. Cauley-Stein,,21-24,,
7:18.0,Sacramento full timeout,,21-24,,
7:18.0,,,21-24,,C. Anthony enters the game for P. Patterson
7:07.0,Shooting foul by R. Westbrook (drawn by W. Cauley-Stein),,21-24,,
7:07.0,W. Cauley-Stein makes free throw 1 of 2,1,22-24,,
7:07.0,W. Cauley-Stein misses free throw 2 of 2,,22-24,,
7:05.0,,,22-24,,Defensive rebound by R. Westbrook
6:56.0,Personal foul by W. Cauley-Stein (drawn by S. Adams),,22-24,,
6:56.0,,,22-24,,C. Brewer enters the game for R. Felton
6:56.0,,,22-24,,P. George enters the game for T. Ferguson
6:56.0,K. Koufos enters the game for W. Cauley-Stein,,22-24,,
6:56.0,B. Bogdanovic enters the game for B. Hield,,22-24,,
6:41.0,,,22-24,,R. Westbrook misses 2-pt shot from 2 ft
6:39.0,Defensive rebound by G. Temple,,22-24,,
6:35.0,G. Temple makes 2-pt shot at rim,2,24-24,,
6:23.0,,,24-26,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:07.0,B. Bogdanovic misses 3-pt shot from 23 ft,,24-26,,
6:04.0,Offensive rebound by K. Koufos,,24-26,,
6:00.0,K. Koufos makes 2-pt shot from 6 ft,2,26-26,,
5:43.0,Violation by K. Koufos (kicked ball),,26-26,,
5:43.0,,,26-26,,Oklahoma City full timeout
5:43.0,D. Fox enters the game for F. Mason,,26-26,,
5:43.0,Z. Randolph enters the game for V. Carter,,26-26,,
5:34.0,,,26-26,,C. Anthony misses 2-pt shot from 13 ft
