time,Phoenix,pts.away,score,pts.home,Cleveland
5:09.0,,,35-49,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
4:56.0,E. Payton misses 2-pt shot from 5 ft (block by J. Clarkson),,35-49,,
4:48.0,Offensive rebound by E. Payton,,35-49,,
4:48.0,E. Payton makes 2-pt shot at rim,2,37-49,,
4:41.0,Personal foul by E. Payton (drawn by J. Clarkson),,37-49,,
4:41.0,,,37-49,,J. Clarkson misses free throw 1 of 2
4:41.0,,,37-49,,Offensive rebound by Team
4:41.0,,,37-49,,L. Nance enters the game for J. Smith
4:41.0,A. Len enters the game for M. Chriss,,37-49,,
4:41.0,D. Bender enters the game for J. Dudley,,37-49,,
4:41.0,,,37-50,1,J. Clarkson makes free throw 2 of 2
4:24.0,Turnover by E. Payton (bad pass; steal by K. Love),,37-50,,
4:12.0,,,37-52,2,J. Clarkson makes 2-pt shot from 10 ft (assist by L. Nance)
4:00.0,E. Payton misses 2-pt shot from 15 ft,,37-52,,
3:58.0,,,37-52,,Defensive rebound by L. Nance
3:54.0,,,37-55,3,K. Love makes 3-pt shot from 27 ft (assist by L. James)
3:54.0,Phoenix full timeout,,37-55,,
3:54.0,,,37-55,,R. Hood enters the game for J. Clarkson
3:54.0,T. Ulis enters the game for E. Payton,,37-55,,
3:39.0,Shooting foul by L. James (drawn by A. Len),,37-55,,
3:39.0,A. Len makes free throw 1 of 2,1,38-55,,
3:39.0,A. Len misses free throw 2 of 2,,38-55,,
3:37.0,,,38-55,,Defensive rebound by K. Love
3:29.0,,,38-55,,Shooting foul by A. Len (drawn by R. Hood)
3:29.0,,,38-55,,R. Hood misses free throw 1 of 2
3:29.0,,,38-55,,Offensive rebound by Team
3:29.0,M. Chriss enters the game for A. Len,,38-55,,
3:29.0,,,38-56,1,R. Hood makes free throw 2 of 2
3:18.0,T. Daniels makes 3-pt shot from 25 ft (assist by T. Ulis),3,41-56,,
3:03.0,,,41-58,2,L. James makes 2-pt shot from 2 ft
2:48.0,J. Jackson misses 3-pt shot from 22 ft,,41-58,,
2:45.0,,,41-58,,Defensive rebound by L. Nance
2:39.0,,,41-58,,K. Love misses 3-pt shot from 27 ft
2:37.0,Defensive rebound by D. Bender,,41-58,,
2:32.0,J. Jackson misses 2-pt shot at rim,,41-58,,
2:23.0,Offensive rebound by M. Chriss,,41-58,,
2:23.0,M. Chriss makes 2-pt shot at rim,2,43-58,,
2:21.0,,,43-58,,L. Nance misses 2-pt shot from 20 ft
2:21.0,Defensive rebound by T. Daniels,,43-58,,
2:02.0,M. Chriss misses 2-pt shot from 10 ft,,43-58,,
2:01.0,,,43-58,,Defensive rebound by Team
2:01.0,,,43-58,,G. Hill enters the game for J. Calderon
2:01.0,,,43-58,,Cleveland full timeout
2:01.0,,,43-58,,J. Smith enters the game for L. James
1:45.0,,,43-58,,R. Hood misses 2-pt shot from 15 ft
1:43.0,,,43-58,,Offensive rebound by L. Nance
1:39.0,,,43-58,,R. Hood misses 3-pt shot from 26 ft
1:36.0,Defensive rebound by J. Jackson,,43-58,,
1:28.0,J. Jackson makes 2-pt shot from 9 ft,2,45-58,,
1:15.0,,,45-58,,K. Love misses 2-pt shot from 10 ft
1:13.0,Defensive rebound by M. Chriss,,45-58,,
1:07.0,T. Daniels misses 3-pt shot from 26 ft,,45-58,,
1:05.0,,,45-58,,Defensive rebound by L. Nance
0:54.0,Personal foul by J. Jackson (drawn by K. Love),,45-58,,
0:54.0,,,45-59,1,K. Love makes free throw 1 of 2
0:54.0,D. Reed enters the game for J. Jackson,,45-59,,
0:54.0,,,45-60,1,K. Love makes free throw 2 of 2
0:35.0,Shooting foul by K. Love (drawn by M. Chriss),,45-60,,
0:35.0,M. Chriss misses free throw 1 of 2,,45-60,,
0:35.0,Offensive rebound by Team,,45-60,,
0:35.0,M. Chriss misses free throw 2 of 2,,45-60,,
0:32.0,,,45-60,,Defensive rebound by K. Love
0:20.0,,,45-60,,J. Smith misses 2-pt shot from 3 ft
0:14.0,,,45-60,,Offensive rebound by L. Nance
0:14.0,,,45-62,2,L. Nance makes 2-pt shot at rim
0:03.0,T. Ulis misses 2-pt shot from 18 ft,,45-62,,
0:03.0,,,45-62,,Defensive rebound by L. Nance
0:00.0,,,45-62,,L. Nance misses 3-pt shot from 58 ft
0:00.0,,,45-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,45-62,,Turnover by J. Calderon (bad pass; steal by J. Jackson)
11:46.0,J. Jackson makes 2-pt shot from 2 ft,2,47-62,,
11:26.0,,,47-62,,Shooting foul by J. Jackson (drawn by L. Nance)
11:26.0,,,47-63,1,L. Nance makes free throw 1 of 2
11:26.0,,,47-64,1,L. Nance makes free throw 2 of 2
11:03.0,M. Chriss makes 2-pt shot from 1 ft,2,49-64,,
10:51.0,,,49-64,,Turnover by J. Calderon (bad pass; steal by J. Jackson)
10:45.0,J. Jackson makes 2-pt shot from 7 ft,2,51-64,,
10:31.0,,,51-64,,L. James misses 2-pt shot at rim
10:24.0,,,51-64,,Offensive rebound by L. Nance
10:24.0,,,51-66,2,L. Nance makes 2-pt shot at rim
10:12.0,T. Daniels misses 3-pt shot from 26 ft,,51-66,,
10:09.0,,,51-66,,Defensive rebound by J. Calderon
9:54.0,,,51-66,,K. Love misses 3-pt shot from 29 ft
9:51.0,Defensive rebound by T. Daniels,,51-66,,
9:47.0,E. Payton misses 2-pt shot from 6 ft (block by L. James),,51-66,,
9:47.0,Offensive rebound by Team,,51-66,,
9:40.0,E. Payton misses 2-pt shot from 10 ft (block by G. Hill),,51-66,,
9:37.0,,,51-66,,Defensive rebound by G. Hill
9:35.0,Personal foul by J. Jackson (drawn by L. James),,51-66,,
9:35.0,D. Reed enters the game for J. Jackson,,51-66,,
9:26.0,,,51-68,2,L. Nance makes 2-pt shot at rim (assist by L. James)
9:12.0,D. Reed misses 3-pt shot from 25 ft,,51-68,,
9:10.0,,,51-68,,Defensive rebound by L. James
9:00.0,,,51-70,2,L. James makes 2-pt shot at rim
8:52.0,E. Payton misses 2-pt shot from 1 ft,,51-70,,
8:52.0,,,51-70,,Defensive rebound by Team
8:52.0,Loose ball foul by M. Chriss (drawn by K. Love),,51-70,,
8:37.0,,,51-72,2,L. James makes 2-pt shot from 1 ft
8:37.0,,,51-72,,Shooting foul by D. Reed (drawn by L. James)
8:37.0,,,51-72,,L. James misses free throw 1 of 1
8:37.0,Defensive rebound by M. Chriss,,51-72,,
8:24.0,Offensive foul by D. Bender (drawn by J. Calderon),,51-72,,
8:24.0,Turnover by D. Bender (offensive foul),,51-72,,
8:01.0,,,51-72,,K. Love misses 2-pt shot from 6 ft
8:01.0,,,51-72,,Offensive rebound by L. Nance
8:01.0,,,51-74,2,L. Nance makes 2-pt shot at rim
8:01.0,Phoenix full timeout,,51-74,,
8:01.0,J. Dudley enters the game for E. Payton,,51-74,,
8:01.0,T. Ulis enters the game for D. Reed,,51-74,,
7:39.0,D. Bender misses 3-pt shot from 22 ft,,51-74,,
7:39.0,,,51-74,,Defensive rebound by Team
7:18.0,,,51-76,2,L. James makes 2-pt shot from 13 ft
7:06.0,T. Daniels makes 3-pt shot from 25 ft (assist by J. Dudley),3,54-76,,
6:43.0,,,54-79,3,G. Hill makes 3-pt shot from 24 ft (assist by L. James)
6:35.0,T. Daniels misses 3-pt shot from 26 ft,,54-79,,
6:31.0,,,54-79,,Defensive rebound by L. Nance
6:11.0,,,54-79,,K. Love misses 2-pt shot from 16 ft (block by J. Dudley)
6:07.0,Defensive rebound by J. Dudley,,54-79,,
6:02.0,T. Ulis makes 2-pt shot from 1 ft (assist by T. Daniels),2,56-79,,
5:57.0,Personal foul by J. Dudley (drawn by L. James),,56-79,,
5:57.0,,,56-80,1,L. James makes free throw 1 of 2
5:57.0,,,56-80,,T. Thompson enters the game for L. Nance
5:57.0,,,56-80,,J. Smith enters the game for J. Calderon
5:57.0,A. Len enters the game for D. Bender,,56-80,,
5:57.0,,,56-81,1,L. James makes free throw 2 of 2
5:48.0,J. Dudley misses 3-pt shot from 23 ft,,56-81,,
5:44.0,,,56-81,,Defensive rebound by G. Hill
5:37.0,,,56-83,2,G. Hill makes 2-pt shot at rim
5:19.0,T. Daniels misses 2-pt shot from 15 ft,,56-83,,
5:17.0,Offensive rebound by A. Len,,56-83,,
5:14.0,T. Ulis misses 2-pt shot from 15 ft,,56-83,,
5:11.0,,,56-83,,Defensive rebound by L. James
5:03.0,,,56-83,,J. Smith misses 3-pt shot from 28 ft
4:59.0,,,56-83,,Offensive rebound by T. Thompson
4:49.0,,,56-83,,T. Thompson misses 2-pt shot from 5 ft (block by M. Chriss)
4:46.0,Defensive rebound by T. Daniels,,56-83,,
4:43.0,T. Ulis makes 2-pt shot from 1 ft,2,58-83,,
4:42.0,,,58-83,,Cleveland full timeout
4:42.0,,,58-83,,R. Hood enters the game for K. Love
4:24.0,,,58-83,,T. Thompson misses 2-pt shot from 4 ft (block by M. Chriss)
4:24.0,,,58-83,,Offensive rebound by T. Thompson
4:17.0,,,58-83,,T. Thompson misses 2-pt shot from 3 ft
4:12.0,Defensive rebound by T. Daniels,,58-83,,
4:09.0,T. Ulis misses 2-pt shot from 17 ft,,58-83,,
4:06.0,,,58-83,,Defensive rebound by L. James
4:00.0,,,58-85,2,L. James makes 2-pt shot from 2 ft
3:47.0,M. Chriss makes 2-pt shot at rim (assist by T. Ulis),2,60-85,,
3:30.0,,,60-87,2,T. Thompson makes 2-pt shot at rim (assist by R. Hood)
3:03.0,J. Dudley misses 3-pt shot from 23 ft,,60-87,,
3:00.0,Offensive rebound by A. Len,,60-87,,
2:56.0,T. Daniels makes 3-pt shot from 22 ft (assist by A. Len),3,63-87,,
2:42.0,,,63-87,,Turnover by L. James (bad pass; steal by J. Dudley)
2:36.0,Turnover by T. Ulis (bad pass; steal by L. James),,63-87,,
2:35.0,,,63-89,2,L. James makes 2-pt shot at rim
2:35.0,,,63-89,,Shooting foul by J. Dudley (drawn by L. James)
2:35.0,,,63-89,,J. Clarkson enters the game for G. Hill
2:35.0,D. Bender enters the game for M. Chriss,,63-89,,
2:35.0,,,63-90,1,L. James makes free throw 1 of 1
2:23.0,Turnover by T. Ulis (turnover),,63-90,,
2:19.0,,,63-90,,Turnover by L. James (out of bounds lost ball)
2:01.0,D. Bender misses 3-pt shot from 25 ft,,63-90,,
1:57.0,,,63-90,,Defensive rebound by T. Thompson
1:45.0,,,63-93,3,L. James makes 3-pt shot from 25 ft
1:32.0,,,63-93,,Personal foul by R. Hood (drawn by A. Len)
1:27.0,T. Ulis makes 2-pt shot from 15 ft (assist by D. Bender),2,65-93,,
1:15.0,,,65-93,,L. James misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by D. Bender,,65-93,,
1:07.0,T. Ulis misses 2-pt shot from 2 ft,,65-93,,
1:07.0,Offensive rebound by Team,,65-93,,
1:07.0,,,65-93,,Loose ball foul by T. Thompson (drawn by A. Len)
1:07.0,A. Len makes free throw 1 of 2,1,66-93,,
1:07.0,A. Len makes free throw 2 of 2,1,67-93,,
0:57.0,,,67-93,,Turnover by L. James (bad pass; steal by T. Ulis)
0:55.0,J. Dudley makes 2-pt shot from 1 ft (assist by T. Ulis),2,69-93,,
0:39.0,,,69-93,,Turnover by L. James (bad pass; steal by D. Bender)
0:29.0,D. Bender makes 2-pt shot from 1 ft (assist by T. Ulis),2,71-93,,
0:07.0,,,71-93,,L. James misses 3-pt shot from 28 ft
0:03.0,,,71-93,,Offensive rebound by R. Hood
0:03.0,,,71-93,,R. Hood misses 2-pt shot at rim
0:03.0,Defensive rebound by Team,,71-93,,
0:00.0,T. Daniels misses 3-pt shot from 31 ft,,71-93,,
0:00.0,Offensive rebound by Team,,71-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by J. Smith (drawn by A. Len),,71-93,,
11:46.0,A. Len makes free throw 1 of 2,1,72-93,,
11:46.0,A. Len misses free throw 2 of 2,,72-93,,
11:44.0,,,72-93,,Defensive rebound by K. Love
11:32.0,,,72-93,,R. Hood misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by J. Jackson,,72-93,,
11:20.0,J. Jackson misses 2-pt shot from 12 ft,,72-93,,
11:17.0,,,72-93,,Defensive rebound by J. Smith
11:07.0,,,72-93,,L. Nance misses 2-pt shot from 5 ft
11:04.0,Defensive rebound by T. Ulis,,72-93,,
11:01.0,J. Jackson makes 2-pt shot from 1 ft (assist by T. Ulis),2,74-93,,
10:49.0,,,74-95,2,K. Love makes 2-pt shot from 13 ft
10:33.0,J. Jackson misses 2-pt shot from 21 ft,,74-95,,
10:27.0,Offensive rebound by T. Ulis,,74-95,,
10:24.0,Turnover by T. Ulis (bad pass; steal by J. Clarkson),,74-95,,
10:18.0,,,74-95,,K. Love misses 3-pt shot from 27 ft
10:17.0,Defensive rebound by Team,,74-95,,
10:01.0,Shooting foul by J. Clarkson (drawn by J. Jackson),,74-95,,
10:01.0,J. Jackson misses free throw 1 of 2,,74-95,,
10:01.0,Offensive rebound by Team,,74-95,,
10:01.0,J. Jackson makes free throw 2 of 2,1,75-95,,
9:40.0,,,75-97,2,R. Hood makes 2-pt shot from 15 ft (assist by J. Clarkson)
9:20.0,A. Len makes 2-pt shot from 1 ft (assist by T. Ulis),2,77-97,,
9:02.0,,,77-97,,J. Clarkson misses 2-pt shot from 1 ft
8:59.0,Defensive rebound by J. Dudley,,77-97,,
8:57.0,Turnover by J. Dudley (bad pass; steal by K. Love),,77-97,,
8:56.0,,,77-97,,Shooting foul by A. Len (drawn by K. Love)
8:56.0,,,77-98,1,K. Love makes free throw 1 of 2
8:56.0,,,77-99,1,K. Love makes free throw 2 of 2
8:49.0,J. Jackson misses 2-pt shot from 20 ft,,77-99,,
8:47.0,,,77-99,,Defensive rebound by R. Hood
8:42.0,,,77-99,,K. Love misses 3-pt shot from 22 ft
8:38.0,Defensive rebound by D. Bender,,77-99,,
8:35.0,Turnover by D. Bender (bad pass; steal by J. Smith),,77-99,,
8:33.0,,,77-99,,Turnover by L. Nance (bad pass)
8:17.0,J. Jackson misses 2-pt shot from 5 ft,,77-99,,
8:15.0,Offensive rebound by J. Jackson,,77-99,,
8:13.0,J. Jackson misses 2-pt shot at rim,,77-99,,
8:12.0,,,77-99,,Defensive rebound by L. Nance
8:06.0,,,77-101,2,R. Hood makes 2-pt shot from 7 ft
7:43.0,Shooting foul by J. Clarkson (drawn by A. Len),,77-101,,
7:43.0,A. Len misses free throw 1 of 2,,77-101,,
7:43.0,Offensive rebound by Team,,77-101,,
7:43.0,E. Payton enters the game for J. Dudley,,77-101,,
7:43.0,T. Daniels enters the game for T. Ulis,,77-101,,
7:43.0,A. Len makes free throw 2 of 2,1,78-101,,
7:27.0,,,78-103,2,K. Love makes 2-pt shot from 9 ft (assist by J. Smith)
7:19.0,A. Len makes 2-pt shot from 1 ft (assist by J. Jackson),2,80-103,,
7:06.0,,,80-103,,J. Clarkson misses 2-pt shot from 10 ft
7:06.0,,,80-103,,Offensive rebound by R. Hood
6:52.0,,,80-103,,J. Smith misses 2-pt shot from 15 ft
6:49.0,Defensive rebound by A. Len,,80-103,,
6:40.0,D. Bender misses 3-pt shot from 25 ft,,80-103,,
6:40.0,,,80-103,,Defensive rebound by J. Smith
6:31.0,,,80-105,2,L. Nance makes 2-pt shot from 1 ft (assist by K. Love)
6:31.0,,,80-105,,Shooting foul by E. Payton (drawn by L. Nance)
6:31.0,,,80-105,,Cleveland full timeout
6:31.0,,,80-105,,G. Hill enters the game for R. Hood
6:31.0,M. Chriss enters the game for D. Bender,,80-105,,
6:31.0,,,80-106,1,L. Nance makes free throw 1 of 1
6:11.0,Turnover by J. Jackson (bad pass; steal by K. Love),,80-106,,
5:50.0,,,80-108,2,L. Nance makes 2-pt shot from 1 ft (assist by K. Love)
5:32.0,J. Jackson makes 2-pt shot from 15 ft,2,82-108,,
5:25.0,,,82-108,,Cleveland full timeout
5:25.0,,,82-108,,A. Zizic enters the game for K. Love
5:25.0,,,82-108,,T. Thompson enters the game for L. Nance
5:14.0,,,82-108,,G. Hill misses 3-pt shot from 25 ft
5:09.0,,,82-108,,Offensive rebound by A. Zizic
4:50.0,,,82-110,2,J. Clarkson makes 2-pt shot from 14 ft
4:32.0,T. Daniels misses 2-pt shot from 21 ft,,82-110,,
4:28.0,,,82-110,,Defensive rebound by T. Thompson
4:22.0,,,82-113,3,J. Smith makes 3-pt shot from 28 ft (assist by G. Hill)
4:02.0,T. Daniels makes 3-pt shot from 25 ft (assist by M. Chriss),2,85-113,,
3:44.0,,,85-113,,J. Smith misses 3-pt shot from 24 ft
