time,Orlando,pts.away,score,pts.home,Philadelphia
7:24.0,Defensive rebound by N. Vucevic,,11-6,,
7:13.0,Shooting foul by J. Redick (drawn by N. Vucevic),,11-6,,
7:13.0,N. Vucevic makes free throw 1 of 2,1,12-6,,
7:13.0,,,12-6,,J. Bayless enters the game for J. Redick
7:13.0,N. Vucevic makes free throw 2 of 2,1,13-6,,
7:04.0,,,13-6,,T. McConnell misses 2-pt shot from 18 ft
7:02.0,Defensive rebound by Team,,13-6,,
6:43.0,M. Speights misses 3-pt shot from 26 ft,,13-6,,
6:40.0,,,13-6,,Defensive rebound by R. Covington
6:33.0,,,13-9,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
6:20.0,D. Augustin makes 3-pt shot from 26 ft,3,16-9,,
6:06.0,,,16-11,2,J. Bayless makes 2-pt shot from 1 ft (assist by A. Johnson)
5:42.0,M. Speights makes 3-pt shot from 26 ft (assist by T. Ross),3,19-11,,
5:25.0,,,19-13,2,T. McConnell makes 2-pt shot at rim (assist by D. Saric)
5:15.0,D. Augustin misses 2-pt shot from 5 ft (block by T. McConnell),,19-13,,
5:11.0,,,19-13,,Defensive rebound by T. McConnell
5:09.0,,,19-13,,Turnover by D. Saric (bad pass)
5:09.0,,,19-13,,T. Luwawu-Cabarrot enters the game for D. Saric
5:09.0,J. Simmons enters the game for E. Fournier,,19-13,,
4:58.0,N. Vucevic misses 2-pt shot from 10 ft,,19-13,,
4:55.0,,,19-13,,Defensive rebound by J. Bayless
4:43.0,,,19-15,2,A. Johnson makes 2-pt shot from 1 ft (assist by T. McConnell)
4:26.0,M. Speights makes 2-pt shot from 5 ft,2,21-15,,
4:17.0,,,21-18,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
3:56.0,M. Speights misses 2-pt shot from 6 ft (block by A. Johnson),,21-18,,
3:53.0,,,21-18,,Defensive rebound by A. Johnson
3:51.0,,,21-18,,Shooting foul by D. Augustin (drawn by R. Covington)
3:51.0,,,21-19,1,R. Covington makes free throw 1 of 3
3:51.0,,,21-19,,R. Covington misses free throw 2 of 3
3:51.0,,,21-19,,Offensive rebound by Team
3:51.0,,,21-19,,J. Embiid enters the game for A. Johnson
3:51.0,,,21-20,1,R. Covington makes free throw 3 of 3
3:38.0,T. Ross makes 2-pt shot at rim (assist by N. Vucevic),2,23-20,,
3:37.0,,,23-20,,Philadelphia full timeout
3:37.0,,,23-20,,D. Saric enters the game for T. McConnell
3:37.0,,,23-20,,J. Redick enters the game for R. Covington
3:37.0,A. Gordon enters the game for N. Vucevic,,23-20,,
3:26.0,,,23-20,,J. Embiid misses 2-pt shot from 19 ft
3:23.0,,,23-20,,Offensive rebound by D. Saric
3:21.0,,,23-22,2,D. Saric makes 2-pt shot from 1 ft
3:05.0,M. Speights misses 3-pt shot from 26 ft,,23-22,,
3:02.0,,,23-22,,Defensive rebound by D. Saric
3:00.0,Personal foul by M. Speights (drawn by J. Embiid),,23-22,,
3:00.0,B. Biyombo enters the game for M. Speights,,23-22,,
2:45.0,,,23-24,2,J. Embiid makes 2-pt shot from 12 ft
2:27.0,Shooting foul by J. Embiid (drawn by A. Gordon),,23-24,,
2:27.0,A. Gordon makes free throw 1 of 2,1,24-24,,
2:27.0,A. Gordon makes free throw 2 of 2,1,25-24,,
2:12.0,,,25-24,,Shooting foul by B. Biyombo (drawn by D. Saric)
2:12.0,,,25-25,1,D. Saric makes free throw 1 of 2
2:12.0,,,25-26,1,D. Saric makes free throw 2 of 2
1:58.0,J. Simmons misses 2-pt shot from 7 ft,,25-26,,
1:54.0,,,25-26,,Defensive rebound by T. Luwawu-Cabarrot
1:44.0,,,25-28,2,J. Bayless makes 2-pt shot from 20 ft (assist by J. Embiid)
1:34.0,D. Augustin misses 2-pt shot from 1 ft,,25-28,,
1:33.0,,,25-28,,Defensive rebound by Team
1:20.0,,,25-28,,J. Redick misses 2-pt shot from 16 ft (block by B. Biyombo)
1:16.0,Defensive rebound by A. Gordon,,25-28,,
1:12.0,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Biyombo),,25-28,,
1:12.0,B. Biyombo makes free throw 1 of 2,1,26-28,,
1:12.0,A. Afflalo enters the game for T. Ross,,26-28,,
1:12.0,B. Biyombo misses free throw 2 of 2,,26-28,,
1:10.0,,,26-28,,Defensive rebound by D. Saric
0:48.0,,,26-28,,J. Embiid misses 2-pt shot from 11 ft
0:47.0,Defensive rebound by A. Gordon,,26-28,,
0:44.0,B. Biyombo makes 2-pt shot from 1 ft (assist by A. Gordon),2,28-28,,
0:31.0,Personal foul by A. Afflalo (drawn by D. Saric),,28-28,,
0:31.0,,,28-28,,A. Johnson enters the game for J. Embiid
0:30.0,,,28-31,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by J. Redick)
0:07.0,B. Biyombo misses 2-pt shot from 16 ft,,28-31,,
0:05.0,,,28-31,,Defensive rebound by J. Bayless
0:00.0,,,28-31,,J. Bayless misses 2-pt shot from 2 ft
0:00.0,,,28-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Simmons misses 2-pt shot from 15 ft,,28-31,,
11:38.0,,,28-31,,Defensive rebound by J. Embiid
11:32.0,,,28-33,2,J. Embiid makes 2-pt shot from 22 ft (assist by T. McConnell)
11:15.0,J. Simmons misses 3-pt shot from 26 ft,,28-33,,
11:12.0,,,28-33,,Defensive rebound by J. Embiid
11:08.0,,,28-33,,J. Redick misses 3-pt shot from 26 ft
11:04.0,,,28-33,,Offensive rebound by J. Redick
11:03.0,,,28-33,,J. Redick misses 3-pt shot from 28 ft
11:03.0,Defensive rebound by B. Biyombo,,28-33,,
10:39.0,A. Gordon makes 3-pt shot from 25 ft,3,31-33,,
10:25.0,,,31-36,3,J. Embiid makes 3-pt shot from 25 ft (assist by R. Holmes)
10:09.0,E. Payton misses 2-pt shot from 5 ft,,31-36,,
10:07.0,Offensive rebound by E. Payton,,31-36,,
10:06.0,E. Payton misses 2-pt shot from 9 ft,,31-36,,
10:05.0,Offensive rebound by E. Payton,,31-36,,
10:05.0,,,31-36,,Personal foul by R. Holmes (drawn by E. Payton)
9:51.0,J. Simmons makes 2-pt shot from 10 ft,2,33-36,,
9:36.0,,,33-38,2,J. Embiid makes 2-pt shot from 2 ft
9:36.0,,,33-38,,Shooting foul by B. Biyombo (drawn by J. Embiid)
9:36.0,N. Vucevic enters the game for B. Biyombo,,33-38,,
9:36.0,,,33-38,,J. Embiid misses free throw 1 of 1
9:34.0,Defensive rebound by N. Vucevic,,33-38,,
9:25.0,A. Gordon misses 2-pt shot from 20 ft,,33-38,,
9:22.0,,,33-38,,Defensive rebound by J. Embiid
9:13.0,,,33-40,2,J. Embiid makes 2-pt shot from 2 ft (assist by T. Luwawu-Cabarrot)
9:13.0,,,33-40,,Shooting foul by N. Vucevic (drawn by J. Embiid)
9:13.0,Orlando full timeout,,33-40,,
9:13.0,,,33-40,,J. Bayless enters the game for J. Redick
9:13.0,,,33-41,1,J. Embiid makes free throw 1 of 1
8:51.0,N. Vucevic misses 3-pt shot from 25 ft,,33-41,,
8:46.0,Offensive rebound by E. Payton,,33-41,,
8:34.0,N. Vucevic misses 2-pt shot from 10 ft,,33-41,,
8:31.0,,,33-41,,Defensive rebound by T. McConnell
8:26.0,,,33-41,,J. Bayless misses 3-pt shot from 26 ft
8:23.0,,,33-41,,Offensive rebound by J. Embiid
8:20.0,,,33-41,,J. Bayless misses 3-pt shot from 26 ft
8:16.0,Defensive rebound by N. Vucevic,,33-41,,
8:05.0,Shooting foul by R. Holmes (drawn by J. Simmons),,33-41,,
8:05.0,J. Simmons misses free throw 1 of 2,,33-41,,
8:05.0,Offensive rebound by Team,,33-41,,
8:05.0,,,33-41,,R. Covington enters the game for R. Holmes
8:05.0,J. Simmons makes free throw 2 of 2,1,34-41,,
7:48.0,,,34-43,2,J. Embiid makes 2-pt shot from 13 ft
7:26.0,J. Simmons makes 2-pt shot from 1 ft (assist by N. Vucevic),2,36-43,,
7:05.0,,,36-43,,T. Luwawu-Cabarrot misses 3-pt shot from 27 ft
7:02.0,Defensive rebound by A. Gordon,,36-43,,
6:57.0,,,36-43,,Personal foul by J. Bayless (drawn by A. Gordon)
6:57.0,E. Fournier enters the game for A. Afflalo,,36-43,,
6:48.0,J. Simmons misses 2-pt shot from 12 ft,,36-43,,
6:46.0,,,36-43,,Defensive rebound by T. Luwawu-Cabarrot
6:40.0,,,36-45,2,T. McConnell makes 2-pt shot from 1 ft
6:31.0,E. Payton misses 2-pt shot from 1 ft,,36-45,,
6:29.0,,,36-45,,Defensive rebound by R. Covington
6:26.0,,,36-48,3,J. Bayless makes 3-pt shot from 23 ft (assist by T. McConnell)
6:25.0,Orlando full timeout,,36-48,,
6:25.0,,,36-48,,D. Saric enters the game for T. McConnell
6:16.0,N. Vucevic makes 2-pt shot from 1 ft,2,38-48,,
6:00.0,,,38-48,,J. Embiid misses 2-pt shot from 3 ft (block by A. Gordon)
5:55.0,Defensive rebound by E. Payton,,38-48,,
5:52.0,,,38-48,,Personal foul by J. Bayless (drawn by N. Vucevic)
5:52.0,,,38-48,,A. Johnson enters the game for T. Luwawu-Cabarrot
5:52.0,,,38-48,,J. Redick enters the game for J. Embiid
5:45.0,E. Payton misses 3-pt shot from 26 ft,,38-48,,
5:42.0,Offensive rebound by E. Payton,,38-48,,
5:40.0,E. Payton makes 3-pt shot from 26 ft,3,41-48,,
5:22.0,,,41-50,2,R. Covington makes 2-pt shot from 3 ft (assist by D. Saric)
5:10.0,J. Simmons makes 2-pt shot from 1 ft,2,43-50,,
5:01.0,,,43-50,,Turnover by J. Bayless (bad pass; steal by N. Vucevic)
4:55.0,E. Payton makes 2-pt shot from 1 ft,2,45-50,,
4:55.0,,,45-50,,Philadelphia full timeout
4:40.0,,,45-52,2,R. Covington makes 2-pt shot from 19 ft (assist by J. Bayless)
4:19.0,N. Vucevic misses 3-pt shot from 26 ft,,45-52,,
4:16.0,,,45-52,,Defensive rebound by R. Covington
4:01.0,,,45-52,,J. Bayless misses 3-pt shot from 23 ft
3:56.0,,,45-52,,Offensive rebound by D. Saric
3:53.0,,,45-52,,A. Johnson misses 2-pt shot from 5 ft
3:50.0,Defensive rebound by N. Vucevic,,45-52,,
3:45.0,Turnover by N. Vucevic (bad pass; steal by J. Bayless),,45-52,,
3:42.0,,,45-54,2,D. Saric makes 2-pt shot from 2 ft (assist by J. Bayless)
3:31.0,E. Payton misses 2-pt shot from 19 ft,,45-54,,
3:29.0,,,45-54,,Defensive rebound by D. Saric
3:11.0,,,45-57,3,J. Redick makes 3-pt shot from 26 ft (assist by D. Saric)
2:58.0,E. Payton makes 3-pt shot from 25 ft,3,48-57,,
2:36.0,,,48-57,,J. Redick misses 2-pt shot from 14 ft
2:34.0,Defensive rebound by A. Gordon,,48-57,,
2:32.0,E. Fournier misses 2-pt shot from 10 ft,,48-57,,
2:31.0,Offensive rebound by E. Payton,,48-57,,
2:28.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,50-57,,
2:18.0,Personal foul by J. Simmons (drawn by J. Redick),,50-57,,
2:18.0,,,50-57,,T. McConnell enters the game for J. Bayless
2:18.0,,,50-57,,J. Embiid enters the game for A. Johnson
2:18.0,T. Ross enters the game for J. Simmons,,50-57,,
2:04.0,,,50-57,,J. Embiid misses 2-pt shot from 11 ft
1:59.0,,,50-57,,Offensive rebound by D. Saric
1:57.0,,,50-59,2,D. Saric makes 2-pt shot from 3 ft
1:51.0,M. Speights enters the game for A. Gordon,,50-59,,
1:46.0,E. Payton makes 3-pt shot from 25 ft,3,53-59,,
1:22.0,,,53-62,3,J. Redick makes 3-pt shot from 26 ft (assist by T. McConnell)
1:10.0,E. Payton misses 2-pt shot at rim,,53-62,,
1:07.0,,,53-62,,Defensive rebound by J. Embiid
1:04.0,,,53-65,3,J. Redick makes 3-pt shot from 26 ft (assist by T. McConnell)
1:04.0,Orlando full timeout,,53-65,,
1:04.0,,,53-65,,A. Johnson enters the game for J. Embiid
0:57.0,E. Fournier misses 3-pt shot from 24 ft,,53-65,,
0:54.0,,,53-65,,Defensive rebound by T. McConnell
0:51.0,,,53-65,,Turnover by T. McConnell (bad pass; steal by E. Fournier)
0:38.0,T. Ross misses 2-pt shot from 10 ft,,53-65,,
0:34.0,,,53-65,,Defensive rebound by T. McConnell
0:29.0,,,53-68,3,J. Redick makes 3-pt shot from 26 ft
0:08.0,E. Payton makes 2-pt shot from 20 ft,2,55-68,,
0:01.0,,,55-70,2,T. McConnell makes 2-pt shot from 19 ft
0:00.0,E. Fournier misses 3-pt shot from 73 ft,,55-70,,
0:00.0,Offensive rebound by Team,,55-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,N. Vucevic misses 2-pt shot from 17 ft,,55-70,,
11:43.0,,,55-70,,Defensive rebound by R. Covington
11:22.0,,,55-70,,D. Saric misses 2-pt shot from 2 ft
11:20.0,Defensive rebound by T. Ross,,55-70,,
11:13.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,57-70,,
10:58.0,,,57-70,,T. McConnell misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by N. Vucevic,,57-70,,
10:52.0,A. Gordon misses 3-pt shot from 25 ft,,57-70,,
10:49.0,,,57-70,,Defensive rebound by J. Embiid
10:31.0,,,57-70,,J. Embiid misses 2-pt shot from 9 ft
10:29.0,Defensive rebound by N. Vucevic,,57-70,,
10:25.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,59-70,,
10:10.0,,,59-70,,D. Saric misses 3-pt shot from 27 ft
10:08.0,,,59-70,,Offensive rebound by J. Embiid
10:05.0,,,59-73,3,J. Redick makes 3-pt shot from 26 ft (assist by J. Embiid)
9:50.0,Shooting foul by R. Covington (drawn by E. Fournier),,59-73,,
9:50.0,E. Fournier makes free throw 1 of 2,1,60-73,,
9:50.0,E. Fournier makes free throw 2 of 2,1,61-73,,
9:33.0,,,61-73,,J. Embiid misses 2-pt shot from 13 ft
9:31.0,Defensive rebound by E. Payton,,61-73,,
9:18.0,E. Fournier makes 2-pt shot from 20 ft (assist by E. Payton),2,63-73,,
9:05.0,,,63-73,,R. Covington misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by N. Vucevic,,63-73,,
8:59.0,E. Payton makes 2-pt shot from 2 ft,2,65-73,,
8:59.0,,,65-73,,Philadelphia full timeout
8:47.0,,,65-73,,J. Redick misses 3-pt shot from 26 ft
8:42.0,,,65-73,,Offensive rebound by J. Embiid
8:40.0,,,65-76,3,T. McConnell makes 3-pt shot from 26 ft (assist by J. Embiid)
8:25.0,Turnover by E. Payton (bad pass; steal by T. McConnell),,65-76,,
8:20.0,,,65-78,2,D. Saric makes 2-pt shot at rim (assist by R. Covington)
8:20.0,Orlando full timeout,,65-78,,
8:09.0,,,65-78,,Personal foul by T. McConnell (drawn by E. Fournier)
7:59.0,E. Payton misses 2-pt shot from 23 ft,,65-78,,
7:56.0,,,65-78,,Defensive rebound by J. Redick
7:48.0,,,65-78,,Turnover by J. Embiid (lost ball; steal by E. Payton)
7:38.0,Turnover by E. Fournier (bad pass),,65-78,,
7:26.0,,,65-78,,Turnover by J. Redick (traveling)
7:26.0,,,65-78,,A. Johnson enters the game for J. Embiid
7:11.0,E. Fournier makes 2-pt shot from 19 ft (assist by E. Payton),2,67-78,,
6:53.0,,,67-78,,Turnover by D. Saric (bad pass; steal by T. Ross)
6:48.0,E. Payton makes 2-pt shot from 1 ft (assist by T. Ross),2,69-78,,
6:29.0,,,69-78,,T. McConnell misses 2-pt shot from 7 ft
6:25.0,Defensive rebound by E. Fournier,,69-78,,
6:21.0,E. Fournier makes 3-pt shot from 26 ft,3,72-78,,
6:05.0,,,72-78,,T. Luwawu-Cabarrot enters the game for D. Saric
6:05.0,,,72-78,,J. Bayless enters the game for J. Redick
6:03.0,,,72-78,,J. Bayless misses 2-pt shot at rim (block by T. Ross)
6:01.0,Defensive rebound by E. Payton,,72-78,,
5:56.0,N. Vucevic misses 2-pt shot from 20 ft,,72-78,,
5:56.0,,,72-78,,Defensive rebound by R. Covington
5:45.0,,,72-80,2,T. McConnell makes 2-pt shot at rim
5:35.0,,,72-80,,Personal foul by A. Johnson (drawn by E. Fournier)
5:35.0,J. Simmons enters the game for T. Ross,,72-80,,
5:28.0,Turnover by E. Payton (bad pass; steal by R. Covington),,72-80,,
5:22.0,,,72-80,,R. Covington misses 3-pt shot from 27 ft
5:20.0,Defensive rebound by E. Fournier,,72-80,,
5:16.0,E. Fournier misses 3-pt shot from 26 ft,,72-80,,
5:12.0,Offensive rebound by N. Vucevic,,72-80,,
5:12.0,Shooting foul by T. Luwawu-Cabarrot (drawn by N. Vucevic),,72-80,,
5:12.0,N. Vucevic makes free throw 1 of 2,1,73-80,,
5:12.0,,,73-80,,D. Saric enters the game for R. Covington
5:12.0,N. Vucevic misses free throw 2 of 2,,73-80,,
5:10.0,,,73-80,,Defensive rebound by D. Saric
5:00.0,,,73-80,,Shooting foul by J. Simmons (drawn by T. Luwawu-Cabarrot)
5:00.0,,,73-81,1,T. Luwawu-Cabarrot makes free throw 1 of 2
5:00.0,,,73-82,1,T. Luwawu-Cabarrot makes free throw 2 of 2
4:48.0,Shooting foul by D. Saric (drawn by A. Gordon),,73-82,,
4:48.0,A. Gordon makes free throw 1 of 2,1,74-82,,
4:48.0,A. Gordon makes free throw 2 of 2,1,75-82,,
4:35.0,,,75-84,2,D. Saric makes 2-pt shot at rim
4:24.0,N. Vucevic misses 3-pt shot from 27 ft,,75-84,,
4:21.0,,,75-84,,Defensive rebound by A. Johnson
4:17.0,,,75-84,,Shooting foul by E. Fournier (drawn by T. Luwawu-Cabarrot)
4:17.0,,,75-85,1,T. Luwawu-Cabarrot makes free throw 1 of 2
4:17.0,D. Augustin enters the game for E. Payton,,75-85,,
4:17.0,B. Biyombo enters the game for N. Vucevic,,75-85,,
4:17.0,,,75-86,1,T. Luwawu-Cabarrot makes free throw 2 of 2
3:57.0,J. Simmons makes 2-pt shot from 3 ft (assist by A. Gordon),2,77-86,,
3:47.0,,,77-86,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by A. Gordon,,77-86,,
3:32.0,Turnover by J. Simmons (bad pass; steal by J. Bayless),,77-86,,
3:28.0,,,77-88,2,T. McConnell makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot)
3:06.0,Turnover by D. Augustin (bad pass; steal by T. McConnell),,77-88,,
3:03.0,,,77-88,,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft (block by A. Gordon)
3:00.0,Defensive rebound by J. Simmons,,77-88,,
2:54.0,D. Augustin makes 3-pt shot from 23 ft (assist by E. Fournier),3,80-88,,
2:40.0,,,80-90,2,A. Johnson makes 2-pt shot from 2 ft
2:24.0,D. Augustin makes 2-pt shot from 19 ft,2,82-90,,
2:13.0,,,82-92,2,D. Saric makes 2-pt shot from 16 ft (assist by T. McConnell)
1:59.0,Turnover by B. Biyombo (traveling),,82-92,,
1:59.0,,,82-92,,J. Embiid enters the game for A. Johnson
1:59.0,M. Speights enters the game for A. Gordon,,82-92,,
1:59.0,,,82-92,,J. Redick enters the game for T. McConnell
1:44.0,,,82-92,,J. Redick misses 2-pt shot from 22 ft
1:42.0,Defensive rebound by B. Biyombo,,82-92,,
1:34.0,D. Augustin misses 3-pt shot from 27 ft,,82-92,,
1:30.0,,,82-92,,Defensive rebound by J. Redick
1:26.0,,,82-94,2,D. Saric makes 2-pt shot from 8 ft (assist by J. Bayless)
1:14.0,J. Simmons makes 2-pt shot from 17 ft,2,84-94,,
0:59.0,,,84-97,3,J. Bayless makes 3-pt shot from 25 ft (assist by D. Saric)
0:43.0,,,84-97,,Personal foul by T. Luwawu-Cabarrot (drawn by M. Speights)
0:43.0,M. Speights misses free throw 1 of 2,,84-97,,
0:43.0,Offensive rebound by Team,,84-97,,
0:43.0,M. Speights makes free throw 2 of 2,1,85-97,,
0:35.0,,,85-97,,Shooting foul by M. Speights (drawn by J. Bayless)
0:35.0,,,85-98,1,J. Bayless makes free throw 1 of 2
0:35.0,,,85-99,1,J. Bayless makes free throw 2 of 2
0:27.0,D. Augustin misses 2-pt shot from 1 ft,,85-99,,
0:25.0,,,85-99,,Defensive rebound by J. Redick
0:05.0,,,85-101,2,J. Bayless makes 2-pt shot at rim
0:00.0,D. Augustin misses 3-pt shot from 25 ft,,85-101,,
0:00.0,Offensive rebound by Team,,85-101,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by T. Ross (drawn by J. Embiid),,85-101,,
11:41.0,Personal foul by T. Ross (drawn by J. Embiid),,85-101,,
11:41.0,,,85-101,,R. Holmes enters the game for D. Saric
11:29.0,,,85-101,,Turnover by J. Embiid (lost ball; steal by J. Simmons)
11:12.0,Turnover by Team (shot clock),,85-101,,
10:54.0,,,85-101,,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft
10:51.0,Defensive rebound by T. Ross,,85-101,,
10:45.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Simmons),,85-101,,
10:45.0,J. Simmons misses free throw 1 of 2,,85-101,,
10:45.0,Offensive rebound by Team,,85-101,,
10:45.0,J. Simmons misses free throw 2 of 2,,85-101,,
10:43.0,,,85-101,,Defensive rebound by J. Embiid
10:35.0,,,85-103,2,J. Redick makes 2-pt shot from 21 ft (assist by J. Embiid)
10:35.0,,,85-103,,Shooting foul by T. Ross (drawn by J. Redick)
10:35.0,,,85-104,1,J. Redick makes free throw 1 of 1
10:14.0,D. Augustin makes 3-pt shot from 27 ft (assist by T. Ross),3,88-104,,
9:59.0,,,88-104,,J. Embiid misses 2-pt shot from 2 ft (block by B. Biyombo)
9:58.0,,,88-104,,Offensive rebound by J. Embiid
9:54.0,,,88-104,,J. Embiid misses 2-pt shot from 10 ft
9:54.0,Defensive rebound by T. Ross,,88-104,,
9:48.0,J. Simmons makes 2-pt shot at rim (assist by T. Ross),2,90-104,,
9:44.0,Personal foul by M. Speights (drawn by J. Redick),,90-104,,
9:44.0,,,90-104,,A. Johnson enters the game for J. Embiid
9:44.0,Personal foul by J. Simmons (drawn by T. Luwawu-Cabarrot),,90-104,,
9:44.0,,,90-105,1,T. Luwawu-Cabarrot makes free throw 1 of 2
9:44.0,,,90-106,1,T. Luwawu-Cabarrot makes free throw 2 of 2
9:38.0,M. Speights misses 3-pt shot from 25 ft,,90-106,,
9:33.0,,,90-106,,Defensive rebound by A. Johnson
9:22.0,,,90-108,2,A. Johnson makes 2-pt shot from 9 ft (assist by T. McConnell)
9:14.0,Shooting foul by J. Redick (drawn by T. Ross),,90-108,,
9:14.0,T. Ross makes free throw 1 of 2,1,91-108,,
9:14.0,,,91-108,,J. Bayless enters the game for J. Redick
9:14.0,N. Vucevic enters the game for M. Speights,,91-108,,
9:14.0,A. Gordon enters the game for B. Biyombo,,91-108,,
9:14.0,T. Ross misses free throw 2 of 2,,91-108,,
9:12.0,,,91-108,,Defensive rebound by T. McConnell
9:00.0,,,91-110,2,R. Holmes makes 2-pt shot at rim (assist by J. Bayless)
8:42.0,J. Simmons misses 2-pt shot from 19 ft,,91-110,,
8:39.0,,,91-110,,Defensive rebound by A. Johnson
8:26.0,,,91-110,,A. Johnson misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by A. Gordon,,91-110,,
8:11.0,D. Augustin makes 2-pt shot from 3 ft (assist by N. Vucevic),2,93-110,,
8:11.0,Shooting foul by A. Johnson (drawn by D. Augustin),,93-110,,
8:11.0,E. Fournier enters the game for J. Simmons,,93-110,,
8:11.0,D. Augustin makes free throw 1 of 1,1,94-110,,
7:58.0,,,94-110,,T. Luwawu-Cabarrot misses 2-pt shot at rim
7:56.0,Defensive rebound by N. Vucevic,,94-110,,
7:52.0,E. Fournier makes 3-pt shot from 22 ft (assist by T. Ross),3,97-110,,
7:50.0,,,97-110,,Philadelphia full timeout
7:50.0,E. Payton enters the game for D. Augustin,,97-110,,
7:38.0,,,97-110,,J. Bayless misses 2-pt shot from 19 ft
7:36.0,Defensive rebound by N. Vucevic,,97-110,,
7:21.0,A. Gordon misses 3-pt shot from 28 ft,,97-110,,
7:16.0,,,97-110,,Defensive rebound by R. Holmes
6:57.0,,,97-110,,T. Luwawu-Cabarrot misses 2-pt shot at rim
6:57.0,Defensive rebound by Team,,97-110,,
6:57.0,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Gordon),,97-110,,
6:57.0,,,97-110,,D. Saric enters the game for J. Bayless
6:57.0,,,97-110,,J. Redick enters the game for A. Johnson
