time,Detroit,pts.away,score,pts.home,Memphis
6:30.0,S. Johnson misses 3-pt shot from 26 ft,,12-17,,
6:26.0,,,12-17,,Defensive rebound by B. McLemore
6:19.0,,,12-17,,M. Gasol misses 2-pt shot from 13 ft
6:17.0,Defensive rebound by A. Tolliver,,12-17,,
6:08.0,,,12-17,,Personal foul by K. Simmons (drawn by A. Tolliver)
6:08.0,,,12-17,,M. Chalmers enters the game for K. Simmons
6:01.0,R. Jackson misses 3-pt shot from 25 ft,,12-17,,
5:58.0,,,12-17,,Defensive rebound by D. Brooks
5:55.0,,,12-17,,Turnover by D. Brooks (palming)
5:45.0,Shooting foul by M. Chalmers (drawn by R. Jackson),,12-17,,
5:45.0,R. Jackson makes free throw 1 of 2,1,13-17,,
5:45.0,R. Jackson makes free throw 2 of 2,1,14-17,,
5:23.0,,,14-17,,B. McLemore misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by Team,,14-17,,
5:22.0,I. Smith enters the game for A. Tolliver,,14-17,,
5:22.0,H. Ellenson enters the game for R. Jackson,,14-17,,
5:09.0,H. Ellenson makes 3-pt shot from 25 ft (assist by L. Kennard),3,17-17,,
4:45.0,,,17-19,2,D. Brooks makes 2-pt shot at rim (assist by M. Chalmers)
4:30.0,L. Kennard misses 2-pt shot from 15 ft,,17-19,,
4:26.0,Offensive rebound by A. Drummond,,17-19,,
4:26.0,A. Drummond misses 2-pt shot at rim,,17-19,,
4:25.0,Offensive rebound by L. Kennard,,17-19,,
4:20.0,I. Smith misses 2-pt shot from 2 ft,,17-19,,
4:17.0,,,17-19,,Defensive rebound by I. Rabb
4:10.0,,,17-19,,D. Brooks misses 3-pt shot from 23 ft
4:06.0,,,17-19,,Offensive rebound by B. McLemore
4:01.0,Personal foul by A. Drummond (drawn by M. Chalmers),,17-19,,
4:01.0,,,17-19,,O. Johnson enters the game for I. Rabb
4:01.0,,,17-19,,M. Brooks enters the game for B. McLemore
3:56.0,,,17-21,2,D. Brooks makes 2-pt shot at rim (assist by M. Gasol)
3:35.0,L. Kennard makes 3-pt shot from 23 ft (assist by I. Smith),3,20-21,,
3:25.0,,,20-21,,Shooting foul by L. Kennard (drawn by D. Brooks)
3:25.0,,,20-22,1,D. Brooks makes free throw 1 of 2
3:25.0,,,20-22,,D. Davis enters the game for M. Gasol
3:25.0,L. Galloway enters the game for L. Kennard,,20-22,,
3:25.0,,,20-22,,D. Brooks misses free throw 2 of 2
3:23.0,Defensive rebound by A. Drummond,,20-22,,
3:10.0,H. Ellenson misses 2-pt shot from 13 ft,,20-22,,
3:10.0,Offensive rebound by Team,,20-22,,
3:10.0,,,20-22,,Loose ball foul by M. Chalmers (drawn by A. Drummond)
3:10.0,A. Drummond misses free throw 1 of 2,,20-22,,
3:10.0,Offensive rebound by Team,,20-22,,
3:10.0,A. Drummond misses free throw 2 of 2,,20-22,,
3:08.0,,,20-22,,Defensive rebound by D. Brooks
2:53.0,,,20-24,2,M. Brooks makes 2-pt shot from 11 ft (assist by D. Brooks)
2:40.0,L. Galloway makes 2-pt shot at rim (assist by A. Drummond),2,22-24,,
2:26.0,,,22-24,,D. Brooks misses 2-pt shot from 15 ft
2:23.0,Defensive rebound by A. Drummond,,22-24,,
2:13.0,H. Ellenson misses 3-pt shot from 23 ft,,22-24,,
2:09.0,,,22-24,,Defensive rebound by M. Chalmers
2:05.0,,,22-24,,Shooting foul by I. Smith (drawn by D. Brooks)
2:05.0,,,22-24,,Memphis full timeout
2:05.0,,,22-25,1,D. Brooks makes free throw 1 of 2
2:05.0,,,22-26,1,D. Brooks makes free throw 2 of 2
1:51.0,L. Galloway misses 3-pt shot from 23 ft,,22-26,,
1:48.0,,,22-26,,Defensive rebound by D. Davis
1:31.0,,,22-28,2,D. Davis makes 2-pt shot from 18 ft (assist by M. Brooks)
1:16.0,L. Galloway misses 3-pt shot from 22 ft,,22-28,,
1:13.0,,,22-28,,Defensive rebound by D. Brooks
1:08.0,,,22-28,,M. Chalmers misses 3-pt shot from 26 ft
1:04.0,Defensive rebound by I. Smith,,22-28,,
0:54.0,S. Johnson misses 3-pt shot from 26 ft,,22-28,,
0:51.0,,,22-28,,Defensive rebound by O. Johnson
0:33.0,,,22-28,,Shooting foul by S. Johnson (drawn by D. Brooks)
0:33.0,,,22-29,1,D. Brooks makes free throw 1 of 2
0:33.0,J. Ennis enters the game for S. Johnson,,22-29,,
0:33.0,,,22-30,1,D. Brooks makes free throw 2 of 2
0:21.0,I. Smith misses 3-pt shot from 25 ft,,22-30,,
0:17.0,,,22-30,,Defensive rebound by M. Chalmers
0:00.0,,,22-30,,D. Brooks misses 2-pt shot from 15 ft
0:00.0,,,22-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,22-32,2,D. Davis makes 2-pt shot from 4 ft (assist by M. Brooks)
11:10.0,R. Jackson misses 3-pt shot from 25 ft,,22-32,,
11:09.0,Offensive rebound by Team,,22-32,,
11:09.0,Turnover by Team (shot clock),,22-32,,
10:46.0,,,22-32,,M. Brooks misses 3-pt shot from 26 ft
10:45.0,,,22-32,,Offensive rebound by Team
10:45.0,,,22-32,,Turnover by Team (shot clock)
10:34.0,Shooting foul by M. Henry (drawn by L. Galloway),,22-32,,
10:34.0,L. Galloway makes free throw 1 of 2,1,23-32,,
10:34.0,L. Galloway makes free throw 2 of 2,1,24-32,,
10:24.0,,,24-34,2,M. Henry makes 2-pt shot from 16 ft (assist by K. Simmons)
10:12.0,L. Galloway misses 3-pt shot from 23 ft,,24-34,,
10:09.0,,,24-34,,Defensive rebound by D. Davis
10:01.0,,,24-37,3,O. Johnson makes 3-pt shot from 23 ft (assist by K. Simmons)
9:51.0,Detroit full timeout,,24-37,,
9:51.0,,,24-37,,I. Rabb enters the game for O. Johnson
9:43.0,H. Ellenson misses 3-pt shot from 25 ft,,24-37,,
9:41.0,,,24-37,,Defensive rebound by M. Henry
9:28.0,,,24-39,2,I. Rabb makes 2-pt shot at rim (assist by D. Davis)
9:15.0,,,24-39,,Personal foul by M. Brooks (drawn by E. Moreland)
9:07.0,H. Ellenson makes 2-pt shot from 4 ft (assist by E. Moreland),2,26-39,,
8:54.0,,,26-41,2,D. Davis makes 2-pt shot from 20 ft (assist by K. Simmons)
8:40.0,J. Ennis misses 3-pt shot from 26 ft,,26-41,,
8:38.0,,,26-41,,Defensive rebound by D. Davis
8:28.0,,,26-41,,Shooting foul by E. Moreland (drawn by M. Brooks)
8:28.0,,,26-42,1,M. Brooks makes free throw 1 of 2
8:28.0,,,26-43,1,M. Brooks makes free throw 2 of 2
8:10.0,H. Ellenson misses 2-pt shot from 7 ft,,26-43,,
8:06.0,,,26-43,,Defensive rebound by M. Brooks
8:00.0,,,26-46,3,M. Brooks makes 3-pt shot from 24 ft
7:46.0,H. Ellenson makes 3-pt shot from 25 ft (assist by R. Jackson),3,29-46,,
7:26.0,,,29-46,,Shooting foul by H. Ellenson (drawn by D. Davis)
7:26.0,,,29-47,1,D. Davis makes free throw 1 of 2
7:26.0,A. Tolliver enters the game for H. Ellenson,,29-47,,
7:26.0,,,29-47,,D. Davis misses free throw 2 of 2
7:24.0,,,29-47,,Offensive rebound by I. Rabb
7:24.0,,,29-49,2,I. Rabb makes 2-pt shot at rim
7:24.0,,,29-49,,Shooting foul by A. Tolliver (drawn by I. Rabb)
7:24.0,,,29-49,,M. Gasol enters the game for D. Davis
7:24.0,A. Drummond enters the game for E. Moreland,,29-49,,
7:24.0,,,29-49,,I. Rabb misses free throw 1 of 1
7:24.0,Defensive rebound by R. Jackson,,29-49,,
7:11.0,R. Jackson misses 2-pt shot from 1 ft,,29-49,,
7:09.0,Offensive rebound by R. Jackson,,29-49,,
7:06.0,R. Jackson makes 3-pt shot from 23 ft (assist by J. Ennis),3,32-49,,
6:52.0,,,32-51,2,M. Brooks makes 2-pt shot at rim (assist by K. Simmons)
6:35.0,A. Tolliver misses 3-pt shot from 25 ft,,32-51,,
6:32.0,,,32-51,,Defensive rebound by K. Simmons
6:22.0,,,32-51,,I. Rabb misses 2-pt shot from 12 ft
6:19.0,Defensive rebound by J. Ennis,,32-51,,
6:15.0,Turnover by J. Ennis (lost ball; steal by I. Rabb),,32-51,,
5:57.0,,,32-51,,M. Henry misses 3-pt shot from 23 ft
5:54.0,Defensive rebound by A. Tolliver,,32-51,,
5:46.0,L. Galloway makes 3-pt shot from 23 ft (assist by R. Jackson),3,35-51,,
5:23.0,,,35-51,,M. Brooks misses 2-pt shot from 12 ft
5:22.0,Defensive rebound by Team,,35-51,,
5:22.0,,,35-51,,Loose ball foul by M. Gasol (drawn by A. Drummond)
5:22.0,,,35-51,,M. Chalmers enters the game for K. Simmons
5:22.0,,,35-51,,B. McLemore enters the game for M. Henry
5:22.0,,,35-51,,D. Brooks enters the game for M. Brooks
5:22.0,I. Smith enters the game for R. Jackson,,35-51,,
5:22.0,L. Kennard enters the game for L. Galloway,,35-51,,
5:15.0,,,35-51,,Personal foul by B. McLemore (drawn by L. Kennard)
5:05.0,J. Ennis makes 3-pt shot from 26 ft (assist by A. Tolliver),3,38-51,,
4:51.0,,,38-51,,M. Gasol misses 2-pt shot from 6 ft
4:49.0,Defensive rebound by A. Drummond,,38-51,,
4:43.0,Turnover by I. Smith (lost ball; steal by I. Rabb),,38-51,,
4:33.0,,,38-51,,I. Rabb misses 2-pt shot from 11 ft
4:29.0,Defensive rebound by J. Ennis,,38-51,,
4:24.0,J. Ennis misses 2-pt shot from 15 ft,,38-51,,
4:20.0,,,38-51,,Defensive rebound by M. Gasol
4:13.0,,,38-53,2,D. Brooks makes 2-pt shot from 1 ft
3:59.0,A. Tolliver misses 3-pt shot from 26 ft,,38-53,,
3:55.0,,,38-53,,Defensive rebound by D. Brooks
3:51.0,,,38-53,,Shooting foul by J. Ennis (drawn by D. Brooks)
3:51.0,,,38-54,1,D. Brooks makes free throw 1 of 2
3:51.0,S. Johnson enters the game for J. Ennis,,38-54,,
3:51.0,,,38-55,1,D. Brooks makes free throw 2 of 2
3:33.0,I. Smith makes 3-pt shot from 26 ft (assist by A. Drummond),3,41-55,,
3:19.0,,,41-55,,Turnover by M. Chalmers (bad pass; steal by A. Drummond)
3:15.0,L. Kennard makes 2-pt shot at rim (assist by I. Smith),2,43-55,,
3:00.0,,,43-57,2,M. Gasol makes 2-pt shot from 6 ft
2:44.0,L. Kennard makes 2-pt shot at rim (assist by A. Drummond),2,45-57,,
2:22.0,,,45-57,,M. Gasol misses 2-pt shot from 14 ft
2:19.0,Defensive rebound by I. Smith,,45-57,,
2:08.0,A. Tolliver makes 2-pt shot from 1 ft (assist by I. Smith),2,47-57,,
2:07.0,,,47-57,,Memphis full timeout
1:51.0,,,47-57,,Turnover by M. Chalmers (bad pass; steal by A. Tolliver)
1:51.0,,,47-57,,Personal foul by I. Rabb (drawn by A. Tolliver)
1:51.0,A. Tolliver misses free throw 1 of 2,,47-57,,
1:51.0,Offensive rebound by Team,,47-57,,
1:51.0,,,47-57,,Violation by M. Chalmers (lane)
1:51.0,A. Tolliver makes free throw 2 of 2,1,48-57,,
1:40.0,,,48-57,,M. Chalmers misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by L. Kennard,,48-57,,
1:33.0,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Johnson),3,51-57,,
1:18.0,,,51-57,,M. Gasol misses 2-pt shot from 1 ft
1:14.0,Defensive rebound by A. Tolliver,,51-57,,
1:11.0,A. Drummond makes 2-pt shot at rim (assist by I. Smith),2,53-57,,
0:53.0,,,53-57,,D. Brooks misses 2-pt shot from 15 ft
0:51.0,Defensive rebound by A. Drummond,,53-57,,
0:44.0,Turnover by A. Tolliver (out of bounds lost ball),,53-57,,
0:44.0,H. Ellenson enters the game for A. Tolliver,,53-57,,
0:34.0,,,53-59,2,M. Gasol makes 2-pt shot from 4 ft (assist by D. Brooks)
0:34.0,,,53-59,,Shooting foul by H. Ellenson (drawn by M. Gasol)
0:34.0,,,53-60,1,M. Gasol makes free throw 1 of 1
0:20.0,Turnover by S. Johnson (bad pass; steal by B. McLemore),,53-60,,
0:17.0,,,53-62,2,I. Rabb makes 2-pt shot at rim (assist by D. Brooks)
0:02.0,I. Smith makes 3-pt shot from 25 ft,3,56-62,,
0:00.0,,,56-62,,M. Chalmers misses 3-pt shot from 42 ft
0:00.0,,,56-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,56-62,,K. Simmons misses 3-pt shot from 23 ft
11:39.0,Defensive rebound by A. Drummond,,56-62,,
11:27.0,L. Kennard makes 3-pt shot from 26 ft (assist by R. Jackson),3,59-62,,
11:10.0,,,59-64,2,D. Brooks makes 2-pt shot at rim
10:48.0,S. Johnson misses 2-pt shot at rim (block by M. Gasol),,59-64,,
10:44.0,,,59-64,,Defensive rebound by M. Gasol
10:42.0,,,59-64,,Shooting foul by A. Tolliver (drawn by K. Simmons)
10:42.0,,,59-65,1,K. Simmons makes free throw 1 of 2
10:42.0,,,59-66,1,K. Simmons makes free throw 2 of 2
10:34.0,Shooting foul by I. Rabb (drawn by A. Tolliver),,59-66,,
10:34.0,A. Tolliver makes free throw 1 of 3,1,60-66,,
10:34.0,A. Tolliver makes free throw 2 of 3,1,61-66,,
10:34.0,A. Tolliver makes free throw 3 of 3,1,62-66,,
10:09.0,,,62-66,,D. Brooks misses 3-pt shot from 25 ft
10:06.0,,,62-66,,Offensive rebound by M. Gasol
10:06.0,Personal foul by L. Kennard (drawn by M. Gasol),,62-66,,
9:58.0,,,62-66,,Turnover by I. Rabb (bad pass; steal by A. Tolliver)
9:37.0,A. Drummond misses 3-pt shot from 25 ft,,62-66,,
9:33.0,Offensive rebound by A. Tolliver,,62-66,,
9:32.0,A. Tolliver misses 2-pt shot from 1 ft,,62-66,,
9:32.0,,,62-66,,Defensive rebound by I. Rabb
9:21.0,,,62-68,2,K. Simmons makes 2-pt shot from 12 ft (assist by M. Gasol)
9:03.0,R. Jackson misses 2-pt shot from 14 ft,,62-68,,
9:00.0,,,62-68,,Defensive rebound by M. Gasol
8:59.0,,,62-68,,Turnover by M. Gasol (bad pass; steal by S. Johnson)
8:45.0,L. Kennard misses 2-pt shot from 4 ft (block by I. Rabb),,62-68,,
8:42.0,Offensive rebound by Team,,62-68,,
8:42.0,,,62-68,,O. Johnson enters the game for I. Rabb
8:36.0,Shooting foul by K. Simmons (drawn by R. Jackson),,62-68,,
8:36.0,R. Jackson makes free throw 1 of 3,1,63-68,,
8:36.0,R. Jackson makes free throw 2 of 3,1,64-68,,
8:36.0,R. Jackson makes free throw 3 of 3,1,65-68,,
8:20.0,Personal foul by S. Johnson (drawn by D. Brooks),,65-68,,
8:14.0,,,65-68,,O. Johnson misses 3-pt shot from 23 ft
8:11.0,Defensive rebound by R. Jackson,,65-68,,
8:06.0,Shooting foul by O. Johnson (drawn by R. Jackson),,65-68,,
8:06.0,R. Jackson makes free throw 1 of 2,1,66-68,,
8:06.0,R. Jackson makes free throw 2 of 2,1,67-68,,
7:56.0,,,67-70,2,B. McLemore makes 2-pt shot from 8 ft
7:45.0,R. Jackson misses 2-pt shot from 12 ft,,67-70,,
7:42.0,,,67-70,,Defensive rebound by M. Gasol
7:34.0,,,67-72,2,M. Gasol makes 2-pt shot from 11 ft (assist by K. Simmons)
7:13.0,L. Kennard misses 2-pt shot from 8 ft,,67-72,,
7:12.0,,,67-72,,Defensive rebound by Team
6:58.0,,,67-75,3,K. Simmons makes 3-pt shot from 22 ft (assist by D. Brooks)
6:36.0,A. Tolliver misses 2-pt shot at rim,,67-75,,
6:33.0,,,67-75,,Defensive rebound by D. Brooks
6:32.0,,,67-75,,Shooting foul by A. Drummond (drawn by D. Brooks)
6:32.0,,,67-75,,Memphis full timeout
6:32.0,,,67-75,,D. Brooks misses free throw 1 of 2
6:32.0,,,67-75,,Offensive rebound by Team
6:32.0,,,67-76,1,D. Brooks makes free throw 2 of 2
6:19.0,A. Drummond misses 2-pt shot from 1 ft,,67-76,,
6:17.0,,,67-76,,Defensive rebound by M. Gasol
5:58.0,,,67-78,2,M. Gasol makes 2-pt shot from 11 ft (assist by B. McLemore)
5:42.0,A. Tolliver makes 3-pt shot from 24 ft (assist by S. Johnson),3,70-78,,
5:13.0,,,70-78,,M. Gasol misses 3-pt shot from 27 ft
5:13.0,,,70-78,,Offensive rebound by Team
5:13.0,,,70-78,,Turnover by Team (shot clock)
5:13.0,,,70-78,,M. Brooks enters the game for B. McLemore
5:13.0,I. Smith enters the game for R. Jackson,,70-78,,
4:57.0,S. Johnson makes 2-pt shot from 8 ft (assist by L. Kennard),2,72-78,,
4:33.0,,,72-81,3,K. Simmons makes 3-pt shot from 25 ft (assist by M. Gasol)
4:16.0,I. Smith makes 3-pt shot from 23 ft,3,75-81,,
3:55.0,,,75-84,3,M. Gasol makes 3-pt shot from 24 ft (assist by D. Brooks)
3:38.0,I. Smith misses 3-pt shot from 22 ft,,75-84,,
3:36.0,,,75-84,,Defensive rebound by M. Gasol
3:29.0,,,75-86,2,M. Brooks makes 2-pt shot from 3 ft
3:21.0,Detroit full timeout,,75-86,,
3:21.0,,,75-86,,M. Chalmers enters the game for K. Simmons
3:21.0,,,75-86,,M. Henry enters the game for D. Brooks
3:21.0,H. Ellenson enters the game for A. Tolliver,,75-86,,
3:14.0,H. Ellenson makes 3-pt shot from 26 ft (assist by I. Smith),3,78-86,,
2:57.0,,,78-89,3,M. Gasol makes 3-pt shot from 25 ft (assist by O. Johnson)
2:43.0,,,78-89,,D. Davis enters the game for M. Gasol
2:36.0,S. Johnson makes 3-pt shot from 23 ft (assist by I. Smith),3,81-89,,
2:14.0,,,81-89,,M. Henry misses 2-pt shot from 2 ft
2:11.0,Defensive rebound by A. Drummond,,81-89,,
2:03.0,Shooting foul by M. Chalmers (drawn by S. Johnson),,81-89,,
2:03.0,S. Johnson makes free throw 1 of 2,1,82-89,,
2:03.0,S. Johnson misses free throw 2 of 2,,82-89,,
2:00.0,Offensive rebound by A. Drummond,,82-89,,
1:59.0,A. Drummond makes 2-pt shot from 1 ft,2,84-89,,
1:48.0,,,84-89,,O. Johnson misses 3-pt shot from 25 ft
1:45.0,,,84-89,,Offensive rebound by D. Davis
1:39.0,,,84-92,3,M. Brooks makes 3-pt shot from 25 ft
1:18.0,Turnover by H. Ellenson (bad pass; steal by M. Henry),,84-92,,
1:11.0,,,84-92,,Turnover by M. Henry (bad pass; steal by L. Kennard)
1:04.0,Turnover by A. Drummond (bad pass; steal by M. Brooks),,84-92,,
0:59.0,,,84-94,2,M. Henry makes 2-pt shot from 1 ft (assist by M. Brooks)
0:39.0,I. Smith misses 3-pt shot from 26 ft,,84-94,,
0:35.0,,,84-94,,Defensive rebound by M. Brooks
0:17.0,,,84-94,,D. Davis misses 2-pt shot from 12 ft
0:14.0,,,84-94,,Offensive rebound by O. Johnson
0:14.0,,,84-96,2,O. Johnson makes 2-pt shot at rim
0:01.0,I. Smith misses 2-pt shot from 2 ft (block by D. Davis),,84-96,,
0:00.0,,,84-96,,Defensive rebound by M. Chalmers
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,J. Ennis makes 2-pt shot from 1 ft (assist by I. Smith),2,86-96,,
11:36.0,,,86-96,,Turnover by M. Brooks (palming)
11:23.0,H. Ellenson makes 2-pt shot from 16 ft (assist by E. Moreland),2,88-96,,
11:01.0,,,88-96,,M. Brooks misses 2-pt shot from 10 ft
11:00.0,Defensive rebound by Team,,88-96,,
10:54.0,L. Galloway misses 3-pt shot from 25 ft,,88-96,,
10:51.0,,,88-96,,Defensive rebound by M. Brooks
10:47.0,,,88-98,2,M. Brooks makes 2-pt shot from 4 ft
10:47.0,,,88-98,,Shooting foul by J. Ennis (drawn by M. Brooks)
10:47.0,,,88-98,,I. Rabb enters the game for M. Chalmers
10:47.0,,,88-98,,K. Simmons enters the game for O. Johnson
10:47.0,,,88-99,1,M. Brooks makes free throw 1 of 1
10:33.0,H. Ellenson makes 3-pt shot from 25 ft (assist by L. Galloway),3,91-99,,
10:33.0,Shooting foul by I. Rabb (drawn by H. Ellenson),,91-99,,
10:33.0,,,91-99,,M. Gasol enters the game for I. Rabb
10:33.0,H. Ellenson makes free throw 1 of 1,1,92-99,,
10:21.0,,,92-102,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Henry)
10:01.0,Turnover by E. Moreland (bad pass; steal by M. Henry),,92-102,,
9:54.0,,,92-104,2,D. Davis makes 2-pt shot from 1 ft (assist by M. Gasol)
9:54.0,Detroit full timeout,,92-104,,
9:54.0,A. Drummond enters the game for E. Moreland,,92-104,,
9:38.0,L. Galloway misses 2-pt shot from 17 ft,,92-104,,
9:35.0,Offensive rebound by A. Drummond,,92-104,,
9:34.0,A. Drummond misses 2-pt shot from 6 ft,,92-104,,
9:34.0,Offensive rebound by Team,,92-104,,
9:24.0,A. Drummond makes 2-pt shot at rim (assist by I. Smith),2,94-104,,
9:05.0,,,94-106,2,D. Davis makes 2-pt shot at rim (assist by M. Gasol)
8:50.0,L. Galloway misses 3-pt shot from 27 ft,,94-106,,
8:46.0,Offensive rebound by H. Ellenson,,94-106,,
8:42.0,J. Ennis makes 3-pt shot from 23 ft (assist by L. Galloway),3,97-106,,
8:14.0,,,97-106,,K. Simmons misses 3-pt shot from 25 ft
8:09.0,,,97-106,,Offensive rebound by M. Henry
8:06.0,,,97-109,3,M. Brooks makes 3-pt shot from 25 ft (assist by M. Henry)
7:59.0,Detroit full timeout,,97-109,,
7:59.0,A. Tolliver enters the game for H. Ellenson,,97-109,,
7:44.0,J. Ennis makes 3-pt shot from 23 ft (assist by I. Smith),3,100-109,,
7:29.0,,,100-109,,Turnover by M. Gasol (lost ball; steal by A. Drummond)
7:26.0,Turnover by A. Drummond (lost ball; steal by M. Henry),,100-109,,
7:15.0,,,100-112,3,K. Simmons makes 3-pt shot from 22 ft (assist by M. Brooks)
7:00.0,J. Ennis misses 3-pt shot from 25 ft,,100-112,,
6:59.0,,,100-112,,Defensive rebound by Team
6:40.0,,,100-112,,K. Simmons misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by A. Drummond,,100-112,,
6:32.0,I. Smith makes 2-pt shot at rim,2,102-112,,
6:12.0,,,102-112,,M. Brooks misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by A. Drummond,,102-112,,
6:06.0,L. Galloway misses 3-pt shot from 27 ft,,102-112,,
6:02.0,,,102-112,,Defensive rebound by D. Davis
5:46.0,,,102-112,,D. Brooks enters the game for M. Henry
5:46.0,L. Kennard enters the game for L. Galloway,,102-112,,
5:41.0,,,102-112,,D. Davis misses 2-pt shot from 18 ft
5:38.0,Defensive rebound by I. Smith,,102-112,,
5:33.0,Turnover by I. Smith (bad pass; steal by D. Brooks),,102-112,,
5:10.0,,,102-112,,M. Brooks misses 2-pt shot from 5 ft
5:05.0,,,102-112,,Offensive rebound by D. Davis
5:05.0,,,102-114,2,D. Davis makes 2-pt shot at rim
4:50.0,,,102-114,,Personal foul by M. Brooks (drawn by L. Kennard)
4:50.0,,,102-114,,B. McLemore enters the game for M. Brooks
4:50.0,S. Johnson enters the game for J. Ennis,,102-114,,
4:38.0,S. Johnson misses 2-pt shot from 10 ft,,102-114,,
4:35.0,,,102-114,,Defensive rebound by D. Brooks
4:27.0,,,102-114,,Turnover by D. Brooks (bad pass; steal by L. Kennard)
4:19.0,L. Kennard misses 2-pt shot from 9 ft,,102-114,,
4:13.0,Offensive rebound by A. Drummond,,102-114,,
4:13.0,A. Drummond makes 2-pt shot at rim,2,104-114,,
3:58.0,,,104-117,3,K. Simmons makes 3-pt shot from 25 ft (assist by M. Gasol)
3:42.0,A. Tolliver misses 3-pt shot from 25 ft,,104-117,,
3:39.0,,,104-117,,Defensive rebound by D. Brooks
3:25.0,,,104-117,,D. Brooks misses 3-pt shot from 26 ft
3:21.0,,,104-117,,Offensive rebound by M. Gasol
3:20.0,,,104-117,,M. Gasol misses 3-pt shot from 26 ft
3:20.0,Defensive rebound by Team,,104-117,,
