time,Boston,pts.away,score,pts.home,Milwaukee
2:36.0,,,14-15,2,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova)
2:09.0,M. Morris misses 2-pt shot from 15 ft,,14-15,,
2:05.0,,,14-15,,Defensive rebound by M. Dellavedova
1:59.0,,,14-18,3,J. Parker makes 3-pt shot from 25 ft (assist by T. Snell)
1:39.0,Shooting foul by G. Antetokounmpo (drawn by M. Morris),,14-18,,
1:39.0,M. Morris misses free throw 1 of 2,,14-18,,
1:39.0,Offensive rebound by Team,,14-18,,
1:39.0,,,14-18,,K. Middleton enters the game for G. Antetokounmpo
1:39.0,J. Tatum enters the game for A. Horford,,14-18,,
1:39.0,A. Baynes enters the game for G. Monroe,,14-18,,
1:39.0,M. Morris makes free throw 2 of 2,1,15-18,,
1:22.0,,,15-18,,T. Maker misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by T. Rozier,,15-18,,
1:17.0,,,15-18,,Violation by T. Snell (kicked ball)
1:11.0,M. Morris makes 2-pt shot from 18 ft (assist by T. Rozier),2,17-18,,
0:53.0,,,17-20,2,K. Middleton makes 2-pt shot from 2 ft
0:45.0,Turnover by T. Rozier (bad pass; steal by J. Parker),,17-20,,
0:41.0,,,17-20,,J. Parker misses 2-pt shot from 2 ft
0:40.0,Defensive rebound by Team,,17-20,,
0:24.0,M. Morris misses 2-pt shot from 8 ft (block by J. Parker),,17-20,,
0:20.0,,,17-20,,Defensive rebound by K. Middleton
0:01.0,,,17-22,2,K. Middleton makes 2-pt shot from 5 ft
0:01.0,Turnover by M. Morris (bad pass; steal by M. Dellavedova),,17-22,,
0:00.0,,,17-24,2,M. Dellavedova makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by M. Morris (drawn by M. Dellavedova),,17-24,,
11:45.0,,,17-24,,J. Parker misses 2-pt shot from 12 ft
11:42.0,Defensive rebound by M. Morris,,17-24,,
11:24.0,J. Tatum misses 2-pt shot from 14 ft,,17-24,,
11:22.0,,,17-24,,Defensive rebound by M. Dellavedova
11:13.0,,,17-24,,K. Middleton misses 2-pt shot from 15 ft
11:10.0,Defensive rebound by J. Brown,,17-24,,
11:03.0,A. Baynes misses 3-pt shot from 26 ft,,17-24,,
10:59.0,,,17-24,,Defensive rebound by J. Parker
10:48.0,,,17-27,3,T. Maker makes 3-pt shot from 22 ft (assist by T. Snell)
10:31.0,Turnover by A. Baynes (bad pass; steal by J. Parker),,17-27,,
10:27.0,,,17-27,,Turnover by M. Dellavedova (bad pass)
10:27.0,,,17-27,,E. Bledsoe enters the game for M. Dellavedova
10:12.0,J. Tatum misses 2-pt shot from 18 ft,,17-27,,
10:08.0,,,17-27,,Defensive rebound by T. Snell
9:46.0,,,17-30,3,T. Snell makes 3-pt shot from 25 ft (assist by E. Bledsoe)
9:25.0,A. Baynes makes 2-pt shot from 1 ft (assist by S. Larkin),2,19-30,,
8:59.0,,,19-32,2,K. Middleton makes 2-pt shot from 6 ft
8:35.0,J. Brown misses 2-pt shot from 17 ft (block by J. Parker),,19-32,,
8:35.0,,,19-32,,Defensive rebound by Team
8:35.0,Jump ball: J. Parker vs. J. Brown (E. Bledsoe gains possession),,,,Jump ball: J. Parker vs. J. Brown (E. Bledsoe gains possession)
8:35.0,G. Yabusele enters the game for M. Morris,,19-32,,
8:30.0,,,19-32,,T. Snell misses 3-pt shot from 22 ft
8:30.0,Defensive rebound by J. Brown,,19-32,,
8:19.0,,,19-32,,Personal foul by T. Snell (drawn by J. Tatum)
8:04.0,S. Larkin misses 2-pt shot from 4 ft,,19-32,,
7:57.0,Offensive rebound by A. Baynes,,19-32,,
7:57.0,A. Baynes misses 2-pt shot at rim,,19-32,,
7:55.0,,,19-32,,Defensive rebound by J. Parker
7:53.0,,,19-32,,T. Maker misses 3-pt shot from 23 ft
7:52.0,Defensive rebound by J. Brown,,19-32,,
7:52.0,Shooting foul by J. Parker (drawn by J. Brown),,19-32,,
7:52.0,J. Brown makes free throw 1 of 2,1,20-32,,
7:52.0,,,20-32,,G. Antetokounmpo enters the game for J. Parker
7:52.0,A. Horford enters the game for A. Baynes,,20-32,,
7:52.0,J. Brown makes free throw 2 of 2,1,21-32,,
7:39.0,,,21-32,,E. Bledsoe misses 2-pt shot from 1 ft
7:36.0,Defensive rebound by A. Horford,,21-32,,
7:22.0,,,21-32,,Personal foul by E. Bledsoe (drawn by S. Larkin)
7:18.0,Turnover by A. Horford (lost ball; steal by K. Middleton),,21-32,,
7:14.0,,,21-34,2,K. Middleton makes 2-pt shot at rim (assist by E. Bledsoe)
6:56.0,J. Tatum misses 2-pt shot from 7 ft (block by T. Maker),,21-34,,
6:54.0,,,21-34,,Defensive rebound by K. Middleton
6:54.0,Personal foul by G. Yabusele (drawn by G. Antetokounmpo),,21-34,,
6:54.0,,,21-34,,Milwaukee full timeout
6:54.0,T. Rozier enters the game for S. Larkin,,21-34,,
6:54.0,,,21-34,,M. Dellavedova enters the game for E. Bledsoe
6:42.0,,,21-36,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton)
6:13.0,T. Rozier makes 2-pt shot from 15 ft,2,23-36,,
5:52.0,,,23-36,,Shooting foul by G. Yabusele (drawn by K. Middleton)
5:52.0,,,23-37,1,K. Middleton makes free throw 1 of 2
5:52.0,,,23-37,,J. Parker enters the game for T. Maker
5:52.0,M. Morris enters the game for J. Tatum,,23-37,,
5:52.0,,,23-38,1,K. Middleton makes free throw 2 of 2
5:33.0,J. Brown makes 2-pt shot from 18 ft,2,25-38,,
5:21.0,,,25-38,,Shooting foul by A. Horford (drawn by G. Antetokounmpo)
5:21.0,,,25-38,,G. Antetokounmpo misses free throw 1 of 2
5:21.0,,,25-38,,Offensive rebound by Team
5:21.0,,,25-38,,M. Brogdon enters the game for K. Middleton
5:21.0,,,25-39,1,G. Antetokounmpo makes free throw 2 of 2
5:01.0,T. Rozier misses 3-pt shot from 28 ft,,25-39,,
4:57.0,,,25-39,,Defensive rebound by G. Antetokounmpo
4:46.0,,,25-39,,G. Antetokounmpo misses 2-pt shot from 15 ft
4:44.0,Defensive rebound by A. Horford,,25-39,,
4:33.0,J. Brown makes 3-pt shot from 28 ft (assist by T. Rozier),3,28-39,,
4:13.0,,,28-42,3,J. Parker makes 3-pt shot from 26 ft (assist by M. Dellavedova)
3:58.0,J. Brown makes 2-pt shot from 1 ft (assist by T. Rozier),2,30-42,,
3:49.0,Personal foul by G. Yabusele (drawn by J. Parker),,30-42,,
3:49.0,,,30-42,,J. Parker misses free throw 1 of 2
3:49.0,,,30-42,,Offensive rebound by Team
3:49.0,J. Tatum enters the game for G. Yabusele,,30-42,,
3:49.0,,,30-43,1,J. Parker makes free throw 2 of 2
3:38.0,M. Morris misses 2-pt shot from 3 ft,,30-43,,
3:35.0,,,30-43,,Defensive rebound by J. Parker
3:30.0,,,30-45,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Parker)
3:14.0,J. Brown misses 2-pt shot from 3 ft,,30-45,,
3:10.0,,,30-45,,Defensive rebound by M. Brogdon
2:58.0,,,30-45,,M. Dellavedova misses 3-pt shot from 26 ft
2:55.0,Defensive rebound by A. Horford,,30-45,,
2:50.0,J. Brown makes 2-pt shot from 10 ft,2,32-45,,
2:36.0,,,32-45,,Shooting foul by M. Morris (drawn by J. Parker)
2:36.0,Boston full timeout,,32-45,,
2:36.0,,,32-45,,E. Bledsoe enters the game for M. Dellavedova
2:36.0,,,32-45,,K. Middleton enters the game for T. Snell
2:36.0,,,32-46,1,J. Parker makes free throw 1 of 2
2:36.0,,,32-46,,J. Parker misses free throw 2 of 2
2:32.0,Defensive rebound by M. Morris,,32-46,,
2:25.0,Shooting foul by J. Parker (drawn by M. Morris),,32-46,,
2:25.0,M. Morris makes free throw 1 of 2,1,33-46,,
2:25.0,M. Morris misses free throw 2 of 2,,33-46,,
2:22.0,,,33-46,,Defensive rebound by J. Parker
2:08.0,,,33-46,,Turnover by G. Antetokounmpo (lost ball; steal by J. Brown)
2:08.0,,,33-46,,Personal foul by G. Antetokounmpo (drawn by J. Brown)
2:08.0,J. Brown makes free throw 1 of 2,1,34-46,,
2:08.0,J. Brown misses free throw 2 of 2,,34-46,,
2:05.0,,,34-46,,Defensive rebound by K. Middleton
1:43.0,,,34-46,,K. Middleton misses 2-pt shot from 15 ft
1:41.0,Defensive rebound by J. Brown,,34-46,,
1:33.0,T. Rozier misses 3-pt shot from 28 ft,,34-46,,
1:30.0,,,34-46,,Defensive rebound by G. Antetokounmpo
1:23.0,,,34-46,,E. Bledsoe misses 2-pt shot from 15 ft
1:20.0,Defensive rebound by J. Brown,,34-46,,
1:16.0,J. Brown misses 2-pt shot from 4 ft (block by E. Bledsoe),,34-46,,
1:13.0,,,34-46,,Defensive rebound by K. Middleton
1:05.0,,,34-49,3,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
0:51.0,,,34-49,,Personal foul by K. Middleton (drawn by J. Tatum)
0:51.0,J. Tatum makes free throw 1 of 2,1,35-49,,
0:51.0,S. Larkin enters the game for J. Brown,,35-49,,
0:51.0,J. Tatum misses free throw 2 of 2,,35-49,,
0:49.0,,,35-49,,Defensive rebound by G. Antetokounmpo
0:34.0,,,35-51,2,J. Parker makes 2-pt shot from 14 ft
0:22.0,J. Tatum misses 3-pt shot from 25 ft,,35-51,,
0:18.0,,,35-51,,Defensive rebound by J. Parker
0:02.0,,,35-51,,Turnover by G. Antetokounmpo (bad pass; steal by J. Tatum)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,35-53,2,T. Zeller makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
11:26.0,A. Baynes makes 2-pt shot from 10 ft (assist by J. Brown),2,37-53,,
11:06.0,,,37-55,2,G. Antetokounmpo makes 2-pt shot from 18 ft
10:48.0,T. Rozier misses 3-pt shot from 24 ft,,37-55,,
10:44.0,Offensive rebound by A. Baynes,,37-55,,
10:44.0,Shooting foul by T. Zeller (drawn by A. Horford),,37-55,,
10:44.0,A. Horford makes free throw 1 of 2,1,38-55,,
10:44.0,A. Horford makes free throw 2 of 2,1,39-55,,
10:20.0,,,39-58,3,K. Middleton makes 3-pt shot from 26 ft
9:55.0,Turnover by Team (shot clock),,39-58,,
9:40.0,,,39-58,,M. Brogdon misses 3-pt shot from 27 ft
9:38.0,Defensive rebound by A. Baynes,,39-58,,
9:31.0,J. Brown makes 2-pt shot at rim (assist by A. Baynes),2,41-58,,
9:18.0,Personal foul by J. Brown (drawn by G. Antetokounmpo),,41-58,,
9:14.0,,,41-60,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Zeller)
8:50.0,J. Tatum makes 2-pt shot from 11 ft (assist by A. Baynes),2,43-60,,
8:35.0,,,43-60,,E. Bledsoe misses 2-pt shot from 5 ft
8:33.0,Defensive rebound by A. Baynes,,43-60,,
8:28.0,,,43-60,,Personal foul by E. Bledsoe (drawn by J. Tatum)
8:17.0,Shooting foul by T. Zeller (drawn by T. Rozier),,43-60,,
8:17.0,T. Rozier makes free throw 1 of 2,1,44-60,,
8:17.0,,,44-60,,T. Maker enters the game for T. Zeller
8:17.0,S. Ojeleye enters the game for A. Baynes,,44-60,,
8:17.0,T. Rozier makes free throw 2 of 2,1,45-60,,
7:58.0,,,45-62,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
7:58.0,,,45-62,,Shooting foul by J. Tatum (drawn by M. Brogdon)
7:58.0,,,45-63,1,M. Brogdon makes free throw 1 of 1
7:44.0,J. Tatum misses 2-pt shot from 3 ft (block by E. Bledsoe),,45-63,,
7:39.0,,,45-63,,Defensive rebound by K. Middleton
7:37.0,,,45-65,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:37.0,Boston full timeout,,45-65,,
7:24.0,,,45-65,,Personal foul by G. Antetokounmpo (drawn by A. Horford)
7:18.0,J. Tatum makes 2-pt shot from 1 ft (assist by T. Rozier),2,47-65,,
6:51.0,,,47-65,,Turnover by Team (shot clock)
6:30.0,S. Ojeleye makes 2-pt shot from 1 ft (assist by A. Horford),2,49-65,,
6:15.0,,,49-65,,M. Brogdon misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by T. Rozier,,49-65,,
5:55.0,J. Tatum makes 2-pt shot from 1 ft (assist by T. Rozier),2,51-65,,
5:47.0,,,51-65,,Milwaukee full timeout
5:47.0,,,51-65,,M. Dellavedova enters the game for E. Bledsoe
5:47.0,,,51-65,,J. Parker enters the game for K. Middleton
5:27.0,,,51-65,,Turnover by M. Brogdon (lost ball; steal by J. Brown)
5:23.0,J. Brown makes 2-pt shot from 1 ft (assist by T. Rozier),2,53-65,,
5:02.0,,,53-65,,Shooting foul by A. Horford (drawn by M. Dellavedova)
5:02.0,,,53-66,1,M. Dellavedova makes free throw 1 of 2
5:02.0,,,53-66,,T. Snell enters the game for M. Brogdon
5:02.0,,,53-67,1,M. Dellavedova makes free throw 2 of 2
4:50.0,A. Horford makes 2-pt shot from 1 ft,2,55-67,,
4:41.0,,,55-67,,J. Parker misses 2-pt shot from 9 ft
4:38.0,Defensive rebound by A. Horford,,55-67,,
4:33.0,J. Brown makes 2-pt shot at rim (assist by A. Horford),2,57-67,,
4:17.0,,,57-69,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by M. Dellavedova)
4:04.0,T. Rozier misses 3-pt shot from 26 ft,,57-69,,
4:00.0,,,57-69,,Defensive rebound by J. Parker
3:48.0,,,57-69,,G. Antetokounmpo misses 3-pt shot from 26 ft
3:45.0,Defensive rebound by S. Ojeleye,,57-69,,
3:32.0,A. Horford misses 3-pt shot from 27 ft,,57-69,,
3:30.0,Offensive rebound by A. Horford,,57-69,,
3:26.0,J. Tatum makes 3-pt shot from 23 ft (assist by T. Rozier),3,60-69,,
2:56.0,,,60-71,2,J. Parker makes 2-pt shot from 6 ft
2:37.0,J. Brown makes 3-pt shot from 26 ft (assist by J. Tatum),3,63-71,,
2:21.0,,,63-71,,T. Maker misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by J. Tatum,,63-71,,
2:12.0,J. Brown misses 3-pt shot from 26 ft,,63-71,,
2:09.0,,,63-71,,Defensive rebound by T. Snell
2:05.0,,,63-71,,Turnover by T. Snell (lost ball; steal by J. Tatum)
1:56.0,J. Tatum misses 3-pt shot from 26 ft,,63-71,,
1:51.0,Offensive rebound by J. Tatum,,63-71,,
1:47.0,Shooting foul by T. Snell (drawn by J. Tatum),,63-71,,
1:47.0,J. Tatum makes free throw 1 of 2,1,64-71,,
1:47.0,,,64-71,,K. Middleton enters the game for G. Antetokounmpo
1:47.0,G. Yabusele enters the game for J. Brown,,64-71,,
1:47.0,S. Larkin enters the game for T. Rozier,,64-71,,
1:47.0,M. Morris enters the game for A. Horford,,64-71,,
1:47.0,J. Tatum makes free throw 2 of 2,1,65-71,,
1:27.0,,,65-71,,Shooting foul by G. Yabusele (drawn by J. Parker)
1:27.0,,,65-72,1,J. Parker makes free throw 1 of 2
1:27.0,,,65-73,1,J. Parker makes free throw 2 of 2
1:02.0,G. Yabusele misses 3-pt shot from 24 ft (block by K. Middleton),,65-73,,
0:56.0,,,65-73,,Defensive rebound by M. Dellavedova
0:56.0,,,65-75,2,K. Middleton makes 2-pt shot at rim (assist by T. Snell)
0:42.0,,,65-75,,Personal foul by T. Snell (drawn by J. Tatum)
0:42.0,J. Tatum makes free throw 1 of 2,1,66-75,,
0:42.0,A. Baynes enters the game for G. Yabusele,,66-75,,
0:42.0,J. Tatum makes free throw 2 of 2,1,67-75,,
0:32.0,,,67-75,,M. Dellavedova misses 2-pt shot from 5 ft
0:30.0,Defensive rebound by A. Baynes,,67-75,,
0:14.0,J. Tatum misses 2-pt shot from 2 ft (block by T. Maker),,67-75,,
0:14.0,Offensive rebound by Team,,67-75,,
0:05.0,S. Ojeleye misses 3-pt shot from 26 ft,,67-75,,
0:05.0,,,67-75,,Defensive rebound by T. Maker
0:00.0,,,67-75,,K. Middleton misses 2-pt shot from 15 ft
0:00.0,,,67-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,67-75,,Personal foul by T. Maker (drawn by S. Larkin)
11:43.0,S. Ojeleye misses 3-pt shot from 25 ft,,67-75,,
11:40.0,Offensive rebound by M. Morris,,67-75,,
11:40.0,M. Morris misses 2-pt shot at rim,,67-75,,
11:40.0,,,67-75,,Defensive rebound by J. Parker
11:29.0,,,67-75,,E. Bledsoe misses 2-pt shot from 10 ft
11:25.0,Defensive rebound by J. Brown,,67-75,,
11:11.0,A. Baynes makes 2-pt shot at rim (assist by S. Larkin),2,69-75,,
10:51.0,,,69-75,,J. Parker misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by A. Baynes,,69-75,,
10:41.0,J. Brown makes 3-pt shot from 28 ft (assist by S. Larkin),3,72-75,,
10:37.0,,,72-75,,Milwaukee full timeout
10:09.0,,,72-77,2,G. Antetokounmpo makes 2-pt shot from 6 ft
9:47.0,M. Morris makes 3-pt shot from 22 ft (assist by S. Larkin),3,75-77,,
9:35.0,Personal foul by M. Morris (drawn by K. Middleton),,75-77,,
9:35.0,,,75-77,,M. Brogdon enters the game for J. Parker
9:19.0,,,75-77,,G. Antetokounmpo misses 2-pt shot from 16 ft
9:19.0,Defensive rebound by Team,,75-77,,
9:03.0,M. Morris makes 2-pt shot at rim,2,77-77,,
8:58.0,Personal foul by M. Morris (drawn by K. Middleton),,77-77,,
8:53.0,,,77-80,3,T. Maker makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
8:31.0,M. Morris misses 2-pt shot from 4 ft,,77-80,,
8:27.0,Offensive rebound by J. Brown,,77-80,,
8:26.0,J. Brown misses 3-pt shot from 25 ft,,77-80,,
8:23.0,,,77-80,,Defensive rebound by G. Antetokounmpo
8:13.0,,,77-80,,Offensive charge foul by K. Middleton (drawn by M. Morris)
8:13.0,,,77-80,,Turnover by K. Middleton (offensive foul)
8:13.0,A. Horford enters the game for A. Baynes,,77-80,,
7:58.0,S. Ojeleye misses 2-pt shot from 4 ft (block by T. Maker),,77-80,,
7:53.0,Offensive rebound by A. Horford,,77-80,,
7:53.0,Shooting foul by G. Antetokounmpo (drawn by M. Morris),,77-80,,
7:53.0,M. Morris makes free throw 1 of 2,1,78-80,,
7:53.0,M. Morris makes free throw 2 of 2,1,79-80,,
7:40.0,,,79-83,3,E. Bledsoe makes 3-pt shot from 27 ft (assist by M. Brogdon)
7:21.0,Turnover by A. Horford (bad pass; steal by E. Bledsoe),,79-83,,
7:14.0,,,79-83,,Turnover by T. Maker (bad pass; steal by J. Brown)
7:08.0,Boston full timeout,,79-83,,
7:08.0,T. Rozier enters the game for S. Larkin,,79-83,,
7:08.0,J. Tatum enters the game for M. Morris,,79-83,,
6:48.0,J. Tatum makes 3-pt shot from 27 ft (assist by T. Rozier),3,82-83,,
6:27.0,,,82-86,3,K. Middleton makes 3-pt shot from 28 ft (assist by T. Maker)
6:13.0,T. Rozier makes 3-pt shot from 27 ft,3,85-86,,
5:54.0,,,85-88,2,E. Bledsoe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
5:43.0,J. Tatum misses 3-pt shot from 27 ft,,85-88,,
5:40.0,,,85-88,,Defensive rebound by T. Maker
5:27.0,,,85-88,,Shooting foul by T. Rozier (drawn by E. Bledsoe)
5:27.0,,,85-88,,E. Bledsoe misses free throw 1 of 3
5:27.0,,,85-88,,Offensive rebound by Team
5:27.0,,,85-89,1,E. Bledsoe makes free throw 2 of 3
5:27.0,M. Morris enters the game for S. Ojeleye,,85-89,,
5:27.0,,,85-90,1,E. Bledsoe makes free throw 3 of 3
5:14.0,M. Morris misses 2-pt shot from 2 ft (block by T. Maker),,85-90,,
5:14.0,Offensive rebound by Team,,85-90,,
5:12.0,T. Rozier misses 3-pt shot from 23 ft,,85-90,,
5:09.0,Offensive rebound by J. Tatum,,85-90,,
5:04.0,J. Brown makes 2-pt shot from 4 ft (assist by J. Tatum),2,87-90,,
4:49.0,Personal block foul by J. Brown (drawn by K. Middleton),,87-90,,
4:35.0,,,87-90,,Shooting foul by J. Tatum (drawn by K. Middleton)
4:35.0,,,87-91,1,K. Middleton makes free throw 1 of 2
4:35.0,,,87-92,1,K. Middleton makes free throw 2 of 2
4:10.0,A. Horford misses 2-pt shot from 18 ft,,87-92,,
4:07.0,,,87-92,,Defensive rebound by M. Brogdon
3:59.0,,,87-94,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton)
3:59.0,Boston full timeout,,87-94,,
3:44.0,A. Horford makes 2-pt shot from 2 ft (assist by J. Tatum),2,89-94,,
3:44.0,Shooting foul by K. Middleton (drawn by A. Horford),,89-94,,
3:44.0,S. Ojeleye enters the game for M. Morris,,89-94,,
3:44.0,A. Horford makes free throw 1 of 1,1,90-94,,
3:22.0,,,90-96,2,G. Antetokounmpo makes 2-pt shot from 11 ft (assist by E. Bledsoe)
3:02.0,Turnover by J. Tatum (lost ball; steal by K. Middleton),,90-96,,
2:59.0,,,90-96,,E. Bledsoe misses 2-pt shot from 2 ft (block by T. Rozier)
2:59.0,Defensive rebound by Team,,90-96,,
