time,Atlanta,pts.away,score,pts.home,New York
4:27.0,T. Waller-Prince enters the game for K. Bazemore,,11-13,,
4:18.0,,,11-13,,Turnover by T. Hardaway (lost ball; steal by J. Collins)
3:54.0,M. Belinelli misses 3-pt shot from 36 ft,,11-13,,
3:52.0,,,11-13,,Defensive rebound by Team
3:52.0,,,11-13,,F. Ntilikina enters the game for J. Jack
3:52.0,M. Muscala enters the game for D. Dedmon,,11-13,,
3:39.0,,,11-13,,E. Kanter misses 2-pt shot from 2 ft
3:37.0,Defensive rebound by M. Muscala,,11-13,,
3:28.0,J. Collins makes 2-pt shot from 6 ft (assist by D. Schroder),2,13-13,,
3:13.0,,,13-13,,M. Beasley misses 2-pt shot from 6 ft
3:11.0,Defensive rebound by M. Belinelli,,13-13,,
2:55.0,J. Collins misses 2-pt shot at rim,,13-13,,
2:53.0,,,13-13,,Defensive rebound by E. Kanter
2:50.0,,,13-13,,Turnover by F. Ntilikina (bad pass)
2:50.0,Atlanta full timeout,,13-13,,
2:50.0,,,13-13,,T. Burke enters the game for E. Kanter
2:50.0,,,13-13,,K. O'Quinn enters the game for T. Hardaway
2:50.0,M. Delaney enters the game for D. Schroder,,13-13,,
2:37.0,T. Waller-Prince misses 2-pt shot from 7 ft,,13-13,,
2:35.0,Offensive rebound by J. Collins,,13-13,,
2:30.0,M. Muscala makes 3-pt shot from 25 ft (assist by M. Delaney),3,16-13,,
2:07.0,,,16-15,2,M. Beasley makes 2-pt shot from 4 ft
1:49.0,M. Muscala makes 2-pt shot from 14 ft (assist by M. Belinelli),2,18-15,,
1:34.0,,,18-17,2,K. O'Quinn makes 2-pt shot from 15 ft (assist by T. Burke)
1:18.0,M. Delaney misses 3-pt shot from 23 ft,,18-17,,
1:16.0,,,18-17,,Defensive rebound by D. McDermott
0:57.0,,,18-20,3,T. Burke makes 3-pt shot from 24 ft (assist by M. Beasley)
0:46.0,M. Belinelli misses 2-pt shot from 14 ft,,18-20,,
0:44.0,Offensive rebound by T. Waller-Prince,,18-20,,
0:40.0,,,18-20,,Personal foul by T. Burke (drawn by T. Waller-Prince)
0:37.0,J. Collins misses 2-pt shot from 19 ft,,18-20,,
0:35.0,,,18-20,,Defensive rebound by T. Burke
0:25.0,,,18-20,,M. Beasley misses 2-pt shot from 2 ft
0:23.0,,,18-20,,Offensive rebound by K. O'Quinn
0:07.0,,,18-22,2,T. Burke makes 2-pt shot from 19 ft
0:01.0,J. Collins makes 2-pt shot from 5 ft (assist by M. Delaney),2,20-22,,
0:01.0,Shooting foul by F. Ntilikina (drawn by J. Collins),,20-22,,
0:01.0,J. Collins makes free throw 1 of 1,1,21-22,,
0:00.0,,,21-22,,F. Ntilikina misses 3-pt shot from 68 ft
0:00.0,,,21-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by T. Dorsey (step out of bounds),,21-22,,
11:33.0,,,21-22,,T. Burke misses 2-pt shot from 18 ft
11:32.0,Defensive rebound by Team,,21-22,,
11:32.0,,,21-22,,Loose ball foul by M. Beasley (drawn by M. Muscala)
11:21.0,Turnover by T. Waller-Prince (bad pass; steal by T. Burke),,21-22,,
11:04.0,,,21-24,2,M. Beasley makes 2-pt shot from 18 ft
10:49.0,M. Muscala misses 3-pt shot from 25 ft,,21-24,,
10:47.0,,,21-24,,Defensive rebound by K. O'Quinn
10:33.0,,,21-24,,F. Ntilikina misses 2-pt shot from 22 ft
10:31.0,,,21-24,,Offensive rebound by D. McDermott
10:16.0,,,21-24,,Turnover by K. O'Quinn (bad pass)
10:00.0,Turnover by T. Waller-Prince (bad pass; steal by K. O'Quinn),,21-24,,
9:54.0,,,21-24,,D. McDermott misses 3-pt shot from 25 ft (block by J. Collins)
9:49.0,,,21-24,,Offensive rebound by M. Beasley
9:49.0,,,21-24,,M. Beasley misses 2-pt shot from 2 ft
9:44.0,,,21-24,,Offensive rebound by M. Beasley
9:44.0,,,21-26,2,M. Beasley makes 2-pt shot from 2 ft
9:32.0,T. Dorsey makes 3-pt shot from 24 ft (assist by J. Collins),3,24-26,,
9:17.0,,,24-28,2,T. Burke makes 2-pt shot from 20 ft
9:01.0,,,24-28,,Personal foul by F. Ntilikina (drawn by J. Collins)
9:01.0,,,24-28,,C. Lee enters the game for K. O'Quinn
9:01.0,,,24-28,,E. Kanter enters the game for F. Ntilikina
9:01.0,M. Plumlee enters the game for T. Waller-Prince,,24-28,,
9:01.0,D. Dedmon enters the game for J. Collins,,24-28,,
9:01.0,K. Bazemore enters the game for M. Muscala,,24-28,,
8:53.0,M. Delaney misses 2-pt shot at rim,,24-28,,
8:52.0,,,24-28,,Defensive rebound by Team
8:43.0,Violation by M. Delaney (kicked ball),,24-28,,
8:43.0,Technical foul by M. Delaney (drawn by T. Burke),,24-28,,
8:43.0,,,24-29,1,C. Lee makes free throw 1 of 1
8:31.0,,,24-29,,E. Kanter misses 2-pt shot from 9 ft
8:29.0,Defensive rebound by M. Plumlee,,24-29,,
8:13.0,D. Dedmon misses 2-pt shot from 16 ft,,24-29,,
8:11.0,,,24-29,,Defensive rebound by C. Lee
8:03.0,,,24-29,,C. Lee misses 2-pt shot from 19 ft
8:00.0,,,24-29,,Offensive rebound by E. Kanter
7:52.0,,,24-29,,E. Kanter misses 2-pt shot from 15 ft
7:49.0,Defensive rebound by D. Dedmon,,24-29,,
7:40.0,T. Dorsey misses 3-pt shot from 23 ft,,24-29,,
7:38.0,,,24-29,,Defensive rebound by E. Kanter
7:29.0,,,24-29,,T. Burke misses 2-pt shot from 15 ft
7:27.0,Defensive rebound by T. Dorsey,,24-29,,
7:20.0,K. Bazemore makes 3-pt shot from 22 ft (assist by M. Delaney),3,27-29,,
7:01.0,,,27-29,,Turnover by M. Beasley (bad pass; steal by M. Delaney)
6:57.0,K. Bazemore makes 3-pt shot from 24 ft (assist by M. Delaney),3,30-29,,
6:56.0,,,30-29,,New York full timeout
6:56.0,,,30-29,,T. Hardaway enters the game for M. Beasley
6:56.0,,,30-29,,K. Porzingis enters the game for D. McDermott
6:56.0,,,30-29,,J. Jack enters the game for T. Burke
6:56.0,D. Schroder enters the game for M. Delaney,,30-29,,
6:39.0,,,30-29,,Turnover by E. Kanter (bad pass; steal by D. Schroder)
6:39.0,Shooting foul by J. Jack (drawn by D. Schroder),,30-29,,
6:39.0,D. Schroder makes free throw 1 of 2,1,31-29,,
6:39.0,D. Schroder makes free throw 2 of 2,1,32-29,,
6:24.0,,,32-29,,K. Porzingis misses 2-pt shot from 12 ft
6:20.0,Defensive rebound by D. Dedmon,,32-29,,
6:14.0,D. Schroder misses 2-pt shot from 11 ft,,32-29,,
6:12.0,,,32-29,,Defensive rebound by E. Kanter
6:07.0,,,32-32,3,K. Porzingis makes 3-pt shot from 27 ft (assist by T. Hardaway)
5:48.0,M. Plumlee misses 2-pt shot from 4 ft,,32-32,,
5:46.0,Offensive rebound by D. Dedmon,,32-32,,
5:33.0,D. Schroder misses 3-pt shot from 26 ft,,32-32,,
5:31.0,Offensive rebound by D. Dedmon,,32-32,,
5:29.0,K. Bazemore misses 3-pt shot from 25 ft,,32-32,,
5:27.0,,,32-32,,Defensive rebound by J. Jack
5:21.0,,,32-32,,E. Kanter misses 2-pt shot from 4 ft (block by M. Plumlee)
5:19.0,Defensive rebound by D. Schroder,,32-32,,
5:03.0,T. Dorsey makes 2-pt shot from 8 ft,2,34-32,,
4:43.0,,,34-32,,Turnover by E. Kanter (out of bounds lost ball)
4:43.0,M. Belinelli enters the game for T. Dorsey,,34-32,,
4:43.0,J. Collins enters the game for M. Plumlee,,34-32,,
4:28.0,D. Schroder misses 2-pt shot from 2 ft (block by T. Hardaway),,34-32,,
4:25.0,,,34-32,,Defensive rebound by C. Lee
4:19.0,,,34-32,,T. Hardaway misses 3-pt shot from 26 ft
4:15.0,,,34-32,,Offensive rebound by K. Porzingis
4:14.0,,,34-32,,K. Porzingis misses 3-pt shot from 26 ft
4:14.0,,,34-32,,Offensive rebound by T. Hardaway
4:10.0,Personal foul by K. Bazemore (drawn by T. Hardaway),,34-32,,
4:10.0,,,34-32,,K. O'Quinn enters the game for E. Kanter
4:10.0,M. Muscala enters the game for D. Dedmon,,34-32,,
4:02.0,,,34-32,,Shooting foul by K. Bazemore (drawn by T. Hardaway)
4:02.0,,,34-33,1,T. Hardaway makes free throw 1 of 2
4:02.0,,,34-34,1,T. Hardaway makes free throw 2 of 2
3:46.0,M. Muscala makes 2-pt shot from 10 ft (assist by D. Schroder),2,36-34,,
3:33.0,,,36-34,,T. Hardaway misses 2-pt shot from 2 ft
3:31.0,Defensive rebound by M. Muscala,,36-34,,
3:25.0,Shooting foul by K. Porzingis (drawn by D. Schroder),,36-34,,
3:25.0,T. Waller-Prince enters the game for K. Bazemore,,36-34,,
3:25.0,D. Schroder makes free throw 1 of 2,1,37-34,,
3:25.0,D. Schroder makes free throw 2 of 2,1,38-34,,
3:11.0,,,38-36,2,K. O'Quinn makes 2-pt shot from 15 ft (assist by J. Jack)
2:58.0,M. Belinelli makes 3-pt shot from 25 ft (assist by T. Waller-Prince),3,41-36,,
2:46.0,,,41-36,,Turnover by J. Jack (bad pass)
2:46.0,Atlanta full timeout,,41-36,,
2:30.0,M. Belinelli makes 2-pt shot from 20 ft,2,43-36,,
2:10.0,,,43-36,,Turnover by K. O'Quinn (turnover)
1:58.0,M. Muscala misses 3-pt shot from 24 ft,,43-36,,
1:56.0,,,43-36,,Defensive rebound by C. Lee
1:46.0,,,43-36,,Turnover by K. Porzingis (lost ball; steal by D. Schroder)
1:44.0,Turnover by J. Collins (bad pass; steal by K. Porzingis),,43-36,,
1:44.0,,,43-36,,Turnover by J. Jack (bad pass)
1:31.0,D. Schroder misses 2-pt shot from 19 ft,,43-36,,
1:29.0,,,43-36,,Defensive rebound by K. Porzingis
1:24.0,,,43-36,,J. Jack misses 3-pt shot from 26 ft
1:22.0,Defensive rebound by Team,,43-36,,
1:22.0,,,43-36,,Personal foul by K. Porzingis (drawn by J. Collins)
1:22.0,J. Collins misses free throw 1 of 2,,43-36,,
1:22.0,Offensive rebound by Team,,43-36,,
1:22.0,J. Collins makes free throw 2 of 2,1,44-36,,
1:05.0,,,44-36,,C. Lee misses 2-pt shot from 20 ft
1:03.0,Defensive rebound by T. Waller-Prince,,44-36,,
0:57.0,D. Schroder misses 2-pt shot from 15 ft,,44-36,,
0:54.0,,,44-36,,Defensive rebound by K. O'Quinn
0:44.0,,,44-36,,C. Lee misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by M. Muscala,,44-36,,
0:29.0,D. Schroder misses 3-pt shot from 25 ft,,44-36,,
0:26.0,,,44-36,,Defensive rebound by K. Porzingis
0:03.0,,,44-38,2,C. Lee makes 2-pt shot from 21 ft (assist by J. Jack)
0:00.0,D. Schroder misses 3-pt shot from 49 ft,,44-38,,
0:00.0,Offensive rebound by Team,,44-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,Turnover by D. Schroder (bad pass; steal by K. Porzingis),,44-38,,
11:20.0,,,44-40,2,K. Porzingis makes 2-pt shot from 6 ft
11:20.0,,,44-40,,Shooting foul by M. Plumlee (drawn by K. Porzingis)
11:20.0,,,44-41,1,K. Porzingis makes free throw 1 of 1
11:07.0,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,46-41,,
10:53.0,,,46-43,2,T. Hardaway makes 2-pt shot from 20 ft
10:34.0,T. Waller-Prince misses 3-pt shot from 26 ft,,46-43,,
10:33.0,,,46-43,,Defensive rebound by E. Kanter
10:26.0,,,46-43,,C. Lee misses 2-pt shot at rim
10:24.0,,,46-43,,Offensive rebound by E. Kanter
10:24.0,,,46-45,2,E. Kanter makes 2-pt shot at rim
10:23.0,Atlanta full timeout,,46-45,,
10:05.0,D. Dedmon makes 3-pt shot from 26 ft (assist by K. Bazemore),3,49-45,,
9:55.0,,,49-47,2,T. Hardaway makes 2-pt shot at rim (assist by E. Kanter)
9:41.0,Turnover by T. Waller-Prince (bad pass; steal by K. Porzingis),,49-47,,
9:34.0,,,49-49,2,E. Kanter makes 2-pt shot from 2 ft (assist by C. Lee)
9:19.0,D. Dedmon misses 3-pt shot from 26 ft,,49-49,,
9:17.0,,,49-49,,Defensive rebound by T. Hardaway
9:09.0,,,49-49,,T. Hardaway misses 2-pt shot from 16 ft
9:07.0,Defensive rebound by K. Bazemore,,49-49,,
8:58.0,K. Bazemore makes 2-pt shot from 2 ft,2,51-49,,
8:42.0,,,51-51,2,K. Porzingis makes 2-pt shot from 6 ft
8:26.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder),3,54-51,,
8:05.0,,,54-51,,Turnover by K. Porzingis (traveling)
7:50.0,T. Waller-Prince misses 2-pt shot from 1 ft (block by K. Porzingis),,54-51,,
7:49.0,Offensive rebound by Team,,54-51,,
7:44.0,K. Bazemore makes 2-pt shot from 16 ft,2,56-51,,
7:26.0,,,56-51,,E. Kanter misses 2-pt shot from 1 ft
7:25.0,,,56-51,,Offensive rebound by Team
7:18.0,,,56-54,3,J. Jack makes 3-pt shot from 25 ft
7:00.0,K. Bazemore misses 2-pt shot from 17 ft (block by C. Lee),,56-54,,
6:56.0,Offensive rebound by K. Bazemore,,56-54,,
6:54.0,D. Dedmon misses 2-pt shot from 2 ft,,56-54,,
6:54.0,,,56-54,,Defensive rebound by E. Kanter
6:50.0,,,56-54,,Turnover by J. Jack (bad pass)
6:50.0,M. Belinelli enters the game for T. Waller-Prince,,56-54,,
6:37.0,M. Plumlee makes 2-pt shot from 5 ft (assist by K. Bazemore),2,58-54,,
6:24.0,,,58-54,,Turnover by C. Lee (bad pass; steal by M. Belinelli)
6:18.0,K. Bazemore misses 3-pt shot from 23 ft,,58-54,,
6:15.0,,,58-54,,Defensive rebound by K. Porzingis
6:03.0,,,58-56,2,J. Jack makes 2-pt shot from 4 ft
5:52.0,D. Dedmon makes 2-pt shot from 1 ft (assist by D. Schroder),2,60-56,,
5:29.0,,,60-56,,C. Lee misses 3-pt shot from 25 ft
5:27.0,,,60-56,,Offensive rebound by E. Kanter
5:27.0,,,60-58,2,E. Kanter makes 2-pt shot at rim
5:15.0,,,60-58,,Personal foul by T. Hardaway (drawn by M. Belinelli)
5:15.0,,,60-58,,D. McDermott enters the game for T. Hardaway
5:15.0,T. Waller-Prince enters the game for D. Dedmon,,60-58,,
5:15.0,M. Muscala enters the game for M. Plumlee,,60-58,,
5:15.0,J. Collins enters the game for K. Bazemore,,60-58,,
5:07.0,J. Collins misses 2-pt shot from 1 ft (block by K. Porzingis),,60-58,,
4:58.0,,,60-58,,Defensive rebound by D. McDermott
4:55.0,,,60-58,,K. Porzingis misses 3-pt shot from 25 ft
4:55.0,,,60-58,,Offensive rebound by D. McDermott
4:45.0,,,60-58,,D. McDermott misses 2-pt shot at rim
4:43.0,Defensive rebound by J. Collins,,60-58,,
4:43.0,Shooting foul by J. Jack (drawn by D. Schroder),,60-58,,
4:43.0,,,60-58,,T. Burke enters the game for J. Jack
4:43.0,D. Schroder makes free throw 1 of 2,1,61-58,,
4:43.0,D. Schroder makes free throw 2 of 2,1,62-58,,
4:25.0,,,62-60,2,E. Kanter makes 2-pt shot from 3 ft
4:12.0,D. Schroder misses 2-pt shot from 6 ft,,62-60,,
4:10.0,Offensive rebound by D. Schroder,,62-60,,
4:09.0,D. Schroder misses 2-pt shot from 12 ft (block by K. Porzingis),,62-60,,
4:06.0,Offensive rebound by D. Schroder,,62-60,,
4:01.0,M. Belinelli misses 2-pt shot from 18 ft,,62-60,,
3:59.0,,,62-60,,Defensive rebound by E. Kanter
3:51.0,,,62-62,2,T. Burke makes 2-pt shot from 20 ft
3:32.0,D. Schroder makes 2-pt shot from 6 ft,2,64-62,,
3:22.0,,,64-62,,New York full timeout
3:22.0,,,64-62,,M. Beasley enters the game for K. Porzingis
3:22.0,M. Delaney enters the game for D. Schroder,,64-62,,
3:03.0,,,64-64,2,E. Kanter makes 2-pt shot from 16 ft
2:41.0,J. Collins misses 2-pt shot from 7 ft,,64-64,,
2:39.0,,,64-64,,Defensive rebound by M. Beasley
2:30.0,,,64-66,2,T. Burke makes 2-pt shot from 20 ft
2:13.0,T. Waller-Prince misses 2-pt shot from 15 ft,,64-66,,
2:11.0,Offensive rebound by J. Collins,,64-66,,
2:08.0,J. Collins misses 2-pt shot at rim,,64-66,,
2:07.0,,,64-66,,Defensive rebound by D. McDermott
2:04.0,,,64-66,,C. Lee misses 3-pt shot from 25 ft
2:02.0,,,64-66,,Offensive rebound by D. McDermott
2:01.0,,,64-68,2,D. McDermott makes 2-pt shot from 1 ft
1:43.0,M. Muscala makes 3-pt shot from 24 ft (assist by M. Delaney),3,67-68,,
1:32.0,Personal foul by M. Delaney (drawn by T. Burke),,67-68,,
1:32.0,,,67-68,,L. Thomas enters the game for C. Lee
1:23.0,,,67-70,2,T. Burke makes 2-pt shot from 18 ft (assist by E. Kanter)
1:01.0,M. Muscala makes 2-pt shot from 7 ft (assist by M. Delaney),2,69-70,,
0:42.0,,,69-70,,Turnover by E. Kanter (lost ball; steal by J. Collins)
0:37.0,Turnover by J. Collins (out of bounds lost ball),,69-70,,
0:33.0,,,69-70,,Shooting foul by M. Delaney (drawn by T. Burke)
0:33.0,,,69-70,,T. Burke misses free throw 1 of 2
0:33.0,,,69-70,,Offensive rebound by Team
0:33.0,,,69-71,1,T. Burke makes free throw 2 of 2
0:24.0,Turnover by J. Collins (bad pass),,69-71,,
0:03.0,,,69-71,,T. Burke misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by Team,,69-71,,
0:02.0,Turnover by M. Muscala (bad pass; steal by M. Beasley),,69-71,,
0:01.0,,,69-71,,M. Beasley misses 3-pt shot from 40 ft
0:00.0,,,69-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,69-71,,M. Beasley misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by T. Dorsey,,69-71,,
11:33.0,M. Belinelli makes 3-pt shot from 24 ft (assist by T. Dorsey),3,72-71,,
11:16.0,,,72-71,,D. McDermott misses 2-pt shot from 16 ft
11:14.0,Defensive rebound by M. Belinelli,,72-71,,
11:12.0,Turnover by M. Belinelli (lost ball; steal by M. Beasley),,72-71,,
10:59.0,,,72-71,,T. Hardaway enters the game for L. Thomas
10:53.0,,,72-71,,Shooting foul by M. Muscala (drawn by K. O'Quinn)
10:53.0,,,72-72,1,K. O'Quinn makes free throw 1 of 2
10:53.0,,,72-73,1,K. O'Quinn makes free throw 2 of 2
10:41.0,T. Dorsey misses 3-pt shot from 23 ft,,72-73,,
10:39.0,,,72-73,,Defensive rebound by T. Burke
10:31.0,,,72-75,2,D. McDermott makes 2-pt shot from 12 ft
10:04.0,M. Belinelli misses 3-pt shot from 24 ft,,72-75,,
10:02.0,,,72-75,,Defensive rebound by D. McDermott
9:51.0,,,72-75,,M. Beasley misses 2-pt shot from 11 ft
9:49.0,,,72-75,,Offensive rebound by K. O'Quinn
9:46.0,,,72-75,,D. McDermott misses 2-pt shot from 3 ft
9:45.0,Defensive rebound by M. Muscala,,72-75,,
9:39.0,T. Dorsey makes 2-pt shot from 2 ft (assist by M. Delaney),2,74-75,,
9:39.0,,,74-75,,Shooting block foul by T. Hardaway (drawn by T. Dorsey)
9:39.0,D. Dedmon enters the game for M. Belinelli,,74-75,,
9:39.0,K. Bazemore enters the game for J. Collins,,74-75,,
9:39.0,T. Dorsey misses free throw 1 of 1,,74-75,,
9:35.0,Offensive rebound by M. Muscala,,74-75,,
9:27.0,M. Delaney misses 2-pt shot from 4 ft (block by K. O'Quinn),,74-75,,
9:23.0,Offensive rebound by T. Dorsey,,74-75,,
9:18.0,K. Bazemore misses 2-pt shot from 1 ft,,74-75,,
9:18.0,,,74-75,,Defensive rebound by Team
9:18.0,,,74-75,,K. Porzingis enters the game for M. Beasley
9:03.0,,,74-77,2,K. Porzingis makes 2-pt shot from 19 ft (assist by K. O'Quinn)
8:50.0,Shooting foul by T. Burke (drawn by M. Delaney),,74-77,,
8:50.0,M. Plumlee enters the game for M. Muscala,,74-77,,
8:50.0,M. Delaney makes free throw 1 of 2,1,75-77,,
8:50.0,M. Delaney makes free throw 2 of 2,1,76-77,,
8:34.0,,,76-77,,Shooting foul by M. Plumlee (drawn by K. O'Quinn)
8:34.0,,,76-77,,J. Jack enters the game for T. Burke
8:34.0,,,76-77,,K. O'Quinn misses free throw 1 of 2
8:34.0,,,76-77,,Offensive rebound by Team
8:34.0,,,76-78,1,K. O'Quinn makes free throw 2 of 2
8:13.0,D. Dedmon makes 2-pt shot from 6 ft (assist by M. Plumlee),2,78-78,,
7:56.0,,,78-81,3,T. Hardaway makes 3-pt shot from 25 ft (assist by K. O'Quinn)
7:42.0,M. Delaney makes 3-pt shot from 25 ft,3,81-81,,
7:25.0,,,81-83,2,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn)
7:11.0,D. Dedmon makes 2-pt shot from 7 ft (assist by M. Delaney),2,83-83,,
6:52.0,,,83-85,2,K. O'Quinn makes 2-pt shot from 6 ft
6:45.0,Turnover by M. Delaney (bad pass; steal by K. Porzingis),,83-85,,
6:41.0,,,83-87,2,K. Porzingis makes 2-pt shot at rim
6:41.0,Atlanta full timeout,,83-87,,
6:41.0,D. Schroder enters the game for M. Delaney,,83-87,,
6:41.0,J. Collins enters the game for M. Plumlee,,83-87,,
6:28.0,D. Schroder misses 2-pt shot from 14 ft,,83-87,,
6:27.0,Offensive rebound by Team,,83-87,,
6:27.0,,,83-87,,Loose ball foul by K. Porzingis (drawn by D. Dedmon)
6:19.0,K. Bazemore misses 2-pt shot from 3 ft (block by K. Porzingis),,83-87,,
6:17.0,,,83-87,,Defensive rebound by K. O'Quinn
6:17.0,,,83-87,,K. Porzingis misses technical free throw
6:17.0,,,83-87,,Offensive rebound by Team
6:10.0,,,83-87,,K. Porzingis misses 3-pt shot from 26 ft
6:04.0,,,83-87,,Offensive rebound by K. O'Quinn
6:04.0,,,83-87,,K. O'Quinn misses 2-pt shot at rim
6:04.0,Defensive rebound by T. Dorsey,,83-87,,
5:58.0,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder),3,86-87,,
5:44.0,,,86-87,,T. Hardaway misses 2-pt shot from 12 ft
5:41.0,Defensive rebound by D. Dedmon,,86-87,,
5:28.0,K. Bazemore misses 2-pt shot from 2 ft,,86-87,,
5:28.0,,,86-87,,Defensive rebound by K. Porzingis
5:13.0,,,86-89,2,K. Porzingis makes 2-pt shot from 13 ft (assist by J. Jack)
5:13.0,,,86-89,,Shooting foul by J. Collins (drawn by K. Porzingis)
5:13.0,T. Waller-Prince enters the game for T. Dorsey,,86-89,,
5:13.0,,,86-89,,K. Porzingis misses free throw 1 of 1
5:10.0,Defensive rebound by J. Collins,,86-89,,
4:57.0,,,86-89,,Personal foul by K. O'Quinn (drawn by D. Schroder)
4:49.0,Turnover by T. Waller-Prince (lost ball; steal by D. McDermott),,86-89,,
4:33.0,,,86-89,,J. Jack misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by D. Dedmon,,86-89,,
4:24.0,T. Waller-Prince misses 3-pt shot from 22 ft,,86-89,,
4:22.0,Offensive rebound by J. Collins,,86-89,,
4:18.0,J. Collins misses 2-pt shot at rim,,86-89,,
4:17.0,,,86-89,,Defensive rebound by K. Porzingis
4:09.0,,,86-89,,J. Jack misses 2-pt shot from 9 ft
4:06.0,Defensive rebound by D. Dedmon,,86-89,,
4:01.0,Atlanta full timeout,,86-89,,
4:01.0,,,86-89,,T. Burke enters the game for J. Jack
4:01.0,M. Muscala enters the game for J. Collins,,86-89,,
3:49.0,Shooting foul by T. Hardaway (drawn by K. Bazemore),,86-89,,
3:49.0,K. Bazemore misses free throw 1 of 3,,86-89,,
3:49.0,Offensive rebound by Team,,86-89,,
