time,Minnesota,pts.away,score,pts.home,Toronto
2:52.0,N. Bjelica enters the game for J. Teague,,76-75,,
2:52.0,T. Jones enters the game for T. Gibson,,76-75,,
2:52.0,,,76-76,1,K. Lowry makes free throw 1 of 1
2:33.0,J. Butler misses 2-pt shot from 3 ft (block by J. Poeltl),,76-76,,
2:33.0,Offensive rebound by J. Butler,,76-76,,
2:33.0,,,76-76,,D. Wright enters the game for K. Lowry
2:27.0,J. Butler makes 2-pt shot from 19 ft,2,78-76,,
2:05.0,,,78-76,,S. Ibaka misses 2-pt shot from 10 ft
2:03.0,Defensive rebound by J. Butler,,78-76,,
1:46.0,J. Butler makes 2-pt shot from 1 ft (assist by N. Bjelica),2,80-76,,
1:32.0,,,80-76,,D. DeRozan misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by A. Wiggins,,80-76,,
1:15.0,J. Butler misses 2-pt shot from 15 ft,,80-76,,
1:13.0,,,80-76,,Defensive rebound by S. Ibaka
1:05.0,,,80-76,,D. Wright misses 2-pt shot from 19 ft
1:02.0,Defensive rebound by J. Butler,,80-76,,
0:45.0,A. Wiggins misses 2-pt shot from 2 ft,,80-76,,
0:43.0,,,80-76,,Defensive rebound by S. Ibaka
0:32.0,,,80-78,2,J. Poeltl makes 2-pt shot at rim (assist by D. Wright)
0:09.0,A. Wiggins misses 3-pt shot from 25 ft,,80-78,,
0:06.0,,,80-78,,Defensive rebound by N. Powell
0:00.0,,,80-78,,D. DeRozan misses 2-pt shot from 19 ft
0:00.0,,,80-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,80-78,,D. Wright misses 3-pt shot from 24 ft
11:41.0,,,80-78,,Offensive rebound by Team
11:34.0,,,80-78,,Turnover by N. Powell (traveling)
11:18.0,Turnover by A. Wiggins (lost ball; steal by N. Powell),,80-78,,
11:14.0,,,80-80,2,N. Powell makes 2-pt shot from 1 ft
10:53.0,A. Wiggins makes 2-pt shot from 2 ft,2,82-80,,
10:41.0,,,82-80,,P. Siakam misses 2-pt shot from 3 ft
10:36.0,,,82-80,,Offensive rebound by J. Poeltl
10:36.0,,,82-82,2,J. Poeltl makes 2-pt shot at rim
10:26.0,A. Wiggins misses 2-pt shot from 3 ft,,82-82,,
10:24.0,,,82-82,,Defensive rebound by P. Siakam
10:21.0,Shooting block foul by N. Bjelica (drawn by P. Siakam),,82-82,,
10:21.0,,,82-82,,P. Siakam misses free throw 1 of 2
10:21.0,,,82-82,,Offensive rebound by Team
10:21.0,S. Muhammad enters the game for A. Wiggins,,82-82,,
10:21.0,,,82-83,1,P. Siakam makes free throw 2 of 2
10:00.0,J. Crawford makes 2-pt shot from 21 ft,2,84-83,,
9:37.0,,,84-83,,F. VanVleet misses 3-pt shot from 22 ft
9:34.0,Defensive rebound by G. Dieng,,84-83,,
9:28.0,Turnover by S. Muhammad (turnover),,84-83,,
9:18.0,,,84-83,,Shooting foul by J. Crawford (drawn by D. Wright)
9:18.0,,,84-84,1,D. Wright makes free throw 1 of 2
9:18.0,,,84-85,1,D. Wright makes free throw 2 of 2
9:06.0,J. Crawford misses 2-pt shot from 21 ft,,84-85,,
9:03.0,,,84-85,,Defensive rebound by N. Powell
8:58.0,,,84-85,,N. Powell misses 2-pt shot from 6 ft
8:50.0,,,84-85,,Offensive rebound by J. Poeltl
8:50.0,,,84-87,2,J. Poeltl makes 2-pt shot at rim
8:38.0,S. Muhammad misses 2-pt shot from 3 ft,,84-87,,
8:35.0,,,84-87,,Defensive rebound by P. Siakam
8:25.0,,,84-90,3,N. Powell makes 3-pt shot from 22 ft (assist by P. Siakam)
8:24.0,Minnesota full timeout,,84-90,,
8:24.0,K. Towns enters the game for G. Dieng,,84-90,,
8:24.0,J. Butler enters the game for S. Muhammad,,84-90,,
8:02.0,Shooting foul by J. Poeltl (drawn by J. Butler),,84-90,,
8:02.0,J. Butler misses free throw 1 of 2,,84-90,,
8:02.0,Offensive rebound by Team,,84-90,,
8:02.0,J. Butler misses free throw 2 of 2,,84-90,,
8:00.0,,,84-90,,Defensive rebound by N. Powell
7:46.0,,,84-90,,D. Wright misses 2-pt shot from 4 ft
7:42.0,,,84-90,,Offensive rebound by J. Poeltl
7:42.0,,,84-92,2,J. Poeltl makes 2-pt shot at rim
7:28.0,Shooting foul by J. Poeltl (drawn by T. Jones),,84-92,,
7:28.0,T. Jones makes free throw 1 of 2,1,85-92,,
7:28.0,T. Gibson enters the game for N. Bjelica,,85-92,,
7:28.0,T. Jones misses free throw 2 of 2,,85-92,,
7:26.0,,,85-92,,Defensive rebound by D. Wright
7:02.0,,,85-92,,F. VanVleet misses 3-pt shot from 23 ft
7:00.0,Defensive rebound by K. Towns,,85-92,,
6:49.0,,,85-92,,Personal foul by F. VanVleet (drawn by T. Jones)
6:49.0,J. Teague enters the game for T. Jones,,85-92,,
6:49.0,,,85-92,,K. Lowry enters the game for N. Powell
6:49.0,,,85-92,,D. DeRozan enters the game for D. Wright
6:37.0,J. Butler misses 2-pt shot from 12 ft,,85-92,,
6:35.0,Offensive rebound by K. Towns,,85-92,,
6:35.0,,,85-92,,Personal foul by J. Poeltl (drawn by K. Towns)
6:35.0,,,85-92,,S. Ibaka enters the game for P. Siakam
6:16.0,T. Gibson makes 2-pt shot from 6 ft (assist by J. Butler),2,87-92,,
6:02.0,,,87-92,,K. Lowry misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by J. Crawford,,87-92,,
5:53.0,Shooting foul by D. DeRozan (drawn by J. Butler),,87-92,,
5:53.0,J. Butler makes free throw 1 of 3,1,88-92,,
5:53.0,J. Butler misses free throw 2 of 3,,88-92,,
5:53.0,Offensive rebound by Team,,88-92,,
5:53.0,,,88-92,,J. Valanciunas enters the game for J. Poeltl
5:53.0,J. Butler makes free throw 3 of 3,1,89-92,,
5:29.0,,,89-94,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
5:05.0,J. Butler misses 2-pt shot from 18 ft,,89-94,,
5:03.0,,,89-94,,Defensive rebound by S. Ibaka
4:50.0,,,89-94,,Toronto full timeout
4:50.0,A. Wiggins enters the game for J. Crawford,,89-94,,
4:47.0,,,89-94,,Shooting foul by K. Towns (drawn by D. DeRozan)
4:47.0,,,89-95,1,D. DeRozan makes free throw 1 of 2
4:47.0,,,89-96,1,D. DeRozan makes free throw 2 of 2
4:24.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Butler),2,91-96,,
4:05.0,,,91-98,2,F. VanVleet makes 2-pt shot at rim (assist by J. Valanciunas)
4:05.0,,,91-98,,Shooting foul by J. Teague (drawn by F. VanVleet)
4:05.0,,,91-99,1,F. VanVleet makes free throw 1 of 1
3:40.0,J. Teague makes 3-pt shot from 25 ft (assist by K. Towns),3,94-99,,
3:17.0,,,94-99,,J. Valanciunas misses 2-pt shot from 1 ft
3:15.0,Defensive rebound by K. Towns,,94-99,,
3:06.0,A. Wiggins misses 2-pt shot from 8 ft,,94-99,,
3:03.0,,,94-99,,Defensive rebound by J. Valanciunas
2:51.0,,,94-101,2,S. Ibaka makes 2-pt shot from 5 ft (assist by D. DeRozan)
2:51.0,Minnesota full timeout,,94-101,,
2:39.0,J. Butler misses 3-pt shot from 25 ft,,94-101,,
2:35.0,,,94-101,,Defensive rebound by S. Ibaka
2:27.0,Personal block foul by T. Gibson (drawn by D. DeRozan),,94-101,,
2:27.0,,,94-102,1,D. DeRozan makes free throw 1 of 2
2:27.0,,,94-103,1,D. DeRozan makes free throw 2 of 2
2:19.0,T. Gibson makes 2-pt shot from 19 ft (assist by J. Teague),2,96-103,,
1:56.0,,,96-103,,D. DeRozan misses 3-pt shot from 23 ft
1:54.0,,,96-103,,Offensive rebound by J. Valanciunas
1:52.0,,,96-103,,J. Valanciunas misses 2-pt shot from 1 ft
1:52.0,Defensive rebound by J. Butler,,96-103,,
1:47.0,J. Butler misses 2-pt shot from 2 ft (block by S. Ibaka),,96-103,,
1:47.0,Offensive rebound by Team,,96-103,,
1:39.0,T. Gibson misses 2-pt shot from 2 ft,,96-103,,
1:37.0,Offensive rebound by K. Towns,,96-103,,
1:37.0,K. Towns makes 2-pt shot at rim,2,98-103,,
1:21.0,,,98-103,,D. DeRozan misses 2-pt shot from 3 ft
