time,Miami,pts.away,score,pts.home,Washington
6:27.0,G. Dragic misses 2-pt shot from 19 ft,,7-18,,
6:27.0,,,7-18,,Defensive rebound by Team
6:27.0,T. Johnson enters the game for L. Babbitt,,7-18,,
6:27.0,R. McGruder enters the game for G. Dragic,,7-18,,
6:18.0,Personal foul by R. McGruder (drawn by B. Beal),,7-18,,
6:11.0,,,7-20,2,B. Beal makes 2-pt shot from 11 ft
5:54.0,H. Whiteside misses 2-pt shot from 12 ft,,7-20,,
5:52.0,,,7-20,,Defensive rebound by B. Beal
5:44.0,,,7-22,2,B. Beal makes 2-pt shot from 12 ft
5:25.0,T. Johnson makes 2-pt shot from 11 ft (assist by J. Richardson),2,9-22,,
5:08.0,,,9-25,3,M. Morris makes 3-pt shot from 23 ft (assist by O. Porter)
4:58.0,Miami full timeout,,9-25,,
4:58.0,K. Olynyk enters the game for J. Johnson,,9-25,,
4:58.0,J. Winslow enters the game for H. Whiteside,,9-25,,
4:45.0,T. Johnson misses 2-pt shot from 14 ft,,9-25,,
4:41.0,,,9-25,,Defensive rebound by B. Beal
4:29.0,,,9-27,2,M. Morris makes 2-pt shot from 13 ft (assist by B. Beal)
4:09.0,J. Richardson makes 3-pt shot from 22 ft (assist by K. Olynyk),3,12-27,,
3:52.0,,,12-27,,Shooting foul by K. Olynyk (drawn by M. Gortat)
3:52.0,,,12-28,1,M. Gortat makes free throw 1 of 2
3:52.0,,,12-28,,R. Sessions enters the game for T. Satoransky
3:52.0,D. Wade enters the game for J. Richardson,,12-28,,
3:52.0,,,12-29,1,M. Gortat makes free throw 2 of 2
3:43.0,D. Wade misses 2-pt shot from 22 ft,,12-29,,
3:38.0,,,12-29,,Defensive rebound by M. Gortat
3:25.0,,,12-29,,M. Gortat misses 2-pt shot from 2 ft
3:23.0,Defensive rebound by J. Winslow,,12-29,,
3:20.0,J. Winslow makes 2-pt shot from 1 ft,2,14-29,,
3:09.0,,,14-29,,O. Porter misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by T. Johnson,,14-29,,
3:03.0,T. Johnson makes 2-pt shot at rim,2,16-29,,
3:02.0,,,16-29,,Washington full timeout
3:02.0,,,16-29,,I. Mahinmi enters the game for M. Morris
3:02.0,,,16-29,,K. Oubre enters the game for M. Gortat
2:50.0,,,16-29,,Turnover by B. Beal (bad pass)
2:39.0,D. Wade makes 2-pt shot at rim (assist by K. Olynyk),2,18-29,,
2:20.0,,,18-29,,Offensive foul by I. Mahinmi (drawn by K. Olynyk)
2:20.0,,,18-29,,Turnover by I. Mahinmi (offensive foul)
2:02.0,T. Johnson misses 3-pt shot from 25 ft,,18-29,,
1:56.0,,,18-29,,Defensive rebound by O. Porter
1:45.0,,,18-29,,B. Beal misses 2-pt shot from 3 ft
1:45.0,Defensive rebound by K. Olynyk,,18-29,,
1:37.0,D. Wade makes 2-pt shot from 13 ft,2,20-29,,
1:23.0,,,20-29,,Turnover by R. Sessions (bad pass; steal by T. Johnson)
1:19.0,D. Wade makes 2-pt shot from 1 ft (assist by R. McGruder),2,22-29,,
0:51.0,,,22-31,2,I. Mahinmi makes 2-pt shot at rim (assist by B. Beal)
0:36.0,K. Olynyk makes 3-pt shot from 26 ft (assist by D. Wade),3,25-31,,
0:29.0,,,25-31,,R. Sessions misses 2-pt shot at rim
0:27.0,Defensive rebound by T. Johnson,,25-31,,
0:27.0,,,25-31,,Personal foul by B. Beal (drawn by R. McGruder)
0:27.0,R. McGruder makes clear path free throw 1 of 2,1,26-31,,
0:27.0,R. McGruder misses clear path free throw 2 of 2,,26-31,,
0:27.0,Offensive rebound by Team,,26-31,,
0:06.0,D. Wade misses 3-pt shot from 26 ft,,26-31,,
0:01.0,,,26-31,,Defensive rebound by O. Porter
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Wade misses 2-pt shot from 1 ft,,26-31,,
11:37.0,,,26-31,,Defensive rebound by I. Mahinmi
11:24.0,,,26-31,,M. Scott misses 2-pt shot from 10 ft
11:20.0,Defensive rebound by K. Olynyk,,26-31,,
11:10.0,J. Winslow misses 3-pt shot from 25 ft,,26-31,,
11:06.0,,,26-31,,Defensive rebound by I. Mahinmi
11:04.0,Personal block foul by J. Winslow (drawn by R. Sessions),,26-31,,
10:56.0,,,26-31,,I. Mahinmi misses 2-pt shot from 1 ft
10:53.0,Defensive rebound by K. Olynyk,,26-31,,
10:48.0,K. Olynyk misses 3-pt shot from 25 ft,,26-31,,
10:45.0,Offensive rebound by J. Winslow,,26-31,,
10:40.0,T. Johnson makes 2-pt shot at rim,2,28-31,,
10:39.0,,,28-31,,Washington full timeout
10:39.0,,,28-31,,J. Smith enters the game for R. Sessions
10:39.0,,,28-31,,T. Satoransky enters the game for I. Mahinmi
10:21.0,,,28-31,,Shooting foul by K. Olynyk (drawn by K. Oubre)
10:21.0,,,28-32,1,K. Oubre makes free throw 1 of 2
10:21.0,,,28-33,1,K. Oubre makes free throw 2 of 2
10:09.0,Turnover by D. Wade (lost ball; steal by K. Oubre),,28-33,,
10:04.0,,,28-33,,Shooting foul by R. McGruder (drawn by K. Oubre)
10:04.0,,,28-34,1,K. Oubre makes free throw 1 of 2
10:04.0,,,28-35,1,K. Oubre makes free throw 2 of 2
9:53.0,T. Johnson makes 2-pt shot from 5 ft (assist by K. Olynyk),2,30-35,,
9:53.0,Shooting foul by J. Smith (drawn by T. Johnson),,30-35,,
9:53.0,T. Johnson misses free throw 1 of 1,,30-35,,
9:40.0,,,30-35,,Defensive rebound by J. Smith
9:32.0,,,30-37,2,J. Meeks makes 2-pt shot from 15 ft (assist by T. Satoransky)
9:19.0,Shooting foul by K. Oubre (drawn by J. Winslow),,30-37,,
9:19.0,J. Winslow makes free throw 1 of 2,1,31-37,,
9:19.0,G. Dragic enters the game for R. McGruder,,31-37,,
9:19.0,J. Winslow misses free throw 2 of 2,,31-37,,
9:16.0,,,31-37,,Defensive rebound by M. Scott
9:02.0,,,31-37,,K. Oubre misses 3-pt shot from 23 ft
8:58.0,Defensive rebound by K. Olynyk,,31-37,,
8:50.0,D. Wade makes 2-pt shot from 10 ft (assist by G. Dragic),2,33-37,,
8:34.0,,,33-37,,J. Smith misses 2-pt shot from 12 ft
8:30.0,Defensive rebound by K. Olynyk,,33-37,,
8:24.0,J. Winslow misses 3-pt shot from 25 ft,,33-37,,
8:21.0,,,33-37,,Defensive rebound by J. Smith
8:03.0,,,33-37,,Turnover by T. Satoransky (out of bounds lost ball)
7:53.0,G. Dragic makes 2-pt shot from 8 ft,2,35-37,,
7:23.0,,,35-39,2,M. Scott makes 2-pt shot from 1 ft (assist by K. Oubre)
7:13.0,T. Johnson makes 2-pt shot at rim (assist by K. Olynyk),2,37-39,,
7:08.0,,,37-39,,B. Beal enters the game for K. Oubre
7:08.0,,,37-39,,M. Morris enters the game for J. Smith
7:08.0,,,37-39,,O. Porter enters the game for J. Meeks
7:08.0,J. Richardson enters the game for D. Wade,,37-39,,
7:00.0,,,37-39,,Turnover by M. Morris (bad pass; steal by T. Johnson)
6:56.0,J. Winslow makes 2-pt shot at rim (assist by T. Johnson),2,39-39,,
6:39.0,,,39-41,2,M. Scott makes 2-pt shot at rim (assist by T. Satoransky)
6:20.0,T. Johnson misses 2-pt shot from 13 ft,,39-41,,
6:16.0,,,39-41,,Defensive rebound by M. Morris
6:11.0,,,39-43,2,B. Beal makes 2-pt shot from 1 ft (assist by T. Satoransky)
6:03.0,Miami full timeout,,39-43,,
6:03.0,H. Whiteside enters the game for K. Olynyk,,39-43,,
5:55.0,T. Johnson misses 2-pt shot from 19 ft,,39-43,,
5:49.0,,,39-43,,Defensive rebound by O. Porter
5:32.0,,,39-43,,Shooting foul by G. Dragic (drawn by M. Scott)
5:32.0,,,39-43,,M. Scott misses free throw 1 of 2
5:32.0,,,39-43,,Offensive rebound by Team
5:32.0,,,39-44,1,M. Scott makes free throw 2 of 2
5:14.0,H. Whiteside makes 2-pt shot from 12 ft (assist by G. Dragic),2,41-44,,
4:46.0,,,41-46,2,M. Morris makes 2-pt shot from 15 ft (assist by O. Porter)
4:46.0,,,41-46,,Shooting foul by H. Whiteside (drawn by M. Morris)
4:46.0,,,41-47,1,M. Morris makes free throw 1 of 1
4:35.0,Shooting foul by B. Beal (drawn by J. Richardson),,41-47,,
4:35.0,J. Richardson makes free throw 1 of 2,1,42-47,,
4:35.0,J. Richardson makes free throw 2 of 2,1,43-47,,
4:24.0,,,43-50,3,M. Scott makes 3-pt shot from 23 ft (assist by O. Porter)
4:05.0,H. Whiteside misses 2-pt shot from 2 ft,,43-50,,
4:02.0,,,43-50,,Defensive rebound by M. Scott
3:57.0,,,43-52,2,M. Morris makes 2-pt shot at rim (assist by B. Beal)
3:47.0,Shooting foul by M. Scott (drawn by T. Johnson),,43-52,,
3:47.0,T. Johnson misses free throw 1 of 2,,43-52,,
3:47.0,Offensive rebound by Team,,43-52,,
3:47.0,B. Adebayo enters the game for H. Whiteside,,43-52,,
3:47.0,T. Johnson makes free throw 2 of 2,1,44-52,,
3:27.0,,,44-52,,O. Porter misses 2-pt shot from 7 ft
3:23.0,Defensive rebound by T. Johnson,,44-52,,
3:20.0,Shooting foul by O. Porter (drawn by G. Dragic),,44-52,,
3:20.0,G. Dragic makes free throw 1 of 3,1,45-52,,
3:20.0,G. Dragic makes free throw 2 of 3,1,46-52,,
3:20.0,D. Wade enters the game for T. Johnson,,46-52,,
3:20.0,G. Dragic makes free throw 3 of 3,1,47-52,,
3:05.0,,,47-55,3,B. Beal makes 3-pt shot from 26 ft (assist by O. Porter)
2:49.0,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade),2,49-55,,
2:38.0,,,49-55,,Turnover by M. Scott (lost ball; steal by J. Winslow)
2:27.0,J. Winslow misses 2-pt shot from 10 ft,,49-55,,
2:23.0,,,49-55,,Defensive rebound by B. Beal
2:15.0,,,49-55,,Turnover by M. Morris (lost ball; steal by J. Richardson)
2:10.0,J. Richardson misses 2-pt shot from 1 ft,,49-55,,
2:07.0,,,49-55,,Defensive rebound by M. Morris
1:45.0,,,49-55,,T. Satoransky misses 2-pt shot from 21 ft
1:41.0,Defensive rebound by B. Adebayo,,49-55,,
1:35.0,G. Dragic misses 3-pt shot from 23 ft,,49-55,,
1:35.0,,,49-55,,Defensive rebound by Team
1:24.0,Personal foul by G. Dragic (drawn by T. Satoransky),,49-55,,
1:24.0,,,49-56,1,T. Satoransky makes free throw 1 of 2
1:24.0,T. Johnson enters the game for G. Dragic,,49-56,,
1:24.0,,,49-57,1,T. Satoransky makes free throw 2 of 2
1:08.0,,,49-57,,Personal foul by T. Satoransky (drawn by T. Johnson)
1:08.0,T. Johnson misses free throw 1 of 2,,49-57,,
1:08.0,Offensive rebound by Team,,49-57,,
1:08.0,T. Johnson makes free throw 2 of 2,1,50-57,,
0:57.0,,,50-57,,M. Scott misses 3-pt shot from 22 ft
0:54.0,Defensive rebound by B. Adebayo,,50-57,,
0:40.0,T. Johnson misses 3-pt shot from 25 ft,,50-57,,
0:36.0,Offensive rebound by Team,,50-57,,
0:24.0,B. Adebayo misses 2-pt shot from 5 ft,,50-57,,
0:20.0,,,50-57,,Defensive rebound by B. Beal
0:01.0,Personal foul by D. Wade (drawn by T. Satoransky),,50-57,,
0:01.0,,,50-58,1,T. Satoransky makes free throw 1 of 2
0:01.0,,,50-58,,R. Sessions enters the game for B. Beal
0:01.0,,,50-58,,K. Oubre enters the game for O. Porter
0:01.0,,,50-59,1,T. Satoransky makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Shooting foul by M. Morris (drawn by T. Johnson),,50-59,,
11:44.0,T. Johnson makes free throw 1 of 2,1,51-59,,
11:44.0,T. Johnson misses free throw 2 of 2,,51-59,,
11:40.0,,,51-59,,Defensive rebound by O. Porter
11:27.0,,,51-59,,Turnover by M. Gortat (bad pass; steal by J. Richardson)
11:11.0,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson),2,53-59,,
10:56.0,,,53-61,2,T. Satoransky makes 2-pt shot from 8 ft
10:46.0,G. Dragic misses 2-pt shot from 16 ft,,53-61,,
10:40.0,Offensive rebound by H. Whiteside,,53-61,,
10:36.0,Turnover by H. Whiteside (bad pass; steal by O. Porter),,53-61,,
10:32.0,,,53-61,,Turnover by O. Porter (bad pass; steal by T. Johnson)
10:27.0,J. Richardson makes 3-pt shot from 24 ft (assist by T. Johnson),3,56-61,,
10:08.0,,,56-61,,Turnover by B. Beal (bad pass; steal by G. Dragic)
9:55.0,T. Johnson makes 3-pt shot from 23 ft (assist by J. Johnson),3,59-61,,
9:54.0,,,59-61,,Washington full timeout
9:37.0,,,59-61,,Turnover by T. Satoransky (bad pass; steal by J. Johnson)
9:32.0,G. Dragic misses 2-pt shot from 1 ft,,59-61,,
9:29.0,,,59-61,,Defensive rebound by M. Gortat
9:15.0,,,59-63,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
8:47.0,J. Johnson misses 3-pt shot from 24 ft,,59-63,,
8:44.0,Offensive rebound by H. Whiteside,,59-63,,
8:42.0,H. Whiteside makes 2-pt shot at rim,2,61-63,,
8:34.0,,,61-65,2,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter)
8:16.0,G. Dragic makes 2-pt shot from 3 ft,2,63-65,,
8:01.0,,,63-68,3,B. Beal makes 3-pt shot from 25 ft (assist by T. Satoransky)
7:46.0,H. Whiteside misses 2-pt shot from 9 ft,,63-68,,
7:43.0,,,63-68,,Defensive rebound by M. Morris
7:33.0,,,63-68,,M. Morris misses 2-pt shot from 8 ft
7:29.0,Defensive rebound by H. Whiteside,,63-68,,
7:17.0,J. Richardson makes 3-pt shot from 24 ft (assist by H. Whiteside),3,66-68,,
6:59.0,,,66-70,2,O. Porter makes 2-pt shot from 17 ft (assist by M. Morris)
6:45.0,J. Richardson makes 2-pt shot from 1 ft (assist by G. Dragic),2,68-70,,
6:33.0,,,68-73,3,B. Beal makes 3-pt shot from 26 ft
6:23.0,Offensive charge foul by G. Dragic (drawn by M. Gortat),,68-73,,
6:23.0,Turnover by G. Dragic (offensive foul),,68-73,,
6:07.0,,,68-73,,M. Gortat misses 2-pt shot from 7 ft
6:04.0,Defensive rebound by J. Johnson,,68-73,,
5:56.0,G. Dragic misses 3-pt shot from 25 ft,,68-73,,
5:51.0,,,68-73,,Defensive rebound by M. Morris
5:45.0,,,68-73,,O. Porter misses 2-pt shot from 11 ft
5:41.0,Defensive rebound by G. Dragic,,68-73,,
5:29.0,G. Dragic misses 3-pt shot from 26 ft,,68-73,,
5:29.0,Offensive rebound by J. Johnson,,68-73,,
5:21.0,J. Johnson makes 2-pt shot at rim,2,70-73,,
5:06.0,,,70-75,2,M. Morris makes 2-pt shot from 9 ft (assist by T. Satoransky)
4:45.0,Turnover by J. Richardson (bad pass; steal by T. Satoransky),,70-75,,
4:41.0,,,70-75,,T. Satoransky misses 2-pt shot from 2 ft (block by T. Johnson)
4:40.0,,,70-75,,Offensive rebound by O. Porter
4:40.0,,,70-77,2,O. Porter makes 2-pt shot from 1 ft
4:40.0,Miami full timeout,,70-77,,
4:40.0,,,70-77,,R. Sessions enters the game for T. Satoransky
4:40.0,R. McGruder enters the game for T. Johnson,,70-77,,
4:40.0,J. Winslow enters the game for J. Johnson,,70-77,,
4:22.0,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow),2,72-77,,
3:57.0,,,72-77,,M. Morris misses 2-pt shot from 17 ft
3:57.0,,,72-77,,Offensive rebound by Team
3:57.0,,,72-77,,Turnover by Team (shot clock)
3:57.0,D. Wade enters the game for J. Richardson,,72-77,,
3:42.0,D. Wade misses 3-pt shot from 24 ft,,72-77,,
3:42.0,Offensive rebound by H. Whiteside,,72-77,,
3:36.0,H. Whiteside makes 2-pt shot at rim,2,74-77,,
3:11.0,,,74-77,,B. Beal misses 3-pt shot from 28 ft
3:11.0,Defensive rebound by G. Dragic,,74-77,,
2:58.0,Turnover by R. McGruder (turnover),,74-77,,
2:58.0,,,74-77,,M. Scott enters the game for M. Gortat
2:58.0,K. Olynyk enters the game for H. Whiteside,,74-77,,
2:58.0,,,74-77,,K. Oubre enters the game for O. Porter
2:43.0,,,74-77,,R. Sessions misses 3-pt shot from 22 ft
2:40.0,,,74-77,,Offensive rebound by M. Morris
2:28.0,,,74-80,3,K. Oubre makes 3-pt shot from 26 ft (assist by M. Morris)
2:16.0,Offensive charge foul by D. Wade (drawn by M. Morris),,74-80,,
2:16.0,Turnover by D. Wade (offensive foul),,74-80,,
2:16.0,,,74-80,,J. Meeks enters the game for B. Beal
1:57.0,,,74-82,2,K. Oubre makes 2-pt shot from 1 ft
1:36.0,D. Wade misses 2-pt shot from 18 ft,,74-82,,
1:34.0,,,74-82,,Defensive rebound by Team
1:34.0,T. Johnson enters the game for G. Dragic,,74-82,,
1:23.0,,,74-84,2,R. Sessions makes 2-pt shot at rim
1:01.0,D. Wade makes 2-pt shot from 2 ft,2,76-84,,
1:01.0,,,76-84,,Turnover by M. Morris (turnover)
0:46.0,K. Olynyk misses 3-pt shot from 25 ft,,76-84,,
0:42.0,,,76-84,,Defensive rebound by M. Morris
0:35.0,,,76-84,,Turnover by R. Sessions (bad pass; steal by K. Olynyk)
0:21.0,J. Winslow makes 2-pt shot from 7 ft (assist by D. Wade),2,78-84,,
0:21.0,,,78-84,,Shooting block foul by M. Morris (drawn by J. Winslow)
0:21.0,J. Winslow makes free throw 1 of 1,1,79-84,,
0:03.0,,,79-84,,Shooting foul by K. Olynyk (drawn by R. Sessions)
0:03.0,,,79-84,,Technical foul by M. Morris
0:03.0,D. Wade makes technical free throw,1,80-84,,
0:03.0,,,80-85,1,R. Sessions makes free throw 1 of 2
0:03.0,,,80-85,,T. Satoransky enters the game for M. Morris
0:03.0,,,80-86,1,R. Sessions makes free throw 2 of 2
0:01.0,D. Wade misses 3-pt shot from 31 ft,,80-86,,
0:01.0,Offensive rebound by Team,,80-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-86,,Shooting foul by K. Olynyk (drawn by R. Sessions)
11:46.0,,,80-87,1,R. Sessions makes free throw 1 of 2
11:46.0,,,80-88,1,R. Sessions makes free throw 2 of 2
11:31.0,D. Wade makes 2-pt shot from 7 ft,2,82-88,,
11:15.0,Personal foul by R. McGruder (drawn by R. Sessions),,82-88,,
11:09.0,,,82-88,,Turnover by K. Oubre (traveling)
11:01.0,,,82-88,,Personal foul by J. Meeks (drawn by K. Olynyk)
10:47.0,J. Winslow makes 3-pt shot from 27 ft (assist by T. Johnson),3,85-88,,
10:21.0,,,85-88,,R. Sessions misses 2-pt shot from 18 ft
10:21.0,Defensive rebound by K. Olynyk,,85-88,,
10:12.0,J. Winslow makes 2-pt shot from 1 ft (assist by D. Wade),2,87-88,,
10:12.0,,,87-88,,Washington full timeout
9:51.0,,,87-88,,Turnover by K. Oubre (out of bounds lost ball)
9:38.0,D. Wade makes 2-pt shot from 18 ft,2,89-88,,
9:38.0,Shooting foul by K. Oubre (drawn by D. Wade),,89-88,,
9:38.0,D. Wade makes free throw 1 of 1,1,90-88,,
9:21.0,,,90-88,,R. Sessions misses 2-pt shot from 4 ft
9:19.0,Defensive rebound by D. Wade,,90-88,,
9:14.0,Turnover by K. Olynyk (bad pass; steal by R. Sessions),,90-88,,
9:10.0,,,90-88,,B. Beal enters the game for J. Meeks
8:59.0,,,90-91,3,K. Oubre makes 3-pt shot from 25 ft (assist by R. Sessions)
8:39.0,Turnover by K. Olynyk (lost ball; steal by M. Scott),,90-91,,
8:30.0,,,90-94,3,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal)
8:29.0,Miami full timeout,,90-94,,
8:29.0,,,90-94,,T. Satoransky enters the game for R. Sessions
8:29.0,,,90-94,,M. Morris enters the game for O. Porter
8:12.0,J. Winslow misses 3-pt shot from 26 ft,,90-94,,
8:09.0,,,90-94,,Defensive rebound by M. Morris
7:51.0,,,90-96,2,T. Satoransky makes 2-pt shot from 3 ft (assist by M. Morris)
7:32.0,R. McGruder misses 2-pt shot from 5 ft (block by K. Oubre),,90-96,,
7:30.0,Offensive rebound by R. McGruder,,90-96,,
7:29.0,R. McGruder makes 2-pt shot at rim,2,92-96,,
7:17.0,,,92-96,,M. Morris misses 2-pt shot from 19 ft
7:14.0,Defensive rebound by J. Winslow,,92-96,,
6:59.0,D. Wade misses 3-pt shot from 27 ft,,92-96,,
6:54.0,,,92-96,,Defensive rebound by T. Satoransky
6:45.0,Personal foul by R. McGruder (drawn by T. Satoransky),,92-96,,
6:45.0,J. Richardson enters the game for D. Wade,,92-96,,
6:45.0,G. Dragic enters the game for R. McGruder,,92-96,,
6:29.0,,,92-96,,M. Scott misses 2-pt shot from 6 ft
6:26.0,,,92-96,,Offensive rebound by T. Satoransky
6:26.0,,,92-98,2,T. Satoransky makes 2-pt shot at rim
6:09.0,K. Olynyk misses 3-pt shot from 26 ft,,92-98,,
6:05.0,Offensive rebound by G. Dragic,,92-98,,
6:04.0,T. Johnson makes 3-pt shot from 27 ft (assist by G. Dragic),3,95-98,,
5:43.0,,,95-98,,K. Oubre misses 3-pt shot from 22 ft
5:40.0,Defensive rebound by K. Olynyk,,95-98,,
5:30.0,T. Johnson misses 3-pt shot from 28 ft,,95-98,,
5:26.0,,,95-98,,Defensive rebound by M. Morris
5:14.0,,,95-100,2,B. Beal makes 2-pt shot from 2 ft
4:57.0,G. Dragic makes 3-pt shot from 25 ft (assist by K. Olynyk),3,98-100,,
4:35.0,,,98-100,,T. Satoransky misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by J. Winslow,,98-100,,
4:24.0,,,98-100,,Personal foul by M. Morris (drawn by G. Dragic)
4:14.0,J. Winslow misses 2-pt shot from 20 ft,,98-100,,
4:11.0,,,98-100,,Defensive rebound by M. Morris
3:56.0,,,98-100,,K. Oubre misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by Team,,98-100,,
3:36.0,G. Dragic misses 2-pt shot from 3 ft,,98-100,,
3:36.0,,,98-100,,Defensive rebound by Team
3:36.0,Loose ball foul by K. Olynyk (drawn by T. Satoransky),,98-100,,
3:36.0,,,98-100,,Washington full timeout
3:36.0,D. Wade enters the game for K. Olynyk,,98-100,,
3:17.0,,,98-100,,Turnover by B. Beal (bad pass; steal by J. Richardson)
3:13.0,T. Johnson makes 2-pt shot from 1 ft (assist by J. Richardson),2,100-100,,
2:51.0,,,100-102,2,B. Beal makes 2-pt shot from 14 ft
2:33.0,Turnover by J. Winslow (lost ball; steal by M. Morris),,100-102,,
2:28.0,,,100-102,,Turnover by B. Beal (lost ball; steal by D. Wade)
2:22.0,,,100-102,,Personal foul by M. Morris (drawn by G. Dragic)
2:07.0,D. Wade misses 2-pt shot from 20 ft,,100-102,,
2:05.0,,,100-102,,Defensive rebound by B. Beal
1:54.0,,,100-105,3,B. Beal makes 3-pt shot from 26 ft
1:46.0,J. Richardson misses 3-pt shot from 26 ft,,100-105,,
1:42.0,Offensive rebound by G. Dragic,,100-105,,
1:30.0,G. Dragic misses 3-pt shot from 25 ft,,100-105,,
1:28.0,Offensive rebound by J. Richardson,,100-105,,
1:26.0,T. Johnson misses 3-pt shot from 27 ft,,100-105,,
1:23.0,Offensive rebound by G. Dragic,,100-105,,
1:23.0,Offensive foul by J. Richardson (drawn by M. Scott),,100-105,,
1:23.0,Turnover by J. Richardson (offensive foul),,100-105,,
1:23.0,K. Olynyk enters the game for T. Johnson,,100-105,,
0:59.0,,,100-105,,T. Satoransky misses 2-pt shot from 8 ft
0:58.0,Defensive rebound by G. Dragic,,100-105,,
0:52.0,J. Richardson makes 2-pt shot from 2 ft (assist by D. Wade),2,102-105,,
0:52.0,,,102-105,,Washington full timeout
0:32.0,,,102-105,,T. Satoransky misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by J. Winslow,,102-105,,
0:22.0,D. Wade makes 2-pt shot from 1 ft,2,104-105,,
0:22.0,Shooting foul by B. Beal (drawn by D. Wade),,104-105,,
0:22.0,D. Wade makes free throw 1 of 1,1,105-105,,
0:22.0,,,105-105,,Washington full timeout
0:22.0,T. Johnson enters the game for K. Olynyk,,105-105,,
0:01.0,,,105-105,,B. Beal misses 2-pt shot from 19 ft
0:01.0,,,105-105,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
