time,Toronto,pts.away,score,pts.home,LA Clippers
11:06.0,N. Powell makes 2-pt shot from 1 ft (assist by C. Miles),2,32-19,,
10:55.0,,,32-19,,Shooting foul by J. Poeltl (drawn by M. Harrell)
10:55.0,,,32-20,1,M. Harrell makes free throw 1 of 2
10:55.0,,,32-21,1,M. Harrell makes free throw 2 of 2
10:39.0,Offensive charge foul by O. Anunoby (drawn by M. Harrell),,32-21,,
10:39.0,Turnover by O. Anunoby (offensive foul),,32-21,,
10:26.0,,,32-21,,L. Williams misses 2-pt shot from 1 ft
10:24.0,,,32-21,,Offensive rebound by M. Harrell
10:21.0,,,32-23,2,M. Harrell makes 2-pt shot from 1 ft
10:07.0,F. VanVleet misses 3-pt shot from 23 ft,,32-23,,
10:05.0,,,32-23,,Defensive rebound by M. Harrell
9:59.0,,,32-25,2,M. Harrell makes 2-pt shot from 6 ft (assist by S. Thornwell)
9:59.0,,,32-25,,Shooting foul by J. Poeltl (drawn by M. Harrell)
9:59.0,,,32-26,1,M. Harrell makes free throw 1 of 1
9:44.0,C. Miles misses 2-pt shot from 22 ft (block by S. Thornwell),,32-26,,
9:39.0,,,32-26,,Defensive rebound by S. Dekker
9:34.0,,,32-26,,Shooting foul by J. Poeltl (drawn by M. Harrell)
9:34.0,,,32-27,1,M. Harrell makes free throw 1 of 2
9:34.0,S. Ibaka enters the game for J. Poeltl,,32-27,,
9:34.0,,,32-28,1,M. Harrell makes free throw 2 of 2
9:14.0,C. Miles makes 3-pt shot from 25 ft,3,35-28,,
8:48.0,,,35-28,,L. Williams misses 2-pt shot from 3 ft
8:44.0,,,35-28,,Offensive rebound by S. Dekker
8:44.0,,,35-30,2,S. Dekker makes 2-pt shot at rim
8:44.0,,,35-30,,Personal take foul by L. Williams (drawn by F. VanVleet)
8:44.0,Toronto full timeout,,35-30,,
8:29.0,F. VanVleet misses 3-pt shot from 27 ft,,35-30,,
8:25.0,,,35-30,,Defensive rebound by S. Thornwell
8:14.0,,,35-32,2,M. Harrell makes 2-pt shot from 2 ft
8:00.0,S. Ibaka misses 2-pt shot from 2 ft,,35-32,,
7:57.0,,,35-32,,Defensive rebound by S. Thornwell
7:53.0,,,35-32,,S. Dekker misses 2-pt shot from 1 ft (block by S. Ibaka)
7:49.0,Defensive rebound by N. Powell,,35-32,,
7:46.0,S. Ibaka makes 2-pt shot from 2 ft (assist by N. Powell),2,37-32,,
7:19.0,,,37-32,,Turnover by J. Evans (out of bounds lost ball)
7:19.0,,,37-32,,M. Teodosic enters the game for J. Evans
7:19.0,,,37-32,,W. Johnson enters the game for S. Dekker
7:04.0,N. Powell misses 3-pt shot from 23 ft,,37-32,,
7:01.0,,,37-32,,Defensive rebound by M. Teodosic
6:43.0,,,37-34,2,M. Harrell makes 2-pt shot from 1 ft
6:31.0,S. Ibaka misses 3-pt shot from 25 ft,,37-34,,
6:29.0,,,37-34,,Defensive rebound by W. Johnson
6:24.0,,,37-34,,Turnover by W. Johnson (bad pass; steal by C. Miles)
6:20.0,C. Miles makes 2-pt shot at rim,2,39-34,,
5:59.0,,,39-34,,M. Teodosic misses 3-pt shot from 26 ft
5:57.0,Defensive rebound by F. VanVleet,,39-34,,
5:54.0,N. Powell misses 3-pt shot from 26 ft,,39-34,,
5:49.0,,,39-34,,Defensive rebound by W. Johnson
5:43.0,,,39-34,,W. Johnson misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by S. Ibaka,,39-34,,
5:35.0,F. VanVleet makes 2-pt shot from 1 ft,2,41-34,,
5:34.0,,,41-34,,LA Clippers full timeout
5:34.0,,,41-34,,A. Rivers enters the game for S. Thornwell
5:34.0,,,41-34,,D. Jordan enters the game for M. Harrell
5:34.0,D. DeRozan enters the game for C. Miles,,41-34,,
5:34.0,J. Valanciunas enters the game for O. Anunoby,,41-34,,
5:34.0,K. Lowry enters the game for F. VanVleet,,41-34,,
5:20.0,,,41-36,2,M. Teodosic makes 2-pt shot from 17 ft (assist by D. Jordan)
5:06.0,K. Lowry misses 3-pt shot from 23 ft,,41-36,,
5:02.0,,,41-36,,Defensive rebound by M. Teodosic
4:58.0,,,41-38,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams)
4:47.0,Shooting foul by W. Johnson (drawn by S. Ibaka),,41-38,,
4:47.0,S. Ibaka misses free throw 1 of 2,,41-38,,
4:47.0,Offensive rebound by Team,,41-38,,
4:47.0,,,41-38,,C. Williams enters the game for L. Williams
4:47.0,S. Ibaka makes free throw 2 of 2,1,42-38,,
4:31.0,,,42-40,2,A. Rivers makes 2-pt shot from 1 ft
4:22.0,,,42-40,,Personal take foul by M. Teodosic (drawn by N. Powell)
4:11.0,N. Powell misses 3-pt shot from 24 ft,,42-40,,
4:06.0,,,42-40,,Defensive rebound by D. Jordan
3:59.0,,,42-42,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
3:40.0,O. Anunoby enters the game for N. Powell,,42-42,,
3:37.0,Shooting foul by M. Teodosic (drawn by D. DeRozan),,42-42,,
3:37.0,D. DeRozan misses free throw 1 of 2,,42-42,,
3:37.0,Offensive rebound by Team,,42-42,,
3:37.0,D. DeRozan makes free throw 2 of 2,1,43-42,,
3:26.0,,,43-42,,M. Teodosic misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by Team,,43-42,,
3:14.0,K. Lowry misses 3-pt shot from 23 ft,,43-42,,
3:12.0,,,43-42,,Defensive rebound by M. Teodosic
2:58.0,,,43-42,,A. Rivers misses 3-pt shot from 23 ft
2:55.0,Defensive rebound by D. DeRozan,,43-42,,
2:43.0,J. Valanciunas makes 3-pt shot from 26 ft (assist by D. DeRozan),3,46-42,,
2:24.0,,,46-42,,Shooting foul by J. Valanciunas (drawn by W. Johnson)
2:24.0,,,46-43,1,W. Johnson makes free throw 1 of 2
2:24.0,,,46-44,1,W. Johnson makes free throw 2 of 2
2:12.0,J. Valanciunas makes 2-pt shot from 5 ft (assist by D. DeRozan),2,48-44,,
2:02.0,,,48-44,,Shooting foul by O. Anunoby (drawn by A. Rivers)
2:02.0,,,48-44,,A. Rivers misses free throw 1 of 2
2:02.0,,,48-44,,Offensive rebound by Team
2:02.0,L. Brown enters the game for O. Anunoby,,48-44,,
2:02.0,,,48-44,,A. Rivers misses free throw 2 of 2
2:02.0,,,48-44,,L. Williams enters the game for M. Teodosic
1:59.0,Defensive rebound by S. Ibaka,,48-44,,
1:49.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,50-44,,
1:32.0,,,50-44,,Turnover by D. Jordan (lost ball; steal by L. Brown)
1:25.0,K. Lowry misses 3-pt shot from 25 ft,,50-44,,
1:23.0,,,50-44,,Defensive rebound by W. Johnson
1:17.0,,,50-46,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
0:57.0,Turnover by S. Ibaka (bad pass; steal by L. Williams),,50-46,,
0:51.0,,,50-46,,C. Williams misses 2-pt shot from 1 ft (block by S. Ibaka)
0:47.0,,,50-46,,Offensive rebound by C. Williams
0:47.0,,,50-49,3,L. Williams makes 3-pt shot from 26 ft (assist by C. Williams)
0:27.0,S. Ibaka makes 3-pt shot from 23 ft (assist by K. Lowry),3,53-49,,
0:11.0,Personal foul by J. Valanciunas (drawn by D. Jordan),,53-49,,
0:11.0,,,53-50,1,D. Jordan makes free throw 1 of 2
0:11.0,,,53-50,,M. Harrell enters the game for W. Johnson
0:11.0,,,53-50,,S. Thornwell enters the game for L. Williams
0:11.0,,,53-51,1,D. Jordan makes free throw 2 of 2
0:00.0,D. DeRozan misses 2-pt shot from 16 ft,,53-51,,
0:00.0,Offensive rebound by Team,,53-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,53-51,,J. Wilson misses 3-pt shot from 25 ft
11:45.0,,,53-51,,Offensive rebound by M. Teodosic
11:43.0,,,53-51,,W. Johnson misses 3-pt shot from 27 ft
11:40.0,Defensive rebound by Team,,53-51,,
11:16.0,O. Anunoby misses 3-pt shot from 25 ft,,53-51,,
11:12.0,,,53-51,,Defensive rebound by D. Jordan
10:54.0,,,53-51,,M. Teodosic misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by K. Lowry,,53-51,,
10:36.0,J. Valanciunas misses 2-pt shot from 5 ft,,53-51,,
10:33.0,,,53-51,,Defensive rebound by W. Johnson
10:20.0,,,53-51,,Shooting foul by D. DeRozan (drawn by M. Teodosic)
10:20.0,,,53-52,1,M. Teodosic makes free throw 1 of 2
10:20.0,,,53-53,1,M. Teodosic makes free throw 2 of 2
10:07.0,J. Valanciunas misses 2-pt shot from 7 ft,,53-53,,
10:05.0,,,53-53,,Defensive rebound by D. Jordan
9:50.0,,,53-53,,J. Wilson misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by K. Lowry,,53-53,,
9:45.0,Shooting foul by J. Wilson (drawn by K. Lowry),,53-53,,
9:45.0,K. Lowry makes free throw 1 of 2,1,54-53,,
9:45.0,K. Lowry makes free throw 2 of 2,1,55-53,,
9:29.0,,,55-53,,Turnover by M. Teodosic (bad pass)
9:08.0,S. Ibaka makes 2-pt shot from 16 ft (assist by D. DeRozan),2,57-53,,
8:54.0,,,57-53,,W. Johnson misses 3-pt shot from 26 ft
8:51.0,,,57-53,,Offensive rebound by D. Jordan
8:51.0,,,57-53,,Shooting foul by K. Lowry (drawn by W. Johnson)
8:51.0,,,57-54,1,W. Johnson makes free throw 1 of 2
8:51.0,,,57-54,,S. Dekker enters the game for J. Wilson
8:51.0,,,57-54,,W. Johnson misses free throw 2 of 2
8:48.0,Defensive rebound by J. Valanciunas,,57-54,,
8:34.0,D. DeRozan misses 2-pt shot from 2 ft,,57-54,,
8:32.0,,,57-54,,Defensive rebound by M. Teodosic
8:27.0,,,57-54,,M. Teodosic misses 3-pt shot from 26 ft
8:27.0,,,57-54,,Offensive rebound by W. Johnson
8:22.0,,,57-54,,S. Dekker misses 2-pt shot from 1 ft
8:22.0,Defensive rebound by J. Valanciunas,,57-54,,
8:17.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry),3,60-54,,
8:09.0,,,60-56,2,A. Rivers makes 2-pt shot from 1 ft
7:58.0,K. Lowry misses 3-pt shot from 25 ft,,60-56,,
7:58.0,,,60-56,,Defensive rebound by M. Teodosic
7:34.0,,,60-56,,W. Johnson misses 3-pt shot from 23 ft
7:31.0,,,60-56,,Offensive rebound by D. Jordan
7:21.0,,,60-56,,M. Teodosic misses 2-pt shot from 17 ft
7:17.0,Defensive rebound by J. Valanciunas,,60-56,,
7:16.0,,,60-56,,Personal block foul by M. Teodosic (drawn by K. Lowry)
7:16.0,,,60-56,,L. Williams enters the game for M. Teodosic
6:58.0,Shooting foul by S. Dekker (drawn by J. Valanciunas),,60-56,,
6:58.0,,,60-56,,LA Clippers full timeout
6:58.0,J. Valanciunas makes free throw 1 of 2,1,61-56,,
6:58.0,J. Valanciunas makes free throw 2 of 2,1,62-56,,
6:36.0,,,62-56,,Turnover by L. Williams (bad pass; steal by D. DeRozan)
6:27.0,O. Anunoby misses 2-pt shot from 1 ft (block by D. Jordan),,62-56,,
6:27.0,Offensive rebound by Team,,62-56,,
6:27.0,,,62-56,,S. Thornwell enters the game for W. Johnson
6:22.0,K. Lowry misses 3-pt shot from 26 ft,,62-56,,
6:18.0,,,62-56,,Defensive rebound by S. Thornwell
6:09.0,,,62-59,3,L. Williams makes 3-pt shot from 25 ft (assist by D. Jordan)
5:56.0,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Lowry),2,64-59,,
5:32.0,,,64-62,3,A. Rivers makes 3-pt shot from 26 ft
5:15.0,D. DeRozan misses 2-pt shot from 13 ft,,64-62,,
5:13.0,,,64-62,,Defensive rebound by D. Jordan
5:07.0,,,64-62,,A. Rivers misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by J. Valanciunas,,64-62,,
5:00.0,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Lowry),2,66-62,,
4:48.0,,,66-62,,L. Williams misses 2-pt shot from 2 ft
4:48.0,Defensive rebound by J. Valanciunas,,66-62,,
4:48.0,,,66-62,,Personal take foul by D. Jordan (drawn by K. Lowry)
4:48.0,J. Poeltl enters the game for J. Valanciunas,,66-62,,
4:35.0,D. DeRozan makes 2-pt shot from 3 ft,2,68-62,,
4:35.0,Shooting foul by S. Dekker (drawn by D. DeRozan),,68-62,,
4:35.0,C. Miles enters the game for O. Anunoby,,68-62,,
4:35.0,D. DeRozan misses free throw 1 of 1,,68-62,,
4:32.0,,,68-62,,Defensive rebound by S. Dekker
4:17.0,,,68-62,,S. Thornwell misses 2-pt shot from 6 ft (block by J. Poeltl)
4:13.0,,,68-62,,Offensive rebound by S. Thornwell
4:11.0,,,68-62,,S. Thornwell misses 2-pt shot from 8 ft (block by S. Ibaka)
4:08.0,Defensive rebound by D. DeRozan,,68-62,,
4:04.0,S. Ibaka misses 3-pt shot from 27 ft,,68-62,,
4:00.0,,,68-62,,Defensive rebound by D. Jordan
3:49.0,,,68-62,,A. Rivers misses 3-pt shot from 25 ft
3:48.0,,,68-62,,Offensive rebound by Team
3:28.0,,,68-62,,S. Dekker misses 3-pt shot from 27 ft
3:25.0,,,68-62,,Offensive rebound by D. Jordan
3:20.0,,,68-64,2,L. Williams makes 2-pt shot from 2 ft (assist by A. Rivers)
3:19.0,Toronto full timeout,,68-64,,
3:19.0,P. Siakam enters the game for S. Ibaka,,68-64,,
3:05.0,Shooting foul by S. Thornwell (drawn by D. DeRozan),,68-64,,
3:05.0,D. DeRozan misses free throw 1 of 2,,68-64,,
3:05.0,Offensive rebound by Team,,68-64,,
3:05.0,D. DeRozan makes free throw 2 of 2,1,69-64,,
2:44.0,,,69-66,2,S. Dekker makes 2-pt shot from 1 ft (assist by A. Rivers)
2:29.0,C. Miles misses 2-pt shot from 3 ft,,69-66,,
2:27.0,,,69-66,,Defensive rebound by D. Jordan
2:14.0,,,69-66,,A. Rivers misses 2-pt shot from 2 ft
2:09.0,,,69-66,,Offensive rebound by D. Jordan
2:09.0,,,69-68,2,D. Jordan makes 2-pt shot at rim
2:01.0,Turnover by K. Lowry (bad pass; steal by D. Jordan),,69-68,,
2:01.0,Personal take foul by D. DeRozan (drawn by A. Rivers),,69-68,,
2:01.0,F. VanVleet enters the game for D. DeRozan,,69-68,,
1:43.0,,,69-68,,D. Jordan misses 2-pt shot from 2 ft
1:39.0,Defensive rebound by J. Poeltl,,69-68,,
1:33.0,K. Lowry misses 3-pt shot from 27 ft,,69-68,,
1:30.0,,,69-68,,Defensive rebound by D. Jordan
1:19.0,,,69-68,,Turnover by A. Rivers (lost ball; steal by F. VanVleet)
1:18.0,K. Lowry makes 2-pt shot from 2 ft,2,71-68,,
1:18.0,Shooting foul by L. Williams (drawn by K. Lowry),,71-68,,
1:18.0,,,71-68,,J. Evans enters the game for A. Rivers
1:18.0,K. Lowry makes free throw 1 of 1,1,72-68,,
1:03.0,Personal foul by C. Miles (drawn by S. Dekker),,72-68,,
1:03.0,,,72-68,,M. Harrell enters the game for D. Jordan
0:48.0,,,72-68,,L. Williams misses 3-pt shot from 30 ft
0:46.0,Defensive rebound by Team,,72-68,,
0:34.0,J. Poeltl misses 2-pt shot from 2 ft,,72-68,,
0:31.0,,,72-68,,Defensive rebound by M. Harrell
0:29.0,,,72-70,2,L. Williams makes 2-pt shot from 2 ft
0:05.0,K. Lowry makes 2-pt shot from 22 ft,2,74-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Turnover by N. Powell (out of bounds lost ball),,74-70,,
11:26.0,,,74-70,,L. Williams misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by P. Siakam,,74-70,,
11:13.0,C. Miles misses 3-pt shot from 26 ft,,74-70,,
11:08.0,Offensive rebound by J. Poeltl,,74-70,,
10:59.0,F. VanVleet misses 3-pt shot from 26 ft,,74-70,,
10:55.0,,,74-70,,Defensive rebound by S. Thornwell
10:49.0,,,74-70,,M. Harrell misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by J. Poeltl,,74-70,,
10:42.0,N. Powell misses 2-pt shot from 1 ft,,74-70,,
10:38.0,,,74-70,,Defensive rebound by J. Evans
10:37.0,Personal foul by J. Poeltl (drawn by M. Harrell),,74-70,,
10:37.0,,,74-70,,C. Williams enters the game for S. Dekker
10:25.0,,,74-70,,J. Evans misses 3-pt shot from 25 ft
10:22.0,,,74-70,,Offensive rebound by M. Harrell
10:19.0,,,74-72,2,J. Evans makes 2-pt shot from 1 ft (assist by S. Thornwell)
9:55.0,Turnover by C. Miles (lost ball; steal by C. Williams),,74-72,,
9:51.0,,,74-72,,Turnover by S. Thornwell (bad pass; steal by N. Powell)
9:44.0,Offensive foul by J. Poeltl (drawn by J. Evans),,74-72,,
9:44.0,Turnover by J. Poeltl (offensive foul),,74-72,,
9:44.0,J. Valanciunas enters the game for J. Poeltl,,74-72,,
9:30.0,,,74-72,,L. Williams misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by J. Valanciunas,,74-72,,
9:20.0,N. Powell misses 2-pt shot from 2 ft (block by M. Harrell),,74-72,,
9:15.0,,,74-72,,Defensive rebound by S. Thornwell
9:12.0,,,74-72,,Turnover by J. Evans (out of bounds lost ball)
8:59.0,F. VanVleet misses 2-pt shot from 14 ft (block by J. Evans),,74-72,,
8:58.0,,,74-72,,Defensive rebound by L. Williams
8:57.0,,,74-72,,S. Thornwell misses 2-pt shot from 1 ft (block by F. VanVleet)
8:57.0,,,74-72,,Offensive rebound by Team
8:51.0,,,74-74,2,M. Harrell makes 2-pt shot at rim (assist by S. Thornwell)
8:44.0,Toronto full timeout,,74-74,,
8:44.0,K. Lowry enters the game for C. Miles,,74-74,,
8:44.0,D. DeRozan enters the game for N. Powell,,74-74,,
8:37.0,D. DeRozan misses 2-pt shot from 3 ft (block by M. Harrell),,74-74,,
8:37.0,Offensive rebound by Team,,74-74,,
8:37.0,,,74-74,,LA Clippers full timeout
8:31.0,D. DeRozan makes 2-pt shot from 18 ft,2,76-74,,
8:31.0,Shooting foul by S. Thornwell (drawn by D. DeRozan),,76-74,,
8:31.0,D. DeRozan makes free throw 1 of 1,1,77-74,,
8:05.0,,,77-74,,J. Evans misses 2-pt shot from 3 ft
8:03.0,Defensive rebound by J. Valanciunas,,77-74,,
7:46.0,D. DeRozan misses 2-pt shot from 21 ft,,77-74,,
7:43.0,Offensive rebound by J. Valanciunas,,77-74,,
7:41.0,J. Valanciunas makes 2-pt shot from 1 ft,2,79-74,,
7:35.0,,,79-74,,M. Harrell misses 2-pt shot from 9 ft
7:32.0,Defensive rebound by J. Valanciunas,,79-74,,
7:30.0,Turnover by K. Lowry (step out of bounds),,79-74,,
7:30.0,,,79-74,,A. Rivers enters the game for S. Thornwell
7:30.0,,,79-74,,D. Jordan enters the game for M. Harrell
7:30.0,S. Ibaka enters the game for P. Siakam,,79-74,,
7:09.0,,,79-74,,Turnover by L. Williams (bad pass; steal by D. DeRozan)
6:53.0,Turnover by D. DeRozan (bad pass; steal by C. Williams),,79-74,,
6:34.0,,,79-74,,L. Williams misses 3-pt shot from 27 ft
6:31.0,Defensive rebound by S. Ibaka,,79-74,,
6:29.0,,,79-74,,Personal foul by C. Williams (drawn by K. Lowry)
6:29.0,,,79-74,,S. Dekker enters the game for J. Evans
6:29.0,,,79-74,,M. Teodosic enters the game for C. Williams
6:13.0,J. Valanciunas makes 2-pt shot from 8 ft,2,81-74,,
