time,LA Lakers,pts.away,score,pts.home,Toronto
8:59.0,,,5-3,,Shooting foul by J. Randle (drawn by S. Ibaka)
8:59.0,,,5-4,1,S. Ibaka makes free throw 1 of 2
8:59.0,,,5-5,1,S. Ibaka makes free throw 2 of 2
8:51.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,5-5,,
8:49.0,,,5-5,,Defensive rebound by S. Ibaka
8:43.0,,,5-7,2,K. Lowry makes 2-pt shot from 1 ft
8:43.0,,,5-7,,Shooting foul by T. Ennis (drawn by K. Lowry)
8:43.0,,,5-8,1,K. Lowry makes free throw 1 of 1
8:28.0,B. Lopez misses 3-pt shot from 25 ft,,5-8,,
8:25.0,,,5-8,,Defensive rebound by K. Lowry
8:18.0,,,5-8,,O. Anunoby misses 3-pt shot from 23 ft
8:15.0,Defensive rebound by B. Ingram,,5-8,,
8:09.0,B. Ingram misses 2-pt shot from 12 ft,,5-8,,
8:06.0,,,5-8,,Defensive rebound by S. Ibaka
7:59.0,,,5-11,3,D. DeRozan makes 3-pt shot from 22 ft
7:35.0,J. Randle misses 2-pt shot from 19 ft (block by S. Ibaka),,5-11,,
7:32.0,Offensive rebound by J. Randle,,5-11,,
7:30.0,J. Randle makes 2-pt shot from 3 ft,2,7-11,,
7:19.0,,,7-13,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
7:19.0,LA Lakers full timeout,,7-13,,
7:03.0,B. Ingram misses 2-pt shot from 2 ft (block by O. Anunoby),,7-13,,
7:01.0,Offensive rebound by B. Ingram,,7-13,,
6:56.0,B. Ingram misses 2-pt shot from 5 ft,,7-13,,
6:54.0,,,7-13,,Defensive rebound by S. Ibaka
6:47.0,,,7-16,3,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry)
6:32.0,T. Ennis makes 3-pt shot from 25 ft (assist by J. Randle),3,10-16,,
6:09.0,,,10-18,2,O. Anunoby makes 2-pt shot from 1 ft (assist by D. DeRozan)
5:59.0,B. Lopez misses 2-pt shot from 19 ft,,10-18,,
5:56.0,,,10-18,,Defensive rebound by S. Ibaka
5:53.0,,,10-18,,K. Lowry misses 3-pt shot from 27 ft
5:51.0,Defensive rebound by T. Ennis,,10-18,,
5:50.0,,,10-18,,Personal foul by D. DeRozan (drawn by T. Ennis)
5:41.0,Turnover by T. Ennis (bad pass; steal by O. Anunoby),,10-18,,
5:38.0,,,10-18,,Shooting foul by B. Ingram (drawn by O. Anunoby)
5:38.0,,,10-18,,O. Anunoby misses free throw 1 of 2
5:38.0,,,10-18,,Offensive rebound by Team
5:38.0,,,10-19,1,O. Anunoby makes free throw 2 of 2
5:15.0,J. Randle misses 2-pt shot from 7 ft,,10-19,,
5:13.0,,,10-19,,Defensive rebound by K. Lowry
5:06.0,,,10-19,,Turnover by J. Valanciunas (bad pass)
5:06.0,J. Clarkson enters the game for T. Ennis,,10-19,,
4:50.0,B. Lopez misses 2-pt shot from 10 ft,,10-19,,
4:48.0,,,10-19,,Defensive rebound by S. Ibaka
4:36.0,,,10-19,,D. DeRozan misses 3-pt shot from 27 ft
4:34.0,Defensive rebound by J. Randle,,10-19,,
4:25.0,J. Randle misses 2-pt shot from 6 ft (block by S. Ibaka),,10-19,,
4:20.0,Offensive rebound by J. Randle,,10-19,,
4:20.0,J. Randle makes 2-pt shot at rim,2,12-19,,
4:13.0,,,12-19,,Toronto full timeout
4:13.0,,,12-19,,C. Miles enters the game for O. Anunoby
4:03.0,,,12-19,,D. DeRozan misses 3-pt shot from 22 ft
4:01.0,,,12-19,,Offensive rebound by J. Valanciunas
3:56.0,,,12-22,3,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas)
3:28.0,B. Ingram misses 2-pt shot from 11 ft,,12-22,,
3:25.0,Offensive rebound by J. Randle,,12-22,,
3:23.0,J. Randle makes 2-pt shot at rim,2,14-22,,
3:03.0,,,14-24,2,C. Miles makes 2-pt shot from 6 ft (assist by D. DeRozan)
2:44.0,J. Clarkson misses 2-pt shot from 17 ft,,14-24,,
2:43.0,Offensive rebound by Team,,14-24,,
2:43.0,,,14-24,,J. Poeltl enters the game for K. Lowry
2:43.0,,,14-24,,D. Wright enters the game for J. Valanciunas
2:43.0,L. Nance enters the game for B. Lopez,,14-24,,
2:34.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by J. Randle),2,16-24,,
2:06.0,,,16-26,2,S. Ibaka makes 2-pt shot from 18 ft
1:53.0,,,16-26,,P. Siakam enters the game for S. Ibaka
1:53.0,A. Caruso enters the game for B. Ingram,,16-26,,
1:53.0,K. Kuzma enters the game for J. Randle,,16-26,,
1:52.0,Shooting foul by J. Poeltl (drawn by K. Caldwell-Pope),,16-26,,
1:52.0,K. Caldwell-Pope makes free throw 1 of 3,1,17-26,,
1:52.0,K. Caldwell-Pope makes free throw 2 of 3,1,18-26,,
1:52.0,K. Caldwell-Pope misses free throw 3 of 3,,18-26,,
1:52.0,,,18-26,,Defensive rebound by J. Poeltl
1:32.0,,,18-28,2,D. Wright makes 2-pt shot from 2 ft
1:21.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,18-28,,
1:18.0,,,18-28,,Defensive rebound by J. Poeltl
1:14.0,,,18-28,,Shooting foul by A. Caruso (drawn by D. Wright)
1:14.0,,,18-28,,D. Wright misses free throw 1 of 2
1:14.0,,,18-28,,Offensive rebound by Team
1:14.0,,,18-28,,D. Wright misses free throw 2 of 2
1:12.0,Defensive rebound by A. Caruso,,18-28,,
0:49.0,J. Clarkson misses 2-pt shot from 2 ft,,18-28,,
0:48.0,Offensive rebound by L. Nance,,18-28,,
0:48.0,L. Nance makes 2-pt shot at rim,2,20-28,,
0:48.0,Shooting foul by P. Siakam (drawn by L. Nance),,20-28,,
0:48.0,L. Nance makes free throw 1 of 1,1,21-28,,
0:28.0,,,21-28,,Turnover by D. Wright (step out of bounds)
0:04.0,J. Clarkson misses 2-pt shot from 5 ft,,21-28,,
0:02.0,,,21-28,,Defensive rebound by P. Siakam
0:00.0,,,21-28,,D. Wright misses 3-pt shot from 41 ft
0:00.0,,,21-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,L. Nance misses 2-pt shot from 4 ft,,21-28,,
11:48.0,,,21-28,,Defensive rebound by Team
11:22.0,,,21-28,,J. Poeltl misses 2-pt shot from 13 ft
11:20.0,Defensive rebound by A. Caruso,,21-28,,
11:15.0,L. Nance makes 2-pt shot at rim (assist by A. Caruso),2,23-28,,
10:57.0,,,23-31,3,F. VanVleet makes 3-pt shot from 25 ft
10:35.0,K. Kuzma makes 2-pt shot from 14 ft,2,25-31,,
10:20.0,,,25-31,,C. Miles misses 3-pt shot from 27 ft
10:17.0,Defensive rebound by K. Kuzma,,25-31,,
10:01.0,L. Nance makes 2-pt shot from 5 ft (assist by J. Clarkson),2,27-31,,
9:43.0,,,27-31,,D. Wright misses 2-pt shot from 2 ft (block by A. Caruso)
9:43.0,,,27-31,,Offensive rebound by Team
9:41.0,,,27-31,,C. Miles misses 2-pt shot from 15 ft
9:39.0,,,27-31,,Offensive rebound by P. Siakam
9:29.0,,,27-34,3,P. Siakam makes 3-pt shot from 25 ft (assist by F. VanVleet)
9:17.0,A. Caruso makes 2-pt shot from 1 ft,2,29-34,,
9:10.0,,,29-34,,Shooting foul by J. Clarkson (drawn by F. VanVleet)
9:10.0,,,29-35,1,F. VanVleet makes free throw 1 of 2
9:10.0,,,29-36,1,F. VanVleet makes free throw 2 of 2
8:56.0,L. Nance makes 2-pt shot from 18 ft (assist by A. Caruso),2,31-36,,
8:37.0,,,31-36,,J. Poeltl misses 2-pt shot from 4 ft
8:30.0,,,31-36,,Offensive rebound by D. Wright
8:30.0,,,31-38,2,D. Wright makes 2-pt shot at rim
8:24.0,,,31-38,,Def 3 sec tech foul by J. Poeltl
8:24.0,J. Clarkson makes technical free throw,1,32-38,,
8:19.0,,,32-38,,Personal foul by F. VanVleet (drawn by A. Caruso)
8:14.0,K. Kuzma misses 3-pt shot from 25 ft,,32-38,,
8:09.0,,,32-38,,Defensive rebound by C. Miles
8:03.0,,,32-38,,F. VanVleet misses 2-pt shot from 3 ft
8:03.0,,,32-38,,Offensive rebound by J. Poeltl
7:58.0,,,32-38,,J. Poeltl misses 2-pt shot at rim
7:57.0,,,32-38,,Offensive rebound by J. Poeltl
7:57.0,,,32-40,2,J. Poeltl makes 2-pt shot at rim
7:52.0,Turnover by A. Caruso (bad pass; steal by F. VanVleet),,32-40,,
7:46.0,,,32-40,,Shooting foul by A. Caruso (drawn by F. VanVleet)
7:46.0,,,32-41,1,F. VanVleet makes free throw 1 of 2
7:46.0,,,32-42,1,F. VanVleet makes free throw 2 of 2
7:29.0,K. Kuzma misses 3-pt shot from 23 ft,,32-42,,
7:26.0,,,32-42,,Defensive rebound by C. Miles
7:24.0,,,32-44,2,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet)
7:23.0,LA Lakers full timeout,,32-44,,
7:23.0,,,32-44,,J. Valanciunas enters the game for J. Poeltl
7:23.0,,,32-44,,K. Lowry enters the game for D. Wright
7:23.0,B. Ingram enters the game for J. Hart,,32-44,,
7:08.0,J. Clarkson misses 3-pt shot from 26 ft,,32-44,,
7:06.0,,,32-44,,Defensive rebound by P. Siakam
6:51.0,,,32-44,,P. Siakam misses 2-pt shot from 9 ft
6:49.0,Defensive rebound by A. Caruso,,32-44,,
6:45.0,B. Ingram misses 2-pt shot from 3 ft,,32-44,,
6:38.0,,,32-44,,Defensive rebound by K. Lowry
6:35.0,,,32-47,3,F. VanVleet makes 3-pt shot from 27 ft (assist by K. Lowry)
6:17.0,B. Ingram misses 2-pt shot from 12 ft,,32-47,,
6:12.0,,,32-47,,Defensive rebound by K. Lowry
6:10.0,,,32-47,,C. Miles misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by L. Nance,,32-47,,
5:57.0,Shooting foul by P. Siakam (drawn by J. Clarkson),,32-47,,
5:57.0,J. Clarkson makes free throw 1 of 2,1,33-47,,
5:57.0,,,33-47,,S. Ibaka enters the game for C. Miles
5:57.0,,,33-47,,D. DeRozan enters the game for P. Siakam
5:57.0,J. Randle enters the game for A. Caruso,,33-47,,
5:57.0,T. Ennis enters the game for L. Nance,,33-47,,
5:57.0,J. Clarkson makes free throw 2 of 2,1,34-47,,
5:35.0,,,34-47,,D. DeRozan misses 3-pt shot from 25 ft
5:32.0,,,34-47,,Offensive rebound by J. Valanciunas
5:30.0,,,34-47,,J. Valanciunas misses 2-pt shot from 2 ft
5:30.0,Defensive rebound by J. Randle,,34-47,,
5:20.0,J. Clarkson misses 3-pt shot from 25 ft,,34-47,,
5:18.0,,,34-47,,Defensive rebound by K. Lowry
5:10.0,,,34-49,2,F. VanVleet makes 2-pt shot from 1 ft
5:02.0,J. Randle misses 2-pt shot from 5 ft,,34-49,,
5:01.0,,,34-49,,Defensive rebound by D. DeRozan
4:52.0,,,34-49,,D. DeRozan misses 2-pt shot from 19 ft
4:49.0,Defensive rebound by J. Randle,,34-49,,
4:42.0,J. Clarkson makes 2-pt shot from 17 ft,2,36-49,,
4:42.0,Shooting foul by K. Lowry (drawn by J. Clarkson),,36-49,,
4:42.0,J. Clarkson makes free throw 1 of 1,1,37-49,,
4:37.0,,,37-49,,Toronto full timeout
4:37.0,K. Caldwell-Pope enters the game for J. Clarkson,,37-49,,
4:28.0,,,37-51,2,J. Valanciunas makes 2-pt shot from 11 ft
4:18.0,Offensive foul by J. Randle (drawn by F. VanVleet),,37-51,,
4:18.0,Turnover by J. Randle (offensive foul),,37-51,,
4:05.0,,,37-51,,S. Ibaka misses 2-pt shot from 6 ft
4:03.0,Defensive rebound by T. Ennis,,37-51,,
3:58.0,T. Ennis misses 3-pt shot from 25 ft,,37-51,,
3:56.0,,,37-51,,Defensive rebound by J. Valanciunas
3:48.0,,,37-51,,D. DeRozan misses 2-pt shot from 1 ft
3:46.0,Defensive rebound by J. Randle,,37-51,,
3:38.0,B. Ingram makes 2-pt shot from 1 ft (assist by J. Randle),2,39-51,,
3:38.0,Shooting foul by F. VanVleet (drawn by B. Ingram),,39-51,,
3:38.0,,,39-51,,O. Anunoby enters the game for F. VanVleet
3:38.0,B. Ingram misses free throw 1 of 1,,39-51,,
3:38.0,,,39-51,,Defensive rebound by S. Ibaka
3:16.0,,,39-51,,S. Ibaka misses 2-pt shot from 8 ft
3:15.0,,,39-51,,Offensive rebound by Team
3:15.0,,,39-51,,Turnover by Team (shot clock)
3:01.0,,,39-51,,Personal foul by O. Anunoby (drawn by B. Ingram)
3:01.0,B. Ingram misses free throw 1 of 2,,39-51,,
3:01.0,Offensive rebound by Team,,39-51,,
3:01.0,B. Ingram misses free throw 2 of 2,,39-51,,
2:59.0,,,39-51,,Defensive rebound by J. Valanciunas
2:45.0,,,39-51,,D. DeRozan misses 2-pt shot from 2 ft
2:43.0,Defensive rebound by J. Randle,,39-51,,
2:38.0,K. Kuzma misses 2-pt shot from 16 ft,,39-51,,
2:38.0,,,39-51,,Defensive rebound by K. Lowry
2:32.0,,,39-51,,K. Lowry misses 2-pt shot from 5 ft
2:31.0,Defensive rebound by Team,,39-51,,
2:31.0,,,39-51,,Loose ball foul by S. Ibaka (drawn by K. Kuzma)
2:31.0,K. Kuzma misses free throw 1 of 2,,39-51,,
2:31.0,Offensive rebound by Team,,39-51,,
2:31.0,K. Kuzma makes free throw 2 of 2,1,40-51,,
2:18.0,,,40-53,2,D. DeRozan makes 2-pt shot from 1 ft
1:59.0,J. Randle makes 2-pt shot from 3 ft,2,42-53,,
1:46.0,,,42-55,2,K. Lowry makes 2-pt shot from 2 ft
1:46.0,,,42-55,,Loose ball foul by J. Valanciunas
1:46.0,J. Randle makes free throw 1 of 2,1,43-55,,
1:46.0,J. Randle misses free throw 2 of 2,,43-55,,
1:46.0,,,43-55,,Defensive rebound by J. Valanciunas
1:26.0,,,43-55,,K. Lowry misses 3-pt shot from 28 ft
1:22.0,,,43-55,,Offensive rebound by K. Lowry
1:12.0,,,43-55,,Turnover by S. Ibaka (traveling)
0:56.0,K. Kuzma makes 2-pt shot from 5 ft (assist by B. Ingram),2,45-55,,
0:47.0,,,45-57,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
0:34.0,J. Randle makes 2-pt shot from 2 ft,2,47-57,,
0:30.0,,,47-57,,Turnover by K. Lowry (bad pass; steal by K. Caldwell-Pope)
0:27.0,K. Caldwell-Pope misses 2-pt shot at rim,,47-57,,
0:27.0,Offensive rebound by J. Randle,,47-57,,
0:27.0,Shooting foul by J. Valanciunas (drawn by J. Randle),,47-57,,
0:27.0,J. Randle makes free throw 1 of 2,1,48-57,,
0:27.0,J. Hart enters the game for T. Ennis,,48-57,,
0:27.0,J. Randle makes free throw 2 of 2,1,49-57,,
0:06.0,,,49-59,2,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan)
0:00.0,Jump ball: K. Lowry vs. B. Ingram,,,,Jump ball: K. Lowry vs. B. Ingram
0:00.0,Turnover by B. Ingram (turnover; steal by K. Lowry),,49-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,49-59,,Personal foul by J. Valanciunas (drawn by B. Lopez)
11:37.0,B. Ingram makes 2-pt shot from 11 ft,2,51-59,,
11:20.0,,,51-61,2,S. Ibaka makes 2-pt shot from 18 ft (assist by J. Valanciunas)
11:07.0,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by S. Ibaka),,51-61,,
11:03.0,,,51-61,,Defensive rebound by J. Valanciunas
11:03.0,,,51-61,,Shooting foul by B. Ingram (drawn by S. Ibaka)
11:03.0,,,51-62,1,S. Ibaka makes free throw 1 of 2
11:03.0,,,51-63,1,S. Ibaka makes free throw 2 of 2
10:47.0,,,51-63,,Personal foul by O. Anunoby (drawn by B. Ingram)
10:36.0,B. Lopez makes 3-pt shot from 25 ft (assist by J. Randle),3,54-63,,
10:06.0,,,54-65,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
10:00.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by B. Ingram),3,57-65,,
9:40.0,,,57-65,,D. DeRozan misses 3-pt shot from 23 ft
9:38.0,Defensive rebound by B. Ingram,,57-65,,
9:32.0,B. Lopez makes 3-pt shot from 26 ft (assist by B. Ingram),3,60-65,,
9:03.0,,,60-65,,K. Lowry misses 2-pt shot from 19 ft
9:01.0,Defensive rebound by B. Ingram,,60-65,,
8:47.0,J. Randle misses 2-pt shot from 8 ft,,60-65,,
8:45.0,,,60-65,,Defensive rebound by K. Lowry
8:41.0,,,60-65,,K. Lowry misses 2-pt shot from 2 ft
8:37.0,,,60-65,,Offensive rebound by J. Valanciunas
8:37.0,,,60-67,2,J. Valanciunas makes 2-pt shot at rim
8:32.0,Shooting foul by S. Ibaka (drawn by B. Ingram),,60-67,,
8:32.0,B. Ingram makes free throw 1 of 2,1,61-67,,
8:32.0,B. Ingram makes free throw 2 of 2,1,62-67,,
8:22.0,,,62-67,,Shooting foul by B. Lopez (drawn by K. Lowry)
8:22.0,,,62-68,1,K. Lowry makes free throw 1 of 2
8:22.0,,,62-69,1,K. Lowry makes free throw 2 of 2
8:11.0,T. Ennis misses 2-pt shot from 22 ft,,62-69,,
8:10.0,Offensive rebound by Team,,62-69,,
8:07.0,Offensive charge foul by B. Lopez,,62-69,,
8:07.0,Turnover by B. Lopez (offensive foul),,62-69,,
8:07.0,Technical foul by B. Lopez,,62-69,,
8:07.0,,,62-70,1,D. DeRozan makes technical free throw
7:42.0,,,62-72,2,K. Lowry makes 2-pt shot from 3 ft
7:25.0,T. Ennis misses 2-pt shot from 2 ft,,62-72,,
7:23.0,,,62-72,,Defensive rebound by K. Lowry
7:19.0,,,62-72,,Turnover by K. Lowry (bad pass; steal by T. Ennis)
7:18.0,,,62-72,,Personal foul by D. DeRozan (drawn by B. Ingram)
7:18.0,A. Caruso enters the game for T. Ennis,,62-72,,
7:05.0,B. Lopez misses 3-pt shot from 26 ft,,62-72,,
7:01.0,,,62-72,,Defensive rebound by K. Lowry
6:48.0,,,62-74,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
6:36.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,62-74,,
6:33.0,,,62-74,,Defensive rebound by K. Lowry
6:27.0,,,62-74,,Turnover by D. DeRozan (bad pass; steal by B. Ingram)
6:22.0,B. Ingram misses 2-pt shot from 1 ft,,62-74,,
6:21.0,Offensive rebound by B. Ingram,,62-74,,
6:21.0,Shooting foul by K. Lowry (drawn by B. Ingram),,62-74,,
6:21.0,,,62-74,,Toronto full timeout
6:21.0,B. Ingram makes free throw 1 of 2,1,63-74,,
6:21.0,B. Ingram makes free throw 2 of 2,1,64-74,,
6:10.0,,,64-74,,Turnover by J. Valanciunas (traveling)
5:57.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by A. Caruso),3,67-74,,
5:37.0,,,67-76,2,O. Anunoby makes 2-pt shot from 1 ft (assist by D. DeRozan)
5:27.0,B. Ingram misses 2-pt shot from 17 ft,,67-76,,
5:24.0,Offensive rebound by B. Lopez,,67-76,,
5:23.0,B. Lopez misses 2-pt shot from 4 ft,,67-76,,
5:23.0,,,67-76,,Defensive rebound by S. Ibaka
5:16.0,,,67-76,,K. Lowry misses 2-pt shot from 1 ft (block by B. Lopez)
5:16.0,Defensive rebound by Team,,67-76,,
5:14.0,Jump ball: J. Valanciunas vs. B. Lopez (A. Caruso gains possession),,,,Jump ball: J. Valanciunas vs. B. Lopez (A. Caruso gains possession)
5:03.0,B. Lopez misses 2-pt shot from 9 ft,,67-76,,
5:01.0,,,67-76,,Defensive rebound by O. Anunoby
4:53.0,,,67-78,2,D. DeRozan makes 2-pt shot from 1 ft
4:43.0,,,67-78,,Personal foul by S. Ibaka (drawn by J. Randle)
4:43.0,J. Randle makes free throw 1 of 2,1,68-78,,
4:43.0,L. Nance enters the game for B. Lopez,,68-78,,
4:43.0,,,68-78,,J. Poeltl enters the game for J. Valanciunas
4:43.0,J. Randle makes free throw 2 of 2,1,69-78,,
4:33.0,,,69-80,2,D. DeRozan makes 2-pt shot from 5 ft
4:33.0,Shooting block foul by J. Randle (drawn by D. DeRozan),,69-80,,
4:33.0,,,69-81,1,D. DeRozan makes free throw 1 of 1
4:16.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,69-81,,
4:13.0,,,69-81,,Defensive rebound by S. Ibaka
4:06.0,,,69-81,,Shooting foul by L. Nance (drawn by D. DeRozan)
4:06.0,,,69-82,1,D. DeRozan makes free throw 1 of 2
4:06.0,,,69-83,1,D. DeRozan makes free throw 2 of 2
3:56.0,,,69-83,,Loose ball foul by O. Anunoby (drawn by B. Ingram)
3:56.0,B. Ingram misses free throw 1 of 2,,69-83,,
3:56.0,Offensive rebound by Team,,69-83,,
3:56.0,B. Ingram makes free throw 2 of 2,1,70-83,,
3:49.0,,,70-83,,D. DeRozan misses 2-pt shot from 2 ft
3:47.0,,,70-83,,Offensive rebound by O. Anunoby
3:46.0,,,70-83,,O. Anunoby misses 3-pt shot from 23 ft
3:46.0,,,70-83,,Offensive rebound by J. Poeltl
3:42.0,,,70-85,2,J. Poeltl makes 2-pt shot at rim
3:36.0,,,70-85,,Personal foul by S. Ibaka (drawn by J. Randle)
3:36.0,J. Randle makes free throw 1 of 2,1,71-85,,
3:36.0,,,71-85,,P. Siakam enters the game for S. Ibaka
3:36.0,J. Clarkson enters the game for A. Caruso,,71-85,,
3:36.0,J. Randle makes free throw 2 of 2,1,72-85,,
3:22.0,,,72-87,2,D. DeRozan makes 2-pt shot from 1 ft (assist by P. Siakam)
3:22.0,,,72-87,,Shooting foul by B. Ingram (drawn by D. DeRozan)
3:22.0,K. Kuzma enters the game for J. Randle,,72-87,,
3:22.0,,,72-87,,D. DeRozan misses free throw 1 of 1
3:16.0,Defensive rebound by J. Clarkson,,72-87,,
3:12.0,Turnover by K. Kuzma (out of bounds lost ball),,72-87,,
2:53.0,,,72-87,,K. Lowry misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by K. Caldwell-Pope,,72-87,,
2:42.0,K. Kuzma makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,74-87,,
2:23.0,,,74-89,2,D. DeRozan makes 2-pt shot from 3 ft
2:17.0,J. Clarkson makes 2-pt shot from 19 ft,2,76-89,,
1:59.0,,,76-89,,Turnover by J. Poeltl (lost ball; steal by K. Kuzma)
1:54.0,Offensive charge foul by J. Clarkson (drawn by K. Lowry),,76-89,,
1:54.0,Turnover by J. Clarkson (offensive foul),,76-89,,
1:54.0,LA Lakers full timeout,,76-89,,
1:54.0,,,76-89,,C. Miles enters the game for O. Anunoby
1:54.0,,,76-89,,D. Wright enters the game for K. Lowry
1:54.0,J. Hart enters the game for B. Ingram,,76-89,,
1:31.0,,,76-89,,D. DeRozan misses 3-pt shot from 29 ft
1:29.0,Defensive rebound by K. Kuzma,,76-89,,
1:24.0,Shooting foul by P. Siakam (drawn by K. Caldwell-Pope),,76-89,,
1:24.0,K. Caldwell-Pope misses free throw 1 of 2,,76-89,,
1:24.0,Offensive rebound by Team,,76-89,,
1:24.0,K. Caldwell-Pope makes free throw 2 of 2,1,77-89,,
1:08.0,,,77-89,,C. Miles misses 3-pt shot from 24 ft
1:05.0,Defensive rebound by K. Kuzma,,77-89,,
1:00.0,Turnover by K. Kuzma (traveling),,77-89,,
0:40.0,,,77-91,2,P. Siakam makes 2-pt shot from 6 ft
0:40.0,Shooting block foul by L. Nance (drawn by P. Siakam),,77-91,,
0:40.0,,,77-91,,P. Siakam misses free throw 1 of 1
0:38.0,Defensive rebound by K. Kuzma,,77-91,,
0:33.0,K. Kuzma misses 3-pt shot from 26 ft,,77-91,,
0:30.0,,,77-91,,Defensive rebound by C. Miles
0:14.0,,,77-91,,Turnover by D. DeRozan (bad pass; steal by L. Nance)
0:10.0,Shooting foul by D. DeRozan (drawn by J. Hart),,77-91,,
0:10.0,J. Hart misses free throw 1 of 2,,77-91,,
0:10.0,Offensive rebound by Team,,77-91,,
0:10.0,J. Hart misses free throw 2 of 2,,77-91,,
0:09.0,,,77-91,,Defensive rebound by P. Siakam
0:03.0,,,77-91,,C. Miles misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by L. Nance,,77-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,77-93,2,C. Miles makes 2-pt shot from 8 ft (assist by D. Wright)
11:34.0,J. Clarkson makes 2-pt shot from 16 ft,2,79-93,,
11:10.0,,,79-93,,D. Wright misses 2-pt shot from 6 ft
11:08.0,Defensive rebound by J. Clarkson,,79-93,,
11:05.0,J. Clarkson makes 2-pt shot from 2 ft,2,81-93,,
11:05.0,Shooting foul by C. Miles (drawn by J. Clarkson),,81-93,,
11:05.0,J. Clarkson makes free throw 1 of 1,1,82-93,,
10:55.0,Personal foul by J. Clarkson (drawn by F. VanVleet),,82-93,,
10:46.0,,,82-93,,P. Siakam misses 2-pt shot from 4 ft
10:42.0,,,82-93,,Offensive rebound by J. Poeltl
10:39.0,,,82-96,3,C. Miles makes 3-pt shot from 26 ft (assist by J. Poeltl)
10:25.0,J. Clarkson makes 2-pt shot from 17 ft,2,84-96,,
10:13.0,,,84-96,,Turnover by J. Poeltl (step out of bounds)
10:04.0,Turnover by J. Clarkson (bad pass),,84-96,,
9:56.0,,,84-96,,F. VanVleet misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by J. Hart,,84-96,,
9:46.0,K. Kuzma misses 2-pt shot from 11 ft,,84-96,,
9:44.0,,,84-96,,Defensive rebound by F. VanVleet
