time,Denver,pts.away,score,pts.home,Atlanta
5:14.0,Defensive rebound by Team,,15-14,,
5:12.0,,,15-14,,M. Muscala enters the game for E. Ilyasova
5:12.0,W. Barton enters the game for W. Chandler,,15-14,,
5:03.0,W. Barton misses 3-pt shot from 25 ft,,15-14,,
5:03.0,,,15-14,,Defensive rebound by T. Waller-Prince
4:50.0,,,15-16,2,M. Muscala makes 2-pt shot from 19 ft (assist by M. Belinelli)
4:36.0,G. Harris makes 2-pt shot from 2 ft,2,17-16,,
4:19.0,,,17-16,,T. Waller-Prince misses 2-pt shot from 4 ft
4:15.0,,,17-16,,Offensive rebound by T. Waller-Prince
4:12.0,Personal foul by W. Barton (drawn by M. Belinelli),,17-16,,
4:04.0,,,17-16,,Shooting foul by W. Barton (drawn by J. Collins)
4:04.0,,,17-17,1,J. Collins makes free throw 1 of 2
4:04.0,E. Mudiay enters the game for J. Murray,,17-17,,
4:04.0,,,17-18,1,J. Collins makes free throw 2 of 2
3:47.0,,,17-18,,Personal foul by M. Muscala (drawn by P. Millsap)
3:46.0,G. Harris misses 3-pt shot from 26 ft,,17-18,,
3:42.0,Offensive rebound by M. Plumlee,,17-18,,
3:40.0,N. Jokic enters the game for P. Millsap,,17-18,,
3:29.0,N. Jokic misses 2-pt shot from 12 ft,,17-18,,
3:25.0,,,17-18,,Defensive rebound by M. Delaney
3:22.0,,,17-18,,J. Collins misses 2-pt shot from 2 ft
3:22.0,Defensive rebound by Team,,17-18,,
3:08.0,G. Harris misses 2-pt shot from 14 ft,,17-18,,
3:06.0,Offensive rebound by Team,,17-18,,
3:06.0,,,17-18,,Personal foul by J. Collins (drawn by G. Harris)
3:06.0,W. Chandler enters the game for G. Harris,,17-18,,
3:02.0,W. Chandler misses 3-pt shot from 22 ft,,17-18,,
2:59.0,,,17-18,,Defensive rebound by M. Belinelli
2:53.0,,,17-18,,Turnover by M. Belinelli (bad pass; steal by M. Plumlee)
2:49.0,W. Barton makes 3-pt shot from 23 ft (assist by M. Plumlee),3,20-18,,
2:46.0,,,20-18,,Atlanta full timeout
2:46.0,,,20-18,,D. Schroder enters the game for T. Waller-Prince
2:36.0,,,20-18,,M. Muscala misses 2-pt shot from 12 ft
2:30.0,Defensive rebound by N. Jokic,,20-18,,
2:28.0,E. Mudiay misses 3-pt shot from 23 ft,,20-18,,
2:19.0,,,20-18,,Defensive rebound by D. Schroder
2:14.0,,,20-21,3,M. Delaney makes 3-pt shot from 24 ft (assist by M. Belinelli)
1:57.0,W. Barton misses 2-pt shot from 18 ft,,20-21,,
1:53.0,,,20-21,,Defensive rebound by J. Collins
1:49.0,,,20-21,,Turnover by M. Delaney (bad pass)
1:46.0,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic),2,22-21,,
1:23.0,,,22-21,,Turnover by M. Muscala (bad pass)
1:01.0,E. Mudiay misses 2-pt shot from 4 ft,,22-21,,
0:52.0,Offensive rebound by N. Jokic,,22-21,,
0:52.0,N. Jokic makes 2-pt shot at rim,2,24-21,,
0:47.0,,,24-21,,J. Collins misses 2-pt shot from 12 ft
0:44.0,Defensive rebound by W. Barton,,24-21,,
0:38.0,N. Jokic makes 2-pt shot from 5 ft (assist by M. Plumlee),2,26-21,,
0:29.0,Personal take foul by W. Chandler (drawn by D. Schroder),,26-21,,
0:29.0,,,26-22,1,D. Schroder makes free throw 1 of 2
0:29.0,,,26-22,,L. Babbitt enters the game for M. Delaney
0:29.0,,,26-23,1,D. Schroder makes free throw 2 of 2
0:11.0,N. Jokic misses 2-pt shot from 17 ft,,26-23,,
0:06.0,Offensive rebound by M. Plumlee,,26-23,,
0:06.0,,,26-23,,Personal foul by L. Babbitt (drawn by M. Plumlee)
0:06.0,J. Murray enters the game for M. Plumlee,,26-23,,
0:06.0,,,26-23,,M. Delaney enters the game for L. Babbitt
0:03.0,E. Mudiay misses 2-pt shot from 18 ft,,26-23,,
0:00.0,Offensive rebound by Team,,26-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,W. Barton misses 2-pt shot from 16 ft (block by K. Bazemore),,26-23,,
11:40.0,,,26-23,,Defensive rebound by K. Bazemore
11:28.0,,,26-23,,D. Dedmon misses 2-pt shot from 12 ft
11:24.0,Defensive rebound by W. Barton,,26-23,,
11:20.0,Turnover by W. Barton (lost ball; steal by K. Bazemore),,26-23,,
10:59.0,,,26-26,3,M. Belinelli makes 3-pt shot from 26 ft (assist by M. Muscala)
10:46.0,Turnover by W. Barton (traveling),,26-26,,
10:46.0,,,26-26,,E. Ilyasova enters the game for M. Muscala
10:28.0,,,26-26,,E. Ilyasova misses 2-pt shot from 15 ft
10:26.0,,,26-26,,Offensive rebound by Team
10:13.0,,,26-28,2,D. Dedmon makes 2-pt shot from 1 ft (assist by K. Bazemore)
9:55.0,W. Barton misses 2-pt shot from 5 ft (block by D. Dedmon),,26-28,,
9:54.0,Offensive rebound by N. Jokic,,26-28,,
9:54.0,Shooting foul by D. Dedmon (drawn by N. Jokic),,26-28,,
9:54.0,N. Jokic makes free throw 1 of 2,1,27-28,,
9:54.0,N. Jokic makes free throw 2 of 2,1,28-28,,
9:43.0,,,28-28,,E. Ilyasova misses 3-pt shot from 23 ft
9:39.0,Defensive rebound by E. Mudiay,,28-28,,
9:26.0,N. Jokic makes 2-pt shot from 16 ft,2,30-28,,
9:14.0,,,30-30,2,D. Schroder makes 2-pt shot from 1 ft
9:02.0,M. Beasley misses 3-pt shot from 23 ft,,30-30,,
8:55.0,,,30-30,,Defensive rebound by K. Bazemore
8:51.0,,,30-30,,K. Bazemore misses 2-pt shot from 7 ft
8:47.0,Defensive rebound by N. Jokic,,30-30,,
8:45.0,Turnover by N. Jokic (lost ball; steal by E. Ilyasova),,30-30,,
8:41.0,,,30-30,,K. Bazemore misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by N. Jokic,,30-30,,
8:35.0,E. Mudiay makes 2-pt shot from 1 ft (assist by M. Beasley),2,32-30,,
8:35.0,,,32-30,,Atlanta full timeout
8:35.0,,,32-30,,M. Delaney enters the game for M. Belinelli
8:35.0,,,32-30,,I. Taylor enters the game for D. Schroder
8:22.0,,,32-30,,K. Bazemore misses 2-pt shot from 20 ft
8:18.0,Defensive rebound by E. Mudiay,,32-30,,
8:15.0,E. Mudiay misses 3-pt shot from 25 ft,,32-30,,
8:15.0,Offensive rebound by Team,,32-30,,
7:56.0,Shooting foul by K. Bazemore (drawn by E. Mudiay),,32-30,,
7:56.0,E. Mudiay makes free throw 1 of 2,1,33-30,,
7:56.0,E. Mudiay makes free throw 2 of 2,1,34-30,,
7:41.0,,,34-30,,D. Dedmon misses 2-pt shot from 1 ft
7:38.0,Defensive rebound by N. Jokic,,34-30,,
7:25.0,E. Mudiay makes 2-pt shot from 7 ft,2,36-30,,
6:59.0,,,36-32,2,K. Bazemore makes 2-pt shot from 1 ft
6:49.0,M. Beasley makes 2-pt shot from 4 ft,2,38-32,,
6:36.0,,,38-35,3,D. Dedmon makes 3-pt shot from 22 ft (assist by M. Delaney)
6:16.0,Shooting foul by E. Ilyasova (drawn by E. Mudiay),,38-35,,
6:16.0,E. Mudiay makes free throw 1 of 2,1,39-35,,
6:16.0,P. Millsap enters the game for N. Jokic,,39-35,,
6:16.0,G. Harris enters the game for K. Faried,,39-35,,
6:16.0,M. Plumlee enters the game for M. Beasley,,39-35,,
6:16.0,E. Mudiay makes free throw 2 of 2,1,40-35,,
6:16.0,,,40-35,,T. Waller-Prince enters the game for K. Bazemore
6:01.0,,,40-35,,E. Ilyasova misses 2-pt shot from 4 ft
6:01.0,,,40-35,,Offensive rebound by D. Dedmon
6:01.0,,,40-35,,Shooting foul by P. Millsap (drawn by D. Dedmon)
6:01.0,,,40-36,1,D. Dedmon makes free throw 1 of 2
6:01.0,W. Chandler enters the game for W. Barton,,40-36,,
6:01.0,,,40-37,1,D. Dedmon makes free throw 2 of 2
5:40.0,Turnover by P. Millsap (lost ball; steal by E. Ilyasova),,40-37,,
5:32.0,,,40-39,2,I. Taylor makes 2-pt shot from 2 ft (assist by M. Delaney)
5:23.0,E. Mudiay makes 2-pt shot from 9 ft,2,42-39,,
5:07.0,,,42-39,,E. Ilyasova misses 3-pt shot from 23 ft
5:07.0,Defensive rebound by E. Mudiay,,42-39,,
5:00.0,P. Millsap misses 2-pt shot from 1 ft,,42-39,,
5:00.0,Offensive rebound by G. Harris,,42-39,,
4:56.0,G. Harris makes 2-pt shot from 1 ft,2,44-39,,
4:38.0,,,44-41,2,M. Delaney makes 2-pt shot from 13 ft (assist by T. Waller-Prince)
4:26.0,E. Mudiay misses 2-pt shot from 18 ft,,44-41,,
4:24.0,Offensive rebound by Team,,44-41,,
4:24.0,,,44-41,,M. Belinelli enters the game for M. Delaney
4:24.0,,,44-41,,J. Collins enters the game for D. Dedmon
4:24.0,J. Murray enters the game for E. Mudiay,,44-41,,
4:21.0,G. Harris makes 2-pt shot from 12 ft,2,46-41,,
4:08.0,,,46-41,,E. Ilyasova misses 3-pt shot from 24 ft
4:03.0,,,46-41,,Offensive rebound by J. Collins
4:00.0,,,46-41,,T. Waller-Prince misses 2-pt shot from 2 ft
4:00.0,Defensive rebound by M. Plumlee,,46-41,,
3:51.0,Shooting foul by J. Collins (drawn by M. Plumlee),,46-41,,
3:51.0,M. Plumlee misses free throw 1 of 2,,46-41,,
3:51.0,Offensive rebound by Team,,46-41,,
3:51.0,,,46-41,,M. Muscala enters the game for E. Ilyasova
3:51.0,,,46-41,,D. Schroder enters the game for I. Taylor
3:51.0,M. Plumlee misses free throw 2 of 2,,46-41,,
3:50.0,Offensive rebound by P. Millsap,,46-41,,
3:50.0,Shooting foul by T. Waller-Prince (drawn by P. Millsap),,46-41,,
3:50.0,P. Millsap makes free throw 1 of 2,1,47-41,,
3:50.0,P. Millsap makes free throw 2 of 2,1,48-41,,
3:41.0,,,48-43,2,T. Waller-Prince makes 2-pt shot from 11 ft (assist by D. Schroder)
3:28.0,G. Harris misses 2-pt shot from 12 ft,,48-43,,
3:22.0,,,48-43,,Defensive rebound by M. Muscala
3:20.0,,,48-46,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Schroder)
3:18.0,Denver full timeout,,48-46,,
3:18.0,N. Jokic enters the game for M. Plumlee,,48-46,,
3:04.0,Turnover by N. Jokic (lost ball; steal by T. Waller-Prince),,48-46,,
2:42.0,,,48-48,2,T. Waller-Prince makes 2-pt shot from 6 ft
2:37.0,J. Murray makes 2-pt shot from 16 ft,2,50-48,,
2:32.0,,,50-48,,M. Belinelli misses 2-pt shot from 19 ft
2:32.0,Defensive rebound by N. Jokic,,50-48,,
2:25.0,J. Murray misses 2-pt shot from 18 ft,,50-48,,
2:25.0,,,50-48,,Defensive rebound by M. Muscala
2:24.0,Personal foul by G. Harris (drawn by D. Schroder),,50-48,,
2:08.0,,,50-50,2,T. Waller-Prince makes 2-pt shot from 2 ft
1:50.0,N. Jokic misses 2-pt shot from 6 ft,,50-50,,
1:45.0,,,50-50,,Defensive rebound by J. Collins
1:23.0,,,50-50,,D. Schroder misses 2-pt shot from 19 ft
1:22.0,,,50-50,,Offensive rebound by Team
1:18.0,,,50-52,2,D. Schroder makes 2-pt shot from 19 ft
0:58.0,J. Murray misses 2-pt shot from 22 ft,,50-52,,
0:55.0,,,50-52,,Defensive rebound by J. Collins
0:40.0,,,50-52,,M. Muscala misses 3-pt shot from 25 ft
0:37.0,,,50-52,,Offensive rebound by J. Collins
0:35.0,,,50-52,,J. Collins misses 2-pt shot from 5 ft
0:32.0,Defensive rebound by N. Jokic,,50-52,,
0:29.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,53-52,,
0:07.0,,,53-52,,T. Waller-Prince misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by J. Murray,,53-52,,
0:00.0,J. Murray misses 2-pt shot from 10 ft,,53-52,,
0:00.0,Offensive rebound by Team,,53-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,P. Millsap makes 2-pt shot from 3 ft (assist by N. Jokic),2,55-52,,
11:33.0,,,55-55,3,D. Schroder makes 3-pt shot from 25 ft
11:10.0,Turnover by J. Murray (turnover),,55-55,,
10:43.0,,,55-55,,D. Schroder misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by N. Jokic,,55-55,,
10:35.0,N. Jokic misses 3-pt shot from 24 ft,,55-55,,
10:33.0,,,55-55,,Defensive rebound by T. Waller-Prince
10:21.0,,,55-55,,E. Ilyasova misses 2-pt shot from 2 ft
10:18.0,Defensive rebound by N. Jokic,,55-55,,
10:09.0,G. Harris misses 3-pt shot from 25 ft,,55-55,,
10:04.0,,,55-55,,Defensive rebound by T. Waller-Prince
9:53.0,,,55-55,,D. Schroder misses 2-pt shot at rim
9:49.0,Defensive rebound by N. Jokic,,55-55,,
9:41.0,J. Murray misses 3-pt shot from 25 ft,,55-55,,
9:37.0,,,55-55,,Defensive rebound by D. Dedmon
9:31.0,,,55-55,,Turnover by T. Waller-Prince (lost ball; steal by P. Millsap)
9:25.0,W. Chandler makes 2-pt shot from 1 ft (assist by G. Harris),2,57-55,,
9:25.0,,,57-55,,Atlanta full timeout
9:06.0,,,57-55,,Turnover by K. Bazemore (bad pass; steal by P. Millsap)
8:48.0,P. Millsap misses 2-pt shot from 6 ft,,57-55,,
8:45.0,,,57-55,,Defensive rebound by T. Waller-Prince
8:34.0,,,57-57,2,D. Dedmon makes 2-pt shot from 3 ft
8:08.0,N. Jokic misses 2-pt shot from 8 ft,,57-57,,
8:05.0,,,57-57,,Defensive rebound by D. Dedmon
7:54.0,,,57-57,,D. Schroder misses 2-pt shot from 5 ft
7:48.0,Defensive rebound by G. Harris,,57-57,,
7:39.0,J. Murray misses 2-pt shot from 20 ft,,57-57,,
7:35.0,,,57-57,,Defensive rebound by D. Dedmon
7:30.0,,,57-57,,T. Waller-Prince misses 2-pt shot from 3 ft
7:27.0,Defensive rebound by N. Jokic,,57-57,,
7:20.0,N. Jokic misses 2-pt shot from 22 ft,,57-57,,
7:19.0,Offensive rebound by Team,,57-57,,
7:19.0,,,57-57,,Personal foul by D. Schroder (drawn by N. Jokic)
7:14.0,N. Jokic makes 2-pt shot from 20 ft (assist by G. Harris),2,59-57,,
6:58.0,Personal foul by P. Millsap (drawn by D. Dedmon),,59-57,,
6:58.0,,,59-57,,M. Delaney enters the game for D. Schroder
6:48.0,,,59-59,2,M. Delaney makes 2-pt shot from 14 ft (assist by E. Ilyasova)
6:25.0,Turnover by W. Chandler (lost ball; steal by T. Waller-Prince),,59-59,,
6:12.0,,,59-61,2,D. Dedmon makes 2-pt shot from 15 ft
5:56.0,,,59-61,,Personal foul by E. Ilyasova (drawn by P. Millsap)
5:56.0,,,59-61,,J. Collins enters the game for D. Dedmon
5:56.0,W. Barton enters the game for W. Chandler,,59-61,,
5:51.0,G. Harris makes 2-pt shot from 4 ft,2,61-61,,
5:51.0,Shooting foul by E. Ilyasova (drawn by G. Harris),,61-61,,
5:51.0,M. Plumlee enters the game for N. Jokic,,61-61,,
5:51.0,G. Harris makes free throw 1 of 1,1,62-61,,
5:33.0,,,62-63,2,J. Collins makes 2-pt shot from 1 ft (assist by K. Bazemore)
5:21.0,J. Murray misses 2-pt shot from 15 ft,,62-63,,
5:18.0,,,62-63,,Defensive rebound by E. Ilyasova
5:05.0,,,62-63,,J. Collins misses 2-pt shot from 6 ft
5:02.0,,,62-63,,Offensive rebound by J. Collins
5:01.0,,,62-63,,J. Collins misses 2-pt shot from 3 ft
5:01.0,Defensive rebound by M. Plumlee,,62-63,,
4:55.0,J. Murray misses 3-pt shot from 22 ft,,62-63,,
4:51.0,,,62-63,,Defensive rebound by K. Bazemore
4:44.0,,,62-63,,K. Bazemore misses 2-pt shot from 18 ft
4:42.0,Defensive rebound by P. Millsap,,62-63,,
4:32.0,P. Millsap misses 3-pt shot from 25 ft,,62-63,,
4:28.0,,,62-63,,Defensive rebound by K. Bazemore
4:21.0,,,62-63,,J. Collins misses 2-pt shot from 2 ft (block by M. Plumlee)
4:21.0,Defensive rebound by W. Barton,,62-63,,
4:21.0,,,62-63,,Personal foul by J. Collins (drawn by W. Barton)
4:21.0,,,62-63,,M. Belinelli enters the game for E. Ilyasova
4:21.0,,,62-63,,M. Muscala enters the game for K. Bazemore
4:21.0,E. Mudiay enters the game for J. Murray,,62-63,,
4:00.0,W. Barton makes 3-pt shot from 25 ft (assist by E. Mudiay),3,65-63,,
3:46.0,,,65-63,,J. Collins misses 2-pt shot from 7 ft
3:43.0,,,65-63,,Offensive rebound by J. Collins
3:42.0,,,65-63,,J. Collins misses 2-pt shot from 3 ft
3:42.0,,,65-63,,Offensive rebound by J. Collins
3:38.0,,,65-63,,J. Collins misses 2-pt shot from 4 ft (block by M. Plumlee)
3:38.0,Defensive rebound by E. Mudiay,,65-63,,
3:33.0,W. Barton misses 2-pt shot from 1 ft,,65-63,,
3:33.0,Offensive rebound by P. Millsap,,65-63,,
3:32.0,Shooting foul by J. Collins (drawn by P. Millsap),,65-63,,
3:32.0,P. Millsap makes free throw 1 of 2,1,66-63,,
3:32.0,P. Millsap misses free throw 2 of 2,,66-63,,
3:29.0,,,66-63,,Defensive rebound by M. Belinelli
3:29.0,,,66-63,,Turnover by M. Belinelli (out of bounds lost ball)
3:23.0,Turnover by W. Barton (traveling),,66-63,,
3:13.0,,,66-66,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by M. Delaney)
2:51.0,P. Millsap makes 2-pt shot from 15 ft,2,68-66,,
2:32.0,,,68-68,2,J. Collins makes 2-pt shot from 14 ft (assist by M. Delaney)
2:32.0,Denver full timeout,,68-68,,
2:32.0,N. Jokic enters the game for P. Millsap,,68-68,,
2:20.0,E. Mudiay makes 2-pt shot from 18 ft,2,70-68,,
2:02.0,,,70-68,,Turnover by T. Waller-Prince (bad pass; steal by N. Jokic)
1:56.0,W. Barton misses 3-pt shot from 25 ft,,70-68,,
1:54.0,Offensive rebound by Team,,70-68,,
1:54.0,,,70-68,,Personal foul by J. Collins (drawn by M. Plumlee)
1:54.0,M. Plumlee makes free throw 1 of 2,1,71-68,,
1:54.0,,,71-68,,D. Schroder enters the game for T. Waller-Prince
1:54.0,,,71-68,,D. Dedmon enters the game for J. Collins
1:54.0,M. Plumlee misses free throw 2 of 2,,71-68,,
1:52.0,,,71-68,,Defensive rebound by M. Muscala
1:29.0,,,71-68,,M. Muscala misses 2-pt shot from 11 ft
1:26.0,Defensive rebound by N. Jokic,,71-68,,
1:21.0,M. Plumlee makes 2-pt shot from 1 ft (assist by E. Mudiay),2,73-68,,
0:56.0,,,73-71,3,M. Belinelli makes 3-pt shot from 26 ft
0:41.0,Shooting foul by D. Dedmon (drawn by M. Plumlee),,73-71,,
0:41.0,M. Plumlee makes free throw 1 of 2,1,74-71,,
0:41.0,M. Plumlee makes free throw 2 of 2,1,75-71,,
0:29.0,,,75-71,,D. Schroder misses 2-pt shot from 6 ft (block by M. Plumlee)
0:25.0,,,75-71,,Offensive rebound by D. Dedmon
0:23.0,,,75-71,,M. Delaney misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by M. Plumlee,,75-71,,
0:21.0,,,75-71,,I. Taylor enters the game for M. Belinelli
0:21.0,,,75-71,,K. Bazemore enters the game for M. Delaney
0:00.0,E. Mudiay misses 2-pt shot from 11 ft (block by M. Muscala),,75-71,,
0:00.0,,,75-71,,Defensive rebound by D. Dedmon
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,75-71,,M. Muscala misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by M. Beasley,,75-71,,
11:31.0,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton),2,77-71,,
11:16.0,,,77-71,,D. Dedmon misses 3-pt shot from 23 ft
11:13.0,Defensive rebound by M. Beasley,,77-71,,
11:02.0,Turnover by K. Faried (lost ball; steal by M. Muscala),,77-71,,
10:51.0,,,77-71,,D. Schroder misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by W. Barton,,77-71,,
10:41.0,W. Barton makes 2-pt shot from 19 ft,2,79-71,,
10:27.0,,,79-71,,Shooting foul by E. Mudiay (drawn by M. Muscala)
10:27.0,,,79-72,1,M. Muscala makes free throw 1 of 2
10:27.0,,,79-73,1,M. Muscala makes free throw 2 of 2
10:16.0,W. Barton misses 2-pt shot from 2 ft,,79-73,,
10:11.0,,,79-73,,Defensive rebound by D. Dedmon
10:01.0,,,79-73,,M. Muscala misses 3-pt shot from 25 ft
9:57.0,,,79-73,,Offensive rebound by K. Bazemore
9:56.0,,,79-75,2,K. Bazemore makes 2-pt shot from 2 ft
9:46.0,N. Jokic misses 2-pt shot from 20 ft,,79-75,,
9:45.0,Offensive rebound by Team,,79-75,,
9:45.0,,,79-75,,Personal foul by D. Dedmon (drawn by K. Faried)
9:39.0,N. Jokic misses 2-pt shot from 20 ft,,79-75,,
9:36.0,Offensive rebound by Team,,79-75,,
9:30.0,E. Mudiay makes 2-pt shot from 2 ft,2,81-75,,
9:08.0,,,81-75,,D. Dedmon misses 2-pt shot from 12 ft
9:02.0,Defensive rebound by M. Beasley,,81-75,,
8:47.0,N. Jokic makes 2-pt shot from 3 ft (assist by E. Mudiay),2,83-75,,
8:46.0,,,83-75,,Atlanta full timeout
8:46.0,,,83-75,,E. Ilyasova enters the game for M. Muscala
8:36.0,,,83-77,2,D. Schroder makes 2-pt shot from 1 ft
8:16.0,E. Mudiay misses 2-pt shot from 1 ft,,83-77,,
8:12.0,,,83-77,,Defensive rebound by E. Ilyasova
7:57.0,,,83-80,3,K. Bazemore makes 3-pt shot from 23 ft (assist by E. Ilyasova)
7:40.0,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic),2,85-80,,
7:20.0,,,85-83,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Schroder)
7:06.0,Shooting foul by D. Dedmon (drawn by E. Mudiay),,85-83,,
7:06.0,E. Mudiay makes free throw 1 of 2,1,86-83,,
7:06.0,,,86-83,,M. Delaney enters the game for M. Belinelli
7:06.0,,,86-83,,T. Waller-Prince enters the game for D. Dedmon
7:06.0,,,86-83,,M. Muscala enters the game for D. Schroder
7:06.0,G. Harris enters the game for M. Beasley,,86-83,,
7:06.0,E. Mudiay makes free throw 2 of 2,1,87-83,,
6:44.0,,,87-83,,K. Bazemore misses 2-pt shot from 5 ft
6:41.0,Defensive rebound by G. Harris,,87-83,,
6:36.0,W. Barton misses 3-pt shot from 24 ft,,87-83,,
6:34.0,Offensive rebound by W. Barton,,87-83,,
6:15.0,W. Barton misses 3-pt shot from 25 ft,,87-83,,
6:13.0,Offensive rebound by Team,,87-83,,
6:13.0,,,87-83,,Personal foul by M. Muscala (drawn by N. Jokic)
6:13.0,M. Plumlee enters the game for N. Jokic,,87-83,,
6:13.0,P. Millsap enters the game for K. Faried,,87-83,,
6:07.0,W. Barton makes 2-pt shot from 3 ft (assist by M. Plumlee),2,89-83,,
5:51.0,Personal foul by M. Plumlee (drawn by M. Muscala),,89-83,,
5:44.0,,,89-83,,Turnover by K. Bazemore (bad pass; steal by G. Harris)
5:37.0,W. Barton makes 2-pt shot from 1 ft (assist by M. Plumlee),2,91-83,,
5:37.0,,,91-83,,Atlanta full timeout
5:37.0,,,91-83,,M. Belinelli enters the game for M. Delaney
5:37.0,,,91-83,,D. Schroder enters the game for K. Bazemore
5:27.0,,,91-85,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by D. Schroder)
5:08.0,W. Barton makes 2-pt shot from 11 ft (assist by M. Plumlee),2,93-85,,
4:46.0,,,93-85,,D. Schroder misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by P. Millsap,,93-85,,
4:19.0,Turnover by Team (shot clock),,93-85,,
4:19.0,,,93-85,,D. Dedmon enters the game for M. Muscala
4:14.0,,,93-85,,Shooting foul by P. Millsap (drawn by D. Schroder)
