time,Dallas,pts.away,score,pts.home,LA Lakers
3:45.0,Defensive rebound by N. Noel,,25-21,,
3:39.0,Shooting foul by J. Randle (drawn by N. Noel),,25-21,,
3:39.0,N. Noel makes free throw 1 of 2,1,26-21,,
3:39.0,,,26-21,,T. Wear enters the game for L. Ball
3:39.0,,,26-21,,T. Ennis enters the game for J. Randle
3:39.0,A. Harrison enters the game for D. Smith,,26-21,,
3:39.0,Y. Ferrell enters the game for D. Finney-Smith,,26-21,,
3:39.0,N. Noel misses free throw 2 of 2,,26-21,,
3:36.0,,,26-21,,Defensive rebound by K. Kuzma
3:18.0,,,26-23,2,B. Lopez makes 2-pt shot from 6 ft
3:03.0,H. Barnes misses 3-pt shot from 25 ft,,26-23,,
2:59.0,,,26-23,,Defensive rebound by T. Ennis
2:51.0,,,26-25,2,K. Kuzma makes 2-pt shot from 4 ft
2:32.0,H. Barnes makes 2-pt shot from 15 ft,2,28-25,,
2:16.0,,,28-27,2,T. Ennis makes 2-pt shot from 1 ft (assist by K. Kuzma)
1:52.0,H. Barnes misses 3-pt shot from 25 ft,,28-27,,
1:48.0,,,28-27,,Defensive rebound by K. Caldwell-Pope
1:40.0,,,28-29,2,B. Lopez makes 2-pt shot from 7 ft (assist by K. Caldwell-Pope)
1:38.0,Dallas full timeout,,28-29,,
1:38.0,,,28-29,,A. Caruso enters the game for K. Caldwell-Pope
1:38.0,D. McDermott enters the game for H. Barnes,,28-29,,
1:24.0,M. Kleber misses 3-pt shot from 25 ft,,28-29,,
1:18.0,,,28-29,,Defensive rebound by T. Wear
0:59.0,,,28-32,3,K. Kuzma makes 3-pt shot from 25 ft (assist by B. Lopez)
0:47.0,D. McDermott makes 2-pt shot from 6 ft (assist by Y. Ferrell),2,30-32,,
0:36.0,,,30-32,,K. Kuzma misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by D. McDermott,,30-32,,
0:28.0,Y. Ferrell makes 2-pt shot from 8 ft,2,32-32,,
0:11.0,,,32-32,,Turnover by T. Ennis (lost ball; steal by M. Kleber)
0:08.0,M. Kleber makes 2-pt shot from 1 ft,2,34-32,,
0:01.0,,,34-32,,Shooting foul by A. Harrison (drawn by K. Kuzma)
0:01.0,,,34-32,,K. Kuzma misses free throw 1 of 2
0:01.0,,,34-32,,Offensive rebound by Team
0:01.0,,,34-32,,K. Kuzma misses free throw 2 of 2
0:00.0,,,34-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Y. Ferrell misses 3-pt shot from 24 ft,,34-32,,
11:43.0,,,34-32,,Defensive rebound by T. Wear
11:36.0,,,34-32,,K. Kuzma misses 3-pt shot from 23 ft
11:31.0,Defensive rebound by M. Kleber,,34-32,,
11:22.0,,,34-32,,Personal foul by T. Ennis (drawn by Y. Ferrell)
11:10.0,D. McDermott misses 3-pt shot from 27 ft,,34-32,,
11:06.0,,,34-32,,Defensive rebound by I. Zubac
10:57.0,,,34-32,,T. Wear misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by Y. Ferrell,,34-32,,
10:47.0,,,34-32,,Shooting block foul by I. Zubac (drawn by Y. Ferrell)
10:47.0,Y. Ferrell misses free throw 1 of 2,,34-32,,
10:47.0,Offensive rebound by Team,,34-32,,
10:47.0,Y. Ferrell makes free throw 2 of 2,1,35-32,,
10:32.0,,,35-35,3,T. Wear makes 3-pt shot from 25 ft
10:04.0,N. Noel misses 2-pt shot from 13 ft,,35-35,,
10:01.0,,,35-35,,Defensive rebound by T. Ennis
9:55.0,,,35-35,,Turnover by K. Kuzma (lost ball; steal by M. Kleber)
9:40.0,Y. Ferrell makes 2-pt shot from 17 ft,2,37-35,,
9:27.0,,,37-35,,Turnover by K. Kuzma (traveling)
9:15.0,D. McDermott misses 2-pt shot from 4 ft (block by A. Caruso),,37-35,,
9:15.0,,,37-35,,Defensive rebound by Team
9:05.0,,,37-37,2,T. Wear makes 2-pt shot from 15 ft (assist by A. Caruso)
8:52.0,N. Noel makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,39-37,,
8:36.0,,,39-37,,A. Caruso misses 3-pt shot from 25 ft
8:35.0,,,39-37,,Offensive rebound by Team
8:35.0,,,39-37,,B. Ingram enters the game for A. Caruso
8:35.0,,,39-37,,L. Ball enters the game for T. Ennis
8:29.0,,,39-39,2,B. Ingram makes 2-pt shot from 19 ft (assist by I. Zubac)
8:04.0,Y. Ferrell misses 2-pt shot from 22 ft,,39-39,,
8:01.0,,,39-39,,Defensive rebound by B. Ingram
7:57.0,,,39-39,,Turnover by B. Ingram (traveling)
7:57.0,D. Powell enters the game for N. Noel,,39-39,,
7:57.0,D. Nowitzki enters the game for M. Kleber,,39-39,,
7:42.0,Turnover by D. McDermott (lost ball; steal by B. Ingram),,39-39,,
7:38.0,,,39-39,,L. Ball misses 2-pt shot from 1 ft
7:38.0,,,39-39,,Offensive rebound by B. Ingram
7:38.0,,,39-39,,Shooting foul by A. Harrison (drawn by B. Ingram)
7:38.0,,,39-39,,B. Ingram misses free throw 1 of 2
7:38.0,,,39-39,,Offensive rebound by Team
7:38.0,,,39-39,,B. Lopez enters the game for T. Wear
7:38.0,,,39-39,,J. Randle enters the game for I. Zubac
7:38.0,,,39-39,,B. Ingram misses free throw 2 of 2
7:35.0,Defensive rebound by D. Nowitzki,,39-39,,
7:29.0,D. Nowitzki misses 3-pt shot from 25 ft,,39-39,,
7:24.0,Offensive rebound by D. Powell,,39-39,,
7:23.0,A. Harrison misses 3-pt shot from 24 ft,,39-39,,
7:20.0,,,39-39,,Defensive rebound by J. Randle
7:14.0,,,39-39,,B. Ingram misses 2-pt shot from 14 ft
7:08.0,,,39-39,,Offensive rebound by J. Randle
7:06.0,,,39-41,2,J. Randle makes 2-pt shot from 2 ft
6:56.0,Y. Ferrell makes 2-pt shot from 12 ft,2,41-41,,
6:40.0,,,41-44,3,B. Ingram makes 3-pt shot from 24 ft (assist by L. Ball)
6:17.0,Y. Ferrell makes 3-pt shot from 25 ft,3,44-44,,
5:57.0,,,44-44,,K. Kuzma misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by D. McDermott,,44-44,,
5:45.0,Y. Ferrell misses 2-pt shot from 2 ft,,44-44,,
5:42.0,,,44-44,,Defensive rebound by B. Lopez
5:37.0,,,44-44,,Turnover by B. Ingram (bad pass; steal by D. Powell)
5:31.0,D. McDermott misses 3-pt shot from 23 ft,,44-44,,
5:26.0,,,44-44,,Defensive rebound by B. Ingram
5:26.0,Personal take foul by Y. Ferrell (drawn by B. Ingram),,44-44,,
5:26.0,,,44-44,,LA Lakers full timeout
5:26.0,,,44-44,,K. Caldwell-Pope enters the game for K. Kuzma
5:26.0,D. Finney-Smith enters the game for A. Harrison,,44-44,,
5:26.0,D. Smith enters the game for Y. Ferrell,,44-44,,
5:26.0,H. Barnes enters the game for D. McDermott,,44-44,,
5:16.0,,,44-44,,K. Caldwell-Pope misses 2-pt shot from 20 ft
5:12.0,Defensive rebound by D. Nowitzki,,44-44,,
5:07.0,Turnover by D. Smith (bad pass; steal by J. Randle),,44-44,,
5:00.0,,,44-44,,L. Ball misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by D. Powell,,44-44,,
4:50.0,D. Smith misses 2-pt shot from 18 ft,,44-44,,
4:46.0,,,44-44,,Defensive rebound by K. Caldwell-Pope
4:41.0,,,44-44,,Shooting foul by D. Nowitzki (drawn by B. Lopez)
4:41.0,,,44-45,1,B. Lopez makes free throw 1 of 2
4:41.0,,,44-46,1,B. Lopez makes free throw 2 of 2
4:21.0,H. Barnes makes 2-pt shot from 2 ft,2,46-46,,
4:21.0,Shooting foul by B. Ingram (drawn by H. Barnes),,46-46,,
4:21.0,H. Barnes makes free throw 1 of 1,1,47-46,,
4:07.0,,,47-46,,B. Lopez misses 2-pt shot from 9 ft
4:03.0,Defensive rebound by H. Barnes,,47-46,,
3:56.0,D. Powell misses 3-pt shot from 24 ft,,47-46,,
3:51.0,,,47-46,,Defensive rebound by K. Caldwell-Pope
3:46.0,,,47-46,,Shooting foul by D. Finney-Smith (drawn by K. Caldwell-Pope)
3:46.0,,,47-47,1,K. Caldwell-Pope makes free throw 1 of 2
3:46.0,,,47-48,1,K. Caldwell-Pope makes free throw 2 of 2
3:29.0,Turnover by D. Finney-Smith (out of bounds lost ball),,47-48,,
3:29.0,,,47-48,,K. Kuzma enters the game for B. Ingram
3:25.0,Personal take foul by D. Smith (drawn by L. Ball),,47-48,,
3:25.0,,,47-48,,L. Ball misses free throw 1 of 2
3:25.0,,,47-48,,Offensive rebound by Team
3:25.0,,,47-49,1,L. Ball makes free throw 2 of 2
3:10.0,D. Smith misses 2-pt shot from 8 ft,,47-49,,
3:06.0,Offensive rebound by D. Smith,,47-49,,
2:48.0,D. Smith makes 3-pt shot from 24 ft,3,50-49,,
2:32.0,,,50-49,,B. Lopez misses 2-pt shot from 5 ft
2:25.0,,,50-49,,Offensive rebound by L. Ball
2:22.0,,,50-49,,Turnover by K. Caldwell-Pope (lost ball; steal by D. Finney-Smith)
2:13.0,D. Finney-Smith misses 3-pt shot from 22 ft,,50-49,,
2:09.0,,,50-49,,Defensive rebound by B. Lopez
2:04.0,,,50-51,2,K. Kuzma makes 2-pt shot from 1 ft (assist by L. Ball)
1:42.0,H. Barnes makes 2-pt shot from 1 ft,2,52-51,,
1:26.0,,,52-51,,B. Lopez misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by H. Barnes,,52-51,,
1:08.0,Shooting foul by L. Ball (drawn by D. Nowitzki),,52-51,,
1:08.0,Dallas full timeout,,52-51,,
1:08.0,D. Nowitzki makes free throw 1 of 2,1,53-51,,
1:08.0,D. Nowitzki makes free throw 2 of 2,1,54-51,,
0:56.0,Personal foul by D. Finney-Smith (drawn by B. Lopez),,54-51,,
0:56.0,,,54-52,1,B. Lopez makes free throw 1 of 2
0:56.0,,,54-53,1,B. Lopez makes free throw 2 of 2
0:48.0,Turnover by D. Finney-Smith (bad pass),,54-53,,
0:33.0,,,54-53,,B. Lopez misses 2-pt shot from 4 ft (block by D. Nowitzki)
0:33.0,,,54-53,,Offensive rebound by Team
0:30.0,,,54-53,,Turnover by K. Caldwell-Pope (step out of bounds)
0:14.0,H. Barnes makes 2-pt shot from 8 ft,2,56-53,,
0:03.0,,,56-55,2,J. Randle makes 2-pt shot from 2 ft
0:00.0,D. Smith misses 2-pt shot from 17 ft,,56-55,,
0:00.0,Offensive rebound by Team,,56-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by D. Finney-Smith),2,58-55,,
11:24.0,,,58-57,2,B. Ingram makes 2-pt shot from 22 ft (assist by B. Lopez)
11:12.0,H. Barnes makes 3-pt shot from 23 ft (assist by D. Finney-Smith),3,61-57,,
10:56.0,,,61-57,,L. Ball misses 3-pt shot from 22 ft
10:51.0,Defensive rebound by D. Nowitzki,,61-57,,
10:45.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Smith),2,63-57,,
10:26.0,,,63-57,,B. Lopez misses 2-pt shot from 9 ft
10:23.0,Defensive rebound by H. Barnes,,63-57,,
10:16.0,D. Smith misses 3-pt shot from 30 ft,,63-57,,
10:12.0,,,63-57,,Defensive rebound by B. Ingram
10:11.0,,,63-59,2,L. Ball makes 2-pt shot at rim (assist by B. Ingram)
9:59.0,,,63-59,,Personal foul by B. Ingram (drawn by D. Smith)
9:47.0,D. Finney-Smith misses 3-pt shot from 26 ft,,63-59,,
9:45.0,,,63-59,,Defensive rebound by B. Ingram
9:39.0,,,63-59,,Shooting foul by D. Powell (drawn by B. Ingram)
9:39.0,,,63-60,1,B. Ingram makes free throw 1 of 2
9:39.0,,,63-61,1,B. Ingram makes free throw 2 of 2
9:26.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Smith),3,66-61,,
9:11.0,,,66-61,,Turnover by L. Ball (lost ball; steal by H. Barnes)
9:05.0,D. Nowitzki misses 3-pt shot from 25 ft,,66-61,,
9:02.0,,,66-61,,Defensive rebound by B. Ingram
8:56.0,,,66-61,,B. Ingram misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by D. Nowitzki,,66-61,,
8:42.0,H. Barnes misses 3-pt shot from 22 ft,,66-61,,
8:39.0,,,66-61,,Defensive rebound by K. Caldwell-Pope
8:33.0,,,66-61,,J. Randle misses 2-pt shot from 5 ft
8:28.0,Defensive rebound by D. Powell,,66-61,,
8:20.0,D. Smith misses 3-pt shot from 24 ft,,66-61,,
8:15.0,,,66-61,,Defensive rebound by J. Randle
8:10.0,,,66-61,,Turnover by K. Caldwell-Pope (bad pass; steal by D. Powell)
8:06.0,H. Barnes makes 2-pt shot at rim (assist by D. Smith),2,68-61,,
8:06.0,,,68-61,,LA Lakers full timeout
8:06.0,N. Noel enters the game for D. Powell,,68-61,,
7:57.0,,,68-61,,B. Ingram misses 2-pt shot from 22 ft
7:53.0,Defensive rebound by D. Finney-Smith,,68-61,,
7:38.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Smith),3,71-61,,
7:27.0,,,71-61,,B. Ingram misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by D. Nowitzki,,71-61,,
7:20.0,D. Smith misses 2-pt shot from 9 ft (block by B. Lopez),,71-61,,
7:19.0,,,71-61,,Defensive rebound by B. Lopez
7:14.0,,,71-61,,Shooting foul by D. Nowitzki (drawn by J. Randle)
7:14.0,,,71-61,,J. Randle misses free throw 1 of 2
7:14.0,,,71-61,,Offensive rebound by Team
7:14.0,,,71-61,,J. Randle misses free throw 2 of 2
7:11.0,Defensive rebound by D. Nowitzki,,71-61,,
6:55.0,,,71-61,,K. Kuzma enters the game for B. Ingram
6:49.0,D. Smith misses 2-pt shot from 1 ft,,71-61,,
6:49.0,,,71-61,,Defensive rebound by Team
6:39.0,,,71-61,,Turnover by K. Caldwell-Pope (bad pass)
6:25.0,H. Barnes misses 2-pt shot from 7 ft,,71-61,,
6:22.0,,,71-61,,Defensive rebound by K. Caldwell-Pope
6:06.0,,,71-61,,B. Lopez misses 3-pt shot from 23 ft
6:03.0,,,71-61,,Offensive rebound by L. Ball
5:47.0,,,71-61,,K. Kuzma misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by N. Noel,,71-61,,
5:31.0,H. Barnes makes 3-pt shot from 22 ft (assist by D. Smith),3,74-61,,
5:16.0,,,74-63,2,L. Ball makes 2-pt shot from 23 ft
5:00.0,H. Barnes misses 3-pt shot from 23 ft,,74-63,,
4:56.0,,,74-63,,Defensive rebound by J. Randle
4:52.0,,,74-66,3,B. Lopez makes 3-pt shot from 23 ft (assist by J. Randle)
4:51.0,Dallas full timeout,,74-66,,
4:51.0,,,74-66,,A. Caruso enters the game for L. Ball
4:51.0,A. Harrison enters the game for D. Finney-Smith,,74-66,,
4:51.0,M. Kleber enters the game for D. Nowitzki,,74-66,,
4:40.0,A. Harrison misses 3-pt shot from 28 ft,,74-66,,
4:36.0,,,74-66,,Defensive rebound by B. Lopez
4:26.0,Shooting block foul by D. Smith (drawn by A. Caruso),,74-66,,
4:26.0,,,74-66,,A. Caruso misses free throw 1 of 2
4:26.0,,,74-66,,Offensive rebound by Team
4:26.0,,,74-67,1,A. Caruso makes free throw 2 of 2
4:06.0,Turnover by H. Barnes (lost ball; steal by K. Caldwell-Pope),,74-67,,
4:03.0,,,74-69,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by A. Caruso)
4:03.0,,,74-69,,Shooting foul by D. Smith (drawn by K. Caldwell-Pope)
4:03.0,,,74-70,1,K. Caldwell-Pope makes free throw 1 of 1
3:42.0,H. Barnes misses 2-pt shot from 5 ft,,74-70,,
3:39.0,,,74-70,,Defensive rebound by A. Caruso
3:35.0,,,74-70,,K. Kuzma misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by N. Noel,,74-70,,
3:21.0,Shooting foul by B. Lopez (drawn by D. Smith),,74-70,,
3:21.0,D. Smith misses free throw 1 of 2,,74-70,,
3:21.0,Offensive rebound by Team,,74-70,,
3:21.0,D. McDermott enters the game for H. Barnes,,74-70,,
3:21.0,D. Smith misses free throw 2 of 2,,74-70,,
3:20.0,,,74-70,,Defensive rebound by Team
3:20.0,Y. Ferrell enters the game for D. Smith,,74-70,,
3:11.0,,,74-72,2,B. Lopez makes 2-pt shot from 3 ft (assist by A. Caruso)
2:43.0,Turnover by Team (shot clock),,74-72,,
2:33.0,Personal foul by D. McDermott (drawn by J. Randle),,74-72,,
2:33.0,,,74-73,1,J. Randle makes free throw 1 of 2
2:33.0,,,74-73,,J. Randle misses free throw 2 of 2
2:31.0,Defensive rebound by M. Kleber,,74-73,,
2:14.0,A. Harrison misses 3-pt shot from 22 ft,,74-73,,
2:10.0,,,74-73,,Defensive rebound by J. Randle
2:05.0,Personal block foul by N. Noel (drawn by A. Caruso),,74-73,,
2:05.0,,,74-74,1,A. Caruso makes free throw 1 of 2
2:05.0,,,74-75,1,A. Caruso makes free throw 2 of 2
1:50.0,Y. Ferrell misses 3-pt shot from 24 ft,,74-75,,
1:45.0,,,74-75,,Defensive rebound by K. Caldwell-Pope
1:39.0,,,74-77,2,J. Randle makes 2-pt shot from 5 ft
1:27.0,,,74-77,,Personal foul by K. Kuzma (drawn by A. Harrison)
1:26.0,,,74-77,,Personal foul by A. Caruso (drawn by Y. Ferrell)
1:26.0,Y. Ferrell makes free throw 1 of 2,1,75-77,,
1:26.0,Y. Ferrell makes free throw 2 of 2,1,76-77,,
1:14.0,,,76-79,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Lopez)
0:59.0,M. Kleber makes 3-pt shot from 26 ft (assist by A. Harrison),3,79-79,,
0:48.0,,,79-79,,Shooting foul by N. Noel (drawn by J. Randle)
0:48.0,,,79-80,1,J. Randle makes free throw 1 of 2
0:48.0,,,79-81,1,J. Randle makes free throw 2 of 2
0:35.0,Shooting foul by B. Lopez (drawn by M. Kleber),,79-81,,
0:35.0,M. Kleber makes free throw 1 of 2,1,80-81,,
0:35.0,,,80-81,,T. Wear enters the game for B. Lopez
0:35.0,M. Kleber makes free throw 2 of 2,1,81-81,,
0:25.0,,,81-81,,Shooting foul by A. Harrison (drawn by K. Kuzma)
0:25.0,,,81-82,1,K. Kuzma makes free throw 1 of 2
0:25.0,,,81-82,,K. Kuzma misses free throw 2 of 2
0:22.0,Defensive rebound by M. Kleber,,81-82,,
0:11.0,M. Kleber misses 3-pt shot from 25 ft,,81-82,,
0:07.0,,,81-82,,Defensive rebound by J. Randle
0:02.0,,,81-82,,A. Caruso misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by N. Noel,,81-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,81-82,,K. Caldwell-Pope misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by M. Kleber,,81-82,,
11:21.0,A. Harrison misses 3-pt shot from 27 ft,,81-82,,
11:15.0,Offensive rebound by N. Noel,,81-82,,
11:15.0,N. Noel makes 2-pt shot at rim,2,83-82,,
11:06.0,,,83-82,,K. Caldwell-Pope misses 2-pt shot from 4 ft
11:05.0,Defensive rebound by Team,,83-82,,
11:05.0,,,83-82,,T. Ennis enters the game for K. Caldwell-Pope
10:44.0,D. McDermott misses 2-pt shot from 19 ft (block by I. Zubac),,83-82,,
10:40.0,,,83-82,,Defensive rebound by K. Kuzma
10:34.0,,,83-82,,T. Ennis misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by Y. Ferrell,,83-82,,
10:27.0,,,83-82,,Personal foul by A. Caruso (drawn by Y. Ferrell)
10:27.0,K. Collinsworth enters the game for A. Harrison,,83-82,,
10:17.0,Y. Ferrell misses 2-pt shot from 22 ft,,83-82,,
10:13.0,,,83-82,,Defensive rebound by I. Zubac
10:09.0,,,83-82,,Turnover by A. Caruso (lost ball; steal by N. Noel)
10:00.0,Turnover by Y. Ferrell (bad pass; steal by I. Zubac),,83-82,,
9:56.0,,,83-82,,A. Caruso misses 3-pt shot from 26 ft
9:53.0,Defensive rebound by Team,,83-82,,
9:53.0,,,83-82,,Loose ball foul by K. Kuzma (drawn by K. Collinsworth)
9:32.0,Turnover by N. Noel (bad pass; steal by T. Ennis),,83-82,,
9:22.0,,,83-82,,A. Caruso misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by K. Collinsworth,,83-82,,
9:03.0,Y. Ferrell misses 2-pt shot from 1 ft (block by I. Zubac),,83-82,,
8:56.0,Offensive rebound by M. Kleber,,83-82,,
8:43.0,K. Collinsworth misses 2-pt shot from 6 ft,,83-82,,
8:39.0,,,83-82,,Defensive rebound by I. Zubac
8:36.0,,,83-84,2,A. Caruso makes 2-pt shot from 2 ft (assist by K. Kuzma)
8:36.0,Violation by N. Noel (def goaltending),,83-84,,
8:19.0,Turnover by N. Noel (bad pass),,83-84,,
7:59.0,,,83-84,,K. Kuzma misses 3-pt shot from 27 ft
7:55.0,Defensive rebound by N. Noel,,83-84,,
7:50.0,Y. Ferrell misses 2-pt shot from 2 ft (block by K. Kuzma),,83-84,,
7:47.0,,,83-84,,Defensive rebound by T. Ennis
7:43.0,,,83-87,3,T. Ennis makes 3-pt shot from 23 ft (assist by K. Kuzma)
7:41.0,Dallas full timeout,,83-87,,
7:41.0,,,83-87,,B. Lopez enters the game for A. Caruso
7:41.0,,,83-87,,B. Ingram enters the game for I. Zubac
7:41.0,J. Motley enters the game for N. Noel,,83-87,,
7:30.0,D. McDermott makes 2-pt shot from 19 ft (assist by Y. Ferrell),2,85-87,,
7:07.0,,,85-90,3,K. Kuzma makes 3-pt shot from 27 ft (assist by T. Wear)
6:46.0,Shooting foul by T. Wear (drawn by J. Motley),,85-90,,
6:46.0,J. Motley misses free throw 1 of 2,,85-90,,
6:46.0,Offensive rebound by Team,,85-90,,
6:46.0,,,85-90,,K. Caldwell-Pope enters the game for T. Ennis
6:46.0,J. Motley makes free throw 2 of 2,1,86-90,,
6:32.0,,,86-90,,K. Kuzma misses 3-pt shot from 26 ft
6:28.0,Defensive rebound by J. Motley,,86-90,,
6:13.0,J. Motley misses 2-pt shot from 6 ft,,86-90,,
6:11.0,,,86-90,,Defensive rebound by K. Kuzma
6:02.0,,,86-90,,B. Lopez misses 2-pt shot from 10 ft
5:57.0,Defensive rebound by K. Collinsworth,,86-90,,
5:52.0,Y. Ferrell misses 3-pt shot from 25 ft,,86-90,,
5:49.0,,,86-90,,Defensive rebound by B. Lopez
5:45.0,,,86-92,2,K. Kuzma makes 2-pt shot from 1 ft
5:18.0,Offensive charge foul by D. McDermott (drawn by K. Kuzma),,86-92,,
5:18.0,Turnover by D. McDermott (offensive foul),,86-92,,
5:18.0,,,86-92,,J. Randle enters the game for T. Wear
5:18.0,A. Harrison enters the game for Y. Ferrell,,86-92,,
5:18.0,J. Jones enters the game for D. McDermott,,86-92,,
5:02.0,Personal foul by J. Motley (drawn by B. Lopez),,86-92,,
5:02.0,,,86-92,,LA Lakers full timeout
4:53.0,,,86-92,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:49.0,,,86-92,,Offensive rebound by J. Randle
4:37.0,,,86-92,,Shooting foul by J. Motley (drawn by B. Ingram)
4:37.0,,,86-93,1,B. Ingram makes free throw 1 of 2
4:37.0,,,86-94,1,B. Ingram makes free throw 2 of 2
