time,Washington,pts.away,score,pts.home,Memphis
8:09.0,M. Morris misses 2-pt shot at rim,,5-6,,
8:04.0,,,5-6,,Defensive rebound by J. Green
7:54.0,,,5-9,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans)
7:38.0,M. Morris makes 2-pt shot from 10 ft (assist by J. Wall),2,7-9,,
7:22.0,,,7-12,3,T. Evans makes 3-pt shot from 25 ft (assist by M. Gasol)
7:02.0,,,7-12,,Def 3 sec tech foul by M. Gasol
7:02.0,B. Beal makes technical free throw,1,8-12,,
7:02.0,,,8-12,,J. Martin enters the game for J. Green
7:02.0,,,8-12,,J. Ennis enters the game for W. Selden
6:54.0,M. Gortat misses 2-pt shot from 19 ft,,8-12,,
6:51.0,,,8-12,,Defensive rebound by J. Ennis
6:43.0,,,8-14,2,T. Evans makes 2-pt shot from 1 ft
6:32.0,J. Wall makes 2-pt shot from 9 ft,2,10-14,,
6:13.0,,,10-14,,J. Ennis misses 2-pt shot from 22 ft
6:11.0,Defensive rebound by M. Morris,,10-14,,
6:04.0,M. Gortat misses 2-pt shot from 1 ft (block by M. Gasol),,10-14,,
6:00.0,,,10-14,,Defensive rebound by M. Gasol
5:52.0,,,10-14,,J. Martin misses 2-pt shot from 15 ft
5:48.0,Defensive rebound by M. Gortat,,10-14,,
5:38.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall),2,12-14,,
5:38.0,,,12-14,,Memphis full timeout
5:38.0,,,12-14,,M. Chalmers enters the game for T. Evans
5:26.0,,,12-17,3,M. Gasol makes 3-pt shot from 26 ft (assist by J. Martin)
5:05.0,,,12-17,,Def 3 sec tech foul by J. Martin
5:05.0,B. Beal makes technical free throw,1,13-17,,
4:58.0,O. Porter misses 2-pt shot from 19 ft,,13-17,,
4:54.0,Offensive rebound by M. Gortat,,13-17,,
4:52.0,J. Wall makes 3-pt shot from 26 ft,3,16-17,,
4:31.0,,,16-17,,M. Gasol misses 2-pt shot from 21 ft
4:29.0,Defensive rebound by B. Beal,,16-17,,
4:25.0,J. Wall makes 2-pt shot from 2 ft,2,18-17,,
4:04.0,,,18-17,,M. Gasol misses 2-pt shot from 9 ft
4:01.0,Defensive rebound by M. Morris,,18-17,,
3:55.0,M. Gortat misses 2-pt shot from 9 ft,,18-17,,
3:52.0,,,18-17,,Defensive rebound by D. Brooks
3:47.0,,,18-17,,Offensive foul by D. Brooks (drawn by M. Gortat)
3:47.0,,,18-17,,Turnover by D. Brooks (offensive foul)
3:47.0,,,18-17,,K. Simmons enters the game for D. Brooks
3:47.0,M. Scott enters the game for M. Morris,,18-17,,
3:47.0,K. Oubre enters the game for O. Porter,,18-17,,
3:30.0,B. Beal makes 2-pt shot from 20 ft,2,20-17,,
3:16.0,,,20-17,,Turnover by K. Simmons (traveling)
3:16.0,Washington full timeout,,20-17,,
3:16.0,,,20-17,,D. Davis enters the game for M. Gasol
3:16.0,I. Mahinmi enters the game for M. Gortat,,20-17,,
2:57.0,M. Scott makes 3-pt shot from 23 ft (assist by B. Beal),3,23-17,,
2:42.0,,,23-19,2,K. Simmons makes 2-pt shot at rim (assist by M. Chalmers)
2:24.0,I. Mahinmi misses 2-pt shot from 5 ft,,23-19,,
2:20.0,,,23-19,,Defensive rebound by D. Davis
2:19.0,,,23-19,,Shooting foul by B. Beal (drawn by J. Ennis)
2:19.0,,,23-20,1,J. Ennis makes free throw 1 of 2
2:19.0,T. Satoransky enters the game for J. Wall,,23-20,,
2:19.0,,,23-20,,J. Ennis misses free throw 2 of 2
2:16.0,Defensive rebound by K. Oubre,,23-20,,
2:07.0,B. Beal makes 2-pt shot from 17 ft (assist by T. Satoransky),2,25-20,,
1:45.0,,,25-22,2,J. Martin makes 2-pt shot from 9 ft
1:31.0,B. Beal misses 2-pt shot from 9 ft,,25-22,,
1:29.0,Offensive rebound by B. Beal,,25-22,,
1:27.0,B. Beal misses 2-pt shot from 1 ft,,25-22,,
1:27.0,Offensive rebound by I. Mahinmi,,25-22,,
1:20.0,B. Beal makes 2-pt shot from 5 ft,2,27-22,,
1:17.0,Personal foul by K. Oubre (drawn by M. Chalmers),,27-22,,
1:13.0,,,27-22,,Turnover by D. Davis (bad pass; steal by T. Satoransky)
1:10.0,K. Oubre makes 2-pt shot at rim (assist by T. Satoransky),2,29-22,,
1:10.0,Shooting foul by D. Davis (drawn by K. Oubre),,29-22,,
1:10.0,J. Meeks enters the game for B. Beal,,29-22,,
1:10.0,K. Oubre makes free throw 1 of 1,1,30-22,,
0:56.0,,,30-24,2,M. Chalmers makes 2-pt shot from 21 ft (assist by D. Davis)
0:35.0,K. Oubre misses 2-pt shot from 1 ft,,30-24,,
0:33.0,Offensive rebound by I. Mahinmi,,30-24,,
0:33.0,I. Mahinmi makes 2-pt shot at rim,2,32-24,,
0:17.0,,,32-24,,M. Chalmers misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by T. Satoransky,,32-24,,
0:03.0,,,32-24,,Personal foul by K. Simmons (drawn by T. Satoransky)
0:03.0,T. Satoransky misses free throw 1 of 2,,32-24,,
0:03.0,Offensive rebound by Team,,32-24,,
0:03.0,,,32-24,,W. Selden enters the game for M. Chalmers
0:03.0,,,32-24,,B. Wright enters the game for D. Davis
0:03.0,B. Beal enters the game for K. Oubre,,32-24,,
0:03.0,T. Satoransky makes free throw 2 of 2,1,33-24,,
0:00.0,,,33-24,,W. Selden misses 2-pt shot from 13 ft
0:00.0,,,33-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,33-24,,Turnover by W. Selden (traveling)
11:36.0,K. Oubre makes 2-pt shot at rim (assist by I. Mahinmi),2,35-24,,
11:15.0,,,35-24,,T. Evans misses 3-pt shot from 27 ft
11:11.0,,,35-24,,Offensive rebound by B. Wright
10:58.0,,,35-24,,W. Selden misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by I. Mahinmi,,35-24,,
10:45.0,J. Meeks misses 2-pt shot from 6 ft,,35-24,,
10:42.0,,,35-24,,Defensive rebound by W. Selden
10:40.0,,,35-24,,Shooting foul by I. Mahinmi (drawn by J. Green)
10:40.0,,,35-24,,J. Green misses free throw 1 of 2
10:40.0,,,35-24,,Offensive rebound by Team
10:40.0,,,35-25,1,J. Green makes free throw 2 of 2
10:17.0,T. Satoransky misses 2-pt shot from 10 ft,,35-25,,
10:13.0,,,35-25,,Defensive rebound by B. Wright
10:09.0,Personal foul by K. Oubre (drawn by J. Green),,35-25,,
10:02.0,,,35-25,,W. Selden misses 2-pt shot from 9 ft
10:01.0,,,35-25,,Offensive rebound by Team
10:01.0,Loose ball foul by M. Scott (drawn by J. Green),,35-25,,
9:48.0,,,35-25,,T. Evans misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by I. Mahinmi,,35-25,,
9:37.0,M. Scott makes 2-pt shot from 19 ft (assist by J. Meeks),2,37-25,,
9:24.0,,,37-25,,Shooting foul by I. Mahinmi (drawn by W. Selden)
9:24.0,,,37-26,1,W. Selden makes free throw 1 of 2
9:24.0,,,37-26,,W. Selden misses free throw 2 of 2
9:22.0,Defensive rebound by I. Mahinmi,,37-26,,
9:12.0,Offensive foul by M. Scott (drawn by T. Evans),,37-26,,
9:12.0,Turnover by M. Scott (offensive foul),,37-26,,
9:00.0,,,37-28,2,T. Evans makes 2-pt shot at rim
8:45.0,Turnover by I. Mahinmi (bad pass; steal by J. Ennis),,37-28,,
8:45.0,Personal foul by I. Mahinmi (drawn by J. Ennis),,37-28,,
8:45.0,,,37-29,1,J. Ennis makes free throw 1 of 2
8:45.0,M. Morris enters the game for I. Mahinmi,,37-29,,
8:45.0,,,37-30,1,J. Ennis makes free throw 2 of 2
8:42.0,,,37-30,,Personal foul by T. Evans (drawn by T. Satoransky)
8:36.0,J. Meeks misses 3-pt shot from 25 ft,,37-30,,
8:29.0,,,37-30,,Defensive rebound by B. Wright
8:28.0,,,37-32,2,T. Evans makes 2-pt shot at rim
8:28.0,Washington full timeout,,37-32,,
8:28.0,J. Wall enters the game for J. Meeks,,37-32,,
8:28.0,O. Porter enters the game for T. Satoransky,,37-32,,
8:11.0,O. Porter misses 2-pt shot from 10 ft,,37-32,,
8:08.0,,,37-32,,Defensive rebound by B. Wright
7:50.0,,,37-35,3,W. Selden makes 3-pt shot from 25 ft (assist by T. Evans)
7:31.0,M. Scott makes 3-pt shot from 22 ft (assist by J. Wall),3,40-35,,
7:24.0,,,40-37,2,T. Evans makes 2-pt shot from 2 ft
7:09.0,M. Morris misses 2-pt shot at rim (block by J. Green),,40-37,,
7:09.0,Offensive rebound by M. Morris,,40-37,,
6:57.0,,,40-37,,Personal foul by J. Green (drawn by J. Wall)
6:57.0,B. Beal enters the game for M. Scott,,40-37,,
6:48.0,M. Morris makes 2-pt shot from 1 ft (assist by B. Beal),2,42-37,,
6:32.0,,,42-37,,J. Green misses 2-pt shot from 15 ft
6:29.0,,,42-37,,Offensive rebound by J. Green
6:27.0,,,42-37,,Turnover by T. Evans (palming)
6:16.0,J. Wall makes 2-pt shot from 1 ft,2,44-37,,
6:12.0,,,44-37,,Memphis full timeout
6:12.0,,,44-37,,D. Brooks enters the game for W. Selden
6:12.0,,,44-37,,M. Gasol enters the game for J. Ennis
6:12.0,,,44-37,,K. Simmons enters the game for B. Wright
5:59.0,,,44-40,3,D. Brooks makes 3-pt shot from 23 ft (assist by T. Evans)
5:47.0,Shooting foul by T. Evans (drawn by J. Wall),,44-40,,
5:47.0,J. Wall misses free throw 1 of 2,,44-40,,
5:47.0,Offensive rebound by Team,,44-40,,
5:47.0,J. Wall makes free throw 2 of 2,1,45-40,,
5:28.0,,,45-40,,Turnover by M. Gasol (out of bounds lost ball)
5:28.0,,,45-40,,M. Chalmers enters the game for T. Evans
5:21.0,M. Morris misses 3-pt shot from 22 ft,,45-40,,
5:17.0,,,45-40,,Defensive rebound by J. Green
5:14.0,,,45-40,,K. Simmons misses 2-pt shot from 9 ft
5:11.0,Defensive rebound by M. Morris,,45-40,,
5:06.0,M. Morris misses 2-pt shot from 3 ft (block by M. Gasol),,45-40,,
5:06.0,,,45-40,,Defensive rebound by Team
5:06.0,M. Gortat enters the game for K. Oubre,,45-40,,
4:52.0,,,45-40,,D. Brooks misses 3-pt shot from 26 ft
4:48.0,Defensive rebound by M. Gortat,,45-40,,
4:45.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,48-40,,
4:17.0,,,48-43,3,J. Green makes 3-pt shot from 26 ft (assist by M. Gasol)
4:02.0,,,48-43,,Personal foul by D. Brooks (drawn by B. Beal)
4:02.0,,,48-43,,J. Martin enters the game for J. Green
4:02.0,,,48-43,,J. Ennis enters the game for D. Brooks
4:01.0,,,48-43,,Personal foul by J. Ennis (drawn by B. Beal)
4:01.0,B. Beal makes free throw 1 of 2,1,49-43,,
4:01.0,B. Beal makes free throw 2 of 2,1,50-43,,
3:46.0,Personal foul by M. Gortat (drawn by M. Gasol),,50-43,,
3:46.0,,,50-44,1,M. Gasol makes free throw 1 of 2
3:46.0,,,50-44,,M. Gasol misses free throw 2 of 2
3:46.0,Defensive rebound by O. Porter,,50-44,,
3:26.0,B. Beal misses 2-pt shot from 13 ft,,50-44,,
3:24.0,Offensive rebound by M. Gortat,,50-44,,
3:17.0,M. Morris misses 2-pt shot from 1 ft (block by J. Martin),,50-44,,
3:14.0,,,50-44,,Defensive rebound by M. Gasol
3:03.0,,,50-44,,Shooting foul by M. Morris (drawn by M. Chalmers)
3:03.0,,,50-45,1,M. Chalmers makes free throw 1 of 2
3:03.0,,,50-46,1,M. Chalmers makes free throw 2 of 2
2:53.0,,,50-46,,Personal foul by J. Martin (drawn by M. Gortat)
2:53.0,M. Gortat makes free throw 1 of 2,1,51-46,,
2:53.0,M. Gortat misses free throw 2 of 2,,51-46,,
2:49.0,,,51-46,,Defensive rebound by M. Gasol
2:35.0,,,51-46,,J. Ennis misses 3-pt shot from 26 ft
2:31.0,Defensive rebound by B. Beal,,51-46,,
2:25.0,Shooting foul by M. Chalmers (drawn by J. Wall),,51-46,,
2:25.0,J. Wall makes free throw 1 of 2,1,52-46,,
2:25.0,J. Wall makes free throw 2 of 2,1,53-46,,
2:16.0,,,53-46,,Turnover by K. Simmons (bad pass; steal by J. Wall)
2:12.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,55-46,,
2:01.0,,,55-46,,J. Martin misses 2-pt shot at rim
1:58.0,Defensive rebound by M. Morris,,55-46,,
1:58.0,,,55-46,,Personal take foul by M. Chalmers (drawn by J. Wall)
1:58.0,J. Wall misses free throw 1 of 2,,55-46,,
1:58.0,Offensive rebound by Team,,55-46,,
1:58.0,,,55-46,,T. Evans enters the game for K. Simmons
1:58.0,J. Wall makes free throw 2 of 2,1,56-46,,
1:41.0,,,56-48,2,M. Chalmers makes 2-pt shot from 14 ft (assist by T. Evans)
1:27.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,58-48,,
1:17.0,,,58-48,,Turnover by T. Evans (bad pass; steal by O. Porter)
1:14.0,Turnover by O. Porter (bad pass),,58-48,,
1:01.0,Personal foul by M. Gortat (drawn by M. Chalmers),,58-48,,
1:01.0,,,58-49,1,M. Chalmers makes free throw 1 of 2
1:01.0,,,58-50,1,M. Chalmers makes free throw 2 of 2
0:49.0,Turnover by J. Wall (bad pass),,58-50,,
0:41.0,,,58-50,,T. Evans misses 2-pt shot from 18 ft
0:38.0,Defensive rebound by M. Morris,,58-50,,
0:34.0,J. Wall misses 3-pt shot from 26 ft,,58-50,,
0:30.0,,,58-50,,Defensive rebound by T. Evans
0:10.0,,,58-50,,T. Evans misses 2-pt shot at rim
0:04.0,,,58-50,,Offensive rebound by J. Martin
0:04.0,,,58-50,,J. Martin misses 2-pt shot at rim (block by M. Gortat)
0:03.0,Defensive rebound by M. Gortat,,58-50,,
0:01.0,B. Beal misses 3-pt shot from 25 ft,,58-50,,
0:00.0,,,58-50,,Defensive rebound by M. Chalmers
0:00.0,,,58-50,,M. Chalmers misses 3-pt shot from 71 ft
0:00.0,,,58-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,58-50,,Turnover by M. Gasol (turnover)
11:33.0,O. Porter makes 2-pt shot from 13 ft,2,60-50,,
11:21.0,,,60-50,,W. Selden misses 2-pt shot at rim (block by J. Wall)
11:18.0,Defensive rebound by M. Morris,,60-50,,
11:10.0,O. Porter misses 3-pt shot from 24 ft,,60-50,,
11:10.0,Offensive rebound by Team,,60-50,,
11:09.0,,,60-50,,Loose ball foul by D. Brooks (drawn by M. Gortat)
11:07.0,,,60-50,,Personal foul by W. Selden (drawn by B. Beal)
10:58.0,M. Morris misses 2-pt shot from 1 ft (block by M. Gasol),,60-50,,
10:55.0,,,60-50,,Defensive rebound by T. Evans
10:53.0,,,60-52,2,J. Green makes 2-pt shot at rim (assist by T. Evans)
10:42.0,,,60-52,,M. Chalmers enters the game for W. Selden
10:30.0,J. Wall makes 3-pt shot from 24 ft (assist by B. Beal),3,63-52,,
10:12.0,,,63-52,,T. Evans misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by M. Morris,,63-52,,
10:04.0,Turnover by J. Wall (bad pass),,63-52,,
9:55.0,,,63-52,,M. Gasol misses 2-pt shot from 6 ft
9:51.0,Defensive rebound by M. Morris,,63-52,,
9:43.0,M. Gortat misses 2-pt shot from 1 ft,,63-52,,
9:40.0,,,63-52,,Defensive rebound by T. Evans
9:38.0,,,63-54,2,T. Evans makes 2-pt shot at rim
9:38.0,,,63-54,,Shooting foul by O. Porter (drawn by T. Evans)
9:38.0,,,63-55,1,T. Evans makes free throw 1 of 1
9:21.0,B. Beal misses 3-pt shot from 26 ft,,63-55,,
9:18.0,,,63-55,,Defensive rebound by J. Green
9:10.0,,,63-55,,M. Gasol misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by O. Porter,,63-55,,
8:51.0,M. Gortat misses 2-pt shot from 9 ft,,63-55,,
8:47.0,,,63-55,,Defensive rebound by T. Evans
8:47.0,,,63-55,,Shooting foul by M. Morris (drawn by T. Evans)
8:47.0,,,63-56,1,T. Evans makes free throw 1 of 2
8:47.0,,,63-57,1,T. Evans makes free throw 2 of 2
8:25.0,J. Wall misses 2-pt shot from 21 ft,,63-57,,
8:22.0,,,63-57,,Defensive rebound by M. Gasol
8:15.0,,,63-57,,J. Green misses 2-pt shot from 7 ft
8:11.0,Defensive rebound by J. Wall,,63-57,,
8:07.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,66-57,,
8:04.0,Personal foul by O. Porter (drawn by T. Evans),,66-57,,
7:43.0,,,66-59,2,M. Chalmers makes 2-pt shot at rim
7:27.0,M. Morris makes 2-pt shot at rim (assist by B. Beal),2,68-59,,
7:05.0,,,68-59,,T. Evans misses 2-pt shot from 16 ft
7:01.0,Defensive rebound by M. Morris,,68-59,,
6:59.0,Turnover by J. Wall (lost ball; steal by T. Evans),,68-59,,
6:57.0,Personal foul by M. Gortat (drawn by J. Green),,68-59,,
6:57.0,,,68-59,,Memphis full timeout
6:46.0,,,68-61,2,D. Brooks makes 2-pt shot from 5 ft
6:46.0,,,68-61,,Shooting foul by O. Porter (drawn by D. Brooks)
6:46.0,,,68-61,,D. Brooks misses free throw 1 of 1
6:40.0,Defensive rebound by B. Beal,,68-61,,
6:29.0,J. Wall misses 2-pt shot from 2 ft,,68-61,,
6:27.0,,,68-61,,Defensive rebound by M. Gasol
6:09.0,,,68-61,,M. Gasol misses 2-pt shot at rim (block by M. Morris)
6:05.0,Defensive rebound by O. Porter,,68-61,,
6:00.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,70-61,,
5:45.0,,,70-61,,Turnover by D. Brooks (bad pass; steal by J. Wall)
5:42.0,J. Wall makes 2-pt shot from 1 ft,2,72-61,,
5:22.0,,,72-61,,M. Gasol misses 2-pt shot from 13 ft
5:18.0,Defensive rebound by M. Morris,,72-61,,
5:08.0,B. Beal makes 3-pt shot from 26 ft,3,75-61,,
5:07.0,,,75-61,,Memphis full timeout
5:07.0,,,75-61,,J. Ennis enters the game for J. Green
5:07.0,,,75-61,,J. Martin enters the game for T. Evans
5:07.0,,,75-61,,W. Selden enters the game for D. Brooks
4:51.0,Personal foul by M. Gortat (drawn by M. Gasol),,75-61,,
4:51.0,,,75-62,1,M. Gasol makes free throw 1 of 2
4:51.0,I. Mahinmi enters the game for M. Gortat,,75-62,,
4:51.0,,,75-63,1,M. Gasol makes free throw 2 of 2
4:33.0,J. Wall makes 2-pt shot from 16 ft,2,77-63,,
4:23.0,,,77-66,3,M. Chalmers makes 3-pt shot from 25 ft
3:55.0,M. Morris misses 3-pt shot from 25 ft,,77-66,,
3:51.0,,,77-66,,Defensive rebound by J. Ennis
3:44.0,,,77-68,2,M. Gasol makes 2-pt shot at rim (assist by M. Chalmers)
3:22.0,Shooting foul by W. Selden (drawn by J. Wall),,77-68,,
3:22.0,J. Wall makes free throw 1 of 2,1,78-68,,
3:22.0,J. Wall makes free throw 2 of 2,1,79-68,,
3:08.0,,,79-68,,M. Gasol misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by Team,,79-68,,
2:57.0,Offensive foul by I. Mahinmi (drawn by M. Chalmers),,79-68,,
2:57.0,Turnover by I. Mahinmi (offensive foul),,79-68,,
2:57.0,M. Scott enters the game for M. Morris,,79-68,,
2:39.0,,,79-68,,Shooting foul by I. Mahinmi (drawn by M. Gasol)
2:39.0,,,79-69,1,M. Gasol makes free throw 1 of 2
2:39.0,,,79-70,1,M. Gasol makes free throw 2 of 2
2:28.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,82-70,,
2:12.0,,,82-70,,M. Gasol misses 2-pt shot from 11 ft
2:10.0,Defensive rebound by I. Mahinmi,,82-70,,
2:04.0,M. Scott misses 3-pt shot from 25 ft,,82-70,,
1:59.0,,,82-70,,Defensive rebound by M. Chalmers
1:54.0,,,82-70,,M. Chalmers misses 2-pt shot from 3 ft
1:53.0,Defensive rebound by Team,,82-70,,
1:53.0,,,82-70,,Loose ball foul by M. Gasol (drawn by O. Porter)
1:53.0,,,82-70,,Technical foul by M. Chalmers
1:53.0,B. Beal makes technical free throw,1,83-70,,
1:53.0,,,83-70,,B. Wright enters the game for M. Gasol
1:53.0,T. Satoransky enters the game for J. Wall,,83-70,,
1:40.0,B. Beal makes 3-pt shot from 26 ft (assist by I. Mahinmi),3,86-70,,
1:20.0,,,86-70,,W. Selden misses 3-pt shot from 26 ft
1:18.0,,,86-70,,Offensive rebound by J. Martin
1:18.0,,,86-70,,Turnover by J. Martin (bad pass)
1:18.0,,,86-70,,B. McLemore enters the game for W. Selden
1:18.0,K. Oubre enters the game for O. Porter,,86-70,,
1:02.0,K. Oubre misses 3-pt shot from 25 ft,,86-70,,
1:02.0,,,86-70,,Defensive rebound by J. Ennis
0:55.0,,,86-70,,B. McLemore misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by Team,,86-70,,
0:55.0,,,86-70,,Loose ball foul by J. Martin (drawn by I. Mahinmi)
0:55.0,I. Mahinmi misses free throw 1 of 2,,86-70,,
0:55.0,Offensive rebound by Team,,86-70,,
0:55.0,I. Mahinmi makes free throw 2 of 2,1,87-70,,
0:32.0,,,87-70,,B. McLemore misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by I. Mahinmi,,87-70,,
0:12.0,Turnover by M. Scott (bad pass; steal by B. Wright),,87-70,,
0:08.0,,,87-72,2,J. Martin makes 2-pt shot from 1 ft (assist by B. Wright)
0:00.0,M. Scott misses 3-pt shot from 27 ft,,87-72,,
0:00.0,Offensive rebound by Team,,87-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,Turnover by K. Oubre (bad pass; steal by B. McLemore),,87-72,,
11:30.0,,,87-74,2,J. Martin makes 2-pt shot at rim (assist by B. McLemore)
11:14.0,Turnover by K. Oubre (bad pass),,87-74,,
10:57.0,,,87-74,,J. Martin misses 2-pt shot from 12 ft
10:52.0,,,87-74,,Offensive rebound by B. Wright
10:52.0,,,87-74,,B. Wright misses 2-pt shot at rim
10:52.0,,,87-74,,Offensive rebound by B. Wright
10:47.0,,,87-74,,J. Ennis misses 2-pt shot at rim (block by I. Mahinmi)
10:44.0,,,87-74,,Offensive rebound by B. Wright
10:42.0,,,87-74,,B. McLemore misses 3-pt shot from 23 ft
10:40.0,,,87-74,,Offensive rebound by B. McLemore
10:36.0,,,87-74,,Turnover by T. Evans (palming)
10:25.0,T. Satoransky misses 2-pt shot from 19 ft,,87-74,,
10:22.0,,,87-74,,Defensive rebound by B. Wright
10:06.0,,,87-74,,Offensive charge foul by B. McLemore (drawn by K. Oubre)
10:06.0,,,87-74,,Turnover by B. McLemore (offensive foul)
9:51.0,Shooting foul by J. Martin (drawn by K. Oubre),,87-74,,
9:51.0,K. Oubre makes free throw 1 of 2,1,88-74,,
9:51.0,K. Oubre misses free throw 2 of 2,,88-74,,
9:48.0,Offensive rebound by M. Scott,,88-74,,
9:41.0,J. Meeks misses 3-pt shot from 23 ft,,88-74,,
9:38.0,Offensive rebound by I. Mahinmi,,88-74,,
9:34.0,Shooting foul by B. Wright (drawn by I. Mahinmi),,88-74,,
9:34.0,I. Mahinmi misses free throw 1 of 2,,88-74,,
9:34.0,Offensive rebound by Team,,88-74,,
9:34.0,I. Mahinmi makes free throw 2 of 2,1,89-74,,
9:26.0,,,89-74,,T. Evans misses 3-pt shot from 26 ft
9:22.0,Defensive rebound by I. Mahinmi,,89-74,,
9:10.0,Turnover by M. Scott (bad pass; steal by B. Wright),,89-74,,
9:01.0,,,89-76,2,J. Martin makes 2-pt shot at rim (assist by T. Evans)
8:40.0,M. Scott makes 2-pt shot from 10 ft (assist by T. Satoransky),2,91-76,,
8:20.0,,,91-76,,B. Wright misses 2-pt shot at rim
8:14.0,,,91-76,,Offensive rebound by B. McLemore
8:14.0,,,91-78,2,B. McLemore makes 2-pt shot at rim
7:56.0,K. Oubre misses 2-pt shot from 7 ft (block by B. Wright),,91-78,,
7:54.0,,,91-78,,Defensive rebound by T. Evans
7:52.0,,,91-80,2,T. Evans makes 2-pt shot from 1 ft
7:51.0,Washington full timeout,,91-80,,
7:51.0,,,91-80,,M. Gasol enters the game for J. Martin
7:51.0,J. Wall enters the game for K. Oubre,,91-80,,
7:51.0,B. Beal enters the game for J. Meeks,,91-80,,
7:38.0,I. Mahinmi misses 2-pt shot from 7 ft,,91-80,,
7:35.0,,,91-80,,Defensive rebound by M. Gasol
7:29.0,,,91-80,,T. Evans misses 2-pt shot at rim (block by T. Satoransky)
7:25.0,,,91-80,,Offensive rebound by B. Wright
7:24.0,,,91-80,,M. Gasol misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by B. Beal,,91-80,,
7:11.0,J. Wall misses 2-pt shot from 15 ft,,91-80,,
7:08.0,Offensive rebound by T. Satoransky,,91-80,,
6:51.0,Turnover by M. Scott (bad pass; steal by B. McLemore),,91-80,,
6:40.0,,,91-82,2,B. McLemore makes 2-pt shot at rim
6:25.0,B. Beal misses 3-pt shot from 25 ft,,91-82,,
6:19.0,Offensive rebound by J. Wall,,91-82,,
6:13.0,T. Satoransky misses 3-pt shot from 25 ft,,91-82,,
6:09.0,,,91-82,,Defensive rebound by M. Gasol
5:57.0,Personal foul by M. Scott (drawn by M. Gasol),,91-82,,
5:57.0,,,91-82,,M. Chalmers enters the game for T. Evans
