time,Charlotte,pts.away,score,pts.home,Memphis
8:21.0,Shooting foul by A. Harrison (drawn by K. Walker),,8-11,,
8:21.0,K. Walker misses free throw 1 of 3,,8-11,,
8:21.0,Offensive rebound by Team,,8-11,,
8:21.0,K. Walker makes free throw 2 of 3,1,9-11,,
8:21.0,K. Walker makes free throw 3 of 3,1,10-11,,
8:04.0,,,10-11,,M. Gasol misses 2-pt shot from 1 ft (block by D. Howard)
8:02.0,Defensive rebound by M. Williams,,10-11,,
7:57.0,M. Williams makes 2-pt shot from 5 ft,2,12-11,,
7:38.0,,,12-11,,Shooting foul by M. Kidd-Gilchrist (drawn by M. Conley)
7:38.0,,,12-12,1,M. Conley makes free throw 1 of 2
7:38.0,,,12-13,1,M. Conley makes free throw 2 of 2
7:26.0,J. Lamb misses 2-pt shot from 17 ft,,12-13,,
7:23.0,,,12-13,,Defensive rebound by A. Harrison
7:19.0,,,12-15,2,A. Harrison makes 2-pt shot from 1 ft
6:56.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams),2,14-15,,
6:48.0,,,14-15,,M. Conley misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by M. Williams,,14-15,,
6:38.0,K. Walker makes 2-pt shot from 20 ft,2,16-15,,
6:24.0,,,16-17,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
6:00.0,D. Howard misses 2-pt shot from 1 ft (block by M. Gasol),,16-17,,
6:00.0,Offensive rebound by Team,,16-17,,
6:00.0,,,16-17,,Memphis full timeout
6:00.0,,,16-17,,D. Brooks enters the game for A. Harrison
5:56.0,J. Lamb makes 2-pt shot from 16 ft (assist by M. Williams),2,18-17,,
5:37.0,,,18-17,,M. Conley misses 2-pt shot from 8 ft
5:34.0,Defensive rebound by J. Lamb,,18-17,,
5:29.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by M. Gasol),,18-17,,
5:24.0,,,18-20,3,J. Ennis makes 3-pt shot from 26 ft (assist by D. Brooks)
5:00.0,J. Lamb makes 2-pt shot from 9 ft,2,20-20,,
4:49.0,,,20-20,,J. Ennis misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
4:49.0,,,20-20,,Offensive rebound by Team
4:49.0,,,20-20,,T. Evans enters the game for J. Martin
4:49.0,,,20-20,,C. Parsons enters the game for J. Ennis
4:49.0,F. Kaminsky enters the game for M. Williams,,20-20,,
4:49.0,D. Bacon enters the game for M. Kidd-Gilchrist,,20-20,,
4:41.0,,,20-20,,M. Gasol misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by F. Kaminsky,,20-20,,
4:29.0,J. Lamb makes 2-pt shot from 20 ft,2,22-20,,
4:12.0,,,22-20,,M. Conley misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by D. Bacon,,22-20,,
4:01.0,F. Kaminsky misses 2-pt shot from 2 ft,,22-20,,
3:58.0,,,22-20,,Defensive rebound by C. Parsons
3:54.0,,,22-20,,M. Gasol misses 3-pt shot from 24 ft
3:50.0,Defensive rebound by F. Kaminsky,,22-20,,
3:42.0,D. Howard misses 2-pt shot from 18 ft,,22-20,,
3:40.0,,,22-20,,Defensive rebound by M. Gasol
3:33.0,,,22-22,2,C. Parsons makes 2-pt shot at rim
3:15.0,K. Walker makes 3-pt shot from 26 ft,3,25-22,,
3:04.0,,,25-22,,Shooting foul by K. Walker (drawn by M. Conley)
3:04.0,,,25-23,1,M. Conley makes free throw 1 of 3
3:04.0,,,25-24,1,M. Conley makes free throw 2 of 3
3:04.0,,,25-24,,B. Wright enters the game for M. Gasol
3:04.0,C. Zeller enters the game for D. Howard,,25-24,,
3:04.0,M. Monk enters the game for K. Walker,,25-24,,
3:04.0,,,25-25,1,M. Conley makes free throw 3 of 3
2:50.0,J. Lamb misses 2-pt shot from 20 ft,,25-25,,
2:48.0,,,25-25,,Defensive rebound by M. Conley
2:32.0,,,25-27,2,C. Parsons makes 2-pt shot from 7 ft (assist by M. Conley)
2:13.0,C. Zeller makes 2-pt shot from 21 ft (assist by M. Monk),2,27-27,,
1:58.0,,,27-27,,C. Parsons misses 3-pt shot from 27 ft
1:56.0,Defensive rebound by C. Zeller,,27-27,,
1:46.0,D. Bacon misses 2-pt shot from 20 ft,,27-27,,
1:44.0,,,27-27,,Defensive rebound by C. Parsons
1:41.0,,,27-27,,C. Parsons misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by J. Lamb,,27-27,,
1:24.0,F. Kaminsky misses 2-pt shot from 10 ft,,27-27,,
1:23.0,,,27-27,,Defensive rebound by Team
1:23.0,Loose ball foul by C. Zeller (drawn by C. Parsons),,27-27,,
1:23.0,Charlotte full timeout,,27-27,,
1:23.0,,,27-27,,M. Chalmers enters the game for M. Conley
1:23.0,T. Graham enters the game for J. Lamb,,27-27,,
1:10.0,,,27-29,2,B. Wright makes 2-pt shot at rim (assist by T. Evans)
0:58.0,Shooting foul by B. Wright (drawn by C. Zeller),,27-29,,
0:58.0,C. Zeller makes free throw 1 of 2,1,28-29,,
0:58.0,C. Zeller makes free throw 2 of 2,1,29-29,,
0:50.0,,,29-31,2,T. Evans makes 2-pt shot from 1 ft
0:31.0,,,29-31,,Personal foul by D. Brooks (drawn by T. Graham)
0:31.0,T. Graham makes free throw 2 of 2,1,30-31,,
0:31.0,T. Graham makes free throw 1 of 2,1,31-31,,
0:13.0,,,31-31,,T. Evans misses 2-pt shot from 1 ft (block by C. Zeller)
0:10.0,Defensive rebound by F. Kaminsky,,31-31,,
0:05.0,M. Monk misses 3-pt shot from 26 ft,,31-31,,
0:01.0,,,31-31,,Defensive rebound by T. Evans
0:00.0,,,31-31,,M. Chalmers misses 3-pt shot from 25 ft
0:00.0,,,31-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,31-31,,B. Wright misses 2-pt shot from 1 ft (block by C. Zeller)
11:40.0,,,31-31,,Offensive rebound by Team
11:37.0,,,31-31,,D. Brooks misses 2-pt shot from 19 ft
11:34.0,Defensive rebound by M. Monk,,31-31,,
11:29.0,M. Monk misses 2-pt shot from 18 ft,,31-31,,
11:23.0,,,31-31,,Defensive rebound by T. Evans
11:13.0,,,31-33,2,B. Wright makes 2-pt shot at rim (assist by M. Chalmers)
10:58.0,M. Monk misses 2-pt shot from 13 ft,,31-33,,
10:55.0,,,31-33,,Defensive rebound by T. Evans
10:51.0,,,31-35,2,T. Evans makes 2-pt shot from 1 ft
10:29.0,D. Bacon misses 2-pt shot at rim,,31-35,,
10:24.0,Offensive rebound by F. Kaminsky,,31-35,,
10:22.0,C. Zeller misses 2-pt shot from 10 ft,,31-35,,
10:22.0,,,31-35,,Defensive rebound by B. Wright
10:16.0,,,31-37,2,T. Evans makes 2-pt shot from 1 ft
10:09.0,Charlotte full timeout,,31-37,,
10:03.0,Turnover by T. Graham (bad pass),,31-37,,
9:46.0,,,31-39,2,T. Evans makes 2-pt shot from 20 ft (assist by C. Parsons)
9:28.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by D. Bacon),3,34-39,,
9:09.0,,,34-42,3,T. Evans makes 3-pt shot from 25 ft
8:55.0,M. Monk misses 2-pt shot from 22 ft,,34-42,,
8:52.0,,,34-42,,Defensive rebound by D. Brooks
8:39.0,,,34-42,,M. Chalmers misses 2-pt shot from 6 ft
8:36.0,Defensive rebound by C. Zeller,,34-42,,
8:31.0,,,34-42,,Personal foul by M. Chalmers (drawn by F. Kaminsky)
8:22.0,M. Monk misses 2-pt shot from 6 ft (block by B. Wright),,34-42,,
8:19.0,,,34-42,,Defensive rebound by B. Wright
8:15.0,,,34-45,3,C. Parsons makes 3-pt shot from 23 ft (assist by T. Evans)
7:49.0,T. Graham makes 2-pt shot at rim (assist by F. Kaminsky),2,36-45,,
7:36.0,,,36-45,,T. Evans misses 2-pt shot from 20 ft
7:33.0,Defensive rebound by C. Zeller,,36-45,,
7:25.0,M. Monk misses 2-pt shot from 13 ft,,36-45,,
7:25.0,Offensive rebound by Team,,36-45,,
7:25.0,,,36-45,,Personal foul by B. Wright (drawn by C. Zeller)
7:25.0,,,36-45,,M. Gasol enters the game for D. Brooks
7:25.0,,,36-45,,J. Ennis enters the game for C. Parsons
7:25.0,,,36-45,,A. Harrison enters the game for B. Wright
7:12.0,T. Graham misses 3-pt shot from 24 ft,,36-45,,
7:08.0,,,36-45,,Defensive rebound by M. Chalmers
7:04.0,Loose ball foul by M. Monk (drawn by M. Chalmers),,36-45,,
7:04.0,K. Walker enters the game for T. Graham,,36-45,,
7:04.0,D. Howard enters the game for C. Zeller,,36-45,,
6:54.0,,,36-45,,A. Harrison misses 2-pt shot from 19 ft
6:54.0,Defensive rebound by Team,,36-45,,
6:47.0,K. Walker misses 2-pt shot from 16 ft,,36-45,,
6:43.0,,,36-45,,Defensive rebound by M. Gasol
6:38.0,,,36-45,,J. Ennis misses 3-pt shot from 23 ft
6:38.0,Defensive rebound by M. Monk,,36-45,,
6:26.0,D. Howard misses 2-pt shot from 5 ft,,36-45,,
6:22.0,,,36-45,,Defensive rebound by A. Harrison
6:09.0,,,36-45,,T. Evans misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by D. Howard,,36-45,,
5:54.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker),2,38-45,,
5:38.0,,,38-47,2,M. Chalmers makes 2-pt shot from 10 ft
5:16.0,K. Walker makes 2-pt shot from 1 ft,2,40-47,,
4:56.0,,,40-47,,J. Ennis misses 2-pt shot at rim
4:53.0,Defensive rebound by D. Bacon,,40-47,,
4:49.0,Shooting foul by M. Gasol (drawn by K. Walker),,40-47,,
4:49.0,K. Walker makes free throw 1 of 2,1,41-47,,
4:49.0,,,41-47,,M. Conley enters the game for M. Chalmers
4:49.0,,,41-47,,D. Brooks enters the game for T. Evans
4:49.0,M. Williams enters the game for D. Bacon,,41-47,,
4:49.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,41-47,,
4:49.0,K. Walker makes free throw 2 of 2,1,42-47,,
4:25.0,,,42-47,,M. Conley misses 3-pt shot from 24 ft
4:22.0,Defensive rebound by K. Walker,,42-47,,
4:13.0,M. Monk makes 3-pt shot from 25 ft (assist by K. Walker),3,45-47,,
4:01.0,Personal foul by D. Howard (drawn by A. Harrison),,45-47,,
3:48.0,,,45-47,,Turnover by M. Conley (bad pass; steal by K. Walker)
3:43.0,K. Walker makes 2-pt shot from 1 ft,2,47-47,,
3:43.0,,,47-47,,Memphis full timeout
3:43.0,J. Lamb enters the game for M. Monk,,47-47,,
3:42.0,,,47-47,,Turnover by D. Brooks (out of bounds lost ball)
3:30.0,Turnover by D. Howard (turnover),,47-47,,
3:30.0,,,47-47,,J. Martin enters the game for J. Ennis
3:14.0,,,47-47,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Brooks)
3:14.0,,,47-48,1,D. Brooks makes free throw 1 of 2
3:14.0,,,47-48,,T. Evans enters the game for A. Harrison
3:14.0,,,47-49,1,D. Brooks makes free throw 2 of 2
3:05.0,Shooting foul by J. Martin (drawn by K. Walker),,47-49,,
3:05.0,K. Walker makes free throw 1 of 2,1,48-49,,
3:05.0,K. Walker makes free throw 2 of 2,1,49-49,,
2:55.0,,,49-49,,M. Conley misses 2-pt shot at rim (block by M. Williams)
2:52.0,Defensive rebound by M. Kidd-Gilchrist,,49-49,,
2:43.0,M. Williams misses 2-pt shot from 1 ft (block by M. Gasol),,49-49,,
2:40.0,,,49-49,,Defensive rebound by D. Brooks
2:35.0,,,49-49,,M. Conley misses 3-pt shot from 24 ft
2:31.0,Defensive rebound by D. Howard,,49-49,,
2:24.0,Turnover by K. Walker (bad pass; steal by M. Conley),,49-49,,
2:18.0,,,49-49,,J. Martin misses 2-pt shot at rim
2:13.0,Defensive rebound by J. Lamb,,49-49,,
2:06.0,J. Lamb misses 2-pt shot from 20 ft,,49-49,,
2:04.0,,,49-49,,Defensive rebound by D. Brooks
2:00.0,,,49-51,2,D. Brooks makes 2-pt shot from 10 ft
2:00.0,,,49-51,,Shooting foul by J. Lamb (drawn by D. Brooks)
2:00.0,,,49-51,,D. Brooks misses free throw 1 of 1
1:57.0,Defensive rebound by M. Williams,,49-51,,
1:42.0,D. Howard misses 2-pt shot from 1 ft (block by M. Gasol),,49-51,,
1:42.0,Offensive rebound by M. Kidd-Gilchrist,,49-51,,
1:38.0,M. Kidd-Gilchrist makes 2-pt shot from 15 ft,2,51-51,,
1:25.0,,,51-51,,M. Conley misses 2-pt shot from 8 ft
1:23.0,Defensive rebound by J. Lamb,,51-51,,
1:01.0,J. Lamb misses 2-pt shot from 22 ft,,51-51,,
1:01.0,Offensive rebound by Team,,51-51,,
1:01.0,Turnover by Team (shot clock),,51-51,,
1:01.0,M. Monk enters the game for J. Lamb,,51-51,,
1:01.0,T. Graham enters the game for M. Kidd-Gilchrist,,51-51,,
0:51.0,,,51-53,2,M. Conley makes 2-pt shot from 1 ft
0:51.0,,,51-53,,Shooting foul by K. Walker (drawn by M. Conley)
0:51.0,,,51-54,1,M. Conley makes free throw 1 of 1
0:31.0,D. Howard misses 2-pt shot from 8 ft (block by J. Martin),,51-54,,
0:28.0,,,51-54,,Defensive rebound by J. Martin
0:19.0,,,51-54,,M. Conley misses 2-pt shot at rim (block by M. Monk)
0:19.0,,,51-54,,Offensive rebound by Team
0:19.0,,,51-54,,Memphis full timeout
0:19.0,D. Bacon enters the game for K. Walker,,51-54,,
0:18.0,,,51-56,2,M. Conley makes 2-pt shot at rim (assist by D. Brooks)
0:18.0,,,51-56,,Shooting foul by M. Monk (drawn by M. Conley)
0:18.0,,,51-57,1,M. Conley makes free throw 1 of 1
0:00.0,M. Monk misses 3-pt shot from 25 ft,,51-57,,
0:00.0,Offensive rebound by Team,,51-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,51-60,3,A. Harrison makes 3-pt shot from 26 ft (assist by M. Conley)
11:22.0,M. Williams makes 2-pt shot from 20 ft,2,53-60,,
11:08.0,,,53-60,,M. Gasol misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by M. Williams,,53-60,,
10:46.0,M. Kidd-Gilchrist makes 2-pt shot from 5 ft,2,55-60,,
10:30.0,Personal foul by M. Kidd-Gilchrist (drawn by M. Gasol),,55-60,,
10:17.0,,,55-60,,A. Harrison misses 3-pt shot from 27 ft
10:12.0,Defensive rebound by J. Lamb,,55-60,,
9:56.0,D. Howard misses 2-pt shot from 5 ft,,55-60,,
9:53.0,Offensive rebound by M. Williams,,55-60,,
9:49.0,Jump ball: J. Martin vs. M. Kidd-Gilchrist (M. Gasol gains possession),,,,Jump ball: J. Martin vs. M. Kidd-Gilchrist (M. Gasol gains possession)
9:49.0,Turnover by M. Williams (bad pass; steal by J. Martin),,55-60,,
9:46.0,,,55-62,2,J. Ennis makes 2-pt shot from 1 ft (assist by M. Gasol)
9:28.0,J. Lamb misses 2-pt shot from 17 ft,,55-62,,
9:25.0,,,55-62,,Defensive rebound by A. Harrison
9:12.0,,,55-62,,Shooting foul by M. Williams (drawn by J. Ennis)
9:12.0,,,55-63,1,J. Ennis makes free throw 1 of 2
9:12.0,,,55-64,1,J. Ennis makes free throw 2 of 2
8:59.0,K. Walker misses 3-pt shot from 25 ft,,55-64,,
8:56.0,Offensive rebound by D. Howard,,55-64,,
8:56.0,M. Williams misses 2-pt shot from 1 ft (block by A. Harrison),,55-64,,
8:56.0,Offensive rebound by Team,,55-64,,
8:44.0,J. Lamb misses 2-pt shot from 13 ft,,55-64,,
8:44.0,,,55-64,,Defensive rebound by J. Ennis
8:24.0,,,55-64,,M. Conley misses 3-pt shot from 25 ft
8:21.0,,,55-64,,Offensive rebound by J. Ennis
8:17.0,,,55-64,,Offensive foul by M. Gasol
8:17.0,,,55-64,,Turnover by M. Gasol (offensive foul)
8:17.0,,,55-64,,Technical foul by M. Gasol
8:17.0,K. Walker makes technical free throw,1,56-64,,
8:06.0,K. Walker misses 2-pt shot from 16 ft,,56-64,,
8:03.0,,,56-64,,Defensive rebound by M. Gasol
7:59.0,Personal foul by K. Walker (drawn by M. Conley),,56-64,,
7:49.0,,,56-67,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley)
7:27.0,J. Lamb makes 2-pt shot from 21 ft,2,58-67,,
7:11.0,,,58-69,2,J. Ennis makes 2-pt shot from 4 ft (assist by M. Gasol)
7:11.0,Charlotte full timeout,,58-69,,
6:53.0,K. Walker misses 3-pt shot from 25 ft,,58-69,,
6:50.0,,,58-69,,Defensive rebound by M. Gasol
6:31.0,,,58-71,2,M. Conley makes 2-pt shot from 10 ft
6:16.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,61-71,,
6:04.0,,,61-71,,Shooting foul by D. Howard (drawn by M. Conley)
6:04.0,,,61-71,,M. Conley misses free throw 1 of 2
6:04.0,,,61-71,,Offensive rebound by Team
6:04.0,,,61-72,1,M. Conley makes free throw 2 of 2
5:53.0,K. Walker misses 3-pt shot from 25 ft,,61-72,,
5:50.0,,,61-72,,Defensive rebound by M. Gasol
5:33.0,,,61-72,,Shooting foul by K. Walker
5:33.0,Technical foul by K. Walker,,61-72,,
5:33.0,,,61-72,,M. Conley misses technical free throw
5:33.0,,,61-72,,Offensive rebound by Team
5:33.0,,,61-73,1,J. Martin makes free throw 1 of 2
5:33.0,,,61-73,,T. Evans enters the game for A. Harrison
5:33.0,M. Monk enters the game for K. Walker,,61-73,,
5:33.0,,,61-74,1,J. Martin makes free throw 2 of 2
5:12.0,Shooting foul by J. Martin (drawn by D. Howard),,61-74,,
5:12.0,D. Howard misses free throw 1 of 2,,61-74,,
5:12.0,Offensive rebound by Team,,61-74,,
5:12.0,,,61-74,,C. Parsons enters the game for J. Martin
5:12.0,D. Howard misses free throw 2 of 2,,61-74,,
5:09.0,,,61-74,,Defensive rebound by C. Parsons
4:55.0,,,61-74,,M. Gasol misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by J. Lamb,,61-74,,
4:47.0,J. Lamb misses 2-pt shot from 11 ft,,61-74,,
4:44.0,,,61-74,,Defensive rebound by M. Gasol
4:38.0,,,61-74,,M. Conley misses 2-pt shot from 18 ft
4:34.0,Defensive rebound by M. Monk,,61-74,,
4:31.0,M. Monk makes 3-pt shot from 24 ft,3,64-74,,
4:07.0,,,64-74,,T. Evans misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by M. Williams,,64-74,,
3:56.0,M. Monk makes 2-pt shot from 9 ft,2,66-74,,
3:55.0,,,66-74,,Memphis full timeout
3:55.0,,,66-74,,B. Wright enters the game for J. Ennis
3:55.0,,,66-74,,D. Brooks enters the game for M. Conley
3:55.0,,,66-74,,M. Chalmers enters the game for M. Gasol
3:55.0,D. Bacon enters the game for M. Williams,,66-74,,
3:55.0,C. Zeller enters the game for D. Howard,,66-74,,
3:55.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,66-74,,
3:41.0,,,66-74,,B. Wright misses 2-pt shot from 2 ft
3:37.0,Defensive rebound by J. Lamb,,66-74,,
3:26.0,C. Zeller makes 2-pt shot from 4 ft (assist by J. Lamb),2,68-74,,
3:26.0,Shooting foul by M. Chalmers (drawn by C. Zeller),,68-74,,
3:26.0,T. Graham enters the game for J. Lamb,,68-74,,
3:26.0,C. Zeller makes free throw 1 of 1,1,69-74,,
3:16.0,Personal foul by C. Zeller (drawn by M. Chalmers),,69-74,,
3:16.0,,,69-75,1,M. Chalmers makes free throw 1 of 2
3:16.0,,,69-76,1,M. Chalmers makes free throw 2 of 2
3:08.0,M. Monk misses 3-pt shot from 25 ft,,69-76,,
3:07.0,,,69-76,,Defensive rebound by T. Evans
3:01.0,,,69-76,,T. Evans misses 2-pt shot from 1 ft
2:55.0,Defensive rebound by T. Graham,,69-76,,
2:48.0,D. Bacon misses 2-pt shot from 15 ft,,69-76,,
2:44.0,,,69-76,,Defensive rebound by C. Parsons
2:29.0,,,69-76,,B. Wright misses 2-pt shot from 13 ft
2:25.0,Defensive rebound by D. Bacon,,69-76,,
2:17.0,D. Bacon misses 2-pt shot from 11 ft,,69-76,,
2:17.0,,,69-76,,Defensive rebound by Team
2:17.0,Loose ball foul by C. Zeller (drawn by B. Wright),,69-76,,
2:17.0,,,69-77,1,B. Wright makes free throw 1 of 2
2:17.0,,,69-78,1,B. Wright makes free throw 2 of 2
1:55.0,F. Kaminsky makes 2-pt shot from 8 ft (assist by M. Monk),2,71-78,,
1:38.0,,,71-78,,C. Parsons misses 2-pt shot from 12 ft
1:35.0,,,71-78,,Offensive rebound by B. Wright
1:33.0,,,71-78,,M. Chalmers misses 3-pt shot from 26 ft
1:30.0,Defensive rebound by F. Kaminsky,,71-78,,
1:22.0,Turnover by M. Monk (bad pass; steal by M. Chalmers),,71-78,,
1:21.0,Personal take foul by F. Kaminsky (drawn by C. Parsons),,71-78,,
1:21.0,,,71-79,1,C. Parsons makes free throw 1 of 2
1:21.0,,,71-80,1,C. Parsons makes free throw 2 of 2
1:10.0,D. Bacon makes 2-pt shot from 11 ft (assist by M. Monk),2,73-80,,
0:51.0,,,73-80,,Turnover by D. Brooks (bad pass; steal by T. Graham)
0:45.0,M. Monk misses 3-pt shot from 24 ft,,73-80,,
0:41.0,Offensive rebound by T. Graham,,73-80,,
0:41.0,Turnover by T. Graham (step out of bounds),,73-80,,
0:20.0,,,73-80,,Shooting foul by D. Bacon (drawn by T. Evans)
0:20.0,,,73-81,1,T. Evans makes free throw 1 of 2
0:20.0,,,73-81,,J. Ennis enters the game for M. Chalmers
0:20.0,,,73-82,1,T. Evans makes free throw 2 of 2
0:04.0,Turnover by C. Zeller (out of bounds lost ball),,73-82,,
0:04.0,,,73-82,,M. Gasol enters the game for B. Wright
0:04.0,,,73-82,,M. Chalmers enters the game for J. Ennis
0:00.0,,,73-82,,M. Chalmers misses 2-pt shot from 1 ft (block by C. Zeller)
0:00.0,,,73-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,F. Kaminsky makes 2-pt shot from 6 ft,2,75-82,,
11:45.0,Shooting foul by M. Chalmers (drawn by F. Kaminsky),,75-82,,
11:45.0,F. Kaminsky misses free throw 1 of 1,,75-82,,
11:41.0,,,75-82,,Defensive rebound by C. Parsons
11:24.0,,,75-82,,T. Evans misses 2-pt shot from 2 ft
11:24.0,,,75-82,,Offensive rebound by T. Evans
11:24.0,,,75-82,,Shooting foul by T. Graham (drawn by T. Evans)
11:24.0,,,75-83,1,T. Evans makes free throw 1 of 2
11:24.0,,,75-84,1,T. Evans makes free throw 2 of 2
11:13.0,,,75-84,,Personal foul by C. Parsons (drawn by F. Kaminsky)
11:05.0,T. Graham misses 2-pt shot from 12 ft,,75-84,,
11:05.0,Offensive rebound by Team,,75-84,,
11:05.0,,,75-84,,Loose ball foul by M. Chalmers (drawn by C. Zeller)
10:59.0,M. Monk misses 2-pt shot from 14 ft,,75-84,,
10:56.0,,,75-84,,Defensive rebound by D. Brooks
10:52.0,,,75-84,,D. Brooks misses 2-pt shot from 3 ft
10:49.0,,,75-84,,Offensive rebound by T. Evans
10:46.0,Technical foul by F. Kaminsky,,75-84,,
10:46.0,,,75-85,1,T. Evans makes technical free throw
10:42.0,,,75-85,,D. Brooks misses 3-pt shot from 22 ft
10:39.0,Defensive rebound by M. Monk,,75-85,,
10:30.0,D. Bacon misses 2-pt shot from 18 ft,,75-85,,
10:26.0,Offensive rebound by C. Zeller,,75-85,,
10:22.0,M. Monk makes 2-pt shot from 21 ft,2,77-85,,
9:55.0,,,77-85,,C. Parsons misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by C. Zeller,,77-85,,
9:43.0,D. Bacon misses 2-pt shot from 1 ft,,77-85,,
9:37.0,Offensive rebound by C. Zeller,,77-85,,
9:37.0,C. Zeller makes 2-pt shot at rim,2,79-85,,
9:26.0,,,79-85,,M. Chalmers misses 2-pt shot from 2 ft
9:18.0,,,79-85,,Offensive rebound by B. Wright
9:18.0,,,79-87,2,B. Wright makes 2-pt shot at rim
9:04.0,F. Kaminsky misses 2-pt shot from 8 ft,,79-87,,
9:00.0,Offensive rebound by C. Zeller,,79-87,,
9:00.0,C. Zeller misses 2-pt shot at rim (block by B. Wright),,79-87,,
8:57.0,,,79-87,,Defensive rebound by D. Brooks
8:55.0,,,79-87,,T. Evans misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by T. Graham,,79-87,,
8:39.0,F. Kaminsky misses 2-pt shot from 3 ft (block by B. Wright),,79-87,,
8:35.0,,,79-87,,Defensive rebound by D. Brooks
8:32.0,,,79-87,,M. Chalmers misses 2-pt shot from 1 ft
8:26.0,,,79-87,,Offensive rebound by T. Evans
8:25.0,,,79-87,,T. Evans misses 2-pt shot from 1 ft
8:22.0,,,79-87,,Offensive rebound by T. Evans
8:22.0,,,79-87,,T. Evans misses 2-pt shot at rim
8:22.0,Defensive rebound by D. Bacon,,79-87,,
8:22.0,,,79-87,,Personal take foul by M. Chalmers (drawn by D. Bacon)
8:22.0,,,79-87,,M. Gasol enters the game for M. Chalmers
8:22.0,,,79-87,,M. Conley enters the game for B. Wright
8:22.0,M. Kidd-Gilchrist enters the game for D. Bacon,,79-87,,
8:08.0,C. Zeller misses 2-pt shot from 20 ft,,79-87,,
8:03.0,,,79-87,,Defensive rebound by D. Brooks
7:57.0,,,79-89,2,D. Brooks makes 2-pt shot at rim (assist by C. Parsons)
7:45.0,M. Monk makes 3-pt shot from 25 ft,3,82-89,,
