time,Toronto,pts.away,score,pts.home,Houston
6:09.0,,,13-14,,Technical foul by J. Harden
6:09.0,,,13-14,,Houston full timeout
6:09.0,,,13-14,,P. Tucker enters the game for E. Gordon
6:09.0,,,13-14,,L. Mbah a Moute enters the game for R. Anderson
6:09.0,C. Miles enters the game for O. Anunoby,,13-14,,
6:09.0,D. DeRozan makes technical free throw,1,14-14,,
6:00.0,K. Lowry misses 3-pt shot from 24 ft,,14-14,,
5:55.0,,,14-14,,Defensive rebound by P. Tucker
5:51.0,,,14-16,2,J. Harden makes 2-pt shot from 1 ft
5:37.0,Turnover by D. DeRozan (traveling),,14-16,,
5:37.0,,,14-16,,T. Black enters the game for C. Capela
5:29.0,Personal foul by K. Lowry (drawn by J. Harden),,14-16,,
5:29.0,L. Nogueira enters the game for J. Valanciunas,,14-16,,
5:29.0,,,14-17,1,J. Harden makes free throw 1 of 2
5:29.0,,,14-18,1,J. Harden makes free throw 2 of 2
5:18.0,C. Miles misses 2-pt shot from 16 ft,,14-18,,
5:14.0,,,14-18,,Defensive rebound by P. Tucker
5:10.0,,,14-21,3,J. Harden makes 3-pt shot from 26 ft
4:53.0,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry),2,16-21,,
4:39.0,,,16-21,,Turnover by J. Harden (lost ball; steal by P. Siakam)
4:31.0,P. Siakam misses 3-pt shot from 23 ft,,16-21,,
4:31.0,Offensive rebound by Team,,16-21,,
4:29.0,C. Miles misses 2-pt shot from 1 ft,,16-21,,
4:26.0,,,16-21,,Defensive rebound by T. Black
4:19.0,,,16-23,2,T. Black makes 2-pt shot from 2 ft (assist by J. Harden)
4:19.0,,,16-23,,Shooting foul by L. Nogueira (drawn by T. Black)
4:19.0,,,16-24,1,T. Black makes free throw 1 of 1
4:08.0,C. Miles makes 3-pt shot from 27 ft (assist by P. Siakam),3,19-24,,
3:45.0,,,19-27,3,J. Harden makes 3-pt shot from 25 ft
3:30.0,C. Miles makes 3-pt shot from 24 ft (assist by D. DeRozan),3,22-27,,
3:07.0,,,22-29,2,T. Black makes 2-pt shot at rim (assist by L. Mbah a Moute)
2:57.0,Toronto full timeout,,22-29,,
2:57.0,D. Wright enters the game for K. Lowry,,22-29,,
2:46.0,C. Miles makes 3-pt shot from 26 ft (assist by D. DeRozan),3,25-29,,
2:28.0,,,25-31,2,J. Harden makes 2-pt shot from 1 ft
2:06.0,C. Miles misses 3-pt shot from 25 ft,,25-31,,
2:04.0,,,25-31,,Defensive rebound by T. Black
1:55.0,,,25-33,2,J. Harden makes 2-pt shot at rim
1:32.0,C. Miles misses 2-pt shot from 20 ft (block by T. Black),,25-33,,
1:26.0,,,25-33,,Defensive rebound by J. Harden
1:21.0,,,25-33,,P. Tucker misses 3-pt shot from 23 ft
1:19.0,Defensive rebound by L. Nogueira,,25-33,,
1:01.0,,,25-33,,R. Anderson enters the game for T. Ariza
0:59.0,D. DeRozan makes 2-pt shot from 20 ft (assist by C. Miles),2,27-33,,
0:59.0,Shooting foul by L. Mbah a Moute (drawn by D. DeRozan),,27-33,,
0:59.0,O. Anunoby enters the game for P. Siakam,,27-33,,
0:59.0,D. DeRozan makes free throw 1 of 1,1,28-33,,
0:47.0,,,28-33,,J. Harden misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by L. Nogueira,,28-33,,
0:36.0,O. Anunoby makes 3-pt shot from 24 ft (assist by D. DeRozan),3,31-33,,
0:26.0,,,31-33,,R. Anderson misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by C. Miles,,31-33,,
0:03.0,D. DeRozan misses 3-pt shot from 25 ft,,31-33,,
0:00.0,,,31-33,,Defensive rebound by T. Black
0:00.0,,,31-33,,T. Black misses 3-pt shot from 61 ft
0:00.0,,,31-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,C. Miles misses 3-pt shot from 25 ft,,31-33,,
11:48.0,,,31-33,,Defensive rebound by Team
11:27.0,,,31-33,,Shooting foul by J. Poeltl (drawn by T. Black)
11:27.0,,,31-34,1,T. Black makes free throw 1 of 2
11:27.0,,,31-34,,T. Black misses free throw 2 of 2
11:27.0,Defensive rebound by J. Poeltl,,31-34,,
11:12.0,,,31-34,,Personal foul by E. Gordon (drawn by D. Wright)
11:01.0,J. Poeltl misses 2-pt shot from 1 ft,,31-34,,
10:55.0,,,31-34,,Defensive rebound by R. Anderson
10:53.0,Personal foul by J. Poeltl (drawn by R. Anderson),,31-34,,
10:40.0,,,31-36,2,T. Black makes 2-pt shot at rim (assist by L. Mbah a Moute)
10:27.0,D. Wright makes 2-pt shot from 3 ft,2,33-36,,
10:16.0,,,33-36,,E. Gordon misses 2-pt shot from 1 ft
10:16.0,,,33-36,,Offensive rebound by T. Black
10:16.0,Personal foul by C. Miles (drawn by T. Black),,33-36,,
10:13.0,,,33-36,,Turnover by T. Black (bad pass; steal by C. Miles)
10:09.0,D. Wright makes 2-pt shot from 2 ft (assist by C. Miles),2,35-36,,
10:09.0,Shooting foul by T. Black (drawn by D. Wright),,35-36,,
10:09.0,D. Wright makes free throw 1 of 1,1,36-36,,
9:52.0,,,36-36,,Turnover by P. Tucker (traveling)
9:52.0,K. Lowry enters the game for C. Miles,,36-36,,
9:32.0,J. Poeltl makes 2-pt shot from 3 ft (assist by F. VanVleet),2,38-36,,
9:32.0,Shooting foul by T. Black (drawn by J. Poeltl),,38-36,,
9:32.0,,,38-36,,C. Capela enters the game for T. Black
9:32.0,J. Poeltl makes free throw 1 of 1,1,39-36,,
9:14.0,,,39-38,2,L. Mbah a Moute makes 2-pt shot from 1 ft
9:03.0,F. VanVleet makes 3-pt shot from 25 ft (assist by K. Lowry),3,42-38,,
8:51.0,,,42-38,,Shooting foul by K. Lowry (drawn by C. Capela)
8:51.0,,,42-38,,C. Capela misses free throw 1 of 2
8:51.0,,,42-38,,Offensive rebound by Team
8:51.0,S. Ibaka enters the game for O. Anunoby,,42-38,,
8:51.0,,,42-39,1,C. Capela makes free throw 2 of 2
8:40.0,F. VanVleet misses 3-pt shot from 23 ft,,42-39,,
8:36.0,,,42-39,,Defensive rebound by P. Tucker
8:26.0,,,42-39,,Turnover by L. Mbah a Moute (bad pass; steal by F. VanVleet)
8:21.0,Shooting foul by L. Mbah a Moute (drawn by S. Ibaka),,42-39,,
8:21.0,S. Ibaka misses free throw 1 of 2,,42-39,,
8:21.0,Offensive rebound by Team,,42-39,,
8:21.0,S. Ibaka misses free throw 2 of 2,,42-39,,
8:21.0,,,42-39,,Defensive rebound by C. Capela
8:11.0,Personal foul by F. VanVleet (drawn by E. Gordon),,42-39,,
8:11.0,,,42-40,1,E. Gordon makes free throw 1 of 2
8:11.0,,,42-41,1,E. Gordon makes free throw 2 of 2
7:51.0,D. Wright makes 2-pt shot from 1 ft (assist by F. VanVleet),2,44-41,,
7:38.0,,,44-41,,Shooting foul by F. VanVleet (drawn by E. Gordon)
7:38.0,,,44-41,,E. Gordon misses free throw 1 of 2
7:38.0,,,44-41,,Offensive rebound by Team
7:38.0,,,44-42,1,E. Gordon makes free throw 2 of 2
7:29.0,Shooting foul by P. Tucker (drawn by K. Lowry),,44-42,,
7:29.0,K. Lowry makes free throw 1 of 3,1,45-42,,
7:29.0,K. Lowry makes free throw 2 of 3,1,46-42,,
7:29.0,K. Lowry misses free throw 3 of 3,,46-42,,
7:29.0,,,46-42,,Defensive rebound by R. Anderson
7:16.0,,,46-44,2,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon)
7:06.0,,,46-44,,Def 3 sec tech foul by R. Anderson
7:06.0,K. Lowry makes technical free throw,1,47-44,,
6:52.0,K. Lowry makes 2-pt shot from 2 ft,2,49-44,,
6:40.0,,,49-44,,L. Mbah a Moute misses 2-pt shot from 3 ft (block by J. Poeltl)
6:39.0,Defensive rebound by F. VanVleet,,49-44,,
6:39.0,,,49-44,,Personal foul by P. Tucker (drawn by F. VanVleet)
6:39.0,,,49-44,,Houston full timeout
6:39.0,,,49-44,,J. Harden enters the game for P. Tucker
6:39.0,F. VanVleet makes free throw 1 of 2,1,50-44,,
6:39.0,F. VanVleet makes free throw 2 of 2,1,51-44,,
6:22.0,,,51-44,,Turnover by E. Gordon (bad pass; steal by F. VanVleet)
6:00.0,K. Lowry misses 3-pt shot from 22 ft,,51-44,,
5:57.0,Offensive rebound by J. Poeltl,,51-44,,
5:55.0,J. Poeltl makes 2-pt shot from 1 ft,2,53-44,,
5:41.0,,,53-44,,Loose ball foul by R. Anderson (drawn by K. Lowry)
5:41.0,,,53-44,,Turnover by R. Anderson (turnover)
5:41.0,K. Lowry makes free throw 1 of 2,1,54-44,,
5:41.0,,,54-44,,T. Ariza enters the game for L. Mbah a Moute
5:41.0,D. DeRozan enters the game for J. Poeltl,,54-44,,
5:41.0,J. Valanciunas enters the game for D. Wright,,54-44,,
5:41.0,K. Lowry makes free throw 2 of 2,1,55-44,,
5:30.0,Def 3 sec tech foul by J. Valanciunas,,55-44,,
5:30.0,,,55-45,1,J. Harden makes technical free throw
5:16.0,,,55-45,,E. Gordon misses 3-pt shot from 25 ft
5:13.0,,,55-45,,Offensive rebound by R. Anderson
5:12.0,,,55-45,,Shooting foul by D. DeRozan (drawn by T. Ariza)
5:12.0,,,55-46,1,T. Ariza makes free throw 1 of 3
5:12.0,,,55-47,1,T. Ariza makes free throw 2 of 3
5:12.0,,,55-48,1,T. Ariza makes free throw 3 of 3
5:07.0,,,55-48,,Shooting block foul by E. Gordon (drawn by K. Lowry)
5:07.0,K. Lowry makes free throw 1 of 2,1,56-48,,
5:07.0,K. Lowry makes free throw 2 of 2,1,57-48,,
4:58.0,,,57-48,,J. Harden misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by J. Valanciunas,,57-48,,
4:49.0,J. Valanciunas misses 2-pt shot from 5 ft,,57-48,,
4:45.0,Offensive rebound by J. Valanciunas,,57-48,,
4:38.0,Turnover by K. Lowry (bad pass),,57-48,,
4:23.0,,,57-48,,J. Harden misses 3-pt shot from 26 ft
4:20.0,Defensive rebound by S. Ibaka,,57-48,,
4:14.0,S. Ibaka makes 3-pt shot from 24 ft (assist by F. VanVleet),3,60-48,,
4:05.0,,,60-51,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
3:55.0,Offensive charge foul by J. Valanciunas (drawn by R. Anderson),,60-51,,
3:55.0,Turnover by J. Valanciunas (offensive foul),,60-51,,
3:55.0,,,60-51,,T. Black enters the game for C. Capela
3:55.0,O. Anunoby enters the game for F. VanVleet,,60-51,,
3:36.0,,,60-54,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
3:15.0,O. Anunoby makes 3-pt shot from 23 ft (assist by K. Lowry),3,63-54,,
2:59.0,,,63-54,,R. Anderson misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by D. DeRozan,,63-54,,
2:54.0,Shooting foul by T. Black (drawn by D. DeRozan),,63-54,,
2:54.0,Toronto full timeout,,63-54,,
2:54.0,,,63-54,,L. Mbah a Moute enters the game for E. Gordon
2:54.0,,,63-54,,P. Tucker enters the game for T. Black
2:54.0,D. DeRozan makes free throw 1 of 2,1,64-54,,
2:54.0,P. Siakam enters the game for J. Valanciunas,,64-54,,
2:54.0,D. DeRozan misses free throw 2 of 2,,64-54,,
2:54.0,,,64-54,,Defensive rebound by P. Tucker
2:39.0,,,64-54,,Turnover by J. Harden (lost ball; steal by P. Siakam)
2:35.0,P. Siakam makes 2-pt shot at rim (assist by K. Lowry),2,66-54,,
2:21.0,,,66-57,3,T. Ariza makes 3-pt shot from 23 ft (assist by L. Mbah a Moute)
1:58.0,D. DeRozan makes 2-pt shot from 9 ft,2,68-57,,
1:46.0,,,68-57,,J. Harden misses 2-pt shot from 1 ft
1:46.0,Defensive rebound by O. Anunoby,,68-57,,
1:38.0,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry),2,70-57,,
1:27.0,,,70-59,2,J. Harden makes 2-pt shot at rim
1:04.0,O. Anunoby makes 2-pt shot from 10 ft,2,72-59,,
0:50.0,Personal foul by P. Siakam (drawn by J. Harden),,72-59,,
0:50.0,,,72-60,1,J. Harden makes free throw 1 of 2
0:50.0,,,72-61,1,J. Harden makes free throw 2 of 2
0:34.0,Shooting foul by T. Ariza (drawn by D. DeRozan),,72-61,,
0:34.0,D. DeRozan makes free throw 1 of 2,1,73-61,,
0:34.0,D. DeRozan makes free throw 2 of 2,1,74-61,,
0:26.0,,,74-61,,J. Harden misses 2-pt shot from 21 ft
0:24.0,,,74-61,,Offensive rebound by P. Tucker
0:22.0,,,74-64,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by P. Tucker)
0:06.0,,,74-64,,Personal foul by T. Ariza (drawn by D. DeRozan)
0:06.0,D. DeRozan makes free throw 1 of 2,1,75-64,,
0:06.0,D. Wright enters the game for K. Lowry,,75-64,,
0:06.0,F. VanVleet enters the game for S. Ibaka,,75-64,,
0:06.0,D. DeRozan makes free throw 2 of 2,1,76-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,Shooting foul by T. Ariza (drawn by D. DeRozan),,76-64,,
11:38.0,D. DeRozan makes free throw 1 of 3,1,77-64,,
11:38.0,D. DeRozan makes free throw 2 of 3,1,78-64,,
11:38.0,D. DeRozan makes free throw 3 of 3,1,79-64,,
11:26.0,,,79-64,,Turnover by T. Ariza (out of bounds lost ball)
11:14.0,,,79-64,,Personal foul by C. Capela (drawn by J. Valanciunas)
11:07.0,J. Valanciunas makes 2-pt shot from 9 ft,2,81-64,,
10:45.0,,,81-66,2,R. Anderson makes 2-pt shot from 23 ft (assist by J. Harden)
10:26.0,J. Valanciunas misses 2-pt shot from 8 ft,,81-66,,
10:24.0,,,81-66,,Defensive rebound by T. Ariza
10:19.0,,,81-66,,J. Harden misses 2-pt shot from 16 ft
10:16.0,Defensive rebound by K. Lowry,,81-66,,
10:16.0,,,81-66,,Personal foul by J. Harden (drawn by K. Lowry)
10:06.0,K. Lowry misses 3-pt shot from 23 ft,,81-66,,
10:03.0,,,81-66,,Defensive rebound by R. Anderson
9:49.0,,,81-66,,R. Anderson misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by O. Anunoby,,81-66,,
9:40.0,K. Lowry misses 2-pt shot from 1 ft,,81-66,,
9:36.0,,,81-66,,Defensive rebound by C. Capela
9:34.0,,,81-68,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
9:11.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,83-68,,
8:49.0,,,83-68,,J. Harden misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by K. Lowry,,83-68,,
8:40.0,O. Anunoby misses 3-pt shot from 25 ft,,83-68,,
8:40.0,,,83-68,,Defensive rebound by J. Harden
8:40.0,Personal foul by K. Lowry (drawn by J. Harden),,83-68,,
8:30.0,,,83-68,,T. Ariza misses 2-pt shot from 4 ft
8:27.0,Defensive rebound by J. Valanciunas,,83-68,,
8:20.0,D. DeRozan misses 2-pt shot from 1 ft,,83-68,,
8:15.0,Offensive rebound by J. Valanciunas,,83-68,,
8:15.0,J. Valanciunas makes 2-pt shot at rim,2,85-68,,
8:15.0,,,85-68,,Turnover by J. Harden (out of bounds lost ball)
8:01.0,Shooting foul by C. Capela,,85-68,,
8:01.0,,,85-68,,Technical foul by C. Capela
8:01.0,D. DeRozan misses technical free throw,,85-68,,
8:01.0,Offensive rebound by Team,,85-68,,
8:01.0,O. Anunoby misses free throw 1 of 2,,85-68,,
8:01.0,Offensive rebound by Team,,85-68,,
8:01.0,O. Anunoby makes free throw 2 of 2,1,86-68,,
7:53.0,,,86-68,,Offensive charge foul by J. Harden (drawn by O. Anunoby)
7:53.0,,,86-68,,Turnover by J. Harden (offensive foul)
7:47.0,Turnover by D. DeRozan (bad pass),,86-68,,
7:42.0,Personal block foul by O. Anunoby (drawn by J. Harden),,86-68,,
7:40.0,Personal foul by D. DeRozan (drawn by J. Harden),,86-68,,
7:35.0,,,86-68,,E. Gordon misses 3-pt shot from 28 ft
7:32.0,,,86-68,,Offensive rebound by R. Anderson
7:23.0,,,86-68,,T. Ariza misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by K. Lowry,,86-68,,
7:15.0,S. Ibaka misses 3-pt shot from 25 ft,,86-68,,
7:11.0,,,86-68,,Defensive rebound by T. Ariza
6:55.0,,,86-68,,Shooting foul by J. Valanciunas (drawn by J. Harden)
6:55.0,,,86-68,,Houston full timeout
6:55.0,,,86-68,,P. Tucker enters the game for R. Anderson
6:55.0,,,86-68,,L. Mbah a Moute enters the game for E. Gordon
6:55.0,,,86-69,1,J. Harden makes free throw 1 of 2
6:55.0,,,86-70,1,J. Harden makes free throw 2 of 2
6:40.0,K. Lowry makes 3-pt shot from 25 ft,3,89-70,,
6:26.0,,,89-70,,J. Harden misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by J. Valanciunas,,89-70,,
6:15.0,Turnover by K. Lowry (bad pass; steal by C. Capela),,89-70,,
6:08.0,,,89-70,,J. Harden misses 3-pt shot from 26 ft
6:05.0,Defensive rebound by S. Ibaka,,89-70,,
5:58.0,D. DeRozan misses 2-pt shot from 1 ft,,89-70,,
5:56.0,,,89-70,,Defensive rebound by L. Mbah a Moute
5:49.0,,,89-73,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by J. Harden)
5:34.0,Shooting foul by L. Mbah a Moute (drawn by K. Lowry),,89-73,,
5:34.0,K. Lowry makes free throw 1 of 2,1,90-73,,
5:34.0,,,90-73,,T. Black enters the game for C. Capela
5:34.0,P. Siakam enters the game for O. Anunoby,,90-73,,
5:34.0,C. Miles enters the game for J. Valanciunas,,90-73,,
5:34.0,K. Lowry makes free throw 2 of 2,1,91-73,,
5:22.0,,,91-73,,Turnover by J. Harden (bad pass; steal by D. DeRozan)
5:18.0,Shooting foul by L. Mbah a Moute (drawn by C. Miles),,91-73,,
5:18.0,,,91-73,,Technical foul by P. Tucker
5:18.0,,,91-73,,Technical foul by P. Tucker
5:18.0,D. DeRozan makes technical free throw,1,92-73,,
5:18.0,D. DeRozan makes technical free throw,1,93-73,,
5:18.0,,,93-73,,E. Gordon enters the game for P. Tucker
5:18.0,C. Miles misses free throw 1 of 2,,93-73,,
5:18.0,Offensive rebound by Team,,93-73,,
5:18.0,C. Miles makes free throw 2 of 2,1,94-73,,
5:18.0,Personal foul by P. Siakam (drawn by J. Harden),,94-73,,
5:18.0,Turnover by P. Siakam (turnover),,94-73,,
5:18.0,,,94-74,1,J. Harden makes free throw 1 of 2
5:18.0,,,94-75,1,J. Harden makes free throw 2 of 2
5:07.0,Turnover by D. DeRozan (out of bounds lost ball),,94-75,,
4:58.0,,,94-75,,J. Harden misses 2-pt shot at rim
4:56.0,,,94-75,,Offensive rebound by T. Black
4:55.0,,,94-75,,T. Black misses 2-pt shot at rim
4:55.0,,,94-75,,Offensive rebound by J. Harden
4:46.0,,,94-75,,L. Mbah a Moute misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by S. Ibaka,,94-75,,
4:30.0,S. Ibaka misses 2-pt shot from 1 ft,,94-75,,
4:28.0,,,94-75,,Defensive rebound by L. Mbah a Moute
4:22.0,,,94-75,,J. Harden misses 3-pt shot from 25 ft
4:17.0,,,94-75,,Offensive rebound by T. Black
4:16.0,,,94-77,2,T. Black makes 2-pt shot from 1 ft (assist by J. Harden)
4:16.0,,,94-77,,Shooting foul by K. Lowry (drawn by T. Black)
4:16.0,D. Wright enters the game for K. Lowry,,94-77,,
4:16.0,J. Poeltl enters the game for S. Ibaka,,94-77,,
4:16.0,,,94-78,1,T. Black makes free throw 1 of 1
4:05.0,Shooting foul by T. Black (drawn by D. DeRozan),,94-78,,
4:05.0,D. DeRozan makes free throw 1 of 2,1,95-78,,
4:05.0,D. DeRozan misses free throw 2 of 2,,95-78,,
4:00.0,,,95-78,,Defensive rebound by E. Gordon
3:58.0,Violation by P. Siakam (kicked ball),,95-78,,
3:49.0,Personal foul by C. Miles (drawn by L. Mbah a Moute),,95-78,,
3:49.0,,,95-78,,L. Mbah a Moute misses free throw 1 of 2
3:49.0,,,95-78,,Offensive rebound by Team
3:49.0,,,95-79,1,L. Mbah a Moute makes free throw 2 of 2
3:36.0,Turnover by J. Poeltl (offensive goaltending),,95-79,,
3:31.0,Personal foul by P. Siakam (drawn by J. Harden),,95-79,,
3:31.0,,,95-80,1,J. Harden makes free throw 1 of 2
3:31.0,,,95-81,1,J. Harden makes free throw 2 of 2
3:31.0,Toronto full timeout,,95-81,,
3:07.0,D. Wright makes 2-pt shot from 4 ft,2,97-81,,
2:48.0,,,97-83,2,T. Black makes 2-pt shot from 1 ft (assist by J. Harden)
2:31.0,D. DeRozan misses 3-pt shot from 26 ft,,97-83,,
2:28.0,,,97-83,,Defensive rebound by T. Ariza
2:15.0,,,97-85,2,J. Harden makes 2-pt shot from 1 ft (assist by T. Ariza)
2:04.0,Turnover by D. Wright (bad pass),,97-85,,
2:04.0,F. VanVleet enters the game for D. DeRozan,,97-85,,
1:52.0,,,97-87,2,E. Gordon makes 2-pt shot from 1 ft
1:37.0,C. Miles makes 3-pt shot from 25 ft (assist by J. Poeltl),3,100-87,,
1:19.0,,,100-87,,Shooting foul by J. Poeltl (drawn by E. Gordon)
1:19.0,,,100-88,1,E. Gordon makes free throw 1 of 2
1:19.0,,,100-89,1,E. Gordon makes free throw 2 of 2
1:04.0,C. Miles makes 3-pt shot from 27 ft (assist by F. VanVleet),3,103-89,,
0:45.0,,,103-92,3,T. Ariza makes 3-pt shot from 23 ft (assist by E. Gordon)
0:22.0,Turnover by D. Wright (bad pass; steal by E. Gordon),,103-92,,
0:17.0,Shooting block foul by C. Miles (drawn by J. Harden),,103-92,,
0:17.0,,,103-93,1,J. Harden makes free throw 1 of 2
0:17.0,,,103-94,1,J. Harden makes free throw 2 of 2
0:00.0,Turnover by F. VanVleet (bad pass; steal by T. Ariza),,103-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:59.0,,,103-94,,Turnover by T. Black (bad pass; steal by C. Miles)
11:52.0,C. Miles makes 3-pt shot from 26 ft,3,106-94,,
11:38.0,,,106-94,,T. Black misses 2-pt shot from 5 ft (block by C. Miles)
11:36.0,Defensive rebound by K. Lowry,,106-94,,
11:16.0,K. Lowry misses 2-pt shot from 2 ft (block by T. Black),,106-94,,
11:14.0,Offensive rebound by F. VanVleet,,106-94,,
11:13.0,F. VanVleet misses 3-pt shot from 23 ft,,106-94,,
11:13.0,,,106-94,,Defensive rebound by T. Black
10:53.0,,,106-94,,T. Ariza misses 3-pt shot from 23 ft
10:50.0,,,106-94,,Offensive rebound by R. Anderson
10:45.0,,,106-97,3,R. Anderson makes 3-pt shot from 23 ft (assist by J. Harden)
10:24.0,C. Miles misses 3-pt shot from 27 ft,,106-97,,
10:24.0,,,106-97,,Defensive rebound by Team
10:24.0,,,106-97,,C. Capela enters the game for T. Black
10:10.0,,,106-97,,R. Anderson misses 2-pt shot from 12 ft
10:08.0,Defensive rebound by F. VanVleet,,106-97,,
9:53.0,K. Lowry misses 2-pt shot from 4 ft (block by R. Anderson),,106-97,,
9:48.0,,,106-97,,Defensive rebound by J. Harden
9:44.0,,,106-97,,Turnover by J. Harden (bad pass; steal by J. Poeltl)
9:34.0,J. Poeltl makes 2-pt shot from 4 ft (assist by K. Lowry),2,108-97,,
9:18.0,,,108-97,,T. Ariza misses 3-pt shot from 25 ft
9:14.0,,,108-97,,Offensive rebound by Team
9:14.0,,,108-97,,E. Gordon enters the game for T. Ariza
9:14.0,O. Anunoby enters the game for C. Miles,,108-97,,
8:59.0,,,108-97,,Shooting foul by D. Wright (drawn by J. Harden)
8:59.0,,,108-98,1,J. Harden makes free throw 1 of 3
8:59.0,,,108-99,1,J. Harden makes free throw 2 of 3
8:59.0,J. Valanciunas enters the game for J. Poeltl,,108-99,,
