time,Portland,pts.away,score,pts.home,Indiana
6:10.0,,,12-14,,Turnover by B. Bogdanovic (lost ball; steal by M. Harkless)
5:55.0,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard),3,15-14,,
5:37.0,,,15-14,,Turnover by D. Collison (lost ball; steal by C. McCollum)
5:33.0,Shooting foul by V. Oladipo (drawn by C. McCollum),,15-14,,
5:33.0,C. McCollum misses free throw 1 of 2,,15-14,,
5:33.0,Offensive rebound by Team,,15-14,,
5:33.0,,,15-14,,L. Stephenson enters the game for B. Bogdanovic
5:33.0,E. Turner enters the game for M. Harkless,,15-14,,
5:33.0,C. McCollum makes free throw 2 of 2,1,16-14,,
5:16.0,,,16-14,,T. Young misses 2-pt shot from 1 ft
5:14.0,,,16-14,,Offensive rebound by D. Sabonis
5:10.0,,,16-14,,L. Stephenson misses 3-pt shot from 25 ft
5:05.0,,,16-14,,Offensive rebound by D. Sabonis
5:05.0,,,16-14,,D. Sabonis misses 2-pt shot at rim
5:05.0,Defensive rebound by A. Aminu,,16-14,,
4:54.0,A. Aminu misses 3-pt shot from 23 ft,,16-14,,
4:51.0,,,16-14,,Defensive rebound by T. Young
4:51.0,Personal foul by C. McCollum (drawn by T. Young),,16-14,,
4:51.0,,,16-14,,A. Jefferson enters the game for D. Sabonis
4:51.0,P. Connaughton enters the game for C. McCollum,,16-14,,
4:38.0,,,16-14,,Shooting foul by P. Connaughton (drawn by V. Oladipo)
4:38.0,,,16-15,1,V. Oladipo makes free throw 1 of 2
4:38.0,,,16-16,1,V. Oladipo makes free throw 2 of 2
4:23.0,D. Lillard makes 2-pt shot from 2 ft,2,18-16,,
4:12.0,,,18-18,2,D. Collison makes 2-pt shot from 15 ft
4:01.0,D. Lillard misses 2-pt shot from 7 ft,,18-18,,
4:00.0,,,18-18,,Defensive rebound by V. Oladipo
3:55.0,,,18-18,,V. Oladipo misses 2-pt shot from 21 ft
3:52.0,Defensive rebound by A. Aminu,,18-18,,
3:43.0,E. Turner misses 2-pt shot from 8 ft,,18-18,,
3:41.0,,,18-18,,Defensive rebound by V. Oladipo
3:37.0,,,18-18,,L. Stephenson misses 2-pt shot from 1 ft
3:35.0,Defensive rebound by D. Lillard,,18-18,,
3:28.0,A. Aminu makes 2-pt shot at rim,2,20-18,,
3:11.0,,,20-18,,Shooting foul by J. Nurkic (drawn by V. Oladipo)
3:11.0,Portland full timeout,,20-18,,
3:11.0,,,20-18,,C. Joseph enters the game for D. Collison
3:11.0,E. Davis enters the game for J. Nurkic,,20-18,,
3:11.0,,,20-19,1,V. Oladipo makes free throw 1 of 2
3:11.0,,,20-19,,V. Oladipo misses free throw 2 of 2
3:09.0,Defensive rebound by A. Aminu,,20-19,,
2:54.0,P. Connaughton makes 3-pt shot from 26 ft (assist by A. Aminu),3,23-19,,
2:37.0,,,23-19,,T. Young misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by A. Aminu,,23-19,,
2:20.0,D. Lillard misses 3-pt shot from 27 ft,,23-19,,
2:16.0,,,23-19,,Defensive rebound by A. Jefferson
2:12.0,,,23-21,2,V. Oladipo makes 2-pt shot from 1 ft
1:48.0,A. Aminu misses 2-pt shot from 17 ft,,23-21,,
1:46.0,,,23-21,,Defensive rebound by L. Stephenson
1:41.0,,,23-23,2,L. Stephenson makes 2-pt shot at rim
1:21.0,D. Lillard makes 2-pt shot from 16 ft,2,25-23,,
1:01.0,,,25-23,,Turnover by C. Joseph (lost ball; steal by A. Aminu)
0:57.0,E. Davis makes 2-pt shot at rim (assist by E. Turner),2,27-23,,
0:43.0,,,27-23,,V. Oladipo misses 2-pt shot from 15 ft
0:40.0,Defensive rebound by A. Aminu,,27-23,,
0:33.0,D. Lillard makes 2-pt shot from 4 ft,2,29-23,,
0:21.0,,,29-23,,C. Joseph misses 2-pt shot from 1 ft (block by D. Lillard)
0:21.0,,,29-23,,Offensive rebound by Team
0:21.0,,,29-23,,T. Leaf enters the game for V. Oladipo
0:21.0,,,29-23,,D. Wilkins enters the game for T. Young
0:21.0,C. McCollum enters the game for D. Lillard,,29-23,,
0:21.0,C. Swanigan enters the game for A. Aminu,,29-23,,
0:15.0,,,29-25,2,D. Wilkins makes 2-pt shot from 11 ft
0:04.0,,,29-25,,Personal take foul by C. Joseph (drawn by C. McCollum)
0:01.0,C. McCollum makes 2-pt shot from 19 ft,2,31-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,31-27,2,T. Leaf makes 2-pt shot from 1 ft
11:24.0,C. McCollum makes 2-pt shot from 12 ft,2,33-27,,
11:01.0,,,33-29,2,A. Jefferson makes 2-pt shot from 18 ft (assist by T. Leaf)
10:41.0,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum),2,35-29,,
10:41.0,Shooting foul by T. Leaf (drawn by E. Davis),,35-29,,
10:41.0,E. Davis makes free throw 1 of 1,1,36-29,,
10:23.0,,,36-31,2,A. Jefferson makes 2-pt shot from 9 ft (assist by D. Wilkins)
10:00.0,Shooting foul by A. Jefferson (drawn by C. Swanigan),,36-31,,
10:00.0,C. Swanigan makes free throw 1 of 2,1,37-31,,
10:00.0,C. Swanigan makes free throw 2 of 2,1,38-31,,
9:48.0,,,38-31,,Shooting foul by E. Davis (drawn by L. Stephenson)
9:48.0,,,38-31,,L. Stephenson misses free throw 1 of 2
9:48.0,,,38-31,,Offensive rebound by Team
9:48.0,,,38-32,1,L. Stephenson makes free throw 2 of 2
9:37.0,P. Connaughton misses 3-pt shot from 26 ft,,38-32,,
9:33.0,,,38-32,,Defensive rebound by T. Leaf
9:28.0,,,38-34,2,T. Leaf makes 2-pt shot from 17 ft (assist by C. Joseph)
9:13.0,Offensive charge foul by C. Swanigan (drawn by T. Leaf),,38-34,,
9:13.0,Turnover by C. Swanigan (offensive foul),,38-34,,
9:13.0,M. Harkless enters the game for P. Connaughton,,38-34,,
9:03.0,,,38-37,3,T. Leaf makes 3-pt shot from 27 ft (assist by C. Joseph)
8:44.0,E. Turner makes 2-pt shot from 9 ft,2,40-37,,
8:20.0,,,40-37,,A. Jefferson misses 2-pt shot from 8 ft
8:18.0,Defensive rebound by E. Davis,,40-37,,
8:11.0,,,40-37,,Personal foul by C. Joseph (drawn by C. McCollum)
8:11.0,,,40-37,,D. Sabonis enters the game for A. Jefferson
8:04.0,E. Turner misses 3-pt shot from 26 ft,,40-37,,
8:01.0,Offensive rebound by E. Turner,,40-37,,
7:58.0,M. Harkless makes 3-pt shot from 28 ft (assist by E. Turner),3,43-37,,
7:39.0,,,43-37,,Shooting foul by C. Swanigan (drawn by C. Joseph)
7:39.0,,,43-38,1,C. Joseph makes free throw 1 of 2
7:39.0,,,43-38,,B. Bogdanovic enters the game for D. Wilkins
7:39.0,,,43-39,1,C. Joseph makes free throw 2 of 2
7:25.0,C. McCollum makes 3-pt shot from 26 ft,3,46-39,,
7:14.0,,,46-39,,C. Joseph misses 2-pt shot from 2 ft
7:14.0,Defensive rebound by C. McCollum,,46-39,,
7:07.0,C. Swanigan misses 2-pt shot from 1 ft,,46-39,,
7:07.0,,,46-39,,Defensive rebound by Team
7:05.0,,,46-39,,D. Collison enters the game for C. Joseph
6:51.0,Violation by E. Davis (kicked ball),,46-39,,
6:51.0,,,46-39,,Indiana full timeout
6:51.0,,,46-39,,V. Oladipo enters the game for L. Stephenson
6:51.0,,,46-39,,T. Young enters the game for T. Leaf
6:51.0,J. Nurkic enters the game for E. Davis,,46-39,,
6:41.0,,,46-39,,B. Bogdanovic misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by C. McCollum,,46-39,,
6:29.0,Turnover by J. Nurkic (turnover),,46-39,,
6:10.0,,,46-39,,Offensive charge foul by D. Sabonis (drawn by J. Nurkic)
6:10.0,,,46-39,,Turnover by D. Sabonis (offensive foul)
5:57.0,D. Lillard enters the game for C. McCollum,,46-39,,
5:57.0,A. Aminu enters the game for C. Swanigan,,46-39,,
5:48.0,,,46-39,,Shooting block foul by T. Young (drawn by J. Nurkic)
5:48.0,J. Nurkic misses free throw 1 of 2,,46-39,,
5:48.0,Offensive rebound by Team,,46-39,,
5:48.0,J. Nurkic makes free throw 2 of 2,1,47-39,,
5:36.0,,,47-39,,V. Oladipo misses 2-pt shot from 16 ft
5:33.0,Defensive rebound by E. Turner,,47-39,,
5:28.0,,,47-39,,Personal foul by B. Bogdanovic (drawn by E. Turner)
5:28.0,E. Turner makes free throw 1 of 2,1,48-39,,
5:28.0,E. Turner makes free throw 2 of 2,1,49-39,,
5:18.0,,,49-39,,Shooting foul by D. Lillard (drawn by D. Collison)
5:18.0,,,49-40,1,D. Collison makes free throw 1 of 2
5:18.0,,,49-40,,D. Collison misses free throw 2 of 2
5:13.0,Defensive rebound by M. Harkless,,49-40,,
5:04.0,E. Turner makes 2-pt shot from 1 ft,2,51-40,,
4:53.0,,,51-40,,V. Oladipo misses 2-pt shot from 18 ft
4:50.0,Defensive rebound by M. Harkless,,51-40,,
4:35.0,E. Turner makes 2-pt shot from 11 ft,2,53-40,,
4:15.0,,,53-43,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Collison)
3:55.0,E. Turner makes 2-pt shot from 18 ft,2,55-43,,
3:37.0,,,55-43,,B. Bogdanovic misses 2-pt shot from 8 ft (block by M. Harkless)
3:33.0,Defensive rebound by A. Aminu,,55-43,,
3:32.0,J. Nurkic misses 2-pt shot from 1 ft (block by V. Oladipo),,55-43,,
3:32.0,Offensive rebound by Team,,55-43,,
3:32.0,Portland full timeout,,55-43,,
3:28.0,E. Turner misses 2-pt shot from 12 ft,,55-43,,
3:25.0,,,55-43,,Defensive rebound by B. Bogdanovic
3:21.0,,,55-43,,V. Oladipo misses 3-pt shot from 25 ft
3:17.0,,,55-43,,Offensive rebound by D. Collison
3:13.0,,,55-43,,B. Bogdanovic misses 3-pt shot from 26 ft
3:06.0,Defensive rebound by D. Lillard,,55-43,,
2:58.0,Offensive charge foul by J. Nurkic (drawn by T. Young),,55-43,,
2:58.0,Turnover by J. Nurkic (offensive foul),,55-43,,
2:58.0,C. McCollum enters the game for E. Turner,,55-43,,
2:49.0,,,55-43,,Shooting foul by M. Harkless (drawn by B. Bogdanovic)
2:49.0,,,55-44,1,B. Bogdanovic makes free throw 1 of 2
2:49.0,,,55-44,,B. Bogdanovic misses free throw 2 of 2
2:46.0,Defensive rebound by M. Harkless,,55-44,,
2:34.0,Shooting foul by D. Sabonis (drawn by D. Lillard),,55-44,,
2:34.0,D. Lillard makes free throw 1 of 2,1,56-44,,
2:34.0,D. Lillard makes free throw 2 of 2,1,57-44,,
2:21.0,,,57-46,2,V. Oladipo makes 2-pt shot from 1 ft (assist by T. Young)
2:06.0,D. Lillard misses 3-pt shot from 25 ft,,57-46,,
2:03.0,,,57-46,,Defensive rebound by D. Collison
1:58.0,Violation by D. Lillard (kicked ball),,57-46,,
1:58.0,E. Turner enters the game for M. Harkless,,57-46,,
1:53.0,,,57-46,,T. Young misses 3-pt shot from 27 ft
1:49.0,Defensive rebound by D. Lillard,,57-46,,
1:40.0,C. McCollum misses 2-pt shot from 1 ft,,57-46,,
1:39.0,,,57-46,,Defensive rebound by B. Bogdanovic
1:35.0,,,57-48,2,B. Bogdanovic makes 2-pt shot from 1 ft
1:16.0,A. Aminu makes 2-pt shot at rim,2,59-48,,
0:58.0,,,59-48,,D. Sabonis misses 2-pt shot from 20 ft
0:57.0,Defensive rebound by C. McCollum,,59-48,,
0:44.0,E. Turner makes 3-pt shot from 24 ft (assist by J. Nurkic),3,62-48,,
0:32.0,Shooting block foul by J. Nurkic (drawn by V. Oladipo),,62-48,,
0:32.0,,,62-49,1,V. Oladipo makes free throw 1 of 2
0:32.0,,,62-49,,T. Leaf enters the game for D. Sabonis
0:32.0,E. Davis enters the game for J. Nurkic,,62-49,,
0:32.0,,,62-50,1,V. Oladipo makes free throw 2 of 2
0:16.0,D. Lillard misses 2-pt shot from 1 ft,,62-50,,
0:13.0,,,62-50,,Defensive rebound by T. Young
0:11.0,,,62-52,2,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Collison)
0:02.0,E. Turner misses 2-pt shot from 18 ft,,62-52,,
0:02.0,,,62-52,,Defensive rebound by V. Oladipo
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,62-52,,D. Sabonis misses 3-pt shot from 30 ft
11:37.0,Defensive rebound by D. Lillard,,62-52,,
11:27.0,J. Nurkic misses 2-pt shot from 5 ft,,62-52,,
11:23.0,Offensive rebound by A. Aminu,,62-52,,
11:23.0,A. Aminu misses 2-pt shot from 2 ft,,62-52,,
11:22.0,,,62-52,,Defensive rebound by T. Young
11:15.0,,,62-52,,D. Collison misses 2-pt shot from 15 ft
11:12.0,Defensive rebound by C. McCollum,,62-52,,
10:55.0,D. Lillard misses 2-pt shot from 20 ft,,62-52,,
10:52.0,,,62-52,,Defensive rebound by D. Sabonis
10:39.0,,,62-52,,B. Bogdanovic misses 2-pt shot from 1 ft
10:36.0,,,62-52,,Offensive rebound by T. Young
10:36.0,,,62-54,2,T. Young makes 2-pt shot at rim
10:21.0,Offensive charge foul by J. Nurkic (drawn by B. Bogdanovic),,62-54,,
10:21.0,Turnover by J. Nurkic (offensive foul),,62-54,,
10:11.0,,,62-54,,V. Oladipo misses 2-pt shot from 11 ft (block by J. Nurkic)
10:08.0,Defensive rebound by J. Nurkic,,62-54,,
10:04.0,Turnover by J. Nurkic (lost ball; steal by D. Collison),,62-54,,
10:01.0,,,62-56,2,D. Collison makes 2-pt shot at rim (assist by V. Oladipo)
9:44.0,,,62-56,,Personal foul by D. Collison (drawn by D. Lillard)
9:38.0,Turnover by J. Nurkic (traveling),,62-56,,
9:38.0,E. Davis enters the game for J. Nurkic,,62-56,,
9:27.0,,,62-56,,V. Oladipo misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by E. Davis,,62-56,,
9:16.0,M. Harkless misses 2-pt shot from 2 ft,,62-56,,
9:15.0,,,62-56,,Defensive rebound by B. Bogdanovic
9:09.0,,,62-56,,D. Collison misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by D. Lillard,,62-56,,
9:02.0,M. Harkless makes 2-pt shot at rim (assist by A. Aminu),2,64-56,,
8:49.0,,,64-56,,V. Oladipo misses 2-pt shot from 8 ft
8:45.0,Defensive rebound by E. Davis,,64-56,,
8:30.0,D. Lillard misses 2-pt shot at rim,,64-56,,
8:29.0,,,64-56,,Defensive rebound by D. Sabonis
8:25.0,,,64-58,2,V. Oladipo makes 2-pt shot from 6 ft (assist by D. Collison)
8:25.0,,,64-58,,Shooting foul by A. Aminu (drawn by V. Oladipo)
8:25.0,,,64-59,1,V. Oladipo makes free throw 1 of 1
8:08.0,E. Davis makes 2-pt shot at rim (assist by D. Lillard),2,66-59,,
7:57.0,,,66-59,,Shooting foul by E. Davis (drawn by D. Sabonis)
7:57.0,,,66-59,,D. Sabonis misses free throw 1 of 2
7:57.0,,,66-59,,Offensive rebound by Team
7:57.0,,,66-59,,D. Sabonis misses free throw 2 of 2
7:55.0,Defensive rebound by A. Aminu,,66-59,,
7:43.0,C. McCollum makes 2-pt shot from 5 ft,2,68-59,,
7:21.0,,,68-59,,Shooting foul by E. Davis (drawn by D. Sabonis)
7:21.0,,,68-60,1,D. Sabonis makes free throw 1 of 2
7:21.0,,,68-60,,D. Sabonis misses free throw 2 of 2
7:19.0,Defensive rebound by A. Aminu,,68-60,,
7:10.0,C. McCollum misses 2-pt shot from 14 ft,,68-60,,
7:09.0,Offensive rebound by Team,,68-60,,
7:01.0,C. McCollum misses 2-pt shot from 19 ft,,68-60,,
6:57.0,Offensive rebound by E. Davis,,68-60,,
6:57.0,E. Davis misses 2-pt shot at rim,,68-60,,
6:55.0,,,68-60,,Defensive rebound by B. Bogdanovic
6:49.0,,,68-60,,Turnover by B. Bogdanovic (traveling)
6:49.0,,,68-60,,Indiana full timeout
6:36.0,Shooting foul by D. Collison (drawn by D. Lillard),,68-60,,
6:36.0,D. Lillard makes free throw 1 of 2,1,69-60,,
6:36.0,D. Lillard makes free throw 2 of 2,1,70-60,,
6:23.0,,,70-60,,B. Bogdanovic misses 3-pt shot from 26 ft
6:21.0,Defensive rebound by C. McCollum,,70-60,,
6:16.0,Offensive foul by M. Harkless (drawn by B. Bogdanovic),,70-60,,
6:16.0,Turnover by M. Harkless (offensive foul),,70-60,,
6:04.0,,,70-60,,T. Young misses 2-pt shot from 16 ft
6:01.0,Defensive rebound by E. Davis,,70-60,,
5:47.0,M. Harkless misses 2-pt shot from 7 ft,,70-60,,
5:44.0,,,70-60,,Defensive rebound by T. Young
5:37.0,Personal foul by A. Aminu (drawn by T. Young),,70-60,,
5:37.0,E. Turner enters the game for C. McCollum,,70-60,,
5:37.0,P. Connaughton enters the game for M. Harkless,,70-60,,
5:25.0,,,70-62,2,V. Oladipo makes 2-pt shot from 8 ft
5:06.0,D. Lillard misses 2-pt shot from 1 ft (block by T. Young),,70-62,,
5:04.0,,,70-62,,Defensive rebound by T. Young
5:01.0,Shooting block foul by P. Connaughton (drawn by V. Oladipo),,70-62,,
5:01.0,,,70-62,,V. Oladipo misses free throw 1 of 2
5:01.0,,,70-62,,Offensive rebound by Team
5:01.0,,,70-63,1,V. Oladipo makes free throw 2 of 2
4:49.0,P. Connaughton makes 2-pt shot from 1 ft,2,72-63,,
4:38.0,,,72-63,,D. Collison misses 2-pt shot from 15 ft
4:37.0,Defensive rebound by A. Aminu,,72-63,,
4:30.0,D. Lillard misses 3-pt shot from 25 ft,,72-63,,
4:27.0,,,72-63,,Defensive rebound by D. Sabonis
4:17.0,,,72-63,,L. Stephenson enters the game for B. Bogdanovic
4:08.0,,,72-65,2,T. Young makes 2-pt shot from 1 ft
3:53.0,E. Turner makes 2-pt shot from 16 ft,2,74-65,,
3:45.0,,,74-65,,V. Oladipo misses 2-pt shot from 9 ft
3:42.0,Defensive rebound by E. Davis,,74-65,,
3:39.0,,,74-65,,Violation by D. Collison (kicked ball)
3:39.0,,,74-65,,C. Joseph enters the game for D. Collison
3:30.0,P. Connaughton makes 3-pt shot from 25 ft (assist by D. Lillard),3,77-65,,
3:11.0,,,77-65,,L. Stephenson misses 2-pt shot from 18 ft
3:09.0,Defensive rebound by D. Lillard,,77-65,,
2:57.0,D. Lillard misses 2-pt shot from 2 ft,,77-65,,
2:55.0,Offensive rebound by A. Aminu,,77-65,,
2:52.0,A. Aminu makes 2-pt shot from 6 ft,2,79-65,,
2:45.0,,,79-65,,Indiana full timeout
2:45.0,,,79-65,,A. Jefferson enters the game for D. Sabonis
2:45.0,C. McCollum enters the game for D. Lillard,,79-65,,
2:31.0,,,79-67,2,A. Jefferson makes 2-pt shot from 17 ft (assist by L. Stephenson)
2:14.0,C. McCollum makes 2-pt shot from 19 ft,2,81-67,,
1:50.0,,,81-67,,L. Stephenson misses 3-pt shot from 26 ft
1:48.0,Defensive rebound by E. Davis,,81-67,,
1:37.0,C. McCollum makes 2-pt shot from 9 ft,2,83-67,,
1:24.0,,,83-67,,Turnover by V. Oladipo (out of bounds lost ball)
1:24.0,,,83-67,,T. Leaf enters the game for V. Oladipo
1:24.0,,,83-67,,D. Collison enters the game for T. Young
1:24.0,Z. Collins enters the game for A. Aminu,,83-67,,
1:05.0,Z. Collins misses 2-pt shot from 13 ft,,83-67,,
1:02.0,Offensive rebound by E. Davis,,83-67,,
0:59.0,C. McCollum makes 3-pt shot from 26 ft (assist by E. Davis),3,86-67,,
0:48.0,,,86-70,3,D. Collison makes 3-pt shot from 23 ft (assist by A. Jefferson)
0:35.0,C. McCollum makes 3-pt shot from 26 ft,3,89-70,,
0:27.0,,,89-73,3,T. Leaf makes 3-pt shot from 29 ft (assist by D. Collison)
0:09.0,,,89-73,,Personal take foul by C. Joseph (drawn by C. McCollum)
0:04.0,C. McCollum makes 2-pt shot from 11 ft,2,91-73,,
0:01.0,,,91-73,,D. Collison misses 3-pt shot from 31 ft
0:01.0,,,91-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Shooting foul by T. Leaf (drawn by E. Davis),,91-73,,
11:51.0,E. Davis misses free throw 1 of 2,,91-73,,
11:51.0,Offensive rebound by Team,,91-73,,
11:51.0,E. Davis misses free throw 2 of 2,,91-73,,
11:49.0,,,91-73,,Defensive rebound by T. Leaf
11:40.0,,,91-73,,C. Joseph misses 2-pt shot from 16 ft (block by E. Turner)
11:39.0,,,91-73,,Offensive rebound by Team
11:29.0,,,91-73,,T. Leaf misses 2-pt shot from 7 ft
11:28.0,,,91-73,,Offensive rebound by T. Leaf
11:27.0,,,91-75,2,T. Leaf makes 2-pt shot from 7 ft
11:06.0,Z. Collins misses 3-pt shot from 26 ft,,91-75,,
11:03.0,,,91-75,,Defensive rebound by A. Jefferson
10:57.0,,,91-77,2,A. Jefferson makes 2-pt shot from 15 ft (assist by L. Stephenson)
10:36.0,E. Turner misses 2-pt shot from 13 ft,,91-77,,
10:33.0,Offensive rebound by E. Davis,,91-77,,
10:31.0,C. McCollum misses 3-pt shot from 25 ft,,91-77,,
10:31.0,,,91-77,,Defensive rebound by Team
10:31.0,Loose ball foul by Z. Collins (drawn by L. Stephenson),,91-77,,
10:31.0,J. Nurkic enters the game for E. Davis,,91-77,,
10:22.0,,,91-77,,Shooting foul by E. Turner (drawn by L. Stephenson)
10:22.0,,,91-78,1,L. Stephenson makes free throw 1 of 2
10:22.0,,,91-78,,L. Stephenson misses free throw 2 of 2
10:19.0,Defensive rebound by P. Connaughton,,91-78,,
10:00.0,J. Nurkic misses 2-pt shot from 13 ft (block by A. Jefferson),,91-78,,
9:56.0,,,91-78,,Defensive rebound by D. Collison
9:52.0,,,91-78,,Turnover by D. Collison (traveling)
9:33.0,C. McCollum makes 2-pt shot from 17 ft,2,93-78,,
9:16.0,Def 3 sec tech foul by Z. Collins,,93-78,,
9:16.0,,,93-79,1,C. Joseph makes technical free throw
9:16.0,,,93-79,,D. Sabonis enters the game for A. Jefferson
9:09.0,,,93-79,,D. Sabonis misses 2-pt shot from 16 ft
9:04.0,Defensive rebound by C. McCollum,,93-79,,
8:55.0,J. Nurkic misses 2-pt shot from 10 ft,,93-79,,
8:53.0,,,93-79,,Defensive rebound by L. Stephenson
8:46.0,,,93-81,2,T. Leaf makes 2-pt shot from 1 ft
8:46.0,,,93-81,,Shooting foul by Z. Collins (drawn by T. Leaf)
8:46.0,A. Aminu enters the game for Z. Collins,,93-81,,
8:46.0,,,93-82,1,T. Leaf makes free throw 1 of 1
8:32.0,,,93-82,,Violation by D. Collison (kicked ball)
8:32.0,D. Lillard enters the game for C. McCollum,,93-82,,
8:27.0,E. Turner makes 2-pt shot from 10 ft,2,95-82,,
8:12.0,,,95-82,,T. Leaf misses 3-pt shot from 23 ft
8:09.0,Defensive rebound by P. Connaughton,,95-82,,
8:02.0,D. Lillard makes 2-pt shot from 17 ft,2,97-82,,
7:56.0,,,97-82,,Indiana full timeout
7:51.0,,,97-82,,Offensive foul by D. Sabonis (drawn by E. Turner)
7:51.0,,,97-82,,Turnover by D. Sabonis (offensive foul)
7:35.0,A. Aminu makes 3-pt shot from 23 ft (assist by P. Connaughton),3,100-82,,
7:18.0,,,100-82,,Shooting foul by J. Nurkic (drawn by D. Collison)
7:18.0,,,100-83,1,D. Collison makes free throw 1 of 2
7:18.0,,,100-83,,V. Oladipo enters the game for L. Stephenson
7:18.0,,,100-84,1,D. Collison makes free throw 2 of 2
6:56.0,D. Lillard misses 2-pt shot from 20 ft,,100-84,,
6:54.0,,,100-84,,Defensive rebound by V. Oladipo
6:51.0,,,100-84,,V. Oladipo misses 3-pt shot from 27 ft
6:48.0,Defensive rebound by P. Connaughton,,100-84,,
6:35.0,,,100-84,,Personal foul by D. Collison (drawn by P. Connaughton)
6:27.0,J. Nurkic makes 2-pt shot from 1 ft (assist by E. Turner),2,102-84,,
6:14.0,Personal foul by D. Lillard (drawn by C. Joseph),,102-84,,
6:14.0,,,102-85,1,C. Joseph makes free throw 1 of 2
6:14.0,,,102-85,,B. Bogdanovic enters the game for D. Collison
6:14.0,,,102-86,1,C. Joseph makes free throw 2 of 2
6:00.0,J. Nurkic misses 2-pt shot from 1 ft,,102-86,,
5:58.0,Offensive rebound by J. Nurkic,,102-86,,
5:57.0,J. Nurkic misses 2-pt shot from 1 ft,,102-86,,
5:57.0,,,102-86,,Defensive rebound by D. Sabonis
5:51.0,,,102-86,,T. Leaf misses 2-pt shot from 16 ft
5:48.0,Defensive rebound by A. Aminu,,102-86,,
5:34.0,Shooting foul by D. Sabonis (drawn by J. Nurkic),,102-86,,
5:34.0,J. Nurkic makes free throw 1 of 2,1,103-86,,
5:34.0,C. McCollum enters the game for P. Connaughton,,103-86,,
5:34.0,J. Nurkic makes free throw 2 of 2,1,104-86,,
5:18.0,,,104-88,2,C. Joseph makes 2-pt shot from 12 ft
