time,Milwaukee,pts.away,score,pts.home,Sacramento
7:29.0,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe),2,14-14,,
7:28.0,Technical foul by J. Henson,,14-14,,
7:28.0,,,14-15,1,G. Temple makes technical free throw
7:28.0,D. Liggins enters the game for K. Middleton,,14-15,,
7:13.0,,,14-15,,Turnover by Z. Randolph (bad pass; steal by E. Bledsoe)
7:09.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,16-15,,
6:46.0,Personal foul by J. Henson (drawn by G. Hill),,16-15,,
6:46.0,,,16-15,,Sacramento full timeout
6:46.0,T. Maker enters the game for J. Henson,,16-15,,
6:35.0,,,16-15,,S. Labissiere misses 2-pt shot from 2 ft
6:31.0,Defensive rebound by T. Maker,,16-15,,
6:22.0,E. Bledsoe misses 2-pt shot from 21 ft,,16-15,,
6:18.0,,,16-15,,Defensive rebound by G. Temple
6:11.0,,,16-15,,Turnover by Z. Randolph (lost ball; steal by G. Antetokounmpo)
6:08.0,Shooting foul by G. Temple (drawn by G. Antetokounmpo),,16-15,,
6:08.0,G. Antetokounmpo makes free throw 1 of 2,1,17-15,,
6:08.0,G. Antetokounmpo makes free throw 2 of 2,1,18-15,,
5:55.0,,,18-15,,Shooting foul by G. Antetokounmpo (drawn by G. Hill)
5:55.0,,,18-16,1,G. Hill makes free throw 1 of 2
5:55.0,,,18-16,,W. Cauley-Stein enters the game for S. Labissiere
5:55.0,,,18-17,1,G. Hill makes free throw 2 of 2
5:41.0,E. Bledsoe makes 2-pt shot from 2 ft,2,20-17,,
5:29.0,,,20-17,,Turnover by W. Cauley-Stein (lost ball; steal by G. Antetokounmpo)
5:21.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,23-17,,
5:04.0,,,23-19,2,Z. Randolph makes 2-pt shot from 20 ft
4:49.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,23-19,,
4:44.0,,,23-19,,Defensive rebound by W. Cauley-Stein
4:34.0,,,23-19,,Turnover by W. Cauley-Stein (bad pass; steal by E. Bledsoe)
4:29.0,D. Liggins misses 3-pt shot from 22 ft,,23-19,,
4:25.0,,,23-19,,Defensive rebound by Z. Randolph
4:08.0,Personal foul by T. Maker (drawn by Z. Randolph),,23-19,,
4:08.0,,,23-19,,K. Koufos enters the game for G. Hill
4:08.0,,,23-19,,B. Hield enters the game for Z. Randolph
4:08.0,M. Brogdon enters the game for E. Bledsoe,,23-19,,
3:56.0,,,23-19,,W. Cauley-Stein misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
3:51.0,,,23-19,,Offensive rebound by W. Cauley-Stein
3:47.0,,,23-21,2,W. Cauley-Stein makes 2-pt shot from 2 ft
3:40.0,T. Maker makes 2-pt shot from 21 ft (assist by G. Antetokounmpo),2,25-21,,
3:27.0,Personal foul by G. Antetokounmpo (drawn by K. Koufos),,25-21,,
3:27.0,,,25-22,1,K. Koufos makes free throw 1 of 2
3:27.0,,,25-22,,B. Bogdanovic enters the game for D. Fox
3:27.0,,,25-22,,F. Mason enters the game for G. Temple
3:27.0,K. Middleton enters the game for T. Snell,,25-22,,
3:27.0,J. Terry enters the game for G. Antetokounmpo,,25-22,,
3:27.0,,,25-22,,K. Koufos misses free throw 2 of 2
3:24.0,Defensive rebound by D. Liggins,,25-22,,
3:13.0,T. Maker makes 2-pt shot from 22 ft (assist by K. Middleton),2,27-22,,
2:54.0,,,27-22,,Turnover by B. Bogdanovic (bad pass; steal by K. Middleton)
2:47.0,K. Middleton misses 3-pt shot from 25 ft,,27-22,,
2:44.0,,,27-22,,Defensive rebound by F. Mason
2:30.0,Milwaukee full timeout,,27-22,,
2:27.0,Jump ball: W. Cauley-Stein vs. D. Liggins (K. Koufos gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Liggins (K. Koufos gains possession)
2:24.0,,,27-22,,B. Hield misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by T. Maker,,27-22,,
2:11.0,M. Brogdon misses 3-pt shot from 25 ft,,27-22,,
2:06.0,,,27-22,,Defensive rebound by W. Cauley-Stein
1:58.0,,,27-22,,W. Cauley-Stein misses 2-pt shot from 4 ft
1:58.0,,,27-22,,Offensive rebound by K. Koufos
1:57.0,,,27-22,,Shooting foul by K. Middleton (drawn by K. Koufos)
1:57.0,,,27-22,,K. Koufos misses free throw 1 of 2
1:57.0,,,27-22,,Offensive rebound by Team
1:57.0,,,27-22,,K. Koufos misses free throw 2 of 2
1:53.0,Defensive rebound by M. Brogdon,,27-22,,
1:35.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Brogdon),3,30-22,,
1:19.0,,,30-24,2,B. Hield makes 2-pt shot from 15 ft (assist by F. Mason)
1:03.0,K. Middleton makes 2-pt shot from 16 ft (assist by M. Brogdon),2,32-24,,
0:39.0,,,32-24,,B. Hield misses 2-pt shot from 3 ft
0:37.0,Defensive rebound by M. Brogdon,,32-24,,
0:30.0,Turnover by K. Middleton (traveling),,32-24,,
0:07.0,,,32-26,2,B. Hield makes 2-pt shot from 14 ft
0:02.0,K. Middleton misses 3-pt shot from 24 ft,,32-26,,
0:02.0,,,32-26,,Defensive rebound by K. Koufos
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Terry misses 3-pt shot from 22 ft,,32-26,,
11:42.0,,,32-26,,Defensive rebound by W. Cauley-Stein
11:23.0,,,32-26,,F. Mason misses 2-pt shot from 22 ft
11:19.0,Defensive rebound by J. Henson,,32-26,,
11:06.0,,,32-26,,Personal foul by F. Mason (drawn by K. Middleton)
11:06.0,,,32-26,,V. Carter enters the game for K. Koufos
11:01.0,M. Brogdon makes 2-pt shot from 3 ft,2,34-26,,
10:44.0,,,34-26,,Offensive foul by W. Cauley-Stein (drawn by J. Henson)
10:44.0,,,34-26,,Turnover by W. Cauley-Stein (offensive foul)
10:19.0,M. Brogdon misses 2-pt shot from 19 ft,,34-26,,
10:16.0,,,34-26,,Defensive rebound by B. Hield
10:05.0,,,34-26,,Turnover by F. Mason (lost ball; steal by M. Brogdon)
9:58.0,T. Snell makes 2-pt shot from 3 ft (assist by M. Brogdon),2,36-26,,
9:55.0,,,36-26,,Sacramento full timeout
9:32.0,,,36-26,,F. Mason misses 2-pt shot from 2 ft
9:30.0,Defensive rebound by J. Henson,,36-26,,
9:19.0,Shooting foul by V. Carter (drawn by J. Henson),,36-26,,
9:19.0,J. Henson misses free throw 1 of 2,,36-26,,
9:19.0,Offensive rebound by Team,,36-26,,
9:19.0,J. Henson makes free throw 2 of 2,1,37-26,,
9:06.0,,,37-28,2,B. Bogdanovic makes 2-pt shot from 21 ft (assist by F. Mason)
8:40.0,Turnover by T. Snell (bad pass; steal by B. Bogdanovic),,37-28,,
8:29.0,,,37-30,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
8:14.0,,,37-30,,Personal foul by B. Bogdanovic (drawn by K. Middleton)
8:14.0,,,37-30,,K. Koufos enters the game for W. Cauley-Stein
8:11.0,M. Brogdon misses 2-pt shot from 10 ft,,37-30,,
8:08.0,,,37-30,,Defensive rebound by V. Carter
8:03.0,,,37-30,,B. Hield misses 2-pt shot from 22 ft (block by T. Snell)
8:03.0,Defensive rebound by J. Terry,,37-30,,
8:02.0,Turnover by J. Terry (step out of bounds),,37-30,,
7:52.0,,,37-30,,V. Carter misses 2-pt shot from 19 ft
7:48.0,Defensive rebound by M. Brogdon,,37-30,,
7:45.0,K. Middleton makes 2-pt shot from 3 ft (assist by M. Brogdon),2,39-30,,
7:37.0,,,39-30,,B. Hield misses 2-pt shot from 3 ft
7:37.0,Defensive rebound by J. Terry,,39-30,,
7:32.0,,,39-30,,Violation by V. Carter (kicked ball)
7:21.0,K. Middleton makes 3-pt shot from 24 ft (assist by T. Snell),3,42-30,,
6:55.0,,,42-30,,F. Mason misses 2-pt shot from 22 ft
6:53.0,Defensive rebound by K. Middleton,,42-30,,
6:49.0,Offensive charge foul by K. Middleton (drawn by V. Carter),,42-30,,
6:49.0,Turnover by K. Middleton (offensive foul),,42-30,,
6:49.0,,,42-30,,G. Temple enters the game for F. Mason
6:49.0,,,42-30,,D. Fox enters the game for B. Hield
6:49.0,E. Bledsoe enters the game for M. Brogdon,,42-30,,
6:34.0,Personal foul by J. Terry (drawn by B. Bogdanovic),,42-30,,
6:34.0,G. Antetokounmpo enters the game for K. Middleton,,42-30,,
6:25.0,Def 3 sec tech foul by G. Antetokounmpo,,42-30,,
6:25.0,,,42-30,,B. Bogdanovic misses technical free throw
6:25.0,,,42-30,,Offensive rebound by Team
6:16.0,,,42-30,,Turnover by B. Bogdanovic (bad pass; steal by T. Snell)
6:11.0,J. Terry misses 2-pt shot from 21 ft,,42-30,,
6:07.0,,,42-30,,Defensive rebound by K. Koufos
6:00.0,,,42-30,,K. Koufos misses 2-pt shot from 5 ft
5:56.0,Defensive rebound by T. Snell,,42-30,,
5:49.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by T. Snell),2,44-30,,
5:31.0,,,44-30,,Turnover by D. Fox (bad pass; steal by G. Antetokounmpo)
5:31.0,,,44-30,,Personal foul by K. Koufos (drawn by J. Henson)
5:21.0,E. Bledsoe makes 2-pt shot from 1 ft,2,46-30,,
5:15.0,,,46-30,,Sacramento full timeout
5:15.0,,,46-30,,W. Cauley-Stein enters the game for B. Bogdanovic
5:15.0,,,46-30,,Z. Randolph enters the game for K. Koufos
5:05.0,,,46-30,,V. Carter misses 2-pt shot from 2 ft
5:03.0,Defensive rebound by J. Henson,,46-30,,
5:00.0,E. Bledsoe makes 2-pt shot from 3 ft,2,48-30,,
5:00.0,Shooting foul by D. Fox (drawn by E. Bledsoe),,48-30,,
5:00.0,E. Bledsoe makes free throw 1 of 1,1,49-30,,
4:45.0,,,49-30,,Z. Randolph misses 2-pt shot from 7 ft (block by J. Henson)
4:41.0,Defensive rebound by T. Snell,,49-30,,
4:37.0,Turnover by J. Henson (traveling),,49-30,,
4:26.0,,,49-30,,V. Carter misses 2-pt shot from 4 ft
4:24.0,Defensive rebound by G. Antetokounmpo,,49-30,,
4:21.0,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo),,49-30,,
4:21.0,G. Antetokounmpo misses free throw 1 of 2,,49-30,,
4:21.0,Offensive rebound by Team,,49-30,,
4:21.0,G. Antetokounmpo misses free throw 2 of 2,,49-30,,
4:18.0,,,49-30,,Defensive rebound by W. Cauley-Stein
3:59.0,,,49-32,2,Z. Randolph makes 2-pt shot from 19 ft (assist by D. Fox)
3:41.0,E. Bledsoe makes 3-pt shot from 25 ft,3,52-32,,
3:25.0,,,52-32,,D. Fox misses 2-pt shot from 7 ft
3:22.0,Defensive rebound by J. Henson,,52-32,,
3:20.0,G. Antetokounmpo misses 2-pt shot from 8 ft (block by V. Carter),,52-32,,
3:20.0,Offensive rebound by Team,,52-32,,
3:20.0,K. Middleton enters the game for J. Terry,,52-32,,
3:14.0,Turnover by G. Antetokounmpo (traveling),,52-32,,
3:02.0,,,52-32,,G. Temple misses 2-pt shot from 17 ft
2:59.0,Defensive rebound by G. Antetokounmpo,,52-32,,
2:51.0,J. Henson misses 2-pt shot from 7 ft,,52-32,,
2:48.0,,,52-32,,Defensive rebound by Z. Randolph
2:40.0,,,52-32,,Shooting foul by J. Henson (drawn by W. Cauley-Stein)
2:40.0,,,52-32,,W. Cauley-Stein misses free throw 1 of 2
2:40.0,,,52-32,,Offensive rebound by Team
2:40.0,,,52-32,,W. Cauley-Stein misses free throw 2 of 2
2:38.0,Defensive rebound by G. Antetokounmpo,,52-32,,
2:28.0,,,52-32,,Personal foul by D. Fox (drawn by E. Bledsoe)
2:28.0,E. Bledsoe misses free throw 1 of 2,,52-32,,
2:28.0,Offensive rebound by Team,,52-32,,
2:28.0,E. Bledsoe makes free throw 2 of 2,1,53-32,,
2:12.0,,,53-32,,Turnover by W. Cauley-Stein (bad pass; steal by G. Antetokounmpo)
2:08.0,E. Bledsoe makes 2-pt shot from 2 ft,2,55-32,,
1:57.0,,,55-32,,D. Fox misses 2-pt shot from 4 ft
1:55.0,Defensive rebound by E. Bledsoe,,55-32,,
1:51.0,K. Middleton misses 3-pt shot from 24 ft,,55-32,,
1:51.0,,,55-32,,Defensive rebound by V. Carter
1:45.0,,,55-32,,Shooting foul by T. Snell (drawn by G. Temple)
1:45.0,,,55-32,,G. Temple misses free throw 1 of 2
1:45.0,,,55-32,,Offensive rebound by Team
1:45.0,,,55-32,,B. Bogdanovic enters the game for V. Carter
1:45.0,,,55-33,1,G. Temple makes free throw 2 of 2
1:30.0,J. Henson makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,57-33,,
1:16.0,,,57-35,2,Z. Randolph makes 2-pt shot from 2 ft (assist by D. Fox)
1:04.0,Turnover by G. Antetokounmpo (bad pass; steal by B. Bogdanovic),,57-35,,
1:00.0,,,57-35,,B. Bogdanovic misses 3-pt shot from 26 ft
0:57.0,Defensive rebound by K. Middleton,,57-35,,
0:55.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,57-35,,
0:51.0,,,57-35,,Defensive rebound by Z. Randolph
0:48.0,,,57-37,2,D. Fox makes 2-pt shot from 1 ft
0:32.0,,,57-37,,Personal foul by D. Fox (drawn by E. Bledsoe)
0:32.0,E. Bledsoe makes free throw 1 of 2,1,58-37,,
0:32.0,,,58-37,,F. Mason enters the game for D. Fox
0:32.0,E. Bledsoe makes free throw 2 of 2,1,59-37,,
0:15.0,,,59-37,,Turnover by G. Temple (bad pass; steal by E. Bledsoe)
0:02.0,Shooting foul by G. Temple (drawn by K. Middleton),,59-37,,
0:02.0,K. Middleton misses free throw 1 of 3,,59-37,,
0:02.0,Offensive rebound by Team,,59-37,,
0:02.0,K. Middleton makes free throw 2 of 3,1,60-37,,
0:02.0,K. Middleton makes free throw 3 of 3,1,61-37,,
0:00.0,,,61-37,,W. Cauley-Stein misses 3-pt shot from 45 ft
0:00.0,,,61-37,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,G. Antetokounmpo misses 2-pt shot from 23 ft,,61-37,,
11:33.0,,,61-37,,Defensive rebound by D. Fox
11:13.0,,,61-37,,Z. Randolph misses 2-pt shot from 16 ft
11:02.0,,,61-37,,Offensive rebound by S. Labissiere
11:02.0,,,61-39,2,S. Labissiere makes 2-pt shot at rim
10:55.0,E. Bledsoe misses 3-pt shot from 24 ft,,61-39,,
10:51.0,,,61-39,,Defensive rebound by G. Hill
10:40.0,Personal foul by G. Antetokounmpo (drawn by D. Fox),,61-39,,
10:33.0,,,61-39,,Shooting foul by K. Middleton (drawn by G. Temple)
10:33.0,,,61-40,1,G. Temple makes free throw 1 of 2
10:33.0,,,61-41,1,G. Temple makes free throw 2 of 2
10:17.0,Shooting foul by S. Labissiere (drawn by G. Antetokounmpo),,61-41,,
10:17.0,G. Antetokounmpo misses free throw 1 of 2,,61-41,,
10:17.0,Offensive rebound by Team,,61-41,,
10:17.0,G. Antetokounmpo makes free throw 2 of 2,1,62-41,,
9:58.0,,,62-41,,Z. Randolph misses 2-pt shot from 2 ft
9:54.0,,,62-41,,Offensive rebound by S. Labissiere
9:54.0,,,62-43,2,S. Labissiere makes 2-pt shot at rim
9:44.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,65-43,,
9:21.0,,,65-43,,Z. Randolph misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by E. Bledsoe,,65-43,,
9:09.0,J. Henson misses 2-pt shot from 11 ft (block by Z. Randolph),,65-43,,
9:05.0,,,65-43,,Defensive rebound by S. Labissiere
8:46.0,,,65-43,,G. Hill misses 3-pt shot from 25 ft
8:44.0,,,65-43,,Offensive rebound by Team
8:44.0,,,65-43,,Turnover by Team (shot clock)
8:22.0,T. Snell makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,68-43,,
8:08.0,,,68-43,,S. Labissiere misses 2-pt shot from 11 ft (block by J. Henson)
8:04.0,Defensive rebound by E. Bledsoe,,68-43,,
8:04.0,Shooting foul by G. Hill (drawn by T. Snell),,68-43,,
8:04.0,T. Snell makes free throw 1 of 2,1,69-43,,
8:04.0,T. Snell misses free throw 2 of 2,,69-43,,
8:02.0,,,69-43,,Defensive rebound by G. Temple
7:50.0,,,69-46,3,G. Temple makes 3-pt shot from 25 ft (assist by Z. Randolph)
7:26.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,71-46,,
7:09.0,,,71-46,,D. Fox misses 2-pt shot from 7 ft
7:06.0,Defensive rebound by K. Middleton,,71-46,,
7:06.0,,,71-46,,Personal foul by Z. Randolph (drawn by G. Antetokounmpo)
7:02.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,74-46,,
7:00.0,,,74-46,,Sacramento full timeout
6:44.0,,,74-46,,D. Fox misses 2-pt shot from 13 ft
6:40.0,Defensive rebound by E. Bledsoe,,74-46,,
6:34.0,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton),2,76-46,,
6:15.0,,,76-46,,G. Hill misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by G. Antetokounmpo,,76-46,,
6:08.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,78-46,,
6:08.0,,,78-46,,Violation by S. Labissiere (def goaltending)
5:51.0,,,78-46,,Shooting foul by K. Middleton (drawn by G. Temple)
5:51.0,,,78-46,,G. Temple misses free throw 1 of 2
5:51.0,,,78-46,,Offensive rebound by Team
5:51.0,,,78-46,,W. Cauley-Stein enters the game for Z. Randolph
5:51.0,,,78-46,,K. Koufos enters the game for S. Labissiere
5:51.0,,,78-47,1,G. Temple makes free throw 2 of 2
5:38.0,G. Antetokounmpo makes 2-pt shot from 10 ft,2,80-47,,
5:23.0,,,80-47,,G. Temple misses 2-pt shot from 17 ft
5:19.0,,,80-47,,Offensive rebound by K. Koufos
5:17.0,,,80-47,,D. Fox misses 3-pt shot from 25 ft
5:13.0,,,80-47,,W. Cauley-Stein misses 2-pt shot from 2 ft (block by J. Henson)
5:13.0,,,80-47,,Offensive rebound by Team
5:13.0,D. Liggins enters the game for K. Middleton,,80-47,,
5:13.0,T. Maker enters the game for J. Henson,,80-47,,
5:12.0,,,80-47,,Defensive rebound by W. Cauley-Stein
5:05.0,,,80-47,,K. Koufos misses 2-pt shot from 12 ft
5:04.0,,,80-47,,Offensive rebound by Team
4:56.0,,,80-47,,Turnover by D. Fox (bad pass; steal by G. Antetokounmpo)
4:53.0,Shooting foul by G. Hill (drawn by G. Antetokounmpo),,80-47,,
4:53.0,G. Antetokounmpo makes free throw 1 of 2,1,81-47,,
4:53.0,G. Antetokounmpo makes free throw 2 of 2,1,82-47,,
4:44.0,Personal foul by T. Maker (drawn by G. Hill),,82-47,,
4:31.0,,,82-49,2,W. Cauley-Stein makes 2-pt shot from 7 ft
4:06.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,84-49,,
3:48.0,,,84-49,,G. Temple misses 2-pt shot from 18 ft
3:45.0,Defensive rebound by G. Antetokounmpo,,84-49,,
3:40.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,84-49,,
3:38.0,,,84-49,,Defensive rebound by K. Koufos
3:32.0,,,84-49,,D. Fox misses 3-pt shot from 24 ft
3:28.0,,,84-49,,Offensive rebound by K. Koufos
3:21.0,,,84-49,,W. Cauley-Stein misses 2-pt shot from 2 ft
3:19.0,,,84-49,,Offensive rebound by K. Koufos
3:09.0,,,84-51,2,G. Temple makes 2-pt shot from 14 ft (assist by K. Koufos)
2:52.0,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo),,84-51,,
2:52.0,Milwaukee full timeout,,84-51,,
2:52.0,,,84-51,,B. Bogdanovic enters the game for D. Fox
2:52.0,,,84-51,,F. Mason enters the game for G. Temple
2:52.0,M. Brogdon enters the game for E. Bledsoe,,84-51,,
2:52.0,J. Terry enters the game for T. Snell,,84-51,,
2:52.0,G. Antetokounmpo makes free throw 1 of 2,1,85-51,,
2:52.0,G. Antetokounmpo makes free throw 2 of 2,1,86-51,,
2:34.0,,,86-53,2,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by F. Mason)
2:20.0,T. Maker misses 3-pt shot from 23 ft,,86-53,,
2:20.0,,,86-53,,Defensive rebound by G. Hill
2:14.0,Personal foul by G. Antetokounmpo (drawn by K. Koufos),,86-53,,
2:14.0,,,86-54,1,K. Koufos makes free throw 1 of 2
2:14.0,,,86-54,,K. Koufos misses free throw 2 of 2
2:11.0,Defensive rebound by T. Maker,,86-54,,
1:56.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry),2,88-54,,
1:44.0,,,88-54,,F. Mason misses 2-pt shot from 9 ft
1:41.0,Defensive rebound by M. Brogdon,,88-54,,
1:40.0,Shooting foul by G. Hill (drawn by G. Antetokounmpo),,88-54,,
1:40.0,G. Antetokounmpo makes free throw 1 of 2,1,89-54,,
1:40.0,G. Antetokounmpo misses free throw 2 of 2,,89-54,,
1:35.0,,,89-54,,Defensive rebound by W. Cauley-Stein
1:13.0,,,89-54,,F. Mason misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by M. Brogdon,,89-54,,
0:51.0,Shooting foul by W. Cauley-Stein (drawn by T. Maker),,89-54,,
0:51.0,T. Maker misses free throw 1 of 2,,89-54,,
0:51.0,Offensive rebound by Team,,89-54,,
0:51.0,D. Wilson enters the game for G. Antetokounmpo,,89-54,,
0:51.0,T. Maker misses free throw 2 of 2,,89-54,,
0:49.0,,,89-54,,Defensive rebound by W. Cauley-Stein
0:33.0,Personal foul by J. Terry (drawn by B. Bogdanovic),,89-54,,
0:33.0,,,89-55,1,B. Bogdanovic makes free throw 1 of 2
0:33.0,,,89-56,1,B. Bogdanovic makes free throw 2 of 2
0:08.0,J. Terry makes 3-pt shot from 24 ft (assist by D. Liggins),3,92-56,,
0:00.0,,,92-59,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by F. Mason)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,92-59,,Turnover by B. Bogdanovic (bad pass; steal by D. Liggins)
11:23.0,M. Brogdon makes 2-pt shot from 5 ft,2,94-59,,
11:12.0,Personal foul by D. Wilson (drawn by F. Mason),,94-59,,
11:04.0,,,94-61,2,S. Labissiere makes 2-pt shot from 2 ft (assist by F. Mason)
10:45.0,T. Maker makes 2-pt shot from 17 ft (assist by J. Terry),2,96-61,,
10:30.0,,,96-63,2,W. Cauley-Stein makes 2-pt shot from 7 ft
10:06.0,D. Wilson misses 2-pt shot from 15 ft,,96-63,,
10:01.0,,,96-63,,Defensive rebound by W. Cauley-Stein
9:57.0,,,96-65,2,S. Labissiere makes 2-pt shot at rim (assist by W. Cauley-Stein)
9:57.0,,,96-65,,Shooting foul by D. Wilson (drawn by S. Labissiere)
9:57.0,,,96-66,1,S. Labissiere makes free throw 1 of 1
9:32.0,J. Terry misses 3-pt shot from 24 ft,,96-66,,
9:32.0,,,96-66,,Defensive rebound by Team
9:12.0,,,96-66,,Turnover by F. Mason (bad pass; steal by J. Terry)
9:01.0,D. Wilson makes 2-pt shot from 3 ft (assist by J. Terry),2,98-66,,
8:46.0,,,98-66,,S. Labissiere misses 2-pt shot from 15 ft
8:43.0,Defensive rebound by M. Brogdon,,98-66,,
8:35.0,T. Maker misses 3-pt shot from 22 ft,,98-66,,
8:35.0,,,98-66,,Defensive rebound by W. Cauley-Stein
8:23.0,,,98-66,,Shooting foul by T. Maker (drawn by F. Mason)
8:23.0,,,98-67,1,F. Mason makes free throw 1 of 2
8:23.0,,,98-67,,M. Richardson enters the game for W. Cauley-Stein
8:23.0,,,98-68,1,F. Mason makes free throw 2 of 2
8:12.0,Shooting foul by B. Bogdanovic (drawn by M. Brogdon),,98-68,,
8:12.0,M. Brogdon makes free throw 1 of 2,1,99-68,,
8:12.0,M. Brogdon misses free throw 2 of 2,,99-68,,
8:06.0,,,99-68,,Defensive rebound by S. Labissiere
8:01.0,,,99-68,,Shooting foul by D. Liggins (drawn by M. Richardson)
8:01.0,,,99-69,1,M. Richardson makes free throw 1 of 2
8:01.0,,,99-70,1,M. Richardson makes free throw 2 of 2
7:45.0,T. Maker makes 2-pt shot from 1 ft (assist by D. Liggins),2,101-70,,
7:34.0,,,101-73,3,B. Hield makes 3-pt shot from 25 ft (assist by F. Mason)
7:16.0,T. Maker misses 2-pt shot from 21 ft,,101-73,,
7:13.0,,,101-73,,Defensive rebound by B. Hield
7:13.0,,,101-73,,Turnover by B. Hield (out of bounds lost ball)
7:13.0,,,101-73,,Sacramento full timeout
7:13.0,,,101-73,,J. Jackson enters the game for B. Bogdanovic
7:00.0,M. Brogdon makes 2-pt shot from 14 ft,2,103-73,,
6:36.0,,,103-75,2,F. Mason makes 2-pt shot from 2 ft
6:36.0,Violation by T. Maker (def goaltending),,103-75,,
6:24.0,M. Brogdon makes 2-pt shot from 2 ft (assist by D. Wilson),2,105-75,,
5:58.0,,,105-75,,J. Jackson misses 3-pt shot from 23 ft
5:54.0,Defensive rebound by T. Maker,,105-75,,
5:36.0,D. Wilson makes 2-pt shot from 9 ft (assist by M. Brogdon),2,107-75,,
5:21.0,,,107-75,,J. Jackson misses 2-pt shot from 4 ft
5:18.0,Defensive rebound by T. Maker,,107-75,,
5:14.0,Turnover by M. Brogdon (bad pass; steal by F. Mason),,107-75,,
